,A,PSPTO_5267
co_culture__b_thai_c_viol_30__4.0,-6.8909085254,0.33277782850000004
co_culture__b_thai_c_viol_40__3.0,-5.560267992,1.2868587285
co_culture__c_viol_40__4.0,-1.6146332006000002,1.1400162752
co_culture__b_thai_35__3.0,-7.5524512305,0.47543182100000003
co_culture__b_thai_30__3.0,-7.8707251948,0.36556809830000003
co_culture__b_thai_45__3.0,-6.8661937806,0.7126840870000001
co_culture__mono_25__3.0,0.6754782260000001,0.9849770104000001
co_culture__mono_45__3.0,-2.2394938448,0.6091995753
co_culture__mono_40__3.0,-1.5667494911,0.7598268245
co_culture__c_viol_25__3.0,5.6097837655,1.1144672477
co_culture__c_viol_35__3.0,-0.2699370755,0.926402087
co_culture__mono_25__4.0,-3.5150896035,0.8769687277
co_culture__mono_35__4.0,-4.3579742718,0.9247981161000001
co_culture__mono_45__4.0,-2.2534522613,0.6829819893
co_culture__mono_40__4.0,-3.9759275133000003,0.8849863045
co_culture__b_thai_30__4.0,-5.5918086619,0.28180559450000003
co_culture__b_thai_40__3.0,-4.4633929129,0.7535136765
co_culture__b_thai_35__4.0,-5.8942188641,0.6227846754
co_culture__c_viol_25__4.0,-3.929971418,1.546211811
co_culture__c_viol_35__4.0,-1.9050201306,1.7849599491
co_culture__c_viol_12.5__3.0,-3.2507316054,-0.30703540290000003
co_culture__c_viol_12.5__4.0,-5.368673159,0.1154535735
co_culture__b_thai_12.5__3.0,-7.1749940528,0.9615121398
co_culture__mono_12.5__4.0,5.2240614536,0.3107396176
co_culture__c_viol_30__3.0,-1.0864403211,0.8395906013000001
co_culture__b_thai_c_viol_35__4.0,-7.8391398063,0.383615761
immunity_2__WT_sid2__1.0,-0.3464863863,0.1159472837
immunity_2__WT_pad4__1.0,-0.627636469,-0.10961896980000001
immunity_2__WT_PS__1.0,-2.0338233657,-0.0693185021
immunity_2__WT_sid2__2.0,2.4453704711,0.42928085390000004
immunity_2__WT_pad4__2.0,-0.34380762540000004,0.6815590488000001
immunity_2__WT_PS__2.0,-0.7821178264,-0.4647847914
immunity_2__WT_sid2__3.0,-2.0988840847,-0.5452281376
immunity_2__WT_pad4__3.0,0.3930730194,-0.6551089644
immunity_2__WT_PS__3.0,-0.39036956300000003,-0.1978248776
immunity_in_vitro__WT_MM__1.0,-0.3705752406,0.2627005959
immunity_in_vitro__WT_MM__2.0,-1.9182413388000001,0.0429509396
immunity_in_vitro__WT_MM__3.0,1.4480204828,-0.0446890717
immunity_in_vitro__WT_MM__4.0,0.8407960967,-0.2609624638
immunity_isolated__WT_DE__1.0,2.3047607675,0.3811318187
immunity_isolated__WT_DEPS__1.0,0.0204200437,0.2544926395
immunity_isolated__WT_WT__1.0,0.6227885084,-0.10558262090000001
immunity_isolated__WT_npr1__1.0,1.6571897078000002,0.1334219764
immunity_isolated__WT_DE__2.0,0.20866012820000002,-0.1932989699
immunity_isolated__WT_DEPS__2.0,1.408659439,0.4195904211
immunity_isolated__AvrRpt2_WT__1.0,3.7794621883,0.1393204753
immunity_isolated__AvrRpt2_npr1__1.0,-0.2057645534,0.1201738297
immunity_isolated__AvrRpt2_DE__1.0,2.6652784945,0.7764886844000001
immunity_isolated__AvrRpt2_DEPS__1.0,-0.6267718442,-0.32472489260000004
immunity_isolated__WT_WT__2.0,-1.8285882711,0.9716666804
immunity_isolated__WT_pad4__1.0,-0.21283097680000002,0.9142252671000001
immunity_isolated__WT_PS__1.0,0.7494800294,0.8497707104000001
immunity_isolated__AvrRpt2_WT__2.0,1.8201211513,0.786033058
immunity_isolated__AvrRpt2_sid2__1.0,-1.4455909509,0.8926403054000001
immunity_isolated__AvrRpt2_pad4__1.0,0.4998636276,1.0120563724
immunity_isolated__AvrRpt2_PS__1.0,-0.7145639597,0.8012769693
immunity_isolated__WT_WT__3.0,0.2589286739,0.2874919791
immunity_isolated__WT_sid2__1.0,1.1521941829,0.7302036660000001
immunity_isolated__WT_pad4__2.0,0.693583947,0.5232158307
immunity_isolated__WT_PS__2.0,0.5783297643,0.3594963416
immunity_isolated__AvrRpt2_WT__3.0,-0.8723770738000001,0.9651999839000001
immunity_isolated__AvrRpt2_sid2__2.0,-1.2144631788,0.9630837054
immunity_isolated__AvrRpt2_pad4__2.0,1.6022405813,0.7912314614
immunity_isolated__AvrRpt2_PS__2.0,0.39580294320000003,0.8821523333
immunity_isolated__WT_WT__4.0,-2.0986629291,0.4045347549
immunity_isolated__WT_npr1__2.0,-0.5169910212000001,0.158799206
immunity_isolated__AvrRpt2_WT__4.0,3.4388287688,0.7636523481
immunity_isolated__AvrRpt2_npr1__2.0,-0.7169261084,0.0722685861
immunity_isolated__AvrRpt2_DE__2.0,2.5256316142,0.3857785495
immunity_isolated__WT_WT_mock__1.0,-0.8436647658,0.811992911
immunity_isolated__WT_WT__5.0,0.0281811094,0.1639078421
immunity_isolated__WT_SP__1.0,0.2164061796,0.1357726005
immunity_isolated__AvrRpt2_b2b3__1.0,1.8123509393,0.40982404920000004
immunity_isolated__WT_WT__6.0,1.4961695735,0.2630424833
immunity_isolated__WT_SP__2.0,1.2327222601,0.1441189616
immunity_isolated__AvrRpt2_WT__5.0,0.6513921075,0.6211574863
immunity_isolated__AvrRpt2_b2b3__2.0,1.5371624044,0.3573766849
immunity_isolated__WT_WT__7.0,2.1864421321,0.0335084041
immunity_isolated__WT_sid2__2.0,1.1234690392,0.2651430034
immunity_isolated__WT_pad4__3.0,1.1778261023,0.5944986362
immunity_isolated__WT_PS__3.0,0.8564416791,-0.209847727
immunity_isolated__AvrRpt2_WT__6.0,-0.018021266,0.4503422889
immunity_isolated__AvrRpt2_sid2__3.0,-0.7437109797,1.0583184
immunity_isolated__AvrRpt2_pad4__3.0,-0.5309256678000001,0.7067169086
immunity_isolated__AvrRpt2_WT__7.0,2.7444187204,0.1858583724
immunity_isolated__AvrRpt2_npr1__3.0,0.21755653590000001,-0.5050710985
immunity_isolated__AvrRpt2_DE__3.0,0.3026547953,0.5710774759
immunity_isolated__AvrRpt2_DEPS__2.0,0.8101955727,-0.0490206043
immunity_isolated__AvrRpt2_RR__1.0,2.5700592238,0.0394709876
immunity_isolated__AvrRpt2_WT__8.0,5.9468155751000005,0.10047276420000001
immunity_isolated__AvrRpt2_RR__2.0,-2.8689873681,-1.1490576154
immunity_isolated__WT_WT_mock__2.0,0.7969351602,0.2446196673
immunity_isolated__WT_WT_SA__1.0,1.9125811091,0.1528508469
immunity_isolated__WT_WT_chitin__1.0,-2.2680277489,0.4486281682
immunity_isolated__WT_WT_SA__2.0,1.1916725484,1.0066146849
immunity_isolated__WT_WT_mock__3.0,1.472413986,-0.0277743238
immunity_isolated__WT_WT_chitin__2.0,-0.9595590641,0.4242097265
immunity_isolated__WT_WT_SA__3.0,0.9213145876000001,0.4266722723
immunity_isolated__WT_WT__8.0,1.1156944109,-0.19583949120000002
immunity_isolated__AvrRpt2_WT__9.0,-0.2709088093,0.5890856859
immunity_isolated__AvrRpt2_WT__10.0,1.8217063317000002,0.4076493659
immunity_isolated__WT_WT__9.0,-0.10880091730000001,-0.32267348
immunity_isolated__AvrRpt2_WT__11.0,-1.2839812485,0.6166546970000001
immunity_isolated__WT_WT__10.0,-0.3664804484,-0.6240396370000001
immunity_isolated__WT_pad4__4.0,1.9013102574,-0.09579044710000001
immunity_isolated__WT_PS__4.0,0.9005538683000001,-0.14028761950000002
immunity_isolated__AvrRpt2_WT__12.0,-1.1970902111,0.1213304031
immunity_isolated__AvrRpt2_pad4__4.0,-1.3424957291,0.5142563502
immunity_isolated__AvrRpt2_PS__3.0,-0.7035923420000001,0.5931122706
immunity_isolated__WT_WT__11.0,-0.9186575936,-0.2552569066
immunity_isolated__WT_stp__1.0,-0.1631991566,-0.035317782400000004
immunity_isolated__AvrRpt2_WT__13.0,1.3581791617,-0.0357989666
immunity_isolated__AvrRpt2_stp__1.0,0.5062713315,-0.2729303139
immunity_isolated__WT_WT__12.0,-0.3870142486,-0.6207600084
immunity_isolated__WT_stp__2.0,-0.0826869181,-0.9329590512
immunity_isolated__AvrRpt2_WT__14.0,0.2858627204,0.1375019902
immunity_isolated__AvrRpt2_stp__2.0,0.1138868527,0.2789082762
immunity_no_isolation__WT_WT_mock__1.0,-1.2834933328,-0.1394659343
immunity_no_isolation__WT_WT_flg22__1.0,13.804365548,0.7409264329
immunity_no_isolation__WT_WT_flg22__2.0,17.4212862669,1.4307456141000001
immunity_no_isolation__WT_WT_flg22__3.0,14.4846133724,0.46909301470000003
immunity_no_isolation__WT_WT_mock__2.0,1.1324265314,0.057522654400000005
immunity_no_isolation__WT_WT_mock__3.0,0.1510668014,0.0819432799
immunity_time__mock_1hpi__1.0,0.149467752,0.1813681388
immunity_time__mock_1hpi__2.0,-0.1707988087,-0.1544957076
immunity_time__mock_1hpi__3.0,0.0213310567,-0.0268724312
immunity_time__flg22_1hpi__1.0,-1.0228895064,-0.039623487900000004
immunity_time__flg22_1hpi__2.0,0.9663587024,-0.6195829218000001
immunity_time__flg22_1hpi__3.0,0.2695520731,-0.5453153608
immunity_time__mock_3hpi__1.0,-0.6769072231000001,-0.8222560693000001
immunity_time__mock_3hpi__2.0,-1.8700077966,-0.33311944390000003
immunity_time__mock_3hpi__3.0,2.9137441864999998,-0.7021123691000001
immunity_time__flg22_3hpi__1.0,0.2015741257,-0.43823626990000003
immunity_time__flg22_3hpi__2.0,0.3227783625,-0.3720071209
immunity_time__flg22_3hpi__3.0,0.2979124915,-0.5720701457
immunity_time__mock_5hpi__1.0,-1.2236850782,-0.8396861164
immunity_time__mock_5hpi__2.0,-1.5657669539999999,-0.400675846
immunity_time__mock_5hpi__3.0,-0.1501431177,-0.5228753954
immunity_time__flg22_5hpi__1.0,1.4398782425,-0.6416589076
immunity_time__flg22_5hpi__2.0,1.1378860893,-0.1033307152
immunity_time__flg22_5hpi__3.0,2.4557220826,0.2173417639
