,-0.13305430640625,-0.11531373221874999,-0.09757315803125,-0.07983258384375,-0.06209200965625,-0.044351435468750006,-0.02661086128125001,-0.008870287093750012,0.008870287093749984,0.02661086128124998,0.04435143546874998,0.062092009656249975,0.07983258384374997,0.09757315803124997,0.11531373221874996,0.13305430640625,0.15079488059374996,0.16853545478124993,0.18627602896874995,0.20401660315624998
SigA_genes,[],[],[],[],[],['pdhB' 'psdA' 'ald' 'psdB' 'pdhA' 'sr1'],"['abrB' 'lytE' 'pyrG' 'ptsG' 'rsgI' 'spoIIT' 'opuBA' 'yflI' 'purT' 'cysJ'
 'opuAB' 'opuBB' 'radC' 'mhqA' 'opuBC' 'sigI' 'mhqO' 'opuAA' 'sacY'
 'comEC' 'ywbI' 'pdhD' 'BSU_misc_RNA_10' 'cysI' 'murB' 'mhqN']","['pdhC' 'murAA' 'gutB' 'ohrR' 'mtlF' 'ylxW' 'guaA' 'murG' 'divIB' 'copZ'
 'recU' 'znuA' 'opuAC' 'txpA' 'sigG' 'ptsI' 'copA' 'ytxM' 'zinT' 'rplV'
 'mreC' 'thiE' 'med' 'pabB' 'folB' 'mhqE' 'yutE' 'ansA' 'sul' 'thiM'
 'folK' 'comEA' 'pdeH' 'mtlD' 'pabC' 'dhbF' 'gapB' 'yaaA' 'yydG' 'comEB'
 'mreD' 'manA' 'albF' 'pucH' 'ywzB' 'pucF' 'menD' 'tasA' 'speB' 'mtlA'
 'mreB' 'valS' 'sigX' 'glcP' 'ylqC' 'lmrB' 'yabE' 'yutD' 'speD' 'yocH'
 'azoR2' 'ribA' 'yqcK' 'sipW' 'sboA' 'efeO' 'snaA' 'epsH' 'trmU' 'albG'
 'ywkB' 'epsG' 'epsK' 'gutP' 'tcyM' 'arfM' 'epsM' 'rbfA' 'jag' 'tcyN'
 'speE' 'sacX' 'glmS' 'gabR' 'ptsH' 'menF' 'arsB' 'rpsP' 'arsR' 'purS'
 'ytrD' 'purK' 'BSU_misc_RNA_21' 'proJ' 'rpoE' 'menB' 'comGG' 'ylqD'
 'sinR' 'pucG' 'rpsJ' 'ywoD' 'manP' 'dhbA' 'ansB' 'prfB' 'maf' 'fruC'
 'yvoF' 'bmrR' 'htrA' 'tcyL' 'lonA' 'sigE' 'epsJ' 'yhdA' 'nifS' 'ntdB'
 'mhqD' 'fabL' 'ntdA' 'tapA' 'dapG' 'yhdF' 'folC' 'epsO' 'ptpZ' 'lmrA'
 'nadC' 'secY' 'sbcD' 'epsL' 'citA' 'yrvO' 'sacB' 'rplC' 'narG' 'yxaB'
 'ntdC' 'cymR' 'rplS' 'rsiX' 'purC' 'lytB' 'purB' 'sboX' 'cssS' 'ygaN'
 'albE' 'gbsA' 'epsN' 'sbcC' 'dnaA' 'hypO' 'gcaD' 'cmoJ' 'parE' 'epsF'
 'xynA' 'ytrF' 'gabT' 'pabA' 'rplF' 'ytrC' 'ribH' 'yvcD' 'gyrA' 'addA'
 'yukD' 'map' 'yyaF' 'comFC' 'sndB' 'epsA' 'kinE' 'wapA' 'gudB' 'cmoO'
 'antE' 'tcyJ' 'feuB' 'sat' 'snaB' 'ctc' 'tcyK' 'rpsC' 'ywoC' 'mta' 'fbp'
 'ctsR' 'menC' 'dhbE' 'prs' 'menE' 'thrZ' 'psdR' 'dhbB' 'rplR' 'sufU'
 'motP' 'rpmC' 'purE' 'comZ' 'yqaN' 'spoIIGA' 'sipS' 'lytA' 'ptsA' 'liaF'
 'mtnE' 'spoIIIJ' 'cmoI' 'feuC' 'pyrAA' 'gabD' 'disA' 'ybgB' 'nadB' 'yqzO'
 'albD' 'rimM' 'metI' 'yutF' 'efeU' 'narK' 'psdS' 'yfkJ' 'parC' 'maeA'
 'ribR' 'nagP' 'rpsS' 'comFA' 'yxaA' 'znuB' 'arsC' 'yfmP' 'ytrA' 'guaD'
 'pckA' 'BSU_misc_RNA_15' 'mtnU' 'rpsF' 'cssR' 'rplO' 'rpsQ' 'lytC' 'mbl'
 'pbuX' 'yxeN' 'tkmA' 'rplP' 'ytrE' 'BSU_misc_RNA_28' 'efeB' 'cysP' 'dynA'
 'addB' 'mrnC' 'adaA' 'rpoB' 'ytnM' 'purQ' 'yuxK' 'hemZ' 'bmr' 'opuBD'
 'epsI' 'yloN' 'xpt' 'ywhA' 'sirB' 'pyrB' 'albC' 'ywoB' 'cysE' 'epsB'
 'pyrD' 'dapA' 'cysS' 'rpsN' 'csbA' 'gyrB' 'remB' 'liaS' 'yneI' 'pyrC'
 'yqaJ' 'rplE' 'dnaJ' 'yydI' 'ppiB' 'yqaH' 'pmi' 'rplD' 'yqeV' 'ytrB'
 'nadE' 'znuC' 'rplX' 'dhbC' 'rpsH' 'rplN' 'ylxM' 'sufS' 'yqaL' 'defA'
 'adaB' 'ylxP' 'yqaM' 'narH' 'nadA' 'comFB' 'purN' 'asd' 'bglC' 'hmp'
 'motS' 'smc' 'mutY' 'yqaK' 'ponA']","['ysxC' 'yqaI' 'minD' 'yqeU' 'trpP' 'pucB' 'pyrK' 'sbp' 'adk' 'rapB'
 'glmM' 'ptkA' 'yqaF' 'rpsE' 'yacF' 'pyrE' 'comQ' 'yukB' 'comA' 'pucC'
 'rpsD' 'rplW' 'yvoD' 'lgt' 'levB' 'yqdA' 'comGF' 'rocR' 'fnr' 'rpsR'
 'blt' 'yqzL' 'liaR' 'gtaB' 'bltD' 'sufD' 'sufC' 'pyrP' 'yxeM' 'secA'
 'yxeK' 'spoIIIE' 'tagU' 'sndA' 'pucA' 'nadR' 'yuxO' 'spoIIE' 'comC'
 'rplB' 'yqeT' 'alkA' 'epsE' 'ribD' 'bmrA' 'liaH' 'cdaR' 'lepA' 'ylnF'
 'rpmD' 'gbsB' 'yydH' 'purH' 'mtnW' 'spo0E' 'cysC' 'yueB' 'pyrF' 'infA'
 'yotK' 'comGE' 'ywrB' 'rapD' 'yczL' 'ftsY' 'hrcA' 'putR' 'yjdF' 'yazB'
 'ylxX' 'rpoY' 'pucD' 'rpmJ' 'ydfK' 'rpoA' 'ribE' 'yfmO' 'comP' 'hprK'
 'yxeQ' 'albB' 'pgk' 'capA' 'pbpD' 'yotJ' 'yvoE' 'kinC' 'rpmH' 'pyrAB'
 'ssuB' 'minC' 'narI' 'ssuC' 'folEB' 'lutR' 'mecA' 'hlpB' 'yotM' 'purL'
 'ybbA' 'capC' 'rapH' 'zagA' 'yqaG' 'yfkH' 'ctaA' 'yfkI' 'liaG' 'proH'
 'recO' 'yxeO' 'trmD' 'yloM' 'gamR' 'rpsK' 'wapI' 'yhcY' 'ggaB' 'comGC'
 'hemN' 'chrS' 'yotC' 'aprX' 'ybdZ' 'yotI' 'comGD' 'dnaN' 'capE' 'ssbA'
 'licT' 'yacO' 'ktrC' 'groES' 'tetB' 'rpoC' 'mtnD' 'thrS' 'yviE' 'hbs'
 'fliW' 'yqiK' 'pbpF' 'mhqP' 'lysS' 'catD' 'ssuD' 'yotB' 'thrR' 'ypzF'
 'spoIIIL' 'ydcG' 'ascR' 'ssuA' 'ccdA' 'yacP' 'ymfC' 'pucE' 'ypqP' 'sufB'
 'glpP' 'ydfM' 'yojE' 'narJ' 'yukE' 'era' 'ykoP' 'hprT' 'yhdL' 'gltX'
 'yukC' 'mtnX' 'sigA' 'csrA' 'rnjB' 'comGB' 'yydJ' 'licR' 'infB' 'ohrA'
 'purA' 'mcsA' 'cspB' 'galE' 'ykqA' 'citR' 'fmt' 'liaI' 'ribT' 'ffh'
 'rpsM' 'epsD' 'recF' 'sprA' 'araR' 'ybzG' 'catE' 'yciB' 'gapA' 'cdaA'
 'opuD' 'iolR' 'glcR' 'rnjA' 'yosX' 'purM' 'comX' 'yotH' 'tilS' 'yotG'
 'gltC' 'pheT' 'pheS' 'metC' 'mtrB' 'ylxR' 'gltR' 'yotD' 'capB' 'groEL'
 'radA' 'feuA' 'ftsA' 'fabHA' 'tpi' 'minJ' 'ycnL' 'mcsB' 'ycbK' 'yueC'
 'ycnI' 'veg' 'eno' 'glsA' 'comGA' 'rplQ' 'yueD' 'dnaK' 'ftsH' 'yotE'
 'ybfK' 'glyA' 'ykuO' 'glnT' 'proA' 'nusA' 'ylnD' 'cggR' 'yneJ' 'ggaA'
 'yflH' 'mtnB' 'proB' 'ugd' 'purF' 'recA' 'purD' 'rplGA' 'phrH' 'cysH'
 'secE' 'lutC' 'yeaB' 'phoC' 'yhcZ' 'BSU_misc_RNA_26' 'pyrR' 'ypbS' 'yydF'
 'epsC' 'albA' 'sda' 'yhxA' 'ywrA' 'flgL' 'lrpC' 'cdd' 'spo0F' 'ccpA'
 'ybfM' 'cysL' 'yaaJ' 'BSU_misc_RNA_29' 'vmlR' 'yvyG' 'grpE' 'ywcE' 'flgM'
 'pgm' 'pssA' 'BSU_misc_RNA_27' 'ezrA' 'rtpA' 'yhdK' 'sinI' 'lctP' 'rpmGB'
 'htpG' 'ytfP' 'folE' 'ykuN' 'sdhC' 'yqiI' 'ftsZ' 'proI' 'pheA' 'iolS'
 'spo0B' 'sigH' 'mtnK' 'dnaG' 'fabF' 'mtnA' 'psd' 'sprB' 'sdhA' 'topB'
 'obg' 'yflG' 'scr' 'lutB' 'sigM' 'ykuP' 'acdA' 'lutA' 'clpX' 'gamA'
 'yqiH' 'citG' 'flgK' 'sspE' 'yqxD' 'ylxS' 'fadF' 'gamP']","['ycnJ' 'spo0A' 'des' 'cwlO' 'clpE' 'ogt' 'rnc' 'sdhB' 'clpC' 'pamR'
 'yvyF' 'rppH' 'ycnK' 'clpP' 'swrAA/2' 'swrA' 'alsD' 'cadA']",['ldh' 'alsS'],['sdpI' 'sdpR'],[],[],[],[],[],[],[],[]
CcpA_genes,[],[],[],[],[],['pftA' 'opuE'],['pftB' 'rocG'],"['msmX' 'yslB' 'cydB' 'dprA' 'cimH' 'cydC' 'ykuK' 'cydA' 'acoB' 'topA'
 'mmgA' 'yxkF' 'sigL' 'sucD']","['acoA' 'csbX' 'galT' 'scoB' 'galK' 'mmgB' 'acoL' 'sucC' 'ykuJ' 'mmgE'
 'ypiF' 'serA' 'yhaR' 'mmgC' 'bofC' 'ldt' 'yobO' 'yozM' 'levD' 'acoC'
 'yvnA' 'mmgD' 'cydD' 'pchR' 'levG' 'levE' 'levF' 'scoA' 'yesL' 'yesN'
 'hbuT' 'yxjF' 'yopL' 'yesM' 'mmgF' 'sacC' 'yqxI' 'darB']",['yqxJ' 'abbA' 'yvmA'],[],[],[],[],[],[],[],[],[],[]
TnrA_genes,[],[],[],[],[],[],[],"['yycA' 'glnQ' 'pxpB' 'ycsG' 'pxpC' 'yodF' 'glnH' 'kipR' 'ywdJ' 'yvgT'
 'yfiS' 'tnrA' 'yoyD' 'lipC']","['alsT' 'ywdI' 'ycsI' 'ysnD' 'glnM' 'ywrD' 'ywdK' 'glnP' 'pxpA' 'yfiR'
 'nasA' 'yrbD' 'yycC' 'yycB' 'yxkC' 'pucR' 'ywlF' 'ywlG']",['yttA'],[],[],[],[],[],[],[],[],[],[]
ComA and CodY_genes,[],[],[],[],[],[],[],[],[],['rapE'],[],[],[],[],[],[],[],[],[],[]
ComA and SigA_genes,[],[],[],[],[],[],[],['lutP' 'rapI'],['acpA' 'phrI' 'fabD' 'fapR'],['plsX' 'fabG'],[],[],[],['degQ'],[],[],[],[],[],[]
ComA and CcpA_genes,[],[],[],[],[],[],[],[],[],['phrF'],[],['rapF'],[],[],[],[],[],[],[],[]
Abh and CcpA_genes,[],[],[],[],[],[],[],['ctaD' 'cwlS' 'ctaG' 'ctaF' 'ctaE'],['ctaB' 'ctaC'],[],[],[],[],[],[],[],[],[],[],[]
Spx and SigA_genes,[],[],[],[],[],[],[],"['ypjD' 'ywcH' 'nfrA' 'dapB' 'mtnN' 'mccA' 'mgsA' 'bshA' 'mccB' 'cca'
 'yrhC' 'ylaC' 'bshB1' 'cysK' 'birA' 'bshC']","['ytpQ' 'trxA' 'ytpR' 'ylaB' 'ylbQ' 'ytpP' 'ylaD' 'yojF' 'yoyC' 'msrA'
 'msrB' 'ylaA' 'yrrT' 'bshB2']",[],[],[],[],[],[],[],[],[],[],[]
PerR and SigA_genes,[],[],[],[],[],[],[],"['ymaB' 'nrdE' 'nrdI' 'nrdF' 'hemX' 'hemC' 'perR' 'hemA' 'fur' 'mrgA'
 'hemL' 'hemB']",['ahpF' 'hemD' 'spx' 'ahpC'],['pfeT'],[],[],[],[],[],[],[],[],[],[]
CodY and PhoP_genes,[],[],[],[],[],[],[],[],[],[],['vpr'],[],[],[],[],[],[],[],[],[]
CodY and SigA_genes,[],[],[],[],[],[],"['flhB' 'cheD' 'fliR' 'cheC' 'cheW' 'nupO' 'fliQ' 'nupP' 'cheA' 'flhA'
 'cheB' 'fliG' 'sigD' 'fliY' 'carA' 'flgE' 'flhF' 'nupQ' 'fliM' 'fliI'
 'flhG' 'carB' 'flgD']","['fliF' 'cheY' 'fliL' 'fliH' 'flgC' 'fliZ' 'argD' 'argB' 'swrD' 'fliP'
 'argF' 'ylxF' 'fliE' 'fliJ' 'nupN' 'swrB' 'flgB' 'fliK' 'scoC' 'trmFO'
 'asnH' 'kinB' 'codV' 'kapB' 'bacE' 'yxaM' 'amhX' 'dppE']","['argJ' 'clpY' 'putP' 'bacC' 'bacD' 'clpQ' 'codY' 'bacF' 'argC' 'dppA'
 'bacB' 'bacA' 'dppD' 'braB' 'dppC' 'yxnB' 'aprE' 'yxbB' 'dppB' 'yxbA'
 'comK' 'putC']",['frlM' 'frlD' 'yurJ' 'frlB' 'putB' 'ispA' 'frlN' 'frlO'],[],[],[],[],[],[],[],[],[],[]
CodY and TnrA_genes,[],[],[],[],[],[],['oppB' 'oppC'],['thrB' 'oppD' 'thrC' 'hom' 'appB' 'appC' 'oppF' 'oppA'],['yuiA' 'appA/1' 'appA/2' 'yuiB' 'appD' 'appF'],[],[],[],[],[],[],[],[],[],[],[]
PhoP and SigA_genes,[],[],[],[],[],[],[],"['tuaA/2' 'tuaB' 'tuaC' 'tagB' 'tuaA/1' 'phoD' 'tatAD' 'tuaD' 'phoB'
 'tagE' 'skfF' 'tuaE' 'skfG' 'tuaH' 'ydhF' 'tuaG' 'tagH' 'tuaF']","['tatCD' 'skfH' 'tagG' 'phoA' 'pstBB' 'tagD' 'tagF' 'skfE' 'tagA' 'pstBA'
 'skfC' 'pstC' 'pstA' 'pstS' 'skfB' 'skfA']",[],[],[],[],[],[],[],[],[],[],[]
PhoP and CcpA_genes,[],[],[],[],[],[],[],[],['refZ'],['yfkN'],[],[],[],[],[],[],[],[],[],[]
SigA and CcpA_genes,[],[],[],[],[],[],['citM' 'yflN' 'licA' 'glpF' 'licH' 'glpK' 'licC' 'licB'],"['etfB' 'bglH' 'fadR' 'iolF' 'rsbU' 'iolC' 'xylA' 'bglP' 'iolE' 'iolD'
 'acuC' 'xynP' 'fadB' 'etfA' 'ylbP' 'araB' 'gmuG' 'araL' 'xynB' 'malA'
 'xylB' 'uxaC' 'araM' 'rsbS' 'rsbT' 'cstA' 'rsbR' 'araE' 'wprA' 'araD'
 'nupC' 'kdgA' 'araA' 'iolI' 'gmuF' 'acuB' 'iolH' 'mleN' 'abfA' 'sigB'
 'iolJ' 'lcfA' 'glvR' 'abnA' 'rsbV' 'malP' 'gmuE' 'iolB' 'acuA' 'araQ'
 'bglS' 'araN' 'rsbX' 'yjmD' 'dra' 'glpD' 'gntP' 'rsbW' 'uxaA' 'iolA'
 'mtlR' 'yjmC' 'gmuD' 'uxaB' 'melR']","['ganQ' 'kdgK' 'drm' 'glmR' 'iolG' 'ganA' 'nagR' 'gntZ' 'gmuR' 'ccpC'
 'ganB' 'yjmF' 'kdgR' 'araP' 'uxuA' 'pupG' 'mdh' 'kduI' 'fadA' 'melC'
 'sspH' 'fadN' 'mleA' 'abf2' 'yjmB' 'ganP' 'lcfB' 'gmuC' 'rhaR' 'citZ'
 'melD' 'exuR' 'pta' 'rhaEW' 'exuT' 'whiA' 'icd' 'rhaA' 'kdgT' 'fadE'
 'melA' 'gntK' 'yvcI' 'ysfE' 'kduD' 'rbsC' 'rapG' 'melE' 'rhaB' 'crh'
 'yvcJ' 'nagA' 'pdp' 'nagB' 'gntR' 'rhaM' 'yvcN' 'gmuA' 'amyE' 'rbsA'
 'acoR' 'odhA' 'manR' 'ganS' 'abn2' 'odhB' 'qcrA']","['phrG' 'qcrC' 'rbsB' 'qcrB' 'rbsD' 'rbsK' 'cccA' 'yxiE' 'gmuB' 'rbsR'
 'ywdA' 'sacA' 'dctP' 'sacP']",[],[],[],[],[],[],[],[],[],[]
SigA and TnrA_genes,[],[],[],[],[],[],['gltB' 'gltA'],['glnR' 'nasD' 'nasF'],"['pycA' 'pucK' 'nrgA' 'glnA' 'nasC' 'nasB' 'dtpT' 'pucL' 'pucM' 'ftsW'
 'pucJ' 'nasE' 'nrgB']",[],[],[],[],[],[],[],[],[],[],[]
"PhoP, SigA, and CcpA_genes",[],[],[],[],[],['treA' 'treP'],[],['treR' 'resD' 'resC' 'resA'],['resB' 'resE' 'phoR' 'phoP' 'glpT' 'glpQ'],[],[],[],[],[],[],[],[],[],[],[]
"CodY, SigA, and CcpA_genes",[],[],[],[],[],[],['yneN' 'citB' 'acsA'],['ackA' 'hutU' 'hutH' 'hutM' 'hutI' 'hutG'],['tyrS' 'ytzK' 'hutP'],[],[],[],[],[],[],[],[],[],[],[]
"CodY, SigA, CcpA, and TnrA_genes",[],[],[],[],[],[],[],['ilvC' 'leuA' 'leuB' 'ilvH' 'leuC' 'ilvB' 'leuD'],[],[],[],[],[],[],[],[],[],[],[],[]
"CodY, SigA, and TnrA_genes",[],[],[],[],[],[],[],['gabP' 'ureA' 'ureC' 'ureB'],['ansZ'],[],[],[],[],[],[],[],[],[],[],[]
"PhoP, SigA, and TnrA_genes",[],[],[],[],[],[],[],[],['ykoL' 'ykzB'],[],[],[],[],[],[],[],[],[],[],[]
"SigA, CcpA, and TnrA_genes",[],[],[],[],[],[],[],[],['degS'],['degU'],[],[],[],[],[],[],[],[],[],[]
"ComA, CodY, SigA, and CcpA_genes",[],[],[],[],[],[],[],[],['phrE'],[],[],[],['rapA' 'phrC' 'phrA'],[],['rapC'],[],[],[],[],[]
"ComA, Abh, Spx, PerR, CodY, PhoP, and SigA_genes",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['srfAB' 'srfAC' 'comS' 'srfAD'],['srfAA'],[]
"ComA, CcpA, and TnrA_genes",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['pel'],[]
