,A,CcpA,PhoP,TnrA,Spx,ComA,Abh,SigA,CodY,PerR
M+G_1,3.7185012544,12.9454,10.7673,9.6371,14.2495,11.8367,11.5276,13.2264,13.2854,11.6497
M+G_2,2.360794192,12.9502,11.4466,10.4453,13.5707,12.3098,11.8412,13.4217,13.3607,12.156
M+G_3,3.7872243917,13.0831,11.2619,10.0633,13.9184,12.1728,12.033,13.511800000000001,13.2547,12.2042
Glu_1,3.0259264181,13.2722,12.0185,11.1249,14.1339,12.852,11.8065,13.530100000000001,13.4134,12.5476
Glu_2,3.8471766275,13.0125,11.8449,10.615,14.0217,12.6956,11.3101,13.6327,13.3736,12.4963
Glu_3,3.1053986212,13.0086,12.0531,10.9169,14.0221,12.799900000000001,11.7615,13.7226,13.512,12.6037
Fru_1,-2.4343765434,13.1245,11.9516,10.6965,14.5762,12.9497,11.6545,14.0674,13.8242,13.1129
Fru_2,3.8280415094,13.1334,12.0382,10.956,14.1261,12.9544,11.4156,14.0951,13.7724,13.0189
Fru_3,2.0978604796,12.6501,11.4034,10.3859,13.3928,12.3464,11.2139,13.1654,12.8336,11.8201
Mal_1,3.2401058334,12.7659,11.8599,9.7441,13.8714,11.7074,11.3703,13.4585,13.1849,11.5186
Mal_2,1.4208882074,13.1714,11.5623,10.2131,13.6276,12.4245,10.931000000000001,13.6349,13.2762,11.8722
Mal_3,1.0418638945,13.2408,12.2551,10.0683,14.2393,12.5212,11.1893,13.4566,13.3332,12.2565
G+S_2,9.5895376863,12.3084,12.5492,9.8887,13.8111,12.3043,11.9187,13.9115,13.5474,12.0856
G+S_3,7.5793070719,12.8046,12.9083,10.6859,14.0503,12.7469,11.1497,13.688,13.805,12.1756
Pyr_1,6.5461451689,11.8796,12.2315,10.7088,13.3995,12.172,10.9342,12.3939,12.7856,11.7935
Pyr_2,4.7115611453,12.4506,12.5135,10.6649,13.9041,12.58,11.3893,13.5458,13.5249,12.1579
Pyr_3,4.6539175594,12.12,12.1799,10.6801,13.5364,12.3455,11.3694,13.0023,13.0692,11.9504
Gly_1,2.8990209129,11.1859,10.7622,9.9683,14.739,10.7525,11.2206,12.5146,12.5882,11.369
Gly_2,2.6432795860000002,11.9494,11.5465,9.9309,15.2857,11.6814,12.1987,13.6785,13.5829,12.3179
Gly_3,2.1032488973,10.4582,10.179,9.1621,14.264,10.1409,10.4626,12.1185,12.0453,10.8316
Glucon_1,2.599544479,11.7837,11.1575,10.386800000000001,13.1308,12.045,10.5541,12.7107,12.3456,11.3776
Glucon_2,1.7624041523,12.5052,11.5357,10.7721,13.6668,12.515,11.0221,13.0733,12.8288,11.7603
Glucon_3,0.7731762356,11.6721,10.5892,9.8247,12.5756,11.5982,9.8852,12.2186,11.6396,11.4782
aero_1,1.3268796768,13.581,11.4972,10.7008,14.6491,12.705,14.3381,14.1133,14.081,12.7135
aero_2,5.1291209408,12.2556,10.2175,9.1851,14.4512,11.569,13.007,13.0753,12.8037,12.0796
aero_3,3.19442322,13.1507,11.3652,10.1963,14.961,12.5857,13.9794,14.043,13.8412,12.9071
nit_1,3.5781027954,12.2048,12.5261,10.2582,14.4915,12.784,12.5713,13.5453,14.1012,12.2757
nit_2,6.7009752439,12.3771,12.5879,10.74,14.9647,13.2588,12.6228,13.5476,14.1716,12.9574
nit_3,4.4856494351,12.0937,12.3727,10.2272,14.6311,12.8392,12.4897,13.1939,13.8872,12.486
ferm_1,3.3732954704,11.8478,12.5963,10.1252,14.2929,12.565,12.5221,13.3104,14.0159,11.7274
ferm_2,8.3627255617,11.844,12.0973,9.9359,15.1921,12.5166,12.8313,13.4516,13.9244,12.7452
ferm_3,2.9152365272000003,12.0596,12.5434,10.4702,14.6682,13.083,12.8759,14.084,14.1888,13.0699
T-5.40H_1,2.2974685325,13.1785,12.4078,11.3301,14.19,13.1618,12.3569,13.7772,13.1212,12.803
T-4.40H_1,3.6533593777,13.0364,11.7146,11.3081,14.3493,12.9687,12.76,13.9864,13.0653,12.9609
T-3.40H_1,4.580718792,12.9937,11.8651,12.1429,14.4474,12.7533,13.042300000000001,13.7203,12.994,12.9014
T-2.40H_1,3.7821234168,12.7262,11.6089,11.9479,14.3335,12.6863,12.5025,13.5645,12.856300000000001,12.832
T-1.40H_1,4.7462418444,12.5993,11.6985,13.2774,14.6556,12.6033,12.6681,13.5384,12.5601,13.5127
T-1.10H_1,2.6047026134999998,12.4897,11.8774,13.4282,14.8048,12.6989,12.706,13.6837,12.7993,13.7863
T-0.40H_1,4.3889667237,12.6299,11.526,14.3757,14.9264,12.4013,12.8845,13.1869,12.7221,13.8697
T0.0H_1,3.5363766566,12.5924,12.0907,13.9685,14.9099,12.3368,12.5789,13.1322,12.6025,13.748
T0.30H_1,7.0791690792,11.8351,13.8763,13.4535,15.5157,11.2612,12.4924,12.4796,11.2867,13.1405
T1.0H_1,6.7925027014,11.542,14.1785,12.4126,14.4999,11.6538,11.9992,12.338,11.1734,11.4527
T1.30H_1,7.7387847139,11.3226,14.1068,12.075,14.1552,11.5863,12.0075,12.2101,11.0286,11.476
T2.0H_1,8.8491589054,11.2001,13.4851,11.713799999999999,13.8701,11.5318,11.8753,12.1585,11.1144,11.3632
T2.30H_1,9.3663901877,12.0487,14.2331,12.1238,14.6112,12.3055,12.6986,12.7417,12.0441,12.2978
T3.0H_1,10.7529390068,11.4336,13.7161,11.4871,14.3588,11.9624,12.6543,12.3403,11.8191,11.5953
T3.30H_1,11.6863821576,11.6347,13.8636,11.5262,14.655100000000001,12.2822,12.8044,12.2105,12.1971,12.1529
T4.0H_1,11.7505945012,11.5786,13.6145,11.3002,14.6958,12.332699999999999,12.7583,11.7531,12.6543,12.3259
T5.0H_1,13.706095099,10.8655,12.8351,10.8493,14.0971,11.8781,12.1001,11.4151,12.1556,11.7499
HPh_1,-1.3308382386,13.5047,11.2683,9.6973,13.834,12.6028,13.7805,13.9961,14.0402,12.9131
HPh_2,-2.6279048402000003,13.1098,10.854800000000001,9.642900000000001,13.4352,12.4592,13.8009,13.8834,13.7202,12.5076
HPh_3,-2.7353142956000003,13.3287,11.2411,9.9184,14.0874,12.2363,14.4903,13.9816,14.0557,12.8452
LPh_1,-0.8597627424000001,13.4839,11.1934,9.6844,14.2124,12.3004,13.4937,14.0627,14.1537,12.9543
LPh_2,-1.3599947797,13.9592,11.6773,9.9714,13.7825,13.0524,13.828,14.6632,14.3754,13.3504
LPh_3,-1.8981340546,13.433,11.1525,9.7221,13.2857,12.4199,13.3142,14.1228,14.2255,12.9965
LPhT_1,5.4553576893,11.7757,12.9986,9.9059,15.6594,11.3288,13.3822,13.2688,13.3638,15.0203
LPhT_2,6.3008079382,11.5546,13.1291,9.676,15.455,11.3009,13.0212,13.1712,13.4522,15.0773
LPhT_3,6.5086531839,11.7908,13.3153,9.8053,15.8896,11.6531,13.033,13.3603,13.8095,15.2945
SMMPr_1,6.8586893133,12.536200000000001,11.5935,10.4211,14.3393,12.6527,12.7346,14.0475,13.3211,12.0841
SMMPr_2,6.2842088005,12.6484,11.7392,10.2438,14.6604,12.4717,12.8521,14.0387,13.5095,12.0615
SMMPr_3,5.088423261,12.7246,11.6784,10.2908,14.878,12.7454,13.0998,14.0168,13.6113,12.4242
HiTm_1,5.7037360205,12.6176,11.2302,9.1608,15.1497,11.883,12.535,14.1183,13.6247,12.9242
HiTm_2,6.7115655177,12.8332,12.1234,10.0633,14.780100000000001,12.8097,12.5816,13.3113,13.3934,12.8514
HiTm_3,8.0822934768,12.7691,12.1758,10.7522,14.9025,12.9353,12.8815,13.5911,13.4343,12.8683
LoTm_1,6.8427761687,11.6948,12.7641,11.8691,15.008,12.2016,13.280100000000001,12.3657,14.0184,12.2442
LoTm_2,6.898707902,11.0494,12.7363,11.5529,15.5141,11.8494,13.0171,12.2284,13.7256,11.9912
LoTm_3,5.9899471059,11.483,12.9176,11.3943,14.6545,11.9535,12.7717,12.255700000000001,13.7307,11.7925
HiOs_1,7.3778854434,12.3267,12.239,10.9236,14.5815,12.7038,10.5862,13.2213,13.1122,12.7854
HiOs_2,8.30988952,12.1663,11.9439,10.6846,14.5501,12.4488,10.5996,13.1559,13.012,12.8194
HiOs_3,9.1125227359,12.4143,12.1753,10.6698,14.7382,12.5645,10.5094,13.2773,13.1912,12.4591
BMM_1,0.6510347465,13.2477,12.0058,10.2846,13.7204,12.4652,11.7832,13.4498,13.432,12.3692
BMM_2,0.7430801753,12.9937,11.6958,10.1503,13.5661,12.2148,11.6709,13.3205,13.1396,12.4523
BMM_3,0.18440725200000002,13.2457,11.693,9.9824,13.9036,12.2404,11.9858,13.5462,13.4568,12.5271
Heat_1,4.2519354536,13.6534,12.3468,10.3836,15.5684,12.8151,13.1007,13.2334,14.0469,13.5304
Heat_2,3.1747218774,13.1608,12.1899,10.0572,15.311,12.5303,12.9626,12.9985,13.8246,13.2469
Heat_3,1.3860829203,12.8325,11.8792,9.6843,15.2238,12.262,12.7375,12.9208,13.668800000000001,12.8634
Cold_1,6.5882228774,12.4659,10.4584,14.0081,14.4716,12.6291,12.921,14.8203,13.2401,13.4591
Cold_2,7.030365427,11.8106,9.5517,13.2944,14.8987,11.8877,12.9932,14.1853,12.7097,13.3117
Cold_3,4.8448273961,11.3996,9.0352,12.1401,14.3399,11.5103,12.3301,13.7563,12.2239,13.2899
Etha_1,2.1470091349000002,10.3534,11.6657,8.6843,16.3691,10.7964,11.9567,12.8573,12.0749,12.668800000000001
Etha_2,-0.1850834418,10.2002,11.0273,8.4891,15.9106,10.7761,11.8907,12.7243,11.9248,12.262
Etha_3,1.9966424477,10.5843,11.7582,8.4855,16.284,11.1552,12.1254,12.9687,12.3303,12.6084
SMM_1,0.5461753769000001,12.7566,11.5703,10.4839,14.25,12.6716,12.5608,13.5052,13.2283,12.3262
SMM_2,2.1210932576,12.7378,11.5568,10.6598,14.461500000000001,12.3826,12.5794,13.4164,13.2029,12.2848
SMM_3,1.6238209115000002,12.8588,11.629,10.7998,14.3248,12.6646,12.1576,13.5245,13.1501,12.2609
Salt_1,1.8446817637000001,11.8341,10.7756,9.6839,15.8804,11.4509,12.3399,13.4812,13.2467,12.9567
Salt_2,1.8791509963,11.6592,10.7622,9.3111,15.9043,11.2275,12.3259,13.3286,13.3133,12.6285
Salt_3,0.5634234409000001,11.9911,10.7822,9.3717,15.6965,11.4941,12.4475,13.5898,13.2921,12.6702
Mt0_1,-1.4852052356,13.4414,11.7689,9.3873,15.0916,12.4305,14.8617,14.1658,13.9994,12.5851
Mt0_3,-2.6382017915000002,13.8948,12.0739,9.5945,14.3244,12.7214,14.4008,14.0834,13.8511,12.642900000000001
M0t45_1,3.2166955225000002,12.9275,12.5497,9.765,15.6731,12.6721,13.2927,14.1543,13.8717,14.2501
M0t45_2,-0.2073954986,13.1174,11.4439,9.8293,15.0075,12.596,14.4023,14.1846,14.114,12.957699999999999
M0t45_3,-0.24613435090000002,13.2748,12.8554,10.3005,15.837,13.0467,13.8351,14.2651,14.2129,14.2715
M0t90_1,4.7083382413,11.9368,14.1157,9.8033,15.2774,11.8227,10.8605,12.6548,13.1859,12.8343
M0t90_2,4.2044648637,12.8885,14.6479,11.1958,15.5359,13.0509,11.9522,13.7437,14.2449,13.5405
M0t90_3,4.4675098303,12.4151,14.7104,10.7504,15.7376,12.52,11.6992,13.3157,13.6951,13.643
M40t45_1,2.0696149374,12.7742,12.1607,9.0233,15.0215,12.1579,13.0097,13.6425,13.5939,13.674900000000001
M40t45_2,5.3079945236,13.1229,14.2282,10.846,16.3006,12.1808,13.2779,14.0392,11.8656,14.5078
M40t45_3,-0.348743548,13.4102,12.9526,10.569,15.6847,13.1156,13.7612,14.097,14.2107,14.3596
M40t90_1,5.9187818151,12.3334,14.6356,9.8261,15.5782,12.0789,10.7084,13.0377,13.1566,13.1782
M40t90_2,6.061602967,12.9685,15.032,10.8184,15.82,13.1209,11.9975,13.1057,13.9061,13.7515
M40t90_3,5.5998629975,13.0425,15.1638,10.7706,15.9626,12.8887,12.3287,13.594,13.5266,13.7514
dia0_1,-2.8359876753,13.3645,11.5641,9.1393,14.6761,12.2819,14.9132,13.697,13.7839,12.426
dia0_2,-3.2017339092,13.5945,11.8415,9.6697,14.842600000000001,12.6825,14.882,13.836,13.687100000000001,12.7109
dia0_3,-1.9634966118000001,13.5624,11.8493,9.9619,14.7949,12.7921,14.6475,14.2766,13.955,12.9125
dia5_1,-0.3838697211,12.7572,12.6064,9.0658,15.374600000000001,11.8988,14.6154,12.4511,12.3306,12.8546
dia5_2,-1.2043125115,12.909,12.5514,9.7587,14.962,11.9706,14.5334,12.4552,12.2308,13.0135
dia5_3,-1.1520190593,13.2114,12.5459,9.5059,14.7243,11.9065,14.3841,12.6806,12.2208,12.984
dia15_1,-7.3582647442999995,14.037,12.4791,8.9017,13.9262,11.8539,14.2424,13.6394,14.0633,13.7959
dia15_2,-4.6089455703,13.9131,12.1454,9.8205,14.0331,12.4833,14.05,14.4124,15.0188,14.3615
dia15_3,-0.6447335601,12.407,11.6483,9.1389,14.4892,12.2779,13.124,13.2235,13.8787,13.6097
Diami_1,1.0723649388,13.6045,10.8933,8.7792,14.2836,10.42,13.025,12.3456,13.1228,13.7701
Diami_2,0.2537413483,13.9363,11.3663,8.713799999999999,14.4041,11.0234,13.5252,12.9074,13.5839,13.725999999999999
Diami_3,0.766854397,14.0146,11.1334,9.1397,14.2074,10.7665,13.1116,12.8769,13.6056,13.3081
Paraq_1,-0.6280526350000001,13.8114,10.6926,9.7812,14.332699999999999,11.9551,13.4596,14.2324,13.9971,13.3863
Paraq_2,-0.9799597778,14.2719,11.3772,10.0497,14.7289,12.3235,14.1692,14.4646,14.69,13.7024
Paraq_3,-3.3494049009,12.6658,9.9298,8.6554,13.3073,10.7546,12.2311,13.0518,13.1984,11.7818
H2O2_1,-5.4594556152,13.9491,11.1536,9.2636,14.2535,11.9963,13.3724,13.9536,14.5053,13.3213
H2O2_2,-4.7984254132,14.1737,11.5071,9.9525,14.4147,12.267,13.8715,14.1817,14.8095,13.7973
H2O2_3,-4.5614055527,13.9025,11.3816,9.444,14.1338,11.9053,13.3652,13.918800000000001,14.4943,13.645
Oxctl_1,-1.5834234097,13.332699999999999,10.6337,9.704,13.3317,11.8457,13.568200000000001,13.8599,13.7959,11.4264
Oxctl_2,-0.020232272500000002,13.5815,10.6227,9.4142,13.5589,11.8456,13.5989,13.7135,13.7512,11.9571
Oxctl_3,-1.2216055025,14.1076,11.1149,10.0183,14.2213,12.3402,14.3145,14.478,14.61,12.5755
GM-0.1_1,1.0255168533,12.5208,11.5686,10.6625,13.8589,12.5248,11.2171,13.419,13.0284,12.2554
GM-0.2_1,1.6148622418,12.4235,11.461,10.6579,13.6695,12.4091,11.0435,13.3759,12.8726,11.9292
GM+5_1,1.4989371936,13.1251,11.2016,10.6396,13.9306,12.5242,11.1304,13.3714,12.7901,11.6616
GM+15_1,1.6119234709999999,13.5071,11.8474,10.6629,14.0653,12.7025,11.47,13.531600000000001,13.3245,12.5695
GM+25_1,4.8096331647,14.2304,12.3422,11.0168,14.5157,12.9318,11.4993,13.8283,13.7695,12.4438
GM+45_1,-0.9764403343,13.7627,11.9955,11.0263,14.3504,12.786,11.9186,13.8168,13.6811,12.6179
GM+60_1,-0.539306201,13.6008,11.8947,10.6792,14.2286,12.5623,11.757,13.9334,13.4223,12.4128
GM+90_1,-2.7719936231,13.5695,11.8538,10.9178,13.9586,12.7741,11.8598,13.8087,13.6186,12.5121
GM+120_1,5.0442625192,12.6996,10.8418,10.072,12.6132,11.6179,11.2213,12.8213,12.3563,11.7927
GM+150_1,5.7480512369,13.2057,11.2658,10.2154,13.6565,12.0719,11.8606,13.4015,13.0796,11.8313
GM-0.1_2,1.5827955424,13.2423,12.0606,11.0168,14.3882,12.8682,10.8268,13.752,13.6061,12.2866
GM-0.2_2,-2.0337189297,13.2446,12.1354,11.1558,14.4105,12.8308,11.7874,13.8708,13.196,12.2317
GM+5_2,-1.5304254627,13.4788,11.6987,10.7393,14.418,12.8127,11.2121,13.4779,13.2043,12.345
GM+10_2,-0.9054592172,13.3724,11.6188,10.7552,14.2806,12.6874,11.3041,13.5433,13.3702,12.2951
GM+15_2,-0.5342084372,13.4496,11.8078,10.6991,14.3677,12.5173,11.4726,13.2997,13.3418,12.2742
GM+25_2,0.0096200628,13.8512,11.9832,10.6707,14.414,12.5411,11.5718,13.492,13.3976,12.0311
GM+45_2,-2.4140225388,12.8419,10.8938,9.9072,13.3578,11.6238,10.6351,13.0365,12.5909,11.1189
GM+60_2,-2.2895593089,12.6812,10.8558,9.9032,13.4564,11.5368,10.8092,12.8823,12.5801,11.0529
GM+90_2,5.4310716895,13.7879,11.755,10.2558,14.0848,12.4564,11.5001,13.7723,13.618500000000001,12.6181
GM+150_2,7.4031008184000004,12.1747,11.9169,10.0026,13.6923,12.105,11.0157,12.7105,13.5741,11.2964
GM-0.1_3,2.7472988036,12.9331,11.8249,11.0698,14.2449,12.6226,11.3798,13.4343,13.2547,12.4553
GM-0.2_3,4.0660380154,12.9573,11.7442,11.1308,14.3259,12.6446,11.0053,13.5552,13.212,12.2556
GM+5_3,3.80841441,13.8079,11.7254,10.8627,14.5832,12.9218,11.0706,13.5866,13.2162,12.7515
GM+10_3,3.4451739563,12.6893,10.547,9.7809,13.3503,11.7632,9.963,12.6924,12.2681,11.4352
GM+15_3,2.9269634355000003,13.3692,11.5554,10.6757,14.0541,12.4633,11.1616,13.3161,12.9926,12.5023
