,A,PSPTO_3698
co_culture__b_thai_45__3.0,-18.8838976819,-1.6489247535
co_culture__mono_25__3.0,-1.1590485342,0.18485003200000003
co_culture__mono_45__3.0,-3.0784505586,0.1974527708
co_culture__mono_40__3.0,-2.4014596338,0.09468434810000001
co_culture__c_viol_25__3.0,-9.4982326967,-0.2312155544
co_culture__c_viol_35__3.0,-10.5189752987,-0.1733081474
co_culture__mono_25__4.0,-0.2783446959,0.1437534504
co_culture__mono_35__4.0,-0.5672243764,-0.3332977828
co_culture__mono_45__4.0,-1.1264785024,0.3902006602
co_culture__mono_40__4.0,-0.6100792802,0.15752658460000002
co_culture__b_thai_30__4.0,-10.6603133707,-1.3304226991
co_culture__b_thai_40__3.0,-14.8302191336,-1.6692506244
co_culture__b_thai_35__4.0,-13.8635231526,-1.4414846213999999
co_culture__c_viol_25__4.0,-8.3382003008,-0.0062687839
co_culture__c_viol_35__4.0,-8.3870476998,-0.037763289000000005
co_culture__c_viol_12.5__3.0,-4.7914312322,0.0667752577
co_culture__c_viol_12.5__4.0,-4.5374203172000005,-0.047948422000000004
co_culture__b_thai_12.5__3.0,-7.7714612112,-0.0329183794
co_culture__mono_12.5__4.0,-0.149084609,-0.0949936525
co_culture__c_viol_30__3.0,-10.321677211,-0.0757985454
co_culture__b_thai_c_viol_35__4.0,-24.5274767176,-1.7272700809
immunity_2__WT_sid2__1.0,0.6622261423,-0.12944675660000002
immunity_2__WT_pad4__1.0,0.9776913743000001,-0.4225079405
immunity_2__WT_PS__1.0,0.7498966656,-0.07321620200000001
immunity_2__WT_sid2__2.0,-0.9529820980000001,0.370120487
immunity_2__WT_pad4__2.0,-0.4140989687,-0.1046100035
immunity_2__WT_PS__2.0,0.9979469551000001,0.0994236705
immunity_2__WT_sid2__3.0,0.2907559556,-0.2406737304
immunity_2__WT_pad4__3.0,1.0714261197,-0.4381218711
immunity_2__WT_PS__3.0,0.7590198424,-0.320900883
immunity_in_vitro__WT_MM__1.0,0.21370565730000002,0.06925112850000001
immunity_in_vitro__WT_MM__2.0,0.1551354346,-0.0807897333
immunity_in_vitro__WT_MM__3.0,-0.3412114195,0.3276801583
immunity_in_vitro__WT_MM__4.0,-0.0276296724,-0.3161415535
immunity_isolated__WT_DE__1.0,0.8386627830000001,-0.3153832728
immunity_isolated__WT_DEPS__1.0,2.0188803213,0.0987252359
immunity_isolated__WT_WT__1.0,0.22149240320000002,0.0950836127
immunity_isolated__WT_npr1__1.0,2.0434296482,0.30191476440000004
immunity_isolated__WT_DE__2.0,0.576408035,0.3866427047
immunity_isolated__WT_DEPS__2.0,2.2793217858,0.3107276765
immunity_isolated__AvrRpt2_WT__1.0,-1.7845291023,0.361207009
immunity_isolated__AvrRpt2_npr1__1.0,-0.2707452335,-0.4159626849
immunity_isolated__AvrRpt2_DE__1.0,-0.3645408807,1.0514287522
immunity_isolated__AvrRpt2_DEPS__1.0,0.5698026003000001,0.0055047818000000005
immunity_isolated__WT_WT__2.0,-1.4901987209,-0.3809444467
immunity_isolated__WT_pad4__1.0,-0.0735576662,-0.7420419996000001
immunity_isolated__WT_PS__1.0,-0.4305956764,-0.5857316213
immunity_isolated__AvrRpt2_WT__2.0,-2.9136324959,-0.19848128850000002
immunity_isolated__AvrRpt2_sid2__1.0,-2.0337645582,-0.1229375189
immunity_isolated__AvrRpt2_pad4__1.0,-1.1450243405,-0.11576051750000001
immunity_isolated__AvrRpt2_PS__1.0,0.5910807610000001,0.2179690564
immunity_isolated__WT_WT__3.0,-1.0615357213,-0.4194720991
immunity_isolated__WT_sid2__1.0,0.3408893456,0.47532992570000004
immunity_isolated__WT_pad4__2.0,-0.0015127055,-0.3867231822
immunity_isolated__WT_PS__2.0,0.6795066232,-0.4741628821
immunity_isolated__AvrRpt2_WT__3.0,-2.3818914249,-0.6953024481
immunity_isolated__AvrRpt2_sid2__2.0,-0.5565361674,-0.059426782000000004
immunity_isolated__AvrRpt2_pad4__2.0,-1.2856635248,-0.0141365736
immunity_isolated__AvrRpt2_PS__2.0,1.6694425824999999,-1.3222931838
immunity_isolated__WT_WT__4.0,0.07360780160000001,-0.537851312
immunity_isolated__WT_npr1__2.0,1.1382560978,-0.2301799038
immunity_isolated__AvrRpt2_WT__4.0,-0.8594588652,-0.2101725721
immunity_isolated__AvrRpt2_npr1__2.0,0.6602378533000001,0.2010440128
immunity_isolated__AvrRpt2_DE__2.0,0.2862447672,0.6308576367000001
immunity_isolated__WT_WT_mock__1.0,-0.3559259705,-0.08549734810000001
immunity_isolated__WT_WT__5.0,0.7473020114000001,0.0103582862
immunity_isolated__WT_SP__1.0,2.0771290633,0.1258822853
immunity_isolated__AvrRpt2_b2b3__1.0,0.21190845100000003,-0.17357615780000002
immunity_isolated__WT_WT__6.0,-0.30920056490000003,-0.11906387580000001
immunity_isolated__WT_SP__2.0,-0.28008672630000003,-0.3335057998
immunity_isolated__AvrRpt2_WT__5.0,-0.8645405836000001,-0.1062017979
immunity_isolated__AvrRpt2_b2b3__2.0,0.4312552559,-0.5259655453000001
immunity_isolated__WT_WT__7.0,-0.28339219720000003,0.6454416836
immunity_isolated__WT_sid2__2.0,-0.3447438986,0.4338678131
immunity_isolated__WT_pad4__3.0,-0.2555442442,0.41210579
immunity_isolated__WT_PS__3.0,0.8892902251,0.48510688350000003
immunity_isolated__AvrRpt2_WT__6.0,-0.3148561529,-0.3170164689
immunity_isolated__AvrRpt2_sid2__3.0,-0.6700498647,-0.8918616991
immunity_isolated__AvrRpt2_pad4__3.0,0.0666502762,-0.036745019000000004
immunity_isolated__AvrRpt2_WT__7.0,-1.4724864055,0.3729832397
immunity_isolated__AvrRpt2_npr1__3.0,-0.0427671029,0.1481476185
immunity_isolated__AvrRpt2_DE__3.0,-0.5542880990000001,0.14382183510000002
immunity_isolated__AvrRpt2_DEPS__2.0,1.5586322375,-0.0711883747
immunity_isolated__AvrRpt2_RR__1.0,0.9975507794,0.085850862
immunity_isolated__AvrRpt2_WT__8.0,-1.4672983298,0.2273495677
immunity_isolated__AvrRpt2_RR__2.0,0.7136834675,-0.3138776895
immunity_isolated__WT_WT_mock__2.0,-0.46465566340000003,-0.06986816180000001
immunity_isolated__WT_WT_SA__1.0,-1.3446033463,0.1416769133
immunity_isolated__WT_WT_chitin__1.0,-1.5330151706000001,-1.9860338897
immunity_isolated__WT_WT_SA__2.0,-0.5679916044000001,-0.3097221056
immunity_isolated__WT_WT_mock__3.0,-0.0022509640000000003,-0.48868174600000003
immunity_isolated__WT_WT_chitin__2.0,-0.3406417755,-0.6030912341
immunity_isolated__WT_WT_SA__3.0,0.1280060196,-0.7680964882
immunity_isolated__WT_WT__8.0,0.6106646692000001,-0.5721348476
immunity_isolated__AvrRpt2_WT__9.0,-0.5225358647,0.19558832
immunity_isolated__AvrRpt2_WT__10.0,0.2531354585,0.0446696756
immunity_isolated__WT_WT__9.0,-0.1786035547,0.41977151300000004
immunity_isolated__AvrRpt2_WT__11.0,-1.7541152559,0.3770196505
immunity_isolated__WT_WT__10.0,-1.1912485442,0.5583374097
immunity_isolated__WT_pad4__4.0,0.5001137336,0.71275261
immunity_isolated__WT_PS__4.0,2.6582202387000002,0.6151442095
immunity_isolated__AvrRpt2_WT__12.0,-1.4252829337000001,0.6407072714000001
immunity_isolated__AvrRpt2_pad4__4.0,0.4868515095,-0.0201601177
immunity_isolated__AvrRpt2_PS__3.0,2.4994784573,0.43649537250000003
immunity_isolated__WT_WT__11.0,1.2411311107,0.6501702903000001
immunity_isolated__WT_stp__1.0,1.4546134638,0.3428554938
immunity_isolated__AvrRpt2_WT__13.0,-1.3209818835,-1.0238395483
immunity_isolated__AvrRpt2_stp__1.0,-0.3463665065,-0.4020408495
immunity_isolated__WT_WT__12.0,1.6199813070000002,-0.34969621430000003
immunity_isolated__WT_stp__2.0,1.443812672,0.2638884419
immunity_isolated__AvrRpt2_WT__14.0,-0.9708975019,0.1511761877
immunity_isolated__AvrRpt2_stp__2.0,-0.8370526262,-0.18045795050000002
immunity_no_isolation__WT_WT_mock__1.0,0.5181299564,0.29516876140000003
immunity_no_isolation__WT_WT_flg22__1.0,-0.7362527986,-0.2139079452
immunity_no_isolation__WT_WT_flg22__2.0,-0.76014478,-0.7015119116
immunity_no_isolation__WT_WT_flg22__3.0,-0.9046780773,-0.19089422250000002
immunity_no_isolation__WT_WT_mock__2.0,-0.9301946791000001,0.1428321055
immunity_no_isolation__WT_WT_mock__3.0,0.4120647228,-0.4380008669
immunity_time__mock_1hpi__1.0,0.047018992100000004,-0.21132577100000002
immunity_time__mock_1hpi__2.0,-0.0033744351000000003,0.0234774989
immunity_time__mock_1hpi__3.0,-0.0436445569,0.18784827210000002
immunity_time__flg22_1hpi__1.0,-0.2813068758,0.15020151010000002
immunity_time__flg22_1hpi__2.0,0.3310210176,0.0642401943
immunity_time__flg22_1hpi__3.0,0.7239637046,0.1231992375
immunity_time__mock_3hpi__1.0,0.3198025313,-0.0394871401
immunity_time__mock_3hpi__2.0,-0.8486854853,0.0120053876
immunity_time__mock_3hpi__3.0,0.42363553660000003,0.2839663952
immunity_time__flg22_3hpi__1.0,-0.5262319806,0.15096565380000002
immunity_time__flg22_3hpi__2.0,-1.1771663551,-0.1616021089
immunity_time__flg22_3hpi__3.0,-0.4799956172,0.5180829405
immunity_time__mock_5hpi__1.0,0.8614449085,0.2357521086
immunity_time__mock_5hpi__2.0,0.9045161519,-0.1428282558
immunity_time__mock_5hpi__3.0,1.24241369,0.0378069023
immunity_time__flg22_5hpi__1.0,-1.4149105596,-0.45435431270000004
immunity_time__flg22_5hpi__2.0,-0.9677477667000001,0.0429954695
immunity_time__flg22_5hpi__3.0,-0.5912403844,0.1437454924
