,A,PsrA
immunity_isolated__AvrRpt2_b2b3__2.0,-0.3856537055,-0.0910047077
immunity_isolated__WT_WT__7.0,0.2368906124,-0.0445693651
immunity_isolated__WT_sid2__2.0,-0.2090413454,0.0649245408
immunity_isolated__WT_pad4__3.0,0.1647806179,0.2219950741
immunity_isolated__WT_PS__3.0,0.0059584695,0.1546290715
immunity_isolated__AvrRpt2_WT__6.0,-0.1672352972,0.05890995
immunity_isolated__AvrRpt2_sid2__3.0,-0.8207591954,-0.2209094362
immunity_isolated__AvrRpt2_pad4__3.0,-0.4069992281,-0.149442443
immunity_isolated__AvrRpt2_WT__7.0,1.3631383787,-0.4304812854
immunity_isolated__AvrRpt2_npr1__3.0,-0.1912982121,-0.6856647841
immunity_isolated__AvrRpt2_DE__3.0,-0.3730368035,-0.3181505575
immunity_isolated__AvrRpt2_DEPS__2.0,0.5003499584000001,-0.0636977376
immunity_isolated__AvrRpt2_RR__1.0,0.6196415839,-0.44080943040000004
immunity_isolated__AvrRpt2_WT__8.0,2.1634235882,0.2856132393
immunity_isolated__AvrRpt2_RR__2.0,1.2454542571,-0.1627826729
immunity_isolated__WT_WT_mock__2.0,0.6947416011,-0.0665802924
immunity_isolated__WT_WT_SA__1.0,0.7672915496,-0.0462034625
immunity_isolated__WT_WT_chitin__1.0,1.6712009277000002,-0.1235090677
immunity_isolated__WT_WT_SA__2.0,1.2248472753,-0.0332233253
immunity_isolated__WT_WT_mock__3.0,-0.2957402784,-0.0679748039
immunity_isolated__WT_WT_chitin__2.0,-0.4712158623,-0.1416981726
immunity_isolated__WT_WT_SA__3.0,-0.052353007800000004,0.08903032520000001
immunity_isolated__WT_WT__8.0,-0.8213312581000001,0.3633511117
immunity_isolated__AvrRpt2_WT__9.0,-0.18723607220000002,0.1301976855
immunity_isolated__AvrRpt2_WT__10.0,0.215143939,0.13139670950000001
immunity_isolated__WT_WT__9.0,0.7077643069,0.5096761661
immunity_isolated__AvrRpt2_WT__11.0,0.1584991019,0.1550675651
immunity_isolated__WT_WT__10.0,-0.0294710395,-0.1063290534
immunity_isolated__WT_pad4__4.0,-0.5929416449,0.12374559710000001
immunity_isolated__WT_PS__4.0,-1.1720493038,-0.0507581085
immunity_isolated__AvrRpt2_WT__12.0,-0.8290677175000001,0.0051951813
immunity_isolated__AvrRpt2_pad4__4.0,-1.1883117028,-0.0314055005
immunity_isolated__AvrRpt2_PS__3.0,-1.2702489942000001,0.348347006
immunity_isolated__WT_WT__11.0,0.0932798254,-0.0695261283
immunity_isolated__WT_stp__1.0,-0.2903348033,-0.44743547840000003
immunity_isolated__AvrRpt2_WT__13.0,-0.4358631808,-0.3052266408
immunity_isolated__AvrRpt2_stp__1.0,0.3352595966,0.0502371644
immunity_isolated__WT_WT__12.0,0.2342859947,-0.15223010550000002
immunity_isolated__WT_stp__2.0,0.42264803370000004,-0.2790416034
immunity_isolated__AvrRpt2_WT__14.0,0.8935846420000001,0.0842721419
immunity_isolated__AvrRpt2_stp__2.0,0.8887050751000001,-0.1403196678
immunity_no_isolation__WT_WT_mock__1.0,1.530941725,0.521300662
immunity_no_isolation__WT_WT_flg22__1.0,-1.3688508544,-0.0918296754
immunity_no_isolation__WT_WT_flg22__2.0,-1.738886805,-0.6494753992
immunity_no_isolation__WT_WT_flg22__3.0,-0.7387855211000001,0.2238754685
immunity_no_isolation__WT_WT_mock__2.0,-0.3573813393,-0.131578192
immunity_no_isolation__WT_WT_mock__3.0,-1.1735603858,-0.38972247
immunity_time__mock_1hpi__1.0,-0.16311356470000002,-0.2666927129
immunity_time__mock_1hpi__2.0,-0.0003101622,0.1241812779
immunity_time__mock_1hpi__3.0,0.1634237269,0.1425114349
immunity_time__flg22_1hpi__1.0,0.0031022497000000003,-0.16204448370000002
immunity_time__flg22_1hpi__2.0,-0.0276068618,0.0733396567
immunity_time__flg22_1hpi__3.0,0.26417058050000003,-0.064944333
immunity_time__mock_3hpi__1.0,-1.052765488,-0.9152398559
immunity_time__mock_3hpi__2.0,-0.8746413538000001,-0.6266712198000001
immunity_time__mock_3hpi__3.0,-0.8716849947,-0.25224629260000003
immunity_time__flg22_3hpi__1.0,0.2233125503,-0.2106588426
immunity_time__flg22_3hpi__2.0,-0.21950046280000002,-0.10243558900000001
immunity_time__flg22_3hpi__3.0,-0.9119418690000001,0.1405855197
immunity_time__mock_5hpi__1.0,0.7611659231,-0.2008619886
immunity_time__mock_5hpi__2.0,0.38480204570000004,-0.4663165352
immunity_time__mock_5hpi__3.0,0.9867489443,-0.216007461
immunity_time__flg22_5hpi__1.0,0.6936196177,-0.28961625420000003
immunity_time__flg22_5hpi__2.0,-0.1495440085,-0.26135540500000004
immunity_time__flg22_5hpi__3.0,0.1945956103,-0.0468877027
