,A,FruR
heatshock:wt_48C:1,0.4420469539590938,0.34915724065297704
heatshock:wt_48C:2,1.744953670753984,0.29532540431228993
heatshock:wt_48C:3,0.4032453873375546,0.6541805182233333
heatshock:wt_53C:1,8.098120634011588,1.0870561729050907
heatshock:wt_53C:2,9.483453936671696,1.1217082222515788
heatshock:wt_48_53C:1,2.6948096859559394,0.1530305623003918
heatshock:wt_48_53C:2,1.5011775165488723,-0.009006093759897915
heatshock:wt_48_53C:3,3.0564994820522053,0.7005157277592895
heatshock:delrelA_37C:1,-2.375890878444749,-0.1171033433677291
heatshock:delrelA_37C:2,-3.599823469120419,-0.5619969116690999
heatshock:delrelA_48C:1,-0.37945849381844027,0.4874760131689375
heatshock:delrelA_48C:2,-0.3365258672081985,0.5771388961539654
heatshock:delrelA_48C:3,3.1292071972866893,1.0238267567614725
heatshock:ppGpp_null_37C:1,-0.3307701414886333,0.35713154063603936
heatshock:ppGpp_null_37C:2,0.9520484248378992,0.454967369326071
heatshock:ppGpp_null_37C:3,0.5142040801389434,0.5327964105764775
heatshock:ppGpp_null_48C:1,1.7351672356338799,1.3783467061611645
heatshock:ppGpp_null_48C:2,1.0090794815457054,0.3596553666794122
heatshock:ppGpp_null_48C:3,3.2172080433087173,0.7705077847213682
ldar:yfiJKplus:1,-5.3497674864869005,-1.636024477437413
ldar:yfiJKplus:2,-3.909428225833832,-1.273701048692705
ldar:yfiJ_A152E:1,-6.996925068295725,-1.987750478268886
ldar:yfiJ_A152E:2,-3.5759545185942727,-0.99762771705337
ldar:wt:1,-0.09634236239928533,0.11346825282637595
ldar:wt:2,0.18516410138147715,-0.10076920215899587
ldar:wt:3,-0.08882173898217871,-0.012699050667380085
mk7:shake:1,-0.7665774224516855,-0.14161065740938916
mk7:shake:2,-0.858767501646871,0.0567042356315568
mk7:shake:3,0.8079321344596367,-0.04187894654345925
mk7:shake:4,0.8174127896389237,0.1267853683212916
mk7:static:1,-11.097427794882037,-2.887184203370066
mk7:static:2,-11.302770891357213,-2.7753529055915696
mk7:static:3,-8.95577239440458,-2.8103647839596952
mk7:static:4,-9.10118679844298,-2.6770637856173836
nusA:nusA_induced:1,-2.1772179546582557,-0.7167306112677068
nusA:nusA_induced:2,-2.263724372082652,-0.7603549605377875
nusA:nusA_induced:3,-1.024960782508167,-0.1832950599058396
nusA:nusA_induced:4,-3.264099220499619,-0.510955699343687
nusA:nusA_induced:5,-1.1032386898965938,0.07635629236351082
nusA:nusA_induced:6,0.9665180940936028,0.3309080890600677
nusA:no_nusA:1,0.04003169513578693,-0.2882979709711382
nusA:no_nusA:2,-0.2623743374216238,-0.2463772445061485
nusA:no_nusA:3,-0.8499530746576264,0.09041483923595184
nusA:no_nusA:4,0.022298842421265137,-0.020332562173578598
nusA:no_nusA:5,0.048710859415501545,0.07812316468938718
nusA:no_nusA:6,1.0012860151066938,0.3864697737255272
pamR:wt_exp:1,0.5381475671226592,0.14124443417681576
pamR:wt_exp:2,-0.5381475671226508,-0.14124443417681665
pamR:delydhC_exp:1,-0.3895717894077728,-1.33862305886533
pamR:delydhC_exp:2,-0.1966629892521624,-0.1904093734107395
pamR:delydhC_exp:3,-0.2961599190041218,-0.2905481371737615
pamR:wt_stat:1,-1.2490281993739163,0.1638524642522814
pamR:wt_stat:2,-1.988410408672156,0.7022198727382092
pamR:wt_stat:3,0.7514950902442137,0.8656915207529989
pamR:delydhC_stat:1,-2.419677156536658,-0.2577902694625616
pamR:delydhC_stat:2,-1.446781699722998,0.7007211449322632
rho_strains:ncib3610:1,0.33155722080939937,0.3441479314508076
rho_strains:ncib3610:2,-0.33155722080940464,-0.3441479314508076
rho_strains:ncib3610_delrho:1,1.2822146412179136,1.277136708264944
rho_strains:ncib3610_delrho:2,0.7104736988130148,1.129140585010436
rnase_j1:delrnjA:1,3.198311543817744,0.11692107387086904
rnase_j1:delrnjA:2,4.419921742396679,1.0951166626257485
rnase_j1:delrnjA:3,5.57485128701303,1.2686138377234184
rnase_j1:wt:1,-0.6841719294329366,-0.6286554758950893
rnase_j1:wt:2,0.301780294772518,0.2821301716179305
rnase_j1:wt:3,0.3823916346604193,0.34652530427715833
sigI:delrsgI_37C:1,-4.8508246400547685,-2.377993401010838
sigI:delrsgI_37C:2,-1.1693116718217706,0.24557175182032864
sigI:delrsgI_37C:3,1.2385316599117782,0.5941763129291635
sigI:delrsgI_52C:1,2.865556302001104,0.4995137793238964
sigI:delrsgI_52C:2,2.666220371168872,0.2833592105996132
sigI:delrsgI_52C:3,0.9733897938563753,-0.08020969453745064
sigI:delrsgI_sigI_37C:1,-4.037178070269605,-1.5125237233531554
sigI:delrsgI_sigI_37C:2,-0.4930429302849284,0.1890544949108888
sigI:delrsgI_sigI_37C:3,0.440739118780443,0.6403128953907169
sigI:delrsgI_sigI_52C:1,3.1027731971100962,0.8672322201282451
sigI:delrsgI_sigI_52C:2,6.761067571874982,1.2577359560937251
sigI:delrsgI_sigI_52C:3,4.046078385460168,0.6654036606244436
sigI:wt_37C:1,-2.590560335808729,-1.1877759253481202
sigI:wt_37C:2,0.7904913842576051,0.6157457165361766
sigI:wt_37C:3,1.8000689515511294,0.5720302088119453
sigI:wt_52C:1,3.5499246621925757,0.6227893744185975
sigI:wt_52C:2,2.059274664959986,0.012568111188956621
