,A,TreR
SRX5694396,3.1000997127,0.9382487848000001
SRX5694397,4.2404889023,-0.5230359473
SRX5694398,2.7868684103,-0.0356061704
SRX5694399,0.047028381300000005,0.5982074099
SRX5694400,9.9264283823,-0.5639087183
SRX5694401,4.0150698816,-0.4266857147
SRX5694402,6.1749058742,-0.6139592125000001
SRX5694403,7.94202587,1.2794411379000001
SRX5694404,-2.2992423998,-0.0437671259
SRX5694405,0.9086307498,0.6608230294
SRX5694406,7.4992545569,0.213622592
SRX5694407,8.5523422288,0.26389993300000003
SRX5694408,4.890164107,-0.18596303900000002
SRX5694409,2.924540767,0.5481124879
SRX5694410,1.4524297697000002,1.4338985925
SRX5694411,6.2384456962,1.1292567984
SRX5694412,6.2552348843,-0.7636447253
SRX5694413,7.2207883599,1.5532049251
SRX5694414,-1.6034435934,0.5689775824000001
SRX5694415,-1.8789856281000001,0.0137237081
SRX5694416,0.2754394053,-0.0691697207
SRX5694417,1.3890257156999999,0.057958775600000005
SRX5694418,3.2042334797,0.1708297385
SRX5694419,6.5261330441,0.060859217400000006
SRX5694420,3.8974019786,-0.41358605470000004
SRX5694421,8.3837480883,-0.08585044
SRX5694422,4.272318147,0.7752739348000001
SRX5694423,7.3941433742000005,-0.2839933499
SRX5694424,6.4785732778,2.2098721409
SRX5694425,-0.262021265,-0.18077442940000002
SRX5694426,1.215149903,-0.26373886480000003
SRX5694427,5.9381282095,-0.1637178165
SRX5694428,0.8691841075000001,-0.1065721354
SRX5694429,4.1236684532,1.4063352858
SRX5694430,1.5647788982000002,-0.1310508163
SRX5694431,0.9141199240000001,0.6807376276
SRX5694432,9.9967349903,-0.4829104088
SRX5694433,8.7071739503,1.9439050936000002
SRX5694434,4.9889351772,2.4505588359
SRX5694435,2.5178118785,-0.5572216373000001
SRX5694436,1.9930412169,0.08074086230000001
SRX5694437,0.6014028521,0.5676152669
SRX5694438,-1.4586169752,-0.29337132120000003
SRX5694439,4.8219446496,0.6294167623
SRX5694440,-2.0203805828,0.5355540206
SRX5694441,5.2460758354,0.6282725002
SRX5694442,-0.8517473116000001,0.40357713030000003
SRX5694443,7.3850531645,-0.141629542
SRX5694444,-0.8420209879,-0.3190426033
SRX5694445,3.1154969656000002,-0.6519604608
SRX5694446,1.099990857,0.24828277710000002
SRX5694447,8.0264376742,-0.0092229331
SRX5694448,7.2150406148,1.0168130543
SRX5694449,5.214750391,-0.0972729906
SRX5694450,6.1042445289,0.43645895030000004
SRX5694451,3.3959754189,1.7255927072000001
SRX5694452,3.374741852,0.8599081675
SRX5694453,5.5828317856,0.3494169392
SRX5694454,-1.6417164661,0.229043462
SRX5694455,5.2721567135,-0.2323984871
SRX5694456,2.3739869131,-0.1496534655
SRX5694457,-1.153593725,0.34093839060000003
SRX5694459,-1.4384022579,0.3122032175
SRX5694460,2.6030085923,0.3284593475
SRX5694461,10.1047043458,0.0249346062
SRX5694462,4.06078861,-0.2025492454
SRX5694463,1.0406717849,-0.2067588883
SRX5694464,9.5921396475,0.0675700042
SRX5694465,9.3454555437,-0.5420420409
SRX5694466,3.0117688635,0.6089827505000001
SRX5694467,5.1661924436,-0.2314861943
SRX5694468,2.0703001629,0.32869557800000004
SRX5694469,0.4152933271,0.18359722320000002
SRX5694470,-1.0523125837,0.1358973453
SRX5694471,7.2207246843,0.0107035551
SRX5694472,4.8085748346,-0.5603025936
SRX5694474,5.3128634546,1.3230720912
SRX5694475,8.5228703435,1.7788889334
SRX5694476,0.5954871813,0.0183670622
SRX5694477,5.0226007443,0.10060584610000001
SRX5694478,8.2396600536,-0.09965149870000001
SRX5694479,3.2693207822,0.1556939892
SRX5694480,6.1665768652,0.6139003888
SRX5694481,8.5732890511,-0.7603827653
SRX5694482,0.9188144413,-0.2675749867
SRX5694483,7.2386270344,-0.1741324846
SRX5694484,9.2746142704,-0.6758411879
SRX5694485,1.8976110286,0.7714788506
SRX5694486,-1.6488323428,0.0892400829
SRX5694487,7.9692776662,-0.2179134061
SRX5694488,2.4697627881,-0.7125296303
SRX5694489,8.3253581201,0.16913031010000001
SRX5694491,8.4949866415,-0.408589138
SRX5694492,5.0890493496,0.2221905787
SRX5694493,2.6209628641,1.7120639515
SRX5694494,7.8783720882,0.35977955
SRX5694495,-2.3285801957,0.5187027889
SRX5694496,-0.043039159300000004,0.5136319746
SRX5694497,5.7334965129,1.1837490061
SRX5694498,8.2685295278,0.4570693584
SRX5694499,5.710159416,1.9775924611
SRX5694500,8.7470394423,2.5545875161
SRX5694501,8.6325352322,-0.3330271729
SRX5694502,9.3929723482,2.026092766
SRX5694503,6.7371497407,3.4984057679
SRX5694504,-1.0764694382,0.2899842355
SRX5694505,1.6385984858,-0.1317098561
SRX5694506,4.6843504624,1.3471423406
SRX5694507,0.24291608690000002,0.5986637812
SRX5694508,3.2055971685,1.1249470602
SRX5694509,9.0822923548,2.5615265492
SRX5694510,3.5472743239,-0.4027050592
SRX5694511,-0.8528979139,-0.6167235798
SRX5694512,7.6451067045,-0.6265045602
SRX5694513,6.0452995889,1.0297944419
SRX5694514,3.6619394868,0.0736375999
SRX5694515,7.7387446575,1.5388915582
SRX5694516,7.5227169602,0.10138157510000001
SRX5694517,7.1499515013,0.25573441480000003
SRX5694518,8.6031582178,-0.1456023515
SRX5694519,5.9697220606,-0.7052151583
SRX5694520,0.3301776745,0.6781344563
SRX5694521,5.6180642033,0.2881363612
SRX5694522,-2.4255306072,0.1448188366
SRX5694523,3.6347129168,0.0275841567
SRX5694524,8.3519078376,-0.1458970695
SRX5694525,2.5275366734,0.0522794355
SRX5694526,1.514060728,-0.195402651
SRX5694527,8.3941668823,2.1889648403
SRX5694528,2.6169365323,0.7344014787
SRX5694529,0.35659268450000003,0.1178050677
SRX5694530,3.7952679837,1.4037527522
SRX5694532,7.8739128765,1.6255308072
SRX5694533,5.9198472593,1.4892949764
SRX5694534,5.6411740168,1.0153350725
SRX5694535,0.8550016609000001,2.1597055134
SRX5694536,3.0502908804,-0.0739323586
SRX5694537,7.3506080718,-0.10524990440000001
SRX5694538,6.0681410799,0.2092509259
SRX5694539,9.1149040633,0.032197528100000004
SRX5694540,7.9587973034,1.3953598262
SRX5694541,9.968829091,0.2112677989
SRX5694543,5.5552216963,-0.2928038147
SRX5694544,9.6495665414,-0.3044362068
SRX5694545,-0.6721088637,-0.202467161
SRX5694546,2.1404790914,-0.1391211725
SRX5694547,3.5959029725000002,0.6051992309
SRX5694548,0.7768731785,-0.06672762460000001
SRX5694550,4.7306058775,0.8437739999999999
SRX5694551,8.6083427778,1.5298287033
SRX5694552,3.0283427095,-0.0020970112000000003
SRX5694553,-1.681689219,0.1572608204
SRX5694554,7.216176524,0.2328461055
SRX5694555,5.3977503174,0.46626812780000004
SRX6072760,9.3091257246,-0.1868854426
SRX6072761,5.2380458643,-0.28074863840000003
SRX6072762,9.178257678,-0.33909228350000004
SRX6072763,6.1310674726,0.4143605259
SRX6072764,6.0082412682,-0.37429085710000004
SRX6072765,6.736236073,-0.034872951400000005
SRX6376491,4.1584052858,0.9204107401
SRX6376492,3.2110673252,0.2634370069
SRX6376493,2.1416963515,0.1357083004
SRX6376494,0.1048934549,0.7184290338
SRX6376495,4.334783678,0.9479892059
SRX6376496,4.3394100847,0.5565735001000001
SRX2723951,1.1512818947,0.4459888401
SRX2723952,3.0021398211,0.5056706403
SRX2723953,0.3828934807,0.33810824230000003
SRX2723954,7.382695314,1.1188379556
SRX2723955,4.0447351019,0.3068219391
SRX2723956,-2.0129895717,0.3828163516
SRX2723957,0.5863420078,0.1616405007
SRX2723958,-2.1970312699,0.1389354367
SRX2723959,0.8728224988000001,0.0680690113
SRX2723960,2.1861832551,-0.041964387400000004
SRX2723961,6.6529134346,1.213032162
SRX2723962,1.2358470814,0.5835650917
SRX2723963,-1.8804125808,-0.1014561583
SRX2723964,5.8156422908,0.3588395082
SRX2723965,0.6096901125,0.259613146
SRX2723966,1.2774218601,-0.2265900841
SRX2723967,-0.47480886990000004,0.1418882727
SRX2723968,-0.8026129902,0.08470181140000001
SRX6977206,-3.3033527945,-0.29831946200000004
SRX6977207,-2.3488871079,-0.2286220581
SRX6977208,-1.1904330594,0.4730148442
SRX6977209,-1.7429946996,0.2784566558
SRX6977210,-1.6430072284000001,0.0076273097
SRX6977211,-0.9622710969,-0.1420509909
SRX6977212,0.1954787692,0.0203854265
SRX6977213,0.7667923277,0.1216655645
SRX6977214,-3.6596105927,-0.3988190089
SRX1153733,0.0542984892,-0.0760683271
SRX1153734,-0.0542984892,0.0760683271
SRX1153735,0.30745522070000003,0.3222175895
SRX1153736,-0.8141808285000001,-0.14843024300000002
SRX5204053,0.0026372451,-0.1275307334
SRX5204054,-0.2531122914,0.2432666258
SRX5204055,0.2083862729,0.013306719600000001
SRX5204056,-0.7132387821,0.36293367
SRX5204057,-0.8040229411,0.43874483620000004
SRX5204058,-1.2776269649,0.6411318417
SRX5204059,-0.8564855986000001,0.6968363805000001
SRX5204060,-1.1038672914,0.5019103503
SRX5204061,-0.37560006770000004,0.6308282676
SRX5204062,-1.0251014706,0.5008762255
SRX5204063,-1.1002261006,0.30819834830000004
SRX5204064,-0.0176959672,0.2386604745
SRX5204065,-0.0857962749,0.32260244190000004
SRX5204066,0.4158420054,0.1932821368
SRX5204067,0.31526279760000003,0.4160877772
SRX5204068,-0.037755034300000004,0.7318796373
SRX5204069,0.288277328,0.4364396024
SRX5204070,0.3251632263,0.4721354285
SRX5204071,-0.2413352929,0.48532940090000004
SRX5204072,-0.3346690907,0.2127450197
SRX5204073,-0.8691662277000001,0.2879605221
SRX5204074,-0.5822960195,0.2164082812
SRX5204075,0.5646199301,0.1584534819
SRX5204076,-0.2025824521,0.2507905208
SRX5204077,-0.2009676584,0.14845955200000002
SRX5204078,0.4393679693,0.359086511
SRX5204079,0.220209961,0.5258942696
SRX5204080,-0.031134120100000003,0.518764222
SRX5204081,-0.4743769064,0.1286021356
SRX5204082,-0.4380991932,-0.1386614802
SRX5204083,0.0234440603,-0.5407364032
SRX5204084,-0.5688297183000001,-0.3163404794
SRX5204085,-0.4805704436,0.07772123560000001
SRX5204086,-0.3511161548,-0.44582836400000003
SRX5204087,-1.2686453769,-0.3457383036
SRX5204088,-0.9304006816,-0.6557147720000001
SRX5204089,-1.0765841756,-0.26993383260000003
SRX5204090,-1.3901479366,-0.06815174660000001
SRX5204091,0.3069964665,0.0194672828
SRX5204092,-0.3782245494,0.4670320154
SRX5204093,-0.5755916444,0.1091018547
SRX5204094,-0.4080147127,0.6845382302
SRX5204095,-0.4839085764,0.21093442280000002
SRX5204096,0.4773002234,-0.1459309993
SRX5204097,0.006608353000000001,-0.0650034235
SRX683459,0.16855103870000002,-0.0799834049
SRX683460,-0.4294538726,1.2177149121
SRX683461,-0.1745144928,-0.064660085
SRX683462,0.5274325631,0.3453301211
SRX683463,0.0059634541000000004,0.1446434899
SRX683464,0.1113795858,1.1173251946
SRX683465,1.680383644,-0.3193146568
SRX683466,-1.2515298213000001,0.7787595479
SRX683467,0.2098467226,0.2846598177
SRX683468,0.335590267,0.9578064470000001
SRX683469,0.8491160377,0.4365840273
SRX683470,2.1942369163,0.8604990101000001
SRX322077,-1.3337760545,-0.2506060507
SRX322078,0.4387380504,0.048666877000000004
SRX322079,-1.8459660089,0.0358922125
SRX322080,-1.1712457448,-0.43986748080000004
SRX322081,-1.1858171958,0.3763336015
SRX322082,-1.1814550433,-0.5082524232
SRX322083,0.4905002328,-0.24665246200000002
SRX322084,0.6612270463000001,-0.1289386118
SRX322085,-1.1517272791,0.3755910739
SRX2708592,-0.3554504656,-1.0431629664
SRX2708593,0.0903921736,0.3285027554
SRX2708594,0.6513095408,1.105424031
SRX2708595,-0.8843249203,0.0832850873
SRX2708596,0.7420827141,0.1241809844
SRX2708597,0.1422422062,-0.2074660717
SRX2708598,2.9846404993,1.3491792186
SRX2708600,3.2147047686,0.3510426196
SRX2708601,0.7505429727,0.4004639914
SRX2708602,-0.42630135140000003,0.1930699283
SRX2708603,0.7023586459000001,-0.1119553147
SRX3073814,-0.2460906669,-0.1296267285
SRX3073815,1.2129567384,-3.2776498353
SRX3073816,-0.570183423,-3.1784519906
SRX3073817,-5.6179304013,-2.4897799698
SRX3073818,-7.4299359328,-1.4338880655000001
SRX3073819,-0.2800999605,0.382380406
SRX3073820,1.9125945685999999,-2.8029853779
SRX3073821,-1.0939671585,-2.8780022669000003
SRX3073822,-4.6059345714,-2.0731397927
SRX3073823,-5.8085165279,-2.0443814636
SRX3073824,0.2460906669,0.1296267285
SRX3073825,2.0253051799,-2.7707628131
SRX3073826,-0.27435991530000003,-3.5210620667
SRX3073827,-6.014379336,-2.1779435143
SRX3073828,-6.5833425537,-1.8021547398000002
SRX3073829,-0.7621031445,0.0736287587
SRX3073830,1.150670724,-3.3628656336000002
SRX3073831,-1.4410232568,-3.0730064918
SRX3073832,-4.8326386247,-1.9010695910000002
SRX3073833,-6.9104653835,-1.9701291866
SRX2391456,0.5167633337,0.2361480299
SRX2391457,1.2353205959,0.0646226606
SRX2391458,0.4673053783,0.1395076894
SRX2391459,0.4156344495,0.0857870367
SRX2391460,0.2879102796,0.1236893232
SRX2391461,0.46940964700000004,0.036551526
SRX2391462,0.48991790430000004,-0.0046520132
SRX2391463,0.8970047244,0.1388248761
SRX2391464,1.1618761051,0.1484530155
SRX2391465,0.5378687971,0.0399077423
SRX2391466,0.7313527789000001,-0.15462218930000002
SRX2391467,-0.0002705871,0.08642634810000001
SRX2391468,0.1782258715,-0.1134111906
SRX2391469,-0.0360695789,-0.00025586310000000003
SRX2391470,0.3660926071,0.2614721433
SRX2391471,1.5497850325,0.11509463760000001
SRX2391472,1.1766355017,0.2908819834
SRX2391473,1.0390649505,0.1356295066
SRX2391474,0.5964759965,0.0712536496
SRX2391475,1.0381441181,0.1837963029
SRX2391476,0.9497533623000001,0.2576181393
SRX2391477,0.6245488732000001,0.13342835120000002
SRX2391478,0.6910452151,0.1457789613
SRX2391479,1.170864136,0.2522712478
SRX2391480,1.2748658029,-0.015934886500000002
SRX2391481,0.8021031390000001,0.1904596329
SRX2391482,1.0449250174,0.13573501370000002
SRX2391483,0.6857995244,0.0787648988
SRX2391484,0.8076355301,-0.0434219278
SRX2391485,0.9214637013,-0.09467815460000001
SRX2391486,0.4524311413,-0.019378166000000002
SRX2391487,0.8776937508,0.0796724052
SRX2391488,0.5245368976,0.0744113892
SRX2391489,0.0596084293,0.0518471573
SRX2391490,0.3279256058,-0.027936886900000003
SRX2391491,-0.0339747609,0.07994157660000001
SRX2391492,0.6986381925,0.0264813715
SRX2391493,0.6114357516000001,0.0655846571
SRX2391494,0.896346669,0.0124071943
SRX2391495,0.0002705871,-0.08642634810000001
SRX2391496,-0.0573967674,-0.1651315655
SRX2391497,0.2991275811,-0.08491685780000001
SRX2391498,1.2641047285,0.0278756318
SRX2391499,1.3108485972000001,-0.1299368868
SRX2391500,1.0906944456,0.19896688240000002
SRX2391501,0.8270258368000001,0.0841569241
SRX2391502,0.6458838558000001,-0.1857741225
SRX2391503,0.7412161505,0.0942727998
SRX2391505,0.5452950702,0.14225634280000002
SRX2391506,0.5124821905,-0.084922204
SRX2391507,0.4945318433,0.0720275533
SRX2391508,0.35231747620000003,-0.07468281460000001
SRX2391510,0.9542362089,0.0659417497
SRX2391512,1.1227550987,-0.0779323915
SRX2391513,0.9338989471,-0.0695225555
SRX2391514,0.8107312769,-0.1330718616
SRX5632598,0.272231386,0.5301165879
SRX5632599,0.1545522759,0.1062166717
SRX5632600,-5.0616933342,0.7706689936000001
SRX5632601,-6.3991267835,0.5304199669
SRX5632602,-1.9229438985,2.6739791212
SRX5632603,-5.0822897381,0.0458464502
SRX5632604,-1.8574107878000001,2.0963720664
SRX5632605,-1.8464090469,2.6508325339
SRX5632606,0.23867630990000002,0.0724171063
SRX5632607,1.297394844,0.048092528
SRX5632608,-0.370757431,-0.1016289071
SRX5632609,0.1208378938,0.4492734593
SRX5632610,0.0838927481,1.4301203698
SRX5632611,0.2499195371,-0.3476445522
SRX5632612,-0.3636422279,1.3115573015
SRX5632613,-0.5705270597000001,2.0237846159
SRX5632614,1.5874425834,0.1012436579
SRX5632615,2.1445698539,0.3443311724
ERX2874132,-1.9349607070000001,0.510833714
ERX2874133,-2.1020892679,0.6326928211
ERX2874134,-2.332489066,0.9712365376000001
ERX2874135,-1.3528808474,0.7636694908
ERX2874136,-3.4110214621,1.2386049479
ERX2874137,-2.6018941876,1.0646217088
ERX2874138,-1.5546690403999999,0.1491027896
ERX2874139,-1.8357877731,0.1753394133
ERX2874140,0.2745807259,0.0641068363
ERX2874141,-0.2745807259,-0.0641068363
ERX2874142,0.3433779859,1.6239935735
ERX2874143,-0.9269967168000001,1.5387551909
ERX2874144,0.0783178005,-0.07666405200000001
ERX2874145,-0.5864182095,-0.21588615460000002
ERX2874146,0.2175346651,0.0065555463
ERX2874147,-0.13817667150000001,-0.4669105913
SRX1300292,0.0845494717,-0.151909333
SRX1300293,-0.0845494717,0.151909333
SRX1300299,0.300210207,-0.1651304616
SRX1300300,-2.9816349967,-0.0524690809
SRX1300304,0.5346614305,0.6154930388000001
SRX1300305,-0.2220694188,0.5512341832000001
SRX1300306,-1.0744345732,0.11181467340000001
SRX1300310,0.9378131348000001,0.5769808198
SRX1300311,1.3071633954,0.6388110971000001
SRX7291195,1.5841299192,-0.4752674664
SRX7291196,1.4224115982,-0.5164548201
SRX7291197,0.9565400754000001,-0.5369814036
SRX7291198,0.3835803748,0.1201556119
SRX7291199,-0.5372027781000001,-0.046709818
SRX7291200,0.1536224032,-0.0734457939
SRX7291201,0.6978915217,-0.1652381584
SRX7291202,1.3949829741,0.2126444039
SRX7291203,1.299795285,0.0175836893
SRX7291204,0.0623567271,0.06314619590000001
SRX7291205,0.22344686900000002,0.0019858077000000003
SRX7291206,0.4338216173,-0.0018702968
SRX2436955,-0.9047997257,0.8860325663
SRX2436956,-2.6487425438,0.8334626317
SRX2436957,-2.7083807684,1.0887478584
SRX2436958,-1.4712745174,1.0871969595
SRX2436959,0.507489159,0.6118334252000001
SRX2436960,0.7414579128000001,0.9185452106
SRX2436961,-1.3035228076,1.0000173809
SRX2436962,0.6291094825,1.377179782
SRX2436963,1.2839871078,0.5165431529
SRX2436964,-1.3200305265,0.5690353582000001
SRX2436965,-2.4331542098,1.1329644644
SRX2436966,2.0301148859,1.156594994
SRX2436967,-1.1133482799,1.1343862895
SRX2436969,0.7347763445000001,0.0880850963
SRX2436970,1.9766582695000001,0.8931985370000001
SRX2436971,-1.0007880584,1.0950485798
SRX2437029,0.5504329643,1.2950741312
SRX2437030,-1.1943930212,1.1634693374
SRX2437031,-0.7745155782,0.3894951855
SRX2437032,-0.6167237044,0.3934767651
SRX2437033,-0.6097629748,-0.8616939261000001
SRX2437034,-2.4637948846,1.0002940496
SRX2437035,0.5721593069,1.1970449073
SRX2437036,0.2693407015,0.8547687003000001
SRX2437037,-1.3276616594,0.1672836794
SRX2437038,2.1118541019,0.9491580964
SRX2437039,-1.075669916,0.4181421353
SRX2437040,0.9332554574,0.9126070459000001
SRX2437041,-0.6795962926,0.9935393947000001
SRX2437042,0.8414603881,-0.8449873989000001
SRX2437043,-1.0693212632,0.45898711810000004
SRX2437044,-0.2910408262,-0.7108944352000001
SRX4705203,-1.7658932665,0.7385128589000001
SRX4705204,-4.7859240359,-0.882232141
SRX4705205,-3.0445912564,-0.5026461779
SRX4705206,-2.7504227852,-0.5237981169
SRX4705207,-4.0683768416,0.5006402408
SRX4705208,-5.9460527674,0.1340055753
SRX4705209,-3.6727510979,0.4371409666
SRX4705210,-4.9762433402,-0.2809491092
SRX4705211,-3.8578338298,-0.2019094341
SRX4705212,-4.3036749444,-0.1543207145
SRX4705213,1.0431316218,-0.1778383758
SRX4705214,0.2014501031,0.39374243340000004
SRX4705215,-0.17910745250000001,-0.1442221854
SRX4705216,-0.0734723251,0.036851467
SRX4705217,-0.367003472,-0.20304240780000002
SRX4705218,-0.6249984754,0.09450906860000001
SRX4705219,-0.8310889159,0.0802801845
SRX4705220,-1.0182733388,0.3723740392
SRX4705221,-3.5434570197,-0.4678609468
SRX4705222,-0.69118664,0.1074168213
SRX4705223,-1.8905704395,0.6646807992
SRX4705224,-1.8681608214,0.7919807010000001
SRX4705225,-6.2139050394,-0.32772097650000004
SRX4705226,-5.1217930784,-0.6002112676
SRX4705227,-3.5644654840000003,-0.5201215304
SRX4705228,-1.5274808649,-0.06278689130000001
SRX4705229,-1.3106083547,0.0698037197
SRX4705230,-2.130740991,0.3612272438
SRX4705231,-3.2644201782,-0.41740800570000003
SRX4705232,-3.7827562447,-0.5970911487
