,A,SigA,CcpA
Glu_2,5.0426985838,13.6327,13.0125
Glu_3,3.0872460752,13.7226,13.0086
Fru_1,5.4950248211,14.0674,13.1245
Fru_2,6.9424346961,14.0951,13.1334
Fru_3,6.64052991,13.1654,12.6501
Mal_1,12.5862420554,13.4585,12.7659
Mal_2,9.042057442,13.6349,13.1714
Mal_3,11.1120988523,13.4566,13.2408
G+S_2,11.2738925556,13.9115,12.3084
G+S_3,10.9717098756,13.688,12.8046
Pyr_1,6.9677192914,12.3939,11.8796
Pyr_2,5.6762042083,13.5458,12.4506
Pyr_3,6.155037496,13.0023,12.12
Gly_1,12.7500426885,12.5146,11.1859
Gly_2,12.7384206078,13.6785,11.9494
Gly_3,14.5156353511,12.1185,10.4582
Glucon_1,8.8672377262,12.7107,11.7837
Glucon_2,8.3444455972,13.0733,12.5052
Glucon_3,13.1539326783,12.2186,11.6721
aero_1,3.0505345326,14.1133,13.581
aero_2,4.2960748136,13.0753,12.2556
aero_3,4.1940545248,14.043,13.1507
nit_1,0.37019892530000004,13.5453,12.2048
nit_2,-0.08317147500000001,13.5476,12.3771
nit_3,-0.5202460326,13.1939,12.0937
ferm_1,0.3980978325,13.3104,11.8478
ferm_2,1.5245940802,13.4516,11.844
ferm_3,0.5435107156,14.084,12.0596
T-5.40H_1,-0.5162095143000001,13.7772,13.1785
T-4.40H_1,0.9716471995,13.9864,13.0364
T-3.40H_1,1.4358981532000001,13.7203,12.9937
T-2.40H_1,2.5906326112,13.5645,12.7262
T-1.40H_1,3.0606620062,13.5384,12.5993
T-1.10H_1,3.8044844274000003,13.6837,12.4897
T-0.40H_1,1.8494353653000002,13.1869,12.6299
T0.0H_1,7.4229624835,13.1322,12.5924
T0.30H_1,26.0269061411,12.4796,11.8351
T1.0H_1,25.5102922787,12.338,11.542
T1.30H_1,22.7901485944,12.2101,11.3226
T2.0H_1,20.0635403392,12.1585,11.2001
T2.30H_1,19.0856947092,12.7417,12.0487
T3.0H_1,16.5131835811,12.3403,11.4336
T3.30H_1,14.7174537864,12.2105,11.6347
T4.0H_1,12.4733328057,11.7531,11.5786
T5.0H_1,10.3173475037,11.4151,10.8655
HPh_1,1.9094746353,13.9961,13.5047
HPh_2,1.5328174677000002,13.8834,13.1098
HPh_3,1.4665916278,13.9816,13.3287
LPh_1,1.9846095284,14.0627,13.4839
LPh_2,0.7349423255,14.6632,13.9592
LPh_3,0.8740762349000001,14.1228,13.433
LPhT_1,6.5844247979,13.2688,11.7757
LPhT_2,6.4914133026,13.1712,11.5546
LPhT_3,7.7207800330000005,13.3603,11.7908
SMMPr_1,3.495104135,14.0475,12.536200000000001
SMMPr_2,5.0557047219,14.0387,12.6484
SMMPr_3,5.7147108992,14.0168,12.7246
HiTm_1,13.610495494,14.1183,12.6176
HiTm_2,12.8820038834,13.3113,12.8332
HiTm_3,6.5964026685,13.5911,12.7691
LoTm_1,-2.9547514082,12.3657,11.6948
LoTm_2,-2.2038950282,12.2284,11.0494
LoTm_3,-3.1764170518,12.255700000000001,11.483
HiOs_1,2.0772724277,13.2213,12.3267
HiOs_2,3.0660732399,13.1559,12.1663
HiOs_3,3.0670253623,13.2773,12.4143
BMM_1,-1.4528275228,13.4498,13.2477
BMM_2,-1.5212141571,13.3205,12.9937
BMM_3,-1.8751871159,13.5462,13.2457
Heat_1,4.8993365602,13.2334,13.6534
Heat_2,5.9693774456,12.9985,13.1608
Heat_3,5.3068930188,12.9208,12.8325
Cold_1,-2.3188793107,14.8203,12.4659
Cold_2,-1.471965274,14.1853,11.8106
Cold_3,-0.1665355943,13.7563,11.3996
Etha_1,8.4149426289,12.8573,10.3534
Etha_2,8.4005113128,12.7243,10.2002
Etha_3,7.6524745375,12.9687,10.5843
SMM_1,3.7420687611,13.5052,12.7566
SMM_2,3.7421761718,13.4164,12.7378
SMM_3,2.8377843203,13.5245,12.8588
Salt_1,-0.5437730342,13.4812,11.8341
Salt_2,-1.0920356209,13.3286,11.6592
Salt_3,-1.2019642911,13.5898,11.9911
Mt0_1,36.9632183702,14.1658,13.4414
Mt0_3,40.7289236738,14.0834,13.8948
M0t45_1,8.9756309237,14.1543,12.9275
M0t45_2,25.7509748465,14.1846,13.1174
M0t45_3,15.658184205,14.2651,13.2748
M0t90_1,24.8153435507,12.6548,11.9368
M0t90_2,26.402194082,13.7437,12.8885
M0t90_3,26.5252778164,13.3157,12.4151
M40t45_1,11.5902604265,13.6425,12.7742
M40t45_2,28.3865256136,14.0392,13.1229
M40t45_3,14.0474899569,14.097,13.4102
M40t90_1,27.6962760458,13.0377,12.3334
M40t90_2,28.3100929379,13.1057,12.9685
M40t90_3,30.3493637761,13.594,13.0425
dia0_1,34.9615127525,13.697,13.3645
dia0_2,33.510172564,13.836,13.5945
dia0_3,24.0056611563,14.2766,13.5624
dia5_1,31.4135175891,12.4511,12.7572
dia5_2,27.7926676928,12.4552,12.909
dia5_3,23.5836249997,12.6806,13.2114
dia15_1,17.8474312633,13.6394,14.037
dia15_2,11.7628624713,14.4124,13.9131
dia15_3,13.3752278041,13.2235,12.407
Diami_1,16.5500734098,12.3456,13.6045
Diami_2,15.5063202263,12.9074,13.9363
Diami_3,15.463399408,12.8769,14.0146
Paraq_1,8.4116579314,14.2324,13.8114
Paraq_2,8.8677195439,14.4646,14.2719
Paraq_3,5.2052566361,13.0518,12.6658
H2O2_1,1.8925388309,13.9536,13.9491
H2O2_2,2.7053342365,14.1817,14.1737
H2O2_3,-1.6375856962,13.918800000000001,13.9025
Oxctl_1,14.1363324289,13.8599,13.332699999999999
Oxctl_2,16.456303755,13.7135,13.5815
Oxctl_3,13.952197548600001,14.478,14.1076
GM-0.1_1,4.4714721021,13.419,12.5208
GM-0.2_1,5.744040942,13.3759,12.4235
GM+5_1,3.1951203569,13.3714,13.1251
GM+15_1,-1.1083293371,13.531600000000001,13.5071
GM+25_1,-3.3775425689,13.8283,14.2304
GM+45_1,-2.0697016282,13.8168,13.7627
GM+60_1,-2.6340655227000003,13.9334,13.6008
GM+90_1,-0.9884701347,13.8087,13.5695
GM+120_1,4.7637546973,12.8213,12.6996
GM+150_1,3.1611084776,13.4015,13.2057
GM-0.1_2,3.9663064145,13.752,13.2423
GM-0.2_2,4.1367288357,13.8708,13.2446
GM+5_2,4.1701452919,13.4779,13.4788
GM+10_2,0.0959012395,13.5433,13.3724
GM+15_2,-0.7851438075,13.2997,13.4496
GM+25_2,-2.7098791111000002,13.492,13.8512
GM+45_2,-1.384349565,13.0365,12.8419
GM+60_2,1.3781557543,12.8823,12.6812
GM+90_2,0.5005840378,13.7723,13.7879
GM+150_2,8.7626492866,12.7105,12.1747
GM-0.1_3,2.3107716953,13.4343,12.9331
GM-0.2_3,1.7674628494,13.5552,12.9573
GM+5_3,2.862659535,13.5866,13.8079
GM+10_3,2.0475087421,12.6924,12.6893
GM+15_3,-1.2565299087000001,13.3161,13.3692
GM+25_3,-0.22884388060000002,13.1581,13.2819
GM+45_3,3.2745989097,12.8715,13.2495
GM+60_3,2.8235278123,12.9321,12.634
GM+90_3,0.0027050649,13.4402,13.2579
GM+120_3,2.3595145341,13.4896,13.29
GM+150_3,2.5293662486,13.4983,13.3888
MG-0.1_1,7.7550779867,13.6023,13.6571
MG+5_1,1.9838057082,13.617,12.8692
MG+10_1,-1.4406930088,13.9654,13.4806
MG+15_1,0.08395922460000001,13.1208,12.6316
MG+25_1,-0.43269880320000004,13.7609,13.1645
MG+45_1,-0.0457499317,13.5406,12.4435
MG+120_1,10.7183496039,13.0947,11.894
MG+150_1,6.3256916957,13.2405,12.5128
MG-0.1_2,8.2611613144,12.8072,12.9375
MG-0.2_2,8.0023451013,13.3433,13.6087
MG+5_2,1.9314817348000002,13.3291,13.0316
MG+10_2,-0.5034590738,13.6988,13.0755
MG+15_2,-0.541084848,14.3943,13.7731
MG+25_2,0.3358721699,13.3344,12.6242
MG+45_2,2.5161073701000003,12.8247,12.3326
MG+60_2,1.6381981802,13.5254,12.9403
MG+90_2,2.6356323806,13.0474,12.3262
MG+120_2,6.1348662535,13.4313,12.4522
MG-0.1_3,8.6444233203,13.9857,14.2522
MG-0.2_3,8.0214974593,13.6561,13.8537
MG+5_3,3.4201970346,13.3195,13.1516
MG+10_3,4.6742726125,13.2006,12.4734
MG+15_3,0.2540285326,13.788,13.3498
MG+25_3,-0.1737301924,13.6718,13.2105
MG+45_3,0.6635641945,13.7991,13.5852
MG+60_3,3.0912566692,13.3483,13.2027
MG+90_3,1.8451734066,13.5993,12.9587
MG+120_3,5.0516319807,13.1479,12.1837
MG+150_3,4.1115793345,13.0847,12.4669
