,A,GalS,GalR,Crp
crp__wt_glyc__1,0.1123204564,2.353273268,-0.45012762850000004,-0.06971342200000001
crp__wt_glyc__2,-0.024961638600000002,2.539817715,-0.2641471735,0.000271048
crp__delar1_glyc__1,0.27312586850000004,-1.248124968,0.4826181265,0.768482663
crp__delar1_glyc__2,-0.6783380764,-1.764899608,0.6864200475000001,0.980974663
crp__delar1ar2_glyc__1,-2.4583847354,-1.286549034,-0.0855197585,0.29165508300000004
crp__delar1ar2_glyc__2,-2.1441339258,-1.675743737,0.0006969155,0.25672264300000003
crp__delar1ar2_glyc__3,-2.0117680081,-1.143302241,0.025891030500000002,0.37124749300000004
crp__delar2_glyc__1,-5.3174419279,-1.140942861,0.7982534755,1.429825303
crp__delar2_glyc__2,-4.9234171704000005,-1.025793631,0.8872066875,1.300445483
crp__delar2_glyc__3,-4.9135801628,-1.650869879,0.7891173895,1.236903523
crp__delcrp_fru__1,-2.1574793644,-0.629736209,0.4917915485,-9.852476477
crp__delcrp_fru__2,-1.5977470821000002,-0.39049011,0.41270741250000004,-9.107951936
crp__delcrp_fru__3,-2.6504794194,-0.5936025450000001,0.5057677505,-9.852476477
crp__delcrp_glc__1,-2.3115515505,-0.40718341100000005,0.3022774545,-9.025871704
crp__delcrp_glc__2,-2.0248626202,-0.490730266,0.2166833275,-9.566616581
crp__delcrp_glc__3,-1.9117384287,-1.117943297,0.2714839965,-9.852476477
crp__delcrp_glyc__1,-1.5080567688,-0.893344329,0.24209336350000002,-9.852476477
crp__delcrp_glyc__2,-1.5757117039000001,-1.152201114,0.24129596250000002,-9.852476477
crp__delcrp_glyc__3,-1.9293212483,-1.297836013,0.36377809450000004,-9.852476477
glu__glu_ale3__1,-0.4071289112,-1.491687382,1.2437532905,1.438555163
glu__glu_ale4__1,0.24760368800000002,-0.545607101,-0.29123241850000003,0.12370463300000001
glu__glu_ale5__1,1.8234793448,1.063677739,-0.6462178295000001,0.23737495300000003
glu__glu_ale6__1,-1.018818506,-0.34495921500000004,-0.39249328650000004,-0.266972174
glu__glu_ale8__1,-1.1916704792,-1.8040943230000002,0.9895550385,1.5517659030000002
glu__glu_ale9__1,0.0889971017,-1.009880902,0.6727664845,0.736260553
glu__glu_ale10__1,-0.1615033948,-1.206667762,0.7494414655,1.248499963
42c__wt_42c__1,-0.0703662787,-0.111380343,-0.3644916795,-0.022893763
42c__42c_ale1__1,1.0963269844,1.19367661,0.2625735835,0.578078713
42c__42c_ale2__1,0.4032527715,-0.6536643480000001,-0.5108010075,-0.001157444
42c__42c_ale3__1,-0.0752983878,-0.5753229,-0.6026238045,-0.163650862
42c__42c_ale4__1,1.1241190517,0.9279845330000001,-0.1919259405,0.18829674300000002
42c__42c_ale5__1,-1.3135942033,-0.0040989600000000005,-0.4062709365,-0.255090408
42c__42c_ale6__1,0.32934631340000003,-2.202383443,0.1320097845,0.584709813
42c__42c_ale8__1,0.308858407,-1.257685472,0.4997467185,0.898060053
42c__42c_ale9__1,1.2191351416,0.242619514,-0.1391819015,0.234450913
42c__42c_ale10__1,-1.289406899,-0.865490399,1.0251334855,0.5824345430000001
ssw__wt_ac__1,-2.7290027964,2.026392665,-0.2898721245,0.155824183
ssw__wt_glc__1,-0.5326406443,-0.7155370160000001,-0.2922548935,0.08995910700000001
ssw__wt_glyc__1,0.7158681459,2.524899075,1.0756560075,0.264629563
ssw__wt_xyl__1,-0.8452699885,1.948555303,1.3990723255,0.615108903
ssw__glc_ale1__1,-0.5072622091,1.6694182510000002,0.1630665095,0.311997713
ssw__glc_ale2__1,-3.1234931575,-0.514204667,0.6969488505,0.5353218630000001
ssw__glc_ale3__1,-1.7547200783,-0.232281744,0.7609542855,0.445484003
ssw__glyc_ale1__1,-0.5548697188,1.655119982,0.1352391785,0.29887890300000003
ssw__glyc_ale2__1,-1.5113327350999999,-0.5604728680000001,0.7009586425000001,0.302115623
ssw__xyl_ale1__1,-4.0561057422,1.6594055970000001,0.4774405115,-0.214788422
ssw__xyl_ale2__1,-1.7917180014,2.929095411,0.0867009455,0.026451149
ssw__xyl_ale3__1,-3.0458417868,1.428723278,0.8405874685,-0.313835929
ssw__glc_ac_ac2__1,-4.7069027511,-0.317155421,0.6040810685,0.506935123
ssw__glc_ac_glc1__1,-3.7488423194,-0.329208553,0.3584636375,-0.42053636400000005
ssw__glc_glyc_glc__1,-2.8532761992,-0.5202045980000001,0.49365419050000003,0.565682133
ssw__glc_glyc_glyc__1,-2.8356659968,2.737018548,0.9744601915000001,0.307042493
ssw__glc_xyl_glc__1,-3.0000455357,-0.5899472210000001,-0.19264211350000002,0.029020072
ssw__glc_xyl_xyl__1,-2.5760875963,1.350608407,0.3659797185,-0.24384744700000002
ica__wt_glc__1,-1.1648446368,0.055695146,-0.27716415450000004,-0.021205165
ica__wt_glc__2,-0.8530975833000001,0.291691293,-0.2348433805,-0.013075078
ica__wt_glc__3,-1.3686969036,-0.09552925400000001,-0.1587803285,0.093050269
ica__wt_glc__4,-3.7387910491,-0.46528703800000004,-0.1158307135,0.39985849300000004
ica__arg_sbt__1,-1.3174160838,2.476365474,0.0113512605,0.172960833
ica__arg_sbt__2,-1.1355969312,2.629568188,-0.0618298685,0.493173503
ica__cytd_rib__1,-0.18509478910000002,4.193754703,0.2605319535,0.503238653
ica__cytd_rib__2,-0.3180594117,3.991820852,0.3405339415,0.486485123
ica__gth__1,-3.6977192681,-1.038197876,-0.0654087695,-0.34473195700000003
ica__gth__2,-3.2845281256,-1.003657569,-0.1410320665,-0.550939686
ica__leu_glcr__1,-2.8450392989,0.764907764,-0.3892616265,1.026079293
ica__leu_glcr__2,-3.1480684176000002,0.692003798,-0.3893171265,0.9645909530000001
ica__met_glc__1,-1.8595974889,-0.533390245,-0.5784127645,-0.0020434050000000003
ica__met_glc__2,-2.1289966438,-0.553777983,-0.5544716935,-0.06998529
ica__no3_anaero__1,-4.3848766452,-0.30295017,0.40188073950000003,0.166015523
ica__no3_anaero__2,-5.3066895232,-0.21358643200000002,0.3448179715,0.165936663
ica__phe_acgam__1,-2.155544726,0.031580975000000004,-0.3461086105,0.08710832
ica__phe_acgam__2,-1.9163562508,0.272671675,-0.2518990325,0.073714532
ica__thm_gal__1,6.292429608,4.650941356,0.5079855015,0.419092283
ica__thm_gal__2,6.3431657567,4.822382262,0.5200504275,0.41257850300000004
ica__tyr_glcn__1,-2.4457212381,0.098733043,-0.5585005075,0.211699823
ica__tyr_glcn__2,-2.7101428014,-0.046172688,-0.4617149345,0.24928939300000003
ica__ura_pyr__1,-2.1075219859,1.222320935,-0.1571888595,0.823666823
ica__ura_pyr__2,-3.0745049774,1.865943807,-0.2055669825,1.104333543
ica__wt_glc__5,-2.7816943343,-0.20857672800000002,-0.1484386395,0.31050345300000004
ica__wt_glc__6,-2.8080684928,-0.6566386740000001,-0.4009164275,0.33765284300000004
ica__bw_delpurR_cytd__1,-1.6571580665,-0.178581822,-0.4678468375,-0.141785767
ica__bw_delpurR_cytd__2,-4.3535286146,-0.148237317,-0.3601305765,0.255483463
ica__ade_glc__1,-3.8886933722,-0.669054019,-0.27398054650000003,0.27079068300000003
ica__ade_glc__2,-1.7432493693,0.174911757,-0.3056609615,-0.10748262700000001
ytf__wt_glc__1,-1.9926914342000002,-0.362542745,0.1441432265,0.340002173
ytf__wt_glc__2,-1.6300986593,-0.40071310200000004,0.3678887985,0.487174103
ytf__delyafC__1,-3.2263099982,-0.391881111,0.2641513975,0.518280163
ytf__delyafC__2,-3.4292856171,-0.123365071,0.3830321775,0.5586262230000001
ytf__delyeiE__1,-3.2496817642,-0.6440582450000001,0.37134011850000004,0.452821843
ytf__delyeiE__2,-3.098321983,-0.6799590280000001,0.1150270215,0.36938018300000003
ytf__delyiaJ__1,-3.0673443297,-1.333214839,0.5208826315,0.49007886300000003
ytf__delyiaJ__2,-3.5857372663,-1.2899307150000001,0.3729081395,0.474334523
ytf__delyieP__1,-3.5389733960000003,-0.297645223,0.6389699935,0.830611623
ytf__delyieP__2,-3.0820720915,-0.669570591,0.47411274950000004,0.7498248230000001
ytf__wt_ph5__1,-2.8464405680000002,0.009189822,0.0339481585,0.39857596300000003
ytf__wt_ph5__2,-3.3917368195,-0.09152092,0.0521734585,0.474739703
ytf__wt_ph8__1,-1.6814494082,-0.009588921,-0.28200918350000004,0.27564292300000004
ytf__wt_ph8__2,-2.5135357037,-0.43349037500000004,-0.2648150855,0.268154863
ytf__delybaO__1,-2.6898136465,0.1537,0.3647801345,0.582376183
ytf__delybaO__2,-2.6345912369,0.005635529,0.3960571155,0.636744023
ytf__delybaQ__1,-2.2927218803000002,-0.15335908,-0.046969130500000005,0.332940493
ytf__delybaQ__2,-2.4681379222,0.285665179,0.0940347195,0.32368551300000004
ytf__delybiH__1,-2.1444710069,-0.8323698690000001,0.5848648475,0.636331983
ytf__delybiH__2,-3.3672211488,-1.9040767490000001,0.5537337635,0.554671843
ytf__delydcI_ph5__1,-2.7579991672,-0.048302871000000004,-0.032927857500000005,0.36809995300000004
ytf__delydcI_ph5__2,-2.7149271928000003,-0.167229543,-0.1131202515,0.422601483
ytf__delydcI_ph8__1,-2.1625093141,-0.6841374610000001,-0.2287907085,0.363195763
ytf__delydcI_ph8__2,-1.9273458118,-0.332130505,-0.35043114950000004,0.30711134300000004
ytf__delyddM__1,-2.6454519921,-0.6640924410000001,0.3457089025,0.8218948030000001
ytf__delyddM__2,-2.8437664502,-0.722314839,0.3090956295,0.832054603
ytf__delyheO__1,-3.1953468747000002,0.007006504,0.3235174255,0.596168643
ytf__delyheO__2,-3.1493649107,0.44614342500000004,0.41973263650000003,0.633656513
fps__bw_glc__1,-2.8265942605000003,0.337939361,-0.3672839665,0.23073483300000003
fps__bw_glc__2,-3.5959705539,0.014413297,-0.19748629450000002,0.160408733
fps__fps_thrA_ale1__1,-3.6571190092,-0.025142797,0.031111462500000003,0.33273120300000003
fps__fps_thrA_ale1__2,-3.4571325827,0.10373116800000001,-0.1780823685,0.351625083
fps__fps_thrA_ale2__1,-2.9888601493999998,-0.18606999300000002,-0.3391423355,0.22966762300000002
fps__fps_thrA_ale2__2,-2.979499586,-0.18537867800000002,-0.1278104555,0.288967533
fps__fps_serB_ale1__1,-3.7464342359,-0.060219402000000005,0.0215255315,0.263027813
fps__fps_serB_ale1__2,-3.6948977744000002,-0.258936547,-0.0142848925,0.38965776300000005
fps__fps_serB_ale4__1,-4.4941924982,-0.027829116,-0.3432589145,0.20591431300000002
fps__fps_serB_ale4__2,-3.9074592537,-0.10320095400000001,0.1595324945,0.360213693
fps__fps_ptsI_ale1__1,-1.3812153017,2.65949989,-0.6033565095,0.045779202000000005
fps__fps_ptsI_ale1__2,-1.296337372,2.762310877,-0.3895784795,0.144864783
fps__fps_ptsI_ale3__1,-1.6928935417000002,2.157001306,-0.3889165795,0.252590313
fps__fps_ptsI_ale3__2,-1.9363915946999999,2.217091477,-0.3655256925,0.223236343
pal__lyx_ale2_f6__1,-2.3839272344,3.365626912,0.4923597085,0.33342218300000004
pal__lyx_ale2__1,-1.3390337861,3.402091189,0.1725005315,0.264908103
pal__lyx_ale2__2,-1.4766751428,3.400177048,0.30445475050000004,0.307141653
pal__lyx_ale4__1,4.3232527648,3.214405773,-2.5899538845,-0.057655873
pal__lyx_ale4__2,5.1367616913,3.2432978,-2.8474820195,-0.070605865
pal__5drib_ale10_f18__1,-3.1927437462,3.636466515,-0.6450054935,-0.069139537
pal__5drib_ale10_f18__2,-2.509967587,3.5077024310000002,-0.6416422595,-0.022394787000000003
pal__5drib_ale10__1,-1.1237552196,3.778967156,0.1488210985,0.401836273
pal__arab_ale14_f9__1,-3.5298170915,1.53464589,0.1029481515,0.24554710300000002
pal__arab_ale14_f9__2,-4.0340298997,1.3258125299999999,0.2240649485,0.412722073
pal__arab_ale14__1,-2.5117597195,1.420230925,-0.5060812725,0.376783933
pal__arab_ale14__2,-3.3934819283,1.577613391,-0.7830788465,0.375609213
pal__arab_ale16__1,-2.0627154662,2.961518143,0.4105085875,0.029854537
pal__arab_ale16__2,-2.8615181125999998,2.613910043,0.4785887755,0.109766425
pal__tartr_ale26_f10__1,-2.1427401328,2.7799793580000003,0.1024365215,0.311947293
pal__tartr_ale26_f10__2,-1.9134768742000001,3.015732522,0.1047161685,0.19927317300000003
pal__tartr_ale26__1,-1.3967398152000001,2.856089328,0.0041949255,0.385079333
pal__tartr_ale26__2,-1.6689199978,2.9964821710000002,-0.026588142500000002,0.334463263
pal__tartr_ale28_f10__1,-1.5417155598,2.594011626,0.20073134650000002,-0.0037122770000000004
pal__tartr_ale28_f10__2,-3.2168456531,2.6653753829999998,0.13945039950000002,-0.098690551
pal__tartr_ale28__1,-1.8716665896,2.813866975,0.1092718015,0.272968543
pal__tartr_ale28__2,-2.8360587476,2.755257442,0.018766994500000002,0.268494893
efeU__delmenFentC_citr__1,-2.9944194204,0.09395387100000001,-0.0178805455,0.422197943
efeU__delmenFentC_citr__2,-2.8946500498,0.183180374,-0.1240208685,0.567725263
efeU__delmenFentC__1,-3.5245169364,-0.624601127,0.2290714815,0.6961985230000001
efeU__delmenFentC__2,-3.3853698366,-0.726158225,0.2129888335,0.736210653
efeU__menFentC_ale39__1,-2.8788673423,-0.48046328600000004,0.3102500335,0.5420487930000001
efeU__menFentC_ale39__2,-2.7305660595,-0.38005422600000005,0.2694383945,0.5730386230000001
efeU__menFentC_ale29__1,-3.6703553834,-0.505081786,0.5976991905,0.911502773
efeU__menFentC_ale29__2,-3.2620892988,-0.8410628960000001,0.7101994145,0.943276293
efeU__menFentC_ale30__1,-1.860225753,0.529942745,-0.0630054285,0.106685208
efeU__menFentC_ale30__2,-1.4461337727,0.19737401000000002,-0.2337177215,0.063971556
efeU__menFentCubiC_ale36__1,-2.4312949757,-0.331787147,-0.0740559955,0.821857583
efeU__menFentCubiC_ale36__2,-2.5173468844,-0.46361828800000005,-0.0750117745,0.648169773
efeU__menFentCubiC_ale37__1,-3.4273820699,-0.127670486,0.2772871175,0.843077653
efeU__menFentCubiC_ale37__2,-3.2348757505,-0.16397234700000002,0.0914834125,0.8884085730000001
efeU__menFentCubiC_ale38__1,-1.2314351549,-0.672276215,-0.44254552150000004,0.348438943
efeU__menFentCubiC_ale38__2,-2.080060195,-0.08826565600000001,-0.5854358135000001,0.309908293
misc2__salc_glc__1,-4.9800509023,-0.151072068,0.0345483115,-0.030941686000000003
misc2__salc_glc__2,-4.662244965,0.576353907,0.15029728750000002,-0.041858422
misc2__dbcn_glc__1,-0.7697639968000001,0.624528898,-1.1439942115,-0.41418928400000005
misc2__dbcn_glc__2,-1.0941528974,0.10602041400000001,-0.9166682075,-0.322180379
misc2__tyr_glc__1,-2.4460364862,-0.41368055200000003,-0.052934522500000004,0.482338413
misc2__tyr_glc__2,-2.9162666826,-0.7007530310000001,-0.10882367150000001,0.519726133
misc2__arg_cytd__1,-2.3843481747,-0.272274827,-0.42517004150000004,0.10509646700000001
misc2__arg_cytd__2,-2.4940392901,-0.26943430300000004,-0.1233026445,0.09710128400000001
misc2__delyheO_pyr__1,-1.8662827370000001,2.15513536,-0.1547110065,1.000412783
misc2__delyheO_pyr__2,-1.8262801533,2.08712459,-0.3147460925,1.013481493
nquinone__delubiC__1,-2.6958147039,-0.7615757790000001,-0.2227888755,0.44647993300000005
nquinone__delubiC__2,-2.7210687793,-1.006083275,-0.1756911425,0.618285233
nquinone__ubiC_ale1__1,-2.9569129109,-0.349323912,0.1074956185,0.46214110300000005
nquinone__ubiC_ale1__2,-3.1538820996,-0.33437750400000005,0.19676740550000002,0.518639853
nquinone__ubiC_ale2__1,-2.6969374977,-0.700948091,0.1337484935,0.47472340300000004
nquinone__ubiC_ale2__2,-3.1002311706,-0.6420465740000001,0.1108858935,0.429799533
nquinone__ubiC_ale3__1,-2.4715616144,-0.7449591090000001,0.1478328915,0.026469302
nquinone__ubiC_ale3__2,-2.508612001,-1.196091132,0.0735122195,0.09906102300000001
nquinone__ubiC_ale4__1,-3.8941553687,-0.771372927,0.0240549195,0.49321258300000004
nquinone__ubiC_ale4__2,-3.4111186021,-0.987420449,0.3105939345,0.508607923
nquinone__delpdhR__1,-1.8307227063,-0.22978605800000002,-0.5037667945000001,0.38566819300000005
nquinone__delpdhR__2,-2.416387112,-0.287605021,-0.4757205165,0.362990173
quinone__glu_ale4__1,-1.6999627893,-0.588609789,0.0275279545,0.36842613300000004
quinone__glu_ale4__2,-2.5033604351000003,-0.8784496350000001,0.48368289150000005,0.736125773
quinone__delmenF__1,-2.6664168525000003,-0.415709816,-0.23578697950000002,0.553279673
quinone__delmenF__2,-1.990903239,-0.033650332000000005,-0.0306921705,0.42430167300000005
quinone__menF_ale5__1,-2.8074061343,-0.8484415460000001,0.7168000395,0.904530523
quinone__menF_ale5__2,-2.8169197959,-0.661682302,0.7259021935000001,0.929254393
quinone__menF_ale6__1,-3.594203133,-0.24330098500000003,0.5778984885,0.9289372330000001
quinone__menF_ale6__2,-2.8536350543,-0.264049038,0.5232608405,0.9358953230000001
quinone__menF_ale7__1,-3.66867537,0.806491253,0.6987762875,0.8647486830000001
quinone__menF_ale7__2,-3.7138782075,0.656083351,0.7836251225,0.829767083
quinone__menF_ale8__1,-3.9771546178,-0.369333415,0.5240258505000001,1.000233243
quinone__menF_ale8__2,-4.5623673317,-0.821212261,0.6109063375,0.9954071830000001
quinone__delmenFubiC__1,-2.4873820412,-0.214172825,0.1990781485,0.503242803
quinone__delmenFubiC__2,-3.0065379242,0.034612126,-0.0054037235,0.5733612730000001
quinone__menFubiC_ale1__1,-3.4743355471,-0.571932145,0.5089977525,0.688985203
quinone__menFubiC_ale1__2,-3.8877410034,-0.679950507,0.47922851050000004,0.689163233
quinone__menFubiC_ale2__1,-3.9862480452,-1.2146755470000001,0.3281918955,0.566404903
quinone__menFubiC_ale2__2,-4.1657814331,-0.598063738,0.3102761425,0.587592463
quinone__menFubiC_ale3__1,-2.5578737404,-0.085775771,-0.3105579625,0.10847917900000001
quinone__menFubiC_ale3__2,-2.4264505482,0.12524695,-0.4165379665,0.14360144
quinone__menFubiC_ale4__1,-2.6753699361,-1.13790832,0.3668886275,1.042582673
quinone__menFubiC_ale4__2,-2.6719895222,-1.201746108,0.3875133445,1.027989663
oxyR__wt_glc__1,-1.8168847601,-0.5049496330000001,-0.1102112655,0.09382866100000001
