,A,ZraR
abx_mega__zeocin_h2o__2,3.7807971346,1.3600580919
abx_mega__amyc-d_dmso__7,2.9368334729,-0.083389508
abx_mega__fidax_dmso__1,-0.6529911908,0.6283887189
abx_mega__h2o-1a__1,0.9813039938,-0.0063309482
abx_mega__dox_dmso__4,1.7520142085,0.38447162490000003
abx_mega__lzd_dmso__2,0.2484208584,-0.0141748224
abx_mega__tet_h2o__3,1.9905011314,0.0216642514
abx_mega__dmso-1__2,0.9178536159,0.13739658230000001
abx_mega__sxt_dmso__2,1.487712363,0.832145326
abx_mega__tric_ethanol__2,0.8816347624,0.4240914823
abx_mega__teix_dmso__8,1.0362633487,-0.323956799
abx_mega__ramo_h2o__2,0.2669929558,0.6940242297
abx_mega__inh_h2o__3,0.2229263255,1.427880976
abx_mega__cst_h2o__3,0.3054650007,0.7517353655
abx_mega__dmso-9__1,0.6354160831,1.1696154995999999
abx_mega__ethanol-8__3,-0.3556104554,1.3364238158
abx_mega__monac_dmso__2,0.5115430958,1.4237824222
abx_mega__dmso-9__2,1.19690505,1.1304105091
abx_mega__metro_dmso__4,3.0527836342,-0.172957674
abx_mega__ctx_h2o__4,-0.153451152,1.3341910208
abx_mega__zeocin_h2o__3,3.071275416,1.8261227019000001
abx_mega__bacit_h2o__5,4.0072360248,1.0679695693
abx_mega__reta_dmso__1,0.6275094647,-0.46134216640000003
abx_mega__ery_h2o__4,-1.7242216428,0.8215979883000001
abx_mega__ceru_ethanol__2,-1.3197525737,0.1136889618
abx_mega__fidax_dmso__2,-0.7800692027,1.1389057776
abx_mega__novo_dmso__1,3.0719548266,0.9296369953
abx_mega__naoh-6__4,-2.1641500014,0.1113610446
abx_mega__amyc-d_dmso__8,2.2309109475,-0.1603477065
abx_mega__chl_dmso__3,1.8154408588000002,-0.5435794678
abx_mega__nal_naoh__7,0.49638554430000004,1.2534378375
abx_mega__teix_dmso__9,-1.1269942678,0.7985772224000001
abx_mega__ery_dmso__3,0.3880708654,-0.4311356544
abx_mega__tmp_dmso__3,0.61381674,0.2072813034
abx_mega__sxt_dmso__3,-2.1517811114,0.8519747025000001
abx_mega__polmyx_h2o__4,0.7183057787,0.6019535069
abx_mega__mem_dmso__3,0.13210206300000002,1.0470242142
abx_mega__nal_naoh__8,-0.6153129199,0.2830224767
abx_mega__pen_h2o__3,0.26492796960000004,1.2163723499
abx_mega__van_dmso__5,3.1318950422,0.1616288875
abx_mega__zeocin_h2o__4,3.0166023899,1.5324897109
abx_mega__h2o-6__2,0.6063797874,-0.4182849746
abx_mega__tet_h2o__4,2.0353402498,-0.1999845258
abx_mega__nor_naoh__4,0.9378541730000001,1.4738167215
abx_mega__cip_naoh__4,1.8154617713,0.41308268140000004
abx_mega__tmp_dmso__4,0.2408424187,0.7544747027
abx_mega__reta_dmso__2,0.6493823367,0.1461701035
abx_mega__mem_dmso__4,-1.3591380491,1.0699072327
abx_mega__dox_dmso__5,0.7172948186,0.2041542103
abx_mega__tmp_dmso__5,0.7111738321000001,1.1811025691
abx_mega__flavo_dmso__3,0.25549170860000003,1.0939683313
abx_mega__tmp_dmso__6,1.61899048,1.3166058413
abx_mega__ceru_ethanol__3,1.4161340863,-0.09740096570000001
abx_mega__teix_dmso__10,0.6654883834,-0.184399793
abx_mega__novo_h2o__7,3.1372217773,-1.0760471161
abx_mega__fidax_dmso__3,-0.4768899214,0.7431479179
abx_mega__h2o-1a__2,-1.5486122196,0.0486969099
abx_mega__dcs_h2o__2,0.7065750230000001,0.9720066729000001
abx_mega__cst_h2o__4,0.5328193512,-0.4395113235
abx_mega__van_h2o__2,0.6437658714000001,1.3232211278000001
abx_mega__pen_h2o__4,0.7225743065,1.1363047498
abx_mega__h2o-8b__2,-1.6431230202,1.4530685661
abx_mega__reta_dmso__3,0.14336454640000001,0.07062327090000001
abx_mega__dmso-7__2,-0.2618482485,0.5319984337
abx_mega__rfp_h2o__2,2.0987472239,-0.0331475267
abx_mega__rif_dmso__6,2.6086714101,1.089796927
abx_mega__sxt_dmso__4,-1.0352062758,0.8160400569
abx_mega__cip_naoh__5,1.7730523865,0.5600775125
abx_mega__dmso-9__3,0.31914678080000003,0.8842731132
abx_mega__mem_dmso__5,-1.370849121,1.0106211179
abx_mega__tric_h2o__2,-0.011908498200000001,1.4547873641
abx_mega__phos_h2o__6,-0.0163345418,0.3629319325
abx_mega__h2o-7__2,0.23793672270000002,1.0775909593
abx_mega__h2o-10__3,0.5083509620000001,1.5004606474000002
abx_mega__h2o-8a__2,0.033390473000000004,0.8736248670000001
abx_mega__thio_dmso__3,1.1565161222,0.7210301859
abx_mega__lzd_dmso__3,0.90484349,-0.7605344951
abx_mega__monac_dmso__3,3.5862218256,1.0646312929
abx_mega__polmyx_h2o__5,0.8948243233000001,0.8811059436
abx_mega__naoh-6__5,0.48437888090000003,0.1885655544
abx_mega__teix_dmso__11,1.0701659515,-0.0450404202
abx_mega__van_h2o__3,0.6268156513,0.9563497193
abx_mega__teix_dmso__12,1.2656220306,0.8609194816
abx_mega__dox_dmso__6,2.6162878495,0.4611769271
abx_mega__teix_dmso__13,-0.32097090580000004,0.1800715618
abx_mega__h2o-7__3,-0.9885967575000001,0.6089132228
abx_mega__str_h2o__4,4.0853513361000005,-0.7905997426
abx_mega__tec_h2o__3,1.0254444598,-1.3802609323000001
abx_mega__phos_h2o__7,0.5283427837,-0.28588378740000003
abx_mega__chl_h2o__5,1.1192908473,-0.9424610037000001
abx_mega__polmyx_h2o__6,2.4705682516,-0.8272348205000001
abx_mega__teix_dmso__14,0.6130021107,-0.32786579050000003
abx_mega__rif_dmso__7,0.5318517513000001,0.4255646844
abx_mega__ramo_h2o__3,1.2743880803,0.8322785396
abx_mega__fidax_dmso__4,0.393281315,0.46513208180000004
abx_mega__teix_dmso__15,-0.6619212674,0.9962276203
abx_mega__thio_dmso__4,0.38368132200000005,0.40777512720000003
abx_mega__rif_dmso__8,2.8549614275,1.1364378171
abx_mega__reta_dmso__4,0.3814439788,0.2206220867
abx_mega__inh_h2o__4,-1.3864502686,1.298504936
abx_mega__novo_dmso__2,2.8924652679,-0.028411043100000002
abx_mega__dcs_h2o__3,1.0552550621,1.1469323483
abx_mega__h2o-8b__3,1.2272196028,1.2559630334
abx_mega__valin_dmso__3,0.9648204547,0.1195699934
abx_mega__h2o-2__1,-1.9873467915,0.1485997091
abx_mega__cro_h2o__4,0.3504584322,0.9874696775
abx_mega__dcs_h2o__4,-0.9413496050000001,1.2978246185
abx_mega__str_h2o__5,-0.9515330545,1.2619844999
abx_mega__h2o-8a__3,0.1025406027,0.6534284707
abx_mega__dox_dmso__7,1.9320863890000002,0.302659877
abx_mega__doxo_dmso__2,-0.9574615051,1.2719010304
abx_mega__teix_dmso__16,-0.1144456766,0.0824669723
abx_mega__rfp_h2o__3,0.9650890762000001,-0.3348729762
abx_mega__ethanol-10__3,-0.7411148154,1.3838686677
abx_mega__naoh-2__2,0.3391320685,-0.0789145146
abx_mega__van_h2o__4,1.5936653606,-1.0037557959
abx_mega__sacet_h2o__2,-3.4696813764,-0.7634289153
abx_mega__monac_dmso__4,1.1089534923,1.5503715347
abx_mega__h2o-2__2,0.9795813691,-0.10688017150000001
abx_mega__zeocin_h2o__5,-0.3951413353,1.6432784115999999
abx_mega__nor_naoh__5,1.0689326944,1.1820776514
abx_mega__naoh-9__2,0.2812837549,1.0711700836
abx_mega__dmso-7__3,-0.40658494910000004,0.40152690350000003
abx_mega__van_h2o__5,0.7950180165,-1.4460391394
abx_mega__flavo_dmso__4,-1.4825332233,0.9505605496
abx_mega__novo_dmso__3,3.5900115086,0.1594614948
abx_mega__polmyx_h2o__7,0.5592546732,1.4178288924
abx_mega__teix_dmso__17,-0.6836837232,1.0300636339
abx_mega__doxo_dmso__3,1.4132606496,1.1627186384
abx_mega__mem_dmso__6,0.6418110507,1.1021502765
abx_mega__h2o-1a__3,0.5673082257000001,-0.0423659617
abx_mega__bacit_dmso__3,2.9601605607,0.9398744339
abx_mega__dox_dmso__8,-1.9194034381,1.0494528198
abx_mega__teix_dmso__18,1.5993342162,-0.5865220195
abx_mega__h2o-6__3,1.0000036857,0.2181444472
abx_mega__pen_h2o__5,0.0313913157,0.6947218684
abx_mega__lzd_dmso__4,1.3540792614,-0.4109382874
abx_mega__daro__1,-0.129755594,-0.08566961840000001
abx_mega__solv__1,-0.6143943779000001,0.0030371065
abx_mega__daro__2,-0.0687727406,0.2226547565
abx_mega__daro__3,-0.3218757519,0.4770040829
abx_mega__solv__2,-1.2121639986,-0.3253232509
abx_mega__solv__3,0.20604330610000002,0.6722990922000001
abx_mega__dmso-4__1,3.0619840044,1.1497281101
abx_mega__kirr_dmso__1,2.8060492928,-0.7013987331
abx_mega__kirr_dmso__2,2.3148819288,-0.4922662197
abx_mega__kirr_dmso__3,4.923139427,-0.011993915
abx_mega__dmso-4__2,3.2955422942,1.6963966749
abx_mega__dmso-4__3,2.6860609741,0.5483664057000001
ackA_pta__dnaA46_del_ackA__1,-0.1232419513,0.0104708865
ackA_pta__dnaA46_del_ackA__2,-1.1412394821,1.2070485921
ackA_pta__dnaA46_del_ackA__3,0.5731025428000001,1.2985370186
ackA_pta__dnaA46_del_pta__1,-1.7354756352,0.9736279122
ackA_pta__dnaA46_del_pta__2,-0.3612398285,-0.0658530523
ackA_pta__dnaA46_del_pta__3,-0.0631149318,0.6446513856
ackA_pta__dnaA46__1,0.2056204928,-0.13098984260000002
ackA_pta__dnaA46__2,0.8041820867,0.7653426508000001
ackA_pta__dnaA46__3,0.1662326188,-0.11671209540000001
ackA_pta__del_ackA__1,0.0674118802,1.6238441616000001
ackA_pta__del_ackA__2,-1.262079049,1.018509558
ackA_pta__del_ackA__3,0.4664026959,0.4569722847
ackA_pta__del_pta__1,-0.2150888619,-0.5171471937000001
ackA_pta__del_pta__2,-1.3029843782000001,-0.3598012765
ackA_pta__del_pta__3,0.42175098590000004,-0.398012556
ackA_pta__wt__1,-0.6671930946,1.0961715547
ackA_pta__wt__2,0.40974045800000003,-0.7686512445
ackA_pta__wt__3,0.2574526366,-0.3275203102
anticancer__5fu__1,0.3168427984,-0.4727145218
anticancer__5fu__2,0.0423360204,-0.5836678541
anticancer__cap__1,-0.752023481,-0.1041099469
anticancer__cap__2,-1.1149852812,0.058704124600000004
anticancer__cap__3,-0.5460330699,-0.250132517
anticancer__wt__1,-0.7293600489000001,-0.7035456496
anticancer__wt__2,0.3558423502,-0.053378337000000005
anticancer__wt__3,0.3735176987,0.7569239866
anticancer__5fu__3,0.8188115877000001,-0.23945356950000002
bio_pln__aero_pln__1,-0.3286952426,0.18020886700000002
bio_pln__aero_pln__2,0.3286952426,-0.18020886700000002
bio_pln__anaero_pln__1,0.314494557,0.6255462371
bio_pln__anaero_pln__2,0.1857757325,-0.5371272275
biocide__bzcl_12h__1,0.8349925888,-0.0176145115
biocide__bzcl_12h__2,0.8977932133000001,-0.1328722133
biocide__bzcl_12h__3,0.5957047071,-0.2121816651
biocide__etoh_12h__1,-0.3893291043,0.44054764090000004
biocide__etoh_12h__2,0.4586020277,0.3687868976
biocide__etoh_12h__3,0.0402610039,0.2910978678
biocide__gluald_12h__1,-0.07969978900000001,0.13525708320000002
biocide__gluald_12h__2,-0.09275911640000001,0.2134003189
biocide__gluald_12h__3,-0.3143351788,0.11943438190000001
biocide__h2o2_12h__1,-0.0341873071,-0.2931685096
biocide__h2o2_12h__2,1.5658426304000002,-0.192704849
biocide__h2o2_12h__3,0.5609965172,0.1895774698
biocide__2ppoh_12h__1,-0.5069484464,0.33773306950000004
biocide__2ppoh_12h__2,0.2305319629,0.6100455325
biocide__2ppoh_12h__3,0.3586653964,0.5312582848
biocide__paa_12h__1,1.8937523707000001,0.0031210732000000003
biocide__paa_12h__2,1.8761173032,0.0149727001
biocide__paa_12h__3,1.8356174814,-0.18163344720000002
biocide__phe_12h__1,2.4940000062,0.27863206220000003
biocide__phe_12h__2,1.4646105167,0.060185243000000006
biocide__phe_12h__3,0.6528850558,0.38375687
biocide__pvp-i_12h__1,1.2113050442,0.1324128092
biocide__pvp-i_12h__2,1.2038943846,-0.0226974762
biocide__pvp-i_12h__3,1.0311009103,0.1460842827
biocide__bleach_12h__1,0.9666779988,0.1049281236
biocide__bleach_12h__2,0.3427601012,0.2085902652
biocide__bleach_12h__3,0.5853983238,0.173991997
biocide__chx_12h__1,1.026792388,0.3742195564
biocide__chx_12h__2,1.2499296907,0.1824972877
biocide__chx_12h__3,0.10431762180000001,0.2619054953
biocide__bzcl_30m__1,0.8170387295,0.2210128942
biocide__bzcl_30m__2,-1.5908400299999998,0.0527772767
biocide__bzcl_30m__3,0.6120419442,0.2717551608
biocide__phe_30m__1,0.7122994572,0.0268806197
biocide__phe_30m__2,0.4183149545,0.5541599639
biocide__phe_30m__3,-0.3690346386,0.0238074182
biocide__pvp-i_30m__1,0.8711916869,-0.048161343200000005
biocide__pvp-i_30m__2,-0.2831504542,0.0963938294
biocide__pvp-i_30m__3,0.6297204496000001,0.2234164897
biocide__ctrl_12h__1,-0.31533150060000004,-0.21105604700000002
biocide__ctrl_12h__2,-1.2009506133,-0.1924083849
biocide__ctrl_12h__3,0.606930548,0.17034166620000002
biocide__ctrl_30m__1,0.3454756456,-0.10138335450000001
biocide__ctrl_30m__2,-0.7600727070000001,-0.0023493836000000002
biocide__ctrl_30m__3,0.4145970614,0.1037327381
clpP__wt__1,-0.3162230473,-0.0126372854
clpP__wt_DPTA__1,0.8432862458,1.6815697209
clpP__wt__2,-0.10943850120000001,0.1979191058
clpP__wt_DPTA__2,1.8989693821,1.1014639960000001
clpP__wt__3,0.42566154840000003,-0.18528182040000002
clpP__wt_DPTA__3,-0.9084228205,1.6286754196
clpP__delclpP__1,-1.4419929022,-0.45503679890000004
clpP__delclpP_DPTA__1,3.4613622197,1.7206762977
clpP__delclpP__2,-0.7889465404,0.0250251234
clpP__delclpP_DPTA__2,2.4780716194,1.7731374312
clpP__delclpP__3,-2.29127348,-0.2100475391
clpP__delclpP_DPTA__3,0.2788543941,1.8325610455999999
colombos2__delydcR__1,0.2804583272,-1.0801153943
colombos2__delydcR__2,0.3531803065,0.4210161939
colombos2__delydcR__3,-3.7498903272,0.1594833082
colombos2__delyjiR__1,0.102544699,-0.7902034682
colombos2__delyjiR__2,-0.7693777478,-0.0942629629
colombos2__delyjiR__3,-0.4262774593,-0.5654204865
colombos2__wt__1,-0.3744802278,-0.4407420092
colombos2__wt__2,0.5515257074000001,0.5115154212
colombos2__wt__3,-0.1770454796,-0.0707734119
crp_k100__ar1_ar2__1,-0.7206497194,-2.0832652923
crp_k100__ar1_ar2__2,1.2465971086,-0.8901750415
crp_k100__ar1_ar2__3,-1.0700255413,0.046798278900000004
crp_k100__wt__1,0.9524701704,0.088967902
crp_k100__wt__2,-1.0862352071,-0.0418773951
crp_k100__wt__3,0.1337650367,-0.0470905069
crp_k100__K100Q__1,-0.4267244244,-0.2837283459
crp_k100__K100Q__2,1.8669758135,-0.3526889218
crp_k100__K100R__1,1.8712657603,-0.0655560884
crp_k100__K100R__2,0.7897259629000001,0.0370480871
crp_k100__K100R__3,2.7614861318,-0.5813965415
csrA__wt_t00__1,-0.14453597610000002,-0.1155287852
csrA__wt_t02_30__1,-0.368860948,-2.0457888203
csrA__wt_t05__1,0.7100353408000001,-2.55725215
csrA__wt_t10__1,0.4433470692,-1.8291902646
csrA__wt_t15__1,0.21529209870000002,-1.876594216
csrA__delcsrA_t00__1,0.3520925677,-0.2940504172
csrA__delcsrA_t02_30__1,-0.48252795270000004,-1.8254659461
csrA__delcsrA_t05__1,0.9668004883,-1.4353861901
csrA__delcsrA_t10__1,1.0985758742,-2.4914519434
csrA__delcsrA_t15__1,1.144016474,-1.7174254802000002
csrA__wt_t00__2,0.14453597610000002,0.1155287852
csrA__wt_t02_30__2,0.0547961654,-0.9007230676
csrA__wt_t05__2,0.9311038542000001,-1.9211806302
csrA__wt_t10__2,-0.6273277003000001,-1.6907773002000002
csrA__wt_t15__2,-0.8561214962,-1.384235551
csrA__delcsrA_t00__2,-0.2498889652,-0.3914757928
csrA__delcsrA_t02_30__2,0.34561332170000003,-0.6024355336
csrA__delcsrA_t05__2,0.5582069407,-2.3557526275000003
csrA__delcsrA_t10__2,1.5850240126,-0.8694792656
csrA__delcsrA_t15__2,0.6657913864,-1.0918840769
cstr_pfr__str_0005m__1,0.6668210639000001,-0.0231316262
cstr_pfr__str_0010m__1,0.3383612232,-0.0787333387
cstr_pfr__str_0025m__1,0.1540476268,-0.0179481679
cstr_pfr__str_0045m__1,-0.1088881696,-0.1260634888
cstr_pfr__str_0075m__1,-0.2112499915,-0.0605200684
cstr_pfr__str_0120m__1,-0.2699006044,-0.0549051522
cstr_pfr__str_0210m__1,-0.1640393915,-0.0025655108000000003
cstr_pfr__str_0330m__1,-0.5151194694,0.1777536489
cstr_pfr__str_1500m__1,-0.7628721945,0.14907618920000001
cstr_pfr__str_1560m__1,-0.2180848931,-0.0582606892
cstr_pfr__str_1680m__1,-0.31832564490000004,-0.060998171000000004
cstr_pfr__str_ref1__1,0.0991356367,-0.07475206420000001
cstr_pfr__str_ref2__1,0.3622076259,-0.0750444906
cstr_pfr__str_ref3__1,0.1616175342,-0.051270950100000004
