,A,ZraR
omics__bw_fum__1,0.7142325545,1.2615102235
omics__bw_fum__2,0.07843446180000001,0.9903054735000001
omics__bw_glc__1,0.2758457204,0.6104010855
omics__bw_glc__2,0.1362582228,0.6855783565
omics__bw_pyr__1,-0.3494446325,0.9855685625
omics__bw_pyr__2,0.8927058426000001,0.5643266195000001
ompr__wt_nacl__1,-0.0201923689,0.2175155765
ompr__wt_nacl__2,0.5858969516,0.3833712925
ompr__bw_delompr_nacl__1,-0.1361037721,-0.3412684275
ompr__bw_delompr_nacl__2,-0.8723613181000001,-0.0915037185
minspan__wt_ade__1,-1.3442700842,-0.7836084025000001
minspan__wt_glc__2,-1.2718617659,-0.11636819250000001
minspan__wt_glc__3,-0.6777179870000001,-0.1473138805
minspan__wt_glc__4,-1.1231058993,0.1341345135
minspan__wt_glc_anaero__1,2.7747508842,0.8087432985
minspan__wt_glc_anaero__2,0.3029971771,1.2284026325
minspan__wt_trp__1,2.8056401398,-0.0143071085
minspan__bw_delcra_glc__2,0.4906520972,0.8662137345
minspan__bw_delcra_trp__1,6.5742500064,0.9400030865000001
minspan__bw_delmntr__1,0.31061943740000003,0.8687772845
minspan__bw_delnac_ade__1,0.1729379499,0.0856586015
minspan__bw_delnac_glc__1,-0.49538622520000003,-0.0549156845
cra_crp__wt_ac__1,-0.7420134283,0.3639884825
cra_crp__wt_ac__2,-1.4981843822,0.3685714835
cra_crp__wt_fru__1,-1.0799227183,0.0007586025
cra_crp__wt_fru__2,-1.6837961975,0.2014774915
cra_crp__delcra_ac__1,0.9057092365,1.3176351995
cra_crp__delcra_ac__2,0.8326415263,1.1303200285
cra_crp__delcra_fru__1,1.0691611107,0.5572880725
cra_crp__delcra_fru__2,1.3267630471,0.49673946550000003
cra_crp__delcra_glc__1,0.2964946181,0.3034278875
cra_crp__delcra_glc__2,0.6838273529000001,0.4048731245
rpoB__wt_031__1,0.1068120245,0.3042957315
rpoB__wt_044__1,1.3189481589,0.4585172145
rpoB__wt_lb__1,-0.4369016462,0.15744563350000002
rpoB__wt_lb__2,-1.5906746372,0.5502712615
rpoB__rpoBE546V_031__1,2.2614039871,0.2911566725
rpoB__rpoBE546V_044__1,2.5213161679000002,-0.1816661565
rpoB__rpoBE546V_lb__1,-0.6755574836,0.3127098095
rpoB__rpoBE546V_lb__2,0.057975248400000005,0.5992027455
rpoB__rpoBE546V_glc__1,0.7491472158,0.7040229215
rpoB__rpoBE672K_glc__1,-0.3911685783,-0.4638448935
rpoB__rpoBE672K_glc__2,-2.6407060788,-0.5586258205
rpoB__rpoBE672K_lb__1,0.5960387025,0.4443052825
rpoB__rpoBE672K_lb__2,-0.9132133968,0.5505176215
crp__wt_fru__1,-1.1923006048,0.2562219515
crp__wt_glyc__1,-0.4592257898,0.5774267415000001
crp__wt_glyc__2,-0.6465803360000001,0.2243669885
crp__delar1_glyc__1,-0.07460061300000001,1.0810214275
crp__delar1_glyc__2,1.3580189274,1.2540350555
crp__delar1ar2_glyc__1,0.0683444613,0.4634471685
crp__delar1ar2_glyc__2,-0.5733376311,0.1269162205
crp__delar1ar2_glyc__3,0.9501614518,0.4050998745
crp__delar2_glyc__1,1.7022187843,0.8698026365
crp__delar2_glyc__2,1.5607578654,0.7756711815
crp__delar2_glyc__3,1.9686914731,0.7785581955
crp__delcrp_fru__1,-0.0161479306,0.5031777065
crp__delcrp_fru__2,-1.0595228122,0.6400392655
crp__delcrp_fru__3,0.2826424977,0.6100283765
crp__delcrp_glc__1,0.8856677994000001,0.7781065195
crp__delcrp_glc__2,0.2192564261,0.5877617655
crp__delcrp_glc__3,0.35466032680000004,0.6286551635000001
crp__delcrp_glyc__1,0.7407633377,0.8874430545
crp__delcrp_glyc__2,0.5260348956,0.9456287605
crp__delcrp_glyc__3,0.8995837822,0.9583687435
glu__glu_ale3__1,2.9464369518,1.2332643075
glu__glu_ale4__1,0.11410787780000001,0.6233953805
glu__glu_ale5__1,-1.3164226964,0.3445031175
glu__glu_ale6__1,-1.8191868337,-0.0167731355
glu__glu_ale8__1,1.498056268,0.5032379415
glu__glu_ale9__1,1.9073762967999999,1.0180261305
glu__glu_ale10__1,0.6998029720000001,0.8760479475
42c__wt_42c__1,-1.5379889106,0.3921471945
42c__42c_ale1__1,5.0572512462,1.2440899865000001
42c__42c_ale2__1,0.9249133935,1.2538609575
42c__42c_ale3__1,-0.29846505300000004,0.8321440375
42c__42c_ale4__1,0.3151630623,1.5199494465
42c__42c_ale5__1,-0.6892157067,0.33834587650000003
42c__42c_ale6__1,5.9067263947,1.4394745115
42c__42c_ale8__1,3.5085972896,1.3785485215
42c__42c_ale9__1,-1.4247127448999999,0.1467709185
42c__42c_ale10__1,3.2565531148,1.2672536505
ssw__wt_ac__1,2.1017331454,0.9168922975
ssw__wt_glc__1,2.7510260277,-0.4427037855
ssw__wt_glyc__1,2.0706323128,1.9314587185
ssw__wt_xyl__1,2.8572877252,1.1817088035
ssw__glc_ale1__1,2.0351960729,1.0166816235
ssw__glc_ale2__1,1.2622986206,0.7404301935000001
ssw__glc_ale3__1,1.8791273850999999,0.7381298925
ssw__glyc_ale1__1,3.2336265088,1.1394452375
ssw__glyc_ale2__1,2.5290979076999998,0.8565388855
ssw__xyl_ale1__1,2.5466246250999998,1.4756931115
ssw__xyl_ale2__1,0.7445020823,1.1125436965
ssw__xyl_ale3__1,1.9970052876,1.2447273405
ssw__glc_ac_ac2__1,4.1304696276,0.4030326275
ssw__glc_ac_glc1__1,1.0841407532,0.7317533585
ssw__glc_glyc_glc__1,1.3786907918,0.1668252725
ssw__glc_glyc_glyc__1,1.7072783961,1.1707111305
ssw__glc_xyl_glc__1,1.4398076365,0.2140844745
ssw__glc_xyl_xyl__1,-0.9893198411,-0.0788909285
ica__wt_glc__1,-1.6403521955,-0.3202986915
ica__wt_glc__2,-1.468155554,-0.4213143435
ica__wt_glc__3,-1.4257839202,-0.0145870605
ica__wt_glc__4,-1.4936958171999999,0.0166163715
ica__arg_sbt__1,-0.4018761957,0.6352271245000001
ica__arg_sbt__2,-0.8728915432000001,0.1930641005
ica__cytd_rib__1,0.6544757627000001,0.6305057135000001
ica__cytd_rib__2,0.5923735315,0.6100557085
ica__gth__1,2.0280612857,0.2496388155
ica__gth__2,1.6982327695000001,-0.0666738075
ica__leu_glcr__1,-1.6911981349,-0.3994991945
ica__leu_glcr__2,-1.6598291453,-0.30668065850000004
ica__met_glc__1,-1.199088238,-1.0129332555
ica__met_glc__2,-0.7697835648,-0.3244237345
ica__no3_anaero__1,2.7674347162,0.1926492405
ica__no3_anaero__2,3.2999262262,0.2610913405
ica__phe_acgam__1,-1.1808387016,-0.2365855365
ica__phe_acgam__2,-1.5635744837,-0.1737265325
ica__thm_gal__1,0.20314833300000001,0.2632169585
ica__thm_gal__2,-0.2320238469,0.4396307165
ica__tyr_glcn__1,-0.9247605917,-0.4708348745
ica__tyr_glcn__2,-0.7509851299,-0.3675969425
ica__ura_pyr__1,-0.176143512,0.0496028075
ica__ura_pyr__2,1.6032731762,-0.1983675375
ica__wt_glc__5,-1.106123798,-0.21942290250000002
ica__wt_glc__6,-0.3786881373,-0.0255311595
ica__bw_delpurR_cytd__1,-0.5188602006,-0.3827643425
ica__bw_delpurR_cytd__2,-1.667390457,0.3496326905
ica__ade_glc__1,-1.2217161998,0.3556289735
ica__ade_glc__2,0.0158440631,-1.0660956745
ytf__wt_glc__1,1.0615804774,0.1513277905
ytf__wt_glc__2,0.4548732187,0.2237101115
ytf__delyafC__1,9.6290615528,0.8103945145
ytf__delyafC__2,9.5829907998,1.1185656865
ytf__delyeiE__1,7.7614393421,0.3537389165
ytf__delyeiE__2,7.6386425667,0.0200228815
ytf__delyiaJ__1,7.6090330484,0.4582003865
ytf__delyiaJ__2,6.5295871279,0.5432186615
ytf__delyieP__1,3.7239145521,0.7095995505
ytf__delyieP__2,2.6179557108,0.6214403885
ytf__wt_ph5__1,0.753708853,-0.10410936250000001
ytf__wt_ph5__2,0.6459721595,0.3698682505
ytf__wt_ph8__1,0.14455507,0.3926991655
ytf__wt_ph8__2,-0.0850545878,0.2170212605
ytf__delybaO__1,7.5469596103,0.7532146985
ytf__delybaO__2,6.4667088666,0.9006560695
ytf__delybaQ__1,-0.8661131911000001,0.0084697965
ytf__delybaQ__2,-1.5478585465,-0.0394552725
ytf__delybiH__1,0.8648053688,0.1368135745
ytf__delybiH__2,3.4412997197,0.9476855755
ytf__delydcI_ph5__1,0.2366258752,0.4224337655
ytf__delydcI_ph5__2,0.0280974197,0.21747963750000002
ytf__delydcI_ph8__1,0.0734476518,0.2978338265
ytf__delydcI_ph8__2,-0.49653609540000004,-0.43507429950000004
ytf__delyddM__1,4.891457681,0.43095844050000004
ytf__delyddM__2,4.5168984287,0.2583139125
ytf__delyheO__1,7.9505394381,0.7291162165
ytf__delyheO__2,6.7144890463,0.7543262795
fps__bw_glc__1,-0.7925193246000001,-0.08962703250000001
fps__bw_glc__2,-0.4511701048,-0.40792876850000004
fps__fps_thrA_ale1__1,-0.9945833319,0.2806935645
fps__fps_thrA_ale1__2,-1.8619224845,-0.1018935425
fps__fps_thrA_ale2__1,-0.5688207528,0.1291602405
fps__fps_thrA_ale2__2,-0.1315976423,-0.21922879550000002
fps__fps_serB_ale1__1,-0.8403447140000001,0.0615579645
fps__fps_serB_ale1__2,-0.7996159202,0.18432613050000002
fps__fps_serB_ale4__1,-0.1709030306,0.2903571815
fps__fps_serB_ale4__2,-0.027369073900000002,0.0353347475
fps__fps_ptsI_ale1__1,-0.98939517,0.2400098605
fps__fps_ptsI_ale1__2,-1.3841111028,0.0704826535
fps__fps_ptsI_ale3__1,-1.3180870511,-0.1292363275
fps__fps_ptsI_ale3__2,-0.9114566936,-0.1204975615
pal__lyx_ale2_f6__1,-0.47549515270000003,0.9405079815
pal__lyx_ale2__1,-1.4603981037,0.7121573205
pal__lyx_ale2__2,-0.8699429625,1.0013793705
pal__lyx_ale4__1,-0.6002088877,0.1437107035
pal__lyx_ale4__2,-1.9967563494,0.0909273035
pal__5drib_ale10_f18__1,-0.597632025,1.2602464465
pal__5drib_ale10_f18__2,0.3576454739,1.5845299005
pal__5drib_ale10__1,-0.021889488800000002,1.5417686055000002
pal__arab_ale14_f9__1,0.5005016662,0.7788927035000001
pal__arab_ale14_f9__2,0.0146381279,0.6571185695
pal__arab_ale14__1,-1.1785106731,0.2297023675
pal__arab_ale14__2,-0.6392596283,0.4040341425
pal__arab_ale16__1,-1.3727206033,1.1018853025
pal__arab_ale16__2,0.8340833607,1.1718680445
pal__tartr_ale26_f10__1,1.0052746661,1.4337770805
pal__tartr_ale26_f10__2,0.0185912533,1.6560886045
pal__tartr_ale26__1,0.0780798698,1.2940659075
pal__tartr_ale26__2,0.8862630689000001,1.4153519175
pal__tartr_ale28_f10__1,-0.1726009695,0.8638151385
pal__tartr_ale28_f10__2,1.5584801041,0.6763207795
pal__tartr_ale28__1,0.3608945106,0.6542133445
pal__tartr_ale28__2,0.4815279048,0.7826152365
efeU__delmenFentC_citr__1,-1.3305794259,-0.0872282675
efeU__delmenFentC_citr__2,-0.9587571409000001,-0.5008924065
efeU__delmenFentC__1,-0.209904361,0.3892483265
efeU__delmenFentC__2,0.11241844000000001,0.3763499615
efeU__menFentC_ale39__1,0.7801313608,0.39839607850000003
efeU__menFentC_ale39__2,1.3366090737,0.2325924725
efeU__menFentC_ale29__1,0.7350886929,0.5350805595
efeU__menFentC_ale29__2,1.5483068493,0.6444307865000001
efeU__menFentC_ale30__1,-0.1487519766,0.2197646395
efeU__menFentC_ale30__2,-0.5611754240000001,0.0264985405
efeU__menFentCubiC_ale36__1,-0.1431743722,-0.11382742550000001
efeU__menFentCubiC_ale36__2,-0.1710771231,0.0217592795
efeU__menFentCubiC_ale37__1,0.1595730795,0.5846606955
efeU__menFentCubiC_ale37__2,-0.0794169609,0.19079170850000002
efeU__menFentCubiC_ale38__1,1.1204684042,0.7842129975000001
efeU__menFentCubiC_ale38__2,1.1820193229,0.8447236825000001
misc2__salc_glc__1,3.4205465874,0.0991619665
misc2__salc_glc__2,3.1200357496,0.3596215665
misc2__dbcn_glc__1,1.3591839559,-1.3060457905
misc2__dbcn_glc__2,-0.24270647620000002,-0.7479352555000001
misc2__tyr_glc__1,-0.4907242439,0.4183367555
misc2__tyr_glc__2,-0.1854964334,0.3620726835
misc2__arg_cytd__1,-0.9586292588,-0.2123299945
misc2__arg_cytd__2,-0.5309339162,-0.21877888250000002
misc2__delyheO_pyr__1,0.7135842257,0.4887559175
misc2__delyheO_pyr__2,0.6454670347,0.2441922555
nquinone__delubiC__1,-0.171403365,-0.1227344185
nquinone__delubiC__2,-0.239901671,-0.2888132845
nquinone__ubiC_ale1__1,0.3609936465,0.23813749750000002
nquinone__ubiC_ale1__2,-0.0274941801,-0.14996254050000002
nquinone__ubiC_ale2__1,0.1227810778,0.5522110675
nquinone__ubiC_ale2__2,-0.0679604464,0.12449610750000001
nquinone__ubiC_ale3__1,-0.0090027721,-0.11979516650000001
nquinone__ubiC_ale3__2,-0.3269895996,-0.4224440305
nquinone__ubiC_ale4__1,-0.1251134868,0.0106055815
nquinone__ubiC_ale4__2,0.40708488,0.1902068475
nquinone__delpdhR__1,-1.4260838156,-0.7073524985
nquinone__delpdhR__2,-0.7912280946,-0.3997929095
quinone__glu_ale4__1,-2.1441980763,-0.3118387395
quinone__glu_ale4__2,-0.9438466799,0.21075893750000002
quinone__delmenF__1,-0.7106864489,0.0099844365
quinone__delmenF__2,-0.7914977846,0.1132165245
quinone__menF_ale5__1,0.4340220782,0.2004748345
quinone__menF_ale5__2,0.9583485410000001,0.7403356575000001
quinone__menF_ale6__1,1.2113020104,0.36149725450000003
quinone__menF_ale6__2,1.3052578116,0.1965738495
quinone__menF_ale7__1,2.0535744941,0.9569780925
quinone__menF_ale7__2,2.1004993737,1.0191114205
quinone__menF_ale8__1,1.4227014229,0.6625656165
quinone__menF_ale8__2,1.7967337288,0.33061035050000004
quinone__delmenFubiC__1,-0.0132261005,0.5723277715
quinone__delmenFubiC__2,0.5770969023,0.3369585035
quinone__menFubiC_ale1__1,2.1331331252,0.8341187295
quinone__menFubiC_ale1__2,2.7047235405,0.8977082175000001
quinone__menFubiC_ale2__1,2.0806223164,0.5102364265
quinone__menFubiC_ale2__2,3.0670059778,0.6817921155000001
quinone__menFubiC_ale3__1,-0.1661820065,0.0888943095
quinone__menFubiC_ale3__2,-0.8474326295,-0.1247173495
quinone__menFubiC_ale4__1,2.2369039673,0.6354820335
quinone__menFubiC_ale4__2,1.7725999964999999,0.6376515045000001
oxyR__wt_glc__1,-1.2606432761,1.4360146435
oxyR__wt_glc__2,-1.1198217731,1.4371827315
oxyR__wt_h2o2__1,-0.7735245787,1.4759827865
oxyR__wt_h2o2__2,-0.7434286761000001,1.5804461365
oxyR__glu_ale4__1,0.3418882888,2.1064853575
oxyR__glu_ale4__2,0.9770730883000001,1.8903518835000002
oxyR__glu_ale4_h2o2__1,1.0962382502,2.1756912275
oxyR__glu_ale4_h2o2__2,1.0769481284,2.0076928305
oxyR__oxyR_ale17__1,1.8609918239,1.9782175775000002
oxyR__oxyR_ale17__2,1.3248846078,1.9797130105
oxyR__oxyR_ale17_h2o2__1,1.0019731902,2.0239952285
oxyR__oxyR_ale17_h2o2__2,0.6067140959,1.6838746494999999
oxyR__oxyR_ale18__1,-0.8617703333000001,1.4983279895
oxyR__oxyR_ale18__2,-0.5482418702,1.3431692855000001
oxyR__oxyR_ale18_h2o2__1,0.7297407424,1.8902026805
oxyR__oxyR_ale18_h2o2__2,0.9708151746,1.8725501125
oxyR__oxyR_ale19__1,-0.7227977555,1.3962840235
oxyR__oxyR_ale19__2,-0.570472136,1.6219931255
oxyR__oxyR_ale19_h2o2__1,-1.736151252,1.6430358485
oxyR__oxyR_ale19_h2o2__2,-1.3817314798,1.3776526735
oxyR__oxyR_ale20__1,2.6073097105,1.7928674925
oxyR__oxyR_ale20__2,2.4900159481,1.8297954575
oxyR__oxyR_ale20_h2o2__1,1.5577974709,1.6041786945
oxyR__oxyR_ale20_h2o2__2,2.7292836285,1.8570822205000002
svns_pgi__BmePgi24_15__1,-0.6640124,1.6740058645
svns_pgi__BmePgi24_15__2,-0.6827060181,1.7043059425
svns_pgi__BmePgi24_26__1,-0.7281339479000001,1.5647121395
svns_pgi__BmePgi24_26__2,-0.6275267922000001,1.7896941035
svns_pgi__BmePgi24_41__1,0.7209730987,1.8915443165
svns_pgi__BmePgi24_41__2,-0.2041722349,1.5613306974999999
svns_pgi__BmePgi24_52__1,-0.4079463149,1.5902884585
svns_pgi__BmePgi24_52__2,-0.43124832360000004,1.6520584935
svns_pgi__PaePgi2_34__1,0.0700730583,1.8460814855
svns_pgi__PaePgi2_34__2,-0.1537036494,1.7949832465000002
svns_pgi__PaePgi2_63__1,0.4168949836,1.9682001945
svns_pgi__PaePgi2_63__2,-0.928531164,1.7706783935
svns_pgi__PaePgi24_54__1,-0.1398728621,2.0387415515
svns_pgi__PaePgi24_54__2,0.0513085753,2.0562107425
svns_pgi__PaePgi24_90__1,0.5907179042,1.8668346845000001
svns_pgi__PaePgi24_90__2,0.0565543431,2.1187200835
abx_media__m9_ctrl__1,-0.9356259316000001,0.8019621645
abx_media__m9_ctrl__2,-1.1635114796,0.6774090095
abx_media__rpmi_ctrl__1,1.8034991865,1.1318773725
abx_media__rpmi_ctrl__2,1.3349956433,1.4910088155
abx_media__camhb_ctrl__1,-0.8711195737,0.07870969950000001
abx_media__camhb_ctrl__2,0.011126243400000001,0.44201431950000003
abx_media__m9_mero__1,-0.5716667595,0.3687657245
abx_media__m9_mero__2,-0.16502812,0.7135238595000001
abx_media__rpmi_mero__1,0.2593501432,0.7990291565000001
abx_media__rpmi_mero__2,0.6369144458,1.1185537065
abx_media__camhb_mero__1,0.1057097485,-0.18286884250000002
abx_media__camhb_mero__2,-0.031432154500000004,0.2298402565
abx_media__m9_trisulf__1,-0.7433405132,0.8615072235000001
abx_media__m9_trisulf__2,0.3494602489,0.6651345575000001
abx_media__rpmi_trisulf__1,1.709711062,0.5539214035
abx_media__rpmi_trisulf__2,1.5367839577,0.9112576005
abx_media__camhb_trisulf__1,0.9846844979,1.3155958955
abx_media__camhb_trisulf__2,-0.0623015888,1.1165653365
abx_media__m9_cef__1,0.6519852869,0.7469363585000001
abx_media__m9_cef__2,0.7102941497,0.5281644015
abx_media__rpmi_cef__1,1.2610513858,1.4931637175
abx_media__rpmi_cef__2,0.4669807365,1.3339383255000001
abx_media__camhb_cef__1,-0.4736341268,0.8177512485
abx_media__camhb_cef__2,-0.6751507998,0.7193563335000001
abx_media__m9_cipro__1,0.7297262739,0.9733516155
abx_media__m9_cipro__2,0.5016895408000001,0.7284703155000001
abx_media__rpmi_cipro__1,1.2191443802,1.5114358485000001
abx_media__rpmi_cipro__2,1.3991394981,1.6855531845
abx_media__camhb_cipro__1,-0.1459059059,0.6395705255
abx_media__camhb_cipro__2,-0.2998882572,0.8236882065000001
hot_tale__42c_ale3_30c__1,-1.1390732216,-0.9615564045
hot_tale__42c_ale3_30c__2,-0.4921814405,-0.0890400375
hot_tale__42c_ale3_37c__1,0.019335936,-0.1903655655
hot_tale__42c_ale3_37c__2,-0.31860316,-0.0215755625
hot_tale__42c_ale3_44c__1,0.2657169136,1.0956796085
hot_tale__42c_ale3_44c__2,-0.21526302020000002,1.3350368325
hot_tale__hot_ale3_mid_30c__1,-0.6457548435,-0.2858271965
hot_tale__hot_ale3_mid_30c__2,0.5139743760000001,-0.4883976075
hot_tale__hot_ale3_mid_37c__1,-0.9722127117,-0.25225349550000004
hot_tale__hot_ale3_mid_37c__2,-1.075107333,-0.3954028275
hot_tale__hot_ale3_mid_44c__1,-2.6935006253,2.7385727075
hot_tale__hot_ale3_mid_44c__2,-0.463203909,0.5414260945
hot_tale__hot_ale3_30c__1,-0.8150223442000001,-0.0405940235
hot_tale__hot_ale3_30c__2,-1.1519543181,-0.21327692850000002
hot_tale__hot_ale3_37c__1,-1.4986023916,-0.0822806965
hot_tale__hot_ale3_37c__2,-0.8821823270000001,0.3790595205
hot_tale__hot_ale3_44c__1,0.1263555203,0.5737010955
hot_tale__hot_ale3_44c__2,-0.6543712203000001,0.7754023575000001
hot_tale__hot_ale4_30c__1,-0.5282775829,-0.9883429425
hot_tale__hot_ale4_30c__2,-0.7048539862000001,-0.6165331005
hot_tale__hot_ale4_37c__1,-1.2090774307,-0.1569978485
hot_tale__hot_ale4_37c__2,-0.8928417916,-0.29480799950000003
hot_tale__hot_ale4_44c__1,-0.9516948547,0.7673456385
hot_tale__hot_ale4_44c__2,-0.5349966378000001,0.6326973485
hot_tale__hot_ale8_30c__1,0.3995066836,-0.0364849445
hot_tale__hot_ale8_30c__2,-0.9517259910000001,-0.6171105305
hot_tale__hot_ale8_37c__1,-1.0814214742,0.053438664500000004
hot_tale__hot_ale8_37c__2,-0.4661346765,-0.0697756085
hot_tale__hot_ale8_44c__1,-0.1797999489,0.9339658955000001
hot_tale__hot_ale8_44c__2,-0.6308413571,1.1120306105
hot_tale__hot_ale9_mid_30c__1,-1.8374262950000002,-0.4899542485
hot_tale__hot_ale9_mid_30c__2,-1.2625007656,-0.17555017650000002
hot_tale__hot_ale9_30c__1,-1.3507742862,-0.9475705885000001
hot_tale__hot_ale9_30c__2,-0.6693032894000001,-0.4516172585
hot_tale__hot_ale9_mid_37c__1,-1.0996874395,-0.12032669850000001
hot_tale__hot_ale9_mid_37c__2,-1.0927887357,-0.26404054250000003
hot_tale__hot_ale9_37c__1,-0.8618543464,-0.2849580215
hot_tale__hot_ale9_37c__2,-0.6601384443,-0.4918608155
hot_tale__hot_ale9_mid_44c__1,-0.9339558528,0.7612833255
hot_tale__hot_ale9_mid_44c__2,-0.3139773491,0.7026910155
hot_tale__hot_ale9_44c__1,-0.5578625448,0.8740687795000001
hot_tale__hot_ale9_44c__2,-0.5153005338000001,1.0802002535
hot_tale__hot_ale10_30c__1,-0.36704343500000003,-0.6983436815
hot_tale__hot_ale10_30c__2,-1.4624211545999999,-0.4664047295
hot_tale__hot_ale10_37c__1,-0.4146804122,-0.0936148545
hot_tale__hot_ale10_37c__2,-1.3991861905,-0.2012931585
hot_tale__hot_ale10_44c__1,0.8225867921000001,1.2584027595
hot_tale__hot_ale10_44c__2,-0.1178752438,0.9293295955
hot_tale__hot_ale16_30c__1,-0.9527436961,-0.6271748785
hot_tale__hot_ale16_30c__2,-1.2295511606,-0.5660257415000001
hot_tale__hot_ale16_37c__1,-0.7921356673000001,0.1530808905
hot_tale__hot_ale16_37c__2,-0.9096254705000001,-0.4108255085
hot_tale__hot_ale16_44c__1,-0.7323458681,0.9834218135
hot_tale__hot_ale16_44c__2,-0.4046727849,0.9653421765
pdhr_ale__pdhR-13_51__1,0.30241447590000003,1.3663406995
pdhr_ale__pdhR-13_51__2,0.5988013707000001,1.3508331305
pdhr_ale__pdhR-14_46__1,0.5699011922,1.4071659305
pdhr_ale__pdhR-14_46__2,0.8719653743,1.5528585365
pdhr_ale__pdhR-15_51__1,0.8924394156000001,1.2220364395
pdhr_ale__pdhR-15_51__2,1.2142793686,1.2115118425
pdhr_ale__pdhR-16_49__1,1.4667171243000001,1.4375037315
pdhr_ale__pdhR-16_49__2,0.9871393759,1.6297114845
tcs__del_atoC_LiAcet__1,0.7186244049,1.2726576354999999
tcs__del_atoC_LiAcet__2,0.9977264628,1.5821745305000001
tcs__del_atoC_LiCl__1,1.0113917747,1.7191346345
tcs__del_atoC_LiCl__2,0.4938457375,1.6690970495
tcs__del_atoC_m9__1,1.357780046,1.5072175365
tcs__del_atoC_m9__2,1.0058088397,1.6522477395
tcs__del_baeR_etoh__1,6.6607835548,3.2513775445
tcs__del_baeR_etoh__2,7.1428413222,3.5382534705
tcs__del_baeR_lb__1,2.3579033433,2.1945987215000002
tcs__del_baeR_lb__2,0.8889134885000001,2.0438538745
tcs__del_btsR_01xlb__1,3.115681011,0.7244510745
tcs__del_btsR_01xlb__2,1.2220613039,0.7049309595000001
tcs__del_btsR_lb__1,1.5437711173,3.2118624505
tcs__del_btsR_lb__2,0.9963400522,3.0278486985
tcs__del_btsR_pyruvate__1,1.6855199035,0.7123462085000001
tcs__del_btsR_pyruvate__2,1.3601414083,0.8549574425
