Log TPM values: Expression Data used (X) used to calculate the i-modulons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA300_TCH1516_ICA-Set003_250nMParaquat_1,USA300_TCH1516_ICA-Set003_250nMParaquat_2,USA300_TCH1516_ICA-Set003_StationaryPhase_2,USA300_TCH1516_ICA-Set003_2gLPyruvate_2,USA300_TCH1516_ICA-Set003_2gLPyruvate_1,USA300_TCH1516_ICA-Set003_Control_1,USA300_TCH1516_ICA-Set003_Control_2,USA300_TCH1516_ICA-Set003_2gLGalactose_2,USA300_TCH1516_ICA-Set003_2gLGalactose_1,USA300_TCH1516_ICA-Set003_StationaryPhase_1,USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,USA300_TCH1516_U01-Set003_CAMHB_Control_2,USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,USA300_TCH1516_U01-Set003_CAMHB_Control_3,USA300_TCH1516_BK-Set001_THB_Control_1,USA300_TCH1516_BK-Set001_THB_Control_2,USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_CAMHB_Control_1,USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_CAMHB_Control_2,USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_R10LB_Control_1,USA300_TCH1516_U01-Set000_R10LB_Control_2,USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,USA300_LAC_ICA-Set002_CAMHB_Control_2,USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,USA300_LAC_ICA-Set002_CAMHB_Control_1,USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,USA300_LAC_U01-Set004_CAMHB_Control_1,USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,USA300_LAC_U01-Set004_CAMHB_Control_2,USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,USA300_LAC_U01-Set004_R10LB_Control_2,USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,USA300_LAC_U01-Set004_R10LB_Control_1,USA300_LAC_ICA-Set001_R10LB_Control_1,USA300_LAC_ICA-Set001_R10LB_Control_2,USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,USA300_LAC_ICA-Set001_R10LB_5.5pH_1,USA300_LAC_ICA-Set001_R10LB_5.5pH_2,USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,USA300_LAC_U01-Set001_R10LB_PreCulture_1,USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,USA300_LAC_U01-Set001_CAMHB_Control_2,USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_Control_1,USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,USA300_LAC_U01-Set001_R10LB_Control_2,USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,USA300_LAC_U01-Set001_R10LB_Control_1,USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_PreCulture_1,USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,USA300_LAC_U01-Set001_CAMHB_PreCulture_2,USA300_LAC_U01-Set001_R10LB_PreCulture_2,USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,USA300_TCH1516_ICA-Set002_R10LB_Control_2,USA300_SNFR19_ICA-Set002_CAMHB_None_2,USA300_SNFR19_ICA-Set002_R10LB_None_2,USA300_SNFM1_ICA-Set002_CAMHB_None_2,USA300_SNFR19_ICA-Set002_CAMHB_None_1,USA300_SNFM1_ICA-Set002_R10LB_None_2,USA300_SNFR19_ICA-Set002_R10LB_None_1,USA300_TCH1516_ICA-Set002_R10LB_Control_1,USA300_TCH1516_ICA-Set002_CAMHB_Control_2,USA300_TCH1516_ICA-Set002_CAMHB_Control_1,USA300_SNFM1_ICA-Set002_R10LB_None_1,USA300_SNFM1_ICA-Set002_CAMHB_None_1
USA300HOU_RS00075,0.344254617,0.171042777,0.139591223,0.255083431,0.378571892,0.564733138,0.417707058,0.135610263,0.112316149,0.122442478,0.552319976,0.322631544,0.144839449,0.528142416,0.259299647,0.341559285,0.048702638,0.344541867,-0.290175437,0.781929369,0.290952311,0.517091738,0.879699542,0.895059674,0.765662015,0.52675613,0.459759048,0.362355448,0.128864381,-0.098699036,0.161329332,0.24979415,0.118035953,0.388629515,0.351600972,0.098699036,0.110506958,0.365381978,0.472888445,0.301704321,0.068626735,0.037639226,0.155649598,0.146300741,0.138235044,-0.186123419,0.04555373,-0.032689924,-0.38355087,0.130115268,0.122518178,-0.025781177,-0.073582758,-0.200633239,-0.214715127,-0.215051129,-0.873073255,-0.780209061,-0.839486,-0.842968658,-0.920816721,-0.712954926,-0.815214703,-0.849580236,-0.84296517,-0.91627096,-0.727405926,-0.876741925,-0.741016588,-1.054325619,-0.74203748,-0.681656866,-0.884096398,-0.906207832,-0.288529215,-0.286078658,-0.533075685,-0.525637622,-0.062875205,-0.11479706,-0.097163704,0.036440871,0.134010101,-0.039690487,-0.186623511,0.039690487,-0.114177155,-0.026454534,-0.128134019,-0.097988788,-0.054786897,0.13574609,-0.088967979,0.023516545,-0.069646823,-0.179532206,0.050070961,0.466766889,0.523828826,0.170478231,0.516904722,0.443416952,0.521059315,-0.097640678,0.038027892,-0.038027892,0.325521987,0.146536125
USA300HOU_RS00080,0.700349373,0.523585811,0.17143583,0.592586962,0.718286594,0.542677055,0.591598508,0.471787166,0.284731766,0.303611923,0.294148615,0.183784606,-0.145998282,0.674024411,0.217878757,0.178838754,-0.133395061,0.236474956,1.065406011,1.071473021,0.712953807,0.537252951,1.077219837,0.958675186,0.763938609,0.822929461,0.638600437,0.556625377,0.011579885,-0.027235579,0.094101418,0.165214156,-0.222449886,0.67392413,0.48474531,0.027235579,0.002449724,0.174829316,0.63364609,0.482735501,-0.219934737,-0.155680891,-0.02320332,0.518296943,0.018755016,0.137537421,0.181610895,-0.073304898,-0.323543264,0.044218242,0.482907151,0.156784794,0.019014181,0.492866042,-0.108793108,0.454340633,0.134892331,0.771570356,0.277067841,0.184495437,0.241419958,0.253825442,0.193318259,1.012110099,0.719112176,0.704396798,0.174708466,0.898564252,0.128120688,0.647819356,-0.448124146,-0.402547981,-0.622272328,-0.821558829,0.126317042,0.117202133,-0.111313673,0.082100108,0.030662714,-0.133658283,-0.106152131,0.645740349,0.031861312,-0.036078057,0.091394465,0.036078057,0.683545869,0.261594389,-0.107688953,0.246734487,0.441936343,-0.127637091,0.254011449,-0.021581449,0.478690057,-0.286043936,-0.65741763,0.28635012,0.685586032,0.264207995,0.322389415,0.418815838,0.67185476,-0.862753932,0.071553871,-0.071553871,0.429379385,0.146807406
USA300HOU_RS00085,1.034554329,1.003412193,4.054903417,0.162191641,0.020303096,1.068622901,1.056501043,1.252629231,1.171030569,3.427691949,-0.629572316,-0.500013142,0.080510695,0.814324044,0.560517991,0.362923534,0.452029011,0.707763271,0.318066265,0.802399926,-0.658930005,-0.612151245,0.879208926,0.508886698,0.573164479,0.387569693,1.463545443,-0.365154981,-0.676651403,0.100282701,-0.622560142,-0.491170017,-0.299869974,1.269760049,-0.371045915,-0.100282701,-2.725282845,-1.375251224,0.559551318,-1.835370287,-2.852011995,-2.289156825,2.662644169,-3.185065389,2.749228634,-0.105917515,-0.44958062,-1.870636114,-0.111357376,-1.836149216,-2.95353318,-0.454654913,-0.089873154,-1.813541123,-0.06329404,-1.905109273,-0.326396729,-2.500052526,0.301627922,0.076026235,-0.24506578,0.022758146,-0.265665246,-1.780809418,0.65140779,-2.492937937,-0.313955869,-1.981678166,-0.158059151,0.471867133,-1.880238226,-1.783643986,-3.48607916,-3.431801038,-3.360847673,-3.591452668,-3.510269934,-3.367715321,-0.584892896,-0.617171141,-0.692816518,0.431324443,-0.692462584,-0.015286936,-4.127680218,0.015286936,-3.274978076,-3.782307605,-0.404507217,-3.9609329,-3.554343971,-0.483353595,-3.883404573,-0.408756743,0.92028488,-0.508690048,2.806805311,1.050864132,1.151260181,1.117180735,0.970421878,1.184751047,1.048745715,2.564242365,0.048957392,-0.048957392,1.284016363,1.520724375
USA300HOU_RS00100,0.101671477,0.279621011,-0.088674529,-0.024921672,0.250428033,0.90744876,0.727923159,0.31802007,0.266890197,0.058035527,-0.549376556,-0.467165904,-0.692390136,-0.616354852,-0.790159775,-1.129612793,-0.429326122,-0.678218843,-0.070812827,-0.267538631,-0.506785238,-0.888769326,-0.133537585,-0.360164126,0.003860698,-0.281938587,-0.645501251,-0.109354631,-0.071964598,-0.023879885,-0.139777197,-0.212744528,-0.193153173,-0.475113611,-0.116609343,0.023879885,-0.163153845,-0.088187857,-0.044331139,0.073394523,-0.176632523,-0.204890507,-0.357110486,0.283368853,-0.359003231,-0.111929818,-0.148071192,-0.401087335,-0.26568689,-0.25011025,0.279988466,-0.126365732,0.612312075,-0.45096492,0.593237741,-0.464713818,-0.112732508,0.64878241,0.177792473,0.282493795,0.062912356,0.30064799,0.054425388,0.635767843,0.444415234,0.586992225,0.087994426,0.625126663,0.057207506,0.591628317,0.244814484,0.19537242,0.243752032,0.154707047,0.650560997,0.64699433,0.251927149,0.290130148,0.078074867,-0.010082326,0.072582275,0.007637268,0.075822271,0.005363271,0.242476145,-0.005363271,0.388951284,0.439467262,-0.040957928,0.409309225,0.401984782,-0.737665907,0.414847451,-0.699762258,-0.231684962,-0.192030544,0.084394325,0.21150155,0.378383233,-0.030740346,0.190518389,0.157345682,0.376942611,-0.134050595,0.108981298,-0.108981298,0.166411789,-0.007480285
USA300HOU_RS00105,-0.189712246,-0.106228237,0.069542747,-0.111975279,-0.289488,-0.479683819,-0.307955058,-0.05113674,-0.047683464,-0.027483465,0.032172438,0.160837517,0.025829799,-0.169200715,0.069356013,0.126642171,0.096987566,0.191808793,-0.270539821,-0.379906359,-0.460975985,-0.502035557,-0.216267257,-0.627203809,-0.301343029,-0.432260621,-0.066468236,-0.013159596,-0.081780881,-0.024272077,-0.141526249,-0.012833725,-0.077101644,-0.161755708,-0.016842506,0.024272077,-0.140176741,0.028536747,0.134336588,0.01544879,-0.124818048,-0.271903262,-0.087661022,0.332722188,-0.125154388,-0.005815896,0.049376962,-0.179637098,-0.086263915,-0.031771628,0.34658704,0.019145322,0.83818002,-0.45903599,0.85677534,-0.400945058,-0.49014864,0.082962591,-0.271642192,-0.152531431,-0.303789407,-0.258689365,-0.385622822,0.074681701,0.009998041,0.079820522,-0.336800817,0.130133973,-0.247461918,-0.076071524,0.068236528,0.010859397,-0.024580234,-0.038214935,0.568033163,0.540266142,0.17823494,0.326152036,0.065065695,-0.046925828,-0.117165895,0.244403101,-0.032182574,0.037498676,0.111212951,-0.037498676,0.416425719,0.281850347,-0.072379627,0.290317796,0.342971773,-0.141613616,0.273542616,-0.081678119,0.158646401,-0.169720159,0.064857049,0.337651306,0.431307175,0.255554927,0.332504528,0.224719492,0.52140205,-0.107058398,0.036093373,-0.036093373,0.247545278,0.166855294
USA300HOU_RS00110,0.087144926,0.077973975,0.411747361,0.226432043,0.03966557,-0.111230061,-0.036401408,0.159879536,0.292619812,0.277999322,0.312911637,0.230050239,0.196213497,0.131492903,0.404684053,0.465180857,0.293467549,0.457665004,-0.540796296,0.192036573,0.239509124,0.258750331,0.45564642,0.06394241,0.303256041,0.081578315,0.450561561,0.34847158,0.125067898,-0.053687554,0.107526065,0.23962958,-0.100330621,0.405388745,0.364483848,0.053687554,0.058174474,0.219511307,0.558256753,0.304993163,-0.031145411,-0.11496856,0.107971301,0.364127083,0.10705187,0.075071461,0.227064419,0.010775949,-0.155200145,0.127226436,0.454885587,0.15491589,1.262384561,-0.318708044,1.223984414,-0.264901697,-0.408728691,0.044330491,-0.342933684,-0.26957,-0.344178513,-0.322671105,-0.377044124,0.240894293,0.02408863,0.126273941,-0.210305742,0.248622424,-0.287694455,-0.005698922,-0.199393239,-0.238876393,-0.464417276,-0.40964873,0.372717602,0.301122486,-0.040027014,0.145686378,0.079534123,0.049469397,0.037827835,0.511185112,0.066806766,0.003980405,-0.032715839,-0.003980405,0.411406854,0.166389925,0.085282404,0.178877146,0.345879631,0.131986788,0.123780758,0.119495191,0.438394064,0.033348513,0.220172199,0.43457187,0.608178193,0.301040273,0.47051699,0.405272861,0.622622789,0.076220843,0.017378035,-0.017378035,0.389572817,0.178265323
USA300HOU_RS00115,-0.233573266,-0.287495389,0.09332749,-0.104293338,-0.19824234,-0.167110054,-0.214677818,-0.08895594,0.00511439,0.191062495,0.192713386,0.118794403,-0.064810814,-0.167974723,0.37584664,0.411057347,0.121267154,0.32812448,-0.126932884,0.248430681,0.264980508,0.278053925,0.566124615,0.121397145,0.26720529,0.145081524,0.515922425,0.336853827,0.096916139,-0.066206227,0.061109208,0.31763508,0.012399069,0.538122434,0.363004274,0.066206227,0.294869218,0.394782168,0.807908874,0.551095139,0.156787936,0.094642876,0.121071339,0.341167836,0.185061492,-0.06750689,0.104861909,0.061851769,-0.239187929,0.107891215,0.359180389,0.171470164,1.074981891,-0.773778284,1.103604799,-0.850870722,0.352702193,0.710690789,0.524779048,0.558765443,0.5359916,0.4646888,0.375096918,0.886647243,0.743752779,0.789282544,0.488681126,0.797874168,0.524579657,0.678020144,-0.295087894,-0.371616543,-0.531336816,-0.586725825,0.30251111,0.120003268,-0.09213152,0.11697992,0.077469481,0.065674617,0.13119181,0.538588931,0.026832603,0.017612971,-0.095624122,-0.017612971,0.335022283,-0.014428125,0.046219509,0.044502695,0.131888207,-0.059172448,0.071115301,0.092315769,0.448518313,-0.102854144,0.16716652,0.421728469,0.676115605,0.255187723,0.434384442,0.542472898,0.699823952,0.044754074,0.010051865,-0.010051865,0.414938213,0.167756704
USA300HOU_RS00120,-0.735092787,-0.401094985,-0.581959374,-1.237401701,-0.739584625,0.058009868,-0.006600798,-0.14064649,0.184331911,-0.428641973,-0.919323196,-0.934641099,-1.365777653,-1.09956269,-1.173798345,-1.227593716,-1.102777674,-0.890017754,0.590299831,0.7660123,-0.192404004,-0.225748329,1.022194458,0.98472257,0.487986881,0.251557303,0.668310912,0.107177671,-0.227758894,0.143720101,-0.297421422,-0.093624529,-0.246004178,0.673991954,0.29303767,-0.143720101,0.755015967,0.740884236,0.939673632,0.76120923,0.56264091,0.630059486,0.175927545,-0.635391908,0.132197378,-0.659874478,-0.544032039,-1.229301889,-0.592343584,-1.015357323,-0.488582134,-0.552170809,2.503495277,-1.277900633,2.479570702,-1.464577325,0.837020913,0.306269322,0.928179796,1.002105379,0.994656697,0.768694305,0.557186538,0.751156869,0.42045303,0.336058628,1.018317111,0.544134298,0.937034578,0.209687964,-0.711518902,-0.689102892,-0.696457661,-0.567635358,0.002452976,-0.046004742,-0.63948265,-0.539077671,-0.341394039,-0.552012733,-0.279252385,-0.247619848,-0.286236677,0.035025423,-0.798365435,-0.035025423,-0.58923127,-0.610870011,-0.067647482,-0.767384909,-0.738084202,-1.427530573,-0.521252126,-1.198240121,0.206237723,-0.10870269,0.513114019,0.162777877,0.426491123,-0.14671108,0.150111239,0.430418898,0.55597264,0.1559443,0.048303974,-0.048303974,0.466864627,0.003958744
USA300HOU_RS00125,0.714036701,0.799553418,0.790510814,0.625077839,0.451847357,0.559356676,0.694464369,0.721317593,0.678322538,0.355139119,0.121948099,0.250408848,0.747866614,0.943659937,0.572966037,0.499825642,0.752754389,0.488423853,-0.611193746,-0.974307038,-1.828008216,-1.808269079,-1.487802315,-1.587542542,-0.80122305,-0.875183139,-1.057170436,-1.059113663,-0.287613323,-0.100029035,-0.414588304,-0.498883158,-0.449033737,-1.05162668,-1.203818897,0.100029035,-0.668760734,0.035851519,0.013866341,-0.77773592,-0.624935517,-0.602733554,-0.177633968,0.902255289,-0.111071275,0.152543692,0.213147679,-0.621614211,-0.010783813,-0.564881821,0.748651532,0.094906229,-1.952794337,-0.957758384,-1.910179039,-1.129334726,-1.935123592,0.284459002,-0.281074715,-0.387912092,-0.917377547,-0.224621243,-1.717011331,-0.161885967,0.876589389,0.268170814,-0.876164684,-0.099868225,-0.744184571,0.952803813,0.464291436,0.475129888,0.422281459,0.308436087,0.071056054,0.177828039,-0.195991403,-0.19285917,-0.261915929,0.004729635,-0.052082804,-0.259784518,-0.284398569,-0.021723589,0.47063279,0.021723589,0.365459094,0.521288039,0.02299711,0.568640001,0.355555376,-0.438792899,0.27593849,-0.462491593,-0.476714214,-0.036171926,1.591923843,-1.46327241,-1.069521513,-0.427133736,-1.454953265,0.030543113,-1.209913907,1.318423326,0.178553117,-0.178553117,0.087752241,-0.7172858
USA300HOU_RS00130,-0.284521814,0.449479,0.233566935,0.691429457,0.46716983,-0.009601027,0.306698585,0.341614955,0.45520783,0.277688002,-0.176676198,0.095791763,0.00656524,-0.621965631,-0.877616709,-0.822067447,0.001881371,-0.874311332,0.535851989,-0.449979708,-0.167445539,-0.440370688,-0.441354553,0.101334173,0.277969104,0.103568739,-1.256837714,-0.040759195,0.007199718,-0.177498829,0.073863647,-0.347700341,-0.088354215,-1.382256391,-0.303257667,0.177498829,0.103867795,-0.041543053,-0.311626351,-0.047319062,0.359035681,0.459548762,-0.618813833,0.53069415,-0.439927084,-0.356882656,-0.623966815,-0.153496789,-0.342887464,-0.195989662,0.410272334,-0.37368827,-0.101974082,-0.170524041,-0.141204545,-0.1782581,-1.495885033,-0.594929613,-1.27546415,-1.930912988,-1.70339632,-2.00766882,-1.175876533,-1.118793368,-0.643040327,-1.019818348,-1.496611496,-1.083047999,-1.142041122,-0.979269998,0.118120617,0.602622522,0.519741908,0.669220791,-0.297822112,-0.293935756,0.072934381,0.140277484,-0.194322299,0.025855475,-0.136018104,-0.56046273,-0.07873856,0.026278445,0.650133008,-0.026278445,0.335452682,0.471638023,-0.167843771,0.724428562,0.649246265,-0.369158433,0.458023784,-0.883057912,-0.713847545,-0.208905073,0.595312993,-0.064550783,0.219880981,0.164818232,-0.068581069,-0.050503444,0.166530424,0.732837016,0.250851001,-0.250851001,-0.066965685,-0.301294995
USA300HOU_RS00135,-0.936478333,-0.876110382,-0.718649903,-0.850647547,-0.646647197,-0.191554667,-0.507239919,-1.054032289,-0.843592596,-0.776673217,-0.466779499,-0.306814678,-0.512264142,-1.172906545,-1.06191913,-1.074999419,-0.397903365,-0.952004082,-2.437776848,-1.749092595,-1.47555411,-1.759070339,-1.024294125,-1.366186105,-1.304471562,-1.842925864,-1.040611485,-0.363087464,-0.297395858,-0.031583317,-0.384460976,-0.415366543,-0.392732096,-1.043039968,-0.296739623,0.031583317,0.150208192,0.123610562,-0.004204618,-0.033847699,0.091327877,0.259690381,-0.197434376,0.434123148,-0.250298982,-0.766863713,-0.552493422,-0.192293257,-0.418288811,-0.188406774,0.563783216,-0.427275334,-0.687168022,-1.085833458,-0.838060935,-1.026061269,0.210565474,0.694887204,0.013788968,0.150069484,-0.182332768,0.124652094,0.359795199,0.599670581,0.606894308,0.739366395,0.135875491,0.587550473,-0.014513965,0.69132572,1.050070042,0.978675227,0.972450345,1.047251051,0.549126771,0.538456549,0.901926267,0.801847301,0.186022776,-0.083542477,-0.106192531,-0.300645476,0.15183753,0.053673809,0.733866823,-0.053673809,0.713654599,0.586249613,-0.094482968,0.847694798,0.581231782,-0.367437907,0.712442398,-0.102334348,-0.399517652,-0.137710128,0.561502832,0.019264799,0.436620514,0.207899888,-0.048928849,0.104239822,0.381981412,0.551173893,-0.018772041,0.018772041,0.192578934,-0.000978063
USA300HOU_RS00140,-0.567069987,-0.256075664,0.1070539,-0.532956523,-0.759074344,-0.804618205,-0.808355483,-0.157686397,0.222186556,0.399327243,0.481013993,0.425679639,-0.01606243,-0.348162742,-0.020001344,-0.082751526,0.03425211,0.139767961,-0.616207348,-0.245017403,-1.038422135,-0.58434193,-0.174500618,0.245886931,0.273091879,-0.080287527,-0.446013853,-0.455406748,-0.257098256,0.123632453,-0.187258471,-0.293069797,-0.381028023,-0.333429845,-0.107849019,-0.123632453,-1.484675764,-1.629370788,-2.252269134,-1.43993901,-1.660098855,-1.335590999,-0.551607882,-0.573825321,-0.619342328,-0.725711298,-0.500731086,-0.477610723,-0.456050019,-0.359811833,-0.646632624,-0.573253575,-1.694357198,-1.106554129,-1.353540441,-1.189080559,0.537580985,0.353864786,-0.127178876,0.353702264,0.008460402,0.709128778,0.204769044,0.484094508,0.318045441,0.299054581,0.536841806,-0.012259425,0.391299703,0.0754784,-0.263807683,-0.479504006,-0.455806064,-0.219106527,-0.994714641,-0.995462406,-0.047670539,-0.256960779,-0.05545284,0.208348855,0.159889384,-0.324758468,-0.183676788,-0.109926383,-0.608890117,0.109926383,-0.566538568,-0.447818707,-0.444074414,-0.241375174,-0.781848102,-0.673194526,-0.507588259,-0.852187786,-0.533557232,0.002625308,-0.299576485,-1.29613848,-1.225520775,0.369899591,-1.453628354,-0.207728908,-1.453184618,-0.180253077,0.00949388,-0.00949388,-0.41459663,0.117989004
USA300HOU_RS00150,-0.733937456,-0.592672214,-0.865679178,-1.242384498,-1.31523389,-0.337464228,-0.522972457,-0.634401483,-0.491726988,-1.172714089,-1.052364818,-0.763709256,-0.862049683,-1.383461634,-1.06424262,-1.036469998,-0.661753758,-0.899351913,-2.535769152,-2.095525888,-2.84449201,-3.027905498,-1.668727127,-1.771436005,-1.856126114,-1.909078139,-1.05767008,-0.697065226,-0.645794767,-0.078071979,-0.57238233,-0.888513065,-0.728673805,-0.945249974,-0.591285149,0.078071979,-0.846454582,-0.903188743,-1.105175842,-0.852220046,-0.798564343,-0.912216943,-0.873411476,-0.807117341,-0.888667348,-0.807512506,-0.256362677,-1.706540574,-0.279291721,-1.41794322,-0.726969803,-0.261921971,-0.872156465,-1.548806262,-0.811816118,-1.496556362,0.512007034,0.327185998,0.075609136,0.066269111,-0.017851419,-0.018230446,0.303361505,0.274301637,-0.291915998,0.20654215,-0.149492406,0.009225016,0.07733963,-0.366405576,0.539828645,0.317316449,0.151628177,0.365628424,1.140846147,1.050984836,0.275148025,0.045631451,0.116244331,-0.006181789,0.010474564,-0.992024453,0.04436396,0.101589845,-0.288726624,-0.101589845,-0.336489631,-0.217087873,0.08882274,-0.235350118,-0.383587912,-0.202247248,-0.252065887,-0.296956119,-1.254860024,-0.042819276,0.135142865,0.7128399,0.545735301,0.4831052,0.621657155,0.200015678,0.611787667,-0.109372921,-0.097565974,0.097565974,0.19524767,0.423599598
USA300HOU_RS00155,-0.603496836,-0.584577705,-0.678499508,-1.358406622,-1.04508088,0.177320642,-0.179685994,-0.688100268,-0.357298102,-0.973457556,-0.977419636,-1.168680887,-1.571130866,-1.508596774,-1.350604835,-1.938068939,-0.77959689,-1.60705584,-2.297579866,-1.208564865,-1.546625171,-1.634891275,-0.52314262,-1.331457583,-1.503610106,-1.724624408,-0.460819593,-1.057343494,-1.175656267,-0.133252958,-1.128659356,-0.78122291,-1.044248462,-0.323489645,-1.049176776,0.133252958,-1.079447684,-0.636883819,-0.406856027,-0.804927315,-0.955920901,-0.981211453,-0.54881064,-0.911055223,-0.558289288,-0.813812341,-0.377507842,-1.309859805,-0.408181777,-1.128428561,-0.704879277,-0.244716038,-2.856532271,-1.786983925,-3.283261785,-2.148573204,-0.043808565,-0.103425581,0.6669773,0.343762099,0.17784495,0.581891327,-0.143397169,0.209523452,0.15136422,-0.075424811,0.441778333,0.621138154,0.439014699,-0.201832627,-0.233834731,-0.056790884,-0.605424505,-0.406473569,0.463590519,0.606498817,-0.226550731,-0.672816577,-0.093505627,-0.236664622,-0.140491135,-0.997808202,0.002767487,-0.06019252,-1.031226269,0.06019252,-0.780822136,-1.190188204,-0.200018049,-0.92806825,-0.813634429,-1.203595034,-0.944706688,-1.424683164,-0.882819936,0.061557293,-0.046382422,0.027676828,-0.046894667,0.509046753,0.027289767,0.13664473,0.099507941,-0.188258141,-0.056127694,0.056127694,0.102236774,0.266276761
