,A,IlvY
ica__no3_anaero__2,-3.1090457204,4.1030082324
ica__phe_acgam__1,0.49052190840000004,3.2693741919
ica__phe_acgam__2,0.2696692164,3.3251740225
ica__thm_gal__1,-0.3176057559,4.1667614853
ica__thm_gal__2,-0.1621572994,4.4005697741
ica__tyr_glcn__1,-0.1576855113,3.2927383916
ica__tyr_glcn__2,-0.3949732247,3.4632077682
ica__ura_pyr__1,0.9254667381,3.5883834312
ica__ura_pyr__2,-0.7652097027,3.7839840843
ica__wt_glc__5,-0.9813989133000001,3.6106977206
ica__wt_glc__6,-0.6071430357,4.1277956076
ica__bw_delpurR_cytd__1,-0.1641852491,3.4630225772
ica__bw_delpurR_cytd__2,0.1386835932,2.8373546825
ica__ade_glc__1,-5.5251961283,4.3887043164
ica__ade_glc__2,-5.9611808792000005,4.1198278828
ytf__wt_glc__1,0.28108567,3.8580332723
ytf__wt_glc__2,0.4133447387,4.6879254889
ytf__delyafC__1,-7.0049053224,4.4771416849
ytf__delyafC__2,-7.9834125948,4.6851781338
ytf__delyeiE__1,-3.6221594443000003,3.9783673722
ytf__delyeiE__2,-2.1459059046,3.6104691173
ytf__delyiaJ__1,-4.0924145068,4.0670599887
ytf__delyiaJ__2,-4.0016540088,4.1241300352
ytf__delyieP__1,-0.0650371424,4.3860742725
ytf__delyieP__2,1.0301787495,4.2889328094
ytf__wt_ph5__1,-1.2853900555,3.9383275841
ytf__wt_ph5__2,-2.4925493117,3.8307496921
ytf__wt_ph8__1,-0.9350803542,3.6356674350000002
ytf__wt_ph8__2,-1.3145424258,3.7229661572
ytf__delybaO__1,-6.0547073157,4.1753610995
ytf__delybaO__2,-3.4594028433,4.3341360803
ytf__delybaQ__1,-1.6655900029000001,3.9851037388
ytf__delybaQ__2,-1.4988538109,3.7833296204
ytf__delybiH__1,0.3824663096,4.2036307049
ytf__delybiH__2,-0.5039421804,4.8330741355
ytf__delydcI_ph5__1,-1.6082424931000001,4.1166029927
ytf__delydcI_ph5__2,-1.6638943502,3.6009706024
ytf__delydcI_ph8__1,-0.5181294017,3.636418395
ytf__delydcI_ph8__2,-0.9660190836,3.3678814085
ytf__delyddM__1,-0.40000110710000003,3.932822025
ytf__delyddM__2,-0.14650361180000002,4.2044180656
ytf__delyheO__1,-5.8479095516,4.3744013693
ytf__delyheO__2,-4.2050739385,4.2898818549
fps__bw_glc__1,-2.2200471893,3.8215679233
fps__bw_glc__2,-3.0205464423,3.5168489939
fps__fps_thrA_ale1__1,3.0750451694,3.9833733151
fps__fps_thrA_ale1__2,3.597370475,3.6436631524000003
fps__fps_thrA_ale2__1,3.1116322656,3.6088643558999998
fps__fps_thrA_ale2__2,3.7400870471000003,4.096220289
fps__fps_serB_ale1__1,-4.2113383266,3.7314192002
fps__fps_serB_ale1__2,-3.7088104044,3.4487678966
fps__fps_serB_ale4__1,-7.8354955949,4.0181561572
fps__fps_serB_ale4__2,-7.0566041601,3.8111664958
fps__fps_ptsI_ale1__1,-3.6778284295,3.5713249388
fps__fps_ptsI_ale1__2,-4.1264764393,2.8110476405
fps__fps_ptsI_ale3__1,-4.1711685893,3.3853476199
fps__fps_ptsI_ale3__2,-3.6049444634,3.0996403643
pal__lyx_ale2_f6__1,-3.6987658582,4.569232676
pal__lyx_ale2__1,-4.2999399304,4.0398637385
pal__lyx_ale2__2,-3.1930619365,3.4921258325
pal__lyx_ale4__1,-4.2999399304,4.0398637385
pal__lyx_ale4__2,-3.1930619365,3.4921258325
pal__5drib_ale10_f18__1,-4.240265165,4.1106452353
pal__5drib_ale10_f18__2,-3.6408211674,4.177595898
pal__5drib_ale10__1,-2.6358815736,4.0761998178
pal__arab_ale14_f9__1,-2.7361752282,4.2693114273
pal__arab_ale14_f9__2,-2.5100049156,4.6942876634
pal__arab_ale14__1,2.0685571165,4.0434399745
pal__arab_ale14__2,1.9803092674,3.7436142623
pal__arab_ale16__1,-0.8332243407000001,4.2535675421
pal__arab_ale16__2,-3.533393751,4.5496503181
pal__tartr_ale26_f10__1,-7.2132836652,4.3014258046
pal__tartr_ale26_f10__2,-9.6228660663,3.8394061209
pal__tartr_ale26__1,-3.5254769974,3.6225203722
pal__tartr_ale26__2,-2.7300967564,3.8671287626
pal__tartr_ale28_f10__1,-6.6200350559,4.4953263317
pal__tartr_ale28_f10__2,-8.6048280785,4.1801259103
pal__tartr_ale28__1,-2.8993098262,3.7948765915
pal__tartr_ale28__2,-6.0682672724,4.5247582035
efeU__delmenFentC_citr__1,-1.7021888916,3.7426236318
efeU__delmenFentC_citr__2,0.15754643340000002,3.9527828601
efeU__delmenFentC__1,0.402614837,3.8061347493
efeU__delmenFentC__2,-0.1276679949,3.9280157245
efeU__menFentC_ale39__1,2.0734776764,4.4119872902
efeU__menFentC_ale39__2,1.7219133128,3.8561421861
efeU__menFentC_ale29__1,4.5875361834,4.6067858648
efeU__menFentC_ale29__2,4.0213867296,4.8390126953
efeU__menFentC_ale30__1,-0.6291772772,3.9877697750000003
efeU__menFentC_ale30__2,0.6023565630000001,3.611434785
efeU__menFentCubiC_ale36__1,-0.5413570972,3.4653816137
efeU__menFentCubiC_ale36__2,-1.066643054,3.6400912622
efeU__menFentCubiC_ale37__1,0.9854919618,3.7362629359
efeU__menFentCubiC_ale37__2,1.2747025766,3.6593500156000003
efeU__menFentCubiC_ale38__1,-0.9084560945,3.4901529498
efeU__menFentCubiC_ale38__2,-0.6599649339,3.6672310728
