,b4169
p1k_00096,0.007215363999999447
p1k_00097,-0.13831241699999894
p1k_00098,0.4904174299999999
p1k_00099,0.3477452120000004
p1k_00100,0.2965730500000001
p1k_00101,-0.23526807699999885
p1k_00102,-0.11079642399999924
p1k_00103,-0.1045058799999996
p1k_00104,-0.16516195399999933
p1k_00105,-0.08297845299999818
p1k_00106,-0.3539200529999995
p1k_00107,-0.21350871199999946
p1k_00108,-0.019750630999999963
p1k_00109,0.13033550900000002
p1k_00110,0.3033789740000001
p1k_00111,0.3093785250000005
p1k_00112,0.22136860800000055
p1k_00113,-0.1432407539999998
p1k_00114,-0.35139426199999946
p1k_00115,-0.031412073999999464
p1k_00116,0.5608198530000008
p1k_00117,0.6999207710000004
p1k_00118,0.6282638389999997
p1k_00119,0.7281618590000001
p1k_00120,0.6403260680000011
p1k_00121,0.6447874070000008
p1k_00122,0.3723281250000001
p1k_00123,0.6197615780000012
p1k_00124,0.4853370170000009
p1k_00125,0.07582266999999998
p1k_00126,-0.2967816759999993
p1k_00127,-0.2615682709999998
p1k_00128,-0.24032201699999955
p1k_00129,0.3455617609999999
p1k_00130,-0.1722536159999999
p1k_00131,-0.18822825899999973
p1k_00132,0.3377179650000004
p1k_00133,0.1132221720000004
p1k_00134,-0.04342468499999974
p1k_00135,0.402389049
p1k_00136,-0.060365694999999775
p1k_00137,-0.02740502299999914
p1k_00138,0.8776016409999999
p1k_00139,0.2103511220000005
p1k_00140,0.3711631449999997
p1k_00141,0.33742300100000033
p1k_00142,0.4242880280000012
p1k_00143,-0.239162254
p1k_00144,0.13638396700000044
p1k_00145,0.14416448300000084
p1k_00146,0.03396812500000035
p1k_00147,0.33828436200000045
p1k_00148,0.6436654330000007
p1k_00149,0.12029930399999955
p1k_00150,0.4333616030000007
p1k_00151,0.8567050289999996
p1k_00152,0.7229615450000004
p1k_00153,0.594646859
p1k_00154,-0.07137113199999945
p1k_00155,0.34709513200000064
p1k_00157,-0.177959145
p1k_00158,0.02956909800000052
p1k_00159,-0.1252500259999998
p1k_00160,-0.211712221
p1k_00161,-0.5768851899999996
p1k_00162,-0.5374213409999999
p1k_00163,0.008905193000001255
p1k_00164,-0.28911208699999946
p1k_00165,-0.5258578700000003
p1k_00166,-0.7025713009999999
p1k_00167,-0.1844731969999991
p1k_00168,-0.15465739699999936
p1k_00169,0.7270629939999997
p1k_00170,0.9777219570000008
p1k_00171,-0.7073783739999993
p1k_00172,-0.647923692
p1k_00173,-0.7391627849999995
p1k_00174,-0.6462343329999998
p1k_00175,-0.11023274500000024
p1k_00176,0.00455607100000055
p1k_00177,-0.4153350079999996
p1k_00178,-0.4922412229999997
p1k_00179,-0.06715725599999978
p1k_00180,0.021646625000000697
p1k_00181,-0.4684671179999995
p1k_00182,-0.5407255159999993
p1k_00183,-0.4341055039999997
p1k_00184,-0.3622665789999999
p1k_00185,-0.31751251000000025
p1k_00186,-0.2649726599999997
p1k_00187,-0.0392535719999989
p1k_00188,-0.26499237799999964
p1k_00189,-0.19719979899999984
p1k_00190,-0.058857624999999913
p1k_00191,-0.15741788799999945
p1k_00192,-0.2511354769999992
p1k_00193,-0.050686436000000334
p1k_00194,-0.0048202529999992185
p1k_00195,0.43680792399999996
p1k_00196,0.04633012800000103
p1k_00197,-0.015511266999999053
p1k_00198,-0.001758054999999814
p1k_00199,-0.2261850999999995
p1k_00200,-0.13128763499999965
p1k_00201,0.09732861899999977
p1k_00202,0.09597381399999973
p1k_00203,-0.10067300499999997
p1k_00204,-0.044510156999999495
p1k_00205,-0.03317413399999936
p1k_00206,-0.07729018599999993
p1k_00207,0.012777372000000398
p1k_00208,0.025172203000001225
p1k_00209,-0.4842015969999993
p1k_00210,0.008479553000000806
p1k_00211,-0.01642352899999988
p1k_00212,-0.18055476900000045
p1k_00213,-0.10397813299999914
p1k_00214,-0.30609024599999923
p1k_00215,0.09758224700000184
p1k_00216,0.121805685
p1k_00217,-0.10821140099999926
p1k_00218,-0.2296281349999996
p1k_00219,-0.3411531400000003
p1k_00220,-0.20960728699999895
p1k_00221,-0.11983625699999935
p1k_00222,-0.0014279860000003806
p1k_00223,-0.2801037099999997
p1k_00224,-0.15001660999999974
p1k_00225,0.002605973000000539
p1k_00226,-0.07065089600000007
p1k_00227,0.06767132300000077
p1k_00228,0.12576015600000012
p1k_00229,-0.4461209110000004
p1k_00230,-0.5803276660000005
p1k_00231,-0.5295249979999994
p1k_00232,-0.5174560039999996
p1k_00233,0.5523433449999997
p1k_00234,0.18836851300000124
p1k_00235,0.1519429489999995
p1k_00236,-0.5000985309999999
p1k_00237,-0.4514183969999994
