,A,GalR,GalS,Crp
SRX5694285,2.4480115203,0.7386069758,-0.0889408836,-0.0040549861000000005
SRX5694286,2.9023105172,0.2337524253,0.1205881516,-0.1478341465
SRX5694287,-0.6898169368,0.5661628031,-0.7491564395,-0.1558928562
SRX5694288,0.24958463960000002,0.1014816776,-0.7341149074000001,0.2764607147
SRX5694289,0.0241061363,-1.0081833521,0.0274673367,-0.14661147630000002
SRX5694290,-0.1555297562,-0.2321585774,-0.3768481919,0.2201400917
SRX5694291,-3.9083804484,-2.248909181,-2.7150075414,0.1874058842
SRX5694292,1.5878130243,0.19064619770000002,0.43609961700000005,0.0513472187
SRX5694293,1.2131614609,0.5153271867,0.2332997032,0.3866879371
SRX5694294,-0.2714366429,-1.1527580182000001,0.6512649669,-0.0602559214
SRX5694295,-5.454112619,-0.1111316532,0.7720843645000001,-1.4743546362
SRX5694296,0.2329689503,-0.4982410218,0.0088993825,-0.13444608700000002
SRX5694297,-9.652437045,-0.5559610227,-0.47982069530000004,-1.621907484
SRX5694298,2.8525546562,0.0332890834,0.1495944346,-0.0376343135
SRX5694299,-1.0395818706,-1.1683759757,-0.4562411589,-0.0810478849
SRX5694300,-1.4047718531,-0.6284662651,-1.4204583381,0.1296583874
SRX5694301,2.2191782507,0.2974436735,0.5716065806,0.2017965224
SRX5694302,-0.1112489294,0.091993064,-1.0121674247,0.1490464558
SRX5694303,0.3729338312,-0.06403562460000001,-0.7755981099,0.2623448043
SRX5694304,-0.7817166743,-0.3738961428,0.26028697970000003,-0.22631582460000002
SRX5694305,-8.7496724658,-0.6162780064000001,-0.8921752433000001,-1.9945889461
SRX5694306,2.3949486374,-1.0367860971,-0.1398903926,-0.303318389
SRX5694307,-10.633106985,-0.0372105791,-1.7332016724,-0.9213934478
SRX5694308,0.2031141058,-0.3966765152,-0.6180392895,-0.5542551321
SRX5694309,-8.771280064799999,-1.1198508037,-0.6234248786000001,-2.4371824129
SRX5694310,-0.9740372889000001,-0.8249022074,-0.3140227559,-0.6975730314
SRX5694311,-9.8439647286,-0.5284441383,-0.4676147994,-2.788252041
SRX5694312,-0.1531462905,0.017259025900000002,-1.3987263484999999,-0.46271994780000003
SRX5694313,-3.8987785211,0.15361029340000001,1.063746264,-1.0117169578
SRX5694315,1.3790759753000001,0.42703680390000004,-0.1636473243,-0.1729404675
SRX5694317,-0.0263582963,0.9897881277,1.2736099151,0.2138522692
SRX5694319,0.5440647671000001,-0.20015757250000002,-0.6265162314,0.22403181360000002
SRX5694320,-4.2608248829,-2.7054845053000003,-2.6803948094,-0.09237995040000001
SRX5694321,-2.9853247815,-0.6886444373,0.6889861788,-0.38942819040000004
SRX5694322,-5.9653598896,-0.0569431897,-2.5801360138,-1.1362642293
SRX5694323,-4.0706433439,-0.5918925949,0.8814732163000001,-0.41342659340000004
SRX5694324,-6.556778877,-0.19874432090000002,-1.179888593,-1.6036324816
SRX5694325,-2.3611655371999998,-0.6094552054,-1.4802938732,-0.5104274184
SRX5694326,-1.4202703383,-0.7318422045,-0.31479801830000004,-0.1584196907
SRX5694327,-1.4078562086,-0.9137377999999999,0.0487252971,-0.6589226995
SRX5694328,0.3114728982,0.1636843162,-0.5823353814000001,0.1764471632
SRX5694329,-5.718983043,-0.6458462074,0.5825094217,-0.5799739837
SRX5694330,1.8432054682,0.6587265503,0.4790960173,-0.6950204566
SRX5694331,1.1289271666,0.3957562254,0.07644675940000001,0.245553549
SRX5694332,-3.1002993592,0.0352239498,0.8570779708,-0.24882076420000002
SRX5694334,-1.0141715475,-0.3823235343,0.0494002469,-1.0972302127
SRX5694335,-9.3186075544,-0.3169287859,0.1539535789,-2.0210704043
SRX5694336,-7.0499168898,-0.7365780646000001,-1.1689570546999999,-1.6584843203
SRX5694337,-1.468240978,-0.561513469,-0.0862834581,-0.2397944182
SRX5694338,2.7954929159,0.6923183215000001,0.36893824950000004,0.1989831632
SRX5694339,0.1923122618,-0.1126020479,-0.9053840172000001,0.10670366340000001
SRX5694340,2.9465662392,-1.7123614079,-0.11174800780000001,-0.1227589166
SRX5694341,-10.9467914914,-0.9899803436000001,-1.2828728153,-1.4531793695
SRX5694342,-10.1675891842,-0.8666779052,-1.3523002827,-1.642695013
SRX5694343,-6.5577451454,0.3012118201,0.8376004876,-0.659556922
SRX5694344,-4.3111899884,-1.0749719883,-0.3582646614,-0.5482364304
SRX5694345,-0.007305424600000001,0.07256382310000001,-0.38854733820000004,-0.1455592358
SRX5694346,-4.6383314408,-0.9095984816,1.3477148321,-0.6506498564000001
SRX5694347,-0.0615225365,-0.8335215144,-0.2758625634,-0.0665078507
SRX5694348,2.7948613353000002,0.8283931117000001,1.2294791176,0.0163008612
SRX5694349,4.1579170182,0.8311494674000001,-0.0683340897,0.3281616036
SRX5694350,-8.399102945,-1.2368128835,-0.2056560643,-1.3897674496999999
SRX5694351,-6.6745548848,-0.35934428160000004,-1.3121503747,-0.94657928
SRX5694352,4.1730310285,-1.1114315969,-0.2731853058,-0.11358356480000001
SRX5694353,-0.0495452729,-0.216616245,0.010955254900000001,0.2090437913
SRX5694354,2.9888700922,0.9407943142,1.23449934,0.156288703
SRX5694356,-0.0610090836,-0.287620749,-0.5373769773,0.1914919696
SRX5694357,-10.3134308102,-0.849547845,-1.8211567558000001,-1.6521756011000002
SRX5694358,-2.6244851135,-2.5998680441,-2.8298240554,-0.2527058608
SRX5694359,1.5305102216000002,0.42698670400000005,-0.0516801141,-0.30657057660000003
SRX5694360,1.2027642375,0.2382254464,-0.3416136562,-0.2669976047
SRX5694361,-4.3125104658,0.0770130981,-2.0074163293,-1.0307723459
SRX5694362,3.7468265799,0.4510184947,0.1817264107,-0.0309958632
SRX5694363,-2.7285994903,-1.0909518383,0.0368240085,-0.3804310446
SRX5694364,-7.4761514188,-0.6291503571,-0.4747397713,-2.3462003852
SRX5694365,1.7549995215,0.4427004746,-1.2127123406,-0.6041545277
SRX5694366,0.0545777142,-0.2399273757,-0.8512507988,-0.054980210200000004
SRX5694367,-3.4997108939,-0.47025522940000003,-1.2360098168,-0.7076949831
SRX5694368,-0.6343044918,-0.2438487459,-0.700003519,0.1102525246
SRX5694369,2.3941888735,1.162662074,0.376064654,-0.0590977866
SRX5694370,-0.2348785895,0.10371712550000001,0.0929886746,-0.22081801820000002
SRX5694371,-6.8475595744,-1.095402008,-0.8561895509,-2.3057897995
SRX5694372,2.750583616,0.22782886730000002,-0.0873046089,-0.3165443482
SRX5694373,-8.1810550893,-0.8452472331,0.0809546464,-1.5399098517
SRX5694374,-4.1583133871,-3.1958599902,-2.4721909455,-0.3411830033
SRX5694375,2.1767378036,-0.0759803562,0.7643922094000001,-0.0340696975
SRX5694376,1.9584840294,0.237609389,-0.9409153184000001,-0.31705369640000003
SRX5694377,-5.3772858327,-2.5150622240000002,-1.8931649688,-0.5697764494
SRX5694378,2.9213982080000003,0.5615360134,-0.1823982099,-0.31765341210000003
SRX5694379,3.4276379903,-2.0416572056,-0.2416086883,-0.25011430100000004
SRX5694380,-5.2331702079,-0.6166708418,1.2388155339,-0.8373204843000001
SRX5694381,-11.3694820982,-0.9333808482,-1.0868244492,-1.2728116676
SRX5694382,-1.2873959559,-0.1129866335,-0.1431282629,-0.025511662
SRX5694383,3.1548682348,-0.16861802180000002,0.7285268902,0.1480773849
SRX5694384,0.5922682698,0.2968457859,-0.1549409485,0.1439389809
SRX5694385,-0.5794105815,0.8050811695000001,0.41477319700000004,0.0779751018
SRX5694386,-6.9936191124,-0.45844954400000004,-1.1227293254,-2.8414442095
SRX5694387,0.042544156900000005,-0.19464512080000002,-0.6057378562,0.0426535923
SRX5694388,-6.8406213255,-0.1152152221,-1.7648412123,-1.6022828696
SRX5694389,3.2082319203,-1.2191208617,0.45255185000000003,-0.0800003088
SRX5694390,2.2971899573,0.046745729800000003,0.7033751292,0.0001683552
SRX5694391,1.6093730294,1.112621727,0.8551942766,0.1315329539
SRX5694392,1.6113804572000001,-1.1129108342,0.2694212485,-0.1486598298
SRX5694393,0.7101069594,0.41373764430000004,0.23069069080000001,0.232671539
SRX5694394,1.2993168815,0.7162617255,0.9383657851,0.2168248136
SRX5694395,-3.3844800138,-0.9716614809,-0.2971006772,-0.3791651303
SRX5694396,-6.6832345326,-0.7044768322,-1.6152371102,-0.8353134788000001
SRX5694397,2.1574312317,0.2636812042,0.40471303350000004,-0.0202364792
SRX5694398,2.1802371169,0.4292760792,0.3423811634,-0.0607073754
SRX5694399,-0.22917047780000002,-1.0233498747,-0.09872440960000001,-0.2527744328
SRX5694400,1.2363043408,0.1603507058,-0.3868233856,-0.1981004934
SRX5694401,1.9216291237,0.8823709712000001,0.5153644677,-0.021523506600000002
SRX5694402,-6.7093252219,-0.5181736396000001,-0.5222531748,-2.6700349591
SRX5694403,-3.3933425295,-1.4115978837,-0.8888396491,-0.9103162108
SRX5694404,1.4987586679,0.8590606642,1.2251853481000001,0.0943710534
SRX5694405,-3.0039406576,-0.0977682455,0.0363817231,-0.1829334597
SRX5694406,-1.2252401614,-0.6904963546,-0.47741426600000003,-0.3972091841
SRX5694407,-0.4614488216,-0.655867626,0.1271616911,-0.2638287498
SRX5694408,-0.45841820850000004,-0.7742252301,-0.3213245783,0.0417388443
SRX5694409,-9.9753467722,0.46066664290000003,0.06901165670000001,-2.2693012292
SRX5694410,3.5820150719,0.4906991727,-0.8395577357,-0.1972134109
SRX5694411,-2.6861319919,0.4804382746,-0.9117001657,-0.8663395759
SRX5694412,3.7386626804,0.675083485,-0.1797916001,0.1259657223
SRX5694413,-0.3909257189,0.5559067038000001,0.8839104691,-0.6476176532
SRX5694414,-11.131362113,-0.9750077169,-0.5549366520000001,-1.42088019
SRX5694415,1.4462715264,0.1759475398,0.393153095,0.007690172800000001
SRX5694416,0.0542998909,-0.0221350487,0.0191419827,0.0575483496
SRX5694417,0.9537663652,0.18758522300000002,-0.614800989,0.2665585241
SRX5694418,-6.6970079059,-0.9667048317,-0.9166214699,-1.9463157999
SRX5694419,-5.6451494797,-1.0512225353,-0.5448291727,-1.5689931018
SRX5694420,-1.9673541941,-1.160250431,0.2313790013,-0.0638843971
SRX5694421,-1.4743207344,-0.8416445994,-0.5249311376,-0.6176702001000001
SRX5694422,1.139523837,0.24231899010000002,-0.3708281827,-0.058214080700000004
SRX5694423,-2.1075725132,-0.9467997861,0.0423039956,-0.3208467193
SRX5694424,0.5410381310000001,0.023056713200000002,-0.5316670744,-0.3043319677
SRX5694425,3.0971703132,0.9967067764,0.5613914479000001,0.2263080572
SRX5694426,-2.2024580368,-0.22439257940000001,0.2984593682,-0.6604587882
SRX5694427,-0.1127552646,0.0812822934,0.3496488164,0.1652363888
SRX5694428,3.504511958,1.1588859578,0.3453762065,0.073808526
SRX5694429,-5.6584453889,0.09866289900000001,-1.6186810425,-1.4421129371
SRX5694430,0.6272074505,0.0414600363,0.1261288452,0.0124821121
SRX5694431,-3.4077339159,-0.8927422388,-0.5039429969,-0.0624036472
SRX5694432,2.403388278,0.5342731759,-0.054787494000000006,-0.3304413054
SRX5694433,-3.2954448866,0.209724189,0.49193637360000003,-0.8187488844
SRX5694434,-5.1771647061,-0.21008245590000002,-0.043731152,-0.6212632720000001
SRX5694435,-9.1016804486,-1.1680964569,-1.3853457552,-2.0377494386
SRX5694436,-10.220090142,0.2752299465,-0.061919554200000004,-2.3919325405
SRX5694437,-4.125940772,0.6272698255,-0.9538236932,-0.2507206522
SRX5694438,1.2919297614,0.0273917291,0.6608479874000001,0.07346573220000001
SRX5694439,-2.2346219468,-2.1572705035,-2.0209182075,0.3143882568
SRX5694440,0.9559217504,0.1933432133,-0.9384664037,0.1617989176
SRX5694441,-5.2250388754,-0.6767193467,0.0228404171,-0.4081937196
SRX5694442,-7.1126812857,-0.2142305746,-1.6484105149000001,-1.7002395932
SRX5694443,0.2550264846,0.8142669194000001,-0.5418739715,0.1538530863
SRX5694444,3.9260782684,0.06363920120000001,0.5941922184,0.1414549701
SRX5694445,-6.5896878785,-0.5326673922,-0.5019872885000001,-1.7943494913
SRX5694446,0.0021040854,-0.1983307877,-0.4411828492,0.2193526747
SRX5694447,3.3446660128,0.0522188005,0.5485610577,-0.3849941899
SRX5694448,1.2668227147,0.47837384600000005,-0.503096461,-0.732440443
SRX5694449,0.2954147033,-0.23895381100000002,-0.4234010152,0.1017285234
SRX5694450,2.1762846525,-1.1325327698,-0.8591098101,-0.2163555027
SRX5694451,1.0832435356,0.5867587533,-0.1366420029,-0.1832599433
SRX5694452,-6.4666885972,-0.8365510947,-1.8841838614,-0.9702752261
SRX5694453,0.9314296547,-0.2580169064,-1.5268666013,-0.7029806271
SRX5694454,1.2491158325,0.3269428419,0.2475866236,0.2689052974
SRX5694455,-6.3086619723,-0.6656606481,-1.2641235305,-1.7485042558
SRX5694456,0.2324758745,0.5178833449,-0.2466784581,0.2638014382
SRX5694457,-0.4289334912,-0.11878830480000001,-0.16932924470000002,0.1813226141
SRX5694459,-0.7940226434000001,-0.4860956926,0.0714417244,-0.0659537084
SRX5694460,-8.6139482053,-0.3649939779,-0.8956731921000001,-2.6935232182
SRX5694461,3.2426965138,0.528524726,-0.0149009706,-0.24608755940000002
SRX5694462,-3.0565469503,-0.6141086357000001,-0.17073600790000001,-1.4072956342
SRX5694463,0.2101078587,-0.16575871920000002,0.7263846704,0.13500124700000002
SRX5694464,2.9139163189,0.13277716820000002,0.2396958858,-0.16266356510000002
SRX5694465,-0.7107128386,-0.8790254258,-0.4460241648,-0.08100398930000001
SRX5694466,-1.6575100863,0.6297967118000001,-2.3052672792,-0.0203257193
SRX5694467,-0.9024121915000001,-0.381245233,-0.2967763464,-0.0864598209
SRX5694468,-4.2760884664,-2.0190085846,-2.1555708273,0.09512308080000001
SRX5694469,0.47074781670000004,-0.1175500542,-0.7007847265,0.056592892000000006
SRX5694470,0.4929317368,-0.07293467590000001,0.0728171195,-0.0203162279
SRX5694471,0.3233355022,0.4620222108,-0.7865205365,0.08127249760000001
SRX5694472,-1.7589924706,-0.2669518915,0.2383401345,-0.42764759150000003
SRX5694474,1.538722085,-0.052164359800000004,0.1552492532,-0.3318785326
SRX5694475,-0.1121116555,0.6894553979,-0.1072620861,-0.1072682971
SRX5694476,2.7758036694,1.1844381929,-0.1807701836,0.2832759084
SRX5694477,-5.289796842,-0.5423741486,-1.3747949457,-2.220698214
SRX5694478,2.8522778682,-0.9772397304,0.3998087169,-0.324421403
SRX5694479,-9.0397901279,-0.5030706589,-0.1187171644,-2.078741852
SRX5694480,-8.1681271151,-0.5785447574,0.7774112665,-0.8986833081000001
SRX5694481,3.583938109,0.32802660180000004,0.179788307,-0.39061972300000003
SRX5694482,1.1411580221,-0.0309262449,-0.4177452367,0.5302146851
SRX5694483,0.0154134292,-0.1154229715,-0.0512467189,-0.0648156579
SRX5694484,2.176570579,0.3163712736,-0.0516292292,-0.2015433442
SRX5694485,1.6521936439,0.9233580022000001,1.2136211856,0.0561230447
SRX5694486,1.0433493996,0.5076538288,-0.0727572927,0.1840419059
SRX5694487,2.6390812661,0.7554596522,-0.2075065812,-0.0687134662
SRX5694488,1.4458696667,0.3210318231,-0.0409552784,-0.0029101905
SRX5694489,-0.30917824780000003,0.1700228848,-0.0515215476,-0.2414092729
SRX5694491,-2.0868247193,-0.1881893615,-0.8704810971,-1.3992598427
SRX5694492,-3.7052136385,-0.1474239863,-0.6734784193000001,-1.4757436121
SRX5694493,-9.8389487491,-0.6696042787,-1.4917044767,-1.5239909109
SRX5694494,-0.5757838148000001,0.0998956208,-0.1134463783,-0.5778881676000001
SRX5694495,-0.2048928136,0.1921408101,0.5006030134,0.2383405456
SRX5694496,0.5421829239,0.2292901235,-0.1543640779,0.2231626615
SRX5694497,1.4677577858,-0.3495639089,0.4257224966,-0.6145709097000001
SRX5694498,-0.9476955954,-0.4289783092,-0.005571594,0.0065499987
SRX5694499,3.7357258423,0.4897877446,-1.5619853027000001,-0.2166458346
SRX5694500,1.0767302218,-1.3723969989,-0.2019331202,-0.6082655704000001
SRX5694501,1.4575890468,0.5041511772,-0.33262448450000004,0.012213341
SRX5694502,-0.2092946139,0.34346276140000004,-1.042170488,-0.8489028276
SRX5694503,-1.3778717034999999,0.1835257191,-1.3834976159,-1.5276697252
SRX5694504,0.819471131,0.39533948830000004,0.1370642775,0.23647347670000002
SRX5694505,-11.047593106,-0.5558274022,-0.3606479117,-2.8546736802
SRX5694506,2.8350605209,-0.1374420601,0.323422345,-0.6676717403
SRX5694507,0.058256711,0.1737985092,-0.1513083194,0.10364661430000001
SRX5694508,-6.4117460687,0.0989118782,0.056255573600000004,-0.8174938777
SRX5694509,-1.2492203444,0.1818615718,-0.1395091588,-0.1972418484
SRX5694510,-1.5274708338,-0.0375581272,0.1993571291,-0.2550231206
SRX5694511,2.0573593929,0.0276026408,0.6471928451,-0.1637807405
SRX5694512,-2.7805120797000002,-0.3219314668,-0.8063197201000001,-1.3135012281
SRX5694513,-8.9071203166,-0.7353380169,1.3589596249,-1.2176583871
SRX5694514,-7.4485930198,-0.513058091,-0.966021333,-2.7449780099
SRX5694515,-1.0167870876,0.8565032087000001,1.327846193,0.1674650962
SRX5694516,-0.2431065429,-2.3696026006,-1.6286086783,0.7184192778
SRX5694517,0.4348953612,0.8790731123000001,0.2466347971,-0.0899811296
SRX5694518,-0.1717037751,0.5249985556,-0.1953733885,-0.0284053616
SRX5694519,-1.8488670850000002,-1.7366981283,0.7942043834,-0.4440190169
SRX5694520,3.4882866372,0.1242396003,-2.4762617008,-0.3742459546
SRX5694521,1.1751603997,0.2701413978,-0.10248259180000001,-0.0823108953
SRX5694522,2.060411191,0.765807768,1.2959334794,0.19009073370000001
SRX5694523,3.6525644315,0.9893319012,0.2828649821,0.1230572979
SRX5694524,0.8128658743,0.2226830187,-0.1943459685,-0.3090692798
SRX5694525,1.0841434424,0.10510721690000001,-1.1929780283,0.1271493457
SRX5694526,5.8053453351,-0.9805286205,-0.7905624798,-0.057352962300000004
SRX5694527,0.6613763743000001,-1.1177292992,-0.3811734652,-0.7911037301
SRX5694528,-9.3316781204,-0.7989721808,0.2950249186,-2.2550692285
SRX5694529,3.2920736241,0.9989504949,0.8108930957,0.09459037740000001
SRX5694530,3.8031191269,0.4988976176,-0.0853109875,-0.3417330189
SRX5694532,-3.2077848042,-1.2215717903,-0.1679254369,-0.7655932475
SRX5694533,2.670023521,0.5680895446,-0.7896439734,-0.8230648089
SRX5694534,-4.7454578121,0.3247457114,-1.3208644929,-1.0244460877
SRX5694535,4.0255040417,0.3259218437,0.2057284748,-0.3020521984
SRX5694536,3.0977911542,0.4272285961,0.6314235366000001,0.0940214917
SRX5694537,-0.9015628519000001,0.1946738757,-0.6062469095,0.0455558508
SRX5694538,-0.3389158901,0.7169767891000001,-0.2006593669,0.22416250880000002
SRX5694539,3.6516236102,-1.1947744597,-0.09578692820000001,-0.4554145486
SRX5694540,-3.6132926957000002,-1.3823431072,-0.7658781965,-0.9496879326000001
SRX5694541,3.1511039395,0.23587952610000001,0.0684108435,-0.14394191280000002
SRX5694543,-1.8556500107,-2.3065529896,-1.8669835811,0.257330798
SRX5694544,0.0458681321,0.27371490200000004,-0.3241793398,-0.3373228733
SRX5694545,2.6097840982,-0.052456380000000004,0.5691366547,0.035948117
SRX5694546,2.8359119621,-1.4489249573,-0.6082903837,-0.3182627866
SRX5694547,-0.49283350130000003,-0.3671803417,0.0700277422,-0.1118469182
SRX5694548,-0.5472316276,0.0950697246,-0.0919591022,-0.0372321217
SRX5694550,-4.1008010362,-0.6664213703,0.8588177159,-0.4922607946
SRX5694551,3.4566010229,-0.0378145052,-1.5313943514,-0.4416388787
SRX5694552,0.6307201737,-0.8990927079000001,-0.0956123478,0.0105278607
SRX5694553,0.5318669136,0.5438108157,0.5948870322,0.2876777482
SRX5694554,-0.5689229253,-0.3391582252,-0.21493606380000002,-0.1645882529
SRX5694555,-1.2718499043,-0.11727866390000001,-0.8895291200000001,-0.8421746734000001
SRX6072760,-2.4882943136,-0.6496883482,0.7840109540000001,-0.7797289048
SRX6072761,-2.5301381987,-1.0724867966,-0.8936644898,-0.9412126322000001
SRX6072762,-1.6858223846,-0.6986029214,0.30125578000000003,-0.555678611
SRX6072763,-1.8006819427,-0.16647185750000001,0.9505546971000001,-0.38526479500000005
SRX6072764,-4.1732072203,-1.0264984515,-0.43417407010000003,-1.0984957077
SRX6072765,-1.9249195128,-0.0673377569,1.2423424909,-0.4458656036
SRX6376491,-4.2267029641,-0.5253993991,0.9821607661,-0.23661516940000002
SRX6376492,-9.618906473300001,-0.4679378743,-0.8564609149,-1.8181327083
SRX6376493,-10.0703181078,-0.4921461147,-1.2139210103,-2.037821897
SRX6376494,-11.6793921979,-0.4521089775,-0.1478363741,-2.2059426753
SRX6376495,-4.3719780301,-0.0383185468,0.8389261042,-0.4792645071
SRX6376496,-2.7025067796,-0.8455681813,0.684754964,-0.054275376300000004
SRX2723951,2.4302805955,-0.2671145351,0.9340825896,1.2971935035
SRX2723952,3.9392341335000003,0.2818636903,1.8629591725,2.020927993
SRX2723953,4.1931499537,-0.164605532,0.7854699298000001,0.5760517667
SRX2723954,6.9487328509,1.0882622327,4.8954408995000005,2.383091682
SRX2723955,4.1587421536,-0.7326562149,2.5357595915999998,1.2512872247
SRX2723956,1.0302254973,0.4789707796,0.6677616359,1.4331106707
SRX2723957,1.1069384467,0.0619862604,0.09150537730000001,0.1517886605
SRX2723958,3.3246444305000002,-0.5849855857,0.24760657700000002,-0.2646015759
SRX2723959,0.5293940162,0.0235206207,0.0175851801,0.256464884
SRX2723960,1.4825506009,0.6474114508000001,0.1097350712,0.9591927252
SRX2723961,5.8375445438,1.7246640407,4.0724692066,2.5388323397
SRX2723962,2.1316883864,0.2146722275,-0.1159730848,0.9744724369000001
SRX2723963,0.3059718269,-0.489457998,-0.046271064300000005,-0.30103145470000003
SRX2723964,5.0668521103,0.5314690178,3.4504710457,1.2020478367
SRX2723965,1.6000779492000001,0.1613653022,0.4743579719,0.7380002376
SRX2723966,-0.1686941898,0.1772995578,-0.1575663397,0.0829169912
SRX2723967,-0.005255194,-0.11412350580000001,0.1883275238,-0.075921268
SRX2723968,0.1739493838,-0.06317605200000001,-0.0307611842,-0.006995723200000001
SRX6977206,-3.3575286251,-1.8249200459,-2.2454115538,-0.2546401567
SRX6977207,-3.3813132602,-1.5641210505,-2.4420330792,-0.30518404320000003
SRX6977208,-0.0562164389,0.306314138,0.2495445533,-0.5181824078
SRX6977209,-0.8230962263,0.28701071910000003,-1.2329849014,-0.675081557
SRX6977210,0.035378718600000005,0.3608568042,-1.1038739435,-0.7835359689
SRX6977211,-2.1169867008,-0.3097759825,-1.1453926023,0.2440588662
SRX6977212,0.1741843392,0.3050074018,0.35765365330000004,-0.0309117965
SRX6977213,1.9428023616,0.0047685806,0.7877389491,-0.21314706960000002
SRX6977214,-3.7618472813,-2.3503687422,-2.7760308361,-0.39514538390000004
SRX1153733,0.1328840933,0.15814724030000002,-0.07562251190000001,0.1831441383
SRX1153734,-0.1328840933,-0.15814724030000002,0.07562251190000001,-0.1831441383
SRX1153735,-0.1060727149,-0.078161599,-0.1418283511,-0.1003374077
SRX1153736,-0.0838236285,-0.26234808,-0.7790285589,-0.0489066405
SRX5204053,0.7135951721,-0.8383763238,0.1926189923,-0.1152614403
SRX5204054,-0.7732869706000001,-0.1778054328,-1.1792364017,0.33069778580000003
SRX5204055,0.0544174766,-0.7617552542,-0.2083861387,0.0395780566
SRX5204056,-0.3357004356,-0.0874574183,0.2461106912,0.0799160108
