,A,PurR
T0.30H_1,-21.7181984104,-3.170233333333334
T1.0H_1,-21.8956091227,-3.2613333333333347
T1.30H_1,-22.1661474988,-3.287233333333335
T2.0H_1,-22.4369917608,-2.8597333333333346
T2.30H_1,-21.6508922954,-1.7225333333333346
T3.0H_1,-20.0248326327,-1.8353333333333346
T3.30H_1,-19.8118298156,-1.4947333333333344
T4.0H_1,-19.827795825,-1.3693333333333335
T5.0H_1,-20.8742365195,-2.1558333333333337
HPh_1,0.019760356700000002,-0.09333333333333371
HPh_2,0.128966879,-0.4993333333333343
HPh_3,-0.5800950309,-0.3414333333333346
LPh_1,-0.5632497742,-0.1077333333333339
LPh_2,0.7829960216,0.5034666666666663
LPh_3,0.3207203111,0.10176666666666634
LPhT_1,-21.4078422182,-1.2149333333333345
LPhT_2,-21.0821225505,-1.2420333333333335
LPhT_3,-20.5561055226,-1.049033333333334
SMMPr_1,-3.7236213194000003,-0.44833333333333414
SMMPr_2,-4.8832331992,-0.740333333333334
SMMPr_3,-5.0834297733,-0.616833333333334
HiTm_1,-1.5292715587,-1.205233333333334
HiTm_2,-2.00294171,-0.706033333333334
HiTm_3,-4.2444136065,-0.6102333333333334
LoTm_1,-11.964893812,-0.0839333333333343
LoTm_2,-12.117915587,-0.5157333333333334
LoTm_3,-11.6626484608,-0.5818333333333339
HiOs_1,-7.9536424841,-0.11013333333333364
HiOs_2,-9.5252096995,-0.4142333333333337
HiOs_3,-8.5783335367,-0.3054333333333332
BMM_1,1.4658610733000002,0.2332666666666654
BMM_2,1.4987828947000001,0.1032666666666664
BMM_3,-1.6718593667000001,0.31026666666666536
Heat_1,-7.3367687189,0.19946666666666601
Heat_2,-7.080172544,-0.051933333333334275
Heat_3,-9.4854801932,-0.32193333333333385
Cold_1,-6.345502581,0.41506666666666625
Cold_2,-8.050105588,-0.23043333333333393
Cold_3,-8.8686505472,-0.9570333333333334
Etha_1,-20.4478840218,-2.6196333333333346
Etha_2,-20.9276946337,-2.9627333333333343
Etha_3,-20.3926423553,-2.533433333333333
SMM_1,-0.7582642147,0.07026666666666692
SMM_2,-1.043246622,-0.10173333333333368
SMM_3,-1.1255459569,0.06526666666666614
Salt_1,-11.8219092998,-0.5572333333333344
Salt_2,-12.9564175967,-0.6343333333333341
Salt_3,-12.6222235623,-0.5989333333333331
Mt0_1,-13.6625959726,-0.2609333333333339
Mt0_3,-12.2488805713,0.28256666666666597
M0t45_1,-9.7535092174,-0.715933333333334
M0t45_2,-9.2861520614,-0.14713333333333445
M0t45_3,-7.259005651,-0.22813333333333397
M0t90_1,-16.7677494879,-3.0168333333333344
M0t90_2,-15.9018685498,-1.7384333333333348
M0t90_3,-13.7189642455,-1.957533333333334
M40t45_1,-10.4030533314,-0.8280333333333338
M40t45_2,-18.8773415999,-1.1799333333333344
M40t45_3,-7.7265845688,-0.02863333333333351
M40t90_1,-15.4067305048,-2.524633333333334
M40t90_2,-15.6244474258,-1.9190333333333331
M40t90_3,-12.862997803,-1.7398333333333333
dia0_1,-12.0048133269,-0.5391333333333339
dia0_2,-10.2885755509,-0.20073333333333387
dia0_3,-3.8502038536,-0.18363333333333465
