,A,flhD
ica__wt_glc__1,34.2131586841,2.490295743
ica__wt_glc__2,34.2618474046,2.452439383
ica__wt_glc__3,33.4550987029,1.895192989
ica__wt_glc__4,31.9199966675,1.9398067270000001
ica__arg_sbt__1,30.8171198451,2.228382359
ica__arg_sbt__2,32.2412474778,2.365644629
ica__cytd_rib__1,31.4344157581,2.136301232
ica__cytd_rib__2,29.5565503437,2.124113133
ica__gth__1,-1.0662590796,-1.235841635
ica__gth__2,-1.1843149502,-1.695064113
ica__leu_glcr__1,32.8680038193,3.101601013
ica__leu_glcr__2,33.1613260894,3.088069511
ica__met_glc__1,32.4893825859,2.112304418
ica__met_glc__2,32.4980818701,2.173916207
ica__no3_anaero__1,12.620212136,0.23812283
ica__no3_anaero__2,10.2296427881,0.597006236
ica__phe_acgam__1,31.2768986903,2.518213547
ica__phe_acgam__2,31.9854292751,2.45811977
ica__thm_gal__1,32.4143953489,2.983540182
ica__thm_gal__2,32.4400137608,2.897956228
ica__tyr_glcn__1,36.4414476865,2.668535432
ica__tyr_glcn__2,36.1061360863,2.7200002850000002
ica__ura_pyr__1,30.7897688944,2.408677533
ica__ura_pyr__2,29.6854018682,2.485378561
ica__wt_glc__5,32.3270015213,2.216084835
ica__wt_glc__6,31.9100119637,2.3599868280000003
ica__bw_delpurR_cytd__1,33.4792117307,2.542113171
ica__bw_delpurR_cytd__2,31.4745379622,2.3832579799999998
ica__ade_glc__1,31.1565351173,2.306738328
ica__ade_glc__2,33.1770322881,2.701235821
ytf__wt_glc__1,-1.0454042682,-0.179178581
ytf__wt_glc__2,-3.4160076983,0.216635497
ytf__delyafC__1,-5.1881268145,0.646294314
ytf__delyafC__2,-4.7424470206,0.20717934300000002
ytf__delyeiE__1,-4.8969281258,0.714560587
ytf__delyeiE__2,-4.9097231799,0.18095771500000002
ytf__delyiaJ__1,-5.2848517658,0.039415546
ytf__delyiaJ__2,-5.625322581,0.020599499
ytf__delyieP__1,-4.5453728397,0.301111616
ytf__delyieP__2,-3.2992644489,-0.175911601
ytf__wt_ph5__1,-5.0437785391,-0.672051729
ytf__wt_ph5__2,-3.8257547725,-0.338883902
ytf__wt_ph8__1,-6.1216122826,-0.042680769
ytf__wt_ph8__2,-5.8758918457,-0.107543019
ytf__delybaO__1,-4.9729786716,0.44578902400000003
ytf__delybaO__2,-3.2653040456999998,0.825620274
ytf__delybaQ__1,-1.8703350632,0.271855673
ytf__delybaQ__2,-1.1227041069,0.041616233
ytf__delybiH__1,-3.0641148527,-0.8676692410000001
ytf__delybiH__2,-3.2999337672,-0.29116599800000004
ytf__delydcI_ph5__1,-3.6674007707,-0.174889749
ytf__delydcI_ph5__2,-3.9501390968,-0.263204243
ytf__delydcI_ph8__1,-5.4002241202,-0.38624468
ytf__delydcI_ph8__2,-5.5306610697,-0.189350447
ytf__delyddM__1,-2.5049204982,-0.256412095
ytf__delyddM__2,-2.5056893593,-0.36643869900000003
ytf__delyheO__1,-5.8953548856,0.31827007900000004
ytf__delyheO__2,-4.3099596538,0.6635284330000001
fps__bw_glc__1,-3.0310422393,0.477180152
fps__bw_glc__2,-3.4457401984000002,0.5877181810000001
fps__fps_thrA_ale1__1,9.37693967,1.839629977
fps__fps_thrA_ale1__2,9.2686701261,2.006337586
fps__fps_thrA_ale2__1,8.3835677726,1.941530786
fps__fps_thrA_ale2__2,7.4241569076000005,1.976282254
fps__fps_serB_ale1__1,18.9228960639,2.867824534
fps__fps_serB_ale1__2,18.769279294,2.725414106
fps__fps_serB_ale4__1,-5.1940248552,0.751301498
fps__fps_serB_ale4__2,-5.3458398915,1.0133175
fps__fps_ptsI_ale1__1,-0.4584076455,0.63521404
fps__fps_ptsI_ale1__2,-0.308849663,0.777167652
fps__fps_ptsI_ale3__1,5.2005400873,0.739475785
fps__fps_ptsI_ale3__2,3.6536359453,0.68866243
pal__lyx_ale2_f6__1,6.133411198,0.36918714900000005
pal__lyx_ale2__1,10.2639594276,0.8753936130000001
pal__lyx_ale2__2,10.8417791488,1.105401543
pal__lyx_ale4__1,15.597635152,1.109517462
pal__lyx_ale4__2,15.2353912073,0.990241299
pal__5drib_ale10_f18__1,0.3339882467,0.378035656
pal__5drib_ale10_f18__2,1.1565616805,0.247100229
pal__5drib_ale10__1,3.2570426295,0.40645072600000004
pal__arab_ale14_f9__1,-1.7418107963,0.5572064090000001
pal__arab_ale14_f9__2,-2.3289867741,0.479317125
pal__arab_ale14__1,3.6704554213,0.388648151
pal__arab_ale14__2,3.8859774749,0.537835476
pal__arab_ale16__1,-3.4099379783,0.866598602
pal__arab_ale16__2,-4.1297847826,0.867932514
pal__tartr_ale26_f10__1,-5.4810106737,-0.910311697
pal__tartr_ale26_f10__2,-6.2906146258,-0.260346747
pal__tartr_ale26__1,-4.7922238793,-0.100335382
