,A,Cra,Mlc,Crp,NagC
abx_mega__tec_h2o__1,-2.5959502589,-0.0287932522,-0.283474214,-1.6070723407,1.1448666082
abx_mega__str_h2o__1,-0.5224592139,0.6316982481,-0.25861296770000003,-0.5390842036,1.2990239995000001
abx_mega__ctx_h2o__1,0.9225560863000001,0.0781090031,1.1463180637,-0.0980165268,0.8448067231
abx_mega__nal_naoh__2,-3.8222978784,-0.4752620474,-0.5544135119,0.2016373309,-0.0306185905
abx_mega__phos_h2o__1,0.2049509943,0.4332073776,1.0600888053,-0.2490351859,-0.0148224145
abx_mega__dmso-5__2,-1.8388000331,0.0325016821,-0.27760860460000003,0.0411821817,0.11680142810000001
abx_mega__polmyx_h2o__1,0.037810750000000004,0.3834597617,0.9968473478000001,0.0231238538,0.5068170506
abx_mega__h2o-8b__1,-0.22178681260000002,0.5965422085000001,1.2723575785999999,0.0476350313,0.7429699565
abx_mega__h2o-6__1,-1.3955188088,0.1308253183,0.2070863751,0.24713669740000002,0.555454063
abx_mega__thio_dmso__1,-5.0250438887,-0.8388425719,-0.8070074401,-1.5465123927,-0.6616906888
abx_mega__phos_h2o__2,0.8202906262,0.6751682776,1.1072136846,0.2066153554,0.5850591669
abx_mega__ctx_h2o__2,0.640865499,0.9108492799000001,0.17830060250000002,-0.5157335737000001,0.36553989670000003
abx_mega__lzd_dmso__1,-6.0868108502,-1.1208930686,-1.8150132694,-1.8223907651,-0.5899010449000001
abx_mega__naoh-9__1,-0.5607594743000001,0.21406610210000002,0.6184797419,0.36042412560000003,0.8978430859000001
abx_mega__dox_dmso__1,-3.1671579435,-0.4068578344,-0.8220673388,-1.3002511837,-0.46783111850000003
abx_mega__phos_ethanol__1,-0.2587721004,0.44640647380000004,0.6224462877,0.3379205155,-0.01566169
abx_mega__teix_dmso__1,-1.7452222663999999,0.045534809600000004,-0.28807655320000003,-0.6834405493,0.057036416300000004
abx_mega__dmso-10__1,1.0552537454,0.6982458443,0.1067401177,0.1656640608,0.6443742243
abx_mega__van_dmso__1,-6.3595630648,-1.9874404964,-3.0012146304,-0.9934080376000001,-2.8238857419
abx_mega__ramo_h2o__1,-0.8440880649,-0.38277561260000004,0.47185868270000003,-0.3443110079,0.0187590522
abx_mega__tec_h2o__2,-0.7987502316,-0.5035923001,0.4160245776,-0.9407234058,0.2901036194
abx_mega__h2o-7__1,1.3557440644,1.0192005981,0.4286566445,-0.0040549861000000005,0.1866674223
abx_mega__cro_h2o__1,0.7060224607000001,0.7719019076,0.41493577740000004,-0.1478341465,0.3703709584
abx_mega__tric_ethanol__1,-2.3876216429,-0.052083887700000005,0.2413350626,-0.1558928562,0.7103196087
abx_mega__nor_naoh__1,-2.4508379357,-0.2371284206,-0.4936478567,0.2764607147,0.3259563981
abx_mega__teix_dmso__2,-2.2451643959,-0.0507022806,0.1656058615,-0.14661147630000002,-0.1177973429
abx_mega__nal_naoh__3,-3.4636069622,-0.5041378015,-0.6774559142000001,0.2201400917,0.1608361171
abx_mega__novo_h2o__2,-14.1856129679,-3.2518194953,-4.0166606481,0.1874058842,-0.8902225289000001
abx_mega__dmso-10__2,0.1838009025,0.5148069151,-0.0403542117,0.0513472187,0.6643368338
abx_mega__phos_h2o__3,-1.6778920592,0.2921819518,0.3529379219,0.3866879371,0.4265957848
abx_mega__dmso-6__2,-2.1922965265,0.09906589140000001,-0.1465459856,-0.0602559214,0.3354364784
abx_mega__rfp_ethanol__1,-4.5206052281,-0.9248653221,-1.8833497488000002,-1.4743546362,-0.8428066038
abx_mega__dmso-5__3,-2.2686386438,0.0783119691,-0.3459098324,-0.13444608700000002,0.5145304886000001
abx_mega__amyc-d_dmso__1,-8.0476373051,-1.4474649046999999,-2.4146562604,-1.621907484,-1.2971052233
abx_mega__sxt_dmso__1,1.8107811509,0.24395055710000002,0.4893976359,-0.0376343135,-0.2397275007
abx_mega__dmso-1__1,-0.6254415429,-0.0396580453,-0.48497568760000004,-0.0810478849,-0.159132977
abx_mega__pen_h2o__1,1.4052090578,-0.444195335,0.2783480319,0.1296583874,-0.2374222229
abx_mega__dmso-10__3,0.8128888496000001,0.6848183492000001,0.21485710970000002,0.2017965224,0.6493332757
abx_mega__nal_naoh__4,-2.4857449459,-0.2074547953,0.3582052826,0.1490464558,0.3879280118
abx_mega__cip_naoh__1,-1.9669856265,-0.3665347619,0.3559697929,0.2623448043,0.47474431990000004
abx_mega__pen_h2o__2,-0.016001220400000002,-0.3004042504,0.25181882,-0.22631582460000002,0.13597547440000002
abx_mega__ery_dmso__2,-12.5433461806,-1.956959367,-2.5610649354,-1.9945889461,-1.4877988967
abx_mega__dmso-2__2,-1.9728107624,1.1549827568,-0.0766057295,-0.303318389,1.9450803012
abx_mega__van_dmso__2,-6.1401485929,-1.8424156250000001,-2.557091254,-0.9213934478,-2.4856737214
abx_mega__h2o-1b__1,-0.112796536,-0.4115024249,-1.0030856371,-0.5542551321,-0.1798021777
abx_mega__ery_h2o__1,-7.6960012604,-2.491041828,-1.7572914598,-2.4371824129,-1.15992588
abx_mega__bacit_h2o__1,-1.1552214465,-0.21317231320000002,-2.0070159621,-0.6975730314,-0.6692442792000001
abx_mega__chl_h2o__2,-9.351082913900001,-2.3858561979,-2.0894892148,-2.788252041,-1.8948048446999999
abx_mega__str_h2o__2,-2.5667914879,0.5017693683000001,-0.2079116226,-0.46271994780000003,1.1983774423
abx_mega__rfp_ethanol__2,-5.6100821021,-0.380546541,-0.9900790362,-1.0117169578,-0.7785826186
abx_mega__polmyx_h2o__2,0.11434373560000001,0.1581059554,1.0794675922,-0.1729404675,0.5182227065
abx_mega__tric_h2o__1,-0.7380449028,1.0830491121999999,0.8012636907,0.2138522692,0.7536024934000001
abx_mega__cip_naoh__2,-3.122988456,-0.282687005,-0.9484955552000001,0.22403181360000002,0.211646566
abx_mega__novo_h2o__3,-13.7509459537,-3.0070167331,-3.2795890681,-0.09237995040000001,-0.856840534
abx_mega__bacit_dmso__1,-5.4184261164,-0.5811062264,-0.6721340745000001,-0.38942819040000004,-0.1496320968
abx_mega__gen_h2o__1,-10.7676630846,-0.6505409267000001,-1.6490942707,-1.1362642293,-0.8212364943
abx_mega__bacit_dmso__2,-5.232953351,-0.38795174190000004,-0.13544666630000002,-0.41342659340000004,-0.506671258
abx_mega__chl_dmso__1,-11.0772632071,-0.8694942068,-2.2789382115,-1.6036324816,-1.2336180156
abx_mega__bacit_h2o__2,-2.9970899951,-1.0863040595,-1.5026256019000002,-0.5104274184,-0.7079814684
abx_mega__lvx_dmso__1,-1.4522660861,0.1716691594,0.6468051062,-0.1584196907,-0.0076499208
abx_mega__bacit_h2o__3,-1.7766889406000002,-0.29180052300000003,-1.4969002813,-0.6589226995,-0.5318694354
abx_mega__nor_naoh__2,-2.776594951,-0.2578289723,-0.1359692559,0.1764471632,0.2491877017
abx_mega__amyc-d_dmso__2,-5.3366025217,-1.1029578843,-0.9358414403,-0.5799739837,-0.6864073031
abx_mega__polmyx_h2o__3,-2.8760236287,0.5883921036,0.14327047410000002,-0.6950204566,1.9276518996
abx_mega__naoh-6__1,-1.0324075593,-0.0315979718,0.2979797795,0.245553549,0.5940377444
abx_mega__cst_h2o__2,-3.433539934,-0.3307579353,-0.0619708058,-0.24882076420000002,-0.0361454542
abx_mega__h2o-1b__2,-0.9014653787,-0.5558390831000001,-1.8740665518,-1.0972302127,-0.2162920575
abx_mega__rfp_h2o__1,-4.888309268,-1.7615590003000001,-1.7809029907,-2.0210704043,-0.919033296
abx_mega__tet_h2o__1,-4.6553194489,-1.7568379058999999,-0.8488457765,-1.6584843203,-1.3500222375
abx_mega__flavo_dmso__1,-2.6225520154,0.1660500036,-0.30474233100000003,-0.2397944182,-0.0944608504
abx_mega__zeocin_h2o__1,0.7346905415,0.48433845670000003,0.5714930712,0.1989831632,0.6655179959
abx_mega__nor_naoh__3,-2.5412171235,-0.3263923486,-0.6749685952000001,0.10670366340000001,0.2237272806
abx_mega__rach_dmso__2,0.1271564969,0.46525192070000004,-0.0893327617,-0.1227589166,0.5655686312
abx_mega__thio_dmso__2,-11.6392767854,-2.0357395307,-2.5532551466999998,-1.4531793695,-1.9964862935
abx_mega__amyc-d_dmso__3,-9.631577842,-1.6318591136,-2.5768739533,-1.642695013,-1.6305600009
abx_mega__rif_dmso__2,-5.2387949087,-0.4210968036,-0.1287081678,-0.659556922,0.4720506887
abx_mega__amyc-d_dmso__4,-2.6587755531,-0.8271836069,-1.0215025306,-0.5482364304,-0.49530854820000003
abx_mega__teix_dmso__3,-0.6833961944,-0.235260515,-0.0121786996,-0.1455592358,0.0929201516
abx_mega__valin_dmso__1,-5.541214307,-0.5404264046,0.00034631,-0.6506498564000001,0.105287958
abx_mega__teix_dmso__4,-1.2723577725,-0.1281517943,-0.042960617300000004,-0.0665078507,0.08839582900000001
abx_mega__ethanol-10__1,2.252900173,0.8024695425,0.42973392200000005,0.0163008612,1.1451944752
abx_mega__inh_h2o__1,1.8610611448,0.6949377064000001,-0.1316511185,0.3281616036,0.454112669
abx_mega__rif_dmso__3,-1.5964354250000001,-1.794658864,-1.0935514833,-1.3897674496999999,-0.9692887776
abx_mega__van_dmso__3,-5.8285066316,-1.8545558817,-2.8896459817,-0.94657928,-2.3196636178
abx_mega__doxo_dmso__1,1.5436955881999999,1.4236078071,-0.8876201022,-0.11358356480000001,0.9312642226000001
abx_mega__tmp_dmso__1,-3.0225189191,-0.1422608386,-0.4268741424,0.2090437913,0.1669239572
abx_mega__ethanol-10__2,2.3224083449,0.8253414572000001,0.5300648491000001,0.156288703,0.8435389637
abx_mega__tmp_dmso__2,-3.0242294054,0.015944328900000002,-0.1436875414,0.1914919696,0.1399575543
abx_mega__amyc-d_dmso__5,-8.7334455172,-1.6910187156,-2.2237806527,-1.6521756011000002,-1.579024708
abx_mega__novo_h2o__4,-15.3759650012,-2.0946863412,-3.696297431,-0.2527058608,-0.4922423173
abx_mega__cro_h2o__2,0.1641581859,0.5257695536,0.3697850433,-0.30657057660000003,0.5326514096
abx_mega__cro_h2o__3,-0.5513498415,0.2565888257,0.7640543475,-0.2669976047,0.34195672600000004
abx_mega__gen_h2o__2,-10.3447731223,-0.5893973720000001,-1.5933364455999999,-1.0307723459,-0.2107985705
abx_mega__phos_h2o__4,-0.6834915167000001,0.9156420854,0.6640356904,-0.0309958632,1.5111211754
abx_mega__metro_dmso__2,-2.8279550063,-1.1846501745,-0.9350898131000001,-0.3804310446,0.5323827082
abx_mega__ery_h2o__2,-3.7586234667,-2.2733299144,-1.3840283995,-2.3462003852,-0.9537609821
abx_mega__sacet_h2o__1,-0.1591811514,-0.3041345535,-0.537245649,-0.6041545277,1.6447925633
abx_mega__nal_naoh__5,-3.1170224025,-0.6094488481,-0.8627667309,-0.054980210200000004,0.1990000536
abx_mega__bacit_h2o__4,-3.6796618703,-1.0523985637,-1.2130238377,-0.7076949831,-0.7274341907
abx_mega__cip_naoh__3,-2.0224342584,-0.2124608039,0.8847378987000001,0.1102525246,0.1734156194
abx_mega__ethanol-8__1,1.7959265786,1.1846757806000001,1.3260343391,-0.0590977866,0.561838915
abx_mega__h2o-8a__1,-1.6922355289,-0.1143937765,0.9361365608000001,-0.22081801820000002,0.4992512931
abx_mega__ery_h2o__3,-6.0796400038,-2.2488264197,-1.4713528468,-2.3057897995,-1.1378906015
abx_mega__flavo_dmso__2,0.8752186623,0.5414791011,0.530130721,-0.3165443482,0.1519446072
abx_mega__rif_dmso__4,-3.3338444345,-1.7994636388,-0.8082321461,-1.5399098517,-0.9179844087000001
abx_mega__novo_h2o__5,-13.5248506074,-2.8797694036,-4.2660433478,-0.3411830033,-0.8107425435000001
abx_mega__teix_dmso__5,0.2344800903,0.7292042436,0.5206060747,-0.0340696975,0.5763157181
abx_mega__naoh-2__1,-1.2495665594,0.1506402454,-0.6964611512000001,-0.31705369640000003,1.3191839405999999
abx_mega__novo_h2o__6,-12.119977224,-2.2825630053,-3.8805716975999998,-0.5697764494,-1.0895386151
abx_mega__ctx_h2o__3,-0.2577367387,0.5598154293000001,0.3053731562,-0.31765341210000003,0.4965357065
abx_mega__rach_dmso__3,-0.2511062371,0.0412895322,-0.2692321158,-0.25011430100000004,0.3717124812
abx_mega__valin_dmso__2,-6.0265666368,-0.39142262170000003,-0.4283868362,-0.8373204843000001,0.0030111655000000003
abx_mega__amyc-d_dmso__6,-10.5112539579,-1.5052256722,-1.4423547155,-1.2728116676,-1.308497738
abx_mega__dox_dmso__2,-4.4660477496,-0.4343343082,-0.5213028711000001,-0.025511662,-0.06858762260000001
abx_mega__teix_dmso__6,1.6377472696000002,0.9490607440000001,-0.010769981100000001,0.1480773849,0.2696342438
abx_mega__naoh-6__2,-1.2613555008000001,-0.13238774720000002,-0.2379442532,0.1439389809,0.4827625297
abx_mega__inh_h2o__2,-1.6739106861000002,-0.282860869,1.3756880313,0.0779751018,1.1691557246
abx_mega__chl_h2o__3,-6.0924755778,-1.5334891602,-1.7903951822000002,-2.8414442095,-2.0401037076
abx_mega__nal_naoh__6,-3.1077706977,-0.5990392219,-0.6344028751,0.0426535923,0.23780814360000002
abx_mega__chl_dmso__2,-12.159389415,-0.9108944941,-2.4059384123,-1.6022828696,-1.3760605757
abx_mega__rach_dmso__4,0.14523325480000002,0.6804196523,-0.3179632656,-0.0800003088,0.6405416257000001
abx_mega__teix_dmso__7,1.2580478134,0.7349275142,-0.09429670250000001,0.0001683552,0.4852307313
abx_mega__ceru_ethanol__1,1.5250690371,0.6911968565000001,0.7735806550000001,0.1315329539,0.7964841104
abx_mega__dmso-7__1,0.2418166233,0.6084073021,0.2135421406,-0.1486598298,0.5229138442
abx_mega__naoh-6__3,-1.6122601953,0.0359138691,0.1111602512,0.232671539,0.4932577475
abx_mega__phos_ethanol__2,0.4779246769,0.5805534557,0.28346552880000003,0.2168248136,0.5791818749000001
abx_mega__metro_dmso__3,-3.7672123238,-1.2865579975,-1.1605353938,-0.3791651303,0.48347628740000004
abx_mega__van_dmso__4,-4.7225507874,-1.8854855527,-2.6903204351000003,-0.8353134788000001,-1.9522199049000002
abx_mega__h2o-10__1,0.0594783853,-0.3937749486,0.2815365302,-0.0202364792,0.5121484061
abx_mega__h2o-10__2,0.8369061015,0.0569337061,0.008932158400000001,-0.0607073754,0.6389932578
abx_mega__dmso-6__3,-2.3196835098,0.1522864267,-0.198498589,-0.2527744328,0.46679477340000003
abx_mega__mem_dmso__1,0.49898681720000004,0.1717118156,0.3876405359,-0.1981004934,0.12031309970000001
abx_mega__ethanol-8__2,0.6510003547000001,1.0669769225,1.4229863275,-0.021523506600000002,0.7410585412
abx_mega__chl_h2o__4,-4.5325532149,-1.5300362451,-1.3244810079,-2.6700349591,-1.8811324446
abx_mega__van_h2o__1,-1.3282393468,-0.9539721666000001,-0.5048273964000001,-0.9103162108,-0.9304642228000001
abx_mega__dcs_h2o__1,1.38122477,0.49571781130000003,0.16987063,0.0943710534,0.5398473067
abx_mega__rif_dmso__5,-2.4027318689,-0.3398812852,-0.298628222,-0.1829334597,0.2671297723
abx_mega__dox_dmso__3,-3.4962016821,-0.40342935360000004,0.15350457950000002,-0.3972091841,0.3281543596
abx_mega__mem_dmso__2,-0.6213790827,0.1689494005,0.4349503072,-0.2638287498,0.4357143612
abx_mega__lvx_dmso__2,-1.016662111,0.0972084373,0.7279327689,0.0417388443,0.3117157142
abx_mega__tet_h2o__2,-8.5998618239,-1.0433339282,-0.6163400058,-2.2693012292,-0.5202670671
abx_mega__phos_h2o__5,0.0504255068,0.6151469783,0.4740560917,-0.1972134109,1.4951864367
abx_mega__monac_dmso__1,-0.3978005382,-0.8081406531,-2.4808577693,-0.8663395759,-1.0736457226
abx_mega__str_h2o__3,1.0391113497,0.249143368,0.5805377557,0.1259657223,0.5058996183
abx_mega__zeocin_h2o__2,-4.6858075326,0.4965244495,0.2616953187,-0.6476176532,1.1896346646
abx_mega__amyc-d_dmso__7,-9.9059008718,-1.209235546,-1.9133949855,-1.42088019,-1.6400629303
abx_mega__fidax_dmso__1,1.4081984155,0.6527414339000001,-0.12877139810000002,0.007690172800000001,0.455457773
abx_mega__h2o-1a__1,-0.1344245318,0.075576312,0.1435504884,0.0575483496,-0.0282962681
abx_mega__dox_dmso__4,-3.2011272376,-0.2659597963,-0.3199455728,0.2665585241,0.3093233675
abx_mega__lzd_dmso__2,-8.9569792592,-1.8484214817,-2.0012825208,-1.9463157999,-0.8381643288
abx_mega__tet_h2o__3,-3.92491841,-1.436213482,-0.6510356449,-1.5689931018,-1.1578792316
abx_mega__dmso-1__2,-0.3339811908,0.292098705,0.0949338968,-0.0638843971,-0.0999753669
abx_mega__sxt_dmso__2,-0.6604820558000001,-0.6780960715000001,0.3735818433,-0.6176702001000001,0.09453235380000001
abx_mega__tric_ethanol__2,-0.6569522715,0.48036271620000004,0.0880713519,-0.058214080700000004,0.1704933076
abx_mega__teix_dmso__8,-0.7949075120000001,-0.6009751059,-0.3086388136,-0.3208467193,-0.3753065379
abx_mega__ramo_h2o__2,-0.4115653878,-0.1478295309,-0.6009085072,-0.3043319677,-0.0003261396
abx_mega__inh_h2o__3,1.2735839284,0.7750522138,0.3107806573,0.2263080572,0.5065493643
abx_mega__cst_h2o__3,-1.1769948758,-0.6969591940000001,-0.5381121391,-0.6604587882,0.0010891515
abx_mega__dmso-9__1,-0.1697998553,0.47815821950000004,0.9428072826,0.1652363888,0.5289169839
abx_mega__ethanol-8__3,1.7881378167,0.9893608411,0.918611846,0.073808526,0.8654990991
abx_mega__monac_dmso__2,-1.8831729732,-1.2653026277000001,-2.7218596241,-1.4421129371,-1.9023020139
abx_mega__dmso-9__2,-0.0176866802,0.4184569051,0.7687818651,0.0124821121,0.5931654318
abx_mega__metro_dmso__4,-4.9037805999,-1.1638421847,-0.7535002705,-0.0624036472,0.38999750850000003
abx_mega__ctx_h2o__4,0.047861906600000004,0.5863456874,0.4589724687,-0.3304413054,0.5669327495
abx_mega__zeocin_h2o__3,-6.9901813843,0.5650166218,0.0152083696,-0.8187488844,1.4392726701
abx_mega__bacit_h2o__5,-7.4399177413,-1.0984562915,-1.0862098846000001,-0.6212632720000001,-0.6654112355
abx_mega__reta_dmso__1,-8.2650746347,-2.0109253777,-1.7360734049,-2.0377494386,-0.7614111978
abx_mega__ery_h2o__4,-7.8243283998,-1.3485028145,-1.3621073342,-2.3919325405,-1.4644185593
abx_mega__ceru_ethanol__2,-4.9028248058,-0.5280297472000001,-0.6796393921,-0.2507206522,0.7115305066000001
abx_mega__fidax_dmso__2,0.3581185431,0.6857065432,0.3526835497,0.07346573220000001,0.5438877886
abx_mega__novo_dmso__1,-12.7245303687,-1.6318165128,-3.1802272736,0.3143882568,0.232487243
abx_mega__naoh-6__4,-1.6346499123,-0.06482303040000001,-0.2779055486,0.1617989176,0.6135118491
abx_mega__amyc-d_dmso__8,-5.1090576296,-1.0195210225,-0.8462513132,-0.4081937196,-0.6562395818
abx_mega__chl_dmso__3,-11.7410305518,-0.9328703077,-2.5828548664,-1.7002395932,-1.4293449031
abx_mega__nal_naoh__7,0.3076670462,0.4973491512,1.486523411,0.1538530863,0.36016941220000004
abx_mega__teix_dmso__9,1.9489180620000002,0.8080966286,-0.6387454905000001,0.1414549701,0.4234205098
abx_mega__ery_dmso__3,-6.5305685709,-1.5690303947,-2.4021001319,-1.7943494913,-1.4372633796
abx_mega__tmp_dmso__3,-2.3045401226,-0.193287018,-0.5557369257,0.2193526747,0.2662186734
abx_mega__sxt_dmso__3,1.8979541723,0.7843616708000001,0.16334696070000002,-0.3849941899,0.0977946043
abx_mega__polmyx_h2o__4,-2.6356714673,0.2772773824,0.3212148879,-0.732440443,1.371563202
abx_mega__mem_dmso__3,-0.1378331483,0.4312175016,1.1500038853,0.1017285234,0.6059553698
abx_mega__nal_naoh__8,-2.9018428945,0.1371330278,-0.4711002977,-0.2163555027,0.9856391067
abx_mega__pen_h2o__3,0.6224334589,0.0880159845,1.0063465084,-0.1832599433,0.49399605550000003
abx_mega__van_dmso__5,-4.065538792,-2.0064355262,-2.9566240958,-0.9702752261,-2.2087981523
abx_mega__zeocin_h2o__4,-4.4747390728,0.7160194373000001,0.06458426540000001,-0.7029806271,1.3655894983
abx_mega__h2o-6__2,-0.7228507679,-0.0219061857,-0.40973326930000004,0.2689052974,0.5194630235000001
abx_mega__tet_h2o__4,-4.7824438996000005,-1.7401859745000001,-0.8910942914000001,-1.7485042558,-1.078142792
abx_mega__nor_naoh__4,-1.5429473075,-0.13764546290000002,0.641753872,0.2638014382,0.5495902557
abx_mega__cip_naoh__4,-3.3116651908,-0.12439889450000001,-0.7143395824000001,0.1813226141,0.3465291198
abx_mega__tmp_dmso__4,-4.742286743,-0.4953257364,-1.2222087878,-0.0659537084,0.5112102521
abx_mega__reta_dmso__2,-8.6081857663,-1.8144474763,-1.3265152851,-2.6935232182,-1.036150479
abx_mega__mem_dmso__4,1.5996429915,0.6515780167,0.18910455240000001,-0.24608755940000002,0.0777737337
abx_mega__dox_dmso__5,-4.3034365637,-0.6463130855,-1.2454205891,-1.4072956342,-0.46782079460000003
abx_mega__tmp_dmso__5,-1.7263801831999999,0.5590132598,0.3772460025,0.13500124700000002,0.6037500802
abx_mega__flavo_dmso__3,0.5449676035000001,0.7377327490000001,0.5626616992,-0.16266356510000002,0.1538111316
abx_mega__tmp_dmso__6,-1.7189803077999999,0.3955473585,0.6069457247,-0.08100398930000001,0.08691910280000001
abx_mega__ceru_ethanol__3,-2.3919244827,-0.5943358821,-0.1936063898,-0.0203257193,0.6983056868
abx_mega__teix_dmso__10,-0.25380199870000003,-0.312031323,-0.0267678065,-0.0864598209,-0.0140223002
abx_mega__novo_h2o__7,-13.5267609069,-2.7418967045000002,-3.872347831,0.09512308080000001,-1.000108404
abx_mega__fidax_dmso__3,-0.4890057218,0.0787107762,0.1056782768,0.056592892000000006,0.580416287
abx_mega__h2o-1a__2,0.24292975730000002,-0.0775931141,-0.17880419820000001,-0.0203162279,-0.105935387
abx_mega__dcs_h2o__2,-0.07257889170000001,0.0086808589,1.2815382693,0.08127249760000001,0.5942897532
abx_mega__cst_h2o__4,-1.824835596,-0.5439747382,-0.6733010366000001,-0.42764759150000003,0.0797362489
abx_mega__van_h2o__2,0.6072810354,0.24816900530000002,0.7114050576000001,-0.3318785326,0.3285693067
abx_mega__pen_h2o__4,0.139213461,0.519782485,1.4222880747,-0.1072682971,0.3606096455
abx_mega__h2o-8b__2,1.9351573243,0.7406089015,0.5936960355,0.2832759084,0.966215263
abx_mega__reta_dmso__3,-5.5494489005,-1.6564637059,-1.4208775206,-2.220698214,-0.8401855507
abx_mega__dmso-7__2,0.7465416836000001,0.9828303522,0.2010669623,-0.324421403,0.6397181744
abx_mega__rfp_h2o__2,-4.5330859769,-1.9493855193,-2.0001023215,-2.078741852,-1.0560143276
abx_mega__rif_dmso__6,-4.2550805608,-0.7389979591,-0.4833493639,-0.8986833081000001,-0.0733958998
abx_mega__sxt_dmso__4,2.3617808756,0.5831883902,0.16861113490000001,-0.39061972300000003,0.2542172506
abx_mega__cip_naoh__5,-2.4926101628,-0.0400861278,0.0370767963,0.5302146851,0.1986776482
abx_mega__dmso-9__3,-0.5143239173,0.38496605300000003,1.0546889039,-0.0648156579,0.3338417882
abx_mega__mem_dmso__5,0.4084598967,0.3057779418,0.2227530443,-0.2015433442,0.146935276
abx_mega__tric_h2o__2,0.1481865886,1.0814096019,1.0269780944,0.0561230447,1.0397236006
abx_mega__phos_h2o__6,-1.1131141562,0.2956034265,0.1172620642,0.1840419059,0.42013387150000003
abx_mega__h2o-7__2,1.3547997193999999,0.8273412322,0.46896733020000003,-0.0687134662,0.240577222
abx_mega__h2o-10__3,0.6989878938,-0.018987965000000002,0.0664091039,-0.0029101905,0.7145890497
abx_mega__h2o-8a__2,-1.3218761818,-0.2574594905,1.2355074794,-0.2414092729,0.4498051441
abx_mega__thio_dmso__3,-3.5559618251,-0.5142443918,-0.6532867441,-1.3992598427,-0.4309767822
abx_mega__lzd_dmso__3,-5.2073077745,-1.1588349234,-1.4050242241,-1.4757436121,-0.44290733400000004
abx_mega__monac_dmso__3,-3.9528932414,-2.0864197647,-2.3155278584,-1.5239909109,-2.1227196558
