,A,MelR,AcoR,IolR
S6_6,3.8036718159,9.5737,12.1441,10.7148
S7_4,2.7808055418,9.6541,12.1262,10.5846
S7_5,4.3253053467,9.7033,11.9436,10.4454
S7_6,3.6816635955,9.8013,12.0569,10.6208
S8_4,3.4768301446,9.0719,11.5114,10.2187
S8_5,6.9950313718,9.3029,11.4301,9.5604
G135_1,5.7893394378,7.8512,8.755,11.8147
G135_3,10.3398577771,7.5207,7.8211,9.9035
G150_1,10.0102928162,9.461500000000001,10.7367,11.9427
G150_2,4.0482136773,8.0139,9.5529,11.9597
G150_3,10.4944918519,10.4128,11.3143,12.6396
G180_1,4.9014513828,7.6425,8.073,11.7785
G180_2,3.3313810781,7.7389,8.389,12.3528
G180_3,7.4319944103,7.4278,7.9251000000000005,11.2203
C30_1,2.2099201915,8.2067,8.6686,10.4299
C30_2,2.5889320686,8.7845,9.1321,10.6004
C90_1,-0.14954796750000002,8.4433,8.5384,10.5331
C90_2,-2.2422966828,8.3418,8.3456,10.8525
BI_1,26.163118708,12.4928,12.1905,12.3206
BI_2,27.0942071015,12.6985,12.2463,12.5608
BC_2,14.6509583209,8.6639,13.3665,11.7439
BC/t_1,15.537727952200001,8.7659,13.1629,11.156
BC/t_2,12.2218653671,9.0652,13.2695,11.6597
BC_1,16.1131478991,8.7189,12.9082,11.283
Sw_1,16.0724412042,8.7004,13.127,10.906600000000001
Sw_2,16.5638610805,9.2969,13.3655,11.5869
BT_1,2.8063563709,8.5992,8.568200000000001,10.2989
BT_2,3.4319141033,8.4369,8.0303,9.8947
B36_1,1.3011311703000001,7.7575,8.734,10.6055
B36_2,-0.0977012964,7.8242,8.2676,10.4582
B60_1,3.1121775937,8.3074,11.3006,10.5048
B60_2,1.578459648,8.3932,11.0077,10.4416
M9exp_1,-0.7777548038000001,8.8454,8.3321,11.6457
M9exp_2,0.0685534434,8.6128,8.1145,11.3181
M9exp_3,0.7092013604,8.4587,8.0294,10.9732
M9tran_1,3.126246668,8.9279,9.1657,10.9913
M9tran_2,1.5768615607,8.5163,8.7132,11.0033
M9tran_3,0.9798095049000001,8.9256,9.1927,11.1507
M9stat_1,7.6996197612,9.162,11.4203,10.1284
M9stat_2,9.8071505869,9.4111,11.511,10.348
M9stat_3,9.2131995493,9.1237,11.3957,9.8996
M+G_1,3.2087027155,9.405100000000001,8.7984,10.895199999999999
M+G_2,0.6217446892,8.5004,8.0866,10.8825
M+G_3,1.1889185832,8.4414,7.9384,10.7514
Glu_1,0.7081291095000001,9.0322,9.0183,11.2723
Glu_2,1.3125369076,8.927,8.9214,11.1425
Glu_3,0.3457218367,8.8915,8.8338,11.3112
Fru_1,2.638895945,8.9025,9.1968,10.9765
Fru_2,3.1717484912,9.1288,9.7373,11.362
Fru_3,3.5510460466,8.6288,9.0055,10.8129
Mal_1,6.3154773829,9.6179,9.478,10.6938
Mal_2,5.2537801036000005,8.8422,9.7416,10.974
Mal_3,5.809467882,10.2978,10.3534,11.4472
G+S_2,2.7690600174,8.693,10.9333,10.7405
G+S_3,3.0020848349,9.2301,11.1829,11.1886
Pyr_1,3.6828977083,8.6237,10.0579,10.4558
Pyr_2,2.9298202481,8.5532,10.1225,10.6593
Pyr_3,3.3504599211,8.768,9.9873,10.5618
Gly_1,8.4999243621,9.8482,8.8796,9.9768
Gly_2,7.6306384121,10.4471,9.3673,10.6811
Gly_3,9.4029112982,9.3841,8.75,9.4778
Glucon_1,4.6730935195,8.9952,9.5334,10.2765
Glucon_2,4.6849812955,8.9811,10.0227,10.7168
Glucon_3,6.9196566163,9.1541,9.668800000000001,10.0648
aero_1,2.9613888056,8.8492,8.6329,11.4528
aero_2,4.3082547281,8.3493,7.6889,10.8123
aero_3,2.7330945636,8.5858,8.2417,11.3261
nit_1,-1.6827996236,8.0978,8.826,10.7248
nit_2,-1.5537232894000002,8.4762,8.9821,11.0884
nit_3,-2.012796407,8.095,8.6863,10.5471
ferm_1,-2.083715654,8.1864,8.6714,10.577
ferm_2,-2.0137192082,7.8748000000000005,8.4616,10.0851
ferm_3,-3.1140517961,8.0999,9.052,10.5158
T-5.40H_1,-1.0168422355,9.005,9.0804,11.3863
T-4.40H_1,-0.44011393470000004,8.6609,8.8926,11.054
T-3.40H_1,0.1319431543,8.8215,8.995,11.1119
T-2.40H_1,1.3319796088,8.8995,8.9553,11.0338
T-1.40H_1,1.811560456,8.8743,9.1006,11.083
T-1.10H_1,1.7790748098,8.9984,9.2602,11.2036
T-0.40H_1,1.3130722139,8.9062,8.9627,11.1994
T0.0H_1,6.067390741,11.8208,10.9335,11.1602
T0.30H_1,19.9939047016,10.7165,12.1857,11.7038
T1.0H_1,18.0904672029,10.2734,12.0909,11.276
T1.30H_1,13.1466110844,9.9423,12.1951,10.8866
T2.0H_1,11.2316018505,10.0015,12.1275,10.6294
T2.30H_1,11.2261231333,10.4852,12.7861,11.6971
T3.0H_1,10.6698138155,9.5286,12.263,11.0807
T3.30H_1,10.8402804995,9.5636,12.5399,11.6276
T4.0H_1,11.452202489,9.2664,12.2912,11.7125
T5.0H_1,10.1531578933,8.5379,11.1911,11.3314
HPh_1,2.525437711,8.4457,8.2516,11.2921
HPh_2,1.1638906676,7.9583,7.7067,10.616
HPh_3,2.1884478565,8.2154,8.0563,10.9022
LPh_1,1.3986080029,8.3141,8.1097,11.0509
LPh_2,-0.4471629642,8.4967,8.2091,11.245
LPh_3,1.6582439675,8.2796,8.0528,10.8039
LPhT_1,-0.8266952515,8.9698,8.0817,10.3702
LPhT_2,-1.6222327294,9.1575,8.0327,10.1734
LPhT_3,-2.0138400487,9.5612,8.3999,10.5149
SMMPr_1,1.4427541864,8.6945,8.7622,10.848
SMMPr_2,2.8005414683,8.7715,8.9126,11.0013
SMMPr_3,3.2870321322000002,8.9636,8.9562,11.0389
HiTm_1,9.5917506334,9.6982,9.4305,11.0483
HiTm_2,9.3631677209,10.1818,10.2492,11.6389
HiTm_3,6.3279247468,9.4163,9.4722,11.8169
LoTm_1,-1.5402015346,7.7181,7.9254999999999995,10.7391
LoTm_2,-0.6875650348,7.5661000000000005,7.6377,10.5382
LoTm_3,-2.0556521093,7.49,7.5817,10.6382
HiOs_1,0.6238897917,8.7567,9.8392,10.9093
HiOs_2,1.4412302412,8.6066,9.5114,10.6106
HiOs_3,1.1686376739,8.783,9.778,10.9102
BMM_1,-0.8866814941000001,8.8064,8.0109,11.3089
BMM_2,-0.2372834779,8.7051,7.8007,11.1529
BMM_3,-0.022348582500000002,8.344,8.0379,11.4639
Heat_1,6.9562087047,10.9667,9.9074,12.6775
Heat_2,7.856010423,10.9529,9.7172,12.537
Heat_3,7.5328232603,10.4425,9.608,12.5372
Cold_1,-1.9284059195,7.0502,7.6307,10.5258
Cold_2,1.3693903251,7.2053,7.4478,10.149
Cold_3,3.6525893959999998,7.2737,7.3916,9.7964
Etha_1,5.0440109817,7.8735,8.0548,11.379
Etha_2,5.7605129585,7.8749,7.9995,11.2028
Etha_3,4.1098958092,7.7095,7.8538,11.4461
SMM_1,1.6360012002,8.9796,8.530100000000001,10.9483
SMM_2,0.48206785030000004,8.8074,8.5395,10.9354
SMM_3,0.47582607870000004,8.8436,8.4973,10.9966
Salt_1,2.0519293453,7.4325,8.1822,10.4973
Salt_2,2.2402727918,7.3216,8.0863,10.4465
Salt_3,1.835955591,7.4367,8.2216,10.4773
Mt0_1,4.5752707038,7.8637,9.9058,11.8513
Mt0_3,8.2816710582,10.4998,11.9325,12.4076
M0t45_1,-0.9204433074,8.3708,9.1705,11.151
M0t45_2,1.9747347795999999,7.2964,8.6382,11.3204
M0t45_3,-0.2118485039,8.2177,9.7278,11.7391
M0t90_1,33.6650519708,13.0244,12.0956,12.4848
M0t90_2,36.9047154526,14.542,13.2544,13.8799
M0t90_3,41.1932070177,13.6113,12.7676,14.6369
M40t45_1,1.4922116434000001,9.2569,9.7915,10.9559
M40t45_2,19.9874749818,12.6044,13.1894,14.1905
M40t45_3,-0.5940528796,8.3751,9.9486,11.7206
M40t90_1,38.1785686177,13.1907,12.7109,13.7172
M40t90_2,38.2740456505,14.4553,13.394,14.1669
M40t90_3,39.0284832734,12.377,13.0573,15.084
dia0_1,6.5259573059000004,9.3467,10.5328,11.719899999999999
dia0_2,5.8394804018,8.965,10.5886,12.0387
dia0_3,1.2772503536,7.8944,9.7125,11.7079
dia5_1,5.9243901762,10.3046,11.1489,11.824
dia5_2,5.2617934985,11.3155,11.8431,11.8803
dia5_3,3.9819821088,11.4749,11.9165,11.8908
dia15_1,5.6133314056,10.9854,11.9204,12.4612
dia15_2,0.30443359340000004,8.2369,10.3719,11.537
dia15_3,1.3210716419000001,7.6721,9.3132,10.8844
Diami_1,8.4765175993,9.8244,10.3101,11.8234
Diami_2,6.8959555361,9.8765,10.3288,12.4349
Diami_3,7.1166158525,9.7053,10.5813,12.0608
Paraq_1,4.2420647878,7.9435,9.3153,11.7721
Paraq_2,2.3572079846,8.2867,9.6074,12.28
Paraq_3,5.2635807265,7.3726,8.0938,10.8789
H2O2_1,1.9867177262000002,8.4424,9.5922,11.8652
H2O2_2,0.9489100559,8.4788,9.9515,12.1385
H2O2_3,-0.0042150865000000004,7.8881,9.025,11.663499999999999
Oxctl_1,6.9595172314,8.3745,9.325,11.6118
Oxctl_2,7.0195018558,8.5895,9.6,11.5635
Oxctl_3,4.4938693016,8.35,9.4028,12.1678
GM-0.1_1,2.9713849962000003,8.8733,8.6552,10.6078
GM-0.2_1,4.31760631,8.9851,8.9539,10.761800000000001
GM+5_1,1.5259902355000001,8.2757,8.2969,10.4998
GM+15_1,-0.7168457467,8.3018,8.2827,10.971
GM+25_1,-3.4064673058,8.3576,8.2481,11.4751
GM+45_1,-1.1126225488,8.6965,8.1885,11.3183
GM+60_1,-1.5827878684,8.4527,7.8621,11.2353
GM+90_1,0.164226861,8.7394,8.1343,11.2624
GM+120_1,5.117607715,8.6753,8.5606,10.2619
GM+150_1,1.5649287114,8.7717,8.3184,10.9758
GM-0.1_2,1.4571258987,9.1692,9.0272,11.3058
GM-0.2_2,2.8244108498,9.245,9.0993,11.5516
GM+5_2,1.8284471017000001,8.84,8.7724,10.8892
GM+10_2,-0.3276517454,8.1263,8.1372,10.9888
GM+15_2,0.034256484000000004,8.0058,8.056,11.0115
GM+25_2,-1.9127502907,8.1019,7.9924,11.2867
GM+45_2,0.4478751993,7.6888000000000005,7.268,10.3806
GM+60_2,2.4024204511000002,8.1254,7.6979,10.4932
GM+90_2,1.3460226334,8.8817,8.4225,11.29
GM+150_2,-1.0034909059,8.0486,8.0564,10.2874
GM-0.1_3,2.105377644,8.9744,8.8651,11.0624
GM-0.2_3,0.7783092551,8.9123,8.7249,11.0723
GM+5_3,0.5441975791,8.8259,8.937100000000001,10.9999
GM+10_3,1.4571603085,7.6564,7.8688,9.982
GM+15_3,-1.3467870876,8.127,8.0954,10.6664
GM+25_3,-0.011382033100000001,8.0303,7.9752,10.564
GM+45_3,2.6193638569,8.5264,8.3201,10.6964
GM+60_3,2.7409839537,8.2015,7.9622,10.4194
GM+90_3,1.2877304529,8.5231,8.1256,11.2508
GM+120_3,3.3562485282,8.7872,8.5899,11.1512
GM+150_3,0.37201583250000003,8.7424,8.1497,11.2643
MG-0.1_1,5.0169337987,9.1624,9.759,11.3905
MG+5_1,1.0122852193,7.8795,8.271,11.1046
MG+10_1,-2.6603078047,7.8745,8.2071,11.4914
MG+15_1,-0.0736854936,7.6043,7.6354,10.5109
MG+25_1,-0.6423428063000001,8.0382,7.8171,10.8603
MG+45_1,0.23626781,8.3563,7.8931000000000004,10.796
MG+120_1,4.0209068945,9.1057,8.8234,10.6625
MG+150_1,1.3075320525,8.6284,8.825800000000001,11.0471
MG-0.1_2,5.5999934007,8.3073,9.0723,10.7378
MG-0.2_2,4.8176931495,8.8321,9.5327,11.1291
MG+5_2,-0.5771530001,7.3149,7.9592,10.9758
MG+10_2,-2.1612074372,7.5212,7.8388,11.1148
MG+15_2,-1.6049502098000001,8.4223,8.5402,11.7563
MG+25_2,0.3667357927,7.8688,7.6648,10.5539
MG+45_2,2.5895557102,8.0644,7.8021,10.2608
MG+60_2,0.7826980082,8.5909,8.1281,10.9098
MG+90_2,1.0841203388,8.4197,7.7456,10.4571
MG+120_2,1.2919774296,9.4222,8.919,11.2861
MG-0.1_3,4.3959122795,9.5786,10.3849,11.9727
MG-0.2_3,4.7513164607,9.0585,9.906600000000001,11.6283
MG+5_3,1.1763252283,7.877,8.2192,11.0926
MG+10_3,1.6474471894,7.9704,8.0854,10.6492
MG+15_3,-1.699274245,8.046,8.0654,11.2754
MG+25_3,-1.0987980147,8.1493,8.0998,11.1161
MG+45_3,-1.4625865584,8.8159,8.4417,11.6389
MG+60_3,1.328081244,8.7637,8.2665,11.0691
MG+90_3,0.4187017196,9.181,8.3642,11.28
MG+120_3,1.6665837443,9.0416,8.5366,10.9509
MG+150_3,0.3838706622,8.6607,8.6506,11.0602
