,A,CsqR
ecoli_00311,3.4440847026,0.788593446
ecoli_00312,3.0111258435,0.20873734700000002
ecoli_00313,-0.14774819120000002,0.034592971
ecoli_00314,0.7454647757,-0.203722975
ecoli_00315,1.775211922,-0.075244453
ecoli_00316,1.7280320637000002,-0.36843659500000003
ecoli_00317,1.7807703518,-0.12243508400000001
ecoli_00318,1.0540282171,-0.37800877800000005
ecoli_00319,0.20024818630000002,-0.079193541
ecoli_00320,1.0129308795,-0.26490847700000003
ecoli_00321,1.7130497126000002,0.42695454600000005
ecoli_00322,1.9130754727000001,0.43853279700000003
ecoli_00323,0.8278499457,0.08569668400000001
ecoli_00324,0.9084330866,0.1840706
ecoli_00325,0.4734418688,-0.013160466000000001
ecoli_00326,0.8960625976000001,0.02355101
ecoli_00327,1.4230096952,0.430112822
ecoli_00328,1.9850389465,0.455846446
ecoli_00329,1.6387509112,0.572821208
ecoli_00330,1.10260266,0.38720471100000003
ecoli_00331,1.7583923445,0.062871442
ecoli_00332,1.4566599035,0.14747185000000002
ecoli_00333,2.0783552694,0.23018317400000002
ecoli_00334,1.452534546,0.133058811
ecoli_00335,0.8341655273,-0.143793668
ecoli_00336,0.9539671974,0.01328091
ecoli_00337,1.4323146634000001,0.058952497000000006
ecoli_00338,1.2766135678000001,0.11333697000000001
ecoli_00339,1.1823187795,0.042633427
ecoli_00340,1.3250100328,0.015566133000000001
ecoli_00341,1.1314306256,-0.04016294
ecoli_00342,0.8507338171000001,-0.048410782000000006
ecoli_00343,1.7168392263,-0.14163830300000002
ecoli_00344,1.3432803559,-0.40268258700000004
ecoli_00345,1.62311616,0.036142935
ecoli_00346,1.6821522258,0.11612794400000001
ecoli_00347,1.2122176812,0.05880809
ecoli_00348,0.5695263487000001,0.090113236
ecoli_00349,1.3917997908,0.21806808800000002
ecoli_00350,1.3677153931000001,0.22309636100000002
ecoli_00351,1.4510482812,0.486930173
ecoli_00352,1.55306802,0.24066173000000002
ecoli_00353,2.0442793543,0.022743413
ecoli_00354,1.9520479857000002,0.16374132500000002
ecoli_00355,0.1868402813,0.23822748800000002
ecoli_00356,0.2671958372,0.21248027900000002
ecoli_00357,1.0689230521,0.182617091
ecoli_00358,0.7085700473000001,0.325766698
ecoli_00359,1.3124602266,0.332814512
ecoli_00360,1.0219839628,0.301827869
ecoli_00361,0.9393633075000001,0.146432124
ecoli_00362,1.4362805947,0.40087439300000005
ecoli_00363,-0.1651619462,-0.9707344790000001
ecoli_00364,-1.167225538,-1.040983986
ecoli_00365,0.24736777910000002,-0.254930835
ecoli_00366,0.1467063186,0.0932779
ecoli_00367,1.2174972296,-1.408669819
ecoli_00368,0.9906985213,-1.090457173
ecoli_00369,-1.1728677301000001,-1.4079249470000001
ecoli_00370,-0.4852510801,-1.5516778900000001
ecoli_00371,0.5420386093,-0.911991392
ecoli_00372,-0.34587802370000004,-0.554004051
ecoli_00373,1.1911839991,-2.090757818
ecoli_00374,1.4933652528,-2.176858884
ecoli_00375,-0.9416470316000001,-1.849516843
ecoli_00376,-0.8554282924000001,-1.546835253
ecoli_00377,1.08764751,-1.190523424
ecoli_00378,0.9037730456,-1.150383191
ecoli_00379,0.6127556092,-1.122341
ecoli_00380,0.8432087016,-1.1409298620000001
ecoli_00381,-0.7606706364,-1.088167543
ecoli_00382,-0.6405646023,-1.255114437
ecoli_00383,0.2401219825,-0.927991344
ecoli_00384,0.7191027993,-0.9582819100000001
ecoli_00385,0.3015528943,-1.068684896
