locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fur,link
USA300HOU_RS11805,0.098617836,prop11,MFS transporter,Carbohydrate transport and metabolism,prop11,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005571000
USA300HOU_RS03975,0.09547454,ceuC,iron ABC transporter permease,Inorganic ion transport and metabolism,"ceuB,ceuC,yclP",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002638000
USA300HOU_RS13365,0.095284542,nikC,nickel ABC transporter permease,Inorganic ion transport and metabolism,"opp-1F,opp-1D,nikC,opp-1B,nikA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006025000
USA300HOU_RS13360,0.08975277100000001,opp-1D,ABC transporter ATP-binding protein,Amino acid transport and metabolism,"opp-1F,opp-1D,nikC,opp-1B,nikA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006024000
USA300HOU_RS00640,0.08847901500000001,sbnH,diaminopimelate decarboxylase,Amino acid transport and metabolism,"sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000922000
USA300HOU_RS11780,0.08737268100000001,USA300HOU_RS11780,siderophore ABC transporter permease,Inorganic ion transport and metabolism,fecB,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005566000
USA300HOU_RS01390,0.08690792600000001,USA300HOU_RS01390,SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001152000
USA300HOU_RS00645,0.08674013100000001,sbnI,siderophore biosynthesis protein SbnI,Transcription,"sbnA,arcB,sbnC,mdtG,iucA,iucC,sbnG,sbnH,sbnI",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000923000
USA300HOU_RS13375,0.08450128300000001,nikA,"nickel ABC transporter, nickel/metallophore periplasmic binding protein",Amino acid transport and metabolism,"opp-1F,opp-1D,nikC,opp-1B,nikA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006027000
USA300HOU_RS13370,0.08132865800000001,opp-1B,peptide ABC transporter permease,Inorganic ion transport and metabolism,"opp-1F,opp-1D,nikC,opp-1B,nikA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006026000
USA300HOU_RS03985,0.081146672,fetB,hypothetical protein,Inorganic ion transport and metabolism,fetB,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002640000
USA300HOU_RS13355,0.079393956,opp-1F,ABC transporter ATP-binding protein,Amino acid transport and metabolism,"opp-1F,opp-1D,nikC,opp-1B,nikA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006023000
USA300HOU_RS01435,0.07868681200000001,USA300HOU_RS01435,MFS transporter,Inorganic ion transport and metabolism,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001161000
USA300HOU_RS11775,0.07782409400000001,USA300HOU_RS11775,iron-dicitrate ABC transporter permease,Inorganic ion transport and metabolism,fecB,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005565000
USA300HOU_RS00885,0.077046634,USA300HOU_RS00885,hypothetical protein,Function unknown,isdI,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001002000
USA300HOU_RS00880,0.076681462,isdI,monooxygenase IsdI,Energy production and conversion,isdI,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001001000
USA300HOU_RS03500,0.07600525500000001,fhuC,iron-dicitrate ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,"fhuC,fhuB,fhuG",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002525000
USA300HOU_RS13350,0.075462438,USA300HOU_RS13350,MFS transporter,Carbohydrate transport and metabolism,"opp-1F,opp-1D,nikC,opp-1B,nikA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006022000
USA300HOU_RS00590,0.068173018,sirC,iron ABC transporter permease,Inorganic ion transport and metabolism,"sirC,sirB,sirA",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000911000
USA300HOU_RS03505,0.06704597300000001,fhuB,ferrichrome ABC transporter permease,Inorganic ion transport and metabolism,"fhuC,fhuB,fhuG",Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN002526000
USA300HOU_RS11800,0.066327702,USA300HOU_RS11800,siderophore synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",prop11,Fur,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005570000
USA300HOU_RS10275,-0.09333537900000001,ftnA,non-heme ferritin,Inorganic ion transport and metabolism,ftnA,"PerR,Fur",True,https://aureowiki.med.uni-greifswald.de/SAUPAN004915000
