,A,FucR,ExuR
nac_ntrc__wt_csn__2,0.6288409452,5.5478717152,8.0573502673
nac_ntrc__wt_cytd__1,1.755227176,5.6732016351,7.5551551563
nac_ntrc__wt_cytd__2,1.5526665882000001,5.706633139,7.7088171106
nac_ntrc__wt_gln__1,0.2804581606,5.7453043202,7.4992341551
nac_ntrc__wt_gln__2,0.4104968554,5.8398757262,7.4409447111
nac_ntrc__bw_delnac_csn__1,3.8761797669,5.7615269825,8.2330492083
nac_ntrc__bw_delnac_csn__2,2.5881209077,5.7703778613,8.343108331
nac_ntrc__bw_delnac_cytd__1,1.4064680266,5.8641015043,7.9655000798
nac_ntrc__bw_delnac_cytd__2,1.8672681982000001,5.8475366062,7.9040215681
nac_ntrc__bw_delnac_gln__1,0.8489134172,5.964989547,7.7236151721
nac_ntrc__bw_delnac_gln__2,0.6109228249,5.7937069217,7.7151873519
nac_ntrc__bw_delnac_nh4__1,0.688396808,5.9421441783,7.5892330749
nac_ntrc__bw_delnac_nh4__2,0.9484022816000001,6.0630036329,7.5311151772
misc__wt_no_te__1,3.1325052844,5.7202572839,8.4406444689
misc__wt_no_te__2,0.40782697500000004,5.8980458459000005,7.9596315013000005
misc__bw_delcbl__1,1.9244922246,5.8852684793000005,7.7271426357
misc__bw_delcbl__2,1.574221909,5.8757829961,7.8156697415
misc__bw_delfabr__1,2.0369892502,6.0385684013,7.5670816078000005
misc__bw_delfabr__2,1.2421227309,5.9009594718,7.557718792
misc__bw_delfadr__1,1.0908527081,5.8946958122,7.8183812269
misc__bw_delfadr__2,1.4775408485,5.9456991724,7.715753632
misc__nitr_031__1,1.116021604,5.6035994363,7.6774199182
omics__wt_glu__1,1.4798779754,6.1825902592,7.5859485424
omics__wt_glu__2,0.6607921869000001,6.0442048209,7.6149740733
omics__wt_gly__1,0.6334306627,5.8664884356,6.925686886
omics__wt_gly__2,0.6148305076,6.015476839,6.9382218671
omics__wt_thr__1,4.4536492301,7.2092325039,8.515125714
omics__wt_thr__2,3.7981357356,7.5662055422,8.3353970521
omics__bw_ac__1,3.9911999934,7.7699176106,7.4869650511
omics__bw_ac__2,3.3564242946,7.9123954796,7.6238612308
omics__bw_fum__1,2.6813549619,7.4890424039,7.7378559542000005
omics__bw_fum__2,2.8387777883,7.6087977482,7.7375954804
omics__bw_glc__1,0.45785715190000004,6.2766026409,7.8734878791
omics__bw_glc__2,0.4036187415,6.0748796958,7.8086128104
omics__bw_pyr__1,2.1803725483,7.7328001875,7.2628246225
omics__bw_pyr__2,1.6454196614,7.9226304405,7.4306729787
ompr__wt_nacl__1,2.7812854858,4.0996725189,7.796778693
ompr__wt_nacl__2,1.7091033168,4.1141658688,7.7211774435
ompr__bw_delompr_nacl__1,0.1091135568,3.86283694,6.6013054229
ompr__bw_delompr_nacl__2,0.8731329602000001,3.8982948734000002,6.7754045715
minspan__wt_ade__1,-0.5321657514,6.0466567898,7.4486973817
minspan__wt_glc__1,0.3125866103,5.3939050275,6.7820852495
minspan__wt_glc__2,-0.1478941877,5.8922185148,6.7425132922
minspan__wt_glc__3,-0.3658833573,5.7992983696,6.7893069905
minspan__wt_glc__4,-0.19710331820000002,5.8503402447,6.5066142488
minspan__wt_glc_anaero__1,0.6310438586,5.7093619453,6.8969985627
minspan__wt_glc_anaero__2,0.4021847664,5.97827078,6.5756137141
minspan__wt_trp__1,3.6927988157,7.1938371516,7.3940186125
minspan__bw_delcra_glc__1,3.0441013523,6.5823303995,7.2017138841
minspan__bw_delcra_glc__2,3.0603539314,6.7010650194,7.0662686622
minspan__bw_delcra_trp__1,3.4212496414,6.6784467883000005,7.1998762543
minspan__bw_delmntr__1,3.3243094605,6.730049018,7.1826046973
minspan__bw_delnac_ade__1,-2.6262560835,6.0309145627,7.2980474241
minspan__bw_delnac_glc__1,-0.8626836091000001,5.7949172358,6.809074489
cra_crp__wt_ac__1,4.1110669809000004,7.5470141973,7.5266207179
cra_crp__wt_ac__2,4.8804473582,7.6241871789,7.5403924397
cra_crp__wt_fru__1,3.9918814757,7.1088172451,7.5463949793000005
cra_crp__wt_fru__2,3.2155034825,7.1846835754,7.6664539683
cra_crp__delcra_ac__1,4.6944412805999995,7.2818033826,8.0587995434
cra_crp__delcra_ac__2,4.8531469694,7.5118388832,7.9301247394
cra_crp__delcra_fru__1,-0.1475322761,5.5102771525000005,7.4166085905
cra_crp__delcra_fru__2,-0.3066844435,5.6066995142,7.5696490856
cra_crp__delcra_glc__1,0.8626992918,5.6015246637,7.4469980011
cra_crp__delcra_glc__2,0.9115131911000001,5.6173567042,7.328335683
rpoB__wt_031__1,3.8851818746,7.3829597853,7.4230999817
rpoB__wt_044__1,0.8056845541000001,5.6923417169,7.1732044031
rpoB__wt_lb__1,8.4447726923,7.9842688991,7.0301322162
rpoB__wt_lb__2,7.8942531939,7.9758093557,7.0266157334
rpoB__rpoBE546V_031__1,2.2506789027,6.8300899014,7.5048966156
rpoB__rpoBE546V_044__1,2.2620353414,6.0737487647,7.2266334023
rpoB__rpoBE546V_lb__1,6.4495518739,7.2512299692,6.8660092529
rpoB__rpoBE546V_lb__2,5.7606504115,7.2551243122999995,7.1807679577
rpoB__rpoBE546V_glc__1,-0.3739220056,5.105148628,7.0356282276
rpoB__rpoBE672K_glc__1,1.9366030972,5.5655287976,6.8121748046
rpoB__rpoBE672K_glc__2,0.8689678275,5.223802264,7.05152734
rpoB__rpoBE672K_lb__1,5.5163845263999995,6.0709740545,7.1435606517
rpoB__rpoBE672K_lb__2,6.7060053406,5.8254557043,6.9997700551
crp__wt_fru__1,2.1746542887,6.7089853899000005,7.1220662968
crp__wt_glyc__1,3.6466555138,7.0314961727,6.9831508693
crp__wt_glyc__2,3.2909899298,7.0518955218,7.0557327669
crp__delar1_glyc__1,2.1561066706,6.5124632512,8.59237783
crp__delar1_glyc__2,2.9092129648,6.8153706352,8.5270218735
crp__delar1ar2_glyc__1,0.3514701528,6.0061334193,7.5963963072
crp__delar1ar2_glyc__2,0.0973407879,5.8952944205,7.7087098738
crp__delar1ar2_glyc__3,-0.6568166428000001,6.0023947269,7.6763446522
crp__delar2_glyc__1,6.7681615901,7.4702003573999995,7.6609488365
crp__delar2_glyc__2,7.0363642866,7.5962197578,7.7161161547
crp__delar2_glyc__3,6.6229412171,7.5229112299,7.821093691
crp__delcrp_fru__1,-0.5753892459000001,5.8265008416,7.4884853445
crp__delcrp_fru__2,0.10877733390000001,5.5920909036,7.4799114958
crp__delcrp_fru__3,-0.6460203055,5.696439914,7.4990256493
crp__delcrp_glc__1,0.0460756994,5.6741378388,7.5552639094
crp__delcrp_glc__2,-0.2763777766,5.6127517023,7.5156385208
crp__delcrp_glc__3,-1.3685344656,5.7350796575,7.6462356208
crp__delcrp_glyc__1,0.7366198817,5.2932443813,7.519729259
crp__delcrp_glyc__2,0.7128995871,5.7880256624,7.5946660134
crp__delcrp_glyc__3,0.4305351515,5.7257750094,7.5714603693
glu__glu_ale3__1,5.3233135659,6.3250495706,8.7698260541
glu__glu_ale4__1,2.0472765315,5.5926406032,7.1247217611
glu__glu_ale5__1,3.906453494,5.5350974834,7.0418892008
glu__glu_ale6__1,2.714932769,4.857935162,6.9969028191
glu__glu_ale8__1,5.4855441731,6.6875329016,8.8037366063
glu__glu_ale9__1,3.3157320919,5.6994805222,8.4918068924
glu__glu_ale10__1,3.4811834488,6.0233428942,8.5648401156
42c__wt_42c__1,2.7836453598,6.3346511981999996,7.4289284655
42c__42c_ale1__1,6.7486620096,6.9541462386,8.0054630412
42c__42c_ale2__1,2.0528745969,6.0681188179,7.8087020791
42c__42c_ale3__1,0.9025111255,5.8813105085,7.389615909
42c__42c_ale4__1,3.8192493387,6.0348009447,9.0689097895
42c__42c_ale5__1,1.3470708816,5.8735511796,7.1154490512
42c__42c_ale6__1,6.0107312998,6.5670255874,8.1074216637
42c__42c_ale8__1,2.6740344982,6.3769981758,9.2426667128
42c__42c_ale9__1,0.8233578085000001,6.343411242,7.358219869
42c__42c_ale10__1,4.5226066633,6.4038784922,8.9004174253
ssw__wt_ac__1,3.5241876792999998,6.8824490289,7.5579314486
ssw__wt_glc__1,-0.7665434294,5.6686050507,7.2070077462
ssw__wt_glyc__1,7.2363637871,6.8462815619,8.0142212395
ssw__wt_xyl__1,3.2488119375,5.9598262274,8.1116726028
ssw__glc_ale1__1,1.5133217582,5.8934119325,7.4457802099
ssw__glc_ale2__1,3.3146949962,5.8155892012,8.1291003068
ssw__glc_ale3__1,2.6701756619,5.8959187149000005,7.7568798459
ssw__glyc_ale1__1,5.7346879417,6.7585801758,7.9148416711
ssw__glyc_ale2__1,6.2849132578999996,6.6628728902,7.7012616488
ssw__xyl_ale1__1,3.447434168,6.3734351818,7.7537184768
ssw__xyl_ale2__1,4.8007829904,6.7450507831,7.6171978191
ssw__xyl_ale3__1,6.0387178819,6.2445229958,7.7450540065
ssw__glc_ac_ac2__1,2.6772515589,6.8923826295,7.3933806037
ssw__glc_ac_glc1__1,0.0919792373,5.8889460549,8.1238456177
ssw__glc_ac_glc2__1,5.7238885534,6.1401744569,7.3841976437
ssw__glc_glyc_glc__1,3.5312042596,6.1054329639,8.2012184729
ssw__glc_glyc_glyc__1,5.4994241792,6.6345174834,7.9379891046
ssw__glc_xyl_glc__1,2.8579937656,5.7524459351,7.5928127377
ssw__glc_xyl_xyl__1,3.2621011907,6.1610769758,6.9482842173
pgi__glu4_delpgi__1,1.3932911510000001,6.442137325,7.7363572207
pgi__pgi_ale1__1,0.5082366859,5.841075308,7.1354354732
pgi__pgi_ale2__1,0.5338974364,6.4767355928,7.6297186843
pgi__pgi_ale3__1,-0.0896232902,5.9229852627,7.1781433263
pgi__pgi_ale5__1,-0.0461855246,6.1436571662,7.4646644381
pgi__pgi_ale6__1,-0.9588686929,6.0611860487,7.2960021398
pgi__pgi_ale7__1,1.2862251417000001,6.2396393284,7.4813607809
pgi__pgi_ale8__1,-1.3648411545,5.9320285981000005,7.514655523
ica__wt_glc__1,1.4699456612000001,5.7703860477,7.3543083221
ica__wt_glc__2,1.535851477,5.6877461634,7.4741087413
ica__wt_glc__3,-0.0596303013,5.8677288705,7.3173964826
ica__wt_glc__4,-0.0433832356,6.1071421738,7.4779006252
ica__arg_sbt__1,5.3267742268,6.9288922443,7.605540259
ica__arg_sbt__2,4.1606470406,7.1878011252,7.9328315154
ica__cytd_rib__1,8.3903028929,7.9903529781,7.6493282818
ica__cytd_rib__2,8.122561341800001,7.9298655638,7.6744057462
ica__gth__1,-0.6561113218,5.650918912,7.9141292486
ica__gth__2,-0.2384074876,5.2404900976,7.685648787
ica__leu_glcr__1,1.9396430307,6.4708819748,7.3860749246
ica__leu_glcr__2,1.6268066501,6.4578772001,7.1918785878
ica__met_glc__1,0.4825852739,5.5691249232,7.189844925
ica__met_glc__2,0.5834031252,5.3591104208,7.1576331403
ica__no3_anaero__1,-0.6443624668,5.6760502252,7.5100788142
ica__no3_anaero__2,-1.0200650002,5.76940163,7.6292898000000005
ica__phe_acgam__1,0.5264884209,5.941392517,7.2872098084
ica__phe_acgam__2,1.0329896057,5.928720394,7.2967970776
ica__thm_gal__1,3.9859552956,6.9276712304,7.481325411
ica__thm_gal__2,4.0215792886,6.9229598429,7.3249944756
ica__tyr_glcn__1,2.0063069792,5.8822366372,7.2175361213
ica__tyr_glcn__2,1.7248629822,6.0097648219,7.2543999394
ica__ura_pyr__1,1.1271687687,6.9605758374,7.4179030452
ica__ura_pyr__2,2.4498178165,7.6419482438,7.201101648
ica__wt_glc__5,0.7097908089,5.8608986401,7.4566298156
ica__wt_glc__6,0.9194129986,6.038007107,7.347794109
ica__bw_delpurR_cytd__1,0.9978973445,5.6602532142,7.4149361241000005
ica__bw_delpurR_cytd__2,1.9085827456,5.5633054643,7.5710932797
ica__ade_glc__1,-0.6499150811000001,6.3413811512,7.8337707802
ica__ade_glc__2,-0.7090865274,6.3692610664,7.6856338566
ytf__wt_glc__1,1.5658265681999999,5.9891301765,8.425485417400001
ytf__wt_glc__2,1.1368643329,6.7003307577,8.6579780688
ytf__delyafC__1,3.6937690638,6.5292136553999995,8.0499894367
ytf__delyafC__2,3.826386381,6.7116492497,8.1303011562
ytf__delyeiE__1,2.128361148,6.2957139215,7.8276117785
ytf__delyeiE__2,2.2174400398,6.1607974413,7.7118470653
ytf__delyiaJ__1,2.5942232982,6.6524307509,8.1535485599
ytf__delyiaJ__2,3.0272747901,6.5077982431,8.3338798151
ytf__delyieP__1,1.5921114079,6.8303053121,8.3002820307
ytf__delyieP__2,1.4018934386000002,6.4657370515,8.4500625305
ytf__wt_ph5__1,0.2130638572,5.9136779746,7.6965383836
ytf__wt_ph5__2,-0.15785005970000002,5.9312464195,7.7672633489
ytf__wt_ph8__1,1.1873920826,6.1202404539,7.9338362206
ytf__wt_ph8__2,1.1977508317,6.1147917118,7.9189793351
ytf__delybaO__1,4.3236247113,7.0849804516,8.1170273538
ytf__delybaO__2,4.0141765652,7.4131172058,8.1955019869
ytf__delybaQ__1,0.0741108992,5.5962282723,7.4776064719
ytf__delybaQ__2,-0.07706092020000001,5.8662639156,7.4464656267
ytf__delybiH__1,1.8613123595,6.3413879543,8.9339472478
ytf__delybiH__2,2.2670121195,6.7402948941,8.8599838154
ytf__delydcI_ph5__1,-0.48546529110000003,5.5970613387,7.5293715894
ytf__delydcI_ph5__2,0.2929366959,5.6985475354,7.5454287953
ytf__delydcI_ph8__1,1.0309074864,6.0074814648,8.0424252799
ytf__delydcI_ph8__2,0.9779867154,6.0565331733,7.8907952088
ytf__delyddM__1,0.288012706,5.9485214459,7.7157780614
ytf__delyddM__2,0.2945187869,5.9837129835,7.7017619906
ytf__delyheO__1,4.3393783822,6.7317710979,7.8603447707
ytf__delyheO__2,4.5393380830000005,7.2192378282,8.1449432339
fps__bw_glc__1,-0.2976364285,6.0174358912,7.8657123648
fps__bw_glc__2,0.4151693134,5.8971239809,7.8005808172
fps__fps_thrA_ale1__1,-0.7572305502000001,6.2739901011,7.8955035215
fps__fps_thrA_ale1__2,-0.4463208906,6.4547512999,7.8143555246
fps__fps_thrA_ale2__1,-0.6573792259,6.2979062735,7.6434389023
fps__fps_thrA_ale2__2,-0.1994060641,6.3575152332,7.8082074275
fps__fps_serB_ale1__1,-0.4795375291,6.3022025518,7.7787152934
fps__fps_serB_ale1__2,-0.4827442317,6.1456503943,7.7983561743
fps__fps_serB_ale4__1,-1.2154838326,6.5089681004,8.1841652511
fps__fps_serB_ale4__2,-0.8014447006000001,6.084426897,8.2884071462
fps__fps_ptsI_ale1__1,3.1501092907,7.8241697882,7.7363152526
fps__fps_ptsI_ale1__2,3.6651969121,7.6592857469,7.6972089439
fps__fps_ptsI_ale3__1,2.6866428442,7.3270168166000005,7.6348085481
fps__fps_ptsI_ale3__2,3.1215497013,7.2612621307,7.6816413847
pal__lyx_ale2_f6__1,5.8346253126,7.5956007508,7.7653765674
pal__lyx_ale2__1,7.7761746752,7.0492814155,7.1893156607
pal__lyx_ale2__2,7.4695273716,6.8511216424,7.0242673441
pal__lyx_ale4__1,7.7761746752,7.0492814155,7.1893156607
pal__lyx_ale4__2,7.4695273716,6.8511216424,7.0242673441
pal__5drib_ale10_f18__1,9.0325963818,8.202123398,8.1089606986
pal__5drib_ale10_f18__2,9.0317307072,8.0172686541,8.0914960593
pal__5drib_ale10__1,8.5105991261,8.0313368602,7.6483020522
pal__arab_ale14_f9__1,30.4168664074,7.7554112074,8.9662365582
pal__arab_ale14_f9__2,31.1621337619,7.7355442567,9.0871171828
pal__arab_ale14__1,23.8603371927,7.4240511713,7.6858835075
pal__arab_ale14__2,24.1013775255,7.2289612529,7.8876527544
pal__arab_ale16__1,22.2840879653,10.2270986457,7.9438619012
pal__arab_ale16__2,22.9100201798,10.1877102554,8.2919826489
pal__tartr_ale26_f10__1,7.1792567537,7.6868963761,7.3228523318
pal__tartr_ale26_f10__2,7.4277479361,7.6416788655,7.4242011686
pal__tartr_ale26__1,5.0832271581,7.3915963343,7.1977610913
pal__tartr_ale26__2,4.6657724945,7.4017662393,7.1418249779
pal__tartr_ale28_f10__1,4.2456158121,7.1814052382,7.4844448025
pal__tartr_ale28_f10__2,3.550207696,7.3891391515,7.5681242511
pal__tartr_ale28__1,5.2350566614,6.8590385258,7.561461976
pal__tartr_ale28__2,4.1277839872,7.1849704583,7.7498910931000005
efeU__delmenFentC_citr__1,0.8200752292,5.6839856576,7.5646514479
efeU__delmenFentC_citr__2,1.0840813891,5.7715907825,8.0048366224
efeU__delmenFentC__1,0.12311422770000001,5.5321284369,8.119661313
efeU__delmenFentC__2,0.48541128310000003,5.4813579081,8.1576685151
efeU__menFentC_ale39__1,4.1064590376,6.3221933892,8.1875231408
efeU__menFentC_ale39__2,4.6582035647,6.3450014705,8.0685117989
efeU__menFentC_ale29__1,4.6276937088,5.7752567966,8.6845105094
efeU__menFentC_ale29__2,5.0957315096,5.6789128962,8.7883340512
efeU__menFentC_ale30__1,1.8450534991,5.5093969151,7.3074420391
efeU__menFentC_ale30__2,1.5072966654000002,5.3539684366,7.333016108
efeU__menFentCubiC_ale36__1,0.8842972152,6.1336671717,7.3504871494
efeU__menFentCubiC_ale36__2,0.47206039310000003,5.8767024748,7.4631403877
efeU__menFentCubiC_ale37__1,-0.2673849748,6.0539792757,7.5813026769
efeU__menFentCubiC_ale37__2,-0.3245276125,6.1762461378,7.6118622794
efeU__menFentCubiC_ale38__1,0.33034262200000003,5.6796793469,7.6577227743
efeU__menFentCubiC_ale38__2,1.1612822622,5.315716191,7.4742286079
