,A,GlpR
abx_mega__tec_h2o__2,0.2645712013,0.6474896581
abx_mega__h2o-7__1,1.9781719654,0.3843735019
abx_mega__cro_h2o__1,1.5306279888,0.0456244218
abx_mega__tric_ethanol__1,1.4388772942,1.0590042532
abx_mega__nor_naoh__1,0.4933622657,-0.4027991691
abx_mega__teix_dmso__2,0.3261246098,-0.1395617891
abx_mega__nal_naoh__3,0.1079506763,-0.28898671740000004
abx_mega__novo_h2o__2,1.0359840244,-0.3632117656
abx_mega__dmso-10__2,0.9268069578,0.6863330188
abx_mega__phos_h2o__3,0.8946047536,-0.23781189300000002
abx_mega__dmso-6__2,1.3321678879,0.0057735873
abx_mega__rfp_ethanol__1,-0.4676479153,1.2574894709
abx_mega__dmso-5__3,0.7793905504,0.0910719667
abx_mega__amyc-d_dmso__1,-0.2982736549,-0.28029715980000003
abx_mega__sxt_dmso__1,1.2833722376,0.47646866930000004
abx_mega__dmso-1__1,0.0203678133,0.17498785900000002
abx_mega__pen_h2o__1,-0.9049491698000001,-0.7575835712
abx_mega__dmso-10__3,1.1036228099,0.8368552632
abx_mega__nal_naoh__4,-0.0749959337,0.1377039071
abx_mega__cip_naoh__1,-0.0707561937,0.1874182943
abx_mega__pen_h2o__2,-0.9072027244,-0.7329921663000001
abx_mega__ery_dmso__2,0.8245857374000001,0.24223317530000002
abx_mega__dmso-2__2,1.5597779178,1.2932576179
abx_mega__van_dmso__2,-0.9297782587000001,0.0311288534
abx_mega__h2o-1b__1,0.8034557161,0.5184137475
abx_mega__ery_h2o__1,-0.46181344830000004,0.43586877620000003
abx_mega__bacit_h2o__1,-3.4900280264,1.0603004082
abx_mega__chl_h2o__2,-0.48959775510000003,1.0911690981
abx_mega__str_h2o__2,1.1039149208,0.7141603337
abx_mega__rfp_ethanol__2,0.4832255466,1.4972966732000001
abx_mega__polmyx_h2o__2,0.4018918383,-0.4249386651
abx_mega__tric_h2o__1,0.9677906757,1.4673985816
abx_mega__cip_naoh__2,0.42821429240000003,-0.013927460800000001
abx_mega__novo_h2o__3,0.6202135038000001,-0.1169262091
abx_mega__bacit_dmso__1,-0.27156712180000003,-0.6053134862
abx_mega__gen_h2o__1,-1.4905949891999999,0.749641812
abx_mega__bacit_dmso__2,-1.3683501459,-0.0332482002
abx_mega__chl_dmso__1,-0.4348695831,0.4352469963
abx_mega__bacit_h2o__2,-0.2698750542,0.4739569536
abx_mega__lvx_dmso__1,0.5477925047000001,0.14365891
abx_mega__bacit_h2o__3,-2.8471886765,1.208452655
abx_mega__nor_naoh__2,0.5549391355000001,-0.07059535980000001
abx_mega__amyc-d_dmso__2,-0.7572347604,-0.32727057730000003
abx_mega__polmyx_h2o__3,1.3882090267,1.6288651164
abx_mega__naoh-6__1,0.25812301990000003,0.1686229549
abx_mega__cst_h2o__2,-0.6518512409,0.2560462532
abx_mega__h2o-1b__2,0.39171628010000004,1.3320547032
abx_mega__rfp_h2o__1,-1.1288838199,0.6006502248000001
abx_mega__tet_h2o__1,-0.6446356059,-0.1303423057
abx_mega__flavo_dmso__1,1.4787518767,0.1012364556
abx_mega__zeocin_h2o__1,0.9540785419000001,0.5197858676
abx_mega__nor_naoh__3,0.1647362746,-0.4279908764
abx_mega__rach_dmso__2,2.1301090408,0.40413293800000005
abx_mega__thio_dmso__2,-3.5211637356,1.219870689
abx_mega__amyc-d_dmso__3,0.4339743748,-1.1570881889
abx_mega__rif_dmso__2,-0.1883219436,0.0467286705
abx_mega__amyc-d_dmso__4,-1.3205555132,-0.4752726404
abx_mega__teix_dmso__3,0.6155888133,-0.0368007567
abx_mega__valin_dmso__1,-1.3551823907,0.2428086939
abx_mega__teix_dmso__4,1.0976283706,-0.3817830701
abx_mega__ethanol-10__1,0.7513625715000001,0.802299568
abx_mega__inh_h2o__1,1.0196487599,0.0788576985
abx_mega__rif_dmso__3,-2.7933973568,0.12417388530000001
abx_mega__van_dmso__3,-1.2148144015,-0.4020370499
abx_mega__doxo_dmso__1,0.0763170047,-0.7811962725
abx_mega__tmp_dmso__1,0.7972889193,-0.6284468178
abx_mega__ethanol-10__2,-0.8512469811000001,0.269444843
abx_mega__tmp_dmso__2,0.8761872008,-0.9639856759000001
abx_mega__amyc-d_dmso__5,-0.9498036740000001,-1.5975095856000001
abx_mega__novo_h2o__4,0.1293788626,0.7584927218
abx_mega__cro_h2o__2,1.7426831678,-0.0713516862
abx_mega__cro_h2o__3,1.4274355726,-0.22102076680000002
abx_mega__gen_h2o__2,-1.7641012888,0.6261494053000001
abx_mega__phos_h2o__4,1.0093711247,0.7712322625
abx_mega__metro_dmso__2,0.9306729881,0.7772330127
abx_mega__ery_h2o__2,-1.3514973028,0.6591668838
abx_mega__sacet_h2o__1,-1.7193650664,1.2589765829
abx_mega__nal_naoh__5,0.1763237857,-0.3643582865
abx_mega__bacit_h2o__4,-0.7335008009,0.38409224410000004
abx_mega__cip_naoh__3,-0.5382201560000001,0.0723503601
abx_mega__ethanol-8__1,1.169701651,-0.2408909699
abx_mega__h2o-8a__1,-1.4895942151,0.4617013404
abx_mega__ery_h2o__3,0.7002725185,0.4124772131
abx_mega__flavo_dmso__2,1.2728558001999999,0.2142434594
abx_mega__rif_dmso__4,-1.9916044544,0.3402527181
abx_mega__novo_h2o__5,1.9850693144,0.06984753960000001
abx_mega__teix_dmso__5,1.3302222716,0.2521916021
abx_mega__naoh-2__1,1.2322120621,0.775365052
abx_mega__novo_h2o__6,1.6646237275,0.2856664531
abx_mega__ctx_h2o__3,1.2058602241,0.07016871200000001
abx_mega__rach_dmso__3,1.5900800065,0.41854611950000004
abx_mega__valin_dmso__2,0.3314509083,0.3305476677
abx_mega__amyc-d_dmso__6,-4.3614247718,-0.0566254348
abx_mega__dox_dmso__2,2.0747272523,-0.0844810431
abx_mega__teix_dmso__6,1.3611194755,0.0361136012
abx_mega__naoh-6__2,0.9161318783,-0.0257711891
abx_mega__inh_h2o__2,-1.3662490056,0.6417868002
abx_mega__chl_h2o__3,-1.9754701822,1.3082458912
abx_mega__nal_naoh__6,-0.2923269215,-0.3241820802
abx_mega__chl_dmso__2,-0.26450263900000004,0.7859634851
abx_mega__rach_dmso__4,3.0453062077,0.5408793230000001
abx_mega__teix_dmso__7,1.1927289424,0.3941755121
abx_mega__ceru_ethanol__1,0.563010295,0.9855765158
abx_mega__dmso-7__1,2.0465434184,0.025238100200000002
abx_mega__naoh-6__3,0.7564800001,-0.028639254700000002
abx_mega__phos_ethanol__2,1.1489267759,0.7143571511
abx_mega__metro_dmso__3,1.3700917878,0.9189118695
abx_mega__van_dmso__4,-0.36031505620000004,-0.9970581317
abx_mega__h2o-10__1,-0.543027275,0.6406960137000001
abx_mega__h2o-10__2,-0.1572389092,0.6474593733
abx_mega__dmso-6__3,1.5808956837,0.1678605706
abx_mega__mem_dmso__1,0.8167326516000001,-0.5328703161
abx_mega__ethanol-8__2,-0.0513527877,-0.2367675992
abx_mega__chl_h2o__4,-2.6442301579,1.0129856607
abx_mega__van_h2o__1,-0.48846209630000004,-0.0116143999
abx_mega__dcs_h2o__1,0.5733200855,0.9012920221
abx_mega__rif_dmso__5,-0.2653812031,-0.0002007761
abx_mega__dox_dmso__3,0.8527939967,0.8627443665000001
abx_mega__mem_dmso__2,0.2994748778,-0.1557960072
abx_mega__lvx_dmso__2,-0.5114346533,0.0816921399
abx_mega__tet_h2o__2,-1.3697454959,1.9844306867000001
abx_mega__phos_h2o__5,1.0691467933,0.8359848098
abx_mega__monac_dmso__1,-2.4832116071,0.47827889160000003
abx_mega__str_h2o__3,0.3681945391,0.24867078890000002
abx_mega__zeocin_h2o__2,1.5703629549,0.1516771371
abx_mega__amyc-d_dmso__7,-3.6257612819,-0.2153621611
abx_mega__fidax_dmso__1,0.62456741,0.28868355360000003
abx_mega__h2o-1a__1,0.23905732870000002,-0.1222185248
abx_mega__dox_dmso__4,1.4126414398,-0.09356300220000001
abx_mega__lzd_dmso__2,-3.3226900066000002,1.1914476081
abx_mega__tet_h2o__3,-0.9960449516000001,-0.025828327300000002
abx_mega__dmso-1__2,-0.2811669437,0.1751293049
abx_mega__sxt_dmso__2,0.3049668386,0.4955491737
abx_mega__tric_ethanol__2,2.1438166768,0.645926482
abx_mega__teix_dmso__8,0.6341280426,-0.2956232441
abx_mega__ramo_h2o__2,0.5264978623000001,0.4845154884
abx_mega__inh_h2o__3,1.083950114,0.4472577954
abx_mega__cst_h2o__3,-0.2628390544,0.6332133653
abx_mega__dmso-9__1,-0.1768612977,0.2948578202
abx_mega__ethanol-8__3,0.5317202804,-0.440991717
abx_mega__monac_dmso__2,-1.676080534,0.3509323259
abx_mega__dmso-9__2,0.47966153520000004,0.2425039572
abx_mega__metro_dmso__4,1.2371849327,-0.057470036
abx_mega__ctx_h2o__4,1.2714888866,0.2883534354
abx_mega__zeocin_h2o__3,0.8375316589,0.8672738502
abx_mega__bacit_h2o__5,-0.7460649818,0.4092234148
abx_mega__reta_dmso__1,-2.3891639499,0.9759926518
abx_mega__ery_h2o__4,-0.8751456062,1.8083675888
abx_mega__ceru_ethanol__2,-2.5084137971000002,1.7981071605999999
abx_mega__fidax_dmso__2,0.6637810901,0.0121872458
abx_mega__novo_dmso__1,0.8517559090000001,1.1288048337
abx_mega__naoh-6__4,0.8593355783000001,-0.1726593917
abx_mega__amyc-d_dmso__8,-0.1907858835,-0.2422109667
abx_mega__chl_dmso__3,0.19577018240000002,1.0525893658
abx_mega__nal_naoh__7,0.55011952,-0.0054421323
abx_mega__teix_dmso__9,1.067101678,0.3564167096
abx_mega__ery_dmso__3,1.2361198507,0.3232264996
abx_mega__tmp_dmso__3,0.4058441823,-0.15622125650000002
abx_mega__sxt_dmso__3,1.6523583780000002,0.6320751797
abx_mega__polmyx_h2o__4,0.7697910237000001,1.2477418155
abx_mega__mem_dmso__3,-0.3511584762,0.1041004368
abx_mega__nal_naoh__8,0.6692362327,0.2585396752
abx_mega__pen_h2o__3,0.9610060228,-0.2163661103
abx_mega__van_dmso__5,-1.3904360913,-0.8449565358000001
abx_mega__zeocin_h2o__4,2.4980316401,0.4568799991
abx_mega__h2o-6__2,0.38208102400000005,-0.21955369730000002
abx_mega__tet_h2o__4,-0.6308380625000001,-0.0160381152
abx_mega__nor_naoh__4,0.2093157313,0.4452031415
abx_mega__cip_naoh__4,1.1180269713,0.2025151711
abx_mega__tmp_dmso__4,1.8186155086,0.182858386
abx_mega__reta_dmso__2,0.2049471578,0.989604291
abx_mega__mem_dmso__4,1.8013877575000001,0.040164691100000004
abx_mega__dox_dmso__5,-0.09205630540000001,1.3902811326
abx_mega__tmp_dmso__5,0.25520684600000004,0.9287693972000001
abx_mega__flavo_dmso__3,1.8920391345,0.4185955109
abx_mega__tmp_dmso__6,1.6743035563,0.2074208471
abx_mega__ceru_ethanol__3,-0.4248810986,1.3998177279
abx_mega__teix_dmso__10,-0.1970068821,-0.3941558873
abx_mega__novo_h2o__7,1.0808040161,-0.2594927359
abx_mega__fidax_dmso__3,-0.5924430279,0.2639460914
abx_mega__h2o-1a__2,0.1554148532,0.1892447093
abx_mega__dcs_h2o__2,-1.1193637666,0.0942920612
abx_mega__cst_h2o__4,-0.9537998953000001,0.1651177728
abx_mega__van_h2o__2,0.523907733,0.1844871803
abx_mega__pen_h2o__4,1.7375607073000001,-0.1335232724
abx_mega__h2o-8b__2,1.1910821884,-0.2709292739
abx_mega__reta_dmso__3,2.2784500429,0.7701823387000001
abx_mega__dmso-7__2,2.5047265597,0.29446394260000003
abx_mega__rfp_h2o__2,-1.2337210342,0.2343447481
abx_mega__rif_dmso__6,-1.4868057035,0.4807199062
abx_mega__sxt_dmso__4,2.2201659752,0.5778894965
abx_mega__cip_naoh__5,0.5420901941,-0.3801754228
abx_mega__dmso-9__3,0.40943348690000003,0.18230772750000002
abx_mega__mem_dmso__5,0.9274176838,-0.1291617048
abx_mega__tric_h2o__2,1.2800165628,1.6436211672
abx_mega__phos_h2o__6,0.8341804392000001,-0.4929165681
abx_mega__h2o-7__2,1.7525307589999999,0.1188415255
abx_mega__h2o-10__3,0.8086179792,0.5435781715
abx_mega__h2o-8a__2,-1.8408918934,-0.1199022971
abx_mega__thio_dmso__3,2.0218046773,0.6543925067
abx_mega__lzd_dmso__3,2.0222527108,-0.1534232728
abx_mega__monac_dmso__3,-2.2289852399,-0.3767456562
abx_mega__polmyx_h2o__5,1.1429075795,1.2203411369000001
abx_mega__naoh-6__5,0.5570683292,0.485040236
abx_mega__teix_dmso__11,0.5922784402,-0.2294133701
abx_mega__van_h2o__3,0.1089288052,-0.06681934290000001
abx_mega__teix_dmso__12,0.979133468,0.5360620494
abx_mega__dox_dmso__6,2.0480922308,1.4132767647
abx_mega__teix_dmso__13,2.1760903802,0.338363124
abx_mega__h2o-7__3,1.7869889444,0.0671889881
abx_mega__str_h2o__4,0.2490404312,0.4808550143
abx_mega__tec_h2o__3,-0.7702132332,1.3763690691
abx_mega__phos_h2o__7,0.7170586228,-0.2448800384
abx_mega__chl_h2o__5,-1.8849518958,0.5994554986
abx_mega__polmyx_h2o__6,1.76327827,1.3080019231
abx_mega__teix_dmso__14,0.5889961451,-0.3493429954
abx_mega__rif_dmso__7,-0.7422421506,0.4689387256
abx_mega__ramo_h2o__3,-1.1010561424,-0.0379544677
abx_mega__fidax_dmso__4,-0.2933086628,0.016328212800000002
abx_mega__teix_dmso__15,0.6981090546000001,0.476224947
abx_mega__thio_dmso__4,1.2665116094,0.1610568762
abx_mega__rif_dmso__8,-2.1315077839,0.0381481216
abx_mega__reta_dmso__4,0.2393111466,1.1804927827
abx_mega__inh_h2o__4,-3.295093365,1.3723443356
abx_mega__novo_dmso__2,0.3376750048,0.6131851971
abx_mega__dcs_h2o__3,0.09110097830000001,0.28111391950000003
abx_mega__h2o-8b__3,1.487003363,-0.08443750380000001
abx_mega__valin_dmso__3,-1.1510188563,0.1375643788
abx_mega__h2o-2__1,2.0713313988,0.9054547692
abx_mega__cro_h2o__4,0.3401861087,-0.0943477642
abx_mega__dcs_h2o__4,1.1762466642,0.998063447
abx_mega__str_h2o__5,0.5154074981,0.2981185041
abx_mega__h2o-8a__3,-1.2087786594,0.0337147038
abx_mega__dox_dmso__7,1.5110445171,-0.0704043644
abx_mega__doxo_dmso__2,-0.1015057979,-0.9102271539000001
abx_mega__teix_dmso__16,1.6474914567,0.5051486992
abx_mega__rfp_h2o__3,-1.9091414813,0.5706047147000001
abx_mega__ethanol-10__3,1.1461189124,0.27519433660000003
abx_mega__naoh-2__2,1.3318979354,1.0715131366
abx_mega__van_h2o__4,-0.6281868544,-0.2546386603
abx_mega__sacet_h2o__2,-0.6335072930000001,1.6377044631
abx_mega__monac_dmso__4,-2.4348056328,0.5150332229
abx_mega__h2o-2__2,1.3241736615,1.1492917835
abx_mega__zeocin_h2o__5,0.33486098880000004,0.6443380667
abx_mega__nor_naoh__5,-0.3341431567,0.5040255888
abx_mega__naoh-9__2,0.0592670919,0.4086114387
abx_mega__dmso-7__3,2.9481262427,0.5059871052
abx_mega__van_h2o__5,-0.34855996640000003,-0.19966318260000002
abx_mega__flavo_dmso__4,1.1772440038,0.2627010111
abx_mega__novo_dmso__3,1.2869696936000001,0.8661497810000001
abx_mega__polmyx_h2o__7,1.1501061123,0.20285163350000002
abx_mega__teix_dmso__17,0.8294353832,0.2610335848
abx_mega__doxo_dmso__3,1.0874790099,-1.3770574183
abx_mega__mem_dmso__6,-0.2696692576,0.5753976799
abx_mega__h2o-1a__3,-0.3944721819,-0.0670261845
abx_mega__bacit_dmso__3,-0.6641256749000001,0.1713789318
abx_mega__dox_dmso__8,4.3482729538000005,1.2005246315
abx_mega__teix_dmso__18,0.19621029680000002,-0.6054263966
abx_mega__h2o-6__3,1.2979423536999999,0.3987526108
abx_mega__pen_h2o__5,-1.2373023686,-0.4798315548
abx_mega__lzd_dmso__4,1.6765356556,-0.0733653039
abx_mega__daro__1,-3.9265132637,1.2476612626
abx_mega__solv__1,-3.4542320199,1.6071946678
abx_mega__daro__2,-4.1231889288,1.4498760709
abx_mega__daro__3,-4.0543177028,1.688223497
abx_mega__solv__2,-4.3811865539,1.3634623638
abx_mega__solv__3,-3.6862294961,1.5868982684000001
abx_mega__dmso-4__1,0.8582506202,0.1792818262
abx_mega__kirr_dmso__1,-0.5662177994,0.4213150604
abx_mega__kirr_dmso__2,-0.1952245252,0.6776017803000001
abx_mega__kirr_dmso__3,-0.8954736990000001,0.890624819
abx_mega__dmso-4__2,1.1501290315000001,0.39501892600000005
abx_mega__dmso-4__3,0.9128370234000001,0.0063759091
ackA_pta__dnaA46_del_ackA__1,0.2174789725,0.0357492652
ackA_pta__dnaA46_del_ackA__2,-0.4688419197,0.4000682699
ackA_pta__dnaA46_del_ackA__3,-0.2450555912,0.1871645429
ackA_pta__dnaA46_del_pta__1,-2.5340215071000003,0.5710677304
ackA_pta__dnaA46_del_pta__2,-1.5418196389,0.1283980723
ackA_pta__dnaA46_del_pta__3,-0.0037782881000000003,0.4426515902
ackA_pta__dnaA46__1,0.3117953295,-0.1483771348
ackA_pta__dnaA46__2,0.06887193230000001,-0.0510864183
ackA_pta__dnaA46__3,-0.24092320190000002,-0.1290979867
ackA_pta__del_ackA__1,0.1307494645,0.7015874950000001
ackA_pta__del_ackA__2,-2.8349734542,0.3028375444
ackA_pta__del_ackA__3,0.022387582200000002,0.4238265007
ackA_pta__del_pta__1,0.31938172340000004,-0.1470472016
ackA_pta__del_pta__2,-2.1752011632,0.19081172500000002
ackA_pta__del_pta__3,-0.1076360239,0.1237821945
ackA_pta__wt__1,0.2337513548,0.215787427
ackA_pta__wt__2,-0.20180245430000002,-0.08484061250000001
ackA_pta__wt__3,-0.0319489005,-0.1309468145
anticancer__5fu__1,0.4568720526,-0.5092994477
anticancer__5fu__2,0.1976012036,-0.7816888230000001
anticancer__cap__1,0.5087809909000001,-0.4389751726
anticancer__cap__2,0.5077766678,-0.4022343474
anticancer__cap__3,1.0341502655,-0.4251031395
anticancer__wt__1,0.032979281900000004,-0.22992722540000002
anticancer__wt__2,0.0177614026,0.1689030469
anticancer__wt__3,-0.0507406845,0.061024178500000005
anticancer__5fu__3,-0.3928149828,-0.2226610044
bio_pln__aero_pln__1,0.3432764927,0.030656007500000002
bio_pln__aero_pln__2,-0.3432764927,-0.030656007500000002
bio_pln__anaero_pln__1,1.6092810185,0.2924674471
bio_pln__anaero_pln__2,1.3199475928,0.2498363476
biocide__bzcl_12h__1,-1.6353336278000001,0.368663236
biocide__bzcl_12h__2,-1.5959543369,0.2651614484
biocide__bzcl_12h__3,-1.609903286,0.4051092099
biocide__etoh_12h__1,-2.9516678731,0.059434803300000005
biocide__etoh_12h__2,-2.8223200926,-0.0523886789
biocide__etoh_12h__3,-3.1763348132,-0.0046619472000000006
biocide__gluald_12h__1,0.3690156919,0.3923223675
biocide__gluald_12h__2,0.3599780918,0.3163049176
biocide__gluald_12h__3,-0.1374577975,0.2279233193
biocide__h2o2_12h__1,-1.0336866053,0.086274289
biocide__h2o2_12h__2,-0.5407753178,-0.3093477126
biocide__h2o2_12h__3,1.8257319119000002,0.19499653150000001
biocide__2ppoh_12h__1,-3.5413754708000003,0.2072374837
biocide__2ppoh_12h__2,-3.514934294,0.1252974494
biocide__2ppoh_12h__3,-3.1606882062,0.24033350020000002
biocide__paa_12h__1,3.4827390116,0.26546799460000003
biocide__paa_12h__2,3.1129158408,-0.2307715907
biocide__paa_12h__3,3.1706527943,0.1350947151
biocide__phe_12h__1,3.4099522497,0.23140183020000002
biocide__phe_12h__2,2.3797904883,0.2971026419
biocide__phe_12h__3,3.052936498,0.403834789
biocide__pvp-i_12h__1,3.4162777876,0.1530308927
biocide__pvp-i_12h__2,3.2808410184,0.2713732837
biocide__pvp-i_12h__3,3.0368004707,-0.023757966800000002
biocide__bleach_12h__1,2.410892671,0.2890500774
biocide__bleach_12h__2,3.1815400989000002,0.1883646693
biocide__bleach_12h__3,3.1148715908,0.22508312760000002
biocide__chx_12h__1,2.1465552558,0.2420701573
biocide__chx_12h__2,1.0018524777,0.243005511
biocide__chx_12h__3,1.061346411,-0.038158644000000005
biocide__bzcl_30m__1,-1.0236979999,0.7651676625
biocide__bzcl_30m__2,-1.6340704405,0.3012163915
biocide__bzcl_30m__3,-1.9778148055,0.4797217239
biocide__phe_30m__1,-1.8009829913000002,0.35574364550000004
biocide__phe_30m__2,-2.1299409091,0.3318362713
biocide__phe_30m__3,-2.2159557316,0.3829225061
biocide__pvp-i_30m__1,-2.3639707362999998,0.37404879160000004
biocide__pvp-i_30m__2,-1.037637867,0.2179176382
biocide__pvp-i_30m__3,-2.3332792285,0.2341412488
biocide__ctrl_12h__1,-1.6806749891,0.19014255530000002
biocide__ctrl_12h__2,-2.3488192664,0.2288278262
biocide__ctrl_12h__3,-0.9522955857000001,0.0548535966
biocide__ctrl_30m__1,0.12551210070000002,0.08426808250000001
biocide__ctrl_30m__2,-0.3735705002,-0.0270448523
biocide__ctrl_30m__3,0.2480583995,-0.057223230300000004
clpP__wt__1,-0.2612129144,-0.0543731244
clpP__wt_DPTA__1,5.0644067046,-1.3299012677
clpP__wt__2,0.4194380325,0.24916102350000002
clpP__wt_DPTA__2,5.6962718998,-1.3156498920000002
clpP__wt__3,-0.1582251181,-0.1947878991
clpP__wt_DPTA__3,6.4851911314,-0.9621136068
clpP__delclpP__1,1.1701074802,-0.2763132224
clpP__delclpP_DPTA__1,4.1577343506,-2.1664072952
clpP__delclpP__2,0.8309202311,-0.4206379471
clpP__delclpP_DPTA__2,5.5632738698,-1.1248899825
clpP__delclpP__3,0.3988089139,-0.522489156
clpP__delclpP_DPTA__3,4.6361355978,-1.7080073067
colombos2__delydcR__1,-1.8815973788,0.0028515033
colombos2__delydcR__2,0.5079557633,0.4267814217
colombos2__delydcR__3,-1.5041838154,0.2360153489
colombos2__delyjiR__1,-0.6474816775000001,-0.3125924604
colombos2__delyjiR__2,-0.279091525,0.4981717856
colombos2__delyjiR__3,0.8500225531000001,0.37822435460000003
colombos2__wt__1,0.9452204519,-0.2997327944
colombos2__wt__2,0.8238810560000001,0.052666195900000004
colombos2__wt__3,-1.769101508,0.24706659860000002
crp_k100__ar1_ar2__1,2.1217264121,1.1786714451
crp_k100__ar1_ar2__2,3.220543866,1.0420718304
crp_k100__ar1_ar2__3,3.1618018283,1.606600856
crp_k100__wt__1,0.1476678425,-0.0052140236
crp_k100__wt__2,-0.11602952920000001,-0.14889124950000002
crp_k100__wt__3,-0.0316383133,0.1541052731
crp_k100__K100Q__1,-1.1986786615,-0.6022955750000001
crp_k100__K100Q__2,-1.3514583479,-0.5363479618
crp_k100__K100R__1,0.075248306,0.0287127333
crp_k100__K100R__2,0.6346466303,0.39030429980000003
crp_k100__K100R__3,-1.0917271182,0.0369677434
csrA__wt_t00__1,0.1657625285,0.0767558171
csrA__wt_t02_30__1,-1.4315229441000001,-1.9268284755
csrA__wt_t05__1,-5.5143126671000005,-3.4475132016
csrA__wt_t10__1,-6.0969612983,-3.3408955754000003
csrA__wt_t15__1,-3.0786411053,-2.9708268144
csrA__delcsrA_t00__1,-1.1165002745,0.4831751246
csrA__delcsrA_t02_30__1,-2.3721843879,-0.4806619674
csrA__delcsrA_t05__1,-3.3328888506,-1.8173134722
csrA__delcsrA_t10__1,-3.9241004016,-1.8518629807
csrA__delcsrA_t15__1,-2.8950558991,-1.3071778248
csrA__wt_t00__2,-0.1657625285,-0.0767558171
csrA__wt_t02_30__2,-1.3481981667,-1.7244225666
csrA__wt_t05__2,-5.7893077219,-3.4294535559
csrA__wt_t10__2,-6.2884172385,-3.1147028428
csrA__wt_t15__2,-3.8477632466,-2.3727905317
csrA__delcsrA_t00__2,-1.6690843342,0.4758754396
csrA__delcsrA_t02_30__2,-1.1670743545,-0.5444435863
csrA__delcsrA_t05__2,-4.3061127481,-1.6758290330999999
csrA__delcsrA_t10__2,-2.802157766,-1.9815793911
csrA__delcsrA_t15__2,-1.806600074,-1.0055534497
cstr_pfr__str_0005m__1,-0.2057142788,0.1772489693
cstr_pfr__str_0010m__1,-0.1831278353,-0.1356811595
cstr_pfr__str_0025m__1,0.13562140620000002,0.023820629000000003
cstr_pfr__str_0045m__1,0.4328969084,0.0469632221
cstr_pfr__str_0075m__1,0.2661473978,-0.13778445620000002
cstr_pfr__str_0120m__1,0.2621728356,-0.1386775709
cstr_pfr__str_0210m__1,-0.0057000372,-0.1000728513
cstr_pfr__str_0330m__1,0.5413776175,0.0504766201
cstr_pfr__str_1500m__1,0.636054888,0.0321203723
cstr_pfr__str_1560m__1,-0.0483294125,-0.0766800358
cstr_pfr__str_1680m__1,-0.2807891946,-0.1250696217
cstr_pfr__str_ref1__1,-0.0878707277,-0.0703591491
cstr_pfr__str_ref2__1,0.0067104108,-0.06173021100000001
