,b2818
SRX5694459,-0.6278136527
SRX5694460,0.0549760922
SRX5694461,-0.26190412760000004
SRX5694462,-1.0202775291
SRX5694463,-0.1942404366
SRX5694464,-1.1618881084
SRX5694465,-0.845309485
SRX5694466,0.10988892280000001
SRX5694467,-0.7025392337
SRX5694468,-0.747872716
SRX5694469,-0.5598960209
SRX5694470,0.2250836511
SRX5694471,-1.3096198413
SRX5694472,-0.3342446479
SRX5694474,0.1201520254
SRX5694475,-0.43445290200000003
SRX5694476,-0.5359155346
SRX5694477,-0.3765262743
SRX5694478,-0.16879297470000001
SRX5694479,0.8806196444000001
SRX5694480,1.2746557048
SRX5694481,-0.5263037308
SRX5694482,-0.24262458450000002
SRX5694483,-0.46624802120000003
SRX5694484,-0.43015159480000004
SRX5694485,0.32374784
SRX5694486,-0.3542318772
SRX5694487,-0.5229148936
SRX5694488,-0.4102045069
SRX5694489,-0.16413095390000002
SRX5694491,-0.6372483235
SRX5694492,-0.1618213833
SRX5694493,-0.0712954211
SRX5694494,-0.171208779
SRX5694495,-0.1683820165
SRX5694496,-0.2282164167
SRX5694497,-0.5817403367
SRX5694498,-0.6281770508
SRX5694499,0.0736927076
SRX5694500,-0.2236149456
SRX5694501,-0.6187300648
SRX5694502,1.0894159176
SRX5694503,0.2758241785
SRX5694504,-0.0345983449
SRX5694505,1.0193446111
SRX5694506,-0.017863605
SRX5694507,-0.35715529420000003
SRX5694508,0.7749509224000001
SRX5694509,-0.013095447000000001
SRX5694510,-0.3562421181
SRX5694511,0.0090929053
SRX5694512,-0.9769884316
SRX5694513,1.1700611192
SRX5694514,-0.060233847900000005
SRX5694515,-0.1610595549
SRX5694516,-0.8380420337000001
SRX5694517,-0.8232657338
SRX5694518,-0.31340466170000003
SRX5694519,-0.3351613042
SRX5694520,-0.1817869573
SRX5694521,-0.5157748552
SRX5694522,-0.5760017073
SRX5694523,-0.1306875775
SRX5694524,-0.6491824674000001
SRX5694525,-0.0942129158
SRX5694526,-0.6180999020000001
SRX5694527,-0.6177185071
SRX5694528,0.9608801573
SRX5694529,-0.1820542071
SRX5694530,0.2507227924
SRX5694532,-0.2493005067
SRX5694533,0.5708285122
SRX5694534,0.2052983987
SRX5694535,-1.1394676746
SRX5694536,-0.6211023907000001
SRX5694537,-0.5968388975000001
SRX5694538,-0.6782435407
SRX5694539,-0.5694451374
SRX5694540,-0.3706386005
SRX5694541,-1.7774703523
SRX5694543,-1.4751111384
SRX5694544,-0.5389686618
SRX5694545,-0.6530503254000001
SRX5694546,-0.49499271170000003
SRX5694547,-0.027995299999999997
SRX5694548,-0.1384414936
SRX5694550,1.5760766536
SRX5694551,-0.7821037533
SRX5694552,0.0908404238
SRX5694553,-0.20309984
SRX5694554,-0.41032751160000003
SRX5694555,-0.2762694099
SRX6072760,-0.5561880585
SRX6072761,-0.10983658290000001
SRX6072762,-0.4335403067
SRX6072763,-0.1474253726
SRX6072764,-0.911237484
SRX6072765,0.1376392509
SRX6376491,1.8258176188
SRX6376492,0.5973158172
SRX6376493,0.4226607291
SRX6376494,0.874564726
SRX6376495,1.9753364264000002
SRX6376496,1.4039627335
SRX2723951,0.6627168391
SRX2723952,0.8289852453000001
SRX2723953,0.6384946501000001
SRX2723954,1.6395039938
SRX2723955,0.0374877059
SRX2723956,0.6954233390000001
SRX2723957,-0.0410139296
SRX2723958,-0.1904930263
SRX2723959,0.08991659510000001
SRX2723960,0.7676661222000001
SRX2723961,1.6570317545000002
SRX2723962,0.5049458598000001
SRX2723963,-0.16060332630000002
SRX2723964,0.2519216735
SRX2723965,0.3131371912
SRX2723966,0.1185247301
SRX2723967,-0.1802364252
SRX2723968,0.061711695100000005
SRX6977206,-0.8530272894
SRX6977207,-0.7465527957
SRX6977208,0.408915638
SRX6977209,0.1139084742
SRX6977210,0.5668880980000001
SRX6977211,-0.2107777958
SRX6977212,0.06967797540000001
SRX6977213,0.1410998204
SRX6977214,-0.7585334403
SRX1153733,0.23513318
SRX1153734,-0.23513318
SRX1153735,0.5605273485
SRX1153736,0.353326332
SRX5204053,0.6364651151
SRX5204054,-3.2065164493
SRX5204055,0.3563862504
SRX5204056,-0.49713275360000003
SRX5204057,-0.48506041710000003
SRX5204058,-1.2764790679
SRX5204059,-1.1187039996
SRX5204060,-1.7133101366
SRX5204061,-1.2250403108
SRX5204062,-0.4436115452
SRX5204063,-0.16910834400000002
SRX5204064,0.1951812429
SRX5204065,-1.5586973982
SRX5204066,-1.1907654577
SRX5204067,-0.5805651728
SRX5204068,0.3857409107
SRX5204069,0.40769363000000003
SRX5204070,-0.13945698080000002
SRX5204071,-0.0756690975
SRX5204072,-0.35832999320000003
SRX5204073,-0.2756560407
SRX5204074,-0.3024647593
SRX5204075,0.37482896790000003
SRX5204076,-0.16972449650000002
SRX5204077,-0.2508006345
SRX5204078,0.1687431675
SRX5204079,-0.1722240648
SRX5204080,-2.1191729033
SRX5204081,-2.5923477271
SRX5204082,-2.5136094503
SRX5204083,-0.9811059567
SRX5204084,-0.9681462843
SRX5204085,-0.6680283783000001
SRX5204086,-1.0562111714
SRX5204087,-1.8530119835
SRX5204088,-1.5885721912
SRX5204089,-0.8345491407000001
SRX5204090,-0.9154615054
SRX5204091,-0.9948694188
SRX5204092,-0.258366041
SRX5204093,-0.5018409695
SRX5204094,-1.0758025331
SRX5204095,-0.4338638027
SRX5204096,0.6894004088
SRX5204097,-0.2555366061
SRX683459,-0.1064440142
SRX683460,0.49260392340000003
SRX683461,0.36149568730000003
SRX683462,-0.273170864
SRX683463,-0.2550516731
SRX683464,-0.27187709800000004
SRX683465,-0.3072850534
SRX683466,-1.6129728027999999
SRX683467,-0.0073244239
SRX683468,-1.2028193556
SRX683469,-0.5847137373
SRX683470,-1.4558388581
SRX322077,1.0244232954
SRX322078,0.7717270201
SRX322079,0.0037644329
SRX322080,-1.5794025511
SRX322081,-0.627809391
SRX322082,-0.7119005237
SRX322083,-0.5843287752
SRX322084,0.7137391194
SRX322085,-0.1294103442
SRX2708592,1.2824690921
SRX2708593,1.854845297
SRX2708594,1.753400111
SRX2708595,0.3651600982
SRX2708596,-0.3012315378
SRX2708597,-0.0639285604
SRX2708598,-0.1844128903
SRX2708600,-0.4935826661
SRX2708601,0.18276634320000001
SRX2708602,-0.1475371591
SRX2708603,0.24420290760000002
SRX3073814,-0.2498658853
SRX3073815,-1.2893320942
SRX3073816,-1.5626060968000002
SRX3073817,-1.3642463870000001
SRX3073818,-0.5017062751
SRX3073819,0.9219396658000001
SRX3073820,-0.8123732105
SRX3073821,-0.6455516814000001
SRX3073822,-1.4392382263
SRX3073823,-1.2165770588
SRX3073824,0.2498658853
SRX3073825,-0.10074376500000001
SRX3073826,-0.5118790014
SRX3073827,-1.6809779164
SRX3073828,-0.3286746729
SRX3073829,0.5867691371
