,A,SpeB
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,5.5248414806,3.9268778228
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,2.5336526549,2.2341064192
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-0.0233247619,-0.0807867426
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,0.4358822097,0.2937904767
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.6913415622,-0.4118769793
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.2787841144,0.1988732451
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,-7.0767678635,-4.4974016478
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,-7.1120523435,-4.7437759874
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,-5.0787660065,-3.3441080273
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,-6.331494758,-4.0433111875
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,-5.7955728846,-3.7259687902
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,-3.9639669126,-2.5856705882
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,-7.2854503719,-4.7677495042
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,-6.8538285828,-4.389046953
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,1.0738366569,0.6621966548
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,1.0171654542,0.6260544275000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,1.2357436855000001,0.6231822291
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,1.143916599,0.7799724458
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,-2.5434198011999998,-1.567008001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,-2.1615886962,-1.235069656
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,-2.3026917259,-1.25238575
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,15.5806952229,10.0665332067
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,15.455551471,10.1060444874
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,15.1331087371,9.8237887209
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,1.2403362322,0.6169546124
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,17.4782151466,10.255947258900001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-3.412859203,-2.1774591545
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,17.1412855987,10.2334761892
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-0.6926349051,-0.6514020961
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,17.8258042495,10.5300731996
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,0.7658203802,0.17736347830000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,14.7799911592,9.2773076784
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,2.9553013967,1.9351175031
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,15.1096511755,9.3434592702
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,3.2865784464,1.9419824255
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,14.8716336398,9.1758337036
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.2396643327,0.1848711257
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,0.0459108721,-0.2458734766
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.28557520480000004,0.0610023509
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.3097445559,-1.5009423759
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-4.7555284362,-2.7806677834
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,0.3775468024,0.2956176077
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-7.3215802838,-4.696175653
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-12.5572091955,-7.9315049879
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-7.204564445,-4.4326815275
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-5.8198963471,-3.3784822057
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-10.3612685884,-6.5379863588
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-6.4133434531999995,-3.4383037878
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,5.6961732085,3.6667886239
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,5.8966932438,3.804477698
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,6.1849973236,3.9369984553
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,4.4719718986,3.0131268168
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,4.5694350098,3.0490046855
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,4.1079021833,2.8673817379
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,5.3154166123,3.2774830738
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,5.2461838543,3.262619814
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,4.8000149271,3.1052824085
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,2.6812181504,2.195982485
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,3.3807763705,2.3891116454
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,3.6553248006,2.7185853344
