,A,AtoC,RpoN
abx_mega__sxt_dmso__1,-1.3976203509,-0.40748116160000003,0.3805901292
abx_mega__dmso-1__1,-0.4856328012,0.06533463390000001,0.1000790257
abx_mega__pen_h2o__1,-0.8786092085,0.0254499741,-0.6047470268
abx_mega__dmso-10__3,-1.0751694278,0.5677204681,0.5817327388
abx_mega__nal_naoh__4,-0.4949587288,-0.5939907099,0.4131544234
abx_mega__cip_naoh__1,-0.547555294,-0.026586538000000003,0.3139018471
abx_mega__pen_h2o__2,-0.6106101918,-0.4930665356,-0.4614786729
abx_mega__ery_dmso__2,4.5573101602,-1.6834779514,-0.8711782534
abx_mega__dmso-2__2,-4.4618035589,1.4708218779,1.6330404249
abx_mega__van_dmso__2,2.0276618598,-2.2147509157,-1.4325930877
abx_mega__h2o-1b__1,-1.0979203566,-0.33885781800000003,0.049925419000000006
abx_mega__ery_h2o__1,0.9537757359000001,-2.6305104974,-0.8530769732
abx_mega__bacit_h2o__1,-0.6829276127,-2.3873736872,0.06588176800000001
abx_mega__chl_h2o__2,1.9219483693,-2.4099461764,-1.1962969357
abx_mega__str_h2o__2,-0.4225375967,0.1640243197,1.1805175986
abx_mega__rfp_ethanol__2,-0.7185486383,-1.8526970541,0.0344397316
abx_mega__polmyx_h2o__2,-1.767785247,0.0999473862,0.0497336679
abx_mega__tric_h2o__1,1.1207061547,1.6254343293,0.4801215364
abx_mega__cip_naoh__2,0.6343540368,-0.5833191267,0.1248055101
abx_mega__novo_h2o__3,4.0808912173,-2.5927540162,-0.3918043912
abx_mega__bacit_dmso__1,4.3920697055,-0.5196679491,0.0971589638
abx_mega__gen_h2o__1,0.9039958450000001,-1.8320770074000001,0.3781390592
abx_mega__bacit_dmso__2,5.034088366,-0.6997567094,-0.0185690991
abx_mega__chl_dmso__1,0.9629853806,-2.4541731655,-0.2968713899
abx_mega__bacit_h2o__2,0.2834671914,-1.8735496844,-0.2798995233
abx_mega__lvx_dmso__1,-0.7939514891,-0.3415263123,0.2366626578
abx_mega__bacit_h2o__3,0.10958359740000001,-2.1481355061,0.1175635035
abx_mega__nor_naoh__2,0.3500119297,-0.0660317069,0.0778313483
abx_mega__amyc-d_dmso__2,5.4903563558,-0.39444391560000003,-0.482735487
abx_mega__polmyx_h2o__3,3.212484301,1.2217739395,1.1987243344
abx_mega__naoh-6__1,0.0116664421,0.34061063080000004,0.3867353197
abx_mega__cst_h2o__2,4.6208954158,0.41686784800000004,-0.0592366311
abx_mega__h2o-1b__2,-0.6877819687000001,-0.4141067711,0.361309818
abx_mega__rfp_h2o__1,4.3417252817,-0.13690679290000002,0.1986005924
abx_mega__tet_h2o__1,1.0549490223,-1.9789954482,-1.1852549083
abx_mega__flavo_dmso__1,-1.4950123159,-0.7174109997,0.31348030800000004
abx_mega__zeocin_h2o__1,-0.5899461398,0.3334997467,0.1895157472
abx_mega__nor_naoh__3,-0.2741083887,-0.49581166860000003,0.0003915057
abx_mega__rach_dmso__2,-0.8864327906,-0.0291052468,0.7509322677
abx_mega__thio_dmso__2,0.5702796314,-2.3612680351,-1.2288856103999999
abx_mega__amyc-d_dmso__3,2.9019856111,-1.861665691,-2.0587907643
abx_mega__rif_dmso__2,6.6659821001,1.2701769524,0.5754528234
abx_mega__amyc-d_dmso__4,1.681491006,-1.0012694331,-0.5423701563000001
abx_mega__teix_dmso__3,0.0565062926,-0.5089942557,-0.0655542478
abx_mega__valin_dmso__1,6.7796598811,0.43182719150000004,-0.43426283600000004
abx_mega__teix_dmso__4,0.5071485141000001,0.0118107335,0.27130681500000003
abx_mega__ethanol-10__1,-0.1183474429,1.1900468957,0.40267153240000003
abx_mega__inh_h2o__1,-0.1263167657,-0.35999253740000003,0.0766455533
abx_mega__rif_dmso__3,0.9877196397,-0.006902313,0.5938319508000001
abx_mega__van_dmso__3,4.0811992694,-1.8610205927,-0.6893900788
abx_mega__doxo_dmso__1,0.411714699,-0.0830343983,0.3216071352
abx_mega__tmp_dmso__1,0.0816873892,-0.2179516591,0.1661161452
abx_mega__ethanol-10__2,-0.36719351650000004,0.6708942572000001,0.1536875017
abx_mega__tmp_dmso__2,0.063298384,-0.3931464656,0.1318068886
abx_mega__amyc-d_dmso__5,1.1886693526,-2.211743147,-2.0873112251
abx_mega__novo_h2o__4,4.6819260971,-4.3210940954,0.13625533880000001
abx_mega__cro_h2o__2,0.5648605955,-0.3071376853,0.1035761797
abx_mega__cro_h2o__3,-1.2614378826000001,-0.614628842,0.0686106756
abx_mega__gen_h2o__2,1.7440950849,-3.2063121435,0.7751869361
abx_mega__phos_h2o__4,-1.1839846733,1.3199199986,1.2666739765
abx_mega__metro_dmso__2,0.9197213390000001,-0.0645690082,0.8183508658
abx_mega__ery_h2o__2,0.3832089992,-0.8003456431,-0.602350214
abx_mega__sacet_h2o__1,2.1719543376,0.9435460656,1.8751403472
abx_mega__nal_naoh__5,0.472271019,-0.21417596800000002,0.1431744405
abx_mega__bacit_h2o__4,-0.006105050900000001,-2.3419090366,-0.25559654600000004
abx_mega__cip_naoh__3,-0.7937376002000001,-0.7186957099,0.32443566830000004
abx_mega__ethanol-8__1,-0.9829339675000001,0.8923858986000001,0.3540685267
abx_mega__h2o-8a__1,0.0261867215,-0.5498135427,0.3335097184
abx_mega__ery_h2o__3,0.40303320470000004,-2.598302762,-0.7729734864000001
abx_mega__flavo_dmso__2,-2.4148511402,-0.40646000870000004,0.3623249183
abx_mega__rif_dmso__4,2.9891522958000003,0.1317476171,0.4264630231
abx_mega__novo_h2o__5,2.86250299,-3.0936249337,-0.5119814499
abx_mega__teix_dmso__5,-0.7999757456000001,-0.115716856,0.3829448741
abx_mega__naoh-2__1,0.091381952,1.4201989065,1.2563867105
abx_mega__novo_h2o__6,1.8407379608,-2.1216785788,-0.40610684150000004
abx_mega__ctx_h2o__3,-2.1635953127,-0.5770339884,0.2070871461
abx_mega__rach_dmso__3,-0.8145232557000001,0.0398165668,0.8095988900000001
abx_mega__valin_dmso__2,6.6215105331,0.5979384130000001,-0.3638890656
abx_mega__amyc-d_dmso__6,2.4012512578000003,-1.3211187211,-1.7587812473
abx_mega__dox_dmso__2,4.3001509066,0.346229551,-0.0236915871
abx_mega__teix_dmso__6,-0.5340017593,0.20757984170000002,0.2270913317
abx_mega__naoh-6__2,0.6528006106,0.41061566120000004,0.390126913
abx_mega__inh_h2o__2,2.8841138249,-0.1945166141,0.5741467445
abx_mega__chl_h2o__3,2.4034591038,-2.4146676691,-0.8383837954000001
abx_mega__nal_naoh__6,-0.0823864859,-0.16113600990000002,0.1949048065
abx_mega__chl_dmso__2,3.6917338732,-2.4978161326,-0.2965190891
abx_mega__rach_dmso__4,-0.1525285573,0.3451420838,0.9072279491
abx_mega__teix_dmso__7,-1.073273645,0.38707823680000003,0.4760578098
abx_mega__ceru_ethanol__1,-0.7954859697000001,1.5274263083,0.5942382494
abx_mega__dmso-7__1,0.2750409308,0.46432247740000004,0.5502041329
abx_mega__naoh-6__3,-0.1433752794,0.4249313804,0.3985351669
abx_mega__phos_ethanol__2,-0.749673947,0.44555285040000003,0.4755069677
abx_mega__metro_dmso__3,0.033224144500000004,-0.1973836282,0.7593384199000001
abx_mega__van_dmso__4,2.7021437495000002,-2.1869393157,-0.9437514518000001
abx_mega__h2o-10__1,-0.41039034760000004,-0.6003712413,-0.0088024738
abx_mega__h2o-10__2,0.1441977216,0.1970135968,0.11731256200000001
abx_mega__dmso-6__3,1.8466315297,0.638802093,0.4245258925
abx_mega__mem_dmso__1,-0.9234287009000001,-0.5673658271,0.0221495772
abx_mega__ethanol-8__2,-0.2392856746,1.1227632924,0.1553514222
abx_mega__chl_h2o__4,2.0993847531,-3.3318357289,-0.9067002987
abx_mega__van_h2o__1,-0.4138927193,-1.3392795395000001,-0.7663768052000001
abx_mega__dcs_h2o__1,-1.2246838889,0.2411332206,0.34302064460000004
abx_mega__rif_dmso__5,2.6894471482,0.6770476350000001,0.5641164744
abx_mega__dox_dmso__3,0.2441665768,0.1247974919,0.3852142324
abx_mega__mem_dmso__2,-1.1452644073,-1.1586017618,-0.0143963799
abx_mega__lvx_dmso__2,0.10408444780000001,0.3011849616,0.2120925827
abx_mega__tet_h2o__2,2.7948317598,-2.0181045632,-0.0535992765
abx_mega__phos_h2o__5,-0.9435914870000001,0.9935332444,1.1368348911
abx_mega__monac_dmso__1,0.5387278944,-1.6382401115,0.2581631515
abx_mega__str_h2o__3,-0.2291637349,-0.7855001260000001,0.2098929226
abx_mega__zeocin_h2o__2,5.1044961404,1.1147563258,0.716158543
abx_mega__amyc-d_dmso__7,5.7988776323,-1.2937814182,-1.8195500993
abx_mega__fidax_dmso__1,-0.4568170877,0.3568683708,0.3895025579
abx_mega__h2o-1a__1,0.22552840270000002,-0.0888385393,-0.014744452600000001
abx_mega__dox_dmso__4,0.8081556595,0.53485047,0.2542183783
abx_mega__lzd_dmso__2,0.7975876154,-2.3319091058,-0.8593610486000001
abx_mega__tet_h2o__3,0.6500320718,-1.8033490423,-0.9487100239
abx_mega__dmso-1__2,-0.7840257832,0.009441543200000001,0.3007382105
abx_mega__sxt_dmso__2,0.4862597207,-0.2580798093,-0.1313019466
abx_mega__tric_ethanol__2,0.8619933285,0.8208099892,0.6589152801
abx_mega__teix_dmso__8,-0.8315882313,-1.2536413057,-0.3706064465
abx_mega__ramo_h2o__2,-0.8396548070000001,-1.1383072721,0.0097559328
abx_mega__inh_h2o__3,-0.6886085586,0.1149939148,0.4438443918
abx_mega__cst_h2o__3,0.6693711373,-0.0022426262000000002,0.093635272
abx_mega__dmso-9__1,-0.2485079423,0.4313818017,0.5502023702000001
abx_mega__ethanol-8__3,-0.8114401257,1.3331781122,0.23941242100000001
abx_mega__monac_dmso__2,2.0895636155,-2.1630921721,-0.7440725934
abx_mega__dmso-9__2,-0.3855279219,0.0641879828,0.4683853437
abx_mega__metro_dmso__4,3.9362011543,-0.028815288300000002,0.5657900501
abx_mega__ctx_h2o__4,-1.0377697915,-0.3906702314,0.1570129421
abx_mega__zeocin_h2o__3,7.5687561838,1.6310887699999999,0.7747464813
abx_mega__bacit_h2o__5,6.5750632025,-0.1667658973,-0.2931713245
abx_mega__reta_dmso__1,1.417980092,-2.3279549188,-0.5449878411
abx_mega__ery_h2o__4,2.0947507466,-2.6871575923,0.0784509131
abx_mega__ceru_ethanol__2,1.3115597487000001,-0.9887695483000001,0.7547704340000001
abx_mega__fidax_dmso__2,-0.6234427601,0.312138316,0.3536250526
abx_mega__novo_dmso__1,2.9787780149,-2.4665040137,0.8746578005000001
abx_mega__naoh-6__4,2.1590987215,0.6201824047,0.29936246310000003
abx_mega__amyc-d_dmso__8,4.3880042432,-0.3242059612,-0.4710809825
abx_mega__chl_dmso__3,2.5739896516,-1.9260244377,-0.326672564
abx_mega__nal_naoh__7,-0.9658369772000001,-0.2512441616,0.3962943741
abx_mega__teix_dmso__9,-0.3152063061,0.0752737353,0.37532094790000003
abx_mega__ery_dmso__3,3.0818612835,-2.6275458134000003,-0.6216938097
abx_mega__tmp_dmso__3,-1.2352223165,0.036693401,0.13931253130000001
abx_mega__sxt_dmso__3,-1.4131274485,-0.21402623,0.558718774
abx_mega__polmyx_h2o__4,1.2353424518,1.1280251625,0.9320456988
abx_mega__mem_dmso__3,-0.43968558150000003,0.2747396663,0.3979415361
abx_mega__nal_naoh__8,-0.5253156749,0.2698768855,0.9156218947
abx_mega__pen_h2o__3,-1.3463771843,0.09286292210000001,0.0770701456
abx_mega__van_dmso__5,2.2286828946,-2.5578906095000002,-0.9236914394
abx_mega__zeocin_h2o__4,4.0097464539,1.0743523642,0.8473467504000001
abx_mega__h2o-6__2,0.6855060975,0.5600998963,0.3170738315
abx_mega__tet_h2o__4,0.3637373206,-2.0605190763,-1.1251574594
abx_mega__nor_naoh__4,-0.1787617287,-0.3340638554,0.39791129080000004
abx_mega__cip_naoh__4,1.1130983965,-0.2925600092,0.3648318555
abx_mega__tmp_dmso__4,-0.0689657511,-0.4361647011,0.5319673363
abx_mega__reta_dmso__2,2.6220612818999998,-1.9841564639,-0.775060662
abx_mega__mem_dmso__4,-1.4853456057,-0.7675652866,0.3689014584
abx_mega__dox_dmso__5,-0.0826335542,-1.2219373062,0.0294679464
abx_mega__tmp_dmso__5,-0.6308773597,0.4520535627,0.4541069357
abx_mega__flavo_dmso__3,-0.9290559357,0.0407737835,0.4279902372
abx_mega__tmp_dmso__6,-1.1375584679,-0.2671477144,0.3348146301
abx_mega__ceru_ethanol__3,0.2982695469,-1.0297330655,0.8618926901
abx_mega__teix_dmso__10,-1.0430334291,-0.3737546444,0.0201267037
abx_mega__novo_h2o__7,4.7282467186,-2.3326166534,-0.16178331940000001
abx_mega__fidax_dmso__3,0.4544279424,0.3485044996,0.37991272070000004
abx_mega__h2o-1a__2,0.0408096686,0.0401476714,-0.037277264500000004
abx_mega__dcs_h2o__2,-2.0458076828,-0.2611147169,0.3548311478
abx_mega__cst_h2o__4,0.8204926882,-0.0468068176,0.1030718915
abx_mega__van_h2o__2,-1.1858971057,-0.27654716360000003,-0.0312494943
abx_mega__pen_h2o__4,-2.111213908,-0.4937188072,0.4373284991
abx_mega__h2o-8b__2,0.026010216500000002,0.36510065550000004,0.48419750240000003
abx_mega__reta_dmso__3,1.8397275451000001,-2.2835647017,-0.7107889245
abx_mega__dmso-7__2,1.0563956607,0.7478063383,0.8456941073
abx_mega__rfp_h2o__2,4.4726758942,-0.49943182890000004,0.344381459
abx_mega__rif_dmso__6,4.7155906905,0.39375337920000003,0.5506100709
abx_mega__sxt_dmso__4,-1.1699588686,-0.2465107446,0.5508957859
abx_mega__cip_naoh__5,-0.6308776186,-0.046089641300000005,0.0168630616
abx_mega__dmso-9__3,-0.3467488427,-0.0954842622,0.39087303290000003
abx_mega__mem_dmso__5,-0.7550272159,-0.0748169828,0.0445700484
abx_mega__tric_h2o__2,0.6105650689000001,1.7982980565000002,0.7730122446000001
abx_mega__phos_h2o__6,0.1294075936,0.3086047914,0.2524576478
abx_mega__h2o-7__2,-1.3553909307,-0.2680082386,0.4396618196
abx_mega__h2o-10__3,-0.337818905,0.0334847632,0.0991312743
abx_mega__h2o-8a__2,-0.5505251073,-0.8123241661,0.2002313933
abx_mega__thio_dmso__3,-0.3062628153,-2.1644027129,-0.30735370970000003
abx_mega__lzd_dmso__3,0.9427227837000001,-1.9781419174,-0.5015458618
abx_mega__monac_dmso__3,3.0275570108,-2.793088587,-0.9672754863
abx_mega__polmyx_h2o__5,-1.4630078434,-0.7086952764000001,0.5316735566
abx_mega__naoh-6__5,0.5226216535,0.5057125081,0.4761598155
abx_mega__teix_dmso__11,-0.3334328178,-0.0608512572,0.0169839429
abx_mega__van_h2o__3,-2.0486858032,-1.4204254571,-0.2305984282
abx_mega__teix_dmso__12,-1.6161425441000001,-0.1915923886,0.3116507979
abx_mega__dox_dmso__6,-2.6272683536,1.3216650072,1.5216893711
abx_mega__teix_dmso__13,-0.14280938370000001,-0.28191171460000003,0.2245963553
abx_mega__h2o-7__3,-0.5556790537,-0.21932196850000002,0.1371741921
abx_mega__str_h2o__4,-1.3715216638,0.2389119264,1.1305458372000001
abx_mega__tec_h2o__3,0.011860287800000001,-2.0885641052,1.0538105626
abx_mega__phos_h2o__7,0.2693246482,0.4058307687,0.1186262654
abx_mega__chl_h2o__5,2.1804757142,-2.6330800306,-1.0961085104
abx_mega__polmyx_h2o__6,0.9478145899,0.7426910492000001,1.1499602633000001
abx_mega__teix_dmso__14,0.13025251070000002,0.0444662262,0.10986960450000001
abx_mega__rif_dmso__7,1.1786272850000001,0.3805176616,0.5247555823
abx_mega__ramo_h2o__3,-0.8493727795,-1.4384221869,0.28553015200000004
abx_mega__fidax_dmso__4,-0.15397192780000002,-0.0244423076,0.1534864812
abx_mega__teix_dmso__15,-0.8301368135,0.3204194982,0.4048724238
abx_mega__thio_dmso__4,0.6458014688,-1.9488503121,-0.6222267499
abx_mega__rif_dmso__8,5.3702339248,0.7345796641,0.4140184986
abx_mega__reta_dmso__4,1.7872918321,-2.1685594213,-0.7268102176
abx_mega__inh_h2o__4,2.2682703638,0.11064870310000001,0.6849445812
abx_mega__novo_dmso__2,1.984682773,-1.7833854523000001,0.7372848823
abx_mega__dcs_h2o__3,0.18938993710000002,-0.24305532230000002,0.4539067214
abx_mega__h2o-8b__3,-1.1570665921,0.0265479752,0.32490079320000004
abx_mega__valin_dmso__3,0.836278633,-0.3235983361,-0.12180968210000001
abx_mega__h2o-2__1,-0.7608501459,1.5542095161,1.5449819276999999
abx_mega__cro_h2o__4,-0.2060253802,0.1612178607,0.22832263900000002
abx_mega__dcs_h2o__4,-0.2587759754,0.26088908580000003,0.5151084096
abx_mega__str_h2o__5,0.2296479345,-0.5592522088,0.3231262352
abx_mega__h2o-8a__3,-0.6494337901,-1.16986401,0.22258493570000001
abx_mega__dox_dmso__7,0.3832000736,-0.15718032040000002,0.27905037790000004
abx_mega__doxo_dmso__2,-0.1899574671,-0.22541248020000001,0.078736579
abx_mega__teix_dmso__16,-0.6716773371,-0.41006597640000003,0.141757141
abx_mega__rfp_h2o__3,5.1460404592,-0.5393191706,-0.0217036996
abx_mega__ethanol-10__3,-1.0094185984,1.0000748041,0.35144685610000004
abx_mega__naoh-2__2,0.7498696466,1.5002753625,1.3397554379
abx_mega__van_h2o__4,0.2371836505,-1.2633658006,-0.6558120901000001
abx_mega__sacet_h2o__2,1.0414981154,0.28451236020000004,1.8194889627
abx_mega__monac_dmso__4,1.8349655504,-2.1755207963,-0.1014722777
abx_mega__h2o-2__2,-0.4875095238,1.1588407338,1.4152471684
abx_mega__zeocin_h2o__5,-0.42788934040000004,-0.12154569350000001,0.1218754201
abx_mega__nor_naoh__5,-0.8234368375000001,-0.2874838072,0.34099238190000003
abx_mega__naoh-9__2,-0.5321007663,-0.10389450700000001,0.5996398814
abx_mega__dmso-7__3,-0.1066302192,0.7162670915,0.8699823852
abx_mega__van_h2o__5,-0.1707403434,-1.7418771544,-0.7245664336000001
abx_mega__flavo_dmso__4,-2.8407450793,-0.2723258827,0.3460788568
abx_mega__novo_dmso__3,2.3070526301,-1.9917487131,0.684112421
abx_mega__polmyx_h2o__7,-1.7367834749000002,-0.5292439967,0.1741701713
abx_mega__teix_dmso__17,-0.7755722685,0.1310999525,0.22184745760000002
abx_mega__doxo_dmso__3,-0.36195546630000003,-0.5813890902000001,0.3126274732
abx_mega__mem_dmso__6,-1.0711511804,0.6953747654,0.3505350951
abx_mega__h2o-1a__3,-0.2663380714,0.048690867900000004,0.0520217171
abx_mega__bacit_dmso__3,6.2108174777,-0.3042475295,-0.1795968479
abx_mega__dox_dmso__8,0.10881278250000001,0.355872189,1.300507726
abx_mega__teix_dmso__18,0.0199673491,-0.1867315347,0.19175662170000002
abx_mega__h2o-6__3,0.9004994947,0.6289556011,0.262236693
abx_mega__pen_h2o__5,-1.2338055858,-0.13978626600000002,-0.5225968489
abx_mega__lzd_dmso__4,0.7227001946,-1.6844974246,-0.3332799081
abx_mega__daro__1,0.067913979,-2.2561588372,-0.1066234063
abx_mega__solv__1,0.8705435269,-2.1227391208,-0.009596166500000001
abx_mega__daro__2,-0.6213280086,-1.841415462,-0.0790526196
abx_mega__daro__3,-0.6091407879,-1.6070599373999999,0.38187602470000004
abx_mega__solv__2,-0.3604263748,-2.2724410207,-0.34110027670000004
abx_mega__solv__3,-0.2967482708,-1.6649941195,0.35312897400000004
abx_mega__dmso-4__1,6.7116402552,1.2386786261,0.5797424133
abx_mega__kirr_dmso__1,2.7373804443000003,-1.915704239,-1.33942713
abx_mega__kirr_dmso__2,2.7647921835,-2.6761540867,-1.4284988515
abx_mega__kirr_dmso__3,4.2788782928,-1.0172992947,-1.1109287256
abx_mega__dmso-4__2,7.3068279948,1.467590812,0.3686310324
abx_mega__dmso-4__3,5.4356045184,1.2505148584999999,0.5269048507
ackA_pta__dnaA46_del_ackA__1,6.4178380964,0.6250149607000001,0.4437075254
ackA_pta__dnaA46_del_ackA__2,8.5319947331,1.2322571092,0.5704149586
ackA_pta__dnaA46_del_ackA__3,7.5176597446999995,0.4359018968,0.5369991293
ackA_pta__dnaA46_del_pta__1,0.3931410454,2.7853724087,1.1478756833000001
ackA_pta__dnaA46_del_pta__2,0.5712077967,0.7121043168000001,0.0448667602
ackA_pta__dnaA46_del_pta__3,-0.40639177120000003,0.5397583593,0.5671756971
ackA_pta__dnaA46__1,0.2313621387,0.09156751810000001,0.1614554932
ackA_pta__dnaA46__2,0.7914092123,-0.23992052130000002,-0.013684229400000001
ackA_pta__dnaA46__3,0.1010777501,-0.1684339765,0.1615911191
ackA_pta__del_ackA__1,8.4510372544,0.6245180495,0.5863427365
ackA_pta__del_ackA__2,8.9790490484,2.2555744822,1.3011363901
ackA_pta__del_ackA__3,6.8556051173,0.3416727633,0.44244931
ackA_pta__del_pta__1,-0.1277081733,-0.1676356881,-0.23870822200000003
ackA_pta__del_pta__2,0.6659818532,0.9188061515,0.034623570400000005
ackA_pta__del_pta__3,-0.1211773391,0.3868406153,0.3199969646
ackA_pta__wt__1,-0.13747045030000002,-0.0780176447,0.1637336314
ackA_pta__wt__2,0.0653463227,0.18240139200000002,-0.0974010988
ackA_pta__wt__3,0.0721241276,-0.1043837474,-0.06633253260000001
anticancer__5fu__1,-0.43726933430000003,-2.2776410466,-0.5603580095
anticancer__5fu__2,1.3681502563999999,-1.5390957860999999,-0.5673063791
anticancer__cap__1,1.2376748971,0.1566272124,0.1286979483
anticancer__cap__2,1.1970112213,-0.0670684532,0.12319856700000001
anticancer__cap__3,0.5778767300000001,-0.2290669488,0.1668869606
anticancer__wt__1,-0.2496365985,-0.48810795830000003,-0.15259010380000002
anticancer__wt__2,-0.0088962237,0.2213045929,0.0602725224
anticancer__wt__3,0.2585328222,0.2668033655,0.0923175814
anticancer__5fu__3,-0.0184363146,-2.5118026303,-0.6096590518
bio_pln__aero_pln__1,0.3912121959,0.12584830290000001,0.040384679
bio_pln__aero_pln__2,-0.3912121959,-0.12584830290000001,-0.040384679
bio_pln__anaero_pln__1,1.4940875075,0.31513040130000003,-0.1000048731
bio_pln__anaero_pln__2,-0.9529080814,-0.640855672,-0.0182377687
biocide__bzcl_12h__1,0.5572143696,-0.4137589105,-0.28891315030000003
biocide__bzcl_12h__2,0.8367924090000001,0.29511827760000003,0.039433998000000005
biocide__bzcl_12h__3,0.8985426887,-0.0132013806,-0.26352981940000003
biocide__etoh_12h__1,0.36217162280000004,0.8787963247,0.2680230091
biocide__etoh_12h__2,0.1563730773,0.9164134109000001,0.2771931545
biocide__etoh_12h__3,1.1803881505,0.4255471657,0.2675030988
biocide__gluald_12h__1,0.29427996570000003,0.6990372565,0.38510948500000003
biocide__gluald_12h__2,0.031328667000000004,0.365984169,0.4022591183
