,A,CueR
glu__glu_ale8__1,1.4298544755,0.428235921
glu__glu_ale9__1,-0.5200588144,0.09675078200000001
glu__glu_ale10__1,-0.3682031121,0.26566699800000004
42c__wt_42c__1,0.7220847506,-0.114006562
42c__42c_ale1__1,4.1238999224,0.112236047
42c__42c_ale2__1,-2.1315533789,0.125335628
42c__42c_ale3__1,0.5572266916,0.20248016700000002
42c__42c_ale4__1,-1.0401430472,0.9641573160000001
42c__42c_ale5__1,0.6416449814,-0.514371494
42c__42c_ale6__1,2.5990981711,0.9285628300000001
42c__42c_ale8__1,-0.9307060969000001,1.091873401
42c__42c_ale9__1,-0.3798179826,-0.5366429770000001
42c__42c_ale10__1,0.7423677866,0.8614838290000001
ssw__wt_ac__1,-0.9473041059,0.997726757
ssw__wt_glc__1,1.7024384253,-0.43034901200000003
ssw__wt_glyc__1,3.3147149125,0.35550395900000004
ssw__wt_xyl__1,-1.9892948441,0.057880774
ssw__glc_ale1__1,2.861172788,-0.648226187
ssw__glc_ale2__1,-1.4430684881,-0.427774162
ssw__glc_ale3__1,1.097111098,-0.580108013
ssw__glyc_ale1__1,-1.2765066826,-0.34508999300000004
ssw__glyc_ale2__1,0.9031966938,-0.77080834
ssw__xyl_ale1__1,-1.3917381877000001,-0.095461819
ssw__xyl_ale2__1,-1.0444477251,-0.261226713
ssw__xyl_ale3__1,0.1869135167,-0.056717997000000006
ssw__glc_ac_ac2__1,2.3841001407,-1.004978283
ssw__glc_ac_glc1__1,-0.7427138544,-0.318789563
ssw__glc_glyc_glc__1,-0.1926147456,-0.059174241
ssw__glc_glyc_glyc__1,-1.2026085918,-0.239483196
ssw__glc_xyl_glc__1,-0.6083176782,-0.777531904
ssw__glc_xyl_xyl__1,-0.9614885288,-0.970712776
ica__wt_glc__1,0.0981466265,-1.790935315
ica__wt_glc__2,-0.2007990202,-1.716438801
ica__wt_glc__3,-0.7834193682,-0.75808056
ica__wt_glc__4,-0.9524130120000001,-1.212571497
ica__arg_sbt__1,0.3978895771,-0.767564684
ica__arg_sbt__2,-0.5517607619,-1.083080982
ica__cytd_rib__1,0.4993252231,-0.6868014020000001
ica__cytd_rib__2,0.2424258708,-0.738831372
ica__gth__1,0.0541544934,0.8687788430000001
ica__gth__2,0.13814496140000002,0.928304074
ica__leu_glcr__1,-2.6876194643,-1.3918341650000001
ica__leu_glcr__2,-2.4667686316,-1.605488604
ica__met_glc__1,-0.9978573523000001,-1.900130431
ica__met_glc__2,-1.0142872964,-1.869874672
ica__no3_anaero__1,0.1503094671,0.06916095900000001
ica__no3_anaero__2,0.3183357767,0.191238511
ica__phe_acgam__1,-0.827016465,-1.315016073
ica__phe_acgam__2,-0.8965334355000001,-1.4693723380000001
ica__thm_gal__1,-0.2369452118,-0.396274304
ica__thm_gal__2,-0.17731687240000002,-0.25110197
ica__tyr_glcn__1,-1.0404453963,-1.7861310810000002
ica__tyr_glcn__2,-0.9036583156,-1.680885379
ica__ura_pyr__1,-1.2861468476,-1.213434297
ica__ura_pyr__2,-1.0106211887,-0.997855071
ica__wt_glc__5,0.7305259906,-1.2270638950000001
ica__wt_glc__6,0.7275388669,-1.510463411
ica__bw_delpurR_cytd__1,0.4722409185,-1.476201488
ica__bw_delpurR_cytd__2,-0.6226753985,-1.185732867
ica__ade_glc__1,-0.8507133646,-1.202549833
ica__ade_glc__2,0.3972306823,-1.651241444
ytf__wt_glc__1,-0.5479855368000001,-0.289168472
ytf__wt_glc__2,0.0992393577,-0.078886157
ytf__delyafC__1,1.4483059522000001,-0.11830506
ytf__delyafC__2,1.494392186,-0.029701718000000002
ytf__delyeiE__1,2.1715219458,-0.263957068
ytf__delyeiE__2,0.7359355288,-0.376644056
ytf__delyiaJ__1,0.6989585955000001,-0.11345742800000001
ytf__delyiaJ__2,0.24336975700000002,0.294741421
ytf__delyieP__1,1.8047763304000002,0.015263212000000002
ytf__delyieP__2,1.8563590576000002,0.065509127
ytf__wt_ph5__1,2.8205163829,-0.16405393000000001
ytf__wt_ph5__2,2.3207176047,-0.095569307
ytf__wt_ph8__1,-1.8985764992,-0.678478896
ytf__wt_ph8__2,-1.0360389775,-0.396950352
ytf__delybaO__1,0.2639663807,-0.06132558900000001
ytf__delybaO__2,1.8700016776,-0.077503967
ytf__delybaQ__1,-0.2460351312,-0.46616264300000004
ytf__delybaQ__2,-0.1347128064,-0.642832179
ytf__delybiH__1,0.4742033828,0.076020793
ytf__delybiH__2,2.1109846637,0.5411938430000001
ytf__delydcI_ph5__1,2.352115899,-0.408614807
ytf__delydcI_ph5__2,2.3196536667,-0.511071238
ytf__delydcI_ph8__1,-2.793722417,-0.7179671080000001
ytf__delydcI_ph8__2,-1.1450747716,-0.9645429280000001
ytf__delyddM__1,0.4561512398,-0.404364655
ytf__delyddM__2,0.9894873064,-0.417398256
ytf__delyheO__1,0.3827308069,-0.28125821900000003
ytf__delyheO__2,2.02818679,-0.200783015
fps__bw_glc__1,-0.8608824312000001,-0.663650708
fps__bw_glc__2,-1.2389946875,-0.7530940530000001
fps__fps_thrA_ale1__1,-0.7489722765,-0.48421144800000004
fps__fps_thrA_ale1__2,-0.3527813725,-0.8823575520000001
fps__fps_thrA_ale2__1,-1.2792358773,-0.555225806
fps__fps_thrA_ale2__2,-1.3047474765,-0.41835987300000005
fps__fps_serB_ale1__1,0.0522880816,-0.566650392
fps__fps_serB_ale1__2,-0.1613763403,-0.40012419800000004
fps__fps_serB_ale4__1,-1.1373775618,0.000910607
fps__fps_serB_ale4__2,-0.8881147420000001,0.39564201800000004
fps__fps_ptsI_ale1__1,-1.7176283480999999,-0.7971819840000001
fps__fps_ptsI_ale1__2,-1.8756172075,-0.903094397
fps__fps_ptsI_ale3__1,-1.488983812,-1.046413842
fps__fps_ptsI_ale3__2,-1.4459324877,-0.919555564
pal__lyx_ale2_f6__1,-0.2270175271,-0.12899306800000002
pal__lyx_ale2__1,-0.0885929577,-0.448477075
pal__lyx_ale2__2,-0.30978546960000003,-0.725716824
pal__lyx_ale4__1,-0.666687661,-0.8927484130000001
pal__lyx_ale4__2,-0.5379218028,-1.002127738
pal__5drib_ale10_f18__1,-0.23131485540000002,-0.104106477
pal__5drib_ale10_f18__2,-0.9565616493,-0.044978312
pal__5drib_ale10__1,-0.10168297450000001,0.128543348
pal__arab_ale14_f9__1,-0.2653793291,0.069006599
pal__arab_ale14_f9__2,0.0817983381,-0.14166809400000002
pal__arab_ale14__1,1.6479934839000001,-0.637616288
pal__arab_ale14__2,2.3585814112,-0.675745173
pal__arab_ale16__1,-1.0263958,-0.203566731
pal__arab_ale16__2,0.48649904730000004,0.050518275
pal__tartr_ale26_f10__1,-1.7803198996,-0.129924952
pal__tartr_ale26_f10__2,-2.4084408765,-0.046741832000000004
pal__tartr_ale26__1,-1.5927179447,-0.27006482600000004
pal__tartr_ale26__2,-1.1876231494,-0.42636439400000004
pal__tartr_ale28_f10__1,-0.7865067479000001,0.887360754
pal__tartr_ale28_f10__2,-0.6324789780000001,0.893396548
pal__tartr_ale28__1,-1.2356034911,-0.23352882600000002
pal__tartr_ale28__2,-1.2827405197,-0.16921881
efeU__delmenFentC_citr__1,-1.7417917781,-0.42733758200000005
efeU__delmenFentC_citr__2,-2.5068379004,-0.547638174
efeU__delmenFentC__1,-0.6003785745,0.23024633400000002
efeU__delmenFentC__2,-0.508845736,0.07376792900000001
efeU__menFentC_ale39__1,0.7843413563,-0.7756422070000001
efeU__menFentC_ale39__2,0.8156818194000001,-0.702882545
efeU__menFentC_ale29__1,1.5779855396,-0.487755594
efeU__menFentC_ale29__2,2.4797079349,-0.229630836
efeU__menFentC_ale30__1,0.054000047100000004,-1.362482363
efeU__menFentC_ale30__2,-0.8721292994000001,-1.267727738
efeU__menFentCubiC_ale36__1,-0.12559287430000002,-0.632170187
efeU__menFentCubiC_ale36__2,0.1924865486,-0.5835643340000001
efeU__menFentCubiC_ale37__1,0.2203768547,-0.5231431470000001
efeU__menFentCubiC_ale37__2,-0.0638739442,-0.48845217100000005
efeU__menFentCubiC_ale38__1,0.8254310808,-0.649433131
efeU__menFentCubiC_ale38__2,0.6984524438,-0.681247653
misc2__salc_glc__1,-1.8284089521,0.13693638500000002
misc2__salc_glc__2,-2.2866593127,0.7506475810000001
misc2__dbcn_glc__1,-1.4208850158000002,-0.378246307
misc2__dbcn_glc__2,-0.5985606963,0.06193466400000001
misc2__tyr_glc__1,-0.353189594,-0.9349608760000001
misc2__tyr_glc__2,-0.2120806361,-0.886110331
misc2__arg_cytd__1,-0.1967449927,-1.45158794
misc2__arg_cytd__2,-0.1227241486,-1.205568963
misc2__delyheO_pyr__1,-0.9627661995000001,-0.659538335
misc2__delyheO_pyr__2,-1.0681296957,-0.6003183990000001
nquinone__delubiC__1,1.4664300432,-1.328221786
nquinone__delubiC__2,1.315356369,-0.958237188
nquinone__ubiC_ale1__1,0.4433878482,-0.48504234500000004
nquinone__ubiC_ale1__2,0.7538505759,-0.6287587060000001
nquinone__ubiC_ale2__1,1.2974077466,-0.522130595
nquinone__ubiC_ale2__2,1.0996661994,-0.813262997
nquinone__ubiC_ale3__1,0.9649361265,-1.651990196
nquinone__ubiC_ale3__2,0.8283022282,-1.5059209980000001
nquinone__ubiC_ale4__1,1.1961927528,-0.777126364
nquinone__ubiC_ale4__2,1.2574609201,-0.40106884600000003
nquinone__delpdhR__1,-0.035468948800000004,-1.2865816890000001
nquinone__delpdhR__2,0.1130400876,-1.494094641
quinone__glu_ale4__1,0.081830528,-1.327639621
quinone__glu_ale4__2,-1.1340234051,-0.7026291880000001
quinone__delmenF__1,-0.4220016089,-0.331333154
quinone__delmenF__2,-0.0552213438,-0.642519701
quinone__menF_ale5__1,1.7769979985000002,-0.046547846000000004
quinone__menF_ale5__2,2.1114629265,-0.42975034300000003
quinone__menF_ale6__1,2.7589908649,-0.42837668
quinone__menF_ale6__2,3.0259930372,-0.451121139
quinone__menF_ale7__1,4.0655720631,-0.492904129
quinone__menF_ale7__2,3.6170502334,-0.37496477300000003
quinone__menF_ale8__1,0.8849073222,-0.5186499640000001
quinone__menF_ale8__2,0.5113261942,-0.43754635000000003
quinone__delmenFubiC__1,0.2539363005,-0.22744001700000002
quinone__delmenFubiC__2,0.8765449764000001,-0.238088337
quinone__menFubiC_ale1__1,2.9208085924000002,-0.846029235
quinone__menFubiC_ale1__2,2.4492304867,-0.66981092
quinone__menFubiC_ale2__1,3.2581383903,-0.311997949
quinone__menFubiC_ale2__2,2.5527357296,-0.39903802
quinone__menFubiC_ale3__1,-0.2223584835,-1.309245952
quinone__menFubiC_ale3__2,-0.11204509780000001,-1.052562968
quinone__menFubiC_ale4__1,1.3016870394,-0.39666596600000004
quinone__menFubiC_ale4__2,1.6177650103999999,-0.11109666900000001
oxyR__wt_glc__1,0.507210135,-1.195778125
oxyR__wt_glc__2,0.6528558221,-1.18326561
oxyR__wt_h2o2__1,0.3337329738,-1.286852597
oxyR__wt_h2o2__2,1.0899981369,-1.190730456
oxyR__glu_ale4__1,0.2189877258,-1.116486758
oxyR__glu_ale4__2,0.0088235938,-1.258090303
oxyR__glu_ale4_h2o2__1,0.0290021646,-0.85075249
oxyR__glu_ale4_h2o2__2,-0.2161630128,-0.723499956
oxyR__oxyR_ale17__1,-0.28580305040000004,-0.9172790590000001
oxyR__oxyR_ale17__2,0.0582112602,-0.787294838
oxyR__oxyR_ale17_h2o2__1,-0.4713419581,-0.8907997390000001
oxyR__oxyR_ale17_h2o2__2,-0.34447637880000004,-1.032621507
oxyR__oxyR_ale18__1,0.35434987960000003,-1.89804573
oxyR__oxyR_ale18__2,0.7853604395,-1.47674418
oxyR__oxyR_ale18_h2o2__1,0.5680152171,-0.970208273
oxyR__oxyR_ale18_h2o2__2,0.7001155228,-1.017919212
oxyR__oxyR_ale19__1,-0.0874733032,-1.403314443
oxyR__oxyR_ale19__2,0.15921721800000002,-1.465252435
oxyR__oxyR_ale19_h2o2__1,-0.0541602824,-1.830463238
oxyR__oxyR_ale19_h2o2__2,0.16068250480000001,-1.80452034
oxyR__oxyR_ale20__1,0.20770359060000002,-0.7244771160000001
oxyR__oxyR_ale20__2,0.3274890861,-0.8538696680000001
oxyR__oxyR_ale20_h2o2__1,-0.1463908992,-0.854953692
oxyR__oxyR_ale20_h2o2__2,0.26248307400000004,-0.807868789
svns_pgi__BmePgi24_15__1,-0.1606443484,-0.9964723470000001
svns_pgi__BmePgi24_15__2,-0.1659152456,-0.942298999
svns_pgi__BmePgi24_26__1,-0.3491315821,-1.3580025230000001
svns_pgi__BmePgi24_26__2,-0.6141565834,-1.222269734
svns_pgi__BmePgi24_41__1,0.9202047599000001,-1.020251618
svns_pgi__BmePgi24_41__2,-0.5875618178,-1.467533797
svns_pgi__BmePgi24_52__1,-0.3562496511,-1.385988193
svns_pgi__BmePgi24_52__2,-0.2099227163,-1.288040611
svns_pgi__PaePgi2_34__1,-1.3216430347,-0.904671522
svns_pgi__PaePgi2_34__2,-1.6336406399999999,-0.851116548
svns_pgi__PaePgi2_63__1,-1.7462040067,-1.013967788
svns_pgi__PaePgi2_63__2,-1.6081468965,-1.035712886
svns_pgi__PaePgi24_54__1,-1.3170433667,-0.83700148
svns_pgi__PaePgi24_54__2,-1.4057851074,-0.917530465
svns_pgi__PaePgi24_90__1,-1.4340060544,-1.024027587
svns_pgi__PaePgi24_90__2,-1.1869847464,-1.0748490450000001
abx_media__m9_ctrl__1,-0.4141300167,-0.46051636
abx_media__m9_ctrl__2,-0.5807916665,-0.363949462
abx_media__rpmi_ctrl__1,-6.4639636019,-2.202372651
abx_media__rpmi_ctrl__2,-6.562949109,-2.136442724
abx_media__camhb_ctrl__1,-4.8953574056,-2.932467104
abx_media__camhb_ctrl__2,-4.9153721491,-2.797636119
abx_media__m9_mero__1,-1.3080414244,-0.853779073
abx_media__m9_mero__2,-0.7650865246,-0.859106098
abx_media__rpmi_mero__1,-6.5653383344,-2.836215102
abx_media__rpmi_mero__2,-6.3418352638,-2.428273502
abx_media__camhb_mero__1,-4.9100934022,-3.260627732
abx_media__camhb_mero__2,-4.6922188214,-3.249296554
abx_media__m9_trisulf__1,-0.1318348171,-0.881292862
abx_media__m9_trisulf__2,0.5438174845,-0.8955874060000001
abx_media__rpmi_trisulf__1,-4.9438605771,-2.062998688
abx_media__rpmi_trisulf__2,-5.1071752403,-2.147362903
abx_media__camhb_trisulf__1,-7.0427080508,-2.222174867
abx_media__camhb_trisulf__2,-7.5408441025,-2.315925675
abx_media__m9_cef__1,0.6176418847,-0.847261981
abx_media__m9_cef__2,1.320467448,-0.924318305
abx_media__rpmi_cef__1,-7.8132871295,-2.0700616
abx_media__rpmi_cef__2,-6.7386944315,-1.973307417
abx_media__camhb_cef__1,-4.7662754646,-2.740902565
abx_media__camhb_cef__2,-4.9568751907,-2.825065404
abx_media__m9_cipro__1,0.8232344733,-1.363870517
abx_media__m9_cipro__2,0.3040051486,-1.195262596
abx_media__rpmi_cipro__1,-6.131262328,-2.381641264
abx_media__rpmi_cipro__2,-5.5028609353,-2.727309087
abx_media__camhb_cipro__1,-5.4913721569,-2.762839184
abx_media__camhb_cipro__2,-5.7761259252,-3.058222193
hot_tale__42c_ale3_30c__1,-0.38490130240000003,-1.695274258
hot_tale__42c_ale3_30c__2,-0.20037453400000002,-1.516766686
hot_tale__42c_ale3_37c__1,0.4526283045,-0.9765947020000001
hot_tale__42c_ale3_37c__2,0.18589792970000002,-1.246899466
hot_tale__42c_ale3_44c__1,-1.96603242,0.178130324
hot_tale__42c_ale3_44c__2,-1.6948035682,0.12790721700000002
hot_tale__hot_ale3_mid_30c__1,-2.8381348336,-1.159235804
hot_tale__hot_ale3_mid_30c__2,0.12381621990000001,-1.256488491
hot_tale__hot_ale3_mid_37c__1,-0.1995707948,-1.109509792
hot_tale__hot_ale3_mid_37c__2,0.3176993266,-1.599464651
hot_tale__hot_ale3_mid_44c__1,-1.2572807893,-0.577268448
hot_tale__hot_ale3_mid_44c__2,-2.0713256416,-0.552751477
hot_tale__hot_ale3_30c__1,-1.2431180257,-1.147246456
hot_tale__hot_ale3_30c__2,-0.26325477210000003,-1.123361411
hot_tale__hot_ale3_37c__1,0.351598097,-1.178567477
hot_tale__hot_ale3_37c__2,0.14635840590000002,-1.159614782
hot_tale__hot_ale3_44c__1,-1.4053060193,-0.684087812
hot_tale__hot_ale3_44c__2,-1.1876748682,-0.7819898460000001
hot_tale__hot_ale4_30c__1,-0.2203846297,-1.450156489
hot_tale__hot_ale4_30c__2,-0.2913110751,-1.544952902
hot_tale__hot_ale4_37c__1,-0.39809768700000003,-1.853538372
hot_tale__hot_ale4_37c__2,0.4955450501,-1.400624676
hot_tale__hot_ale4_44c__1,-0.9358318684,-0.10581040600000001
hot_tale__hot_ale4_44c__2,-1.0030328341,-0.50342666
hot_tale__hot_ale8_30c__1,-0.8125604608,-1.414950226
hot_tale__hot_ale8_30c__2,-0.6588187149,-1.323952778
hot_tale__hot_ale8_37c__1,-0.0588289135,-1.228138236
hot_tale__hot_ale8_37c__2,-0.6059233358,-1.197565978
hot_tale__hot_ale8_44c__1,-1.2843698737,-0.00320368
hot_tale__hot_ale8_44c__2,-1.3625694194,-0.08295348100000001
hot_tale__hot_ale9_mid_30c__1,0.8609668751,-1.3282243550000001
hot_tale__hot_ale9_mid_30c__2,1.1793359135,-1.364138272
hot_tale__hot_ale9_30c__1,-0.8375835588,-1.7572863120000002
hot_tale__hot_ale9_30c__2,-0.4305901747,-1.6842570239999999
hot_tale__hot_ale9_mid_37c__1,0.9191261121000001,-1.364063296
hot_tale__hot_ale9_mid_37c__2,1.3787253035,-1.655574428
hot_tale__hot_ale9_37c__1,-0.1876301089,-1.763049646
hot_tale__hot_ale9_37c__2,-0.1227088873,-1.353533906
hot_tale__hot_ale9_mid_44c__1,-0.2973590467,-0.49803121100000003
hot_tale__hot_ale9_mid_44c__2,-0.3306312662,-0.237951555
hot_tale__hot_ale9_44c__1,-1.6878630919000002,-0.573048501
hot_tale__hot_ale9_44c__2,-1.3638273221000001,-0.453708963
hot_tale__hot_ale10_30c__1,0.059836286100000004,-1.230184173
hot_tale__hot_ale10_30c__2,0.0924453773,-1.299407879
hot_tale__hot_ale10_37c__1,0.1357651755,-1.671007269
hot_tale__hot_ale10_37c__2,0.2838604605,-1.590531741
hot_tale__hot_ale10_44c__1,-1.4098392399000002,-0.564675255
hot_tale__hot_ale10_44c__2,-1.5995912136000001,-0.37890103
hot_tale__hot_ale16_30c__1,1.1636293619,-1.490561442
hot_tale__hot_ale16_30c__2,0.7595580931,-1.49951912
hot_tale__hot_ale16_37c__1,1.228565076,-1.5550604799999999
hot_tale__hot_ale16_37c__2,1.4095123520000001,-1.6071221210000002
hot_tale__hot_ale16_44c__1,-0.3877818407,-0.24682635200000003
hot_tale__hot_ale16_44c__2,-0.9386665435,-0.307749847
pdhr_ale__pdhR-13_51__1,0.2174692453,-1.348394295
pdhr_ale__pdhR-13_51__2,0.1302458441,-1.3410490510000002
pdhr_ale__pdhR-14_46__1,-0.0150721172,-0.7134569580000001
pdhr_ale__pdhR-14_46__2,-0.1843566852,-0.506581994
pdhr_ale__pdhR-15_51__1,-0.13448055520000002,-1.343789858
pdhr_ale__pdhR-15_51__2,0.0484057378,-1.348657092
pdhr_ale__pdhR-16_49__1,0.3416285732,-0.535233795
pdhr_ale__pdhR-16_49__2,0.30629597010000004,-0.546096739
tcs__del_atoC_LiAcet__1,0.7899197502,-0.766991953
tcs__del_atoC_LiAcet__2,0.9213637046,-0.467518407
tcs__del_atoC_LiCl__1,1.4716843259,-0.430095824
tcs__del_atoC_LiCl__2,1.7983523852,-0.392678897
tcs__del_atoC_m9__1,1.7013005942000001,-0.7142505760000001
tcs__del_atoC_m9__2,1.5959358523,-0.5982258730000001
tcs__del_baeR_etoh__1,-4.3600202361000004,-0.001225743
tcs__del_baeR_etoh__2,-3.6743066178,0.142396146
tcs__del_baeR_lb__1,-0.08815126420000001,0.8732517870000001
tcs__del_baeR_lb__2,0.1948521238,0.9090231780000001
tcs__del_btsR_01xlb__1,0.0473679523,1.106459512
tcs__del_btsR_01xlb__2,-1.5462516721,1.06289566
tcs__del_btsR_lb__1,-2.8892491495,-1.2351007840000001
tcs__del_btsR_lb__2,-2.9594620816,-1.078536714
tcs__del_btsR_pyruvate__1,-0.9179048569,1.031307218
tcs__del_btsR_pyruvate__2,-0.9484180024000001,1.015618228
