,A,TdcA,Fnr,Crp,ihfB
oxidative__delsoxs_pq__1,0.2121762350408531,-0.13716604400000001,-0.1387633190000006,0.5134629630000003,1.1351437949999994
oxidative__delsoxs_pq__2,-0.169931697454162,-0.10017548399999998,-0.1421156520000011,0.5104807529999995,1.020138574999999
nac_ntrc__wt_csn__1,0.5147600763323606,-0.25247758800000003,-0.1587119630000018,-0.0727968299999997,0.17254414499999982
nac_ntrc__wt_csn__2,0.4213654249653917,-0.213833551,-0.2040164890000007,-0.09324395099999984,0.2130251749999985
nac_ntrc__wt_cytd__1,0.562123855324565,-0.325451717,-0.2233020650000004,-0.043119613,0.4575306549999994
nac_ntrc__wt_cytd__2,0.3068078237362004,-0.20986354900000004,-0.14878209200000114,-0.07348926000000056,0.5979945149999981
nac_ntrc__wt_gln__1,1.9798652176796363,-0.42544290700000004,-0.1339289860000008,0.16383650300000066,1.0409726349999993
nac_ntrc__wt_gln__2,2.180164980390625,-0.816428563,-0.07252378100000101,0.11651884599999995,1.1155340849999984
nac_ntrc__bw_delnac_csn__1,1.0040214338354092,1.0613576250000003,-0.17298681200000132,0.16921202300000004,0.2154991849999988
nac_ntrc__bw_delnac_csn__2,0.4446104061548062,-0.26420454399999993,-0.2073357070000004,0.03216219000000109,-0.16648385500000096
nac_ntrc__bw_delnac_cytd__1,0.3435895149323282,-0.30097831899999994,-0.3990849310000009,0.2936758630000007,0.4645455949999988
nac_ntrc__bw_delnac_cytd__2,0.4420802252563888,-0.6836804639999999,-0.4580705310000006,0.2286386530000009,0.4230415649999984
nac_ntrc__bw_delnac_gln__1,1.9724754640452595,-0.5698371379999999,-0.3877521210000019,0.5051051429999998,0.8464916449999986
nac_ntrc__bw_delnac_gln__2,2.3067723883271745,-0.834139662,-0.3182893920000005,0.563775123000001,0.8042016749999998
nac_ntrc__bw_delnac_nh4__1,0.2449157071616985,0.4511616199999999,-0.4074629840000004,0.3391651030000009,-0.3020342150000008
nac_ntrc__bw_delnac_nh4__2,-0.599073310896207,-0.8975539669999999,-0.4319254960000016,0.3602350630000011,-0.19284083500000013
misc__wt_no_te__1,-0.64386426420942,-0.8846875909999999,-0.5747228530000008,0.3221691629999999,0.8689442749999987
misc__wt_no_te__2,-0.2194483221158274,-0.24666584100000002,-0.4345764080000016,0.3159875930000009,0.5093796549999983
misc__bw_delcbl__1,-0.8724180944512858,-0.7113955040000001,-0.5447975610000011,0.30577407300000026,-0.3394036750000016
misc__bw_delcbl__2,-1.281651964978065,-0.047749918000000065,-0.5101214760000019,0.3225694130000001,-0.29720346500000083
misc__bw_delfabr__1,-1.4122308796516,-0.367841596,-0.5468835700000003,0.1944652930000004,-0.6204796650000013
misc__bw_delfabr__2,-1.1319169267703724,0.079021016,-0.5969020620000016,0.13385438500000113,-0.5922961330000014
misc__bw_delfadr__1,-0.7626942500673564,-0.04758007400000008,-0.6318394690000009,0.325118883,-0.2622498450000013
misc__bw_delfadr__2,-1.2263273090505549,-0.7792766059999999,-0.5991148660000007,0.3434663330000003,-0.13650693500000166
misc__nitr_031__1,0.853549823297596,-0.720643914,-0.4462157430000016,0.2155988630000003,0.036167394999999665
omics__wt_glu__1,0.2138105197908332,0.1757453590000002,0.6836297179999988,0.3481259330000004,-0.13827825500000124
omics__wt_glu__2,-0.0663470685813707,-0.434424999,0.7885854679999991,0.31989882300000083,-0.2514746050000003
omics__wt_gly__1,0.8017579279426416,0.013349894999999943,0.206760040999999,0.3121818130000005,-0.872324217000001
omics__wt_gly__2,0.7292039510760199,0.07129810199999986,0.1833143229999994,0.3489800729999999,-0.8714248070000004
omics__wt_thr__1,1.116701734314801,3.4885890510000004,-0.542585261000001,0.8835606830000007,-0.1857289950000016
omics__wt_thr__2,1.4495446476472764,3.374863506,-0.6071561150000004,1.127551423,-0.3407635650000014
omics__bw_ac__1,2.167316121371785,3.3691053920000003,0.045715160999998616,0.4643589929999994,0.6479085849999997
omics__bw_ac__2,1.3824550053570532,3.14063315,0.09762738399999904,0.4618822229999999,0.6054734249999996
omics__bw_fum__1,-0.3449414170916541,1.768598914,-0.1884815580000012,0.446647853,0.018456404999998455
omics__bw_fum__2,-0.7125095760325753,2.058582136,-0.2422709619999992,0.4952586530000005,-0.006356255000001809
omics__bw_glc__1,-1.2564166209828664,-0.121584774,-0.2345112470000004,0.31995135300000044,0.16412660499999987
omics__bw_glc__2,-1.791390454931302,0.17970874900000022,-0.2088260980000012,0.3609335930000004,0.15512309499999866
omics__bw_pyr__1,-0.893433106040927,1.3065606719999998,0.08724294099999952,0.8061810030000007,0.6449217049999998
omics__bw_pyr__2,1.4006666331607138,1.9063292470000004,0.02212409499999879,0.7644674929999997,0.6594726449999992
ompr__wt_nacl__1,-1.8361838375774,-0.456314265,-0.7696515920000007,-0.6865814769999989,0.27755200499999866
ompr__wt_nacl__2,-1.4208848021750662,-0.5362887599999999,-0.6463673310000004,-0.620927,0.08413458499999926
ompr__bw_delompr_nacl__1,-0.6262572339514638,-0.6491023069999999,-1.035417797000001,-1.0462482019999992,0.00949221499999986
ompr__bw_delompr_nacl__2,-0.8335800476660568,-0.4090457719999999,-0.9836439900000008,-1.071490686999999,-0.1324689250000013
minspan__wt_ade__1,-0.0472804449823922,-0.372881833,-0.579642380000001,-0.09169608400000052,0.32309054499999945
minspan__wt_glc__2,-0.1158446440396391,-0.13272120100000007,-0.946672155,-0.17147671399999884,-0.005051925000001845
minspan__wt_glc__3,-0.0985751024148234,0.486568925,-0.702451240000002,-0.2165117989999992,0.045105534999999364
minspan__wt_glc__4,0.0261742046353455,-0.11467423200000006,-0.6560544730000011,-0.23779414300000035,-0.07972467500000135
minspan__wt_glc_anaero__1,-0.8809166691723077,0.4663172500000001,-1.3752412100000004,0.09730802400000016,-0.1724310150000008
minspan__wt_glc_anaero__2,-0.1093059166104155,-1.218417149,-1.5192858430000022,0.0007891440000005191,-0.1700636650000007
minspan__wt_trp__1,2.562227471669171,3.2979801720000004,-1.8579653490000012,0.379309933,0.6313251449999981
minspan__bw_delcra_glc__2,-0.2194913672940067,1.1107018430000002,-1.774069647000001,0.2077464830000011,0.5065485749999983
minspan__bw_delcra_trp__1,-0.5900549606160742,1.744198,-1.6792622710000007,0.245706203000001,0.9061306849999989
minspan__bw_delmntr__1,2.5945955069297826,1.008958078,-1.529694333000002,0.3950805430000006,0.004072414999999553
minspan__bw_delnac_ade__1,-1.71797664841633,0.7370741279999999,-0.24103003300000125,0.005806081999999435,0.07351886499999871
minspan__bw_delnac_glc__1,-1.296362416037703,0.8949619160000002,-0.7240322750000008,0.19238992300000035,0.1234782249999995
cra_crp__wt_ac__1,2.477310716880476,2.762646428,0.5630292579999985,0.7848307329999997,-0.30622956500000065
cra_crp__wt_ac__2,2.175375301289094,2.965087271,0.5452901479999994,0.774460393,-0.35281656500000125
cra_crp__wt_fru__1,1.34784099064717,0.9297828920000001,0.574998437999998,0.3134937529999995,-0.2631118050000012
cra_crp__wt_fru__2,0.7193018635933908,1.3161859859999998,0.5622400479999996,0.3732440629999996,-0.08839022500000128
cra_crp__delcra_ac__1,-0.1443804512220671,1.783614701,-0.3505163840000005,0.20535391299999967,0.0891974049999984
cra_crp__delcra_ac__2,-0.2053385507431996,1.874610908,-0.29769803800000183,0.15922527300000056,0.021087684999999468
cra_crp__delcra_fru__1,0.2493959727977142,-0.530168278,-0.4862878060000018,0.12650519299999985,0.27963663499999925
cra_crp__delcra_fru__2,0.0747613557252017,-0.5862369829999999,-0.5381468600000012,0.1631474930000003,0.3256943649999986
cra_crp__delcra_glc__1,-0.087962449809539,-0.6343342989999999,-0.5029783950000013,0.046791002000000866,-0.027273645000001068
cra_crp__delcra_glc__2,-0.113029322903687,-0.124895851,-0.5727874140000004,-0.014761103999999747,-0.1367845850000009
rpoB__wt_031__1,1.0501429739527692,3.837610528,-0.4392632620000008,0.271760703,-0.01898600500000036
rpoB__wt_044__1,-0.4059109809466137,-0.4382537219999999,-0.35546248300000194,0.2048586730000004,-0.16863898500000118
rpoB__wt_lb__1,4.030128339064144,3.3465724370000003,-0.4312754440000006,0.2472729529999995,0.3773911149999982
rpoB__wt_lb__2,4.116632835015585,3.5000765960000004,-0.4756920160000018,0.2041545229999997,0.2931017149999988
rpoB__rpoBE546V_031__1,0.392413336572715,1.3000346809999999,-0.2190748840000012,0.4571714629999999,0.3454237649999996
rpoB__rpoBE546V_044__1,0.32853293684804,1.287029222,-0.29527451800000115,0.37625628299999997,0.4336448049999984
rpoB__rpoBE546V_lb__1,2.063839405499109,2.3731269170000004,-0.1772575130000007,0.1174804819999995,0.15481106499999875
rpoB__rpoBE546V_lb__2,2.30456543346032,2.2157207320000003,-0.1896798920000009,0.1254229630000001,0.1844319049999985
rpoB__rpoBE546V_glc__1,-1.4197519411335948,-0.278081677,-0.13970386800000156,-0.004082425000000001,-0.2513758650000017
rpoB__rpoBE672K_glc__1,-1.1743511849347814,-0.24608040899999994,-0.2144874060000017,-0.6662891799999997,-0.8686284180000001
rpoB__rpoBE672K_glc__2,-2.040167912658605,0.292480428,-0.2133236690000011,-0.5708984560000001,-0.8417491950000002
rpoB__rpoBE672K_lb__1,0.2655511503370485,0.737872283,-0.31724649200000066,-0.2288451829999989,-0.7302826730000014
rpoB__rpoBE672K_lb__2,0.2320866548208273,1.111192591,-0.3099385020000014,-0.18410035800000024,-0.7081113300000013
crp__wt_fru__1,-0.0809305935030209,0.678807672,-0.2229942960000013,-0.13483747499999946,-0.12088642500000013
crp__wt_glyc__1,1.4451051896622868,1.185245242,-0.17428477600000036,-0.06971342199999953,-0.23519522500000176
crp__wt_glyc__2,1.3509036169351831,1.225684674,-0.08995859500000059,0.000271048000000107,-0.2269791750000003
crp__delar1_glyc__1,1.75635882030652,2.521765325,-1.2857264020000017,0.7684826630000003,0.8177116649999991
crp__delar1_glyc__2,2.1271276226778983,2.67956496,-1.5015297130000018,0.9809746629999996,0.8890342949999983
crp__delar1ar2_glyc__1,0.0323411481626492,-0.13547892400000006,-0.15562998200000067,0.2916550830000002,0.4273910749999992
crp__delar1ar2_glyc__2,0.1939182101889044,0.15343741900000007,-0.11493448800000115,0.2567226429999998,0.4929071349999994
crp__delar1ar2_glyc__3,0.1688957495704117,-0.454633774,-0.1471097530000005,0.37124749300000026,0.4557914849999989
crp__delar2_glyc__1,-2.208628580886988,1.0794749179999998,-1.2714837790000022,1.4298253029999994,1.0758542649999985
crp__delar2_glyc__2,-2.58674362446768,0.5592841140000002,-1.1773514360000004,1.3004454830000007,0.8624663449999996
crp__delar2_glyc__3,-2.773221186841496,0.1793459770000001,-1.1748534320000008,1.2369035230000005,0.7822983149999985
crp__delcrp_fru__1,0.8344412291310996,-0.600052385,-0.24670364600000205,-9.852476477,0.7741806249999996
crp__delcrp_fru__2,0.7240857362643274,-0.28436654799999994,-0.21771090100000198,-9.107951936000001,0.7805150249999997
crp__delcrp_fru__3,0.6607690576179372,-0.584213811,-0.34636329800000176,-9.852476477,0.6682049649999993
crp__delcrp_glc__1,1.1946340159107371,-0.6129821569999999,-0.14795257000000106,-9.025871704,0.9036337949999992
crp__delcrp_glc__2,0.8949597631428382,-1.019640472,-0.1338359880000013,-9.566616581,0.8802052149999984
crp__delcrp_glc__3,0.7322114610589863,-0.950161149,-0.2458932260000015,-9.852476477,0.9120195049999982
crp__delcrp_glyc__1,0.4924854279551391,-0.145969644,-0.17621799900000035,-9.852476477,0.8951313249999995
crp__delcrp_glyc__2,0.1694695768517941,-0.7066352909999999,-0.25661334000000124,-9.852476477,0.8307353349999982
crp__delcrp_glyc__3,0.3113571072053133,-0.371606877,-0.2795685010000017,-9.852476477,0.8947548049999998
glu__glu_ale3__1,-2.026659916019479,0.13996754100000008,-1.5312083710000015,1.4385551630000002,0.6064907849999983
glu__glu_ale4__1,-2.0721886869667667,-0.541044053,-0.3330961230000007,0.1237046330000009,-0.2619136350000009
glu__glu_ale5__1,-0.5082492888144876,-0.247408184,-0.7786549400000009,0.23737495299999975,-0.8460246970000007
glu__glu_ale6__1,-1.2662972308500329,-1.0505976970000002,-0.12059369700000032,-0.2669721739999993,-0.7752423590000017
glu__glu_ale8__1,-1.7113646494470882,0.019441698000000063,-1.378413375000001,1.5517659029999995,0.6607472949999984
glu__glu_ale9__1,-2.202257054363782,-0.16143999500000006,-0.7807343670000009,0.736260553000001,-0.06697157500000017
glu__glu_ale10__1,-1.6659047905905755,-0.11538000599999987,-1.3600023360000009,1.2484999630000004,0.21387256499999907
42c__wt_42c__1,0.6727777257758458,-0.606579859,-1.0145581910000008,-0.02289376299999901,-0.31461002500000035
42c__42c_ale1__1,3.98919037070864,2.540506751,-1.8717782250000008,0.578078713,0.11635354499999905
42c__42c_ale2__1,-1.7725618250314772,-0.800508558,-0.4431280230000017,-0.001157444000000396,-0.2542397450000013
42c__42c_ale3__1,-1.4346891570304026,0.13649950700000013,-0.1727305000000019,-0.16365086199999898,-0.2953636450000001
42c__42c_ale4__1,-0.4393077037980245,0.10539124500000008,-0.3207554420000012,0.18829674300000046,-0.5980379260000017
42c__42c_ale5__1,-1.8660361232158331,-0.3851346530000001,-0.5273028440000012,-0.2550904079999992,-0.4206413750000007
42c__42c_ale6__1,0.6503249984459402,1.233340514,-1.720490645,0.5847098129999999,-0.051506065000001655
42c__42c_ale8__1,0.239784228541966,-0.26577076199999994,-0.7990813750000001,0.898060053,0.06802815499999859
42c__42c_ale9__1,-1.8828725969262343,-0.594785841,-0.4473727390000004,0.2344509129999999,-0.2417516550000016
42c__42c_ale10__1,1.005812509902796,0.8010663770000002,-0.9696312210000002,0.5824345429999997,-0.1791272750000008
ssw__wt_ac__1,-0.0285780862068606,1.269249259,-0.8082528600000014,0.155824183,-0.34671080500000073
ssw__wt_glc__1,-1.6422182012024724,-0.584541668,-0.2496041240000011,0.08995910700000033,-0.34210524500000083
ssw__wt_glyc__1,9.100539796351912,6.649996477000003,-0.3966449650000019,0.2646295629999997,-0.5893889490000017
ssw__wt_xyl__1,1.2357691838620843,1.6623640549999998,0.2157472579999986,0.6151089029999994,-0.05021167500000168
ssw__glc_ale1__1,1.435259572723386,2.404721217,-0.4638172160000007,0.31199771300000023,0.1123376849999982
ssw__glc_ale2__1,-1.726113520187084,0.4294024529999998,-1.507022258000001,0.5353218630000001,0.8555401049999993
ssw__glc_ale3__1,-1.3007521841654208,-0.4913066110000001,-1.2375372210000002,0.4454840030000007,0.35300746499999924
ssw__glyc_ale1__1,2.266859450377021,3.1586625560000003,-0.391325409000002,0.2988789030000003,0.5749310549999986
ssw__glyc_ale2__1,-0.7160616786064371,0.6088721880000001,-1.296498570000001,0.3021156230000006,0.2094873549999985
ssw__xyl_ale1__1,-1.201216673488514,2.365593591,-0.9544926520000008,-0.2147884219999998,0.12516697499999907
ssw__xyl_ale2__1,-1.56272890100275,2.370151443,-0.6357546720000009,0.026451148999999674,-0.2252324650000013
ssw__xyl_ale3__1,0.3397184389326291,0.14754393099999996,-0.9828595450000002,-0.3138359289999997,-0.5222997210000013
ssw__glc_ac_ac2__1,0.6810516682262923,0.8696064450000001,-2.2943992480000013,0.5069351229999999,0.1714670449999982
ssw__glc_ac_glc1__1,-0.8871920683535494,-0.437163491,-0.3561024360000005,-0.42053636400000016,0.3364167649999992
ssw__glc_glyc_glc__1,-2.9907831661883977,0.9862029659999999,-1.4659991440000013,0.565682133000001,0.5272570349999999
ssw__glc_glyc_glyc__1,-2.281498384715956,3.61978501,-0.5806601790000006,0.3070424930000009,0.2746682449999991
ssw__glc_xyl_glc__1,-0.3782736044726306,1.140358458,-1.242127184000001,0.029020071999999782,-0.35453504500000044
ssw__glc_xyl_xyl__1,-0.3586584653749012,0.6326973539999999,-0.7752710380000014,-0.2438474470000003,-0.20853702500000185
ica__wt_glc__1,-0.7683707067173137,0.15839832099999995,-0.7268877690000011,-0.02120516499999958,-1.1147660930000018
ica__wt_glc__2,-0.8822647796638976,0.15846931599999992,-0.7699083190000007,-0.013075077999999962,-1.1984546920000003
ica__wt_glc__3,-1.6534201597548157,-0.17828244699999996,-0.5550889640000012,0.0930502690000008,-0.5317266690000011
ica__wt_glc__4,-1.5794527362190542,-0.5305320219999999,-0.701890070000001,0.399858493,-0.2623442850000011
ica__arg_sbt__1,1.7332139457650668,4.667000216,-0.9857155870000014,0.17296083299999945,-0.7130596030000014
ica__arg_sbt__2,1.5716468892297828,4.146944016000002,-0.8052297820000014,0.4931735029999995,-0.5527461320000011
ica__cytd_rib__1,3.1976845806113734,2.769475364,-0.6435942390000005,0.5032386530000004,0.8413076649999987
ica__cytd_rib__2,3.5288361880526478,2.98408971,-0.6875447610000016,0.4864851229999996,0.7168878949999993
ica__gth__1,-1.0668088084239828,0.222390415,-0.8140340760000004,-0.3447319570000005,0.23464762499999914
ica__gth__2,-0.777662731983728,-0.284162713,-0.9197743240000024,-0.5509396859999995,0.03602994499999923
ica__leu_glcr__1,0.9039859908731696,0.8866739490000001,-0.5381583960000018,1.0260792930000004,-0.3892439150000016
ica__leu_glcr__2,0.597789994392433,0.927542062,-0.5397882840000019,0.964590953,-0.4901262500000012
ica__met_glc__1,-0.1509357451347423,-0.16430250699999993,-0.7339297900000012,-0.0020434050000002198,-1.2518318020000017
ica__met_glc__2,-1.0082274164604978,-0.02649424099999997,-0.7304694330000014,-0.06998528999999998,-1.1905887250000011
ica__no3_anaero__1,-0.8270106313236731,-0.782791948,-0.7996812930000008,0.16601552300000044,-0.11737177500000052
ica__no3_anaero__2,-0.3941540973069783,-0.1003277629999999,-0.7648052850000013,0.1659366630000001,-0.2346329650000012
ica__phe_acgam__1,-1.555750346679614,-0.0415924379999999,-0.5583355860000019,0.08710832000000046,-0.8871626400000014
ica__phe_acgam__2,-1.5927328261628395,0.13867651699999994,-0.4918045360000018,0.07371453200000032,-1.0565964590000014
ica__thm_gal__1,-0.1618124750499546,1.4422107839999998,-0.6206503470000015,0.41909228299999945,-0.16482862500000015
ica__thm_gal__2,-0.0127779474842705,1.4845763570000003,-0.6047507440000004,0.4125785030000007,-0.15669868500000028
ica__tyr_glcn__1,-0.9909676830124576,-0.04928041799999994,-0.6034127080000005,0.211699823,-0.6120214560000008
ica__tyr_glcn__2,-0.8430320919698233,0.13233005400000009,-0.6014504730000017,0.2492893929999997,-0.636866297000001
ica__ura_pyr__1,-1.003226066224269,0.468623295,-0.5894554290000009,0.8236668229999999,-0.3158368550000006
ica__ura_pyr__2,-0.1533026490065566,1.3825090880000002,-0.5449526920000007,1.104333543000001,-0.11250578500000152
ica__wt_glc__5,-1.4993829366421607,0.201972941,-0.6705241160000011,0.3105034530000008,-0.19704825500000034
ica__wt_glc__6,-1.2762628914407157,0.20145019899999994,-0.6067997510000005,0.3376528430000008,-0.016725155000001383
ica__bw_delpurR_cytd__1,-0.6131316844847993,0.34283772400000023,-0.7190110720000007,-0.14178576699999998,-0.7562658370000008
ica__bw_delpurR_cytd__2,-1.9480481327601444,0.10879135599999999,-0.6968049610000016,0.2554834630000009,-0.24630387500000064
ica__ade_glc__1,-2.026040265975177,0.21660122299999984,-0.6706830310000012,0.27079068299999953,-0.3082547050000013
ica__ade_glc__2,-0.3785247700018826,0.10813036500000006,-0.7218945370000007,-0.10748262699999957,-0.7539613130000014
ytf__wt_glc__1,-1.083667640267391,0.2225294760000001,-1.0162461270000005,0.34000217300000024,0.048335154999998416
ytf__wt_glc__2,-0.2593486773481296,0.8406228470000001,-1.3082336250000015,0.487174103000001,0.008906584999998302
ytf__delyafC__1,2.059595489084063,1.7044669950000002,-1.7164273530000018,0.518280163,0.9312559249999984
ytf__delyafC__2,1.847358300004066,1.954919891,-1.6210117860000004,0.558626223000001,0.8762793349999995
ytf__delyeiE__1,0.8106431131027602,0.389720723,-0.1461128140000003,0.4528218430000006,0.37449202499999856
ytf__delyeiE__2,-0.3907184030285642,-0.09809060700000004,-0.4326376600000009,0.3693801830000005,0.10842385499999983
ytf__delyiaJ__1,0.8959069922784686,0.7748998730000001,-1.55639051,0.4900788630000008,0.8927779449999989
ytf__delyiaJ__2,0.7385416168455767,0.928068097,-0.8717574610000014,0.4743345229999996,0.9751252049999994
ytf__delyieP__1,0.3461836493960566,0.7473863140000001,-1.347170503000001,0.8306116230000011,0.4164926649999998
ytf__delyieP__2,-0.4134762622918579,0.804900408,-1.305195932000002,0.7498248230000009,0.4211253349999993
ytf__wt_ph5__1,-0.9922592916793462,-0.405975209,-0.5570430830000017,0.3985759630000008,0.07739173499999907
ytf__wt_ph5__2,-0.8742673535734213,0.5341662010000001,-0.5606580010000021,0.4747397030000009,0.1304866149999988
ytf__wt_ph8__1,-0.5920694969226948,0.35300542400000023,-0.5787427820000008,0.2756429229999995,0.17264195499999954
ytf__wt_ph8__2,-0.9781629149540164,-0.116884953,-0.3957363220000012,0.2681548629999995,0.20743109499999868
ytf__delybaO__1,2.337192667938225,2.2338482020000003,-1.6552725600000002,0.5823761830000009,0.785503584999999
ytf__delybaO__2,1.989971539891621,1.82239334,-1.410532003000002,0.6367440230000003,0.6704792449999992
ytf__delybaQ__1,-0.4080982049878032,0.426613057,-0.606795733000002,0.3329404930000006,-0.10467602500000163
ytf__delybaQ__2,-0.6504747847424295,-0.03143624899999997,-0.5836305950000007,0.3236855130000009,-0.13997920500000127
ytf__delybiH__1,-0.6924719293453087,1.121109762,-0.9780890030000008,0.6363319829999998,0.18352660499999907
ytf__delybiH__2,0.4678085626360977,1.5038980430000002,-1.476111577000001,0.5546718429999995,0.5048975449999986
ytf__delydcI_ph5__1,-1.3248497193363855,0.2403568119999999,-0.6045711670000014,0.36809995299999976,-0.1335313650000014
ytf__delydcI_ph5__2,-1.0956663437381196,0.4229281039999999,-0.612837080000002,0.4226014830000011,-0.0947178250000018
ytf__delydcI_ph8__1,-0.7721355668026573,-0.27381950999999993,-0.4941553620000008,0.3631957630000002,0.2929409749999987
ytf__delydcI_ph8__2,-0.7555102836868822,0.14736295800000002,-0.6297628440000018,0.3071113430000008,-0.07397079500000102
ytf__delyddM__1,0.0887342881245552,0.13672952699999996,-0.5226934970000006,0.8218948030000011,0.5608763049999991
ytf__delyddM__2,-0.1074875110320229,0.20323731900000008,-0.4254320210000007,0.8320546029999996,0.4931839349999994
ytf__delyheO__1,2.024125247574054,1.8918575430000002,-1.8218537240000008,0.5961686430000004,0.7981991849999996
ytf__delyheO__2,1.7277714317648003,2.0299865770000003,-1.8295830700000009,0.6336565129999999,0.7979975949999982
fps__bw_glc__1,-0.891107428120469,0.08832216500000012,-0.6606700440000015,0.23073483299999964,-0.5939824160000011
fps__bw_glc__2,-1.1274982937568223,0.744778156,-0.7722607140000015,0.16040873300000058,-0.4638760710000014
fps__fps_thrA_ale1__1,-0.8683801886678657,0.4882123869999999,-0.5674762880000017,0.3327312029999998,0.2506921749999993
fps__fps_thrA_ale1__2,-1.0070719384107971,0.07741378200000004,-0.7100081640000013,0.3516250830000001,0.1171958749999984
fps__fps_thrA_ale2__1,-0.5472042344661733,0.195739927,-0.7084273220000004,0.22966762300000101,-0.05670448500000092
fps__fps_thrA_ale2__2,-1.104332923028515,0.439665097,-0.6741296350000017,0.28896753300000105,-0.07788523500000187
fps__fps_serB_ale1__1,-0.1119211815302242,0.004324892999999941,-0.7472038340000005,0.2630278130000008,-0.0532821650000006
fps__fps_serB_ale1__2,-0.0960997692737475,0.344159017,-0.6559473680000014,0.3896577630000007,-0.17460455500000016
fps__fps_serB_ale4__1,0.5393864239131629,0.29698042400000024,-1.1846466490000012,0.20591431300000096,0.3308044149999993
fps__fps_serB_ale4__2,0.7258554566797495,0.5944728570000001,-1.019253874000002,0.3602136930000004,0.34874165499999954
fps__fps_ptsI_ale1__1,-0.7783331878608083,2.296073832,-0.9269502930000008,0.045779202000000296,0.1815387649999991
fps__fps_ptsI_ale1__2,-0.3718215426999308,2.482024956,-0.8308143870000021,0.14486478300000094,0.07463568499999873
fps__fps_ptsI_ale3__1,-0.2829991499730862,1.820620658,-0.8180644960000016,0.2525903130000007,-0.04807274500000069
fps__fps_ptsI_ale3__2,-0.4568585880996146,1.5622534630000002,-0.8140812820000018,0.22323634299999995,-0.08459257500000028
pal__lyx_ale2_f6__1,1.5766245685171507,2.4847977869999998,-0.4994335160000016,0.3334221829999997,0.16817323499999934
pal__lyx_ale2__1,1.7957253319717148,1.9581960470000004,-0.5389567430000017,0.2649081029999998,0.40226726499999893
pal__lyx_ale2__2,1.978618654989499,1.95504017,-0.5235788160000006,0.3071416530000004,0.31857179499999866
pal__lyx_ale4__1,-0.4668633360884959,1.6979918,-0.7789653710000017,-0.057655872999999865,-0.18964956500000166
