,A,NadR,BirA
S4_3,-4.6867626278,-0.5867333333,-0.8128666667000001
S5_1,-1.2001768051,-0.48963333330000003,-0.3506666667
S5_2,-2.023959663,-0.1390333333,-0.25426666670000003
S5_3,-1.3852254162,-0.10323333330000001,-0.2687666667
S6_1,-3.6160301737,-1.9075333333,-1.0989666667
S6_2,-13.698489707,-4.8584333333,-3.8166666666999998
S6_3,-2.5235729313,-1.3530333333,-0.9939666667
S6/t_1,-4.4238308437,-1.8730333333,-1.2530666667
S6/t_2,-13.050975995,-5.1230333333,-4.1434666667
S6_4,-5.7507408661,-1.9583333333000001,-1.4450666667
S6_5,-5.6400038981,-1.5940333333,-0.7465666667
S6_6,-4.0102373058,-1.4132333333,-0.7605666667000001
S7_4,-8.3116356565,-1.6123333333,-1.3711666667
S7_5,-8.7675483933,-1.9307333333,-1.7772666667
S7_6,-8.3622565879,-1.7173333333,-1.3636666667
S8_4,-9.3246341722,-2.2811333333,-1.5870666667000002
S8_5,-12.2191468373,-3.7403333333,-2.7089666667000003
G135_1,-27.6572014912,-2.4562333333,0.8842333333
G135_3,-22.4596054782,-3.9721333333,-1.3138666667
G150_1,-27.152329603,-2.5081333333,0.5138333333
G150_2,-28.9641006947,-2.0530333333,0.9981333333000001
G150_3,-27.7516310226,-2.0982333333,1.0610333333
G180_1,-28.3473278832,-2.4541333333,0.49863333330000004
G180_2,-28.9527144251,-1.9976333333,0.9914333333
G180_3,-26.7514935396,-3.1719333333,-0.5579666667000001
C30_1,-27.0320547685,-3.0020333333,-0.4481666667
C30_2,-28.0701765888,-2.9822333333,-0.2255666667
C90_1,-29.5438428301,-2.0521333333,-0.6735666667
C90_2,-30.1797957751,-1.6396333333,-0.25926666670000004
BI_1,-32.8644779685,-1.7843333333,-0.6084666667
BI_2,-34.4283319165,-1.6473333333,-0.3327666667
BC_2,-29.1493583128,-2.1037333333,-2.2301666667
BC/t_1,-28.8543319087,-2.8255333333,-2.9124666667
BC/t_2,-26.8307510993,-2.0849333333,-2.2561666667
BC_1,-28.3779089966,-2.8999333333,-2.7937666667
Sw_1,-31.659725844,-3.4896333333,-2.6346666667000003
Sw_2,-32.2079074901,-3.1617333333,-2.2101666667
BT_1,-7.2735451737,-1.9557333333,-1.4193666667
BT_2,-6.1451626032,-2.4884333333,-2.0789666667
B36_1,-2.6918610586,-1.3866333333,-1.3539666666999999
B36_2,-1.990058484,-1.6463333332999999,-1.4206666667
B60_1,-3.2858143889,-1.7228333333,-2.1834666667000002
B60_2,-3.2117399429,-1.3789333333,-2.4066666667
M9exp_1,0.0985355806,0.2891666667,0.4026333333
M9exp_2,-0.2326182857,-0.0395333333,-0.1060666667
M9exp_3,0.1340827051,-0.2496333333,-0.29656666670000004
M9tran_1,0.40496194560000004,0.1239666667,-0.8937666667
M9tran_2,-0.2932616166,0.15916666670000001,-0.8148666667000001
M9tran_3,1.2748553272,0.2181666667,-0.5709666667000001
M9stat_1,-18.2898362882,-3.4111333333,-2.8982666667
M9stat_2,-22.0315162679,-3.6620333333,-3.7054666667
M9stat_3,-22.0730592925,-3.8445333333000002,-3.8445666667
M+G_1,-1.0229184979000001,-0.5051333333,-0.4329666667
M+G_2,-0.7364016398000001,-0.3891333333,-0.4078666667
M+G_3,0.4009283583,-0.4040333333,-0.6978666667
Glu_1,0.5558543209,0.24606666670000002,0.0349333333
Glu_2,1.0799031183,-0.0252333333,-0.08676666670000001
Glu_3,0.9285863752,0.1634666667,-0.0016666667
Fru_1,-1.2201877438,-0.2449333333,-0.1096666667
Fru_2,-1.7343621479,-0.11003333330000001,-0.3431666667
Fru_3,-0.7005046862000001,-0.5978333333,-0.9410666667
Mal_1,-0.9423222568,-1.1458333333,-1.2537666667
Mal_2,-2.3652979095,-0.4067333333,-0.8164666667
Mal_3,-0.3349298831,-0.1811333333,-0.5639666667000001
G+S_2,-5.4575468101,-0.9421333333,-0.8842666667
G+S_3,-3.9371834644,-0.4872333333,-0.5925666667
Pyr_1,-2.9271356661,-0.4273333333,-1.4172666667
Pyr_2,-3.2725876651,-0.2832333333,-0.9411666667
Pyr_3,-3.5075963289,-0.3621333333,-1.0807666667
Gly_1,-2.7658729710000003,-1.8440333333,-1.8032666667
Gly_2,-1.7152165897,-1.1220333333,-1.0280666667
Gly_3,-5.7259197201,-2.9025333333,-2.7265666667
Glucon_1,-1.9416950892,-0.8116333333,-1.2600666667
Glucon_2,0.3508218448,-0.5068333333,-0.7337666667
Glucon_3,-1.9471823042,-0.9036333333000001,-1.4510666667
aero_1,4.6493541761,0.5731666667,0.4715333333
aero_2,6.0188320553,-0.17343333330000002,-0.8601666667000001
aero_3,7.2721076085,0.4959666667,0.5427333333000001
nit_1,1.8492877038,-0.0263333333,-0.4909666667
nit_2,2.3471691292,0.6082666667000001,-0.5195666667000001
nit_3,2.2003048559,0.1866666667,-0.6489666667
ferm_1,-0.7778181128,0.11146666670000001,-0.7688666667
ferm_2,0.9093623985,-0.0680333333,-0.6210666667
ferm_3,-0.2902866088,0.4030666667,-0.0197666667
T-5.40H_1,1.1411924529,0.6087666667,0.1647333333
T-4.40H_1,-0.1614171851,0.6352666667,0.0572333333
T-3.40H_1,-1.7569586944000002,0.3678666667,-0.2035666667
T-2.40H_1,-3.0482538986,0.1274666667,-0.6153666667000001
T-1.40H_1,-4.9275063763,0.0319666667,-0.8240666667000001
T-1.10H_1,-5.3407870528,0.0215666667,-0.7336666667
T-0.40H_1,-5.3166038008,-0.1339333333,-0.9156666667000001
T0.0H_1,-5.9690853925,-0.3050333333,-0.9811666667000001
T0.30H_1,-16.5445353755,-2.6842333333,-2.9584666667
T1.0H_1,-18.0645259771,-2.5353333333,-2.5093666667
T1.30H_1,-19.793159376,-2.8884333333,-3.0831666667
T2.0H_1,-19.776384267,-2.7803333332999998,-3.0608666667
T2.30H_1,-19.4768874999,-2.0215333333,-2.4374666667
T3.0H_1,-13.5940287031,-0.9619333333000001,-2.6171666667
T3.30H_1,-11.2771803336,-0.5461333333,-2.2401666667
T4.0H_1,-11.0005238146,-0.6451333333,-2.2644666667
T5.0H_1,-10.5097163656,-1.1387333333,-2.2343666667
HPh_1,4.8147374189,0.2015666667,0.42353333330000004
HPh_2,5.2634627488,-0.0512333333,0.0405333333
HPh_3,3.6879164763,-0.0900333333,0.0445333333
LPh_1,3.207816219,0.12916666670000002,0.4821333333
LPh_2,4.8651380917000004,0.6110666667,1.0002333333
LPh_3,4.1129043563,0.0271666667,0.3473333333
LPhT_1,-18.3375081749,-3.1824333333,-1.8263666667
LPhT_2,-25.1193113998,-3.3165333332999998,-1.6414666667
LPhT_3,-25.7919869952,-3.1010333333,-1.4051666667
SMMPr_1,-3.4011813229,-0.1857333333,-0.5654666667
SMMPr_2,-3.8115151302,-0.2605333333,-0.6381666667
SMMPr_3,-3.9319993038,-0.2714333333,-0.5419666667
HiTm_1,0.6544862847,-0.4642333333,-0.35456666670000003
HiTm_2,-0.7170666511,0.0208666667,-0.1336666667
HiTm_3,-2.3957426568,0.2604666667,-0.4650666667
LoTm_1,0.9257986242,-0.6311333333,-0.8968666667
LoTm_2,-0.707321865,-0.7285333333,-1.0027666667
LoTm_3,0.4393188113,-0.9205333333,-1.0499666667
HiOs_1,-0.054574129900000004,-0.0216333333,-0.6311666667
HiOs_2,-0.4519485675,-0.1203333333,-0.9783666667
HiOs_3,-0.0918461287,0.0081666667,-0.7724666667000001
BMM_1,3.0342709601,-0.0236333333,0.1277333333
BMM_2,2.7766661661,-0.3083333333,-0.08866666670000001
BMM_3,1.6211555793999999,0.0890666667,0.34493333330000003
Heat_1,0.9037859717000001,0.3050666667,0.7664333333000001
Heat_2,1.5314666851,0.0307666667,0.7316333333
Heat_3,-0.0596080207,-0.1012333333,0.4087333333
Cold_1,-5.4261521871,-2.1468333333,-1.0116666667
Cold_2,-6.3166933727,-2.6710333333,-1.7163666667
Cold_3,-7.8790993087,-2.9861333333,-2.3516666667
Etha_1,-2.3516030285,-0.1847333333,-2.7789666667
Etha_2,-4.0539680491,-0.41703333330000003,-2.8984666667
Etha_3,-2.0278111282,-0.0731333333,-2.6465666667
SMM_1,0.6043400466000001,0.0171666667,-0.49716666670000004
SMM_2,0.6260173278,-0.0540333333,-0.5524666667
SMM_3,0.8825072151000001,-0.0987333333,-0.6098666667
Salt_1,-7.9173353674,-0.8232333333,-1.0930666667
Salt_2,-8.539185508,-0.9242333333,-1.2139666667
Salt_3,-8.6335383204,-0.8992333333,-1.0236666667
Mt0_1,-31.4364483496,-1.8885333333,1.0079333333
Mt0_3,-33.1491446087,-2.0529333333,0.9459333333000001
M0t45_1,-34.3954649748,-1.8198333333,-0.0440666667
M0t45_2,-31.7179003475,-2.1080333333,0.9954333333000001
M0t45_3,-34.796933939,-1.4911333333,0.4258333333
M0t90_1,-26.4660563619,-2.0625333333,-2.0788666667
M0t90_2,-29.6542990879,-1.3851333333,-1.0241666667
M0t90_3,-27.5561658104,-1.6160333332999999,-1.9304666667000001
M40t45_1,-32.2269458385,-2.3515333333,-0.19696666670000001
M40t45_2,-29.4267659797,-1.8030333333000002,-1.9758666667
M40t45_3,-35.6257477186,-1.4270333333,0.3929333333
M40t90_1,-27.640832155,-2.1109333333,-2.0660666667
M40t90_2,-28.8735930204,-1.3411333333,-1.4244666666999999
M40t90_3,-28.7557379048,-1.3460333333,-1.4610666667
dia0_1,-31.4041896961,-2.1703333333,0.5708333333
dia0_2,-33.2057648009,-2.1195333333,0.6057333333
dia0_3,-34.8173472767,-1.7160333333,0.9092333333
dia5_1,-29.9574490156,-1.3403333333,-0.41196666670000004
dia5_2,-30.5365146427,-1.0589333333,0.4878333333
dia5_3,-32.9881346575,-1.1934333333,0.1701333333
dia15_1,-28.2472381144,0.033566666700000004,2.3277333333
dia15_2,-32.6949494639,-0.31573333330000003,2.3477333333
dia15_3,-33.1671103155,-0.6402333333,1.3265333333
Diami_1,-25.6566009032,-1.4034333333,0.5343333333
Diami_2,-27.8796401869,-1.1449333333,0.8612333333000001
Diami_3,-26.4988969037,-1.0196333333,1.0313333333
Paraq_1,-28.0174641806,-1.8772333333,0.7758333333
Paraq_2,-30.069891266,-1.8218333333,1.1460333333000001
Paraq_3,-25.4938658978,-2.9704333333,-0.38326666670000004
H2O2_1,-25.6743410267,-1.6061333333,1.3718333333000001
H2O2_2,-26.4152702252,-1.3937333333,1.8642333333
H2O2_3,-24.7186289793,-1.4784333333,1.7467333333
Oxctl_1,-27.0474738677,-2.6955333333000002,0.2508333333
Oxctl_2,-27.9763550547,-2.5362333333000002,0.2939333333
Oxctl_3,-29.9032833578,-2.1509333333,0.7147333333
GM-0.1_1,0.7618004042000001,-0.1195333333,-0.6256666667
GM-0.2_1,-0.5704853083,-0.1958333333,-0.3879666667
GM+5_1,-1.0554088859,-0.45623333330000004,-0.9119666667
GM+15_1,0.8159218964,0.1535666667,-0.21306666670000002
GM+25_1,2.6815172628,0.6834666667,0.2373333333
GM+45_1,1.5608996389,0.4062666667,0.0996333333
GM+60_1,1.7537518207,0.1768666667,0.0996333333
GM+90_1,-0.2411256118,-0.4354333333,0.2179333333
GM+120_1,-6.5524314075,-1.8320333333,-0.7827666667000001
GM+150_1,-1.5698018773,-0.0170333333,-0.5473666667
GM-0.1_2,2.5486349082,0.5472666667,-0.1746666667
GM-0.2_2,1.9063231432,0.2981666667,-0.0938666667
GM+5_2,1.4813505867,0.1990666667,-0.3589666667
GM+10_2,1.7420711434,0.2899666667,-0.1550666667
GM+15_2,1.3503483864999999,0.14906666670000002,-0.5133666667
GM+25_2,2.2155139687,0.2123666667,-0.33736666670000004
GM+45_2,1.7502654744,-0.42753333330000004,-1.1689666667
GM+60_2,0.324425615,-0.6737333333000001,-1.0575666667
GM+90_2,-1.7996540687,-0.5158333333,-0.1467666667
GM+150_2,-1.8543553803,-0.6533333333,-1.2076666667
GM-0.1_3,2.1751222407,0.3551666667,-0.5063666667
GM-0.2_3,3.0434092795,0.3795666667,-0.6260666667
GM+5_3,1.2343055546000001,0.36266666670000003,-0.4257666667
GM+10_3,0.9191588055000001,-0.6891333333,-1.4439666667
GM+15_3,1.6725889879,0.1592666667,-0.6407666667
GM+25_3,1.9020408589,-0.0971333333,-1.0137666667
GM+45_3,2.2770734994,-0.1454333333,-1.0052666667
GM+60_3,0.6137336883,-0.3901333333,-1.1548666667
GM+90_3,1.110914023,-0.6252333333,-0.4360666667
GM+120_3,-5.8991937836,-1.7078333333,-0.5882666667
GM+150_3,-1.4051255346,-0.5334333333,-0.1569666667
MG-0.1_1,-1.4953386516,-0.14723333330000002,-0.0991666667
MG+5_1,-0.8755232252,0.09986666670000001,-0.1993666667
MG+10_1,0.0448636658,0.3798666667,0.4788333333
MG+15_1,-1.2017049542,-0.4526333333,-0.5223666667
MG+25_1,-1.7493937176,-0.2100333333,0.0133333333
MG+45_1,-2.0510712114,-1.1202333333,-0.4574666667
MG+120_1,-0.1894362108,-0.5738333333,-1.2850666667000001
MG+150_1,0.9399353526,-0.0927333333,-0.5953666667
MG-0.1_2,-1.0327236383,-0.8007333333000001,-1.0821666667
MG-0.2_2,-0.5706128525,-0.2953333333,-0.6135666667
MG+5_2,-0.3797889305,0.0228666667,-0.13446666670000001
MG+10_2,-0.473740749,0.0323666667,0.11393333330000001
MG+15_2,-0.5511001923000001,0.3519666667,0.8141333333
MG+25_2,-1.893490308,-0.8442333333,-0.2934666667
MG+45_2,-1.9831799722999999,-1.1616333333,-0.5569666667000001
MG+60_2,0.6249512208,0.0283666667,-0.2321666667
MG+90_2,1.5311652688000001,-0.3828333333,-0.6068666667
MG+120_2,1.6738019667000001,0.0339666667,-0.5943666667
MG-0.1_3,-0.9588635238000001,0.41096666670000004,0.39383333330000003
MG-0.2_3,-1.9091870272,-0.0357333333,-0.20096666670000002
MG+5_3,-2.7626982266,-0.0541333333,-0.5297666667
MG+10_3,-2.5625958425,-0.5286333333000001,-0.6750666667
MG+15_3,-1.9695433165,0.14426666670000002,0.1262333333
MG+25_3,-2.2243130837,-0.5793333333,0.1444333333
MG+45_3,-0.0835760309,0.38826666670000004,0.5751333333
MG+60_3,1.0952977641,0.4717666667,-0.026966666700000003
MG+90_3,2.1063143625,0.0059666667000000005,-0.059966666700000004
MG+120_3,1.7963324586,-0.2939333333,-0.9287666667000001
MG+150_3,2.175560805,0.0515666667,-0.7589666667
