,A,Fnr
nac_ntrc__bw_delnac_cytd__1,3.8645575592,9.6205464607
nac_ntrc__bw_delnac_cytd__2,3.151284991,9.5797001165
nac_ntrc__bw_delnac_gln__1,1.5064085984,9.6931310042
nac_ntrc__bw_delnac_gln__2,1.6190727326,9.7584929549
nac_ntrc__bw_delnac_nh4__1,-0.1449134406,9.6592052853
nac_ntrc__bw_delnac_nh4__2,-0.3097048633,9.6682438584
misc__wt_no_te__1,-2.5795431213,9.5689839995
misc__wt_no_te__2,-1.6374390671999999,9.678072931300001
misc__bw_delcbl__1,-1.7014216795000001,9.6374555572
misc__bw_delcbl__2,-2.3611223956,9.6744754095
misc__bw_delfabr__1,-1.598324424,9.6851530806
misc__bw_delfabr__2,-1.8812116016,9.590043093
misc__bw_delfadr__1,-2.8283287142,9.5489602164
misc__bw_delfadr__2,-2.4328795166,9.5584964061
misc__nitr_031__1,-0.7611930466,9.7641164046
omics__wt_glu__1,0.8708954820000001,10.8714219436
omics__wt_glu__2,0.7601285430000001,11.0138673069
omics__wt_gly__1,-0.7374829356,10.3710232248
omics__wt_gly__2,0.1497036207,10.3559762678
omics__wt_thr__1,28.8214618483,9.598622036
omics__wt_thr__2,29.8856608709,9.5205762832
omics__bw_ac__1,3.270878415,9.9704874304
omics__bw_ac__2,3.1950130252,10.023573189
omics__bw_fum__1,2.2477244429,9.831402153900001
omics__bw_fum__2,2.1627590327,9.8045904835
omics__bw_glc__1,-0.2795285723,9.8046867018
omics__bw_glc__2,-0.5347765549,9.8184856013
omics__bw_pyr__1,1.1398443346,9.9757996698
omics__bw_pyr__2,1.7263722965000001,10.0392468391
ompr__wt_nacl__1,-0.21045725710000002,9.5850439541
ompr__wt_nacl__2,0.0532299934,9.4589520047
ompr__bw_delompr_nacl__1,0.6550353133,9.1903336973
ompr__bw_delompr_nacl__2,0.8921474978,9.2548928388
minspan__wt_ade__1,4.3576671829,9.4636602083
minspan__wt_glc__1,5.5636271196,9.3840906889
minspan__wt_glc__2,12.4878339291,9.0602202104
minspan__wt_glc__3,11.2639550906,9.2549047577
minspan__wt_glc__4,10.4542307674,9.3030474583
minspan__wt_glc_anaero__1,23.5911710153,8.5203202997
minspan__wt_glc_anaero__2,22.8214614113,8.408774002
minspan__wt_trp__1,31.1187264365,8.0966700235
minspan__bw_delcra_glc__1,28.9800486249,8.1990823406
minspan__bw_delcra_glc__2,28.834375549,8.2463337889
minspan__bw_delcra_trp__1,28.9165555764,8.2462132104
minspan__bw_delmntr__1,30.9717774832,8.3537664963
minspan__bw_delnac_ade__1,10.6147091762,9.66273184
minspan__bw_delnac_glc__1,7.0067165339,9.3395088672
cra_crp__wt_ac__1,3.8497875177000003,10.7341066711
cra_crp__wt_ac__2,3.9688266086,10.6625302496
cra_crp__wt_fru__1,2.0326300441,10.7434962922
cra_crp__wt_fru__2,0.9759274011,10.7342487038
cra_crp__delcra_ac__1,0.9400144293,9.727167619
cra_crp__delcra_ac__2,2.6439327677,9.8021302593
cra_crp__delcra_fru__1,-1.2472128391,9.6122335453
cra_crp__delcra_fru__2,-2.8016196404,9.5650554856
cra_crp__delcra_glc__1,0.6007270687,9.6110730206
cra_crp__delcra_glc__2,0.4012732784,9.5183546056
rpoB__wt_031__1,5.2663145027,9.5337564352
rpoB__wt_044__1,0.8070148111000001,9.6348045525
rpoB__wt_lb__1,1.5337006038,9.6610565794
rpoB__wt_lb__2,1.3258746556,9.6313044303
rpoB__rpoBE546V_031__1,2.2034414888000002,9.7926726476
rpoB__rpoBE546V_044__1,2.606165292,9.6739608208
rpoB__rpoBE546V_lb__1,2.9177998343000002,9.837751961
rpoB__rpoBE546V_lb__2,2.0787345396,9.8743759679
rpoB__rpoBE546V_glc__1,0.3762674277,9.7668060249
rpoB__rpoBE672K_glc__1,-0.1397768663,9.9116502832
rpoB__rpoBE672K_glc__2,-0.45434322200000005,9.9281403429
rpoB__rpoBE672K_lb__1,2.3607723151,9.9223131786
rpoB__rpoBE672K_lb__2,3.3576854265,9.8929366501
crp__wt_fru__1,0.7182754949,9.6811267213
crp__wt_glyc__1,0.45113221330000003,9.7596677491
crp__wt_glyc__2,4.2190973022,9.8470457602
crp__delar1_glyc__1,29.7334655626,8.8503987456
crp__delar1_glyc__2,32.6055187357,8.6297048345
crp__delar1ar2_glyc__1,-0.2968503091,9.9667338436
crp__delar1ar2_glyc__2,-0.19976062400000003,9.9645125219
crp__delar1ar2_glyc__3,2.8886307886,9.9504042881
crp__delar2_glyc__1,28.0062828769,8.8509398442
crp__delar2_glyc__2,28.0167315498,8.9624537368
crp__delar2_glyc__3,28.4550263868,8.8485391177
crp__delcrp_fru__1,0.4399370313,9.8606111863
crp__delcrp_fru__2,0.24683640140000002,9.9662572172
crp__delcrp_fru__3,-0.028056168000000003,9.8121824935
crp__delcrp_glc__1,0.7522771212,9.9509017971
crp__delcrp_glc__2,0.2345716874,9.9578597126
crp__delcrp_glc__3,-0.2073687424,9.834632278499999
crp__delcrp_glyc__1,-2.3787947857000002,9.9506396498
crp__delcrp_glyc__2,-1.7433870618,9.8545128853
crp__delcrp_glyc__3,-2.0255656017,9.8297687911
glu__glu_ale3__1,28.2850808911,8.4496464386
glu__glu_ale4__1,13.6113573267,9.678781539
glu__glu_ale5__1,15.293658015,9.2336996038
glu__glu_ale6__1,-0.31135632960000004,9.8876314138
glu__glu_ale8__1,30.3347963244,8.6165882737
glu__glu_ale9__1,25.1935410589,9.2080462703
glu__glu_ale10__1,28.3838913783,8.6081024606
42c__wt_42c__1,20.3729982831,9.1145682189
42c__42c_ale1__1,33.2666191866,8.0769902879
42c__42c_ale2__1,11.2464537009,9.5774483157
42c__42c_ale3__1,1.8400331625000002,9.7193521483
42c__42c_ale4__1,18.1543684464,9.6848658885
42c__42c_ale5__1,-0.8589278087000001,9.4692407615
42c__42c_ale6__1,30.8290860619,8.0332093924
42c__42c_ale8__1,27.2796029684,9.2291764803
42c__42c_ale9__1,1.1839375947,9.5913628996
42c__42c_ale10__1,30.2984365868,9.0389389019
ssw__wt_ac__1,3.5623246325,9.4449643266
ssw__wt_glc__1,1.5810755728,9.7120355746
ssw__wt_glyc__1,24.5705925018,9.7988197826
ssw__wt_xyl__1,15.6122262465,10.3274314261
ssw__glc_ale1__1,28.2296707969,8.8621245996
ssw__glc_ale2__1,27.4353661905,8.7866862512
ssw__glc_ale3__1,28.973398915,8.9129559636
ssw__glyc_ale1__1,19.4967057169,9.8215153244
ssw__glyc_ale2__1,16.4514436868,9.7229567397
ssw__xyl_ale1__1,21.7921065862,9.2854568055
ssw__xyl_ale2__1,16.9887302206,9.4943666938
ssw__xyl_ale3__1,11.1689733854,9.1318678525
ssw__glc_ac_ac2__1,5.1018370899,9.4731941601
ssw__glc_ac_glc1__1,9.0013464074,10.1514352667
ssw__glc_ac_glc2__1,30.1808678553,7.8354759381
ssw__glc_glyc_glc__1,26.1268098838,8.6077867632
ssw__glc_glyc_glyc__1,17.8835919247,9.5234493099
ssw__glc_xyl_glc__1,28.263491858,8.9299641161
ssw__glc_xyl_xyl__1,4.113566228,9.3571653741
pgi__glu4_delpgi__1,6.8113639425,9.8338254051
pgi__pgi_ale1__1,-2.0818490526,9.6687928518
pgi__pgi_ale2__1,-2.654751298,9.7612072884
pgi__pgi_ale3__1,-1.8803393331,9.6812041048
pgi__pgi_ale5__1,-1.3251254839,9.7778177478
pgi__pgi_ale6__1,-2.1706318664,9.5648720808
pgi__pgi_ale7__1,-0.8580544477000001,9.6456420954
pgi__pgi_ale8__1,-1.5421961375,9.8995516249
ica__wt_glc__1,-0.7075442645000001,9.6160087372
ica__wt_glc__2,3.2319271382,9.5969091406
ica__wt_glc__3,-2.8002320784,9.6491630857
ica__wt_glc__4,-2.7159471166999998,9.6999246799
ica__arg_sbt__1,18.586393708,9.3043956079
ica__arg_sbt__2,17.6787858527,9.5352315579
ica__cytd_rib__1,5.5595414971,9.6465863496
ica__cytd_rib__2,7.4608896261,9.6053477098
ica__gth__1,2.3585688427,9.7074710542
ica__gth__2,2.35380345,9.4151569945
ica__leu_glcr__1,-0.31828482150000004,9.7567829695
ica__leu_glcr__2,-0.2770239494,9.7786147838
ica__met_glc__1,1.9801351442000001,9.6780812987
ica__met_glc__2,0.0765954606,9.6674349902
ica__no3_anaero__1,15.8323921899,9.5138742079
ica__no3_anaero__2,15.5601797122,9.6015154096
ica__phe_acgam__1,-1.2098798313,9.8153160163
ica__phe_acgam__2,-1.3878146822000001,9.8815285386
ica__thm_gal__1,2.0205393487,9.7103698518
ica__thm_gal__2,2.6801750023,9.6479863426
ica__tyr_glcn__1,0.8190884358,9.7623787065
ica__tyr_glcn__2,4.0638208529,9.7417269792
ica__ura_pyr__1,-1.6451286195,9.8247781325
ica__ura_pyr__2,0.06326653110000001,9.8566236156
ica__wt_glc__5,9.6290247571,9.695842729
ica__wt_glc__6,6.2298969804,9.7186338007
ica__bw_delpurR_cytd__1,5.7874235492,9.6279247107
ica__bw_delpurR_cytd__2,1.5007779193,9.7258742032
ica__ade_glc__1,-0.5978551847,9.8974319107
ica__ade_glc__2,0.1705475931,9.8998372986
ytf__wt_glc__1,18.9139075652,9.3950520505
ytf__wt_glc__2,23.6494933022,9.1948245765
ytf__delyafC__1,31.6932450553,8.6735419514
ytf__delyafC__2,31.1407430397,8.745045722
ytf__delyeiE__1,5.9460304096000005,10.2026763719
ytf__delyeiE__2,4.1915857929,9.9614751337
ytf__delyiaJ__1,28.5379852771,8.821208526
ytf__delyiaJ__2,24.2685866657,9.5653586071
ytf__delyieP__1,31.4499036523,9.098270149
ytf__delyieP__2,30.3957813321,9.1317777446
ytf__wt_ph5__1,2.6776189615,9.8543200093
ytf__wt_ph5__2,3.3433664478000003,9.8571410509
ytf__wt_ph8__1,0.7627176355,9.8528496461
ytf__wt_ph8__2,-0.0147926788,10.0044352927
ytf__delybaO__1,30.4752911247,8.7566620853
ytf__delybaO__2,30.6258038357,8.9738798225
ytf__delybaQ__1,-1.0634410261,9.7001421606
ytf__delybaQ__2,-1.4278884026,9.7238535849
ytf__delybiH__1,23.4068755492,9.5201071621
ytf__delybiH__2,30.4195509117,8.9708337479
ytf__delydcI_ph5__1,0.4590532572,9.7870330051
ytf__delydcI_ph5__2,1.5008116254,9.8346091904
ytf__delydcI_ph8__1,-1.4496710821,9.8832682381
ytf__delydcI_ph8__2,-0.5649294653,9.7565642626
ytf__delyddM__1,6.5250196649,9.8511176871
ytf__delyddM__2,4.3431041352,9.9280061482
ytf__delyheO__1,29.9816294307,8.4303275812
ytf__delyheO__2,32.9499645629,8.559063498
fps__bw_glc__1,-0.2137616877,9.7339111136
fps__bw_glc__2,-1.4154495926,9.7260875333
fps__fps_thrA_ale1__1,-0.28475409360000004,9.8586697935
fps__fps_thrA_ale1__2,-0.090604082,9.7258917401
fps__fps_thrA_ale2__1,1.0786780618,9.6794289861
fps__fps_thrA_ale2__2,0.7009008573000001,9.6741034623
fps__fps_serB_ale1__1,-0.0719382283,9.702474641
fps__fps_serB_ale1__2,-0.0864374151,9.7458987269
fps__fps_serB_ale4__1,0.0681563312,9.4945423549
fps__fps_serB_ale4__2,-0.1260864153,9.5441634072
fps__fps_ptsI_ale1__1,2.1494404753,9.582332903
fps__fps_ptsI_ale1__2,2.4290132646,9.6115774716
fps__fps_ptsI_ale3__1,3.1486951009,9.6014825501
fps__fps_ptsI_ale3__2,1.423755584,9.6203028914
pal__lyx_ale2_f6__1,1.3049665315,9.5601355425
pal__lyx_ale2__1,0.31372667,9.306194124
pal__lyx_ale2__2,0.1440337867,9.3379161691
pal__lyx_ale4__1,0.31372667,9.306194124
pal__lyx_ale4__2,0.1440337867,9.3379161691
pal__5drib_ale10_f18__1,5.7698343393,9.237452671
pal__5drib_ale10_f18__2,5.4485141512,9.3396601225
pal__5drib_ale10__1,4.4885578627000005,9.4048203892
pal__arab_ale14_f9__1,1.5695889289,9.4755303784
pal__arab_ale14_f9__2,0.0473219467,9.540925078
pal__arab_ale14__1,-0.2393398601,9.5373405904
pal__arab_ale14__2,2.0034154807,9.3865111012
pal__arab_ale16__1,2.338130406,9.3505741632
pal__arab_ale16__2,2.7582739418,9.3536087535
pal__tartr_ale26_f10__1,3.7565940558,9.2975524904
pal__tartr_ale26_f10__2,2.9376076138,9.3328895007
pal__tartr_ale26__1,2.6731983823,9.235501205
pal__tartr_ale26__2,2.2985311454,9.2487996452
pal__tartr_ale28_f10__1,4.7016474662,9.4736689448
pal__tartr_ale28_f10__2,4.762091336,9.4835175941
pal__tartr_ale28__1,0.9156268431000001,9.398868234
pal__tartr_ale28__2,2.6612358281,9.5033269726
efeU__delmenFentC_citr__1,17.8110247653,9.1719875672
efeU__delmenFentC_citr__2,21.8980945156,9.1429641278
efeU__delmenFentC__1,-0.379684838,9.9285302782
efeU__delmenFentC__2,-0.5292051838,9.9352473758
efeU__menFentC_ale39__1,32.9239902271,8.1485208145
efeU__menFentC_ale39__2,33.0465871421,8.2185137953
efeU__menFentC_ale29__1,33.862170564,7.9278124662
efeU__menFentC_ale29__2,33.3336591173,7.8508364704
efeU__menFentC_ale30__1,5.7379145137,9.7582102327
efeU__menFentC_ale30__2,9.8079539398,9.9017299027
efeU__menFentCubiC_ale36__1,-1.1711480708,9.7637465579
efeU__menFentCubiC_ale36__2,-1.1939045988,9.7122002459
efeU__menFentCubiC_ale37__1,-1.2577827852999999,9.9088490135
efeU__menFentCubiC_ale37__2,-0.9896895490000001,9.9654848884
efeU__menFentCubiC_ale38__1,2.5022068973,10.0137961265
efeU__menFentCubiC_ale38__2,0.9913695525,10.0668795255
