,A,Cra
crp__delcrp_glyc__2,0.6976193409,7.2224308418
crp__delcrp_glyc__3,0.4660837685,7.0902678518
glu__glu_ale3__1,10.1441480571,6.8090801738
glu__glu_ale4__1,3.549715842,7.2599621022
glu__glu_ale5__1,1.2475595976,7.6451863109
glu__glu_ale6__1,1.495771843,7.1457419994
glu__glu_ale8__1,12.4462474042,7.2000953104
glu__glu_ale9__1,6.6206028522,7.0751070219
glu__glu_ale10__1,8.1283352128,6.7586009086
42c__wt_42c__1,2.2465808627,7.5748648433
42c__42c_ale1__1,15.0786506449,8.0512129576
42c__42c_ale2__1,4.0503581065,6.9099722614
42c__42c_ale3__1,0.7084715118,7.7276075598
42c__42c_ale4__1,5.7047907974,6.5905205785
42c__42c_ale5__1,1.4126032839,7.1193480317
42c__42c_ale6__1,14.7893849569,7.7689319892
42c__42c_ale8__1,10.2965342259,6.8956289982
42c__42c_ale9__1,1.8890297731,7.2166590399
42c__42c_ale10__1,10.7206384775,6.9761711162
ssw__wt_ac__1,0.3110602543,7.4848791473
ssw__wt_glc__1,-3.3432309858,7.8275878504000005
ssw__wt_glyc__1,6.7796910531,8.9346650572
ssw__wt_xyl__1,8.3361532388,7.2841800737
ssw__glc_ale1__1,10.0233324491,8.434068943
ssw__glc_ale2__1,6.6469954441,7.8312001429
ssw__glc_ale3__1,11.3887991747,8.3994954874
ssw__glyc_ale1__1,4.5467328586,8.3089468276
ssw__glyc_ale2__1,4.7420029983,7.9112615194
ssw__xyl_ale1__1,5.9477830111,7.7678267158
ssw__xyl_ale2__1,5.4713357373000004,7.6496012433
ssw__xyl_ale3__1,3.7463215791,7.376235188
ssw__glc_ac_ac2__1,-3.2059795218,7.3191230588
ssw__glc_ac_glc1__1,3.0980863019,7.6086618395
ssw__glc_ac_glc2__1,12.5729434833,8.0103536159
ssw__glc_glyc_glc__1,7.6475056995,6.8946858224
ssw__glc_glyc_glyc__1,5.9437611511,7.4028276143
ssw__glc_xyl_glc__1,6.4433264839,7.2163607555
ssw__glc_xyl_xyl__1,2.9801083359,7.2333817249
pgi__glu4_delpgi__1,2.252712262,7.4007430653
pgi__pgi_ale1__1,-1.3239155087,7.3217639144
pgi__pgi_ale2__1,-0.2921415657,7.1702558004
pgi__pgi_ale3__1,-1.0376867319,7.1737397554
pgi__pgi_ale5__1,-0.030315571500000003,7.3561248457
pgi__pgi_ale6__1,0.08519279910000001,7.1156776123
pgi__pgi_ale7__1,1.5570596625,7.2427170986
pgi__pgi_ale8__1,1.0328264068,7.0943229314
ica__wt_glc__1,0.4236407683,7.3060597845
ica__wt_glc__2,0.420195906,7.4545420985
ica__wt_glc__3,1.0797836299,7.5854224850000005
ica__wt_glc__4,0.3307951863,7.3834088331
ica__arg_sbt__1,3.0340338933,7.5204104546
ica__arg_sbt__2,2.1629657379,7.6492317288
ica__cytd_rib__1,1.9919310349,7.9145674455
ica__cytd_rib__2,1.9331157055000001,7.9079406822
ica__gth__1,-0.7137664239,7.0742597155
ica__gth__2,-0.5309687398,7.2330208649
ica__leu_glcr__1,-2.3120256815999998,7.0334964148
ica__leu_glcr__2,-2.0357395314,7.1525706996
ica__met_glc__1,-0.0432792555,7.1666311433
ica__met_glc__2,0.4842187301,7.1985637253
ica__no3_anaero__1,4.1605422941,7.3384748853
ica__no3_anaero__2,3.8892027729,7.361873408
ica__phe_acgam__1,-1.1285378164,7.5685599804
ica__phe_acgam__2,-0.9961367579,7.6917059497
ica__thm_gal__1,0.3870490297,7.8363672201
ica__thm_gal__2,0.7670697192,7.9189051662
ica__tyr_glcn__1,-0.7764248682,7.3485017657
ica__tyr_glcn__2,0.0256985939,7.3518759640999995
ica__ura_pyr__1,-1.1037577668,7.4259930035
ica__ura_pyr__2,-2.7461621991,7.7485253974
ica__wt_glc__5,0.6019609139000001,7.6995372296
ica__wt_glc__6,0.1789995053,7.7304923095
ica__bw_delpurR_cytd__1,0.5049485558,7.7089418592
ica__bw_delpurR_cytd__2,0.49092088440000003,7.5948501807
ica__ade_glc__1,-0.3684127846,7.6705239073
ica__ade_glc__2,-0.8480058508,7.6984744787
ytf__wt_glc__1,3.6176602102,6.900840602
ytf__wt_glc__2,5.1543458154,6.8036615532999996
ytf__delyafC__1,11.1999831116,7.7908734821
ytf__delyafC__2,11.9480148852,7.5596532478
ytf__delyeiE__1,6.7578741543,7.6206032319
ytf__delyeiE__2,2.8221437198,7.6049482638
ytf__delyiaJ__1,8.9619206833,7.3517306272
ytf__delyiaJ__2,8.9958163567,7.0257617145
ytf__delyieP__1,8.5678039355,7.7264194111
ytf__delyieP__2,7.714282665,7.6713553655
ytf__wt_ph5__1,0.0216635662,7.3978298987
ytf__wt_ph5__2,-0.3143869536,7.4334391665
ytf__wt_ph8__1,1.2702154781,7.1274024914
ytf__wt_ph8__2,0.7070438317000001,7.1830917687
ytf__delybaO__1,11.1235315356,7.9630294008
ytf__delybaO__2,11.9908383113,7.8816820303
ytf__delybaQ__1,-0.08490331450000001,7.5583393516
ytf__delybaQ__2,-0.0060192504,7.5267535651
ytf__delybiH__1,7.1475196885,6.51693094
ytf__delybiH__2,11.049432924,6.8439171728
ytf__delydcI_ph5__1,-0.0730333076,7.4838360705
ytf__delydcI_ph5__2,-0.3757434128,7.4089655626
ytf__delydcI_ph8__1,0.5306357559,7.1896118134
ytf__delydcI_ph8__2,0.4116380016,7.2562790099
ytf__delyddM__1,-0.9634455587,7.7537157509
ytf__delyddM__2,-1.1247639946,7.8499103703
ytf__delyheO__1,11.0039427046,7.8275694442
ytf__delyheO__2,12.419058434,7.9758387422
fps__bw_glc__1,0.5810620536000001,7.4243531461
fps__bw_glc__2,-0.0434083216,7.4605212557
fps__fps_thrA_ale1__1,0.0873271196,7.6929945085
fps__fps_thrA_ale1__2,0.1760133213,7.5853629308
fps__fps_thrA_ale2__1,-0.1930551214,7.6502652789
fps__fps_thrA_ale2__2,0.0954603269,7.5635494560000005
fps__fps_serB_ale1__1,0.0905994289,7.6994619395
fps__fps_serB_ale1__2,-0.1319563205,7.7094688748
fps__fps_serB_ale4__1,-1.5901669794000002,7.5488118869
fps__fps_serB_ale4__2,-1.270532617,7.5054583551
fps__fps_ptsI_ale1__1,0.2725197539,7.7595970894
fps__fps_ptsI_ale1__2,0.330701472,7.8235864626
fps__fps_ptsI_ale3__1,1.8819737734,7.8641306681
fps__fps_ptsI_ale3__2,1.5105545001,7.8508731248
pal__lyx_ale2_f6__1,0.4070917006,8.0723966438
pal__lyx_ale2__1,1.7298972826,7.8769651716
pal__lyx_ale2__2,1.6643259878999999,7.9087875703
pal__lyx_ale4__1,1.7298972826,7.8769651716
pal__lyx_ale4__2,1.6643259878999999,7.9087875703
pal__5drib_ale10_f18__1,-1.0210438672,8.4679278574
pal__5drib_ale10_f18__2,-1.1816358473,8.4846046665
pal__5drib_ale10__1,-1.0915685215,8.4747037177
pal__arab_ale14_f9__1,1.9837229842,7.2304927385
pal__arab_ale14_f9__2,2.0161720384,7.2226396142
pal__arab_ale14__1,0.8084421376,7.4525674268
pal__arab_ale14__2,0.8466875453,7.3968616435
pal__arab_ale16__1,0.4673624059,7.8508196966
pal__arab_ale16__2,-0.423854991,7.6569214443
pal__tartr_ale26_f10__1,0.2426073279,7.7306012504
pal__tartr_ale26_f10__2,0.276203931,7.8565261749
pal__tartr_ale26__1,-0.3566358991,7.8788465664
pal__tartr_ale26__2,-0.4117295837,7.9099494004
pal__tartr_ale28_f10__1,1.1003511184,7.520482394
pal__tartr_ale28_f10__2,0.1643154174,7.4990913572
pal__tartr_ale28__1,0.7331393368,7.5302447523
pal__tartr_ale28__2,-0.4548829561,7.7743496722
efeU__delmenFentC_citr__1,2.7966479775,7.1389650895
efeU__delmenFentC_citr__2,4.3030793842,7.1489459006
efeU__delmenFentC__1,-1.5442899409000002,6.6752528943
efeU__delmenFentC__2,-1.2615594281,6.731218285
efeU__menFentC_ale39__1,12.0956734046,7.3879570992
efeU__menFentC_ale39__2,12.9387260001,7.4250344936
efeU__menFentC_ale29__1,12.4643282465,7.4926043241
efeU__menFentC_ale29__2,12.062987333,7.5993805489
efeU__menFentC_ale30__1,0.8718404503,7.8094032318
efeU__menFentC_ale30__2,1.6971629007,7.8328194435
efeU__menFentCubiC_ale36__1,0.5521650918000001,7.6925922277000005
efeU__menFentCubiC_ale36__2,0.7877002288,7.5639916461
efeU__menFentCubiC_ale37__1,0.1033890955,7.5971800066
efeU__menFentCubiC_ale37__2,0.1173592541,7.6419998322
efeU__menFentCubiC_ale38__1,0.9637046198,7.3439755234
efeU__menFentCubiC_ale38__2,0.6767088996,7.3598747587
