,A,Lrp,ihfB
abx_mega__dox_dmso__3,-0.0262666932,0.1364750897,-1.1819124107
abx_mega__mem_dmso__2,-1.1703073596,-0.3048284202,-0.8976499983
abx_mega__lvx_dmso__2,0.47736274970000003,0.019654539800000002,-0.7905816784
abx_mega__tet_h2o__2,4.5983884484,0.1780957111,-0.8527907562
abx_mega__phos_h2o__5,2.0430289207,0.3145588501,1.3728449627
abx_mega__monac_dmso__1,3.1866814832,-0.9276745121000001,0.5807675425000001
abx_mega__str_h2o__3,1.4853342955,-0.39861814560000003,-1.8941859509
abx_mega__zeocin_h2o__2,-0.6281270804,0.056742547500000004,0.3180122541
abx_mega__amyc-d_dmso__7,0.0240794007,0.6384176439,0.8686363537
abx_mega__fidax_dmso__1,-0.5759167976,-0.37358413220000003,-0.8441132099
abx_mega__h2o-1a__1,0.042889163200000004,0.0350729692,0.0625105212
abx_mega__dox_dmso__4,1.1067950788,-0.051431211000000004,-0.8835196625
abx_mega__lzd_dmso__2,0.07670344030000001,-1.2166543236,-1.2250992002
abx_mega__tet_h2o__3,0.754423676,-0.3215499277,-1.2535987095
abx_mega__dmso-1__2,0.3224369228,0.3299482991,-0.15609256470000002
abx_mega__sxt_dmso__2,-1.1076137931,-0.28807557030000003,-0.5219061525
abx_mega__tric_ethanol__2,0.5148931448,0.2692794305,-0.6248932219000001
abx_mega__teix_dmso__8,-1.4103501175,-0.7486968028000001,-0.8532571789000001
abx_mega__ramo_h2o__2,-0.9794661416,-0.0210983501,-0.8440673101
abx_mega__inh_h2o__3,-1.1965297715,-0.5458369436,-1.6423178196000001
abx_mega__cst_h2o__3,0.4294068784,-0.3835409524,-0.7419004346
abx_mega__dmso-9__1,0.43531514460000004,0.3506674218,-1.0228097095
abx_mega__ethanol-8__3,1.1218114288,-0.6297088756,-0.8209870645
abx_mega__monac_dmso__2,1.5312328043,-1.3265809069,0.5544799185
abx_mega__dmso-9__2,0.5204338678,0.1108876813,-0.6908904131
abx_mega__metro_dmso__4,0.7740219410000001,0.1697071355,0.11122089040000001
abx_mega__ctx_h2o__4,1.3180041564,-1.246551192,-2.1413952496
abx_mega__zeocin_h2o__3,-0.3566992982,-0.34987695900000004,0.6797201304
abx_mega__bacit_h2o__5,-0.23605084650000002,0.0145102877,-0.0813581815
abx_mega__reta_dmso__1,1.9519463541,-0.6059322526,-0.8155494813
abx_mega__ery_h2o__4,9.7046765247,-0.3885027585,-1.0687696929
abx_mega__ceru_ethanol__2,1.8602322918,1.1233531932,0.3147754193
abx_mega__fidax_dmso__2,-0.4197260061,-0.2802503778,-0.7102352016
abx_mega__novo_dmso__1,-3.1968044757,-0.023295202600000002,-0.8855864517
abx_mega__naoh-6__4,-0.9170246632,-0.3604413776,-0.3273901919
abx_mega__amyc-d_dmso__8,-1.0171754197,0.0018304158,1.1375522752
abx_mega__chl_dmso__3,2.7680991502000003,0.4203566293,-0.8341317912
abx_mega__nal_naoh__7,-0.5303666085000001,0.2068159725,-0.7477767726
abx_mega__teix_dmso__9,-0.7388081240000001,-0.2592672699,-1.2438504318999999
abx_mega__ery_dmso__3,2.8048655517,0.0646919346,-1.3600939619
abx_mega__tmp_dmso__3,1.0041543775,-0.5511534317,-1.2032978044
abx_mega__sxt_dmso__3,2.1963373274,-1.3425010601,-1.5183364254
abx_mega__polmyx_h2o__4,2.5535446154,-0.1645402147,0.8265102893
abx_mega__mem_dmso__3,-0.0554309242,0.23373750910000002,-0.8085937780000001
abx_mega__nal_naoh__8,3.2657716846,-0.2569550157,0.6144673881
abx_mega__pen_h2o__3,0.2044442162,-0.3884985985,-0.7307318690000001
abx_mega__van_dmso__5,-0.2359848859,-0.39132502220000004,1.0924749437
abx_mega__zeocin_h2o__4,0.9811005641,-0.1433358172,0.6265042858000001
abx_mega__h2o-6__2,-0.4246620618,-0.3492613463,-0.1930641951
abx_mega__tet_h2o__4,1.0241466962,-0.4805136981,-1.1221989695
abx_mega__nor_naoh__4,1.4110831666,-0.0382213312,-0.8893847205000001
abx_mega__cip_naoh__4,0.9252645872,-0.19062629790000002,-1.1343377475
abx_mega__tmp_dmso__4,0.8565782431000001,-0.9923129726000001,-1.2139028339
abx_mega__reta_dmso__2,4.9230714815,-1.1978806765,-0.8070874991
abx_mega__mem_dmso__4,1.0379727992,-1.2296074036,-2.112586486
abx_mega__dox_dmso__5,1.3990009824,-0.2609255541,-1.1911668779
abx_mega__tmp_dmso__5,1.2834398675,0.1382815033,-0.9323923927000001
abx_mega__flavo_dmso__3,0.8564655025000001,-1.1288095984,-1.3161077135
abx_mega__tmp_dmso__6,1.2792964031,-0.0968763669,-1.3777511591
abx_mega__ceru_ethanol__3,2.9167381925,1.3514066959,-0.1171657056
abx_mega__teix_dmso__10,-0.7509524148000001,-0.3001855255,-0.49182771470000003
abx_mega__novo_h2o__7,-2.8975319659,-0.5243987399,-1.4181288842
abx_mega__fidax_dmso__3,0.6517918501000001,-0.1150153483,-0.1270655376
abx_mega__h2o-1a__2,-0.1938163193,-0.07257280540000001,0.019027187600000002
abx_mega__dcs_h2o__2,-1.5407211359000001,0.1884515094,-1.3556210419
abx_mega__cst_h2o__4,-0.2307297845,0.0453331235,-0.8715800265
abx_mega__van_h2o__2,-1.6346877862,-0.09842411420000001,-1.0604877154
abx_mega__pen_h2o__4,-0.43328311620000004,0.24722371440000002,-1.21089239
abx_mega__h2o-8b__2,0.8275863939,-0.6113486443,-1.8870095360999999
abx_mega__reta_dmso__3,3.6880567122,-1.8427485194000002,-1.3888387334
abx_mega__dmso-7__2,1.8906435978,-0.5283278353,-0.8358051031
abx_mega__rfp_h2o__2,1.1469338999,0.7334317926,0.5651488816
abx_mega__rif_dmso__6,0.31515484250000003,0.7004463726,0.2685785134
abx_mega__sxt_dmso__4,1.274848511,-1.0151817803,-1.6003623698
abx_mega__cip_naoh__5,0.8636785885,-0.45126933610000003,-1.1976275807
abx_mega__dmso-9__3,-0.2696460901,-0.07345373570000001,-0.7254365348
abx_mega__mem_dmso__5,1.5137553852,-0.9380478321000001,-1.5497718291
abx_mega__tric_h2o__2,-0.652478624,0.5439119556,-1.4148320002
abx_mega__phos_h2o__6,-0.3689685451,-0.449144341,-0.5654554842
abx_mega__h2o-7__2,0.265333554,-0.6661382221000001,-0.9495107329
abx_mega__h2o-10__3,-1.1319931528,-0.32197152570000004,-1.5245136858000001
abx_mega__h2o-8a__2,-0.1231692478,0.022786968,-1.1641195583
abx_mega__thio_dmso__3,2.9021166864,-1.7524899039,-2.5741590835
abx_mega__lzd_dmso__3,1.6245586941,-0.7808843017,-1.0544668967
abx_mega__monac_dmso__3,1.1836250882,-0.6831227980000001,0.8937663383000001
abx_mega__polmyx_h2o__5,-0.770770194,0.132364221,-1.0658638001
abx_mega__naoh-6__5,0.8404318308000001,0.0795132088,-0.4030416777
abx_mega__teix_dmso__11,-0.9034866214,-0.2416617654,-0.3592908259
abx_mega__van_h2o__3,-1.5808078668999999,-0.3939807125,-1.4169871254
abx_mega__teix_dmso__12,-1.6550261925,-0.0166894146,-0.7704255608
abx_mega__dox_dmso__6,2.0894191887,0.4410446831,1.4216113671000001
abx_mega__teix_dmso__13,0.0583742649,-0.4857856264,-0.5411210531
abx_mega__h2o-7__3,0.6869969158,-0.2926716673,-1.3035955075
abx_mega__str_h2o__4,-0.203823199,-0.414689593,1.3887672586
abx_mega__tec_h2o__3,1.4028945602,-0.1394933653,0.8136457702000001
abx_mega__phos_h2o__7,-0.0088885287,-0.2548379263,-0.698496408
abx_mega__chl_h2o__5,2.6012846574,-1.2663900647,-1.103713867
abx_mega__polmyx_h2o__6,0.4201732977,-0.051896065400000004,1.2386235294
abx_mega__teix_dmso__14,-1.2387060832,-0.4053599198,-0.2659310432
abx_mega__rif_dmso__7,0.5711877120000001,0.2661172377,-0.0737889784
abx_mega__ramo_h2o__3,-0.0104492548,0.4737817862,-0.9006875255000001
abx_mega__fidax_dmso__4,0.1253598139,-0.0426756655,0.2081297598
abx_mega__teix_dmso__15,-0.2395369712,-0.0461619439,-1.3784560639
abx_mega__thio_dmso__4,2.2158168910000002,-1.4318992467,-2.3822049737
abx_mega__rif_dmso__8,-0.1325227653,0.48518683640000004,0.4239930953
abx_mega__reta_dmso__4,4.7433445325,-1.5749720131,-1.4708029085
abx_mega__inh_h2o__4,6.446075498,0.8546066088000001,-1.7224261519000001
abx_mega__novo_dmso__2,-4.2450751477,0.3512429461,-1.5435894269000001
abx_mega__dcs_h2o__3,-0.12578006220000001,-0.190275372,-1.8093958038
abx_mega__h2o-8b__3,0.28440402800000003,0.1728443197,-0.9876997408
abx_mega__valin_dmso__3,0.1825566425,-0.138096181,-0.3076214923
abx_mega__h2o-2__1,0.7912961896,0.4218486569,2.3779477235
abx_mega__cro_h2o__4,-0.5736097721,-0.3849114842,-0.6260783282
abx_mega__dcs_h2o__4,-1.2718964499,-0.1791597613,-1.3243610216000001
abx_mega__str_h2o__5,1.5353623389000002,-0.26056235240000003,-1.913245468
abx_mega__h2o-8a__3,-0.5012366335,-0.1437478389,-1.8270254236999999
abx_mega__dox_dmso__7,0.4200422763,-0.2333518565,-0.5718133694
abx_mega__doxo_dmso__2,-1.7946886407,0.0258742196,-1.692727136
abx_mega__teix_dmso__16,-0.4187741641,-0.7362721111,-0.6914483507
abx_mega__rfp_h2o__3,0.9029332032,0.6059943318000001,0.45608091370000003
abx_mega__ethanol-10__3,-0.3525761195,-0.6086756616,-1.6076887017
abx_mega__naoh-2__2,0.2884730522,0.3098668676,1.7492043202
abx_mega__van_h2o__4,-0.7609407732,0.2619208373,-0.7823283851
abx_mega__sacet_h2o__2,0.037793691000000004,0.7438208052,2.1890417573
abx_mega__monac_dmso__4,2.3295009063,-1.254178781,0.4806726161
abx_mega__h2o-2__2,0.9250494869,0.7114052618000001,2.1503019243
abx_mega__zeocin_h2o__5,-0.5667265493,-0.4195899943,-1.9090493219
abx_mega__nor_naoh__5,1.6161939367,0.0625840782,-0.9203707726
abx_mega__naoh-9__2,0.3557802136,0.31114129620000003,-0.6959742576
abx_mega__dmso-7__3,1.5842813599999999,-0.606447562,-0.7680530929
abx_mega__van_h2o__5,-0.9657949876,0.0006027872,-1.0549421924
abx_mega__flavo_dmso__4,0.9545155567,-0.8728391425,-1.5490004049000001
abx_mega__novo_dmso__3,-3.9657719782000003,-0.2541510046,-1.007280809
abx_mega__polmyx_h2o__7,0.2385626352,-0.1927526698,-1.4086176609
abx_mega__teix_dmso__17,-0.300696978,-0.3846550843,-1.0295143598
abx_mega__doxo_dmso__3,-3.4407359394,-0.3039811518,-1.6932599032
abx_mega__mem_dmso__6,-0.6430355771,0.33579434900000005,-0.4320461095
abx_mega__h2o-1a__3,0.15092715610000002,0.037499836200000004,-0.0815377088
abx_mega__bacit_dmso__3,-0.22744354630000002,-0.0296489887,-0.08661096330000001
abx_mega__dox_dmso__8,1.4141272633,0.1480063252,1.0713928878
abx_mega__teix_dmso__18,-0.9959189572,-0.1614010891,0.0859108769
abx_mega__h2o-6__3,1.4408134762,-0.1738932343,-0.5434080902
abx_mega__pen_h2o__5,-1.8572435617,-0.0055406214,-0.4315676376
abx_mega__lzd_dmso__4,1.1011608803,-0.7598699923000001,-1.1390807783
abx_mega__daro__1,0.1094159916,-0.09124201550000001,-1.4467053043
abx_mega__solv__1,-1.5345673136,-0.3740258319,-1.3026676412
abx_mega__daro__2,0.0279603462,0.11520709800000001,-1.4595111938
abx_mega__daro__3,0.6165116154,0.7498074232,-1.1597284343
abx_mega__solv__2,-0.4717149658,-0.9806897791,-1.5922904276
abx_mega__solv__3,-0.1256496225,0.5147828210000001,-1.2242512257
abx_mega__dmso-4__1,-0.3910022415,0.3275815133,0.6714071664
abx_mega__kirr_dmso__1,2.2368713217,-1.0500605999000001,-0.6753540017
abx_mega__kirr_dmso__2,2.6283873109,-0.9662807781,-0.6499896119
abx_mega__kirr_dmso__3,2.266333337,-0.9825302939,-0.6026302438000001
abx_mega__dmso-4__2,0.27615395460000003,0.1640594779,0.2388964468
abx_mega__dmso-4__3,-0.6255938600000001,0.5679706736,0.6331582822
ackA_pta__dnaA46_del_ackA__1,-1.9288223864,0.1318054724,0.3417530218
ackA_pta__dnaA46_del_ackA__2,-1.4751636212,0.7003417759,0.46574061040000003
ackA_pta__dnaA46_del_ackA__3,-1.5922758431,-0.2455260877,-0.0820151137
ackA_pta__dnaA46_del_pta__1,-1.1657405451,2.0385985913,0.7163691619
ackA_pta__dnaA46_del_pta__2,-2.2224972648,-0.5387969556000001,0.0582164146
ackA_pta__dnaA46_del_pta__3,-1.080411193,0.9705689979000001,0.3291020489
ackA_pta__dnaA46__1,0.0128181801,0.0802442713,0.0307312722
ackA_pta__dnaA46__2,0.033614129,-0.7486640335,-0.7027882675
ackA_pta__dnaA46__3,0.5755145068,0.1620603854,0.0423091795
ackA_pta__del_ackA__1,-1.9896379502000001,0.5945007492000001,0.3616571047
ackA_pta__del_ackA__2,-0.43477801920000003,1.7935056299999999,0.8136953180000001
ackA_pta__del_ackA__3,-1.9700907426,0.41204326290000004,0.3255633119
ackA_pta__del_pta__1,-2.5476478573,-1.3091878919,0.1191264814
ackA_pta__del_pta__2,-3.6497201707,-0.5331449656,0.5818783374000001
ackA_pta__del_pta__3,-2.075534459,0.4502374763,0.3624424913
ackA_pta__wt__1,0.7863777962,0.2030546736,-0.0459312133
ackA_pta__wt__2,-0.5314474411,-0.0387414767,0.0124592081
ackA_pta__wt__3,-0.2549303552,-0.1643131968,0.0334720052
anticancer__5fu__1,2.6448475397999998,-1.2326124077,0.2901538582
anticancer__5fu__2,2.0353146737,-1.2490138968,0.0467296974
anticancer__cap__1,-0.0614703365,0.1730747245,0.7931308635000001
anticancer__cap__2,0.9762784916,-0.0746963563,0.7752613471
anticancer__cap__3,1.3860107834,0.0034822253,0.7093392535
anticancer__wt__1,-0.7461160013,0.22069315280000001,0.21807747260000002
anticancer__wt__2,-0.0767120211,-0.0095419927,0.0446351909
anticancer__wt__3,0.8228280224000001,-0.21115116020000002,-0.2627126635
anticancer__5fu__3,2.0430782944,-1.9134049957,0.23573169940000002
bio_pln__aero_pln__1,0.0470048968,0.0335029809,0.0870960743
bio_pln__aero_pln__2,-0.0470048968,-0.0335029809,-0.0870960743
bio_pln__anaero_pln__1,-1.4097974522,0.1049804198,-0.5189584420000001
bio_pln__anaero_pln__2,-0.0049834642,0.2032124056,-0.5667947443
biocide__bzcl_12h__1,0.9697527763,-0.0080513688,-0.0914716639
biocide__bzcl_12h__2,0.9052536013,0.0644300731,1.1022593053
biocide__bzcl_12h__3,0.6343366092,0.12088345860000001,0.19634162160000002
biocide__etoh_12h__1,1.7746003847,-0.1062279879,0.2495665894
