,A,FrlR
BC_2,3.7080904935,-0.6649666666666647
BC/t_1,3.9600104376000003,-1.1045666666666651
BC/t_2,1.5041236556,-0.43746666666666556
BC_1,4.3795455728,-1.2895666666666656
Sw_1,4.643575421,-1.690366666666666
Sw_2,4.7140253809,-1.533766666666665
BT_1,0.48582467290000003,-1.827966666666665
BT_2,0.006108637300000001,-2.371766666666666
B36_1,7.4787854069,-1.3497666666666657
B36_2,5.9292834021,-1.2168666666666645
B60_1,2.6695026314,-1.6487666666666652
B60_2,-0.1330888982,-1.2774666666666654
M9exp_1,0.2895704402,0.27403333333333535
M9exp_2,0.1333202446,-0.034366666666665324
M9exp_3,-0.4228906848,-0.2396666666666647
M9tran_1,3.5658541921999998,-0.4265666666666661
M9tran_2,3.9694586635,-0.45996666666666464
M9tran_3,3.7346593767,-0.3059666666666647
M9stat_1,-10.8069688376,-2.5694666666666652
M9stat_2,-14.1398961611,-2.705166666666665
M9stat_3,-14.451085430100001,-2.9286666666666648
M+G_1,-3.9409046231,-0.3505666666666656
M+G_2,-3.2809177922,-0.27046666666666574
M+G_3,-3.3381290138,-0.11926666666666463
Glu_1,-0.49849521750000003,0.30503333333333416
Glu_2,0.198737941,0.2288333333333341
Glu_3,0.4882395164,0.2620333333333349
Fru_1,-5.3775206071,-1.100366666666666
Fru_2,-3.4114187958,-0.6732666666666649
Fru_3,-5.0195818136,-1.1441666666666652
Mal_1,-4.4677721927,-1.521866666666666
Mal_2,-6.7769456994,-1.5488666666666653
Mal_3,-6.7441777883,-1.2270666666666656
G+S_2,-0.1697208064,-1.1957666666666658
G+S_3,0.5577325724000001,-0.9553666666666647
Pyr_1,5.8288434262,-1.3009666666666657
Pyr_2,4.8868243797,-0.884666666666666
Pyr_3,4.8201373528,-1.0806666666666658
Gly_1,-7.0466091638,-2.362266666666665
Gly_2,-6.1416579612,-2.136266666666666
Gly_3,-8.5421981804,-2.665566666666665
Glucon_1,-3.9474389893,-1.574466666666666
Glucon_2,-4.4951133118,-1.273066666666665
Glucon_3,-7.1959542668,-1.960566666666665
aero_1,-11.8649543339,-0.7313666666666645
aero_2,-9.2064355072,-0.9501666666666662
aero_3,-10.7654442298,-0.4614666666666647
nit_1,-8.0573609052,-0.4642666666666653
nit_2,-7.7129058502,-0.17006666666666526
nit_3,-6.6022711798,-0.32546666666666546
ferm_1,-6.7664055298,-0.548566666666666
ferm_2,-7.7336319799,-0.4804666666666648
ferm_3,-5.6152615613,-0.06846666666666579
T-5.40H_1,2.4829757521,-0.5153666666666652
T-4.40H_1,0.4745439484,0.1182333333333343
T-3.40H_1,-0.4156845737,0.174333333333335
T-2.40H_1,-0.4475848431,-0.037966666666665816
T-1.40H_1,-2.0179001667,0.03643333333333487
T-1.10H_1,-2.5377563766,0.037233333333334784
T-0.40H_1,-3.5371918806,0.05213333333333381
T0.0H_1,-2.8792039374,-0.3004666666666651
T0.30H_1,-12.3804769024,-2.442566666666666
T1.0H_1,-14.7684217549,-2.7224666666666657
T1.30H_1,-13.6682558644,-2.5151666666666657
T2.0H_1,-11.011073913,-2.266966666666665
T2.30H_1,-7.4593385208,-1.712866666666665
T3.0H_1,-1.8094024187,-1.9353666666666651
T3.30H_1,1.7575648708,-1.3984666666666659
T4.0H_1,5.9196694111,-1.520366666666666
T5.0H_1,8.4521752456,-1.313066666666666
HPh_1,-11.6572196102,-1.2583666666666655
HPh_2,-11.3411157515,-1.5975666666666655
HPh_3,-11.2467276625,-1.6505666666666645
LPh_1,-11.7142946436,-1.3714666666666648
LPh_2,-11.7569805901,-0.9725666666666655
LPh_3,-11.2236030148,-1.4289666666666658
LPhT_1,-12.1565766456,-1.2102666666666657
LPhT_2,-12.3805322497,-1.138966666666665
LPhT_3,-13.1761410205,-0.8120666666666647
SMMPr_1,-1.0064522598,-0.4277666666666651
SMMPr_2,-0.3607218185,-0.36536666666666484
SMMPr_3,-0.4374733672,-0.1856666666666662
HiTm_1,9.0128744707,-1.8615666666666648
HiTm_2,6.5394075706,-0.6952666666666651
HiTm_3,6.8543710353,-0.697966666666666
LoTm_1,-11.014529276,-0.7042666666666655
LoTm_2,-11.4611743343,-0.9388666666666659
LoTm_3,-8.7218401533,-0.559666666666665
HiOs_1,5.9824950366,-1.1954666666666647
HiOs_2,5.1054461254,-0.2777666666666647
HiOs_3,5.3615475578,-0.7740666666666645
BMM_1,-3.8857620482,-0.41316666666666535
BMM_2,-4.2412772894,-0.562266666666666
BMM_3,-5.4285852244,-0.2514666666666656
Heat_1,-7.7798614843,-0.3695666666666657
Heat_2,-6.9510008077,-0.7330666666666659
Heat_3,-7.0604682582,-0.8608666666666647
Cold_1,1.1004322632,1.5370333333333352
Cold_2,0.3416402032,1.0300333333333338
Cold_3,-0.5464204361,0.5448333333333348
Etha_1,-3.9774690213,-0.5085666666666651
Etha_2,-4.730777881,-0.944566666666665
Etha_3,-3.7212856108,-0.5249666666666659
SMM_1,3.4502949783,0.33713333333333395
SMM_2,3.1222529951,0.39633333333333454
SMM_3,3.2732574859,0.24003333333333465
Salt_1,-0.8737788703,1.835633333333334
Salt_2,-1.4311472062,1.5374333333333343
Salt_3,-0.7497841048,1.4764333333333344
Mt0_1,-8.4370441263,-1.207566666666665
Mt0_3,-10.8152487229,-1.1075666666666653
M0t45_1,-7.7154982354,-0.9713666666666647
M0t45_2,-9.0778913246,-1.2632666666666648
M0t45_3,-7.8992715644,-0.7207666666666661
M0t90_1,-6.4987799909,-2.0114666666666654
M0t90_2,-8.6940454048,-0.9518666666666658
M0t90_3,-7.8646266777000005,-1.246766666666666
M40t45_1,-6.9134429738000005,-1.2765666666666657
M40t45_2,-5.311289694,-0.41096666666666515
M40t45_3,-8.9274477785,-0.5690666666666662
M40t90_1,-6.4486521108,-1.8815666666666662
M40t90_2,-9.0044543828,-1.0129666666666655
M40t90_3,-8.4927665643,-1.0210666666666661
dia0_1,-9.0127534365,-1.191066666666666
dia0_2,-8.1810409014,-1.165566666666665
dia0_3,-7.9096280116,-1.0034666666666663
dia5_1,-8.1881261815,-0.2641666666666662
dia5_2,-7.9743344122,-0.20176666666666598
dia5_3,-9.1788478556,-0.40846666666666565
dia15_1,-11.2406397262,-0.16696666666666538
dia15_2,-10.4731457035,-0.5685666666666656
dia15_3,-10.3664780944,-0.7705666666666655
Diami_1,-12.0530275218,-0.49476666666666524
Diami_2,-11.973861591,-0.07036666666666491
Diami_3,-11.9899369416,-0.33896666666666597
Paraq_1,-11.3508999546,-1.055866666666665
Paraq_2,-12.7345894519,-0.8323666666666654
Paraq_3,-9.9108207962,-1.8487666666666662
H2O2_1,-13.2501403554,-1.1139666666666646
H2O2_2,-13.1088466612,-0.8585666666666647
H2O2_3,-12.7479585139,-0.7781666666666656
Oxctl_1,-10.5159062927,-1.5823666666666654
Oxctl_2,-11.4782840349,-1.392766666666665
Oxctl_3,-11.7477950697,-1.0324666666666662
GM-0.1_1,2.6491593353000003,-0.5453666666666646
GM-0.2_1,2.2876133486,-0.7848666666666659
GM+5_1,2.7641770865,-0.7563666666666649
GM+15_1,0.7792670949,-0.06916666666666593
GM+25_1,0.1408878818,0.49743333333333517
GM+45_1,0.8593626666,0.25303333333333455
GM+60_1,-0.6085465942,-0.11636666666666606
GM+90_1,-1.0981368009,0.044833333333334835
GM+120_1,-5.2017915774,-0.7553666666666654
GM+150_1,-4.1355623932,-0.1237666666666648
GM-0.1_2,3.2572108654,-0.7087666666666657
GM-0.2_2,3.1733243287,-0.4237666666666655
GM+5_2,3.8866732558,-0.4373666666666658
GM+10_2,2.4002642003,-0.12726666666666553
GM+15_2,-0.1599012159,-0.38186666666666547
GM+25_2,-0.8761953576,0.5490333333333339
GM+45_2,0.11079143940000001,-0.5301666666666645
GM+60_2,-0.7001094828000001,-0.7742666666666658
GM+90_2,-3.3815185976,0.6424333333333347
GM+150_2,0.2491104969,-0.7587666666666646
GM-0.1_3,3.7267911754,-0.3031666666666659
GM-0.2_3,4.7282836378,-0.6946666666666648
GM+5_3,4.1494608366,-0.1563666666666652
GM+10_3,1.7823540210000002,-0.6938666666666649
GM+15_3,1.0722808367,0.01023333333333376
GM+25_3,-1.0011478077,-0.2579666666666647
GM+45_3,-0.7187062702,-0.10596666666666543
GM+60_3,-0.9690492453,-0.5582666666666647
GM+90_3,-0.8054271077,-0.17606666666666548
GM+120_3,-5.9174428965,0.05253333333333465
GM+150_3,-3.1186375414,-0.17416666666666458
MG-0.1_1,-6.0235580402,-1.3083666666666662
MG+5_1,-3.7480181613,-0.38996666666666613
MG+10_1,-2.2991440793,0.24613333333333465
MG+15_1,-3.6922197086,-0.47016666666666573
MG+25_1,-2.7394820266,-0.13936666666666575
MG+45_1,-6.8196606028,-0.8931666666666658
MG+120_1,-1.3551414399000001,-1.3117666666666654
MG+150_1,0.4905600988,-0.30476666666666574
MG-0.1_2,-6.1683852623,-1.9642666666666653
MG-0.2_2,-6.2308312082,-1.433466666666666
MG+5_2,-2.6540918324,-0.9295666666666662
MG+10_2,-2.5616037645,-0.39246666666666563
MG+15_2,-3.0536926571,0.2686333333333355
MG+25_2,-2.3663027153,-0.7605666666666657
MG+45_2,-4.1853082401,-1.2437666666666658
MG+60_2,-4.1697313191,-0.8365666666666662
MG+90_2,-3.2160479675,-1.126766666666665
MG+120_2,2.467158107,-0.8276666666666657
MG-0.1_3,-5.6932490829999995,-0.8319666666666645
MG-0.2_3,-6.0428279801,-1.2271666666666654
MG+5_3,-5.0239059706,-0.925066666666666
MG+10_3,-3.1219705419,-1.0343666666666653
MG+15_3,-2.7109235588000002,-0.22016666666666573
MG+25_3,-2.2482366913,-0.47906666666666453
MG+45_3,-3.3421590302,-0.25466666666666526
MG+60_3,-4.734253023,-0.48556666666666537
MG+90_3,-2.4353596504,-0.357666666666665
MG+120_3,2.5144558918,-1.4390666666666654
MG+150_3,-0.6437744811,-0.5031666666666652
