,A,GltR-II
Muconate:CJ522_fructose:3.0,-7.239878398902103,-1.6100260310000007
Muconate:CJ522_fructose_glucose:1.0,1.267287840442995,-0.7594952380000004
Muconate:CJ522_fructose_glucose:2.0,1.2921372850439312,-0.5868593960000004
Muconate:CJ522_fructose_glucose:3.0,3.096755721374362,-0.914282419000001
Muconate:CJ522_fructose_glucose_gluconate:1.0,0.4608769170560092,-0.7751911750000007
Muconate:CJ522_fructose_glucose_gluconate:2.0,-0.0002892861767591,-0.9926394950000006
Muconate:CJ522_fructose_glucose_gluconate:3.0,-0.3585602206686095,-0.6906585500000002
Muconate:CJ522_glucose_gluconate:1.0,2.5927575698654746,-1.1202682470000005
Muconate:CJ522_glucose_gluconate:2.0,2.3724568654603377,-0.4398643760000009
Muconate:CJ522_glucose_gluconate:3.0,2.0923129938744065,-0.6203758470000009
Muconate:CJ522_gluconate:1.0,-12.889463134328308,0.1587246369999997
Muconate:CJ522_gluconate:2.0,-14.133579670055632,-0.1993348850000007
Muconate:CJ522_gluconate:3.0,-14.467284054642692,-0.0946136240000008
Muconate:CJ522_glucose:1.0,5.841243375877546,-0.1545538320000004
Muconate:CJ522_glucose:2.0,5.71523181032574,-0.0964316240000009
Muconate:CJ522_glucose:3.0,6.082569551817828,-0.3343004240000002
Muconate:GB032_fructose:1.0,-5.620364647687237,-1.4508875240000003
Muconate:GB032_fructose:2.0,-5.480367510488562,-1.8638594950000007
Muconate:GB032_fructose:3.0,-6.909433687856871,-1.9332407340000004
Muconate:GB032_fructose_glucose:1.0,-1.936008618324276,-0.5054349230000001
Muconate:GB032_fructose_glucose:2.0,0.7739091650831064,-0.735969239000001
Muconate:GB032_fructose_glucose:3.0,1.5922884331082832,-0.3125660650000004
Muconate:GB032_fructose_glucose_gluconate:1.0,0.2883576317083769,-0.5829088590000007
Muconate:GB032_fructose_glucose_gluconate:2.0,0.5937656131689028,-0.6400461770000003
Muconate:GB032_fructose_glucose_gluconate:3.0,0.0489623477082927,-0.7009754530000007
Muconate:GB032_glucose_gluconate:1.0,3.0646868376869354,-0.0973688840000006
Muconate:GB032_glucose_gluconate:2.0,0.8853623266625802,-0.1840058730000002
Muconate:GB032_glucose_gluconate:3.0,2.6126482353939995,-0.0520721510000008
Muconate:GB032_gluconate:1.0,-11.699698908981064,0.0684315559999992
Muconate:GB032_gluconate:2.0,-14.191354377098309,-0.2439190640000008
Muconate:GB032_gluconate:3.0,-14.240673057045203,-0.4145442860000008
Muconate:GB032_glucose:1.0,5.663026043912745,-0.8928315950000005
Muconate:GB032_glucose:2.0,5.005204278146735,0.223199243999999
Muconate:GB032_glucose:3.0,6.022042901263397,-0.1227700480000004
Muconate:GB045_fructose:1.0,-5.9491220109876615,-0.9379206630000008
Muconate:GB045_fructose:2.0,-5.938075985313384,-0.6850739640000008
Muconate:GB045_fructose:3.0,-4.744158110608026,-1.0672908360000006
Muconate:GB045_fructose_glucose:1.0,0.6087452436018194,-0.3733474440000002
Muconate:GB045_fructose_glucose:2.0,2.8117199762391056,-0.1373660130000003
Muconate:GB045_fructose_glucose_gluconate:1.0,-2.599652105678497,1.069649061999999
Muconate:GB045_fructose_glucose_gluconate:2.0,-2.2217648546947384,0.651294223999999
Muconate:GB045_fructose_glucose_gluconate:3.0,-3.610044973388372,0.6622689089999998
Muconate:GB045_glucose_gluconate:1.0,4.1092165172354935,-0.4695961950000002
Muconate:GB045_glucose_gluconate:2.0,4.7006754495191645,-0.6192775420000007
Muconate:GB045_glucose_gluconate:3.0,3.104736229832217,-0.4986955670000004
Muconate:GB045_gluconate:1.0,-15.89082556837591,0.8576125779999995
Muconate:GB045_gluconate:2.0,-14.667505490575111,1.0434900399999991
Muconate:GB045_gluconate:3.0,-15.187670361936464,1.1365240279999993
Muconate:GB045_glucose:1.0,6.087337158869092,0.666211936999999
Muconate:GB045_glucose:2.0,6.7211334312455,0.6454203719999994
Muconate:GB045_glucose:3.0,6.359670298039162,0.5915061749999992
Muconate:GB062_fructose:1.0,-5.618104905752063,0.601922083999999
Muconate:GB062_fructose:2.0,-4.585033041740766,0.6523823759999994
Muconate:GB062_fructose:3.0,-4.993032644700293,1.6605878709999995
Muconate:GB062_fructose_glucose:1.0,2.768039556463714,1.1189503399999996
Muconate:GB062_fructose_glucose:2.0,1.909865415229028,0.4076054519999994
Muconate:GB062_fructose_glucose:3.0,1.930768478206094,0.4321024599999994
Muconate:GB062_fructose_glucose_gluconate:1.0,-0.048135055821953,0.7767138669999998
Muconate:GB062_fructose_glucose_gluconate:2.0,0.3341898855575199,1.0817898599999998
Muconate:GB062_fructose_glucose_gluconate:3.0,0.3920832319263373,1.0130357329999995
Muconate:GB062_glucose_gluconate:1.0,2.897987398594499,1.0390476359999994
Muconate:GB062_glucose_gluconate:2.0,2.387929452619807,1.1277734319999997
Muconate:GB062_glucose_gluconate:3.0,3.772729692305075,0.7071038169999992
Muconate:GB062_gluconate:1.0,-10.966338367428357,0.8817783879999999
Muconate:GB062_gluconate:2.0,-10.503476577298418,1.403451380999999
Muconate:GB062_gluconate:3.0,-11.729855202271136,1.0563424169999998
Muconate:GB062_glucose:1.0,5.7235555443778505,0.9806849459999992
Muconate:GB062_glucose:2.0,5.576799741314292,0.8721992409999997
Muconate:GB062_glucose:3.0,5.58473677267474,1.1690346599999994
Muconate:KT2440_fructose:1.0,-9.867641216742657,0.7543158749999996
Muconate:KT2440_fructose:2.0,-9.69507410736267,0.3187570579999992
Muconate:KT2440_fructose:3.0,-8.07642194793199,0.116497558999999
Muconate:KT2440_fructose_glucose:1.0,2.4431464075265086,0.0201513639999992
Muconate:KT2440_fructose_glucose:2.0,2.0906760889088685,0.3124389439999993
Muconate:KT2440_fructose_glucose:3.0,0.4752421485399351,0.2736929519999993
Muconate:KT2440_fructose_glucose_gluconate:1.0,2.166533319340884,0.2988221209999997
Muconate:KT2440_fructose_glucose_gluconate:2.0,-10.110369657333132,-0.3617549370000006
Muconate:KT2440_fructose_glucose_gluconate:3.0,-8.58318866089853,0.1798659469999997
Muconate:KT2440_glucose_gluconate:1.0,2.494878993353745,0.1350253979999998
Muconate:KT2440_glucose_gluconate:2.0,-0.2134766491961099,0.4506775749999994
Muconate:KT2440_glucose_gluconate:3.0,2.86605077653076,0.6984710279999993
Muconate:KT2440_gluconate:1.0,-11.37317771682017,0.1674104709999992
Muconate:KT2440_gluconate:2.0,-12.12742085423826,0.3024058679999992
Muconate:KT2440_gluconate:3.0,-12.235251236535523,0.2203705169999992
Muconate:KT2440_glucose:1.0,0.1780995198452695,0.392145114999999
Muconate:KT2440_glucose:2.0,-0.1016679316649408,-0.3469178680000002
Muconate:KT2440_glucose:3.0,-0.0764315893483963,-0.0452272470000005
Multistress:Control:1.0,0.1128699742345635,-0.0647191006666672
Multistress:Control:2.0,0.0580175287283417,-0.1767566046666671
Multistress:Control:3.0,-0.1708875046793353,0.2414757053333334
Multistress:NaCl_7min:1.0,-0.9215968170690424,-0.8507326626666671
Multistress:NaCl_60min:1.0,-9.90126008407271,-0.7398630646666673
Multistress:NaCl_7min:2.0,-1.0857242224544177,-0.8618418866666673
Multistress:NaCl_60min:2.0,-10.479267418949586,-0.8047145146666672
Multistress:NaCl_7min:3.0,-0.2580259503109249,-0.5914970696666666
Multistress:NaCl_60min:3.0,-10.009159387161398,-1.227055872666667
Multistress:Imipenem_7min:1.0,-1.3358730679882589,0.2034178393333334
Multistress:Imipenem_60min:1.0,-0.1772946316060162,-1.036663831666667
Multistress:Imipenem_7min:2.0,-1.350063198308493,-0.972015187666667
Multistress:Imipenem_60min:2.0,-2.6534752327844338,-0.8856140156666665
Multistress:Imipenem_7min:3.0,-1.206526662361917,-0.7740020496666666
Multistress:Imipenem_60min:3.0,-1.5801662401642609,-0.1555240666666666
Multistress:H2O2_7min:1.0,-1.326392969455945,0.661095108333333
Multistress:H2O2_60min:1.0,-0.3994791314585256,0.0687955573333329
Multistress:H2O2_7min:2.0,-1.6684077036680112,0.0206952783333331
Multistress:H2O2_60min:2.0,-0.8721646115258178,0.198412895333333
Multistress:H2O2_7min:3.0,-0.3854864403897564,0.4213977563333335
Multistress:H2O2_60min:3.0,-1.732419054795707,0.9291820703333328
Myristic_acid:Control:1.0,-0.6224693128196188,-0.1200395833333338
Myristic_acid:Control:2.0,-0.2726780499163961,-0.1843848383333339
Myristic_acid:Control:3.0,0.8951473627823441,0.304424421666666
Myristic_acid:Myristic_acid:1.0,-19.69615838177365,-3.236518143333334
Myristic_acid:Myristic_acid:2.0,-20.389508021197447,-3.385674967333334
Myristic_acid:Myristic_acid:3.0,-19.76879472357165,-3.1269137023333338
Phase:WT_Tr:1.0,7.790809881536066,0.5241267315000009
Phase:WT_Tr:2.0,7.48128748360332,0.6646851614999996
Phase:WT_Ex:1.0,-0.5447348508154313,0.0076000785000003
Phase:WT_Ex:2.0,0.5447348502537528,-0.0076000784999994
Phase:WT_Tr:3.0,9.024552310834284,0.8933165585000005
Phase:WT_Tr:4.0,9.41961526027449,1.329613611500001
Phase:WT_St:1.0,-4.299874398344054,-0.0935937754999995
Phase:WT_St:2.0,-3.803877372628557,-0.1943302324999996
RelA:Control:1.0,0.3852992780974095,0.1605192183333326
RelA:Control:2.0,-0.3292598960148086,0.0779217333333326
RelA:Control:3.0,-0.0560393812697305,-0.238440951666667
RelA:Del_relA:1.0,-4.062310599403562,1.2739164933333331
RelA:Del_relA:2.0,-4.888164036214575,0.667883879333333
RelA:Del_relA:3.0,-0.8311036522482371,2.231554574333333
RelA:Del_relA_lignin:1.0,-7.963921254537602,1.9514519803333328
RelA:Del_relA_lignin:2.0,-7.851244972445478,1.9761421613333328
RelA:Del_relA_lignin:3.0,-8.661250131089224,1.5120639803333331
Zn:Zn_ion:1.0,6.412192046622283,0.2207604373333342
Zn:Zn_ion:2.0,6.456794439513403,0.2338708863333343
Zn:Zn_ion:3.0,6.4817163962573,0.1566938833333342
Zn:Control:1.0,0.0354891379916482,-0.1146171656666661
Zn:Control:2.0,0.0460703967157629,0.0469099783333337
Zn:Control:3.0,-0.0815595337074558,0.0677071873333341
ZnO:Control:1.0,1.631621599144929,0.1655089219999999
ZnO:Control:2.0,-1.6316215987130482,-0.1655089219999999
ZnO:Nano:1.0,-0.0131519328593184,-0.1263904059999996
ZnO:Nano:2.0,1.7117779112752662,0.148291125
ZnO:Nano:3.0,2.097096558656826,0.2090534230000003
ZnO:Zn_ion:1.0,1.2191642649981431,0.0837411519999999
ZnO:Zn_ion:2.0,1.094798001618574,0.0250297709999998
ZnO:Zn_ion:3.0,2.4689894140719626,0.4649733210000004
