,A,PuuR,RpoS,ArcA
rpoB__wt_031__1,0.24935921290000002,-0.293341669,0.41899008200000004,0.396646588
rpoB__wt_044__1,-3.2370659193,-0.9756668420000001,-0.002706628,0.45351927500000005
rpoB__wt_lb__1,-7.5124809212,-1.469130686,0.5912388620000001,1.5404025159999999
rpoB__wt_lb__2,-7.6720984107,-1.5036529600000001,0.555214862,1.449866066
rpoB__rpoBE546V_031__1,-3.6459341798000002,-1.451940368,1.075322802,0.685514203
rpoB__rpoBE546V_044__1,-3.3635407804,-1.691236755,1.046519562,0.539784889
rpoB__rpoBE546V_lb__1,-6.8648987888,-1.5428128120000002,0.663852262,1.181176256
rpoB__rpoBE546V_lb__2,-6.8235418263,-1.884934404,0.6135239920000001,1.097910146
rpoB__rpoBE546V_glc__1,-0.7202250352,-0.21167133800000001,0.129992928,-0.042422106
rpoB__rpoBE672K_glc__1,-1.3546592925,-0.779941363,-0.926944088,-0.529459554
rpoB__rpoBE672K_glc__2,-1.1626963446,-0.753390015,-0.9221537670000001,-0.47372824700000005
rpoB__rpoBE672K_lb__1,-9.8648092806,-2.453472699,-0.9664375940000001,0.035597011000000005
rpoB__rpoBE672K_lb__2,-9.0096299041,-2.635060897,-0.89091248,0.07509867
crp__wt_fru__1,-4.0780845281,-1.062883956,-0.08924797200000001,-0.19600093400000002
crp__wt_glyc__1,-4.3804007907999996,-1.253999908,0.38219653200000003,-0.08909652200000001
crp__wt_glyc__2,-4.8363936249,-1.465932695,0.29671736200000004,-0.190341532
crp__delar1_glyc__1,-6.1410578421,-2.222066232,0.45762537200000003,0.584096822
crp__delar1_glyc__2,-8.2593543061,-2.450492775,0.33209055200000004,0.7408784060000001
crp__delar1ar2_glyc__1,-2.5982527752999998,-0.62164843,0.193629716,0.636325653
crp__delar1ar2_glyc__2,-2.3260730258,-0.8200163730000001,0.33613993200000003,0.7106710190000001
crp__delar1ar2_glyc__3,-3.1597597303000002,-0.899996364,0.21436483,0.7162020570000001
crp__delar2_glyc__1,-10.0424826827,-2.938854966,1.187215512,0.18458875400000002
crp__delar2_glyc__2,-10.6493823779,-2.967902772,1.041209602,0.17830120100000002
crp__delar2_glyc__3,-10.7404182083,-2.927980293,1.000426512,0.25819627
crp__delcrp_fru__1,-6.2118944311,-1.412280805,1.403545152,1.391143806
crp__delcrp_fru__2,-4.6343470054,-1.199923883,1.312142502,1.365476696
crp__delcrp_fru__3,-5.6056856068,-1.275619063,1.332774822,1.362720846
crp__delcrp_glc__1,-4.189256939,-0.889214684,1.220202512,1.358549616
crp__delcrp_glc__2,-3.6260869377000002,-0.972363261,1.232196922,1.3477543060000001
crp__delcrp_glc__3,-3.9689154427,-0.991360058,1.2185585620000001,1.385312096
crp__delcrp_glyc__1,-8.9728597156,-1.646027928,1.473030322,0.928719166
crp__delcrp_glyc__2,-9.2594450768,-1.7194310289999999,1.491695502,1.041311906
crp__delcrp_glyc__3,-9.1878795996,-1.730265474,1.425635312,0.9504081660000001
glu__glu_ale3__1,-9.598285018,-1.899426258,0.7930836120000001,0.9075265760000001
glu__glu_ale4__1,-8.7707571741,-2.212795914,-0.261345063,-0.055828563000000005
glu__glu_ale5__1,-7.5592058734,-2.106532386,-0.923966688,0.09422176900000001
glu__glu_ale6__1,-4.7429034285,-1.840859965,-1.072388459,-0.407977407
glu__glu_ale8__1,-12.0384383117,-2.261652116,0.8990942620000001,0.9552785760000001
glu__glu_ale9__1,-8.0549710181,-2.401108754,-0.267016099,0.5717934290000001
glu__glu_ale10__1,-9.8867284571,-2.068721133,-0.06099581900000001,0.614706375
42c__wt_42c__1,-7.2579317515,-1.821130154,-0.281531602,0.328591383
42c__42c_ale1__1,-12.8664538667,-2.9627893910000003,-0.48538561300000005,1.071597756
42c__42c_ale2__1,-8.4575153373,-2.252594669,-0.28717722,0.330761637
42c__42c_ale3__1,-9.9197254302,-2.133379417,-0.530759834,-0.151671187
42c__42c_ale4__1,-9.0929600187,-2.473432341,-0.06679679300000001,0.032578979
42c__42c_ale5__1,-8.905018981,-2.112045714,-0.4238999,0.143125367
42c__42c_ale6__1,-13.6759696801,-4.286733989,-1.679026192,1.327478846
42c__42c_ale8__1,-13.0767036188,-2.439293904,-0.6158962060000001,0.7806890660000001
42c__42c_ale9__1,-10.9714146815,-1.9892543010000001,-0.5299862820000001,-0.22797266500000002
42c__42c_ale10__1,-10.1302459733,-2.673898981,-0.523400039,0.387994353
ssw__wt_ac__1,-3.6722315013999998,-0.8741299180000001,1.223033602,1.138140236
ssw__wt_glc__1,-1.4643165629000001,-1.074792244,-0.634528351,0.199903728
ssw__wt_glyc__1,-7.7327648212,-1.9656508810000002,-0.137538191,0.945881736
ssw__wt_xyl__1,-12.1063862589,-2.762306099,0.24299832000000002,-1.157955492
ssw__glc_ale1__1,-9.369173167,-1.995195996,0.743275232,0.17438198900000002
ssw__glc_ale2__1,-9.8624107905,-2.533158302,0.42675417200000004,0.268899551
ssw__glc_ale3__1,-11.8639555076,-2.443145532,-0.580133845,0.24444047800000002
ssw__glyc_ale1__1,-11.6287281317,-2.31920483,0.25396372500000003,0.127729871
ssw__glyc_ale2__1,-11.8282446714,-2.47150258,-0.752617222,0.191632509
ssw__xyl_ale1__1,-9.3710025202,-1.901930941,0.0710249,0.368078151
ssw__xyl_ale2__1,-9.2202182422,-1.8841067640000002,0.116572929,0.430075117
ssw__xyl_ale3__1,-8.9503433004,-1.985995129,-0.28887214,-0.032960972000000005
ssw__glc_ac_ac2__1,-12.6340783299,-2.845818271,-0.9307193810000001,0.8775486560000001
ssw__glc_ac_glc1__1,-12.0652320269,-1.927481067,-0.209421098,-0.474772383
ssw__glc_glyc_glc__1,-9.5902994474,-2.110831884,0.518224082,0.030757539
ssw__glc_glyc_glyc__1,-9.2918675395,-1.9777086490000002,0.460795852,-0.141775395
ssw__glc_xyl_glc__1,-12.1008353284,-2.841529539,-0.634889455,0.5339402830000001
ssw__glc_xyl_xyl__1,-5.2390820081000005,-1.248503052,-0.264002552,0.08377153
ica__wt_glc__1,-7.5498274807,-1.696485967,-0.760218982,-0.061878408
ica__wt_glc__2,-8.3611607077,-2.056018547,-0.853688909,-0.128401191
ica__wt_glc__3,-9.879133897700001,-1.957706514,0.049913986,0.18162740200000002
ica__wt_glc__4,-10.3163931926,-2.086794735,0.090811919,0.248907122
ica__arg_sbt__1,-4.8038891325,-1.5263783,0.589161122,0.202924761
ica__arg_sbt__2,-4.5586765875,-1.253931458,0.38819800200000004,0.21404984100000002
ica__cytd_rib__1,6.3241406196,1.803075374,0.7651803420000001,2.510750616
ica__cytd_rib__2,6.8552193032,2.012589558,0.6480234420000001,2.531055996
ica__gth__1,-7.0257558653,-1.356041577,0.891268402,1.198519576
ica__gth__2,-6.3362733551,-1.421735511,1.006328562,1.214784426
ica__leu_glcr__1,-11.1112354427,-1.890061245,-0.236939853,0.261485721
ica__leu_glcr__2,-10.8731560638,-1.7237446950000002,-0.303417861,0.251424062
ica__met_glc__1,-10.0887215783,-2.409615277,-1.022815705,-0.199984399
ica__met_glc__2,-10.1779832189,-2.321921697,-1.1022078180000001,-0.27336614800000003
ica__no3_anaero__1,-13.5385228186,-2.090309385,-0.195428179,0.650216425
ica__no3_anaero__2,-14.1069788724,-2.3220414050000002,-0.121725145,0.44755403200000005
ica__phe_acgam__1,-9.7483774339,-1.940690803,-0.492266825,0.169901367
ica__phe_acgam__2,-9.9010619948,-2.037716778,-0.58526513,0.144579343
ica__thm_gal__1,-7.4276456459,-1.763047061,0.606615282,0.895444466
ica__thm_gal__2,-7.0069061923,-1.501161314,0.6685109720000001,0.9108855960000001
ica__tyr_glcn__1,-9.480142377,-2.040863874,-0.5756726790000001,-0.14113408800000002
ica__tyr_glcn__2,-9.7680976835,-2.121061895,-0.507721481,-0.040525296
ica__ura_pyr__1,-9.8255559604,-1.720486903,0.20881733900000002,0.08367163100000001
ica__ura_pyr__2,-10.4525284844,-1.634789031,0.446916122,0.19317804700000002
ica__wt_glc__5,-10.3330468685,-1.853260141,-0.44323311600000004,0.13858604600000002
ica__wt_glc__6,-9.892834547,-1.774151216,-0.344020588,0.18780670700000002
ica__bw_delpurR_cytd__1,-10.1347995223,-2.000543683,-1.10661481,-0.051773211000000006
ica__bw_delpurR_cytd__2,-10.3340965744,-1.08930114,-0.40072797,0.400081995
ica__ade_glc__1,-10.3986892845,-1.32466894,-0.41283612900000005,0.385302005
ica__ade_glc__2,-9.8613639673,-2.00211077,-1.293643016,-0.046425999999999995
ytf__wt_glc__1,-2.2393513153,-0.817854006,0.341964942,0.45113119700000004
ytf__wt_glc__2,-4.6729760828,-1.427094895,0.6804132620000001,0.5947166890000001
ytf__delyafC__1,-11.2422121015,-2.292485278,0.556544842,1.316309596
ytf__delyafC__2,-10.4551745418,-2.269317289,0.6846965420000001,1.314921426
ytf__delyeiE__1,-11.32845092,-2.290479642,0.24851932100000002,0.602912816
ytf__delyeiE__2,-10.0702565559,-1.7455205550000001,0.072319354,0.47886219500000005
ytf__delyiaJ__1,-9.205030032,-2.231306081,0.602499332,1.010078936
ytf__delyiaJ__2,-9.4371913373,-2.199395456,0.775933062,0.581776277
ytf__delyieP__1,-10.3344410139,-2.475625189,0.622855142,0.584642129
ytf__delyieP__2,-9.1861678032,-2.225718457,0.770140982,0.38959575100000005
ytf__wt_ph5__1,-8.0077733471,-1.710542564,0.46668029200000005,0.916791876
ytf__wt_ph5__2,-8.1503675178,-1.6840644130000002,0.490794722,0.9727493060000001
ytf__wt_ph8__1,-6.1341875945,-1.298728705,0.413575132,0.40225860500000005
ytf__wt_ph8__2,-5.9587367499,-1.328417789,0.42222096200000003,0.37994620900000003
ytf__delybaO__1,-9.7682508223,-2.517346539,0.39317079200000005,1.101564286
ytf__delybaO__2,-10.2544666006,-2.288745843,0.509847962,0.9576076560000001
ytf__delybaQ__1,-2.3736861552,-0.6183460460000001,0.110479853,0.509436807
ytf__delybaQ__2,-2.3026112526,-0.499986961,0.19184862700000002,0.59530664
ytf__delybiH__1,-5.1993758847,-1.8597941310000001,0.7546381320000001,0.31018813300000003
ytf__delybiH__2,-8.7354313161,-2.5115495709999998,0.858339712,0.597812501
ytf__delydcI_ph5__1,-7.0753984615,-1.744923811,0.23723094300000003,0.6471911260000001
ytf__delydcI_ph5__2,-6.9689141517,-1.5113088970000002,0.21605959200000002,0.7488411960000001
ytf__delydcI_ph8__1,-6.8898036923,-1.418010005,0.5150319520000001,0.46656071800000004
ytf__delydcI_ph8__2,-6.3413813587,-1.383484723,0.075430536,0.209286083
ytf__delyddM__1,-2.771180045,-0.13942585100000002,0.590555552,1.057162046
ytf__delyddM__2,-1.9641714922,0.16785808900000002,0.554853602,1.017154226
ytf__delyheO__1,-9.4399205482,-2.290229469,0.440513052,1.222256766
ytf__delyheO__2,-9.9691732881,-2.29855106,0.5138055220000001,1.048374446
fps__bw_glc__1,-6.1080785504,-1.160556046,-0.42322193300000005,0.012904309000000001
fps__bw_glc__2,-6.1216864746,-1.216688997,-0.397225969,-0.003799583
fps__fps_thrA_ale1__1,-9.4151138522,-1.352890808,0.39264833200000004,0.941336296
fps__fps_thrA_ale1__2,-9.4188976855,-1.466471801,0.40612146200000004,0.8375840960000001
fps__fps_thrA_ale2__1,-9.8572162353,-1.45745074,0.563901842,0.5460123210000001
fps__fps_thrA_ale2__2,-9.5713174589,-1.494099651,0.45276521200000003,0.593318514
fps__fps_serB_ale1__1,-2.5483195836,-0.23697911400000002,0.19160315700000002,0.5135887640000001
fps__fps_serB_ale1__2,-2.1024990433,-0.32695067,0.146452999,0.48645864400000005
fps__fps_serB_ale4__1,3.5303871416,1.652638755,0.361100702,0.514392266
fps__fps_serB_ale4__2,3.5867590941,1.591703713,0.14233325400000002,0.5490338840000001
fps__fps_ptsI_ale1__1,-1.9896311001,-0.182866477,1.047253142,0.677961232
fps__fps_ptsI_ale1__2,-1.6211275995,-0.17194672300000002,0.915891192,0.664224993
fps__fps_ptsI_ale3__1,-4.3767898078,-1.134485075,0.5594406820000001,0.12885385700000002
fps__fps_ptsI_ale3__2,-3.3704230807,-0.8618052540000001,0.625345122,0.213223601
pal__lyx_ale2_f6__1,-3.4336051592,-0.531837564,1.221120712,0.9302748660000001
pal__lyx_ale2__1,-1.343585551,-0.39586413800000003,0.9668986020000001,0.895382886
pal__lyx_ale2__2,-1.6516179314000001,-0.38687556900000003,1.011708712,0.8937969960000001
pal__lyx_ale4__1,-6.9345433315000005,-1.450103178,-0.31484015,0.044506959000000006
pal__lyx_ale4__2,-5.6536853823,-1.383363499,-0.48601730600000004,0.047894689000000004
pal__5drib_ale10_f18__1,-5.6683938788,-0.7609577580000001,0.652653732,0.151444345
pal__5drib_ale10_f18__2,-6.1662465398,-0.955430682,0.6990012320000001,0.191225513
pal__5drib_ale10__1,-1.2583110542,-0.547971859,0.720726312,0.539559451
pal__arab_ale14_f9__1,-7.737952176,-1.26287696,0.672899162,0.6120842820000001
pal__arab_ale14_f9__2,-7.1697030655,-1.371879139,0.514171322,0.6312031330000001
pal__arab_ale14__1,-7.4575990012,-1.4564626870000001,-0.065868839,0.011886513000000001
pal__arab_ale14__2,-7.6593767546,-1.307426935,-0.171776657,0.053548302000000006
pal__arab_ale16__1,-6.3659880193,-1.397539155,-0.002671377,-0.012330541
pal__arab_ale16__2,-5.7375689534,-1.067484014,0.191384187,0.17832696
pal__tartr_ale26_f10__1,-1.2632240334,0.29314264500000003,1.052987252,0.566358428
pal__tartr_ale26_f10__2,1.2259361094,0.8574483980000001,1.117358552,0.801237376
pal__tartr_ale26__1,-2.2040187778,0.095212112,0.389226942,0.446671258
pal__tartr_ale26__2,-4.2595731803,-0.5405966280000001,0.314109252,0.43309867500000004
pal__tartr_ale28_f10__1,0.9582412913,0.332040055,1.265058722,1.432104296
pal__tartr_ale28_f10__2,-0.9308210117000001,0.067811329,0.9722561120000001,1.232142026
pal__tartr_ale28__1,-4.7072058326,-0.831831584,0.063914889,0.438212184
pal__tartr_ale28__2,-6.3070324068,-0.597244587,0.36638761200000003,0.50970426
efeU__delmenFentC_citr__1,-4.870134531,-1.195588504,0.43246427200000004,0.564737193
efeU__delmenFentC_citr__2,-4.4083071498,-0.9966983690000001,0.389756152,0.513067552
efeU__delmenFentC__1,-6.7121023886,-1.193510638,1.177584972,0.991366136
efeU__delmenFentC__2,-6.9751417472,-1.106992607,1.115352902,1.000446686
efeU__menFentC_ale39__1,-11.013998378,-2.80597382,-0.068474823,0.7605526960000001
efeU__menFentC_ale39__2,-9.8779350198,-2.7991372290000003,-0.114093364,0.883820566
efeU__menFentC_ale29__1,-11.8105063424,-2.554640761,0.653364402,0.759366626
efeU__menFentC_ale29__2,-10.8339713848,-2.483171555,0.730860912,0.757306236
efeU__menFentC_ale30__1,-8.4033675572,-1.850739472,-0.6166222720000001,-0.291655781
efeU__menFentC_ale30__2,-9.2597045423,-2.131611596,-0.36928399700000003,-0.36664113200000004
efeU__menFentCubiC_ale36__1,-8.4684427256,-1.413640894,0.204656004,0.5628257560000001
efeU__menFentCubiC_ale36__2,-9.3341911273,-1.357741408,0.245879587,0.5128759540000001
efeU__menFentCubiC_ale37__1,-5.6651918516,-0.667112354,0.5874251220000001,0.816333446
efeU__menFentCubiC_ale37__2,-5.8996697363,-0.6541487880000001,0.40229103200000005,0.838034626
efeU__menFentCubiC_ale38__1,-10.5222222507,-2.114095258,0.33760438200000004,-0.074172423
efeU__menFentCubiC_ale38__2,-10.2562002625,-2.112668654,0.321729782,-0.09908335700000001
misc2__salc_glc__1,-8.3145349691,-1.46942335,0.8863017320000001,0.5844178910000001
misc2__salc_glc__2,-8.0022527139,-1.306330364,1.151312292,0.808158746
misc2__dbcn_glc__1,-5.1458738311,-1.9566086870000001,-0.870570438,0.15480885800000002
misc2__dbcn_glc__2,-5.3941005069,-1.275797151,-0.053842641000000004,0.55781359
misc2__tyr_glc__1,-10.2162686166,-1.543528766,0.030154189,0.31652371500000004
misc2__tyr_glc__2,-10.6018803002,-1.725558237,0.189315261,0.34805157400000003
misc2__arg_cytd__1,-11.5690905011,-2.223922915,-0.9715555750000001,0.169371414
misc2__arg_cytd__2,-10.8031806234,-2.089973888,-0.9203768010000001,0.010136641
misc2__delyheO_pyr__1,-7.5895783041,-1.432118241,0.746716032,0.33839259600000005
misc2__delyheO_pyr__2,-6.7800769532,-0.954947325,0.640421412,0.271971768
nquinone__delubiC__1,-11.2696113266,-2.073033078,-0.18854235400000002,-0.21489506600000002
nquinone__delubiC__2,-11.7619910669,-1.9511081680000002,0.030013313000000003,-0.033263391
nquinone__ubiC_ale1__1,-8.0295484182,-1.564947933,0.41317053200000003,0.428926898
nquinone__ubiC_ale1__2,-8.8419050421,-1.6340827500000001,0.44372140200000004,0.450352065
nquinone__ubiC_ale2__1,-8.7600794044,-1.741726813,0.9644070320000001,0.6083629190000001
nquinone__ubiC_ale2__2,-8.2036973992,-1.734914153,0.825257302,0.553352198
nquinone__ubiC_ale3__1,-10.8376032231,-2.435368504,-0.490303827,-0.163675489
nquinone__ubiC_ale3__2,-11.8433278463,-2.444809503,-0.46322188700000005,-0.11664080600000001
nquinone__ubiC_ale4__1,-9.5605472362,-1.847391864,0.630730562,0.5165691680000001
nquinone__ubiC_ale4__2,-8.9882646383,-1.61760134,0.697185532,0.559982902
nquinone__delpdhR__1,-8.6506628951,-1.849309564,-0.7608141740000001,0.13690308
nquinone__delpdhR__2,-8.2728302279,-1.666885774,-0.7927318760000001,0.13527434200000002
quinone__glu_ale4__1,-7.0074850159,-1.361038818,-0.37281189800000003,0.32555621300000004
quinone__glu_ale4__2,-13.3246213886,-3.044693647,-0.370992619,0.554928426
quinone__delmenF__1,-3.829168308,-0.742149578,0.04685425,0.6222112750000001
quinone__delmenF__2,-3.3377428758,-0.521070813,0.363218242,0.385758567
quinone__menF_ale5__1,-7.7179549067,-2.269005375,0.414445702,0.21714596200000003
quinone__menF_ale5__2,-7.5066895113,-2.349054467,0.635844992,0.31143739
quinone__menF_ale6__1,-10.8830859384,-2.426099867,0.416631322,0.522454143
quinone__menF_ale6__2,-10.5775878092,-2.454570704,0.349855482,0.48432147600000003
quinone__menF_ale7__1,-11.9077701359,-2.973869172,0.27863103300000003,0.7122535630000001
quinone__menF_ale7__2,-11.1599498974,-2.858625493,0.352076192,0.651048905
quinone__menF_ale8__1,-12.1157953626,-2.53655768,0.081373631,1.115899716
quinone__menF_ale8__2,-11.4735847062,-2.677328861,0.289872226,0.5338657950000001
quinone__delmenFubiC__1,-7.7721393629,-1.549778011,0.434302342,0.41800140300000005
quinone__delmenFubiC__2,-8.3855153184,-1.506844573,0.44545774200000005,0.41796379
quinone__menFubiC_ale1__1,-12.7306596635,-2.94211183,-0.592986713,0.990161956
quinone__menFubiC_ale1__2,-11.9604012613,-2.867020468,-0.6825730510000001,0.9831297560000001
quinone__menFubiC_ale2__1,-12.2686594195,-2.72029823,-0.48291984600000004,0.8927740160000001
quinone__menFubiC_ale2__2,-12.9988657063,-2.8166590989999998,-0.666881703,0.9872195560000001
quinone__menFubiC_ale3__1,-9.2795748411,-1.72822016,0.230084175,0.07436142200000001
quinone__menFubiC_ale3__2,-9.4675256601,-1.6684199419999999,0.23440550300000002,0.095882301
quinone__menFubiC_ale4__1,-9.427167989800001,-2.179546866,1.010209612,0.8589243360000001
quinone__menFubiC_ale4__2,-8.8571475726,-2.369859187,0.9647885620000001,0.844631216
oxyR__wt_glc__1,-7.6399721537000005,-1.684165042,0.378515502,-0.146201738
oxyR__wt_glc__2,-5.6833282893,-1.151770653,0.446818512,-0.07992882
