,A,AllR
SRX5694295,5.3307889075,0.4995593351
SRX5694296,0.0212109816,-0.28449319970000003
SRX5694297,4.3135002801,-0.9808843525000001
SRX5694298,-1.1892446871,0.0320222441
SRX5694299,-1.6317419605999999,0.2183220311
SRX5694300,1.4388636699,-0.5479012634
SRX5694301,-1.3306665443,0.11047317820000001
SRX5694302,-1.3705097062,-0.6708302757
SRX5694303,-1.4430964871,-0.6306926879
SRX5694304,0.5389042617,-0.23686166500000003
SRX5694305,4.4676721625,-1.2450260683
SRX5694306,-0.130650765,-1.3637691657
SRX5694307,-0.4715834246,-0.084744097
SRX5694308,-1.4498976922,-0.6027764618
SRX5694309,1.5724749500000001,-1.9741984612
SRX5694310,1.1730944439,0.2963179764
SRX5694311,2.069794069,-1.5113820373
SRX5694312,-0.24454670820000002,-1.7835304058
SRX5694313,3.6349299162,0.8114629842000001
SRX5694315,-0.0505471612,-0.2166869776
SRX5694317,2.3755157599,1.0176959565
SRX5694319,-0.0685354725,-0.8146839287000001
SRX5694320,4.1153130508,-2.7158033056
SRX5694321,4.5942362739,-0.5615043935
SRX5694322,4.4905135067,-0.3383650217
SRX5694323,5.5819268085000004,-0.1565614324
SRX5694324,3.0422637254,-0.2233827955
SRX5694325,0.1766441578,-0.4222232272
SRX5694326,0.018527938600000002,-0.2386956004
SRX5694327,1.4404862545000001,0.32927411500000003
SRX5694328,-0.1491834836,-0.53829621
SRX5694329,2.5900251176999998,-0.7568750394
SRX5694330,0.13754908300000002,-1.2163466103
SRX5694331,-0.9794798731000001,-0.2866364791
SRX5694332,3.5558422524,-0.40278844300000005
SRX5694334,-0.6782339905,-0.5834769337
SRX5694335,5.5217283473,-0.31134724010000003
SRX5694336,3.2872482141,-0.8034722816000001
SRX5694337,-0.2505998601,-0.42107499540000004
SRX5694338,-0.6210798144,-0.1287336124
SRX5694339,-0.3772788848,-0.8102577404
SRX5694340,0.1155239292,-0.2025717686
SRX5694341,2.4847551449,-1.0190079994
SRX5694342,4.1951223677,-0.9032628774
SRX5694343,5.0041293884,-0.4273807263
SRX5694344,0.16415882210000002,-0.6295928002
SRX5694345,-0.7949846204000001,-0.5616871719000001
SRX5694346,6.4229838237,0.1216240397
SRX5694347,-0.182105964,-0.3442544979
SRX5694348,-0.5523605777,0.36289858680000003
SRX5694349,-1.0623854048,-0.152675806
SRX5694350,1.1867310352,-0.5629617497
SRX5694351,2.2038798967,-0.258752833
SRX5694352,-2.7393347654999998,-1.5141866189000002
SRX5694353,-1.2925432137000001,-0.854911551
SRX5694354,-0.5692370953,-0.3440455041
SRX5694356,-1.6152997568,-0.7539153254000001
SRX5694357,3.4369220622,-1.2923893342000001
SRX5694358,4.6199955522,-2.3647426099
SRX5694359,-1.1312426691,-0.40777026050000004
SRX5694360,0.046268362300000004,-0.3815197395
SRX5694361,0.5326126519000001,-0.4375225186
SRX5694362,-0.9941254675000001,-1.6142743249
SRX5694363,-0.3803072093,-0.5203947514
SRX5694364,-0.24560614120000002,-1.3242207821
SRX5694365,-1.0667410301,-1.3148248317
SRX5694366,-1.5568532113,-1.0360995251
SRX5694367,0.681943119,-0.2584739011
SRX5694368,-0.3581049483,-0.6875920337
SRX5694369,-0.41550691240000004,-0.1760643856
SRX5694370,0.3323321316,-0.4533760779
SRX5694371,0.8540090387,-1.8976434377
SRX5694372,-0.4575411864,-0.36738552090000004
SRX5694373,2.2459491814,-0.3879422822
SRX5694374,2.7450792066,-2.5587310338
SRX5694375,-1.4983378689,-0.053450767100000005
SRX5694376,-1.8081965238,-0.9277701211
SRX5694377,3.1377007126,-2.4482660306
SRX5694378,-0.5027518317,-0.2639140352
SRX5694379,-0.4898620182,-0.1763506632
SRX5694380,5.907628399,0.1104625733
SRX5694381,4.910307145,-0.8378271306
SRX5694382,3.2945622475,-0.4430722951
SRX5694383,-1.5936427187,-0.0629956636
SRX5694384,-1.897177442,-0.5138506066
SRX5694385,0.4744973028,0.7902162930000001
SRX5694386,3.0014466757,-1.3644038052
SRX5694387,-0.5304190639,-0.9038686694
SRX5694388,3.1282687695,-0.2000576513
SRX5694389,-2.5880031044000003,-0.23610086100000002
SRX5694390,-1.8260202201,0.010543391000000001
SRX5694391,0.3238356476,0.8676832805
SRX5694392,-0.7060220716000001,0.1476171064
SRX5694393,-1.6278371543999999,-0.4422931648
SRX5694394,-1.6162722749,-0.0602761745
SRX5694395,-2.5685334694,-0.6547193586000001
SRX5694396,2.3130920114,-0.3251957722
SRX5694397,0.7452410203000001,-0.18130374570000002
SRX5694398,-0.5720378398,0.0856004753
SRX5694399,-0.8088407882,0.0942102137
SRX5694400,-0.1722966153,-0.3430143739
SRX5694401,-1.134095771,-0.0636880984
SRX5694402,3.7605590802,-1.1867881991
SRX5694403,2.2055247782,-0.5498063154
SRX5694404,-1.4044727946,-0.1112907639
SRX5694405,0.4418006055,-0.38237986160000004
SRX5694406,-0.4896412865,0.0360186079
SRX5694407,0.6610398519,-0.6763368656000001
SRX5694408,-0.13081038990000002,-0.3755846614
SRX5694409,2.5702175214,-0.6204073496
SRX5694410,-2.7727189841,-1.4781331712
SRX5694411,-0.8959659357,0.4801866011
SRX5694412,-1.1484010438,-0.6105053617
SRX5694413,5.3442953698,-0.7720217744000001
SRX5694414,5.7830012996,-0.7956087105
SRX5694415,-2.7892842205,-0.2748602404
SRX5694416,0.6733637019000001,-0.0405720311
SRX5694417,-0.558947109,-0.49062053640000003
SRX5694418,2.8823869811,-1.0335738451
SRX5694419,2.4221231359,-0.7832434131
SRX5694420,0.2813875066,-0.0746933768
SRX5694421,-0.82456921,-0.4588774747
SRX5694422,-0.6748306624,-0.041532617800000005
SRX5694423,0.045984371600000004,-0.6922937171
SRX5694424,0.389386461,-0.2189532532
SRX5694425,-1.0143882457,-0.1258677379
SRX5694426,-1.4476079431,-0.4498728748
SRX5694427,-0.2562195982,-0.096505085
SRX5694428,-0.7945747227000001,-0.0219310728
SRX5694429,-0.569418889,0.25918827850000004
SRX5694430,-0.6193021009,0.0401584709
SRX5694431,2.1048198979,-0.2337677527
SRX5694432,-0.6998989588,-0.4687069608
SRX5694433,6.267801531,-0.21292980320000002
SRX5694434,6.2837184267,-0.2785611071
SRX5694435,1.8237757399,-1.5956196738
SRX5694436,2.7609927943,-0.8150583931000001
SRX5694437,1.4488547747,0.5263894333
SRX5694438,-1.6409285103,-0.3146656879
SRX5694439,1.1184637767,-2.0192330439
SRX5694440,-2.9085561492,-0.6694704109
SRX5694441,2.5657839996,-0.6186866864
SRX5694442,2.9345312189,-0.32555767290000004
SRX5694443,-0.0304220633,-0.5170712471
SRX5694444,-2.1330136927,-0.20768051710000002
SRX5694445,5.5520942878,-0.6958339112
SRX5694446,-1.5775726149,-0.7119680994
SRX5694447,-0.5906417009,-0.2456201173
SRX5694448,0.206182482,-1.1261482927
SRX5694449,-1.142696059,-0.1209971131
SRX5694450,-0.7992413388,-1.6115651082
SRX5694451,-1.413830318,-0.27537423980000003
SRX5694452,1.6857299013,-0.4997191818
SRX5694453,4.0620416583,-1.0328787264
SRX5694454,-1.9523422594,-0.6584317929
SRX5694455,2.0867577225,-1.0333771387
SRX5694456,-1.1983730403,-0.3953584542
SRX5694457,0.3237442533,-0.4836944054
SRX5694459,-1.8957404280999999,-0.6123185547000001
SRX5694460,1.5032566171,-1.6558232057
SRX5694461,-0.9240916010000001,-0.29506933560000004
SRX5694462,0.2045198594,-0.3382888478
SRX5694463,-2.2189056707,-0.0389981635
SRX5694464,-0.3535835961,-0.2455455184
SRX5694465,-0.5993392651,-0.4634065834
SRX5694466,3.3661023391000002,0.27265947960000003
SRX5694467,-0.2830333927,-0.3523158806
SRX5694468,3.6874337192,-2.8346830999
SRX5694469,-2.627830287,-0.3343273403
SRX5694470,-0.7613271005000001,0.086836389
SRX5694471,-0.2005602705,-0.3941185149
SRX5694472,-0.7547674764000001,-0.7081559589
SRX5694474,0.0445098841,-0.085377111
SRX5694475,-0.4775418273,-0.3582828437
SRX5694476,-1.9859630919,-0.35534123710000004
SRX5694477,0.528829734,-1.6598311002
SRX5694478,-2.0490329075,-0.0089307342
SRX5694479,5.3932010518,-0.7800052434
SRX5694480,3.5530601983,-0.3151921438
SRX5694481,-1.5845470367,-0.20993980650000002
SRX5694482,-1.2472430604,-0.6239447715
SRX5694483,-0.5687861414000001,-0.085888669
SRX5694484,-2.7829118357000002,-0.4174134483
SRX5694485,1.2599292761,0.8078010629
SRX5694486,-1.878500007,-0.6645766478
SRX5694487,-0.7181645479000001,0.09942097450000001
SRX5694488,0.2726217336,-0.0819013108
SRX5694489,0.6131751256,-0.5762024729
SRX5694491,1.7299710881,-1.2383887484
SRX5694492,1.4774297252,-1.1677091643
SRX5694493,0.9563901872,0.0032494200000000003
SRX5694494,0.050466317000000004,-0.2287265362
SRX5694495,-1.4633536832,-0.3867882709
SRX5694496,-1.4856040258,-0.5967110593
SRX5694497,0.2890433119,-0.1565068259
SRX5694498,-0.12806440330000002,-0.1152072012
SRX5694499,1.3211974823000001,-2.0786376999
SRX5694500,-0.7194670430000001,-0.0713916493
SRX5694501,-0.5302108556,-0.1499834042
SRX5694502,2.5662128307,-1.6505345280000001
SRX5694503,0.44670211070000004,-1.2581696036
SRX5694504,-1.5356469667,-0.5798279458
SRX5694505,2.044102663,-1.7742852543
SRX5694506,-0.29618484030000003,-1.3537549816
SRX5694507,-1.5884122929,-0.7233904767
SRX5694508,1.4503247385,-0.474987702
SRX5694509,0.1918837921,-0.36819308040000004
SRX5694510,-1.2705532239,-0.4233250669
SRX5694511,-1.1504408938,0.0324351952
SRX5694512,0.9595502713,-1.3132605613
SRX5694513,5.4250752814,-0.357898729
SRX5694514,1.1498020573,-1.6125850422
SRX5694515,1.7820102559,1.2223967291
SRX5694516,1.1073082581,-1.9639897984
SRX5694517,-0.7137481392,-0.59603229
SRX5694518,-0.27227203510000003,-0.3473082892
SRX5694519,0.6437685326,0.2195080271
SRX5694520,-0.7079935166,-1.3434634362
SRX5694521,-0.8377633905,-0.44444111340000003
SRX5694522,-1.5512470146,0.0108738156
SRX5694523,-1.0140244475,-0.5282316380000001
SRX5694524,1.0692068817,-0.3751103376
SRX5694525,-1.2246779786,-0.5657864187
SRX5694526,-4.0227744781,-1.3629264037
SRX5694527,0.030892924500000002,0.1008530702
SRX5694528,5.4642717847,-0.8865176025
SRX5694529,-1.3828899836000001,-0.1364984341
SRX5694530,0.5044710787,-1.6006594627
SRX5694532,1.1501948467,-0.574605059
SRX5694533,-0.5336262852,-1.0249822343
SRX5694534,0.06842401570000001,0.6063355496
SRX5694535,-0.3540150809,-1.2912716740999999
SRX5694536,-0.5748186218,-0.163953076
SRX5694537,-0.4803268905,-0.4863640046
SRX5694538,-0.9255575726,-0.20155553010000002
SRX5694539,-0.5528108203000001,-0.2314429124
SRX5694540,1.4333486832,-0.7533213509000001
SRX5694541,-0.39253849550000003,-0.30002919570000003
SRX5694543,1.3562818229,-2.4875923917
SRX5694544,0.9925221669000001,-0.5330340021000001
SRX5694545,-1.5615181806,-0.0560706851
SRX5694546,-3.3779668158,-1.8883624467
SRX5694547,-0.6562072831,0.0175285767
SRX5694548,0.0879633986,-0.046264357900000004
SRX5694550,6.0572047393,-0.0326589432
SRX5694551,-2.0087103793,-1.3297905889
SRX5694552,0.1194925792,-0.4858733342
SRX5694553,-1.0814778188,-0.320087944
SRX5694554,1.2332320101,-0.11972557210000001
SRX5694555,0.053388495200000004,-0.7684705141
SRX6072760,2.0335283388,-0.3738952278
SRX6072761,2.7490931598,-0.4520007575
SRX6072762,2.9688244947999998,-0.1713929261
SRX6072763,1.6564926065,0.24732615570000002
SRX6072764,1.7836232015,-0.8681191132
SRX6072765,1.8039132852000002,0.1920613243
SRX6376491,5.0788454174,-0.320335953
SRX6376492,3.3157439301,-1.5089889576000002
SRX6376493,3.0928355691,-1.3776734539
SRX6376494,-0.1210713927,-1.3502072019
SRX6376495,5.9067394596,-0.0108821147
SRX6376496,4.0488669884,-0.0414910217
SRX2723951,-1.4629363338,0.9350194196
SRX2723952,-2.1460374695,1.3125812264
SRX2723953,-1.4336171322,0.998998217
SRX2723954,-3.7453014862,1.8344341715999999
SRX2723955,-1.1860918349,0.0273794145
SRX2723956,-1.6413904221,0.6117625482
SRX2723957,-0.6854182701,0.0195921558
SRX2723958,0.1703000237,0.0651557207
SRX2723959,-0.16014463810000001,-0.1516655943
SRX2723960,-1.2378334319,1.6427915955999999
SRX2723961,-2.8803384392,2.0146868946
SRX2723962,-1.1525356205,1.0400287372
SRX2723963,-0.35796309870000004,0.0513856386
SRX2723964,-0.2777548983,0.5566005611
SRX2723965,-0.8894706404,0.7148154585000001
SRX2723966,-0.1537877649,0.14820017970000002
SRX2723967,0.10607498950000001,-0.0858911564
SRX2723968,0.0477127755,-0.0623090233
SRX6977206,0.1047256875,-1.2060148249
SRX6977207,-0.7059507162,-1.3542611317
SRX6977208,-0.3104704981,0.27546628570000004
SRX6977209,-0.9640613913,0.0875435629
SRX6977210,-1.0772074056,0.2295211266
SRX6977211,0.5338014525,0.0431767816
SRX6977212,0.10273269700000001,0.1275600077
SRX6977213,-0.6365341495,-0.1707367893
SRX6977214,-1.0875965887,-1.3961057111000001
SRX1153733,0.0753739531,-0.10836123510000001
SRX1153734,-0.0753739531,0.10836123510000001
SRX1153735,1.1438643535,-0.41657413330000004
SRX1153736,-1.6975904451,-0.3153428038
SRX5204053,1.2330205266,0.2709162397
SRX5204054,0.46736145360000003,0.681205806
SRX5204055,1.5299868399999998,0.4094479807
SRX5204056,0.5714865186,0.2889040298
SRX5204057,0.1272229415,0.23757413
SRX5204058,-0.0101068905,0.2780361926
SRX5204059,0.5193505351000001,0.4092773259
SRX5204060,-0.1049661228,0.4694878964
SRX5204061,1.1641993079,0.4565826779
SRX5204062,0.4987628696,0.23323628700000001
SRX5204063,1.2496317887,0.30770012950000003
SRX5204064,1.0821792567,0.5812409474
SRX5204065,-0.047612303700000004,0.2566252476
SRX5204066,-0.1051062776,0.23158113300000002
SRX5204067,0.7779317101000001,0.21266958400000002
SRX5204068,-0.12470761050000001,0.3294570921
SRX5204069,0.7763729537,0.3344564481
SRX5204070,0.4263036649,0.2596946015
SRX5204071,0.31424018070000004,0.5851245233
SRX5204072,0.48552578760000004,0.41931633760000003
SRX5204073,1.4611693553,0.5141110628000001
SRX5204074,1.8596467356000002,0.4249866282
SRX5204075,-0.1041957123,0.3756991356
SRX5204076,0.44075718210000003,0.473087611
SRX5204077,2.415479426,0.6189779
SRX5204078,1.7714741359000001,0.4632168407
SRX5204079,2.0062206968,0.3763549054
SRX5204080,0.061617825700000003,0.8194681535
SRX5204081,0.1449207642,0.6745659388
SRX5204082,1.204634443,0.6677751149000001
SRX5204083,0.0258978853,0.1655143946
SRX5204084,0.3243582212,0.3210485436
SRX5204085,-0.0180648544,0.2806120439
SRX5204086,1.2930514127000001,0.0565289815
SRX5204087,2.5638358128,0.0445609166
SRX5204088,-0.5493776655,-0.0249700869
SRX5204089,0.6546702944,0.0617299555
SRX5204090,0.7128262544,0.19168563060000002
SRX5204091,0.5927585736000001,0.103200706
SRX5204092,0.54059936,0.0401022683
SRX5204093,1.403337197,-0.0014189345000000001
SRX5204094,0.1232016612,0.19662814080000002
SRX5204095,0.1246768332,0.058680185200000005
SRX5204096,-0.1428013036,-0.102492225
SRX5204097,0.018124470400000002,0.0438120398
SRX683459,-0.0904555826,-0.0270304858
SRX683460,-1.524415817,0.0760083342
SRX683461,0.099017935,-0.1546018594
SRX683462,-1.3048776549,0.0380247602
SRX683463,-0.008562352300000001,0.1816323451
SRX683464,-2.0937794666,0.2560076831
SRX683465,-0.7303871315,-0.0933827556
SRX683466,-0.0139123621,-0.3887656028
SRX683467,0.1019790143,-0.1295365751
SRX683468,-1.7223022330000002,-0.8041991545
SRX683469,0.7183075173,-0.1380303618
SRX683470,0.4368383884,-0.29812934690000004
SRX322077,-1.1814509306,-0.49066816220000004
SRX322078,-0.4941149051,0.007153589100000001
SRX322079,-1.0727443953,-0.4117123911
SRX322080,-0.3747745599,-0.13801675430000002
SRX322081,0.1325113413,0.0639860155
SRX322082,-0.4063579458,0.02919704
SRX322083,-0.3039284524,0.1687964093
SRX322084,-0.2915936631,0.09996829630000001
SRX322085,0.5955221155,-0.2687647056
SRX2708592,0.8347238046000001,0.9023426841000001
SRX2708593,2.1974992602,1.1069497475
SRX2708594,-0.09235476890000001,1.0374978813
SRX2708595,0.022492638000000002,-0.1057490667
SRX2708596,0.015835143,0.26190119230000003
SRX2708597,-0.038327781000000005,-0.1561521257
SRX2708598,2.0680900273,-0.36438194090000003
SRX2708600,1.7612219332999999,0.3767296297
SRX2708601,0.7048316731000001,-0.0650881993
SRX2708602,-1.6079101283,0.2632655309
SRX2708603,2.5819338364,0.060157179000000005
SRX3073814,-0.218100219,-0.2813255255
SRX3073815,-1.7299021943000001,-0.6738168909000001
SRX3073816,-0.3172386613,-1.5935888782
SRX3073817,0.8820038213,-2.103390849
SRX3073818,-0.23453022410000002,-1.8175085063
SRX3073819,-0.811851423,-0.17342647830000002
SRX3073820,-2.3969796324,-0.4181413036
SRX3073821,-0.0319936096,-0.2520569934
SRX3073822,0.91455155,-1.5118481565000002
SRX3073823,-3.2573914037,-2.0775499991
SRX3073824,0.218100219,0.2813255255
SRX3073825,-2.4101511970000002,0.2575065193
SRX3073826,-0.6843342981,-0.7763028475
SRX3073827,0.2355399597,-1.6170751991999999
SRX3073828,-0.23266325100000002,-1.1199086157
SRX3073829,-0.429811647,-0.3761590087
SRX3073830,-1.1934658116,0.050854989
SRX3073831,-0.13252520980000002,-0.8755036134
SRX3073832,0.1446237215,-1.4557419046
SRX3073833,0.4216056004,-1.2053707827
SRX2391456,-0.26112252080000004,-0.0441382519
SRX2391457,0.1239830029,-0.0051637424
SRX2391458,0.1209260894,0.1670421726
SRX2391459,0.2365544798,0.1371180347
SRX2391460,1.134175357,0.1937038802
SRX2391461,0.4427258127,0.1603668355
SRX2391462,0.6596374441,0.3472941712
SRX2391463,2.0792459201,0.4058260731
SRX2391464,2.234343769,0.65331549
SRX2391465,-0.1548753166,0.6412339316
SRX2391466,-0.0783669872,0.6264968778000001
SRX2391467,0.1350862044,0.037615340000000004
SRX2391468,0.3963080484,-0.0198895767
SRX2391469,0.2667331832,-0.0038372478
SRX2391470,0.7093081999,0.1496346794
SRX2391471,0.3967007715,-0.0858369712
SRX2391472,0.45516868720000003,0.39580464930000003
SRX2391473,-0.0155713559,0.3956288958
SRX2391474,0.2655898219,0.30688730200000003
SRX2391475,1.2204011603,0.2829278405
SRX2391476,1.8804965772000002,0.30004393290000003
SRX2391477,0.14002592120000001,0.4285629251
SRX2391478,-0.2105875773,0.1761778974
SRX2391479,2.5213865731,0.5807064936
SRX2391480,-0.2693358538,0.6331524831
SRX2391481,-0.030952191700000003,0.6537754289000001
SRX2391482,-0.0151307322,0.5689037464
SRX2391483,-0.0359369627,0.523051146
SRX2391484,0.5213538376,-0.0745279444
SRX2391485,0.20143061140000001,0.0255593801
SRX2391486,0.38719802610000004,0.14351567
SRX2391487,1.5382795318,0.2100254433
SRX2391488,1.4080522328,0.3475208068
SRX2391489,0.2737343236,0.5006812987
SRX2391490,0.8041838495,0.5341197893
SRX2391491,0.013906540600000001,0.6435912117
SRX2391492,-0.2005541696,0.7313357348
SRX2391493,-0.128702839,0.5811997413000001
SRX2391494,0.9918740882,0.5516383947
SRX2391495,-0.1350862044,-0.037615340000000004
SRX2391496,0.0211109119,0.1189268663
SRX2391497,0.038742275,-0.1077658962
SRX2391498,2.3532724908000002,0.41976700040000003
SRX2391499,0.8247364028,0.3157271727
SRX2391500,1.0181185226,0.43560905400000005
SRX2391501,0.4370094772,0.2824727533
SRX2391502,0.7330419565,0.33158366580000004
SRX2391503,1.2501362827,0.7283180791
SRX2391505,0.9851409976000001,0.5961351551
SRX2391506,0.5983583823,0.5415595934
SRX2391507,0.31238911680000003,0.4838146888
SRX2391508,0.4715313521,0.9658438249
SRX2391510,0.4391115378,0.6478951955000001
SRX2391512,0.023686406900000002,0.7777073744
SRX2391513,0.1451119722,0.7564464806000001
SRX2391514,0.4654815125,0.6539445683
SRX5632598,-3.1855240684,0.7372186291
SRX5632599,-3.007395686,0.3016496154
SRX5632600,-2.9356583361,1.5076213736000001
SRX5632601,-2.8895511433000003,1.5079992955
SRX5632602,-2.6511923311,1.8261847573
SRX5632603,-4.5553286246999996,2.3032561838
SRX5632604,-2.708074865,1.8465135739
SRX5632605,-2.8374973842,1.8023068566
SRX5632606,-2.5686712722,0.8006402135
SRX5632607,-1.7356194702,0.060533963100000004
SRX5632608,-0.1852678186,-0.0165666732
SRX5632609,-0.0238793979,0.0680358538
SRX5632610,-2.559975488,0.1438610499
SRX5632611,0.2091472165,-0.051469180600000004
SRX5632612,-1.4289078329,0.32811766000000003
SRX5632613,-1.8487744621000002,0.4700908039
SRX5632614,-2.2105534906,-0.2609001796
SRX5632615,-0.9345861253000001,-0.2999388264
ERX2874132,0.7257971977000001,0.7458339180000001
ERX2874133,-0.471914249,-0.0694479501
ERX2874134,-1.4732149217,-2.2730183212
ERX2874135,-2.3134480799,-2.4260977373
ERX2874136,-1.4505895636,-2.6006225945
ERX2874137,-1.9021422149,-2.8355968507
ERX2874138,-1.6154747316,-1.5073567234
ERX2874139,-1.6288675092,-1.4534764638
ERX2874140,0.7466947722,0.2790673798
ERX2874141,-0.7466947722,-0.2790673798
ERX2874142,-0.6564141586000001,-0.3378152377
ERX2874143,-0.29256764620000003,-0.46311889850000004
ERX2874144,0.1050487273,-1.5493357285
ERX2874145,-0.31540857370000003,-1.8720784225
ERX2874146,-0.0551614122,0.045203922800000004
ERX2874147,-0.6252207877,-0.5017371021
SRX1300292,1.6019209241999999,0.09066286900000001
SRX1300293,-1.6019209241999999,-0.09066286900000001
SRX1300299,-0.6433152365,-0.0653510895
SRX1300300,0.7895700708000001,-0.0825056306
SRX1300304,1.4000309544,-0.4608397437
SRX1300305,0.2548044969,-0.2592089951
SRX1300306,-0.5159449744,-0.0901624191
SRX1300310,0.8799925894,-0.17223814340000002
SRX1300311,2.3276437446,-0.1911687045
SRX7291195,0.49493782150000004,0.12283567840000001
SRX7291196,0.7147717071,0.082853433
SRX7291197,0.4514340102,0.0695261316
SRX7291198,0.0732945063,0.036553272500000004
SRX7291199,0.08947028800000001,0.0022005014000000002
SRX7291200,-0.1627647944,-0.0387537738
SRX7291201,0.38972785530000004,0.055560652200000005
SRX7291202,0.18489732150000002,0.1030247598
SRX7291203,0.4193037585,0.0832496748
SRX7291204,-0.026726584600000002,0.2001971942
SRX7291205,-0.19511633050000002,0.2145013711
SRX7291206,0.2329817126,0.278131014
SRX2436955,0.168534614,0.3420655957
SRX2436956,0.2947499208,0.42273130950000004
SRX2436957,0.3713050034,-0.0054254599
SRX2436958,-0.15651364110000002,0.1531768675
SRX2436959,0.0271983895,-0.0651916434
SRX2436960,0.2269319737,0.6747955624
SRX2436961,0.4332089328,0.5604221022
SRX2436962,-0.49638618900000003,0.3645911344
SRX2436963,0.1179932841,-0.13713242
SRX2436964,-0.8807364441000001,0.3654229625
SRX2436965,2.5806972133,-0.4609890874
SRX2436966,0.4266834825,0.4369166251
SRX2436967,0.43465395560000003,0.4311418065
SRX2436969,0.0003196449,0.4782777925
SRX2436970,0.4366697614,0.6186079763
SRX2436971,0.6087857709,0.4570748632
SRX2437029,-0.3003542064,0.5471640129
SRX2437030,0.009729597000000001,0.38184604650000004
SRX2437031,0.1066380742,-0.0362068585
SRX2437032,-0.44238728380000003,0.3222205543
SRX2437033,-0.4718016096,-0.18219354070000002
SRX2437034,2.4111476342,-0.7550741711000001
SRX2437035,-0.017158493900000002,0.2862621942
SRX2437036,0.18888158800000002,0.335622841
SRX2437037,-1.7888543928,0.8435688256
SRX2437038,0.5780029401,0.5739149264
SRX2437039,0.17991335420000001,0.059619250400000004
SRX2437040,0.17377333350000002,0.2939018249
SRX2437041,-0.0404222095,0.26716655500000003
SRX2437042,0.234335176,-0.5149615505
SRX2437043,-1.1105669956,0.4929333986
SRX2437044,0.24779097060000002,0.0755684158
SRX4705203,-2.075066315,0.0052090497
SRX4705204,0.09830681200000001,-0.009825038500000001
SRX4705205,-0.34841624400000004,-0.0379074508
SRX4705206,-0.480424118,-0.1096847256
SRX4705207,-0.11600004820000001,0.35762813790000003
SRX4705208,-1.7145529060000002,0.2946933102
SRX4705209,1.4713001337,0.5537365607
SRX4705210,-1.7494706130000002,0.4664260434
SRX4705211,-1.8505913923000001,0.1196487225
SRX4705212,-2.0985110527,0.3446221463
SRX4705213,-0.7941426271,-0.14799487320000002
SRX4705214,-0.1287384375,-0.2906599925
SRX4705215,0.6432859272,-0.0658961873
SRX4705216,-0.6013989937,-0.22425407630000002
SRX4705217,0.6934312313000001,0.30811602460000004
