,A,SigL,AhrC,PutR,RocR,Spo0A,SigA,CodY
HPh_1,17.4369145563,11.0734,11.9186,11.3848,10.2727,12.4434,13.9961,14.0402
HPh_2,17.3700745692,10.9098,11.511800000000001,11.0502,9.7418,12.1206,13.8834,13.7202
HPh_3,16.9850375834,10.8687,11.4991,11.1863,9.7841,12.4295,13.9816,14.0557
LPh_1,17.4820736202,10.911,11.9157,11.2611,10.0141,12.5635,14.0627,14.1537
LPh_2,18.2773265711,11.3966,12.4683,11.7006,10.4137,12.8483,14.6632,14.3754
LPh_3,17.640893479,10.9225,11.8076,11.2344,9.9032,12.3901,14.1228,14.2255
LPhT_1,11.8805949401,11.5114,10.9814,11.695,9.5109,12.818,13.2688,13.3638
LPhT_2,13.3836735913,11.6958,10.952,11.609,9.384,12.6015,13.1712,13.4522
LPhT_3,13.3573895281,12.2011,10.8516,11.8193,9.6253,13.006,13.3603,13.8095
SMMPr_1,0.1364236469,11.3858,11.0254,10.4588,10.044,13.3642,14.0475,13.3211
SMMPr_2,0.14296645360000002,11.4931,11.1618,10.4679,10.0292,13.2874,14.0387,13.5095
SMMPr_3,0.6373741462,11.7629,11.2475,10.577,9.9919,13.483,14.0168,13.6113
HiTm_1,5.9733220889,11.0576,11.1025,10.3171,10.513,13.1721,14.1183,13.6247
HiTm_2,3.7957924969,10.8886,11.6242,10.705400000000001,10.8352,13.35,13.3113,13.3934
HiTm_3,2.7464074955,10.8506,11.594899999999999,10.7897,11.0799,13.668800000000001,13.5911,13.4343
LoTm_1,2.2189063036,13.6348,12.0776,12.1767,9.4258,14.2496,12.3657,14.0184
LoTm_2,2.8363723801000003,13.375,11.6951,11.9595,9.0752,14.0774,12.2284,13.7256
LoTm_3,3.4842026915,13.2245,11.7113,12.0608,9.0947,13.7495,12.255700000000001,13.7307
HiOs_1,4.1516494613,12.3761,11.6977,10.8328,10.3265,13.7674,13.2213,13.1122
HiOs_2,4.6898047031,12.0673,11.4657,10.6563,10.2887,13.5585,13.1559,13.012
HiOs_3,4.3682906132,12.1273,11.5876,10.5692,10.386800000000001,13.7425,13.2773,13.1912
BMM_1,0.9581414305,10.71,11.8768,10.8543,10.3281,12.8644,13.4498,13.432
BMM_2,1.0404675706,10.629,11.663499999999999,10.6127,10.2154,12.5945,13.3205,13.1396
BMM_3,0.4488208745,10.7463,12.0816,10.8648,10.0092,12.742,13.5462,13.4568
Heat_1,1.2575838222,11.2149,12.8625,11.7744,11.7113,13.5304,13.2334,14.0469
Heat_2,1.9385841412,11.0105,12.4,11.649000000000001,11.5223,13.1714,12.9985,13.8246
Heat_3,1.7144531576,10.7472,11.8771,11.4986,11.1313,12.987,12.9208,13.668800000000001
Cold_1,-2.6000833268,12.9844,12.3287,10.971,8.5113,13.0828,14.8203,13.2401
Cold_2,-2.7819633031,12.5847,11.2922,10.6909,8.2444,12.585,14.1853,12.7097
Cold_3,-1.7482092145,12.0571,10.7201,10.1958,8.0921,12.0578,13.7563,12.2239
Etha_1,1.2367724225,10.7111,10.7607,9.3924,9.3036,11.4391,12.8573,12.0749
Etha_2,1.4621356101,10.2717,10.345,9.3591,8.7893,11.1314,12.7243,11.9248
Etha_3,0.6031408444,10.7843,10.7416,9.4324,9.1525,11.5767,12.9687,12.3303
SMM_1,1.3773089513,11.2247,11.5326,10.7049,10.1885,13.1353,13.5052,13.2283
SMM_2,0.9641315571,11.2195,11.4175,10.636800000000001,10.0533,13.0717,13.4164,13.2029
SMM_3,0.9360030211,11.2807,11.4831,10.6014,10.1192,13.2347,13.5245,13.1501
Salt_1,-4.415916434,11.6757,12.0256,9.937100000000001,10.3004,12.1874,13.4812,13.2467
Salt_2,-4.3988011092,11.6313,11.8361,9.8736,10.0907,12.0421,13.3286,13.3133
Salt_3,-3.7186087996,11.5986,11.9635,10.0077,10.2097,12.0908,13.5898,13.2921
Mt0_1,1.6999200911,11.1416,11.6866,11.3156,10.1962,12.8024,14.1658,13.9994
Mt0_3,1.762332388,11.5634,12.1911,10.8712,10.2706,13.0577,14.0834,13.8511
M0t45_1,0.5113316026,11.2012,10.844100000000001,10.9913,10.1562,13.159,14.1543,13.8717
M0t45_2,5.8204483421,11.585,11.745,11.1592,10.03,12.7394,14.1846,14.114
M0t45_3,1.3965855446,11.5038,11.4314,11.3288,10.3206,13.3434,14.2651,14.2129
M0t90_1,20.5369837014,11.6154,10.1688,10.4086,8.9312,12.4009,12.6548,13.1859
M0t90_2,25.3911141151,12.7567,11.2927,11.3615,9.2994,13.6524,13.7437,14.2449
M0t90_3,19.1630391704,12.3282,10.8337,11.3309,9.5772,13.1909,13.3157,13.6951
M40t45_1,1.6527012137,11.5403,10.8034,10.4019,10.0459,12.7352,13.6425,13.5939
M40t45_2,5.8228082785,13.2225,11.0314,12.4723,10.6573,14.0396,14.0392,11.8656
M40t45_3,0.5872046096,11.4392,11.5995,11.7528,10.3308,13.5703,14.097,14.2107
M40t90_1,23.0887782782,12.2029,10.2876,10.7093,9.2805,12.7261,13.0377,13.1566
M40t90_2,25.3423570493,12.9831,10.9574,11.6388,9.5819,13.5323,13.1057,13.9061
M40t90_3,17.3843447334,13.024,10.9459,11.8652,9.7355,13.4407,13.594,13.5266
dia0_1,3.9086701242,11.3309,11.5319,10.5857,10.1247,12.2919,13.697,13.7839
dia0_2,4.1796641353,11.4808,11.8184,11.3862,10.3537,12.8481,13.836,13.687100000000001
dia0_3,3.4479815713,11.3291,12.1953,11.2459,10.38,12.9642,14.2766,13.955
dia5_1,-1.0203733489,12.7424,10.9068,12.3837,11.1398,12.6323,12.4511,12.3306
dia5_2,0.5633097386,12.7586,11.2226,12.2003,10.6011,12.3645,12.4552,12.2308
dia5_3,0.7790461653,12.3419,11.2344,11.8163,10.2116,12.3427,12.6806,12.2208
dia15_1,-3.7368792643,12.8715,12.5003,12.1395,9.6276,11.0735,13.6394,14.0633
dia15_2,-3.1385869385,11.2643,12.9587,11.2218,9.3497,12.1691,14.4124,15.0188
dia15_3,-1.1077360325,10.9907,11.8723,11.4876,10.0898,12.9268,13.2235,13.8787
Diami_1,-2.8639166331,11.1962,10.8917,10.7423,10.0575,11.4976,12.3456,13.1228
Diami_2,-2.0783952387,11.205,11.4116,11.2043,10.447,11.9034,12.9074,13.5839
Diami_3,-3.2566311832,11.1753,11.3908,10.9382,9.9881,11.7349,12.8769,13.6056
Paraq_1,-0.0547849014,10.1975,12.3221,10.257,9.3659,12.5996,14.2324,13.9971
Paraq_2,0.2642417962,10.3653,12.7902,11.0982,9.6509,12.8656,14.4646,14.69
Paraq_3,2.8787345847,9.0909,11.3578,9.5313,8.6228,11.4471,13.0518,13.1984
H2O2_1,-5.4694938483,10.7514,12.9568,10.6424,9.0304,12.138,13.9536,14.5053
H2O2_2,-4.4998328769,11.0025,13.1831,10.8253,9.2974,12.259,14.1817,14.8095
H2O2_3,-6.2148195039,10.9195,12.9119,10.8957,8.9948,11.8088,13.918800000000001,14.4943
Oxctl_1,2.5904653619999998,9.8951,11.7903,10.0709,9.3124,11.9156,13.8599,13.7959
Oxctl_2,2.7730247573,10.0504,11.804,10.372,9.5062,12.067,13.7135,13.7512
Oxctl_3,2.4241092871,10.1014,12.6147,10.8432,9.6949,12.725999999999999,14.478,14.61
GM-0.1_1,-0.33782481540000003,11.3317,11.4268,10.4168,9.9698,12.9863,13.419,13.0284
GM-0.2_1,-0.036531640500000004,11.2221,11.318,10.1799,10.0681,12.9613,13.3759,12.8726
GM+5_1,-1.1102614648,10.9994,11.0786,10.2704,9.7713,12.7969,13.3714,12.7901
GM+15_1,-0.2559764718,11.1737,11.7409,10.3847,10.1471,13.0677,13.531600000000001,13.3245
GM+25_1,-0.8554668114,11.5184,11.9682,10.8617,10.5014,13.6489,13.8283,13.7695
GM+45_1,-0.2104818535,11.3333,11.914,10.74,10.5653,13.3319,13.8168,13.6811
GM+60_1,-0.47316325340000004,11.1201,11.642,10.7098,10.4711,13.3425,13.9334,13.4223
GM+90_1,0.7693384694000001,11.0814,11.9161,10.5593,10.479,13.2368,13.8087,13.6186
GM+120_1,1.2385122183,10.2793,10.7933,9.638,10.0002,12.2711,12.8213,12.3563
GM+150_1,-0.0795783746,10.9538,11.193,10.5538,10.1768,12.8057,13.4015,13.0796
GM-0.1_2,-1.1080112784,11.9756,11.7311,11.0213,10.3399,13.5625,13.752,13.6061
GM-0.2_2,-0.7658514467,11.9623,11.8958,10.8124,10.4812,13.1717,13.8708,13.196
GM+5_2,-2.0529417884,11.5493,11.5792,10.5947,10.1337,13.3473,13.4779,13.2043
GM+10_2,-0.9337324749,11.2122,11.4715,10.2619,10.0779,13.2129,13.5433,13.3702
GM+15_2,-0.9648875768,10.799900000000001,11.3956,10.0389,9.8592,12.7885,13.2997,13.3418
GM+25_2,-0.6994070206,10.8695,11.4943,10.55,9.9367,13.2729,13.492,13.3976
GM+45_2,0.12124576540000001,10.2262,10.9341,9.571,9.5606,12.4013,13.0365,12.5909
GM+60_2,-0.677009454,10.09,10.785,10.0141,9.5797,12.4027,12.8823,12.5801
GM+90_2,-0.1221439054,11.0869,11.6057,10.5906,10.5484,13.3774,13.7723,13.618500000000001
GM+150_2,-2.1411071114,10.4549,10.7049,9.905100000000001,9.43,12.5135,12.7105,13.5741
GM-0.1_3,0.8293570886,11.8024,11.532,10.9779,10.105,13.4977,13.4343,13.2547
GM-0.2_3,0.42459199080000004,11.6278,11.473700000000001,10.9213,10.1241,13.5218,13.5552,13.212
GM+5_3,-0.5803428190000001,11.8292,11.606300000000001,10.9025,10.4177,13.457699999999999,13.5866,13.2162
GM+10_3,0.28708614460000004,10.4708,10.4911,9.6554,9.2324,12.2965,12.6924,12.2681
GM+15_3,0.48765623500000005,11.003,11.2884,10.4274,10.0225,12.9231,13.3161,12.9926
GM+25_3,1.3568014910000001,10.512,10.9492,10.1207,9.7022,12.8577,13.1581,12.6836
GM+45_3,0.9575885507,10.7266,11.0439,10.0803,10.0367,12.743,12.8715,12.5311
GM+60_3,1.6106920506,10.3193,10.7189,10.0577,9.5399,12.4835,12.9321,12.4122
GM+90_3,1.8611967296,10.708,11.5193,10.542300000000001,10.0078,12.6747,13.4402,12.9654
GM+120_3,1.5116686595000002,10.7455,11.1254,10.6209,10.023,12.9619,13.4896,13.391
GM+150_3,0.7605991047,11.0614,11.6182,10.6938,10.2424,12.8099,13.4983,13.2016
MG-0.1_1,1.8406070289,11.3574,11.7042,10.1258,10.2224,12.9009,13.6023,13.4929
MG+5_1,0.6779742910000001,10.9241,11.6221,10.1008,10.3549,12.9585,13.617,13.4158
MG+10_1,0.6799861243,11.3387,11.9532,10.5771,10.6844,13.3919,13.9654,13.8799
MG+15_1,0.1314856264,10.5867,11.1494,9.8123,9.8075,12.5853,13.1208,13.0666
MG+25_1,-0.5588177767,11.1513,11.6322,10.3368,10.4218,13.1575,13.7609,13.6525
MG+45_1,-0.7129989274,10.9919,11.5005,10.3676,10.1746,12.7172,13.5406,13.4574
MG+120_1,-1.1200946009,11.298,10.6975,10.1296,9.7395,12.7583,13.0947,12.006
MG+150_1,0.9270904178,11.0813,11.4685,10.4785,9.9967,12.8475,13.2405,12.7045
MG-0.1_2,1.055328516,10.784,10.7765,9.4772,9.4336,12.0499,12.8072,12.4982
MG-0.2_2,0.6714590067,11.1517,11.2866,9.8314,9.9624,12.7932,13.3433,13.122
MG+5_2,-0.8886307865,11.0591,11.213,9.9276,10.2553,12.8758,13.3291,13.1446
MG+10_2,-0.5726936304,11.2478,11.5194,10.1695,10.3503,13.0084,13.6988,13.447
MG+15_2,-0.301252283,11.8169,12.3136,10.8171,10.8836,13.4788,14.3943,14.0645
MG+25_2,-0.8736865544,10.7624,11.5703,9.8064,10.0929,12.5378,13.3344,13.2264
MG+45_2,-0.8903459017,10.5773,10.9588,9.6436,9.9391,12.2892,12.8247,12.7583
MG+60_2,-1.6156799494,11.1447,11.2736,10.2581,10.2765,12.8861,13.5254,13.2182
MG+90_2,-1.2271458079,10.7534,11.0912,9.8803,9.8501,12.512,13.0474,12.8625
MG+120_2,-2.5419828189,11.8244,11.3451,11.0539,10.3853,13.5426,13.4313,12.8783
MG-0.1_3,0.39810573180000003,11.961,12.1124,10.481,10.669,13.2178,13.9857,14.0032
MG-0.2_3,0.0889968354,11.4561,11.3558,10.0772,10.1804,12.828,13.6561,13.531
MG+5_3,-0.6741945364,11.0289,11.0221,10.0162,10.1326,12.7449,13.3195,13.5911
MG+10_3,0.2806300095,10.4548,11.0373,9.8978,9.8672,12.1654,13.2006,12.6769
MG+15_3,-1.1909316186,11.156,11.8129,10.1568,10.4851,13.2402,13.788,13.8515
MG+25_3,-1.323121643,11.2162,11.8166,10.4151,10.4063,12.8292,13.6718,13.8236
MG+45_3,-1.976853566,11.8221,12.1524,10.657,11.0413,13.4049,13.7991,14.0054
MG+60_3,-1.4954912369,11.4093,11.3793,10.2965,10.5445,12.9206,13.3483,13.326
MG+90_3,-1.3172951239000001,11.488,11.6805,10.5386,10.5408,13.1266,13.5993,13.4192
MG+120_3,-2.2854409881,11.5508,11.1315,10.5345,9.7615,12.9093,13.1479,12.6067
MG+150_3,-0.7195747572000001,11.0094,11.4188,10.3739,9.9905,12.9517,13.0847,12.8309
