,A,PhoP
SRX5694427,-2.3261831613,0.5707793050000001
SRX5694428,-1.6049927315999999,0.9260079333000001
SRX5694429,-0.0017400094,-0.5159771158
SRX5694430,-2.3302318415,0.342977075
SRX5694431,-3.3350610544,0.4940517117
SRX5694432,-3.177668235,-1.0189552994
SRX5694433,-3.3112275299,-1.2230381449
SRX5694434,0.5524538033,0.0078022103
SRX5694435,4.92209338,0.3089182351
SRX5694436,5.8050103754,-0.1206183776
SRX5694437,2.3592136598,1.1611899125
SRX5694438,-2.6369178487,0.3011831701
SRX5694439,3.110674659,-1.3758918493
SRX5694440,-1.9673941991000001,-0.0248222856
SRX5694441,-1.3811042488,0.2112408681
SRX5694442,7.6452226115,0.5659072907
SRX5694443,-0.8020579907000001,0.4724818542
SRX5694444,-3.8135906085,0.2930653122
SRX5694445,7.1150333993,0.35921817370000003
SRX5694446,-3.4860502624,-0.49195962400000004
SRX5694447,-1.5588337848,0.2534585625
SRX5694448,-4.8303670632,-1.8291233038999999
SRX5694449,-2.9003511104,0.32256563660000004
SRX5694450,-5.0067805203,-1.5692730083000002
SRX5694451,2.6407303409000003,0.5085967313
SRX5694452,4.4428567683,-0.0626752033
SRX5694453,-5.1388732011,-0.37241467770000003
SRX5694454,-2.2190322858,0.4077817777
SRX5694455,4.5285551973,-0.2572063034
SRX5694456,-2.8837161117,0.0339464499
SRX5694457,-3.0880752405,0.06756367740000001
SRX5694459,-5.5325330582,-0.7522862281
SRX5694460,3.7467322881,-0.0216149317
SRX5694461,-2.2183220043,-0.5455089112
SRX5694462,0.3899456377,-0.21617949800000003
SRX5694463,-3.2886729035,0.0338502389
SRX5694464,-1.7733800968,-0.39269525590000004
SRX5694465,-3.9106314559,-0.9438050817
SRX5694466,2.4974829008,1.6369899508999999
SRX5694467,-2.0315258796,-0.3573443536
SRX5694468,1.9857235044000001,-1.6176680149
SRX5694469,-2.8774155972,0.4173953329
SRX5694470,0.6365857006,-0.1469721863
SRX5694471,-1.9920156047000002,0.096443941
SRX5694472,-2.7667375168,-0.0226970053
SRX5694474,1.3082397157,-0.2474192765
SRX5694475,1.6198074185,0.35466127210000004
SRX5694476,-2.0820902875,0.48809237110000003
SRX5694477,2.3736614015,-0.3191122812
SRX5694478,-3.9154992455,-0.192848292
SRX5694479,-1.6213429279,0.5821363784
SRX5694480,-2.995710634,0.5907263655
SRX5694481,-1.4725470117000001,0.1981014036
SRX5694482,-3.2923930769,0.0536431086
SRX5694483,-2.787880907,0.31760228420000003
SRX5694484,-2.0997643253,-0.1053946223
SRX5694485,3.5568613313,1.6509338924999999
SRX5694486,-2.8846906674,0.2661777718
SRX5694487,-2.0672714274,-0.0186326806
SRX5694488,-0.055125628600000004,0.1527687778
SRX5694489,-0.4447237693,0.23486259180000002
SRX5694491,1.5550771967,-0.8491955738
SRX5694492,2.3303681733,-0.47245415690000003
SRX5694493,0.9059333032,-0.4933621993
SRX5694494,1.0603506334,-0.24551593030000002
SRX5694495,-2.4035338451,0.4025244398
SRX5694496,-2.6062098388,0.0318234265
SRX5694497,0.7785498761,-0.6135943656
SRX5694498,-3.2229607559,-0.0765106505
SRX5694499,0.8151104298,-1.4822993370000002
SRX5694500,-1.759886797,-0.3018012412
SRX5694501,-0.8078286641,-0.11948937350000001
SRX5694502,5.4358653537,-2.5722794134
SRX5694503,-0.0701257357,-1.9630589233
SRX5694504,-2.6879048851,0.23168983070000002
SRX5694505,5.5174319229,-0.315622783
SRX5694506,-2.3777406911,-1.8306468787
SRX5694507,-2.8280381673,0.0315135475
SRX5694508,-2.5438982718,0.8754110487000001
SRX5694509,2.9774208819,0.30571963820000003
SRX5694510,-2.7095471931,0.2357931452
SRX5694511,-3.6846421840000003,0.231461566
SRX5694512,2.4332081198,-0.7177272265
SRX5694513,-2.1709672058,0.4501182808
SRX5694514,3.497140421,-0.1423254356
SRX5694515,1.7973563429000001,2.3268557297
SRX5694516,2.7648400569,-1.5522646827000002
SRX5694517,-2.4378673191,-0.1298152373
SRX5694518,-1.2748299975,0.2184077878
SRX5694519,1.3487192791,0.1324074847
SRX5694520,-2.6022358484,-1.686118669
SRX5694521,-1.7058319782,0.0421058237
SRX5694522,-1.7519451863,0.13882434500000002
SRX5694523,0.9332795565,0.7415831700000001
SRX5694524,-0.2746998692,0.0202801459
SRX5694525,-1.7171389554,0.26064814000000003
SRX5694526,-2.9332480712,-0.2373081847
SRX5694527,-1.4545416935,-0.6110204651000001
SRX5694528,-1.6556212726,0.3983382728
SRX5694529,-1.4210450713,0.5590247728000001
SRX5694530,-3.623470083,-1.2292570745
SRX5694532,2.7747966469,-0.0264220532
SRX5694533,2.6883765703,-0.2431666596
SRX5694534,-1.0028891512,-0.6919047181
SRX5694535,-1.7586942324,-1.0393103119
SRX5694536,-0.9634258320000001,0.021887671900000003
SRX5694537,-2.3835277895,-0.018320486900000002
SRX5694538,-1.6495399519,0.3780263884
SRX5694539,-5.2401514206,-0.23061545420000001
SRX5694540,2.460445267,0.0225781436
SRX5694541,-1.2941401001,-0.1276902755
SRX5694543,2.9520439773,-1.5448417684
SRX5694544,-0.437156659,-0.47060172910000003
SRX5694545,-4.0543932527,-0.0210981861
SRX5694546,-5.0205223917,0.1436255106
SRX5694547,-1.9787132624,0.3839153772
SRX5694548,-0.4521882162,0.030592881500000002
SRX5694550,-0.3869189657,0.5141956595
SRX5694551,-3.3549064608,-1.8670785832
SRX5694552,-2.7750595714,0.19689698290000002
SRX5694553,-1.2958041177,0.4522981822
SRX5694554,-0.2001427205,-0.1093759646
SRX5694555,1.4034289554,-0.050847267200000004
SRX6072760,2.5175849099,-0.5561097203
SRX6072761,3.9932479088,-0.6833542060000001
SRX6072762,1.5743249219000002,-0.34570274230000003
SRX6072763,2.4279834275,-0.10531435300000001
SRX6072764,2.5920603067,-0.626088132
SRX6072765,2.222714132,-0.3186971662
SRX6376491,-3.6641237432000002,0.5104354695000001
SRX6376492,3.6429997798000002,-0.4750391384
SRX6376493,4.6322507671,-0.3888510471
SRX6376494,2.4556273206,-0.3111745919
SRX6376495,-4.0115354455,0.5616705963
SRX6376496,-3.6856377957,0.5203317841
SRX2723951,-1.7095367868,0.28403325900000004
SRX2723952,-1.7473221509,0.6154580205
SRX2723953,-2.5254392405,-0.08213453350000001
SRX2723954,-3.5689156909,1.5399420421999999
SRX2723955,-0.41569289060000003,0.2208274708
SRX2723956,-1.2325768578,0.3238249094
SRX2723957,-1.232925595,-0.11931675080000001
SRX2723958,-0.9810588008000001,-0.1672214284
SRX2723959,-0.5693423967,-0.1354388297
SRX2723960,-1.1603125799,0.49795635190000004
SRX2723961,-2.4085580977,1.581721744
SRX2723962,-1.569447248,0.0748219755
SRX2723963,-0.1549752426,-0.2453550582
SRX2723964,0.07280570800000001,0.22838608370000002
SRX2723965,-1.2157389514,0.2100758788
SRX2723966,-0.2176900847,0.050234329300000005
SRX2723967,0.0265178916,-0.0010069084
SRX2723968,0.19117219300000002,-0.049227421
SRX6977206,0.621020831,-0.3073476643
SRX6977207,-0.1559039018,-0.29573991580000003
SRX6977208,3.2830270702,0.8301449592
SRX6977209,2.9462678495,0.9678264001
SRX6977210,3.5093839054,0.9599143771
SRX6977211,1.1736094388,0.039823631500000005
SRX6977212,-0.3229570073,0.10282739590000001
SRX6977213,-0.8506524315,-0.14265102740000002
SRX6977214,0.8565401918000001,-0.5077212411
SRX1153733,0.23857233800000002,0.1409615488
SRX1153734,-0.23857233800000002,-0.1409615488
SRX1153735,-0.1439342774,-0.2506975575
SRX1153736,0.7017668191,-0.2705822163
SRX5204053,0.9063250089,-0.1870724142
SRX5204054,0.1293111453,0.32893442970000003
SRX5204055,0.9868595951,-0.034966511
SRX5204056,-0.0275514509,0.4855041352
SRX5204057,-0.7546777411000001,0.33420599700000003
SRX5204058,-0.4849082404,0.6376273964
SRX5204059,-1.8972837934000002,0.4895797525
SRX5204060,-1.1589755928,0.4403317023
SRX5204061,-1.2867697766,0.2267434804
SRX5204062,-0.5063500845,0.2889967272
SRX5204063,-0.5603594733,-0.0367793024
SRX5204064,-0.9908388688,0.24733705720000002
SRX5204065,-0.3883539374,0.6714358801
SRX5204066,-0.3013351137,0.5951536069000001
SRX5204067,-0.49302095840000004,0.6258230701
SRX5204068,-1.217118312,0.4086265935
SRX5204069,-0.588628628,0.37227704
SRX5204070,-1.2607358017,0.5655282065
SRX5204071,-0.9702261816000001,0.2599955452
SRX5204072,-0.8132145042000001,0.0927235389
SRX5204073,-1.4153827186,0.2994420675
SRX5204074,-2.0712133717,0.1969525413
SRX5204075,-1.2900924479,0.049539432800000005
SRX5204076,-0.8839170699000001,0.0321845641
SRX5204077,-0.9549576108000001,0.2720111571
SRX5204078,-1.0389015338,0.2123033061
SRX5204079,-0.1397025073,0.2872748504
SRX5204080,-1.6345824882,0.3089955437
SRX5204081,-1.4944143686,0.2271946061
SRX5204082,-0.7834613313000001,0.1424851645
SRX5204083,7.7839069473,0.9920873718000001
SRX5204084,7.2654211929,0.9007412693
SRX5204085,6.941869217,0.8817329597
SRX5204086,-0.7487162415,-0.5180650082
SRX5204087,-1.9795221969,-0.1066621633
SRX5204088,-1.6133269145,-0.2981991279
SRX5204089,0.3510105041,0.0914107833
SRX5204090,-0.0352810912,0.0115820346
SRX5204091,0.5500390386,-0.0055644234
SRX5204092,-0.844188244,0.0567196223
SRX5204093,-0.7619436334,0.0033388807
SRX5204094,-0.7130580408,0.0733603201
SRX5204095,-0.2119533002,0.22003490750000002
SRX5204096,0.17179517430000002,-0.1732170123
SRX5204097,0.0401581259,-0.0468178952
SRX683459,-0.5388437343,-0.2288915192
SRX683460,1.524464046,1.2967113036
SRX683461,0.3733545001,0.017975949800000002
SRX683462,3.1636319378,1.2755646246
SRX683463,0.1654892342,0.2109155695
SRX683464,0.6946664736,1.1562071282
SRX683465,-0.6607938589,-0.4382066583
SRX683466,2.5855131117,1.1435586184
SRX683467,0.8445046399,-0.1669265168
SRX683468,0.719334506,0.7637413681
SRX683469,-0.0512433609,-0.1345293131
SRX683470,1.8203189381,0.8203934110000001
SRX322077,3.5787129087,0.3336162885
SRX322078,1.3001283891,0.2724867463
SRX322079,1.7284466177,0.1103096066
SRX322080,0.1549341903,-0.039420577000000005
SRX322081,0.7956952982000001,0.1907182189
SRX322082,-0.44504222590000003,0.2730642225
SRX322083,-0.9346831171000001,-0.1642381363
SRX322084,1.0801737153,0.2774403563
SRX322085,-0.14549059820000002,-0.1132022199
SRX2708592,0.4754160858,-0.9232282838
SRX2708593,-1.5168398814000001,-1.2872909536
SRX2708594,-0.3432829053,-0.6560794283
SRX2708595,0.7364835302,0.0324270607
SRX2708596,-1.4680643002,-0.0610623651
SRX2708597,0.73158077,0.028635304400000002
SRX2708598,-2.2271036009,-0.5116752278
SRX2708600,-1.4443432623999999,-0.4319850542
SRX2708601,-0.9626584894,-0.3008110265
SRX2708602,0.11934406330000001,-0.4585750288
SRX2708603,-0.3195886975,-0.10521748360000001
SRX3073814,-0.029552982300000002,-0.3871106702
SRX3073815,-7.1268801852,-1.1510378663
SRX3073816,-8.9698957784,-1.4820326507
SRX3073817,-8.9360561335,-1.7358883877
SRX3073818,-8.657831914500001,-1.9313866643000002
SRX3073819,-1.0438107459000001,0.4127732838
SRX3073820,-9.0253542179,-0.846433286
SRX3073821,-9.494578442,-1.4857050712
SRX3073822,-7.3036014194,-2.2047084128
SRX3073823,-6.9743245495,-1.2967926465000001
SRX3073824,0.029552982300000002,0.3871106702
SRX3073825,-8.3361695821,-0.8650623999
SRX3073826,-9.2517737691,-1.2006119754
SRX3073827,-7.7598773452,-1.7360017853
SRX3073828,-8.1885417256,-2.0024047812
SRX3073829,-0.29919806060000004,0.06639797010000001
SRX3073830,-8.390728362800001,-1.0193407007
SRX3073831,-8.4273572096,-1.6186401235
SRX3073832,-6.9180268285,-1.5841753502
SRX3073833,-6.1837412002,-0.8520223650000001
SRX2391456,-0.6439057892000001,0.07998785750000001
SRX2391457,-2.2774092507,-0.3731450979
SRX2391458,-1.9549740361,-0.1221972211
SRX2391459,-1.9176448919,-0.18033350180000002
SRX2391460,-1.6009015105,-0.1239650582
SRX2391461,-1.209966981,-0.0550528006
SRX2391462,-1.8061360617000002,-0.15336958650000002
SRX2391463,-2.1318814545,-0.1140917427
SRX2391464,-1.9770477538,-0.1148282786
SRX2391465,-1.0946778164,-0.1412669043
SRX2391466,-0.7325380718000001,-0.2276774499
SRX2391467,-0.2320160686,0.013317086700000001
SRX2391468,-0.1467595987,0.1330022119
SRX2391469,0.09187689140000001,0.1320292277
SRX2391470,-0.38430096420000004,0.4143364684
SRX2391471,-2.2566613949,-0.0133637606
SRX2391472,-2.1037909526,0.2139012053
SRX2391473,-1.9054234969000001,-0.1529029929
SRX2391474,-1.9354008918,-0.24449314430000002
SRX2391475,-1.9251005504,0.0789254254
SRX2391476,-1.9972194225000002,0.2363583736
SRX2391477,-1.9276461404,-0.0671481227
SRX2391478,-1.5723001353,0.2370312772
SRX2391479,-2.5532399186,0.1022796408
SRX2391480,-0.4928492306,0.28404026190000004
SRX2391481,-0.8152713986,0.0211661866
SRX2391482,-0.9628160465000001,0.17041903790000001
SRX2391483,-0.8966416677,-0.0984504747
SRX2391484,-0.8985454960000001,-0.0893864332
SRX2391485,-2.3911475783,-0.5427787859000001
SRX2391486,-3.0982024039,-0.5106076984
SRX2391487,-3.0537476569,-0.5544843007
SRX2391488,-2.584638447,-0.34947231770000003
SRX2391489,-1.9927849461,-0.4129588482
SRX2391490,-2.0486650665,-0.2387830722
SRX2391491,-1.1801403676,-0.0777469028
SRX2391492,-0.3866240747,-0.0361487889
SRX2391493,-0.5396992822000001,-0.0411083532
SRX2391494,-1.1604574918,-0.0823751726
SRX2391495,0.2320160686,-0.013317086700000001
SRX2391496,0.061734737500000005,0.0315275094
SRX2391497,-0.3358485587,0.1022408472
SRX2391498,-1.2348683165,0.2521523107
SRX2391499,-1.8863749591,0.045354441100000004
SRX2391500,-2.7389477169000003,-0.08785447410000001
SRX2391501,-2.747818767,-0.318269181
SRX2391502,-2.7647879038000003,-0.37313408270000004
SRX2391503,-2.2478777708,0.0487007904
SRX2391505,-1.7904730581,0.0578687034
SRX2391506,-1.3705879917,-0.1312399266
SRX2391507,-2.0831392119,-0.1362573055
SRX2391508,-1.2112998048999999,-0.0235586861
SRX2391510,-0.8672535863,0.154027625
SRX2391512,-0.7572589253,0.17679299510000002
SRX2391513,-0.555853593,0.0199066699
SRX2391514,-0.5855744361,-0.11303454360000001
SRX5632598,-0.6330223060000001,-0.1445897447
SRX5632599,0.28820433900000003,-0.1106373933
SRX5632600,-0.6581794978000001,0.42259140850000004
SRX5632601,-0.4478109551,0.4506967872
SRX5632602,2.5882465674,0.8705033242
SRX5632603,-1.1015117827,0.514059307
SRX5632604,1.1695631953,0.5371368269
SRX5632605,1.9002370206,0.7457319462
SRX5632606,-0.8591650379,-0.1689798246
SRX5632607,0.1966530894,0.115903321
SRX5632608,-0.3978011674,-0.1133562718
SRX5632609,0.67169659,0.0800341561
SRX5632610,-0.1847292233,-0.5487377464000001
SRX5632611,-0.2738954226,0.0333221157
SRX5632612,-1.4316904542,-0.6263520365
SRX5632613,-0.8999801337000001,-0.4194397473
SRX5632614,0.3502085076,-0.0397786749
SRX5632615,0.8127039987,-0.21496500970000001
ERX2874132,2.420815018,-0.033297016
ERX2874133,3.3964389984,-0.3027084293
ERX2874134,5.4851030478,-0.7639904154
ERX2874135,4.9414946999,-1.0334141817
ERX2874136,7.0888612998,-1.1828397767
ERX2874137,5.9306509976,-1.3440825249000001
ERX2874138,1.4591002965,-1.0569630941
ERX2874139,1.7928039925,-0.9915172720000001
ERX2874140,-0.7387387658,-0.0112514118
ERX2874141,0.7387387658,0.0112514118
ERX2874142,2.1025313284,-1.3951003684
ERX2874143,1.284961825,-1.6363064655000001
ERX2874144,-0.4937324122,-0.8637791046000001
ERX2874145,-0.45324818600000005,-1.0856389901
ERX2874146,-0.8303462676000001,-0.23438743250000002
ERX2874147,0.2081916624,-0.4683964061
SRX1300292,-0.5082323346000001,0.1561188833
SRX1300293,0.5082323346000001,-0.1561188833
SRX1300299,-0.054601944000000006,0.049619277600000004
SRX1300300,1.1957841120000001,0.3177981889
SRX1300304,3.1101344561,0.36291617270000004
SRX1300305,1.8013335682,0.1752484632
SRX1300306,2.9053485673,0.3173051011
SRX1300310,2.6726251931,0.6752673277
SRX1300311,3.5361508601000002,0.4374740896
SRX7291195,-2.1136375473,0.5184485919
SRX7291196,-1.7821191803,0.5105852598
SRX7291197,-1.9703050677,0.45705422830000003
SRX7291198,0.020972227700000002,-0.0094848732
SRX7291199,0.10365526700000001,0.026307758100000002
SRX7291200,-0.12462749470000001,-0.0168228849
SRX7291201,-2.6311627357000003,0.3610478676
SRX7291202,-2.4023939663,0.4525002522
SRX7291203,-2.4911533366,0.36493020470000004
SRX7291204,-0.8549816520000001,-0.1912572287
SRX7291205,-0.7320226269,-0.11636210820000001
SRX7291206,-0.4645482527,-0.0913112447
SRX2436955,-0.2255654825,0.38916918970000003
SRX2436956,6.6610493381,0.7000569214
SRX2436957,7.3034314774,0.6434884714
SRX2436958,5.3972111377,0.7595884143
SRX2436959,3.0585837838,0.4961531229
SRX2436960,1.637020375,0.5523183391
SRX2436961,0.8198523083,0.5067444870000001
SRX2436962,1.6819175885000002,0.46684626900000004
SRX2436963,1.9872597534,-0.0626811226
SRX2436964,-0.0972015408,-0.0427869707
SRX2436965,6.0565089607,-0.6681681424
SRX2436966,2.1883230826,0.4022957615
SRX2436967,0.1549998703,0.3675295606
SRX2436969,2.1508437577,-0.0756031777
SRX2436970,2.4103352247,0.480539033
SRX2436971,0.172250294,0.6844098964
SRX2437029,1.3088625741,0.40367208600000004
SRX2437030,-0.3406756486,0.32409639360000003
SRX2437031,0.038524402900000004,-0.0619625294
SRX2437032,0.0792645407,0.299860177
SRX2437033,-3.2955749386,-0.19875054390000002
SRX2437034,5.7242311138,-0.7470936763
SRX2437035,4.2444545982,0.4956622607
SRX2437036,4.0207783593,0.2932486177
SRX2437037,0.1818776265,0.44546063010000003
