,A,PtxS
Bioreactor1:24h:1.0,-0.6823038387784182,-0.2385443919999996
Bioreactor1:24h:2.0,0.6823038386807757,0.2385443919999996
Bioreactor2:S_0min:1.0,-0.6651593309437804,-0.0161090586666663
Bioreactor2:S_15min:1.0,-1.1939950382081796,-0.2707844346666661
Bioreactor2:P1_15min:1.0,-0.8439255776793371,-0.227337674666666
Bioreactor2:P3_15min:1.0,-0.5828578905656745,-0.2172534006666664
Bioreactor2:P5_15min:1.0,-0.0351396540555692,-0.2481046986666664
Bioreactor2:S_1h:1.0,-0.8458234781626175,-0.0725631256666661
Bioreactor2:S_3h:1.0,-0.4014529474203724,-0.0227135736666665
Bioreactor2:S_9h:1.0,0.2418756999488074,0.0819418323333334
Bioreactor2:S_25h:1.0,-0.2410154271239395,0.059302043333334
Bioreactor2:P1_25h:1.0,0.3048920746926383,-0.2449112676666658
Bioreactor2:P3_25h:1.0,0.5907261147775058,0.1080865293333337
Bioreactor2:P5_25h:1.0,1.1883011486939712,0.0284913143333334
Bioreactor2:S_0min:2.0,0.9927032463863984,0.2010408553333338
Bioreactor2:S_15min:2.0,-0.8004147844495446,-0.5009368856666665
Bioreactor2:P1_15min:2.0,-1.0622774146608418,-0.5430591506666662
Bioreactor2:P3_15min:2.0,-1.1236045022686807,-0.2374117536666657
Bioreactor2:P5_15min:2.0,0.0426420306255146,-0.1532148366666659
Bioreactor2:S_1h:2.0,-0.686883010099573,-0.391118780666666
Bioreactor2:S_3h:2.0,-0.3578793944674399,-0.0638286626666664
Bioreactor2:S_9h:2.0,0.7152759896273322,0.0078637173333335
Bioreactor2:S_25h:2.0,0.7519463955557666,0.0723760453333337
Bioreactor2:P1_25h:2.0,0.6455737096878761,0.0872589213333334
Bioreactor2:P3_25h:2.0,1.2858818178542593,0.0148138163333335
Bioreactor2:P5_25h:2.0,1.873754540104288,0.0911449913333335
Bioreactor2:S_0min:3.0,-0.3275439147826081,-0.1849317966666666
Bioreactor2:S_15min:3.0,-1.641794834460726,-0.3912363566666661
Bioreactor2:P1_15min:3.0,-0.5448804853291334,-0.5502985386666666
Bioreactor2:P3_15min:3.0,-0.6986129173548608,-0.2336015896666659
Bioreactor2:P5_15min:3.0,-0.2836047328438725,0.031744194333334
Bioreactor2:S_1h:3.0,-0.957262742629959,-0.0864076186666658
Bioreactor2:S_3h:3.0,-0.4039982785390578,0.0049292723333334
Bioreactor2:S_9h:3.0,-0.0204931503829158,0.0062312113333335
Bioreactor2:S_25h:3.0,0.0200555189628301,-0.2075489666666659
Bioreactor2:P1_25h:3.0,0.4418857281634703,0.1512721533333341
Bioreactor2:P3_25h:3.0,1.0141537816143424,0.0864270443333339
Bioreactor2:P5_25h:3.0,1.3183756568940108,-0.0602299656666662
Carbon:Citrate:1.0,-19.777521710873813,-2.2595860905
Carbon:Citrate:2.0,-20.524332626407617,-2.0083893635
Carbon:Citrate:3.0,-19.328820585302623,-2.503878415500001
Carbon:Ferulate:1.0,-19.923293564156687,-2.5691173025000005
Carbon:Ferulate:2.0,-19.350260075213484,-3.0566761675
Carbon:Ferulate:3.0,-19.59248381165767,-2.9718302425000003
Carbon:Glucose:1.0,-0.8778945173509398,-0.1847289555000006
Carbon:Glucose:2.0,0.8778945169463875,0.1847289554999998
Carbon:Serine:1.0,-19.80777937894201,-2.089224581500001
Carbon:Serine:2.0,-19.32668720812628,-2.1870360865
Carbon:Serine:3.0,-19.619467077010587,-2.224149367500001
Carbon2:Glucose:1.0,0.1166450912997817,0.0669832499999998
Carbon2:Glucose:2.0,0.2802231900298431,-0.0303558090000013
Carbon2:Glucose:3.0,-0.3968682800017742,-0.0366274410000002
Carbon2:Coumarate:1.0,-11.588499074520197,-2.055955687000001
Carbon2:Coumarate:2.0,-12.195698086906091,-2.4138594110000007
Carbon2:Coumarate:3.0,-11.93961118862693,-2.225116348000001
Crc:Control:1.0,-0.186278664026636,0.2488218599999996
Crc:Control:2.0,0.1862786642627015,-0.2488218599999996
Crc:Del_crc:1.0,-4.706362716547832,-0.8731586109999991
Crc:Del_crc:2.0,-2.740101008418626,-0.7515107089999997
Crc:Del_crcZ_crcY:1.0,-9.715950071843968,-2.02612336
Crc:Del_crcZ_crcY:2.0,-9.949877434983364,-2.476777041
FinR:Control:1.0,0.0940744043459215,0.1306089649999995
FinR:Control:2.0,-0.1956624344900993,-0.0773586850000001
FinR:Control:3.0,0.1015880310213115,-0.0532502800000003
FinR:Del_finR:1.0,-0.3674044557581097,0.3841137310000002
FinR:Del_finR:2.0,-0.771273755576422,0.3822577100000002
FinR:Del_finR:3.0,-0.2488258309958733,0.4225581150000002
FleQ:Del_fleQ:1.0,-0.1848244392551103,-0.4666757066666669
FleQ:Del_fleQ:2.0,-0.1358750316069561,-0.3303393486666675
FleQ:Del_fleQ:3.0,-0.3607265343252752,-0.4425446526666672
FleQ:OE_wspR:1.0,0.5539277881113739,0.0096087463333329
FleQ:OE_wspR:2.0,0.011892463946727,-0.0600313386666666
FleQ:Control:1.0,0.1017202068912931,-0.0532491696666674
FleQ:OE_wspR:3.0,0.5209841173302376,-0.0774272826666671
FleQ:Control:2.0,0.1117064516776478,0.1306085623333333
FleQ:Control:3.0,-0.2134266591450027,-0.0773593926666667
Fuel:Butanol:1.0,-5.716935506311732,-1.3619405970000005
Fuel:Butanol:2.0,-5.249559090222894,-1.2335346080000005
Fuel:Control:1.0,0.1562081178734656,0.0727746439999998
Fuel:Control:2.0,-0.1562081176155139,-0.0727746439999998
Fuel:Isopentanol:1.0,-7.547050398217525,-0.8748591650000002
Fuel:Isopentanol:2.0,-6.565731964383425,-0.4772404989999996
Glycolaldehyde:Glycolaldehyde:1.0,-1.7952886136044777,-0.7404626524999998
Glycolaldehyde:Control:1.0,-0.2982973592656525,0.1802790564999998
Glycolaldehyde:Glycolaldehyde:2.0,-2.9279974455727205,-0.8906073664999994
Glycolaldehyde:Control:2.0,0.298297358426528,-0.1802790564999998
HNS_protein:Control_ex:1.0,-0.0478726161298723,-0.1886918155000003
HNS_protein:Del_turB_ex:1.0,0.1931477157143262,-0.3675862565000001
HNS_protein:Del_turB_ex:2.0,0.2910455479033386,-0.4483841064999998
HNS_protein:WT_pCAR1_ex:1.0,-0.2452957198608548,-0.1164786344999999
HNS_protein:WT_pCAR1_Del_turA_ex:1.0,0.6158074236697357,0.8848133534999993
HNS_protein:WT_pCAR1_Del_turA_st:1.0,2.245111302697702,1.5641604395000002
HNS_protein:WT_pCAR1_Del_turA_ex:2.0,0.8959380199237471,0.8175267735
HNS_protein:WT_pCAR1_Del_turA_st:2.0,2.4890968985603004,1.5744468454999998
HNS_protein:WT_pCAR1_ex:2.0,-0.1999446077392482,-0.0019837245000005
HNS_protein:WT_pCAR1_Del_turB_ex:1.0,0.0874038599949664,0.4046594875
HNS_protein:WT_pCAR1_Del_turB_st:1.0,2.564533504125919,1.4713116684999994
HNS_protein:WT_pCAR1_Del_turB_ex:2.0,0.0191002681376634,0.4076257504999994
HNS_protein:WT_pCAR1_Del_pmr_ex:1.0,0.512800486927521,0.6050760994999997
HNS_protein:WT_pCAR1_Del_pmr_ex:2.0,0.2468706447780607,0.5091698994999998
HNS_protein:WT_pCAR1_Del_turB_st:2.0,2.6549204398821247,1.6511677075
HNS_protein:Control_ex:2.0,0.0478726163502707,0.1886918154999994
HNS_protein:WT_Del_turA_ex:1.0,-0.1955251601699849,0.5195709714999994
HNS_protein:WT_Del_turA_ex:2.0,0.4691997444778103,0.9114612844999996
Mobile_gene:2737_exp:1.0,-0.5618928712241814,-0.0955368240000007
Mobile_gene:2737_exp:2.0,0.0381661317880086,0.0693494039999995
Mobile_gene:2737_exp:3.0,0.1889142484361188,0.0110345769999993
Mobile_gene:2737_exp:4.0,0.3348124920795356,0.015152843
Mobile_gene:2737_reg:1.0,-1.19515203758074,-0.1052463970000001
Mobile_gene:2737_reg:2.0,-1.611702708065642,-0.1656304200000002
Mobile_gene:2737_reg:3.0,-1.7335516493410816,-0.1183443369999999
Mobile_gene:2737_reg:4.0,-1.1238012574769427,-0.00380365
Mobile_gene:3227_exp:1.0,-0.927753756706668,-0.0055875710000004
Mobile_gene:3227_exp:2.0,-0.2772361557842133,0.2103092269999997
Mobile_gene:3227_exp:3.0,-1.1919998362361632,-0.2077350620000002
Mobile_gene:3227_exp:4.0,-0.8387608304492905,0.196125447
Mobile_gene:3227_reg:1.0,-1.417917530990474,0.0102360589999994
Mobile_gene:3227_reg:2.0,-1.833395273460612,-0.0402372050000003
Mobile_gene:3227_reg:3.0,-1.7688195720447626,-0.0999011150000006
Mobile_gene:3227_reg:4.0,-2.192201711017597,0.0341834809999994
Mobile_gene:mfsR_exp:1.0,-1.6376266180542287,-1.690059947
Mobile_gene:mfsR_exp:2.0,-1.5071366572742348,-3.2392688890000003
Mobile_gene2:Condition1:1.0,0.6504177934436909,0.0178291814999997
Mobile_gene2:Condition1:2.0,-0.0812219082602877,0.1359375404999996
Mobile_gene2:Condition2:1.0,-0.1044851855701076,0.0870281925
Mobile_gene2:Condition2:2.0,0.1544616992541512,-0.1965945175000003
Mobile_gene2:Condition2:3.0,-0.2424090301243794,-0.0865682405000001
Mobile_gene2:Condition2:4.0,0.1924325154480948,0.1961345654999995
Muconate:CJ522_fructose:1.0,-12.56381021296843,-0.2017922753333323
Muconate:CJ522_fructose:2.0,-13.003244083068893,-0.3623084703333328
Muconate:CJ522_fructose:3.0,-12.739649819520986,-0.2026953703333323
Muconate:CJ522_fructose_glucose:1.0,-14.60003775021482,-0.5345580933333327
Muconate:CJ522_fructose_glucose:2.0,-14.15738552816702,-0.694767418333333
Muconate:CJ522_fructose_glucose:3.0,-12.49173645841898,-0.0827308933333323
Muconate:CJ522_fructose_glucose_gluconate:1.0,-0.1216440758040336,1.4206683026666669
Muconate:CJ522_fructose_glucose_gluconate:2.0,-0.4730978079713916,1.3913139076666663
Muconate:CJ522_fructose_glucose_gluconate:3.0,0.1291642282765598,1.4305837486666677
Muconate:CJ522_glucose_gluconate:1.0,2.4469346505792906,1.731509403666668
Muconate:CJ522_glucose_gluconate:2.0,2.7821856716063333,1.7554774916666664
Muconate:CJ522_glucose_gluconate:3.0,2.575822523735712,1.436237238666668
Muconate:CJ522_gluconate:1.0,2.932343951154302,1.6924884096666668
Muconate:CJ522_gluconate:2.0,3.042861450200502,2.000180428666668
Muconate:CJ522_gluconate:3.0,3.535279727392084,1.865507488666668
Muconate:CJ522_glucose:1.0,-12.429498436496717,0.0684179746666675
Muconate:CJ522_glucose:2.0,-13.312792540245054,-0.3260986133333325
Muconate:CJ522_glucose:3.0,-12.35817864869645,-0.0485771253333329
Muconate:GB032_fructose:1.0,-12.157404579996305,-0.3108836963333328
Muconate:GB032_fructose:2.0,-13.360894629000304,-0.2514597023333325
Muconate:GB032_fructose:3.0,-13.085583373145896,-0.4034515413333324
Muconate:GB032_fructose_glucose:1.0,-15.343440924387412,-0.9011701683333326
Muconate:GB032_fructose_glucose:2.0,-14.893174127019488,-1.3565943863333327
Muconate:GB032_fructose_glucose:3.0,-14.69889306857178,-1.3463826403333323
Muconate:GB032_fructose_glucose_gluconate:1.0,-0.902650725045512,1.193980631666668
Muconate:GB032_fructose_glucose_gluconate:2.0,0.0241863081593628,1.398552601666668
Muconate:GB032_fructose_glucose_gluconate:3.0,-0.9686072579183006,0.9840831906666674
Muconate:GB032_glucose_gluconate:1.0,4.813110081929349,1.8765792706666664
Muconate:GB032_glucose_gluconate:2.0,1.3272419762888794,1.8371499806666671
Muconate:GB032_glucose_gluconate:3.0,2.977246322794496,1.757988057666668
Muconate:GB032_gluconate:1.0,4.059092511137105,1.792003215666667
Muconate:GB032_gluconate:2.0,3.286213366796761,1.660836114666668
Muconate:GB032_gluconate:3.0,3.535919080289611,2.020650128666668
Muconate:GB032_glucose:1.0,-11.553328613675614,0.1564572056666673
Muconate:GB032_glucose:2.0,-10.292305787199837,-0.223272526333333
Muconate:GB032_glucose:3.0,-12.138495743457655,-0.0043821073333329
Muconate:GB045_fructose:1.0,-12.410258534685015,0.1499212886666674
Muconate:GB045_fructose:2.0,-12.845830279382874,0.1239000566666677
Muconate:GB045_fructose:3.0,-12.422484492929584,0.4416581456666675
Muconate:GB045_fructose_glucose:1.0,-16.629347947579426,-1.6712934143333324
Muconate:GB045_fructose_glucose:2.0,-15.91837319970617,-1.1819148953333327
Muconate:GB045_fructose_glucose_gluconate:1.0,-0.0615418873644542,1.3229497786666675
Muconate:GB045_fructose_glucose_gluconate:2.0,0.1114540888639717,1.3365557656666676
Muconate:GB045_fructose_glucose_gluconate:3.0,-1.2245871512715696,1.2393839176666672
Muconate:GB045_glucose_gluconate:1.0,4.277138824913939,2.5141424856666665
Muconate:GB045_glucose_gluconate:2.0,3.617556216962994,2.534539053666667
Muconate:GB045_glucose_gluconate:3.0,2.5042593448205306,2.5004630956666665
Muconate:GB045_gluconate:1.0,1.8526452090581609,1.0373944096666676
Muconate:GB045_gluconate:2.0,1.2103115583909003,1.137723254666667
Muconate:GB045_gluconate:3.0,1.4971577449287456,1.5737710736666672
Muconate:GB045_glucose:1.0,-12.458181050732277,-0.6450166883333326
Muconate:GB045_glucose:2.0,-12.271793472332275,-0.5913493473333329
Muconate:GB045_glucose:3.0,-12.016346959970992,-0.8067696863333325
Muconate:GB062_fructose:1.0,-13.10212518699886,-0.5405800363333331
Muconate:GB062_fructose:2.0,-14.40484333807379,-0.7272907063333331
Muconate:GB062_fructose:3.0,-14.10802537758975,-0.1997883373333326
Muconate:GB062_fructose_glucose:1.0,-15.573418428474367,-1.4682218063333323
Muconate:GB062_fructose_glucose:2.0,-15.016151257464374,-2.069277611333333
Muconate:GB062_fructose_glucose:3.0,-16.36526336807542,-2.0680294933333325
Muconate:GB062_fructose_glucose_gluconate:1.0,-2.0746371323076,1.2116112366666671
Muconate:GB062_fructose_glucose_gluconate:2.0,-0.7781176723831412,1.1503054316666672
Muconate:GB062_fructose_glucose_gluconate:3.0,-1.2148290693501342,1.4174809306666676
Muconate:GB062_glucose_gluconate:1.0,2.7203861253301564,1.8356151506666665
Muconate:GB062_glucose_gluconate:2.0,2.511657861826914,1.9058434966666669
Muconate:GB062_glucose_gluconate:3.0,3.04070492129092,1.7203093786666672
Muconate:GB062_gluconate:1.0,2.7210625664001777,1.2848623306666669
Muconate:GB062_gluconate:2.0,4.99578305645592,2.0124982446666677
Muconate:GB062_gluconate:3.0,2.518818265459007,1.743543048666667
Muconate:GB062_glucose:1.0,-14.92719996641974,-0.9866996943333328
Muconate:GB062_glucose:2.0,-15.01299528398367,-1.006313129333333
Muconate:GB062_glucose:3.0,-14.8079385772393,-0.825705198333333
Muconate:KT2440_fructose:1.0,-13.36527147478069,-0.2976157093333329
Muconate:KT2440_fructose:2.0,-12.326281412185413,-0.7087246233333326
Muconate:KT2440_fructose:3.0,-13.398596121075952,-0.4327000833333327
Muconate:KT2440_fructose_glucose:1.0,3.868771547914021,0.7575404946666673
Muconate:KT2440_fructose_glucose:2.0,4.177847195518092,0.645447993666667
Muconate:KT2440_fructose_glucose:3.0,1.8218493479771605,0.5738134056666668
Muconate:KT2440_fructose_glucose_gluconate:1.0,3.471477956566854,1.0267883476666675
Muconate:KT2440_fructose_glucose_gluconate:2.0,2.791893326184079,0.8841143036666672
Muconate:KT2440_fructose_glucose_gluconate:3.0,4.7536300348996905,1.3429279316666678
Muconate:KT2440_glucose_gluconate:1.0,4.214627294529482,0.7402891636666675
Muconate:KT2440_glucose_gluconate:2.0,2.78408826398902,0.9931601546666676
Muconate:KT2440_glucose_gluconate:3.0,4.360118846081656,1.2675021906666677
Muconate:KT2440_gluconate:1.0,1.347881819085651,0.4044976676666669
Muconate:KT2440_gluconate:2.0,2.377970933744231,0.1261110076666671
Muconate:KT2440_gluconate:3.0,-0.4644682847442316,0.1050221906666672
Muconate:KT2440_glucose:1.0,0.510910701586962,-0.0303115663333324
Muconate:KT2440_glucose:2.0,-0.2078967497753267,-0.0697888183333326
Muconate:KT2440_glucose:3.0,-0.3030139528473298,0.1001003846666677
Multistress:Control:1.0,0.2380002084015246,-0.1432942163333335
Multistress:Control:2.0,-0.7732902108299794,-0.0282378283333333
Multistress:Control:3.0,0.5352900026069669,0.1715320446666668
Multistress:NaCl_7min:1.0,-2.87961385679461,-0.9452146223333332
Multistress:NaCl_60min:1.0,-5.545736698973228,-1.059011620333333
Multistress:NaCl_7min:2.0,-2.082534279968165,-1.0266042583333332
Multistress:NaCl_60min:2.0,-5.624580695886184,-1.1332185063333329
Multistress:NaCl_7min:3.0,-1.0427054579652248,-0.6860867613333328
Multistress:NaCl_60min:3.0,-5.509382267976048,-1.6090768383333334
Multistress:Imipenem_7min:1.0,-1.1119243156050778,-0.0254677633333333
Multistress:Imipenem_60min:1.0,-0.5906883203122801,-1.4287728693333328
Multistress:Imipenem_7min:2.0,-1.735474397568391,-1.395621963333333
Multistress:Imipenem_60min:2.0,-2.428970169747221,-1.1194819063333332
Multistress:Imipenem_7min:3.0,-1.8360092577501173,-1.1375106593333335
Multistress:Imipenem_60min:3.0,-1.8855127479558595,-0.0732629313333328
Multistress:H2O2_7min:1.0,-2.0512929504782846,2.3256262376666665
Multistress:H2O2_60min:1.0,-1.4094032387098516,0.510857317666666
Multistress:H2O2_7min:2.0,-3.23403318943918,0.9034989426666672
Multistress:H2O2_60min:2.0,-1.6183689122566234,0.8112486056666661
Multistress:H2O2_7min:3.0,-1.5388405895796609,1.7637660366666663
Multistress:H2O2_60min:3.0,-0.9973059336631525,1.8498705686666668
Myristic_acid:Control:1.0,-0.7741263381806727,-0.4502171836666662
Myristic_acid:Control:2.0,-0.0433853587835948,-0.1760273906666665
Myristic_acid:Control:3.0,0.8175116986128778,0.6262445743333336
Myristic_acid:Myristic_acid:1.0,-23.579140909310976,-3.064976212666666
Myristic_acid:Myristic_acid:2.0,-23.49661765009396,-3.055695303666666
Myristic_acid:Myristic_acid:3.0,-22.87278219803341,-2.4385310926666657
Phase:WT_Tr:1.0,5.570120986361187,2.043177526500001
Phase:WT_Tr:2.0,5.281826173875848,2.1168597815000005
Phase:WT_Ex:1.0,-0.176177266173325,0.0844441255000001
Phase:WT_Ex:2.0,0.1761772660789851,-0.0844441254999992
Phase:WT_Tr:3.0,3.064512368559499,1.5924172834999997
Phase:WT_Tr:4.0,5.241684708223671,2.1590949265
Phase:WT_St:1.0,-3.332832578264231,1.0332078365000008
Phase:WT_St:2.0,-2.676538491601012,0.1701306965000002
RelA:Control:1.0,0.0286955883673811,0.2329241976666667
RelA:Control:2.0,0.0231583583264256,-0.0229678863333333
RelA:Control:3.0,-0.0518539451227413,-0.2099563113333333
RelA:Del_relA:1.0,2.9673633508082364,1.4937357596666674
RelA:Del_relA:2.0,2.485068944836026,1.2429566136666672
RelA:Del_relA:3.0,3.905395424514579,1.5903228266666671
RelA:Del_relA_lignin:1.0,0.3699618403990333,0.8483191376666666
RelA:Del_relA_lignin:2.0,0.4323154673631167,0.8494065096666672
RelA:Del_relA_lignin:3.0,-0.1744751464872409,0.6803569206666671
Zn:Zn_ion:1.0,1.9151003479967,0.8606449750000014
Zn:Zn_ion:2.0,1.9743891218504173,0.8645106260000013
Zn:Zn_ion:3.0,2.5436198965742944,0.8124161060000006
Zn:Control:1.0,-0.0629417141109334,0.0321453540000007
Zn:Control:2.0,0.1139374405331994,-0.0362292649999993
Zn:Control:3.0,-0.0509957258431387,0.0040839110000003
ZnO:Control:1.0,-1.8643468957805145,-0.3631930059999995
ZnO:Control:2.0,1.864346896358616,0.3631930060000012
ZnO:Nano:1.0,-2.336980597546684,-0.4783417119999988
ZnO:Nano:2.0,-2.195466151613921,-0.4904274579999992
ZnO:Nano:3.0,-0.9535828385874624,-0.2009761719999989
ZnO:Zn_ion:1.0,-2.845249390947667,-0.4183872309999987
ZnO:Zn_ion:2.0,-3.128975127942685,-0.524187285
ZnO:Zn_ion:3.0,0.2014568047029466,0.1168491679999998
