,A,MalR
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,0.748686089,-0.0857875953
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,4.0329688881,0.0619250921
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,4.1990735219,0.0563080059
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,4.525378804,0.2238235875
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,3.5528232087,0.2708555883
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-0.8077393979,0.1827941135
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-0.8848108154000001,0.21191026340000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,-0.35613503220000003,0.32649468530000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,-0.3392277275,0.1506695723
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,-0.1238629532,0.039881891600000004
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,6.4862622984,0.8366837937
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,6.5394779793,0.9319724167000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,6.5896160494,0.8898555037
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-0.8633514493000001,0.21516896060000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,9.6120410191,0.0210476793
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-0.252988482,0.1116888083
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,9.5902982039,0.4672188687
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-0.1485711796,0.010591142100000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,10.6411141973,0.2460890863
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,0.19434151160000002,-0.4122797675
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,1.2386032593,0.349991239
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,0.1360352027,0.0449250173
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,0.29875688710000003,0.41998149020000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,0.48884899860000003,-0.1496913989
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-0.0703952602,-0.7625518847
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.8771286222,0.0548593775
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-2.0220821893,0.0131720927
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,1.1449535671,-0.0680314702
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-4.4636345758000004,-0.4148243502
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-4.3829196958,-0.6111519762000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-3.6457279119,-0.1840521262
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-4.0217183304,-0.2474706976
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-3.5350678872,-0.8647133586
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-2.289964428,-0.28640638560000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-3.4555914850000002,-0.7846771208000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-3.0214386787,-0.6624555925000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-3.5473661594,-0.6690126525
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,9.0927925268,-0.8347427764
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,9.8822048486,-0.8194687465
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,10.1431669953,-0.6700085604
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,9.2824685586,-0.884827295
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,7.0666016693,-0.7778116596
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,7.6575690908,-1.1702870618
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,9.40480759,-0.37687455680000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,11.4792254791,-0.3371894882
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,9.0429076564,-0.21686780400000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,11.4641614252,-1.3627349742
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,10.0891922204,-0.8181886319
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,10.5245626155,-1.3844370971
