,A,FecI,PdhR,HypT,Nac,Crp,Fur
oxidative__delsoxr_pq__2,1.6430380632067747,2.330260425999999,-0.7625320840000009,-1.1623394309999997,-1.948205151,0.3870598730000001,-0.471555094000001
oxidative__delsoxs_pq__1,0.936416767248346,2.291982436,-0.8738887340000003,-0.964214963,-1.627599484,0.5134629630000003,-0.492841931000001
oxidative__delsoxs_pq__2,0.446374281189033,2.165663233,-0.975521455,-1.2388298549999996,-1.2686930530000002,0.5104807529999995,-0.5371611600000019
nac_ntrc__wt_csn__1,-0.0409734424941926,-0.2257062930000009,-0.034281074999999994,-0.3099390340000001,7.520987127000001,-0.0727968299999997,0.3531389039999997
nac_ntrc__wt_csn__2,0.1748850876803883,0.17798468199999906,-0.10774283900000103,-0.3068826659999999,7.504085217,-0.09324395099999984,0.2175931039999988
nac_ntrc__wt_cytd__1,-0.0236770622290096,0.2603393659999993,-0.10149343200000073,-0.2577849619999997,7.005102877000001,-0.043119613,0.34649922399999866
nac_ntrc__wt_cytd__2,-0.2984480744516025,0.30454728699999833,-0.32041271200000043,-0.2851775829999994,7.055380746999999,-0.07348926000000056,0.34524395399999896
nac_ntrc__wt_gln__1,-1.421554158642754,-0.9817062260000008,0.2862597509999993,-0.12362536299999947,7.640281806999999,0.16383650300000066,-0.10786336500000182
nac_ntrc__wt_gln__2,-0.5742836467831567,-1.061807972000001,0.1510751809999995,-0.14233815299999986,7.552225147000001,0.11651884599999995,-0.19360292800000067
nac_ntrc__bw_delnac_csn__1,1.3958038686986114,0.3404845389999993,-0.4253677680000001,-0.5139951949999997,-4.725505623,0.16921202300000004,0.1898647839999992
nac_ntrc__bw_delnac_csn__2,3.700395299213904,0.8935634450000007,-0.20802858600000015,-0.6474618589999999,-4.725505623,0.03216219000000109,0.3111435139999994
nac_ntrc__bw_delnac_cytd__1,0.4066524775545958,-0.3629621380000003,-0.3279323640000005,-0.8767138600000006,-4.5702274869999995,0.2936758630000007,-0.028041380000001226
nac_ntrc__bw_delnac_cytd__2,0.2021042090335073,-0.4409534460000009,-0.33122187100000033,-0.9652249700000004,-4.725505623,0.2286386530000009,-0.16544115900000025
nac_ntrc__bw_delnac_gln__1,1.2317442223730226,0.3148625939999992,-0.040888054999999916,-0.884033187,-4.725505623,0.5051051429999998,-0.3585067980000005
nac_ntrc__bw_delnac_gln__2,1.659968454166872,0.3758214939999993,0.07605180000000011,-0.5497361859999996,-4.0256203589999995,0.563775123000001,-0.23765852300000034
nac_ntrc__bw_delnac_nh4__1,0.0087144779306001,-0.3441521630000004,-0.11536692700000015,-0.7620264150000002,-4.725505623,0.3391651030000009,-0.4802883460000018
nac_ntrc__bw_delnac_nh4__2,0.5414310230029976,-0.416989913000001,-0.1312673980000003,-1.179164139,-4.725505623,0.3602350630000011,-0.4589034900000009
misc__wt_no_te__1,3.294081958722679,2.447852790999999,-0.7246964780000003,-0.9126935550000006,-1.39616496,0.3221691629999999,-0.3809469990000007
misc__wt_no_te__2,3.1757546923933115,2.458868205,-0.4011857610000007,-0.8619221270000006,-1.23681461,0.3159875930000009,-0.4244144910000003
misc__bw_delcbl__1,1.297982004943622,0.3953420329999977,-0.15397061999999995,-0.9472493340000004,-0.7578401820000003,0.30577407300000026,-0.4613713430000015
misc__bw_delcbl__2,1.3485696386117692,0.5243911379999977,-0.10501630200000013,-0.6923255839999998,-0.5660527709999998,0.3225694130000001,-0.4243600530000009
misc__bw_delfabr__1,0.2061485840191097,-0.5228517970000004,-0.004561769000000382,-0.980730639,-0.9718758310000002,0.1944652930000004,-0.5693764170000009
misc__bw_delfabr__2,0.3750098857078883,-0.5014012520000009,-0.045542940999999885,-1.3372153709999999,-0.7947751559999999,0.13385438500000113,-0.6130827070000002
misc__bw_delfadr__1,1.745217631163668,1.1834075269999982,-0.08539151499999953,-0.6564786720000004,-1.680478966,0.325118883,-0.4484904870000008
misc__bw_delfadr__2,1.9025333099506057,1.283514489,-0.2276107220000005,-0.8296009919999996,-1.264995389,0.3434663330000003,-0.4407528980000013
misc__nitr_031__1,0.3283814088960109,0.182788521,-0.2505834280000005,-0.7656622449999997,6.552016787,0.2155988630000003,-0.5032798200000013
omics__wt_glu__1,-0.1492931064418979,-1.220165939,0.06452674599999852,0.1448556830000003,-0.8991021470000002,0.3481259330000004,-0.6301335670000014
omics__wt_glu__2,-0.7892990662546476,-1.5786422390000006,0.18223065000000105,0.15151210199999987,-0.7923307610000001,0.31989882300000083,-0.5881912760000017
omics__wt_gly__1,-0.2322260121948094,-0.7034868280000008,0.10351242299999974,-0.3061155229999999,2.5423363780000003,0.3121818130000005,-0.9042790750000016
omics__wt_gly__2,-0.1534128519912511,-0.8635658010000009,-0.0687614450000007,-0.460349065,2.498725851,0.3489800729999999,-0.9186470580000012
omics__wt_thr__1,1.1731134284229618,-1.8407800120000009,-0.9391882020000004,0.4521394909999996,1.3115100649999991,0.8835606830000007,-0.5030991400000016
omics__wt_thr__2,1.303981649213922,-1.5193264910000008,-1.4578242349999997,0.6062199990000003,1.5566133540000004,1.127551423,-0.6095045740000007
omics__bw_ac__1,-0.6768525499750639,-0.4681665090000005,-0.3880060590000012,-0.16645048699999965,-2.000452962,0.4643589929999994,-0.05943304700000063
omics__bw_ac__2,-0.5769866585320931,-0.2847521290000001,-0.3924213960000005,-0.3522673100000002,-1.525135401,0.4618822229999999,-0.031227748000000943
omics__bw_fum__1,-0.0619158399888886,-0.5769864460000012,0.3197742049999999,-0.6606909480000001,-1.824287104,0.446647853,-0.005709301000001332
omics__bw_fum__2,0.6423035732906527,-0.5949140749999993,0.4223820450000009,-0.5856023109999997,-1.9698050319999998,0.4952586530000005,0.06492178399999915
omics__bw_glc__1,0.9761464143233244,-0.07535825300000099,0.06279255799999994,-0.7879236579999995,-0.5067959450000004,0.31995135300000044,-0.011917744000001562
omics__bw_glc__2,1.294451581096319,0.029376451999998388,-0.02104304700000004,-0.7410272659999997,-0.4377561990000007,0.3609335930000004,0.042641121999999136
omics__bw_pyr__1,2.023316511980993,-0.42248438400000055,1.970705955,-0.26075669999999995,-1.7601444369999997,0.8061810030000007,-0.1897242670000008
omics__bw_pyr__2,0.5390355555546347,-0.5960190540000001,1.9360453040000003,-0.043957951999999516,-1.31210616,0.7644674929999997,-0.11746483300000145
ompr__wt_nacl__1,1.1899814080003668,1.5871968609999991,-0.20123561400000067,-1.7262328219999998,-1.4928138299999998,-0.6865814769999989,-0.4003038250000017
ompr__wt_nacl__2,1.8165007544852172,1.7312793929999994,-0.13928798500000014,-1.7931432580000002,-1.181235928,-0.620927,-0.5040656860000006
ompr__bw_delompr_nacl__1,0.9043230663550595,-0.2593969360000008,-0.5177954050000002,-1.873689178,-1.5956915830000002,-1.0462482019999992,-0.6329631790000008
ompr__bw_delompr_nacl__2,1.4573392731614956,-0.005216186000001065,-0.39214284200000016,-2.115011157,-1.5304097740000002,-1.071490686999999,-0.5432963440000016
minspan__wt_ade__1,-2.9396032133032777,-1.3522672610000006,-0.0905795180000002,-0.691029221,-0.956261935,-0.09169608400000052,0.1950769639999983
minspan__wt_glc__2,-2.401120488993864,-1.7514597290000005,-0.10334521900000038,-1.1149020619999996,-1.083873052,-0.17147671399999884,-0.5062775780000006
minspan__wt_glc__3,-2.799938962232574,-1.5132533910000008,-0.2575433740000017,-0.7963427829999999,-0.9017149630000004,-0.2165117989999992,-0.4478649260000012
minspan__wt_glc__4,-1.7740496535230783,-1.3871250330000011,-0.3706378560000001,-0.6165936850000007,-1.2417775470000003,-0.23779414300000035,-0.4159522540000005
minspan__wt_glc_anaero__1,-1.2096780510485792,-3.2725499410000007,-1.4462178200000002,0.25339519300000024,-2.095165457,0.09730802400000016,-0.8732856050000013
minspan__wt_glc_anaero__2,-0.0972982946018117,-3.3812545520000006,-1.1570338060000005,0.4549922539999995,-1.911124331,0.0007891440000005191,-1.1573574430000022
minspan__wt_trp__1,-3.915817565206475,-4.093445861000001,-2.865476355,-0.6795568609999999,-0.084408861,0.379309933,-0.8682358340000018
minspan__bw_delcra_glc__2,-2.7522274003876803,-3.8522842570000018,-2.9433340470000005,-0.52965792,-0.3597729110000003,0.2077464830000011,-0.918542673000001
minspan__bw_delcra_trp__1,-3.737932843375382,-3.8853092990000007,-3.076467355,-0.28544134399999965,0.575442271,0.245706203000001,-1.0050222800000004
minspan__bw_delmntr__1,-0.7486087852340877,-3.606658775000001,-1.7770054540000009,-0.6740051290000002,0.048987218999999804,0.3950805430000006,-0.6837856210000021
minspan__bw_delnac_ade__1,-3.23161587936872,-0.17046502200000102,-0.5590759340000009,-1.0727395690000003,-4.725505623,0.005806081999999435,-0.10771740100000038
minspan__bw_delnac_glc__1,-2.971489854200428,-2.538212840000001,0.6215893240000003,-0.8608182190000004,-4.430515828,0.19238992300000035,-0.4676162420000018
cra_crp__wt_ac__1,0.7776918392153269,0.3735729949999991,-0.5257028540000004,0.08401560600000035,-1.6374726750000002,0.7848307329999997,-0.4184685140000006
cra_crp__wt_ac__2,0.9148454188464332,0.6550170059999996,-0.5380834340000007,-0.00787989999999983,-1.3526600930000001,0.774460393,-0.4837280460000013
cra_crp__wt_fru__1,-0.5066760636273004,-0.5600884230000016,-0.11232684500000012,-0.2039622349999997,-1.3747324399999998,0.3134937529999995,-0.5927702050000008
cra_crp__wt_fru__2,-0.8614986772851582,-0.6238701290000002,-0.0981723299999997,-0.11455022500000035,-1.1746008210000003,0.3732440629999996,-0.5684782950000002
cra_crp__delcra_ac__1,3.196906801998336,2.510103106999999,-1.0068610199999997,-0.6682998490000003,-1.6384419959999998,0.20535391299999967,-0.24041298600000086
cra_crp__delcra_ac__2,2.7657386058571785,2.652395387999998,-0.999141066,-0.6958492769999998,-1.96445885,0.15922527300000056,-0.24856326700000156
cra_crp__delcra_fru__1,2.6063686763220697,1.917287416999999,0.26038368599999906,-0.7495888170000002,-0.9699533260000002,0.12650519299999985,-0.4804104860000002
cra_crp__delcra_fru__2,2.8805839812628555,2.080063577999999,0.19256485500000053,-1.0258589650000003,-1.0780827420000003,0.1631474930000003,-0.45491749600000203
cra_crp__delcra_glc__1,0.7562012988794734,0.02764655100000013,-0.10144881600000044,-0.920352747,-1.0685590109999998,0.046791002000000866,-0.5044518310000008
cra_crp__delcra_glc__2,0.4965217575184685,-0.01825518900000045,-0.14134914700000056,-0.7762687929999998,-1.005362379,-0.014761103999999747,-0.5782221740000004
rpoB__wt_031__1,-2.1696076835669347,-1.2508510750000008,-1.0179227430000006,-0.9059368120000002,4.863024771999999,0.271760703,-0.0639623620000016
rpoB__wt_044__1,-0.9778906328228214,-0.6095295760000008,-0.3089656330000006,-1.099469331,5.019825410999999,0.2048586730000004,-0.4813517700000016
rpoB__wt_lb__1,9.362698582210752,-1.460300804,-1.7509555399999996,-0.968828523,-2.23039253,0.2472729529999995,-0.4097031700000002
rpoB__wt_lb__2,8.781989195506247,-1.274850198000001,-1.7747195649999998,-1.063969491,-2.187601614,0.2041545229999997,-0.4397556490000003
rpoB__rpoBE546V_031__1,-0.9023806338984204,-1.177011826000001,-0.8199488580000011,-1.2114748889999998,6.050529496999999,0.4571714629999999,-0.02818371500000083
rpoB__rpoBE546V_044__1,-1.267640598379173,-0.5023600090000002,-0.4289029110000007,-0.961791355,5.9914303470000005,0.37625628299999997,-0.1231944390000006
rpoB__rpoBE546V_lb__1,7.410298244397893,-1.316879272000001,-0.6087523020000001,-0.8110882549999996,-2.644579213,0.1174804819999995,-0.354521452000002
rpoB__rpoBE546V_lb__2,7.679254142184109,-1.165726964,-0.5126631899999996,-1.096358231,-2.5774129400000003,0.1254229630000001,-0.3362111970000008
rpoB__rpoBE546V_glc__1,0.0052059964152562,-0.026163329999999263,0.026276331999998348,-0.6348803529999998,-0.017047329999999583,-0.004082425000000001,-0.3201136900000012
rpoB__rpoBE672K_glc__1,-1.6099847931820006,-0.4601001440000001,0.022425781999998232,-1.682291917,-0.1628037710000001,-0.6662891799999997,-0.3851041260000017
rpoB__rpoBE672K_glc__2,-2.2293515543163167,-0.4851615230000004,0.2128557109999996,-1.2407535920000001,-0.06283523400000046,-0.5708984560000001,-0.29302495700000186
rpoB__rpoBE672K_lb__1,-0.4790625176979908,-1.9930169770000008,0.3199547359999997,-1.308353073,-4.273104867,-0.2288451829999989,-0.5939588210000011
rpoB__rpoBE672K_lb__2,-0.0227592377562742,-1.888380476000001,0.3896581459999986,-1.2314322320000004,-3.294696074,-0.18410035800000024,-0.6341407580000009
crp__wt_fru__1,-1.2477917417669768,-0.4881972890000004,-0.03270113999999946,-0.6979689210000002,-1.419126774,-0.13483747499999946,-0.2600379380000017
crp__wt_glyc__1,-1.1702783902733624,-1.1077521590000003,-0.5084280800000007,-0.8700322429999998,-2.3313759419999998,-0.06971342199999953,-0.3221976040000012
crp__wt_glyc__2,-1.3747667455039885,-0.9314725650000008,-0.4055949720000003,-0.7270749539999999,-1.835190648,0.000271048000000107,-0.2873658260000003
crp__delar1_glyc__1,-0.0160654371583007,0.5930161909999994,-3.127014431,-0.6397379470000004,-1.111878346,0.7684826630000003,-0.4691205860000007
crp__delar1_glyc__2,0.0533839877473881,0.7117274779999994,-3.843688859,-0.7252811890000004,-0.8678945680000001,0.9809746629999996,-0.3487315320000004
crp__delar1ar2_glyc__1,-0.2522156619266379,-0.7629673360000009,-1.016586504000001,-0.8033698869999997,-2.018645712,0.2916550830000002,-0.1273671140000019
crp__delar1ar2_glyc__2,-0.7357244565242734,-0.594564763000001,-0.8958302470000001,-0.8409838650000001,-2.08533772,0.2567226429999998,-0.20766186300000025
crp__delar1ar2_glyc__3,-0.8133094682657257,-0.3211928680000016,-0.8294770119999999,-0.6777207939999998,-2.057777957,0.37124749300000026,-0.21472747900000044
crp__delar2_glyc__1,-1.6928872569521467,-1.7359435900000006,-3.9582264289999998,-1.2198727260000002,-1.25134123,1.4298253029999994,-0.40980044600000204
crp__delar2_glyc__2,-1.0478921533381953,-2.0597005850000007,-4.2319942710000005,-0.9834894340000001,-1.502031525,1.3004454830000007,-0.3176280980000019
crp__delar2_glyc__3,-0.7173594048490028,-2.1373735530000006,-4.543291553,-0.8688194290000002,-1.4152992760000005,1.2369035230000005,-0.2172634550000012
crp__delcrp_fru__1,0.0212372399892131,0.14432765199999853,-0.7368862520000006,-0.5493007709999995,-1.214525928,-9.852476477,-0.3561060850000004
crp__delcrp_fru__2,-0.4380015931485614,-0.1241169330000016,-0.8634833870000005,-1.3719878259999998,-1.7707292640000003,-9.107951936000001,-0.41211249100000025
crp__delcrp_fru__3,-0.0393872361433139,0.06315644999999925,-0.8450574620000006,-0.8016704709999996,-1.398485756,-9.852476477,-0.3683071580000004
crp__delcrp_glc__1,0.7538172947064524,0.2833525899999989,-0.8986597299999994,-0.6093527360000001,-1.7701991730000002,-9.025871704,-0.3107869630000017
crp__delcrp_glc__2,0.7272996523624796,0.2669691669999992,-0.92614951,-0.8361109100000004,-1.94036139,-9.566616581,-0.20313099300000026
crp__delcrp_glc__3,0.6517579124261601,0.2670011909999994,-0.8849083110000002,-0.4908245009999997,-1.5314177950000003,-9.852476477,-0.11371775700000165
crp__delcrp_glyc__1,2.0938558802895897,1.8093952189999989,-0.5202971160000001,-0.7023668589999996,-1.899223153,-9.852476477,-0.3108162630000013
crp__delcrp_glyc__2,2.024319826428103,1.6343768899999986,-0.5375744070000001,-0.7092946620000005,-2.037462752,-9.852476477,-0.2724169870000015
crp__delcrp_glyc__3,1.9831393512641315,1.6246162639999984,-0.510853515,-0.7476020029999999,-2.379560199,-9.852476477,-0.17298061400000184
glu__glu_ale3__1,0.1624814265681447,-1.017246011000001,-2.3121118330000003,-1.3976286119999999,-2.00322572,1.4385551630000002,-0.11348783900000114
glu__glu_ale4__1,1.057653147494929,-0.20226756400000045,0.6054965330000002,-1.0000693079999996,-2.776772561,0.1237046330000009,-0.4042317080000011
glu__glu_ale5__1,0.2555044668693578,-0.2632192610000006,0.4765344659999986,-0.7135455500000001,-1.8220111419999998,0.23737495299999975,-0.5413718180000018
glu__glu_ale6__1,-0.0456530311806079,-1.9646879020000012,0.3130892620000001,-1.441982521,-1.691231525,-0.2669721739999993,-0.5107351970000007
glu__glu_ale8__1,0.5675749007113876,-1.0692664670000012,-2.388974876,-1.421496628,-2.1928749350000003,1.5517659029999995,-0.17424917300000153
glu__glu_ale9__1,-0.2123888572830152,-0.7167399710000009,-1.391385412,-0.935818653,-2.229247024,0.736260553000001,-0.4486836690000011
glu__glu_ale10__1,0.2043166221845692,-1.8052679340000009,-2.3807539870000003,-1.6673284659999998,-1.7786922680000001,1.2484999630000004,-0.3418371710000017
42c__wt_42c__1,0.6705846373003729,-0.1828155400000009,0.5160822419999995,-0.6991508199999998,-1.627217185,-0.02289376299999901,-0.6408752710000005
42c__42c_ale1__1,2.2822071456134814,-2.5297849450000003,-2.0409211340000004,-0.9375377560000002,-1.9661183010000003,0.578078713,-0.33499931300000085
42c__42c_ale2__1,4.114852689115909,0.6307474819999985,-0.2365537890000011,-0.8111910609999997,-2.434200137,-0.001157444000000396,-0.7000506260000012
42c__42c_ale3__1,2.342529995776544,0.25651698299999914,0.5152024379999993,-0.3754777679999997,-1.388438963,-0.16365086199999898,-0.4270892910000015
42c__42c_ale4__1,2.8832370577684423,1.5003854579999985,-2.2803319349999995,-0.11996177600000026,-1.4455377319999998,0.18829674300000046,-0.4444651490000009
42c__42c_ale5__1,2.262509593655868,-0.1773697840000006,-0.012643003000001762,-0.1085919129999997,-2.218732645,-0.2550904079999992,-0.4817193690000003
42c__42c_ale6__1,4.744599761533137,-1.6515958090000007,-5.02955347,-0.9653414820000004,-2.336357608,0.5847098129999999,0.29714986399999965
42c__42c_ale8__1,2.8713978636675006,1.0239651029999992,-2.982538775,0.07362584000000005,-1.972562557,0.898060053,0.2008749839999986
42c__42c_ale9__1,2.9263016959070898,0.14041208799999882,0.31250095099999875,-0.2866637750000001,-1.634243945,0.2344509129999999,-0.5284417600000015
42c__42c_ale10__1,3.16613036239829,1.1179098799999991,-3.55566022,-0.36979065199999983,-1.891036626,0.5824345429999997,0.18875615399999826
ssw__wt_ac__1,2.092213803003253,1.3736009310000004,-1.6805779159999998,-0.7866136020000001,-1.611062371,0.155824183,-0.3096302940000015
ssw__wt_glc__1,-0.7298890704867884,-0.2990010080000012,-0.7518898969999999,-0.5263474610000003,-1.4404867760000002,0.08995910700000033,-0.2624254890000017
ssw__wt_glyc__1,-1.8108192878542149,-2.306027858,-0.042397767000000634,-0.5896756989999998,-0.8652279559999999,0.2646295629999997,-0.3403528810000012
ssw__wt_xyl__1,0.152994491831033,-0.4799824910000003,-1.2079306790000004,-1.1659706729999997,-1.020020557,0.6151089029999994,0.022620156999998642
ssw__glc_ale1__1,-1.4077618845534483,-2.9001072999999997,0.13021602699999946,-0.7463348470000001,-1.550488041,0.31199771300000023,-0.3340131470000003
ssw__glc_ale2__1,-1.5237223191768805,-3.8023784020000018,-2.0256911099999995,-1.1234618159999998,-1.301002387,0.5353218630000001,-0.30422876200000104
ssw__glc_ale3__1,-0.5524622850399927,-3.1637352680000013,-1.839762985,-0.7824582190000005,-0.15318652499999974,0.4454840030000007,-0.0692634810000019
ssw__glyc_ale1__1,-0.2342802337835608,-2.8401231860000005,0.5207037289999992,-0.553907004,-1.61000612,0.2988789030000003,-0.5008326610000005
ssw__glyc_ale2__1,-0.4230664588450514,-3.5314751480000006,-2.4840538390000004,-0.3643158409999998,-0.21536180699999985,0.3021156230000006,-0.24338409100000116
ssw__xyl_ale1__1,0.5152478416682654,-1.6558122100000006,0.48066751,-0.5158766789999998,-1.057384247,-0.2147884219999998,-0.042690987000000284
ssw__xyl_ale2__1,-0.5195092754721242,-0.5052823280000016,0.8242152649999994,-0.2810517350000001,-1.3706280790000005,0.026451148999999674,-0.17597428600000065
ssw__xyl_ale3__1,0.26818082606223,-0.5487937189999998,0.3642116790000003,-0.17888644900000014,-0.4241108349999996,-0.3138359289999997,-0.4573886220000016
ssw__glc_ac_ac2__1,-2.371674654756483,-4.025676130000001,-3.5583447670000004,-1.0703133090000003,0.03647866599999983,0.5069351229999999,-0.4626166230000006
ssw__glc_ac_glc1__1,1.5598272184967146,0.7844389309999995,0.5951552489999994,-0.3388885129999997,-1.197447021,-0.42053636400000016,-0.09846648200000097
ssw__glc_glyc_glc__1,-1.492503204723883,-1.359770031000001,-1.0716321770000017,-1.2193351689999998,-1.447102569,0.565682133000001,-0.35146302500000104
ssw__glc_glyc_glyc__1,-1.057584128401171,-0.8359810910000007,-0.8887876710000002,-1.3147030639999997,-2.3477333259999997,0.3070424930000009,-0.3656542290000005
ssw__glc_xyl_glc__1,-2.3211278661948938,-2.8298647440000018,-0.4590667190000017,-1.5145692830000002,-2.0891365420000003,0.029020071999999782,-0.30815267100000204
ssw__glc_xyl_xyl__1,-0.9663035743875296,0.31589384399999965,-0.2621341380000004,-0.6771901279999994,-2.203921866,-0.2438474470000003,-0.28301838800000034
ica__wt_glc__1,-1.4322060934056302,-1.6424049280000004,-0.7497492180000007,-1.2649124900000004,-0.9555554380000002,-0.02120516499999958,-0.3306742320000016
ica__wt_glc__2,-1.5716854314216906,-1.8136703360000004,-0.7010893140000016,-1.2813493100000004,-0.8959232159999999,-0.013075077999999962,-0.3322414250000012
ica__wt_glc__3,0.5271110849242332,0.5834409399999991,-0.7683983149999998,-1.1387360410000005,-2.363106781,0.0930502690000008,-0.13704924400000176
ica__wt_glc__4,-0.7334895283899221,-0.18900367000000085,-0.945637929000001,-1.3202332339999998,-2.299437015,0.399858493,0.07660196599999836
ica__arg_sbt__1,-0.8065057809082845,-1.5325336550000008,-0.5309037410000004,-1.259365732,-2.018927597,0.17296083299999945,-0.6773337140000013
ica__arg_sbt__2,-1.354129972670698,-1.5767364810000009,-0.27651932600000073,-1.5590292210000003,-2.280914596,0.4931735029999995,-0.27612399900000106
ica__cytd_rib__1,-2.185259422524925,-2.9185704649999997,-1.810975086,-1.828098301,-1.7286624330000002,0.5032386530000004,0.2718296139999996
ica__cytd_rib__2,-1.8771489801078656,-2.8859800420000017,-1.892201043000001,-1.676947019,-1.395007403,0.4864851229999996,0.2783930339999987
ica__gth__1,-0.444374062705366,-0.11802280800000098,0.6719244069999988,-1.94892378,-1.4200168030000002,-0.3447319570000005,0.22579956399999898
ica__gth__2,0.4230712235424306,-0.09819773900000063,0.4217121479999992,-2.153444743,-1.5130612710000002,-0.5509396859999995,0.5254030839999988
ica__leu_glcr__1,-1.02105624484486,-1.818658205,0.9967433109999996,-1.2437352920000002,-2.194850953,1.0260792930000004,0.2473581939999985
ica__leu_glcr__2,-1.060832839755267,-1.3620401820000003,0.951290106,-1.1991124119999998,-2.5542239319999998,0.964590953,0.2426920339999992
ica__met_glc__1,-1.5063026508089938,-1.8632615510000008,-0.8382596470000001,-1.2734289179999996,-1.7982902260000002,-0.0020434050000002198,-0.2841502610000006
ica__met_glc__2,-2.087958011638937,-1.655206269000001,-0.9668830110000002,-1.5471138179999997,-1.820060655,-0.06998528999999998,-0.2961987560000008
ica__no3_anaero__1,0.6161893920617478,-0.013340787000000631,-1.0374774320000002,-0.7623053129999997,-1.06351416,0.16601552300000044,-0.20281510300000072
ica__no3_anaero__2,0.6984263064264796,0.19355365499999969,-0.985189899,-0.8351279750000007,-1.054864589,0.1659366630000001,-0.20778574200000044
ica__phe_acgam__1,-1.0682926742067491,-1.291480861000001,-0.35414071500000066,-1.1658293000000004,-2.4621680759999998,0.08710832000000046,-0.0775324150000003
ica__phe_acgam__2,-1.5019001557196932,-1.2615816580000017,-0.3163598200000006,-1.0909485280000002,-2.1913860780000003,0.07371453200000032,-0.07103735300000125
