,A,ResD,AbrB,Rok,SigA
BT_1,14.9282890035,1.2113666667,0.0385,-1.1047666667,0.5767333333
BT_2,14.986528613800001,0.6436666667000001,-0.7459,-1.5629666667,-0.0334666667
B36_1,12.1214185542,1.2915666667,0.7423000000000001,-1.4175666667,0.0932333333
B36_2,12.9833758947,0.8126666667,-0.0878,-1.3848666667,-0.2855666667
B60_1,8.105867305,0.8614666667,0.1355,-0.44776666670000004,-0.8806666667
B60_2,6.9633717546,0.3088666667,-0.1804,-0.34646666670000004,-1.4178666667
M9exp_1,0.7553303954,0.3080666667,0.3749,0.26683333330000003,0.4500333333
M9exp_2,0.4133730352,-0.1277333333,0.0682,-0.1183666667,0.0428333333
M9exp_3,-1.1687034306,-0.1803333333,-0.4431,-0.1484666667,-0.4928666667
M9tran_1,5.0833552975,1.1054666667,-0.6284000000000001,0.1907333333,-0.5197666667
M9tran_2,8.1484162459,1.3740666667,-0.9186000000000001,0.15253333330000002,-0.4929666667
M9tran_3,4.2111326952,0.24056666670000001,-0.46830000000000005,0.3290333333,-0.2826666667
M9stat_1,3.2467659308,-0.8492333333000001,-4.1317,0.0179333333,-2.3677666667
M9stat_2,1.583368015,-0.8862333333,-2.3035,-0.1488666667,-2.5926666667
M9stat_3,1.0804513338,-1.1242333333,-2.7038,-0.1391666667,-2.8581666667
M+G_1,5.2805579611,0.6536666667000001,-1.3026,-0.3398666667,-0.2651666667
M+G_2,2.7209915738,0.3860666667,-1.0842,-0.5757666667,-0.0698666667
M+G_3,2.2873016488999998,0.3574666667,-0.8692000000000001,-0.7751666667,0.0202333333
Glu_1,0.7874045113,0.29656666670000004,0.1255,0.1620333333,0.0385333333
Glu_2,1.9030261561000001,0.2737666667,-0.027100000000000003,-0.3527666667,0.1411333333
Glu_3,1.0990902878,0.3125666667,0.265,-0.0305666667,0.2310333333
Fru_1,-5.7518706787,0.5732666667,0.9306000000000001,-0.0135666667,0.5758333333
Fru_2,4.2198889027,0.6024666667,-0.2427,-0.0631666667,0.6035333333
Fru_3,1.3815359969,-0.2005333333,-0.4687,-0.6979666667000001,-0.3261666667
Mal_1,4.5387123552,0.8788666667,-0.8561000000000001,-1.0112666667,-0.033066666700000004
Mal_2,3.0720421281,0.8860666667,-0.679,-0.6910666667,0.1433333333
Mal_3,2.8698475676,1.3425666667,-0.6459,-0.6400666667,-0.0349666667
G+S_2,4.4423953791,0.3295666667,0.2281,-0.2574666667,0.4199333333
G+S_3,3.1449295184,0.7708666667,0.4106,-0.059466666700000004,0.1964333333
Pyr_1,4.1388277326,-0.3359333333,-1.2953999999999999,-0.2520666667,-1.0976666667
Pyr_2,5.5154469224,-0.0059333333,-0.5575,-0.3763666667,0.0542333333
Pyr_3,5.7209787737,0.11096666670000001,-1.0185,-0.2514666667,-0.4892666667
Gly_1,1.526568159,-0.3999333333,1.0144,-1.5026666667000002,-0.9769666667
Gly_2,2.1451212163,0.36266666670000003,1.2594,-0.8665666667,0.1869333333
Gly_3,2.5335100681,-1.3473333333,0.2099,-2.3195666667,-1.3730666667
Glucon_1,3.7903037339,-0.2011333333,-0.19940000000000002,-0.6262666667,-0.7808666667
Glucon_2,2.8066639736,0.0598666667,0.5993,-0.5039666667,-0.4182666667
Glucon_3,1.9890728122999999,-0.3563333333,-1.291,-1.2423666667,-1.2729666667
aero_1,-0.7816943189000001,0.0721666667,-1.2072,-0.0617666667,0.6217333333
aero_2,-0.8820687930000001,-0.8179333333000001,-2.4774000000000003,-0.6599666667,-0.4162666667
aero_3,-3.8507257703,0.6529666667,-1.1792,-0.1059666667,0.5514333333
nit_1,14.734016692,2.4044666667,-1.8241,-0.7575666667000001,0.053733333300000005
nit_2,16.5353233071,2.6375666667,-1.7459,-0.2307666667,0.0560333333
nit_3,14.799187175,2.3323666667,-1.8996,-0.6716666667,-0.2976666667
ferm_1,18.0420058188,2.2917666667,-2.2624,-0.13166666670000002,-0.1811666667
ferm_2,15.3740177618,2.4161666667,-1.9586000000000001,-0.4302666667,-0.0399666667
ferm_3,16.4308063902,2.6963666667,-1.7375,-0.0144666667,0.5924333333
T-5.40H_1,3.5137069208,0.49166666670000003,0.44220000000000004,0.3755333333,0.2856333333
T-4.40H_1,3.7301028442,0.2828666667,0.22760000000000002,0.14723333330000002,0.4948333333
T-3.40H_1,2.5340973327,0.0841666667,-0.6219,0.1740333333,0.2287333333
T-2.40H_1,2.8766612981,0.06976666670000001,-1.3127,0.0202333333,0.0729333333
T-1.40H_1,-0.114961007,0.00046666670000000004,-1.4637,-0.0146666667,0.0468333333
T-1.10H_1,-0.8395298796,0.3866666667,-1.2424,-0.019066666700000002,0.19213333330000001
T-0.40H_1,-1.7208592046,0.0952666667,-1.3366,0.08923333330000001,-0.30466666670000003
T0.0H_1,-0.8745195642,0.3140666667,-1.6728,0.0395333333,-0.3593666667
T0.30H_1,-4.4925795132,0.20956666670000001,-1.0435,-0.4035666667,-1.0119666667
T1.0H_1,-1.0148409143,-0.3103333333,-2.7283,-0.5179666667,-1.1535666667
T1.30H_1,-1.6554195007999999,-0.3185333333,-2.3774,-0.39686666670000004,-1.2814666667
T2.0H_1,-0.34185015950000003,-0.3099333333,-2.5376000000000003,-0.2672666667,-1.3330666667
T2.30H_1,1.1074399255,0.4192666667,-1.8049,0.5301333333,-0.7498666667
T3.0H_1,2.3375308303,-0.0420333333,-2.7273,0.1912333333,-1.1512666667
T3.30H_1,3.4850457311,0.24836666670000002,-2.9607,0.6486333333000001,-1.2810666667000001
T4.0H_1,3.9826225975,0.2265666667,-3.5535,0.6609333333,-1.7384666667
T5.0H_1,4.5773796828,-0.5498333333000001,-4.5665,-0.0408666667,-2.0764666667
HPh_1,-4.3617869628,-0.2500333333,1.5547,-0.0958666667,0.5045333333
HPh_2,-5.0812373688,-0.4953333333,1.3934,-0.1365666667,0.39183333330000003
HPh_3,-4.673997465,-0.3665333333,1.9864000000000002,0.1228333333,0.49003333330000004
LPh_1,-4.2895865259,-0.26383333330000003,1.5270000000000001,0.1567333333,0.5711333333
LPh_2,-4.8501629241,0.41356666670000003,1.6238000000000001,0.3670333333,1.1716333333
LPh_3,-4.2151573756,0.0142666667,1.4903,-0.1157666667,0.6312333333
LPhT_1,-1.3161056247,0.7157666667,0.7386,0.6485333333000001,-0.2227666667
LPhT_2,0.9397826988,0.9016666667000001,0.49060000000000004,0.5999333333,-0.3203666667
LPhT_3,3.0441738399,1.4190666667,0.5355,0.6869333333000001,-0.1312666667
SMMPr_1,3.5689413968,0.1633666667,-0.5207,-0.1298666667,0.5559333333
SMMPr_2,5.2530277941,0.4158666667,-0.5179,-0.08966666670000001,0.5471333333
SMMPr_3,4.2976212051000005,0.6987666667,-0.30770000000000003,-0.0860666667,0.5252333333
HiTm_1,-0.8655517219000001,0.32026666670000004,-0.7024,-0.1135666667,0.6267333333
HiTm_2,-6.5716428446,0.5917666667,0.04,0.1473333333,-0.1802666667
HiTm_3,-7.3646190683,0.5758666667,0.4455,0.5201333333,0.0995333333
LoTm_1,13.6677419905,0.011166666700000001,-2.0176,1.0055333333,-1.1258666667
LoTm_2,12.871220459,-0.2124333333,-2.0883,0.7919333333,-1.2631666667
LoTm_3,12.6966206839,-0.2085333333,-1.9993,0.5925333333,-1.2358666667
HiOs_1,6.901011278,-0.0798333333,1.1256,-0.027666666700000002,-0.2702666667
HiOs_2,7.3830887094,-0.4288333333,0.9036000000000001,-0.0530666667,-0.3356666667
HiOs_3,7.3647654582,-0.3220333333,1.097,-0.20906666670000001,-0.2142666667
BMM_1,-3.2154881691,-0.2550333333,-0.399,-0.29506666670000004,-0.0417666667
BMM_2,-4.0178003344,-0.5490333333,-0.3498,-0.5678666667,-0.1710666667
BMM_3,-1.5420731392,-0.7441333333,0.2467,-0.4128666667,0.0546333333
Heat_1,-0.31336993760000004,0.0975666667,-0.1899,0.7510333333,-0.2581666667
Heat_2,-1.2961323363,0.0186666667,-0.4242,0.4355333333,-0.49306666670000004
Heat_3,-0.6968354494,-0.3028333333,-0.39580000000000004,-0.07126666670000001,-0.5707666667
Cold_1,1.7261477163999999,-0.0477333333,-0.5064000000000001,-0.7871666667,1.3287333333
Cold_2,1.5855947006000002,-1.1254333333,-0.9898,-1.3540666667,0.6937333333
Cold_3,1.0365080041999999,-1.6008333333,-0.9776,-1.6997666667,0.2647333333
Etha_1,-13.1661521514,-0.5856333333,1.8905,-1.6963666667,-0.6342666667
Etha_2,-11.8176389696,-1.5202333333,1.7836,-1.9153666667,-0.7672666667
Etha_3,-13.1325650608,-0.8791333333,1.749,-1.5191666667,-0.5228666667
SMM_1,1.4927890851,0.1181666667,-0.3574,-0.2838666667,0.0136333333
SMM_2,2.0354043108,0.0018666667000000001,-0.4308,-0.2961666667,-0.07516666670000001
SMM_3,2.0371369352,-0.1435333333,-0.3135,-0.3719666667,0.0329333333
Salt_1,13.6427514541,-1.0174333333,-0.3688,-1.6760666667000002,-0.0103666667
Salt_2,13.8864957839,-1.1437333333,-0.34090000000000004,-1.7762666667,-0.1629666667
Salt_3,14.7465471575,-0.9516333333,-0.709,-2.0161666667,0.0982333333
Mt0_1,-4.9618281454,0.44876666670000004,0.7413000000000001,0.5503333333,0.6742333333
Mt0_3,-6.8154706130000005,1.1013666667,0.7671,0.5031333333,0.5918333333
M0t45_1,0.4671390024,2.1870666667,-0.7584000000000001,0.39333333330000003,0.6627333333000001
M0t45_2,-7.6701054593,0.49916666670000004,0.1269,0.0403333333,0.6930333333
M0t45_3,0.5919496282,2.6207666667,-0.4571,0.5046333333,0.7735333333000001
M0t90_1,12.2802173427,1.8863666667,-3.0715,-0.7698666667,-0.8367666667
M0t90_2,20.0690329163,3.0485666667,-2.2885,-0.11006666670000001,0.2521333333
M0t90_3,13.4879822837,2.2900666667,-2.9062,-0.0613666667,-0.1758666667
M40t45_1,-0.2293826324,2.1012666667,-1.3661,-0.4373666667,0.1509333333
M40t45_2,-3.3759854029,0.9585666667,0.20090000000000002,1.0069333333,0.5476333333
M40t45_3,-0.7758808477,2.6939666667,-0.5898,0.3314333333,0.6054333333
M40t90_1,12.4026592295,2.0534666667,-2.8601,-0.7489666667,-0.45386666670000003
M40t90_2,16.5765717197,2.7614666667,-2.2738,0.0340333333,-0.3858666667
M40t90_3,9.2993951406,2.4056666667,-2.0428,0.1778333333,0.1024333333
dia0_1,-8.5312416563,0.7226666667,0.41600000000000004,0.2040333333,0.20543333330000002
dia0_2,-6.7454574872,0.9695666667,0.3593,0.3694333333,0.34443333330000003
dia0_3,-8.3850615868,1.5717666666999999,0.1242,0.41853333330000003,0.7850333333
dia5_1,-13.542268075399999,1.0305666667,1.6343,0.8246333333,-1.0404666667
dia5_2,-8.3258802809,0.6408666667,1.3548,0.3678333333,-1.0363666667
dia5_3,-8.813803166,0.6279666667,0.9587,0.46133333330000004,-0.8109666667000001
dia15_1,-1.3509599677,1.3369666667,0.5695,-0.1005666667,0.1478333333
dia15_2,-0.0533291866,0.6304666667000001,-0.14400000000000002,-0.4545666667,0.9208333333000001
dia15_3,-6.2224969585,-1.1838333333,-0.38530000000000003,-0.1254666667,-0.2680666667
Diami_1,-6.5523749501,-0.3638333333,0.1852,0.0422333333,-1.1459666667
Diami_2,-8.0048305035,0.21656666670000002,0.6117,0.2487333333,-0.5841666667000001
Diami_3,-6.3834969377,0.0714666667,0.2298,0.2509333333,-0.6146666667
Paraq_1,-5.3984799381,0.6388666667,0.5481,0.22383333330000002,0.7408333333
Paraq_2,-5.6437429643,0.9879666667,1.2476,0.45983333330000004,0.9730333333000001
Paraq_3,-4.7888723293,-0.5942333333,-0.21130000000000002,-1.0967666667,-0.43976666670000003
H2O2_1,-1.6280953932000002,0.9364666667,0.23750000000000002,-0.46296666670000003,0.4620333333
H2O2_2,-0.8234581111,1.1451666667,0.4511,-0.3460666667,0.6901333333
H2O2_3,-0.1665250077,0.8574666667,0.2298,-0.5140666667,0.4272333333
Oxctl_1,-6.6759011358,0.5094666667000001,0.1965,-0.0858666667,0.3683333333
Oxctl_2,-6.1422642729,0.3186666667,0.2277,0.0986333333,0.2219333333
Oxctl_3,-6.3429023151,0.9771666667000001,1.193,0.41743333330000004,0.9864333333
GM-0.1_1,0.3653435413,-0.0376333333,0.44270000000000004,-0.1735666667,-0.0725666667
GM-0.2_1,1.279882674,-0.1288333333,0.26230000000000003,-0.42706666670000004,-0.1156666667
GM+5_1,1.3531607332,-0.2245333333,0.3032,-0.7570666667,-0.12016666670000001
GM+15_1,-1.121171988,0.2192666667,0.6156,-0.5359666667,0.0400333333
GM+25_1,-0.8833652853,0.2720666667,0.7334,0.0547333333,0.3367333333
GM+45_1,-0.5608091853,0.23826666670000002,0.664,-0.0682666667,0.32523333330000004
GM+60_1,-0.2089656803,0.0426666667,0.2977,-0.0387666667,0.4418333333
GM+90_1,1.3040087233,0.24006666670000001,-0.10840000000000001,0.09603333330000001,0.3171333333
GM+120_1,1.3386352557,-0.7536333333,-2.1944,-0.7186666667,-0.6702666667
GM+150_1,2.1096649857,-0.3255333333,-1.2409,0.0281333333,-0.0900666667
GM-0.1_2,-1.2884565518,0.0423666667,0.6885,0.2585333333,0.2604333333
GM-0.2_2,-2.3493589771,0.2293666667,0.6262,0.0434333333,0.37923333330000003
GM+5_2,-1.3211328979,0.3100666667,0.6951,-0.2010666667,-0.0136666667
GM+10_2,-3.1676915313,0.22286666670000002,0.7064,-0.6068666667,0.0517333333
GM+15_2,-4.1998425078,0.0116666667,0.8456,-0.5812666667,-0.1918666667
GM+25_2,-4.2109787742,-0.2337333333,0.8391000000000001,-0.39186666670000003,0.00043333330000000004
GM+45_2,-2.6264407459,-1.0210333333,-0.6863,-1.4597666667,-0.4550666667
GM+60_2,-1.911905326,-1.0767333333,-0.9699000000000001,-1.0100666667,-0.6092666667000001
GM+90_2,-2.105038577,-0.2159333333,-1.1871,0.4338333333,0.2807333333
GM+150_2,15.6773623213,1.7800666667,-2.6172,-0.3269666667,-0.7810666667
GM-0.1_3,0.2756237702,-0.0199333333,0.5424,0.21733333330000001,-0.0572666667
GM-0.2_3,0.47488041210000004,-0.3258333333,0.2978,0.2516333333,0.0636333333
GM+5_3,0.9248971197,-0.0117333333,0.5598000000000001,0.2083333333,0.09503333330000001
GM+10_3,-0.0228917017,-1.1859333333,-0.3725,-1.5020666667,-0.7991666667
GM+15_3,-1.7767788927,-0.3806333333,0.5979,-0.5306666667000001,-0.1754666667
GM+25_3,-2.0257417802,-0.8104333333,0.14550000000000002,-1.1747666667,-0.3334666667
GM+45_3,-0.1369930912,-0.8988333333,-0.4621,-1.0284666667,-0.6200666667
GM+60_3,0.16138107640000002,-1.0874333333,-0.8101,-1.3479666667,-0.5594666667
GM+90_3,1.034399199,-0.3539333333,-1.0724,-0.6292666667,-0.0513666667
GM+120_3,0.364708105,-0.43163333330000003,-1.475,-0.10426666670000001,-0.0019666667
GM+150_3,1.7438225231,0.0463666667,-1.615,-0.1708666667,0.0067333333
MG-0.1_1,-3.483448339,0.9635666667,0.6352,0.1362333333,0.1107333333
MG+5_1,-2.9686113129000002,0.5110666667,0.7941,0.0647333333,0.1254333333
MG+10_1,-0.819821522,0.6859666667000001,0.6001000000000001,0.21653333330000002,0.4738333333
MG+15_1,-0.8997036371,-0.4107333333,0.1595,-0.6614666667,-0.3707666667
MG+25_1,-1.4105933834,-0.11013333330000001,0.8247,-0.0355666667,0.26933333330000003
MG+45_1,-3.9681550859,0.0344666667,0.9641000000000001,-0.1983666667,0.0490333333
MG+120_1,2.1534576716,-1.2561333333,-1.9435,-0.0791666667,-0.39686666670000004
MG+150_1,2.806628774,0.08096666670000001,-1.8598,-0.2119666667,-0.2510666667
MG-0.1_2,-4.1981347817,0.21206666670000002,-0.0054,-0.7420666667,-0.6843666667
MG-0.2_2,-4.6014182999,0.7294666667,0.5758,-0.1770666667,-0.1482666667
MG+5_2,-3.2024950199,0.2726666667,0.6041000000000001,-0.018466666700000002,-0.1624666667
MG+10_2,-2.5792988619,0.4110666667,0.7609,-0.0665666667,0.20723333330000002
MG+15_2,-2.7375695132,1.0419666667,0.9598000000000001,0.27333333330000004,0.9027333333
MG+25_2,-2.625915424,0.0354666667,0.6394000000000001,-0.47296666670000004,-0.1571666667
MG+45_2,-3.2983514191,-0.4475333333,0.16090000000000002,-0.8908666667,-0.6668666667
MG+60_2,-3.4891240956000003,0.1255666667,0.3155,-0.3109666667,0.033833333300000004
MG+90_2,-1.6176594952999999,-0.4121333333,-0.6605000000000001,-0.4560666667,-0.4441666667
MG+120_2,3.09116765,0.0542666667,-1.4605000000000001,0.6205333333,-0.0602666667
MG-0.1_3,-7.1797631272,1.8120666667,1.6344,0.9162333333,0.49413333330000003
MG-0.2_3,-7.1173516059,1.0790666667,1.306,0.47643333330000004,0.1645333333
MG+5_3,-5.2027570895,0.2600666667,1.0637,0.2103333333,-0.1720666667
MG+10_3,-3.5777845484,0.10996666670000001,-0.0766,-0.3325666667,-0.2909666667
MG+15_3,-4.739814195,0.9311666667,1.2244,0.3194333333,0.2964333333
MG+25_3,-4.6036876721999995,0.5478666667000001,1.4026,0.14523333330000002,0.18023333330000002
MG+45_3,-5.5750349728,1.1502666666999999,1.2103,0.5722333333,0.3075333333
MG+60_3,-5.5355223943,0.2783666667,0.21030000000000001,0.2113333333,-0.14326666670000002
MG+90_3,-3.0967575983,0.3924666667,0.15660000000000002,0.0269333333,0.1077333333
MG+120_3,2.0634805174,-0.18733333330000002,-0.8247,-0.0378666667,-0.3436666667
MG+150_3,0.7285076821,-0.1760333333,-1.0244,-0.0471666667,-0.4068666667
