,A,BirA
SRX5694334,-0.3044302903,0.7112717120000001
SRX5694335,0.0377470809,0.4185820215
SRX5694336,-4.7953128013,0.0514923616
SRX5694337,5.4980257132,0.2116375295
SRX5694338,0.6758796362,0.2097550927
SRX5694339,-0.22921563800000003,-0.5859300603
SRX5694340,8.5498607305,-1.0242613373
SRX5694341,-2.9770351358,0.41782941640000004
SRX5694342,-0.5629823886,0.7520479603
SRX5694343,0.7311313268,0.7858507843
SRX5694344,-0.17870999740000001,-0.1665391892
SRX5694345,-1.1900059262,0.0741936606
SRX5694346,5.4032741165000004,1.1463658631
SRX5694347,0.3592941618,-0.26616471680000003
SRX5694348,3.7176305712,0.10953559930000001
SRX5694349,10.2244966224,-0.7939584862
SRX5694350,3.8040045156,0.8359709978000001
SRX5694351,-0.43154372,-0.8928099433000001
SRX5694352,1.2660854709,-0.1708061128
SRX5694353,0.3149352789,-0.2270915915
SRX5694354,5.4713017834,-0.600526354
SRX5694356,0.3766199562,-0.0705911748
SRX5694357,-1.0865305789,0.7102746015
SRX5694358,-0.4044897261,-0.31947887540000003
SRX5694359,5.1478272933,-1.299534848
SRX5694360,5.8994378118,-0.3520440742
SRX5694361,-2.2650916615,-0.6479585679000001
SRX5694362,2.5638291916,-1.0543541336
SRX5694363,3.81802642,0.2284501659
SRX5694364,-6.3139335598,0.6985048171
SRX5694365,3.597590399,0.2546056013
SRX5694366,-0.9553726502000001,0.09268238100000001
SRX5694367,3.5063624982,-0.5131054083000001
SRX5694368,3.7633644036,0.4164553824
SRX5694369,2.4254559231,-0.3246616869
SRX5694370,4.9518691586,-0.0065475938
SRX5694371,-3.1724442922,0.5041365246
SRX5694372,4.7475201084,-0.8836076828
SRX5694373,3.2073770849,0.9705517112000001
SRX5694374,-0.9591471836000001,-1.0229262934
SRX5694375,0.9034376269000001,0.2667326263
SRX5694376,-1.0556336729,-0.33351268100000003
SRX5694377,-1.5574772739,-1.0167509117
SRX5694378,6.8706246634,-0.6364227879000001
SRX5694379,9.0184360165,-0.9278293668
SRX5694380,5.845972631,1.1967935804
SRX5694381,-1.2412064692,0.5709989576
SRX5694382,-1.2368518699,-0.0137553541
SRX5694383,0.8059464486,-0.4306652466
SRX5694384,-1.6373402133,-0.3262267609
SRX5694385,11.5735928777,0.8190253991
SRX5694386,-2.4638029382,-0.7174143794000001
SRX5694387,-0.4797739797,0.053756816400000004
SRX5694388,1.4111224646,-0.8390788025
SRX5694389,5.1611913868,-0.8485729214000001
SRX5694390,-0.542281145,-0.2361074279
SRX5694391,4.7326677291,0.1141918541
SRX5694392,3.5660136552,-0.2101240868
SRX5694393,-1.3105318951,-0.19007471
SRX5694394,-0.9087010373000001,0.5286770797
SRX5694395,4.0926569488,0.1219271365
SRX5694396,-1.3080508225,-0.5675170767000001
SRX5694397,4.7407244013,-0.5784394492
SRX5694398,2.720342812,-0.4611146175
SRX5694399,3.0030153566,-0.3160313785
SRX5694400,4.4691780852,-0.6438117985
SRX5694401,2.119047104,-0.1835312599
SRX5694402,-3.7290235834,-0.4896149906
SRX5694403,2.4128819321,0.1598227167
SRX5694404,0.8559941552,0.0863052425
SRX5694405,1.2528615272999999,0.3727311822
SRX5694406,3.3716266459,0.8196981346000001
SRX5694407,6.5226487817,-0.042635911400000004
SRX5694408,2.5807300051,0.1835639199
SRX5694409,-4.2244608035,0.4606620946
SRX5694410,0.4919522376,-0.330515227
SRX5694411,-0.7983833923,-0.8936844638
SRX5694412,1.399896159,-0.7393019595
SRX5694413,0.7727211406000001,1.5248351346
SRX5694414,-2.170998271,0.49424048000000004
SRX5694415,0.3705194169,-0.1954157145
SRX5694416,0.2108164377,0.17202403030000002
SRX5694417,-0.1874076658,-0.245365981
SRX5694418,-3.2033009351,0.8064962748000001
SRX5694419,-5.1630600934,0.3127771533
SRX5694420,3.2194407337,0.862967205
SRX5694421,5.4424879004,0.34299365800000003
SRX5694422,10.0629928663,-0.0802271851
SRX5694423,6.985248224,0.49700407560000004
SRX5694424,2.4218615043,-0.2274045939
SRX5694425,9.4323134841,-0.7061636008000001
SRX5694426,1.9384928440000002,0.447835201
SRX5694427,2.8018192883,0.137476034
SRX5694428,-0.2632173355,-0.4590814278
SRX5694429,-1.1651343738,-0.6591825472
SRX5694430,0.7124459515,-0.0278180859
SRX5694431,3.024696569,0.6456795853
SRX5694432,5.9176642046,-0.5545488394
SRX5694433,1.7869137653,1.7753338402
SRX5694434,1.7917493184,0.47882483410000004
SRX5694435,-5.2323088939,0.2994733076
SRX5694436,-4.8752411795,-0.058680549000000005
SRX5694437,10.7053633126,0.1612073798
SRX5694438,-0.4426095003,-0.06550604630000001
SRX5694439,3.4342609652,-1.4520677059
SRX5694440,-1.7617675588,0.0360010231
SRX5694441,0.5262880103,0.0458800352
SRX5694442,-0.1850715182,-0.4662567483
SRX5694443,1.0766022383,-0.05434913500000001
SRX5694444,0.6410218102,-0.511938518
SRX5694445,-4.2543169487,-0.7282794819
SRX5694446,0.2917315581,-0.0370337567
SRX5694447,2.3399124232,-1.0734047945
SRX5694448,4.4882263017,-0.5094286572
SRX5694449,3.5907883526,0.09569065880000001
SRX5694450,1.8066401194,-1.1092011358
SRX5694451,-0.4271048596,0.059321297200000005
SRX5694452,-1.2571896077,-0.7080367281000001
SRX5694453,1.0363496206,0.9307125666
SRX5694454,-2.9803220743,-0.23992077380000001
SRX5694455,-5.060651251,0.25875340410000003
SRX5694456,-1.5897036162,0.34352646330000003
SRX5694457,2.0190583274,-0.12988759600000002
SRX5694459,2.1982329478000002,0.104775028
SRX5694460,-4.0833221034,-0.12266855200000001
SRX5694461,5.4979305252,-0.9573973449000001
SRX5694462,-5.4472841068,-0.0921724912
SRX5694463,-1.3818964002,1.0599298017
SRX5694464,4.4531559803,-0.7043967338
SRX5694465,1.8283625507,0.9342573077
SRX5694466,11.3847318646,0.5669131642
SRX5694467,4.5934696563,0.13330394
SRX5694468,-0.7831729653,-1.2646264073
SRX5694469,0.1155639724,0.4127184058
SRX5694470,-1.4711024881,-0.2125375968
SRX5694471,5.9309539828,0.1601304539
SRX5694472,3.9138876276000003,-0.049089945
SRX5694474,1.2953201886,0.0005219414
SRX5694475,0.8394068205,0.4429651825
SRX5694476,-0.6267352449,-0.3707864077
SRX5694477,-4.6718110588,-0.8559699167
SRX5694478,4.5735360661,-0.8726501199000001
SRX5694479,0.0791797766,0.018362561700000002
SRX5694480,2.0772086161,0.3511360284
SRX5694481,4.0650784658,-1.1405970441
SRX5694482,0.7208264307000001,0.0952178406
SRX5694483,3.189303431,-0.0045973349000000005
SRX5694484,3.792586144,-0.3363728682
SRX5694485,7.5363026824,0.4184569991
SRX5694486,-2.6257672037,-0.4137613844
SRX5694487,0.6988376274,-1.2144111974
SRX5694488,3.124210604,-0.0472008872
SRX5694489,4.8263807931,-0.1014163948
SRX5694491,0.12346701300000001,-1.2184859666
SRX5694492,-4.1161786142,-0.6113192442000001
SRX5694493,0.8188829751000001,-0.6719837055
SRX5694494,7.7305616507,0.5469720113000001
SRX5694495,0.1267456481,-0.0026434157
SRX5694496,-0.8824510515,-0.2441669803
SRX5694497,2.7120887417,-0.2783594453
SRX5694498,5.3108055245,0.6792041862
SRX5694499,4.4374363704,0.4398696764
SRX5694500,6.3653207365,-0.6648537130000001
SRX5694501,0.23987081500000001,-0.7166266870000001
SRX5694502,-0.7606266614,0.4798214611
SRX5694503,8.3850265026,-0.6584851533
SRX5694504,-1.8516286848,-0.2475424669
SRX5694505,-3.1422597186,0.1637618368
SRX5694506,2.8059177516,-0.7504026034
SRX5694507,-1.9141903376,-0.2426836119
SRX5694508,1.8065576826,-0.1899486608
SRX5694509,3.8081551144,0.1488291046
SRX5694510,-0.2866654037,0.0829417078
SRX5694511,0.8543017079,0.15651716400000001
SRX5694512,-0.5668405782,-0.6749057589
SRX5694513,2.3075523681,0.843838598
SRX5694514,-3.8343506717,-0.3978022967
SRX5694515,13.5344856989,1.3944872103
SRX5694516,2.2509723341,-1.5799264288
SRX5694517,8.358721689,-0.0414842029
SRX5694518,0.9534664213,0.2813066246
SRX5694519,8.0351973483,0.35902216060000003
SRX5694520,-0.0098914064,-0.6195945048
SRX5694521,0.5600490521,-0.5290339025
SRX5694522,0.6401482039,-0.0944837106
SRX5694523,-1.0824284679,-0.8595478313
SRX5694524,5.4580711955,-0.6124444019
SRX5694525,-0.7368452274,-0.6467424735
SRX5694526,1.3339294334,-0.5767593287
SRX5694527,7.2178646834,-0.9067448760000001
SRX5694528,0.2740011282,-0.3071789706
SRX5694529,2.2894585193,-0.48209967740000004
SRX5694530,-0.1710510089,-0.748661973
SRX5694532,1.8436240077,-0.24067629370000002
SRX5694533,4.6489184715,-0.205236256
SRX5694534,0.1861319033,-0.8822506961000001
SRX5694535,1.582891176,-0.2013059767
SRX5694536,1.987552801,-0.3174157889
SRX5694537,2.3945908205,0.6191986837
SRX5694538,2.0791019454,0.1869648593
SRX5694539,5.8021364539,-1.0008689764
SRX5694540,2.4226138822,-0.0913743629
SRX5694541,4.9571281644,-0.7597351561
SRX5694543,3.1756887763,-1.6285543909
SRX5694544,6.6756303638,0.2753596522
SRX5694545,1.1574219132,-0.19607652520000002
SRX5694546,2.3079261093,-1.1992171035
SRX5694547,2.264184799,0.544428306
SRX5694548,1.2602860504,0.0405135665
SRX5694550,2.9645656104,-0.0209281708
SRX5694551,6.4199168311,0.0771271424
SRX5694552,1.6041069937999999,-0.5854758444
SRX5694553,-1.4080876601,-0.107843306
SRX5694554,1.1791723518000001,0.3586882012
SRX5694555,-3.9608622377,-0.45777861010000004
SRX6072760,8.227986326,0.0401728769
SRX6072761,9.1559181148,0.0937601551
SRX6072762,8.3983368619,0.16352915070000001
SRX6072763,9.5432519372,0.3682033724
SRX6072764,7.5388513047,0.0375389562
SRX6072765,9.7406150649,0.1589382292
SRX6376491,2.9597605021,0.8590478340000001
SRX6376492,-3.5843427444,-0.3635276864
SRX6376493,-3.6821573089,-0.2056318551
SRX6376494,-1.3182568833000001,-0.13312501770000001
SRX6376495,2.481060661,1.3555423828
SRX6376496,3.0588388257,0.6952617218
SRX2723951,-0.5252060011,0.2449240621
SRX2723952,-0.6453643377,0.1478607364
SRX2723953,-0.2005336684,0.22105748520000001
SRX2723954,-1.6173488032,0.071418828
SRX2723955,0.0061312250000000006,0.18096804060000002
SRX2723956,-0.48407029840000004,0.2760812942
SRX2723957,-0.07505502900000001,-0.06353370850000001
SRX2723958,1.1642458233,-0.14529232120000002
SRX2723959,-0.2948874563,-0.0379361816
SRX2723960,-1.0362321408,0.5295538984
SRX2723961,-1.1428618311,0.1364573024
SRX2723962,-1.007172148,0.0809760227
SRX2723963,-0.5826089092,0.18678860400000002
SRX2723964,-1.0561860695,-0.2963016616
SRX2723965,-1.014438068,0.0212505778
SRX2723966,-0.0046990403,0.07912691520000001
SRX2723967,0.22222949490000002,-0.033348491800000005
SRX2723968,-0.2175304546,-0.045778423400000004
SRX6977206,1.6162395828,0.2267667015
SRX6977207,0.8579627464,0.2366704285
SRX6977208,1.2512920386,-0.1917253646
SRX6977209,1.0015087354,0.0016854134
SRX6977210,0.0130319999,0.1282002295
SRX6977211,0.168468018,-0.1600659022
SRX6977212,-0.2086003756,-0.1407648134
SRX6977213,0.0401323576,0.3008307156
SRX6977214,1.5493004982,0.449103438
SRX1153733,-0.4591215649,-0.0560315336
SRX1153734,0.4591215649,0.0560315336
SRX1153735,2.2262981151,-0.028360238500000003
SRX1153736,3.1318960758,-0.0583938276
SRX5204053,3.9116315774,-0.2072973397
SRX5204054,5.8265028709,-0.1401382765
SRX5204055,2.9396551748,-0.2606040356
SRX5204056,7.0333018,0.34421245300000003
SRX5204057,6.5321815469,0.36420972090000003
SRX5204058,5.265121455,0.3582670039
SRX5204059,-0.3983064376,0.044600263800000005
SRX5204060,0.050521829600000005,0.1788692989
SRX5204061,0.425143671,0.0635171637
SRX5204062,1.8600593938,-0.0154909551
SRX5204063,2.4051344283000002,-0.0896782034
SRX5204064,1.8112847251000002,-0.17962511620000002
SRX5204065,4.1832654986,0.3346119278
SRX5204066,3.9495926341,0.24071389140000002
SRX5204067,4.4638691014,0.3601294635
SRX5204068,0.018734943900000002,0.024479712
SRX5204069,0.43471116390000003,-0.0673521862
SRX5204070,1.8204115649000001,0.0257094405
SRX5204071,1.9741299888000001,-0.30746432290000003
SRX5204072,1.9589394088,-0.0811091533
SRX5204073,2.1184013664,-0.1730836849
SRX5204074,3.4120503112,-0.20395916800000002
SRX5204075,0.4184511797,-0.09095294770000001
SRX5204076,2.5361570965,-0.3665429985
SRX5204077,0.0509636552,-0.3140274703
SRX5204078,1.1656041384,-0.18867726140000002
SRX5204079,-0.1425217195,-0.3355746099
SRX5204080,6.2308941448,-0.13384189600000002
SRX5204081,6.3036946897,-0.2029837173
SRX5204082,6.0342867411,-0.3326744185
SRX5204083,1.4901443177,0.0726909396
SRX5204084,1.446020928,-0.0098235628
SRX5204085,1.1392160922,0.0345560127
SRX5204086,3.5663672255,0.2846217566
SRX5204087,3.3919796779,0.0427755674
SRX5204088,3.4912561217,0.1627178716
SRX5204089,1.3574098106,-0.0163569957
SRX5204090,0.8102994828000001,-0.1173913605
SRX5204091,1.498357995,0.0215580828
SRX5204092,2.1295565697,-0.1220534753
SRX5204093,2.434790786,-0.0071853106000000005
SRX5204094,1.2813230598,0.1714043149
SRX5204095,-0.4752708268,0.0280117468
SRX5204096,0.4536281198,-0.019569253
SRX5204097,0.021642707,-0.0084424939
SRX683459,0.0847919832,-0.0986663508
SRX683460,-2.4301972572,-0.11695094860000001
SRX683461,-0.3160802532,0.020678240900000002
SRX683462,-2.9175684566,-0.2343692226
SRX683463,0.23128827000000002,0.0779881099
SRX683464,-3.3357986523,-0.1030877033
SRX683465,-0.7460743950000001,-0.14187636380000002
SRX683466,-4.9151421488,-0.6876585732
SRX683467,-0.5688698425000001,0.0082279614
SRX683468,-6.0344465541,-0.9207138487000001
SRX683469,-0.4287176234,0.056321670500000004
SRX683470,-5.4647556653,-0.8695088046
SRX322077,-0.3085263219,-0.014239390900000001
SRX322078,-0.5973167829,0.028500435600000002
SRX322079,-1.2176282495,-0.023894599500000002
SRX322080,-0.0248925054,0.0411404994
SRX322081,0.0175578309,-0.4148299406
SRX322082,0.4444455195,0.16787639040000002
SRX322083,-0.6034498835000001,0.1688010637
SRX322084,-0.3368325032,-0.1634381583
SRX322085,0.9402823867000001,-0.0053629054
SRX2708592,15.9795038028,-0.2210549108
SRX2708593,15.7427253306,0.30671758190000004
SRX2708594,15.1408545753,0.6919148346
SRX2708595,-0.0192348783,0.1088873358
SRX2708596,-0.6478761015000001,-0.11109955510000001
SRX2708597,0.6671109798,0.0022122193
SRX2708598,0.3721096414,-0.0865397846
SRX2708600,1.3093972835,-0.41662505400000005
SRX2708601,-0.38227653510000004,-0.3859639076
SRX2708602,-0.0685147317,-0.0375399708
SRX2708603,0.8900807091,-0.48711892230000003
SRX3073814,0.4488631622,-0.2720880288
SRX3073815,1.5186077121000001,-1.6735265271
SRX3073816,0.2017357781,-2.5403440335000003
SRX3073817,-3.3238987908,-2.738998069
SRX3073818,-4.9927574496,-1.8254324931
SRX3073819,-0.6502553839,-0.1596467954
SRX3073820,0.1252945165,-2.6390570535
SRX3073821,-1.6658808471,-3.1408926633
SRX3073822,-3.50635923,-3.2548044185
SRX3073823,-3.5718518667,-1.4626344276
SRX3073824,-0.4488631622,0.2720880288
SRX3073825,1.6919341286,-1.2643669536
SRX3073826,0.25727856320000003,-2.9259023907
SRX3073827,-2.9461119184999998,-2.453050916
SRX3073828,-5.0053590858,-1.8046103235
SRX3073829,-0.7358354099000001,-0.3013256702
SRX3073830,0.8636052350000001,-1.5463122568
SRX3073831,-1.1935040432,-3.2663141952
SRX3073832,-3.3371117769,-2.241744763
SRX3073833,-4.4191947716,-1.3231932066
SRX2391456,-0.5604443475,0.2342583762
SRX2391457,-0.9994324763,0.0787812091
SRX2391458,-0.42701715100000004,0.1486488342
SRX2391459,0.0085368769,0.20875375270000002
SRX2391460,0.1270249333,0.11057744530000001
SRX2391461,-0.23418107940000002,0.1596385459
SRX2391462,-0.2014968306,-0.011507481200000001
SRX2391463,-0.5600331116,0.1427495571
SRX2391464,-0.5106433594,0.2043722526
SRX2391465,0.03475575,0.0467466702
SRX2391466,-0.0900146938,0.1091218671
SRX2391467,0.0123591805,0.0674475021
SRX2391468,-0.061914266700000005,0.0947140266
SRX2391469,0.027611620400000002,-0.1180029402
SRX2391470,-0.0413897933,0.007557804
SRX2391471,-0.700590884,-0.0088069288
SRX2391472,-0.3530180318,0.1105642533
SRX2391473,-0.3511843361,0.0337060638
SRX2391474,-0.6666581744,0.0791580365
SRX2391475,0.0769982721,0.0839958992
SRX2391476,-0.16400582730000002,0.0905041453
SRX2391477,0.1865128329,0.0172679654
SRX2391478,-0.7705476466000001,-0.045988998
SRX2391479,-0.4175400871,0.0447579631
SRX2391480,0.4531176645,-0.0180911415
SRX2391481,0.5607675021,-0.08891479020000001
SRX2391482,0.5163487839,-0.0829310198
SRX2391483,0.28444402690000004,0.0865401427
SRX2391484,-0.6254310662,-0.033493961
SRX2391485,-0.8488030589000001,0.08209108870000001
SRX2391486,-0.2350772767,0.1102532735
SRX2391487,0.0246010272,0.10963576010000001
SRX2391488,-0.025794921300000002,0.1610913766
SRX2391489,0.1321102991,0.1879258329
SRX2391490,0.1927379595,0.16995898310000002
SRX2391491,0.0624058568,0.1539914296
SRX2391492,0.09039690830000001,0.132992353
SRX2391493,0.1353618985,0.196097034
SRX2391494,0.0168070609,0.1799319423
SRX2391495,-0.0123591805,-0.0674475021
SRX2391496,0.1080992145,-0.048029579600000004
SRX2391497,0.1663956483,0.0307562841
SRX2391498,-0.407644443,0.08159785180000001
SRX2391499,-1.0514986708,0.2752497987
SRX2391500,-0.5407666242,0.11905678580000001
SRX2391501,-0.3520799074,0.1203446717
SRX2391502,-0.37337762420000004,0.1267390282
SRX2391503,0.4815242032,0.08583393260000001
SRX2391505,0.19287017820000002,0.0431372929
SRX2391506,-0.022034293,0.1309371481
SRX2391507,-0.0584484947,0.1228041837
SRX2391508,0.3574829386,-0.0675155254
SRX2391510,0.6513727020000001,0.048236197700000004
SRX2391512,0.49362180520000004,-0.1368023174
SRX2391513,0.2510316388,0.012394234
SRX2391514,0.1253361494,0.0986706027
SRX5632598,4.7601651556,-0.043067604100000004
SRX5632599,3.9228533989,0.3340316009
SRX5632600,2.0502348089,-0.5526001963
SRX5632601,1.1436704977,-0.4222746693
SRX5632602,-0.8259814097,-0.2531930873
SRX5632603,2.323364561,-0.48752405260000004
SRX5632604,2.0990190373,-0.6876672602
SRX5632605,2.3763669073,-0.2260782145
SRX5632606,4.4045925707,-0.0255008088
SRX5632607,3.0746218465,0.4546569931
SRX5632608,-0.1414970194,0.1929622608
SRX5632609,-0.3357529962,-0.1536747035
SRX5632610,1.2012564965,-0.2911679844
SRX5632611,0.4772500156,-0.0392875572
SRX5632612,1.6337834493,-0.1384714782
SRX5632613,0.6414972891,0.6320654191
SRX5632614,2.8351330437,-0.09005556990000001
SRX5632615,2.436184347,-0.1104784471
ERX2874132,-0.8150169948,0.986801998
ERX2874133,0.2151706109,1.1680127227
ERX2874134,5.3671479833,1.8942689220000002
ERX2874135,5.8306799284,1.7466415917
ERX2874136,4.2581844387,2.2564485128
ERX2874137,4.1546509105,2.3027757351
ERX2874138,2.9290343817,1.3787659473
ERX2874139,3.1199191035,1.3721053165
ERX2874140,-0.1541293664,-0.050019712200000004
ERX2874141,0.1541293664,0.050019712200000004
ERX2874142,3.9420788964,2.1963079649
ERX2874143,4.9972115558,2.5935733268
ERX2874144,1.9897571628000001,1.3609698526
ERX2874145,2.6792748979,1.7808472614
ERX2874146,0.3959870236,0.5692099486000001
ERX2874147,1.1343241764,0.6506749739000001
SRX1300292,1.5727100609,0.1399261921
SRX1300293,-1.5727100609,-0.1399261921
SRX1300299,0.7061611606,-0.1917622733
SRX1300300,0.5166477384,0.1466750248
SRX1300304,-3.3024615185,0.217896162
SRX1300305,0.8518727487000001,0.0552288762
SRX1300306,-1.0318449261,0.0616937077
SRX1300310,-4.0939770653,0.2555577967
SRX1300311,-3.0720242902,0.2950595196
SRX7291195,-0.46910741920000004,0.11380630230000001
SRX7291196,-0.2194338258,-0.1486824166
SRX7291197,-0.8266293685,0.0989253989
SRX7291198,-0.1717923487,-0.0458385237
SRX7291199,0.2602234992,0.010632053800000001
SRX7291200,-0.0884311504,0.0352064699
SRX7291201,-1.9338106542,0.025052551200000002
SRX7291202,-0.1633661747,-0.041639185700000005
SRX7291203,-1.1003536367,0.0101458005
SRX7291204,-0.20693285900000002,0.0649145012
SRX7291205,-0.6294789949,0.1252942855
SRX7291206,-0.3345268483,0.0491036139
SRX2436955,0.6867309517,0.4299250533
SRX2436956,0.8039151248,1.2032071822
SRX2436957,0.7944300233,0.8199580633
SRX2436958,0.3718689859,0.7837666676
SRX2436959,0.350305012,-0.0251314609
SRX2436960,0.1137966712,1.1686355368
SRX2436961,0.08054168610000001,0.6977309563
SRX2436962,0.5340005049000001,1.1424012573
SRX2436963,0.1243790052,0.5608612599
SRX2436964,-0.9889539416,0.5451025448
SRX2436965,1.538642313,0.33381102560000003
SRX2436966,0.8152985585,0.8223889950000001
SRX2436967,-0.10821316040000001,0.41883458370000004
SRX2436969,0.38179189620000004,1.0779592475
SRX2436970,0.5722417118,0.8408661818000001
SRX2436971,-0.37116467080000004,0.48651551800000004
SRX2437029,0.1837943578,1.2780755141
SRX2437030,0.6343523596,0.3029003858
SRX2437031,-0.3623382364,-0.026805776000000003
SRX2437032,0.0042078329,0.12168270020000001
SRX2437033,-0.1775570095,-0.4108478218
SRX2437034,1.439399818,0.6792077631
SRX2437035,0.9926020833,0.8271168379
SRX2437036,1.0076545047,0.7588224346
SRX2437037,-1.0490543245,0.9527513128
SRX2437038,0.5572471079,0.8224697567
SRX2437039,0.0938640791,0.11513236830000001
SRX2437040,0.8661258264,0.7598080168
SRX2437041,0.9495386454,0.33431316640000003
SRX2437042,-0.2050184354,-0.6978565243
SRX2437043,-0.9634493822,0.7180608439
SRX2437044,-0.2096341441,-0.7149939929
SRX4705203,-1.1023683635000001,-0.0475761873
SRX4705204,-0.2321916139,-0.3538653271
SRX4705205,-0.5934271765,-0.1188052465
SRX4705206,-0.9033850938,-0.028460602
SRX4705207,-0.7038595694,0.4057454256
SRX4705208,-0.195289763,0.5691111346000001
SRX4705209,-0.7181010037000001,0.3849091469
SRX4705210,0.0816324184,0.4084757596
SRX4705211,-0.0486567875,0.2357243116
SRX4705212,-0.43905837810000004,0.4628039219
SRX4705213,-0.2323953756,-0.1834851179
SRX4705214,0.2566024527,-0.5261387632
SRX4705215,-0.09987958300000001,0.1860339583
SRX4705216,-0.1380338791,-0.2714245393
SRX4705217,0.117808015,0.1548436355
SRX4705218,0.09589837,0.6401708267
SRX4705219,-0.7513478637000001,-0.2578663878
SRX4705220,-0.4568605566,-0.8672072174000001
SRX4705221,-0.08563355210000001,0.020394418100000002
SRX4705222,-0.2319086998,-0.39016923410000004
SRX4705223,-1.050114281,-0.2329972663
SRX4705224,-0.7791239085,-0.3844394326
SRX4705225,0.1601502274,0.0157496739
SRX4705226,0.1010945023,-0.12434377740000001
SRX4705227,-0.2997402743,-0.06409227990000001
SRX4705228,-1.1670512697,-0.042672707000000004
