,A,BluR
nac_ntrc__bw_delnac_cytd__1,3.0678907699,-0.271931109
nac_ntrc__bw_delnac_cytd__2,2.7914812357,-0.36428256400000003
nac_ntrc__bw_delnac_gln__1,1.5295446597,0.062849074
nac_ntrc__bw_delnac_gln__2,1.7035477502,-0.060916176
nac_ntrc__bw_delnac_nh4__1,-0.5989918933,-0.34684595
nac_ntrc__bw_delnac_nh4__2,-1.2711512746,-0.47609921
misc__wt_no_te__1,3.314583918,-0.036857325
misc__wt_no_te__2,2.4100451992,-0.006191563000000001
misc__bw_delcbl__1,-0.5334564349,-0.52236785
misc__bw_delcbl__2,0.0017628243,-0.45289774400000005
misc__bw_delfabr__1,-2.0885662018,-0.595297686
misc__bw_delfabr__2,-1.4668448696,-0.45440181300000004
misc__bw_delfadr__1,-0.1320299295,-0.442567309
misc__bw_delfadr__2,-0.0103404325,-0.43086943400000005
misc__nitr_031__1,0.4573093293,-0.157264077
omics__wt_glu__1,-0.5432162135,0.437394681
omics__wt_glu__2,-0.4079732017,0.40057418300000003
omics__wt_gly__1,-2.1271357767,-0.19483122500000002
omics__wt_gly__2,0.0159611554,-0.070948517
omics__wt_thr__1,-1.8223434404,0.34010267800000005
omics__wt_thr__2,-2.7451030758,0.21011774700000002
omics__bw_ac__1,-1.3406340673,0.44063297900000004
omics__bw_ac__2,-1.6212203204,0.494194666
omics__bw_fum__1,-2.6815449054,0.366302142
omics__bw_fum__2,-2.4702998766,0.309803932
omics__bw_glc__1,0.5808344947,0.449344193
omics__bw_glc__2,0.7366513305,0.44693888600000004
omics__bw_pyr__1,-3.4912925131,0.37166260700000003
omics__bw_pyr__2,-1.1004335824,0.427340035
ompr__wt_nacl__1,7.6629546106,0.7253155020000001
ompr__wt_nacl__2,7.4705096194,0.543236135
ompr__bw_delompr_nacl__1,10.2530609097,0.27755218400000004
ompr__bw_delompr_nacl__2,9.7150560084,0.269891844
minspan__wt_ade__1,0.7457240938,0.349866516
minspan__wt_glc__2,1.0971049172,-0.572581658
minspan__wt_glc__3,0.2756415767,-0.600054812
minspan__wt_glc__4,-0.2832123398,-0.593983775
minspan__wt_glc_anaero__1,-6.5590746087,-0.31605113500000004
minspan__wt_glc_anaero__2,-7.831912906,0.020449445
minspan__wt_trp__1,-3.415161018,-0.454659866
minspan__bw_delcra_glc__2,-0.4989855702,-0.942385188
minspan__bw_delcra_trp__1,-2.5701323912,-0.806206858
minspan__bw_delmntr__1,-4.9729895942,-0.82334414
minspan__bw_delnac_ade__1,4.0813023472,0.9069135810000001
minspan__bw_delnac_glc__1,2.8137568143,-0.340053953
cra_crp__wt_ac__1,-0.2250569819,0.39985990200000004
cra_crp__wt_ac__2,-1.1648660083,0.396940153
cra_crp__wt_fru__1,-0.8064892619,0.31705264
cra_crp__wt_fru__2,-0.2562151849,0.305373204
cra_crp__delcra_ac__1,1.3276089731,0.42279595000000003
cra_crp__delcra_ac__2,0.7118760262,0.24685684100000002
cra_crp__delcra_fru__1,-0.9391122110000001,-0.17217559300000002
cra_crp__delcra_fru__2,-0.19963172580000002,-0.14995934300000002
cra_crp__delcra_glc__1,1.4124072595000001,-0.5948482190000001
cra_crp__delcra_glc__2,1.5036372381,-0.496021268
rpoB__wt_031__1,-2.6865276666,-0.191213252
rpoB__wt_044__1,-2.2499365289,-0.180516703
rpoB__wt_lb__1,2.9835053542,-0.963098031
rpoB__wt_lb__2,3.6861955848,-0.938743532
rpoB__rpoBE546V_031__1,1.4809796095,-0.6405140340000001
rpoB__rpoBE546V_044__1,0.8086380223,-0.5010106520000001
rpoB__rpoBE546V_lb__1,0.3208578231,-0.864023312
rpoB__rpoBE546V_lb__2,1.7522923257,-0.8076277340000001
rpoB__rpoBE546V_glc__1,-1.4393005410000002,-0.604978776
rpoB__rpoBE672K_glc__1,-4.0336897265,-0.6043257310000001
rpoB__rpoBE672K_glc__2,-4.8651905346,-0.7001040930000001
rpoB__rpoBE672K_lb__1,1.1849848824,-1.7341670420000002
rpoB__rpoBE672K_lb__2,0.3260350107,-1.768567175
crp__wt_fru__1,-1.5579547604,-0.529160378
crp__wt_glyc__1,-1.7747637748,-0.595461472
crp__wt_glyc__2,-2.0169024781,-0.42122331100000004
crp__delar1_glyc__1,-6.5664398567,-0.33148552400000003
crp__delar1_glyc__2,-5.152368467,-0.446339812
crp__delar1ar2_glyc__1,-2.3750404157,-0.12998294900000001
crp__delar1ar2_glyc__2,-2.3383191009,-0.320766384
crp__delar1ar2_glyc__3,-2.0641566644,-0.167624758
crp__delar2_glyc__1,-4.186355213,-0.92009289
crp__delar2_glyc__2,-5.6610156332,-0.9435453580000001
crp__delar2_glyc__3,-4.5542982615,-0.7779742310000001
crp__delcrp_fru__1,0.060796430900000004,-0.115901899
crp__delcrp_fru__2,-1.6105281872,-0.400399331
crp__delcrp_fru__3,0.4122670487,-0.289394152
crp__delcrp_glc__1,-0.4169927524,-0.353724596
crp__delcrp_glc__2,-0.3595887145,-0.298535857
crp__delcrp_glc__3,-0.1370084853,-0.493919249
crp__delcrp_glyc__1,-1.0546873333,-0.322646359
crp__delcrp_glyc__2,-0.212581922,-0.09539850300000001
crp__delcrp_glyc__3,-0.0620703218,-0.193453978
glu__glu_ale3__1,-4.4741037385,-1.527777565
glu__glu_ale4__1,-3.1721526214,-1.4332478499999999
glu__glu_ale5__1,-1.2080852689000001,-0.9976004070000001
glu__glu_ale6__1,-1.1276527549,-1.8365128240000002
glu__glu_ale8__1,-4.5116041164,-1.078304702
glu__glu_ale9__1,-4.302096683,-1.175676996
glu__glu_ale10__1,-4.7916217546,-1.038626274
42c__wt_42c__1,2.2507603694,-0.859210224
42c__42c_ale1__1,-6.9461153578,-0.652693268
42c__42c_ale2__1,-0.6830937901,-0.16801358700000002
42c__42c_ale3__1,-2.8746427891,0.08655739100000001
42c__42c_ale4__1,-5.3327300672,0.22908155900000002
42c__42c_ale5__1,-1.6201633052000002,-0.043057046
42c__42c_ale6__1,-6.5438565893,-0.576898763
42c__42c_ale8__1,-4.3602789373,0.034128036
42c__42c_ale9__1,0.0496959227,-1.471197946
42c__42c_ale10__1,-6.7440931726999995,0.119672659
ssw__wt_ac__1,2.9359060233000003,-0.002810331
ssw__wt_glc__1,0.1461331645,-0.038822348
ssw__wt_glyc__1,-4.4559461822,-0.521434402
ssw__wt_xyl__1,-5.7567063806,0.552963356
ssw__glc_ale1__1,-0.8383605248,-0.607006994
ssw__glc_ale2__1,-2.4900420726,-0.593233903
ssw__glc_ale3__1,-4.6221437971,-1.095673327
ssw__glyc_ale1__1,-3.9100921039000003,-0.531916018
ssw__glyc_ale2__1,-4.9953084215,-0.892305121
ssw__xyl_ale1__1,-3.2169293106,-0.244421613
ssw__xyl_ale2__1,-3.6984981635,-0.077996904
ssw__xyl_ale3__1,-5.5262483967,-0.6886858020000001
ssw__glc_ac_ac2__1,-5.7903486659,-0.558142475
ssw__glc_ac_glc1__1,-4.1068020061,0.36310562
ssw__glc_glyc_glc__1,-3.0896861224,-0.9247689720000001
ssw__glc_glyc_glyc__1,-4.6412997803,-0.654316925
ssw__glc_xyl_glc__1,-7.6258582682,-0.865335767
ssw__glc_xyl_xyl__1,-2.9308713127,-0.456527516
ica__wt_glc__1,-1.4865509146,-0.636174342
ica__wt_glc__2,-2.3528503932,-0.716304825
ica__wt_glc__3,-3.5007886142,-0.127072248
ica__wt_glc__4,-0.19534608220000002,0.122516805
ica__arg_sbt__1,-2.1611791886,-0.22294474
ica__arg_sbt__2,-2.7751611232,-0.092574057
ica__cytd_rib__1,2.9825554987,-0.020888887000000002
ica__cytd_rib__2,3.2173362041,-0.163546139
ica__gth__1,9.0298634409,0.30462215400000003
ica__gth__2,7.5292306591,0.37013013
ica__leu_glcr__1,-1.9830066683,0.207198602
ica__leu_glcr__2,-2.0288435887,0.163569832
ica__met_glc__1,-2.2120589137,-0.8850129999999999
ica__met_glc__2,-1.6143710425000002,-0.848404755
ica__no3_anaero__1,-4.8651103382,-0.059233459
ica__no3_anaero__2,-5.1034768829,0.06255543300000001
ica__phe_acgam__1,-1.9111606621,-0.341103044
ica__phe_acgam__2,-2.7810988551999998,-0.460005331
ica__thm_gal__1,1.7378835706,-0.442669126
ica__thm_gal__2,0.8496865597000001,-0.442783319
ica__tyr_glcn__1,-1.8356197576,-0.440721623
ica__tyr_glcn__2,-1.7543249407000001,-0.383787514
ica__ura_pyr__1,-0.7052159822,0.14314452800000002
ica__ura_pyr__2,-1.1096417777,0.197468407
ica__wt_glc__5,-1.4095789335,-0.43886368400000003
ica__wt_glc__6,-0.9129515956,-0.50713306
ica__bw_delpurR_cytd__1,-1.5769361556,-0.619468829
ica__bw_delpurR_cytd__2,-0.8046806226000001,0.010976463
ica__ade_glc__1,-0.7719102579,-0.09470806400000001
ica__ade_glc__2,-1.4464373492,-0.674364755
ytf__wt_glc__1,1.0494370298,-0.025580466000000003
ytf__wt_glc__2,2.3187945323,-0.095457363
ytf__delyafC__1,-0.7387692732000001,-0.180298962
ytf__delyafC__2,-0.6996769711,-0.064670529
ytf__delyeiE__1,0.4990764616,0.18493899100000002
ytf__delyeiE__2,1.1104006968,0.002153964
ytf__delyiaJ__1,-0.6524236147,0.12379853600000001
ytf__delyiaJ__2,-0.7093294776,0.533656393
ytf__delyieP__1,-1.1824105939,-0.040861748
ytf__delyieP__2,-0.07263791110000001,0.053823055
ytf__wt_ph5__1,4.2091750059,0.087145597
ytf__wt_ph5__2,3.8828388068,0.142706095
ytf__wt_ph8__1,2.7428340859,-0.14844510300000002
ytf__wt_ph8__2,2.1424965731,-0.02271545
ytf__delybaO__1,-2.2872160298,-0.31967172200000005
ytf__delybaO__2,-0.9372126889,-0.188281153
ytf__delybaQ__1,1.8218570382000001,-0.030322557000000003
ytf__delybaQ__2,2.2891159871,-0.14267927700000002
ytf__delybiH__1,0.5913094326,-0.0011845030000000002
ytf__delybiH__2,0.5902182825,0.29478793400000003
ytf__delydcI_ph5__1,1.9037000017999999,0.059105765000000005
ytf__delydcI_ph5__2,2.0809122416,-0.009666805
ytf__delydcI_ph8__1,3.0346676064,-0.022368386
ytf__delydcI_ph8__2,2.3126579293000002,-0.259105126
ytf__delyddM__1,2.6994827632,0.165576322
ytf__delyddM__2,2.7936699464,0.19062288400000002
ytf__delyheO__1,-1.286382917,-0.450952458
ytf__delyheO__2,-2.1167695241,-0.47231894700000004
fps__bw_glc__1,-0.2135534496,-0.046038265
fps__bw_glc__2,0.3563715602,-0.22084757900000002
fps__fps_thrA_ale1__1,2.3396390063,0.096852566
fps__fps_thrA_ale1__2,2.2274860522,-0.12282859200000001
fps__fps_thrA_ale2__1,1.9137958780000002,0.24879748100000001
fps__fps_thrA_ale2__2,1.924972117,0.146825128
fps__fps_serB_ale1__1,0.43852046920000004,-0.06726604500000001
fps__fps_serB_ale1__2,-0.3652169739,-0.041127712000000004
fps__fps_serB_ale4__1,1.8754990789,0.610456188
fps__fps_serB_ale4__2,2.2043415391,0.811608671
fps__fps_ptsI_ale1__1,3.1774651513,-0.023547469
fps__fps_ptsI_ale1__2,3.0070437335,-0.09593111400000001
fps__fps_ptsI_ale3__1,2.1555556121,-0.16559618
fps__fps_ptsI_ale3__2,2.4935841832,-0.18244231700000002
pal__lyx_ale2_f6__1,2.2057427755,0.092271718
pal__lyx_ale2__1,-0.9565480404000001,-0.536874213
pal__lyx_ale2__2,-0.0958592377,-0.566064361
pal__lyx_ale4__1,-2.8692666833000002,-0.7461583860000001
pal__lyx_ale4__2,-2.776423722,-0.827474609
pal__5drib_ale10_f18__1,-0.5933528716,-0.67407249
pal__5drib_ale10_f18__2,-0.9873195096,-0.589528426
pal__5drib_ale10__1,-2.3196799976999998,-0.19997947200000002
pal__arab_ale14_f9__1,1.3497893193000001,-0.166858386
pal__arab_ale14_f9__2,-0.0711554984,-0.19634141900000002
pal__arab_ale14__1,-0.8691552637000001,-0.43819936600000003
pal__arab_ale14__2,-2.1953103682,-0.54166938
pal__arab_ale16__1,-2.475488566,-0.18384588400000001
pal__arab_ale16__2,-1.1626228771,-0.325220145
pal__tartr_ale26_f10__1,-0.5182674391000001,-0.24103643300000002
pal__tartr_ale26_f10__2,-0.84571182,-0.193428612
pal__tartr_ale26__1,-3.5570791233,-0.538649417
pal__tartr_ale26__2,-3.0275189437,-0.506789367
pal__tartr_ale28_f10__1,5.5504796114,-0.32121424400000004
pal__tartr_ale28_f10__2,4.2399643406,-0.06099349800000001
pal__tartr_ale28__1,-0.6793173773,-0.292492038
pal__tartr_ale28__2,-2.6624450988,0.054428699999999997
efeU__delmenFentC_citr__1,0.48115627390000004,-0.763337123
efeU__delmenFentC_citr__2,-0.2566610361,-0.808219444
efeU__delmenFentC__1,4.0421612018,0.527887693
efeU__delmenFentC__2,3.1948545527,0.49793466900000005
efeU__menFentC_ale39__1,-3.0627536483,-1.232843543
efeU__menFentC_ale39__2,-3.1181859852000002,-1.194793742
efeU__menFentC_ale29__1,-4.806603054,-1.3409067700000001
efeU__menFentC_ale29__2,-5.693272294,-1.055771843
efeU__menFentC_ale30__1,-1.3428709460000001,-0.9895347670000001
efeU__menFentC_ale30__2,-1.6351651033999999,-1.151977022
efeU__menFentCubiC_ale36__1,-0.8388187683,-0.12009741900000001
efeU__menFentCubiC_ale36__2,-0.7724869248,-0.254581
efeU__menFentCubiC_ale37__1,-0.3307674429,-0.009437744000000001
efeU__menFentCubiC_ale37__2,-0.3517863282,0.10428477500000001
efeU__menFentCubiC_ale38__1,1.1337679282,-0.143219272
efeU__menFentCubiC_ale38__2,0.8744415332000001,-0.20614269000000002
misc2__salc_glc__1,9.4604571563,0.834998525
misc2__salc_glc__2,7.0262650851,0.9987532790000001
misc2__dbcn_glc__1,-5.6449150832,-0.42671656
misc2__dbcn_glc__2,-3.3707080923,-0.14690128100000002
misc2__tyr_glc__1,-0.8173955109000001,0.128613279
misc2__tyr_glc__2,-0.5090623503,0.20059996
misc2__arg_cytd__1,-1.7332619687,-0.8909016270000001
misc2__arg_cytd__2,-2.48430332,-0.7883269430000001
misc2__delyheO_pyr__1,0.5227451065000001,-0.344443119
misc2__delyheO_pyr__2,0.6329859052,-0.19419228500000002
nquinone__delubiC__1,-2.5603802388,-0.283951371
nquinone__delubiC__2,-1.6047896639,0.019273794
nquinone__ubiC_ale1__1,-0.5907092761,-0.30915601
nquinone__ubiC_ale1__2,0.1902619684,-0.059761199
nquinone__ubiC_ale2__1,0.9741747046,-0.252498529
nquinone__ubiC_ale2__2,0.21480502680000002,-0.349100856
nquinone__ubiC_ale3__1,-0.9944234308000001,-0.492164588
nquinone__ubiC_ale3__2,-1.4870684943,-0.401756127
nquinone__ubiC_ale4__1,0.2191685945,-0.257046852
nquinone__ubiC_ale4__2,0.6755573963,-0.027831971
nquinone__delpdhR__1,-0.6357769732,-0.635968603
nquinone__delpdhR__2,0.1575299528,-0.578748174
quinone__glu_ale4__1,0.4884488489,-1.707927596
quinone__glu_ale4__2,-2.8153846906,-2.022824514
quinone__delmenF__1,1.7598234430000002,-0.40897997900000005
quinone__delmenF__2,2.0562455278,-0.20191709900000002
quinone__menF_ale5__1,-3.1539234126,-0.52964687
quinone__menF_ale5__2,-4.2270884231,-0.571225925
quinone__menF_ale6__1,-4.0162472446,-0.408727913
quinone__menF_ale6__2,-3.9490665731,-0.42098542600000005
quinone__menF_ale7__1,-4.9394190799,-0.741161297
quinone__menF_ale7__2,-3.5770103081,-0.591511525
quinone__menF_ale8__1,-3.1222218508,-0.725230573
quinone__menF_ale8__2,-2.3592303696,-0.285548533
quinone__delmenFubiC__1,-1.4921347837,-0.11742641200000001
quinone__delmenFubiC__2,-0.23024110860000002,0.06934718000000001
quinone__menFubiC_ale1__1,-5.0847179532,-0.6785799880000001
quinone__menFubiC_ale1__2,-5.5975237805999996,-0.700382241
quinone__menFubiC_ale2__1,-5.383917402,-0.6876413090000001
quinone__menFubiC_ale2__2,-4.9777001778,-0.7323525580000001
quinone__menFubiC_ale3__1,0.4387799606,-0.7671221930000001
quinone__menFubiC_ale3__2,0.2854271404,-0.679493346
quinone__menFubiC_ale4__1,-2.9810763273000003,-0.9269068920000001
quinone__menFubiC_ale4__2,-2.6935384548,-0.7451989440000001
oxyR__wt_glc__1,-1.9212104844,-0.828387979
oxyR__wt_glc__2,-0.7653642053,-0.867093796
oxyR__wt_h2o2__1,-0.1067287594,-0.8945812870000001
oxyR__wt_h2o2__2,1.6100269117,-0.731876633
oxyR__glu_ale4__1,2.2885204721,-2.121848589
oxyR__glu_ale4__2,0.6829187736,-2.339916732
oxyR__glu_ale4_h2o2__1,-0.6136771362,-1.928746233
oxyR__glu_ale4_h2o2__2,0.143147182,-1.765342664
oxyR__oxyR_ale17__1,-2.8128289667,-0.9200293660000001
oxyR__oxyR_ale17__2,-3.2077835137,-0.888978912
oxyR__oxyR_ale17_h2o2__1,-2.433189799,-1.028058558
oxyR__oxyR_ale17_h2o2__2,-0.1054513488,-0.649348837
oxyR__oxyR_ale18__1,-3.9540486843,-1.265917999
oxyR__oxyR_ale18__2,-2.1533805717,-0.995983575
oxyR__oxyR_ale18_h2o2__1,-4.4462488325,-0.525910749
oxyR__oxyR_ale18_h2o2__2,-4.7453653758000005,-0.6052058100000001
oxyR__oxyR_ale19__1,-4.1017271413,-1.226731847
oxyR__oxyR_ale19__2,-3.3194773531,-1.01519119
oxyR__oxyR_ale19_h2o2__1,-3.9695621147,-1.158468943
oxyR__oxyR_ale19_h2o2__2,-3.9987211479,-0.937595429
oxyR__oxyR_ale20__1,-5.3075988293,-0.775542492
oxyR__oxyR_ale20__2,-4.745461183,-0.80259865
oxyR__oxyR_ale20_h2o2__1,-3.9100357802000003,-0.690144596
oxyR__oxyR_ale20_h2o2__2,-4.4551590899,-0.7088161070000001
svns_pgi__BmePgi24_15__1,1.477374586,-0.632511463
svns_pgi__BmePgi24_15__2,1.6368163095,-0.612362884
svns_pgi__BmePgi24_26__1,0.7120365921,-0.9157465370000001
svns_pgi__BmePgi24_26__2,0.4853437686,-0.800710643
svns_pgi__BmePgi24_41__1,6.8330251074,-1.075675977
svns_pgi__BmePgi24_41__2,2.0870444498,-0.854567209
svns_pgi__BmePgi24_52__1,0.8235865723,-0.885271337
svns_pgi__BmePgi24_52__2,0.006543342200000001,-0.8219175040000001
svns_pgi__PaePgi2_34__1,0.6156809211000001,-0.46302064800000003
svns_pgi__PaePgi2_34__2,0.9133358840000001,-0.411059928
svns_pgi__PaePgi2_63__1,2.0993876055,-0.530442213
svns_pgi__PaePgi2_63__2,2.2904240355,-0.58777419
svns_pgi__PaePgi24_54__1,-1.2654605537,-0.42564305
svns_pgi__PaePgi24_54__2,-0.9262264523,-0.219633972
svns_pgi__PaePgi24_90__1,0.6227489576,-0.6358718240000001
svns_pgi__PaePgi24_90__2,0.6928597994,-0.37517516500000003
abx_media__m9_ctrl__1,13.2134022816,1.2943653099999999
abx_media__m9_ctrl__2,11.8309063975,1.573492312
abx_media__rpmi_ctrl__1,1.6456769189,-1.146896631
abx_media__rpmi_ctrl__2,0.41754132190000004,-0.5402920880000001
abx_media__camhb_ctrl__1,5.1691137108,-0.29998099100000003
abx_media__camhb_ctrl__2,3.7973691639,-0.866766825
abx_media__m9_mero__1,8.7334427802,0.982307146
abx_media__m9_mero__2,10.225938775,0.8954534
abx_media__rpmi_mero__1,0.4596504356,-0.5645179210000001
abx_media__rpmi_mero__2,-0.23802330370000002,-0.8730025180000001
abx_media__camhb_mero__1,3.2928644741,-0.377905604
abx_media__camhb_mero__2,2.166473457,-0.283537454
abx_media__m9_trisulf__1,4.3080113495,1.661937213
abx_media__m9_trisulf__2,2.4019948152,1.653460917
abx_media__rpmi_trisulf__1,9.9230877268,1.063763151
abx_media__rpmi_trisulf__2,10.4797447193,1.04950006
abx_media__camhb_trisulf__1,10.0036493458,1.583133738
abx_media__camhb_trisulf__2,9.5383700501,1.5183797650000002
abx_media__m9_cef__1,4.8425996038,1.082600429
abx_media__m9_cef__2,5.1157584511,0.9358683090000001
abx_media__rpmi_cef__1,2.7060130788,1.217382691
abx_media__rpmi_cef__2,3.643024988,1.4114407820000001
abx_media__camhb_cef__1,0.9567785696000001,0.45043525500000003
abx_media__camhb_cef__2,2.4619979788,0.564957559
abx_media__m9_cipro__1,4.0172578514,0.710930492
abx_media__m9_cipro__2,5.3712834173,0.9637501150000001
abx_media__rpmi_cipro__1,9.0665023068,0.777767435
abx_media__rpmi_cipro__2,10.2835133895,0.78600642
abx_media__camhb_cipro__1,3.4299347105,0.007400605
abx_media__camhb_cipro__2,4.1084648363,0.19565141600000002
hot_tale__42c_ale3_30c__1,-3.3606512931,-0.290594839
hot_tale__42c_ale3_30c__2,-4.9076018833,-0.32162311800000004
hot_tale__42c_ale3_37c__1,-3.6586797572,-0.280311629
hot_tale__42c_ale3_37c__2,-5.1972000151,-0.363299242
hot_tale__42c_ale3_44c__1,8.6068106321,-0.154198669
hot_tale__42c_ale3_44c__2,9.5603670506,-0.051312052000000004
hot_tale__hot_ale3_mid_30c__1,-1.6004829863999999,0.09976012000000001
hot_tale__hot_ale3_mid_30c__2,-2.0306160995,0.254285032
hot_tale__hot_ale3_mid_37c__1,-4.8546008275,-0.6017755720000001
hot_tale__hot_ale3_mid_37c__2,-4.0394743808,-0.566520533
hot_tale__hot_ale3_mid_44c__1,5.1372409227,-0.5932691910000001
hot_tale__hot_ale3_mid_44c__2,4.7874265556,-0.7945612470000001
hot_tale__hot_ale3_30c__1,-1.9035677978,-0.013266199000000001
hot_tale__hot_ale3_30c__2,-1.9204874751,-0.16961192600000002
hot_tale__hot_ale3_37c__1,-4.0856655406,-0.658190099
hot_tale__hot_ale3_37c__2,-2.8088803455,-0.6232127550000001
hot_tale__hot_ale3_44c__1,5.0079262861,-0.7632689140000001
hot_tale__hot_ale3_44c__2,6.641591319,-0.9947294170000001
hot_tale__hot_ale4_30c__1,-6.0674855465,-0.46090035900000004
hot_tale__hot_ale4_30c__2,-6.065522167,-0.603166132
hot_tale__hot_ale4_37c__1,-4.910582864,-0.47608058400000003
hot_tale__hot_ale4_37c__2,-4.6655371271,-0.769484975
hot_tale__hot_ale4_44c__1,5.439388244,-0.43066339000000003
hot_tale__hot_ale4_44c__2,4.6551070827,-0.423553734
hot_tale__hot_ale8_30c__1,-4.8412807798,-0.228322502
hot_tale__hot_ale8_30c__2,-4.8245161065,-0.03242279
hot_tale__hot_ale8_37c__1,-6.2169639114,-0.555120512
hot_tale__hot_ale8_37c__2,-5.6101511304,-0.5554321600000001
hot_tale__hot_ale8_44c__1,0.6148274057,-0.312866892
hot_tale__hot_ale8_44c__2,-0.029151909400000002,-0.35887055900000003
hot_tale__hot_ale9_mid_30c__1,-2.7742462186,0.007018578
hot_tale__hot_ale9_mid_30c__2,-2.4832933881,-0.131382264
hot_tale__hot_ale9_30c__1,-2.6955567902,-0.286061766
hot_tale__hot_ale9_30c__2,-2.4625092479,-0.21699642700000002
hot_tale__hot_ale9_mid_37c__1,-3.2297805915,-0.510096176
hot_tale__hot_ale9_mid_37c__2,-2.4585328919,-0.319297551
hot_tale__hot_ale9_37c__1,-3.1495187682,-0.361068883
hot_tale__hot_ale9_37c__2,-2.1322871663,-0.387639661
hot_tale__hot_ale9_mid_44c__1,6.769944528,0.30243320300000004
hot_tale__hot_ale9_mid_44c__2,8.2562226823,-0.12127201300000001
hot_tale__hot_ale9_44c__1,5.9710789985,-0.350939675
hot_tale__hot_ale9_44c__2,5.4477218547,-0.415394186
hot_tale__hot_ale10_30c__1,-2.7835424163,0.04081696
hot_tale__hot_ale10_30c__2,-2.2781297216,-0.057561766
hot_tale__hot_ale10_37c__1,-3.6330721882,-0.5021082410000001
hot_tale__hot_ale10_37c__2,-4.2989561322,-0.427541718
hot_tale__hot_ale10_44c__1,4.8193574249,-0.070048279
hot_tale__hot_ale10_44c__2,5.654297828,-0.10404824
hot_tale__hot_ale16_30c__1,-3.6258967737,-0.421975168
hot_tale__hot_ale16_30c__2,-4.0722508678,-0.295352942
hot_tale__hot_ale16_37c__1,-4.6223035813,-0.540265318
hot_tale__hot_ale16_37c__2,-4.927540406,-0.48762129400000004
hot_tale__hot_ale16_44c__1,3.8637845244,-0.651540757
hot_tale__hot_ale16_44c__2,4.4084421126,-0.510700934
pdhr_ale__pdhR-13_51__1,0.8217944968,-0.542155825
pdhr_ale__pdhR-13_51__2,-1.6805233381,-0.735676848
pdhr_ale__pdhR-14_46__1,5.878064256,-0.6562737350000001
pdhr_ale__pdhR-14_46__2,4.0966025365,-0.6884027220000001
pdhr_ale__pdhR-15_51__1,-1.0429767454,-0.49577006900000004
pdhr_ale__pdhR-15_51__2,-1.1234610783,-0.57624282
pdhr_ale__pdhR-16_49__1,1.5280735385000002,-0.945184686
pdhr_ale__pdhR-16_49__2,3.481556647,-0.55122895
tcs__del_atoC_LiAcet__1,-6.4428147621,-0.778545546
tcs__del_atoC_LiAcet__2,-6.865905998,-0.798884624
tcs__del_atoC_LiCl__1,-4.4947198918,-0.7467885080000001
tcs__del_atoC_LiCl__2,-4.3501832946,-0.656199086
tcs__del_atoC_m9__1,-3.4843048071,-0.767603794
tcs__del_atoC_m9__2,-4.2995586384,-0.6608969990000001
tcs__del_baeR_etoh__1,-3.1526534625,-1.257353685
tcs__del_baeR_etoh__2,-4.3324746622,-1.065754489
tcs__del_baeR_lb__1,3.008273404,-1.085991803
tcs__del_baeR_lb__2,2.4168301188,-1.199842617
tcs__del_btsR_01xlb__1,12.7976193722,-0.48287023300000004
tcs__del_btsR_01xlb__2,13.1877780068,-0.46462787600000005
tcs__del_btsR_lb__1,-6.0078739851,-1.221307718
tcs__del_btsR_lb__2,-6.2951529338,-1.115316959
