,A,YhaJ
abx_mega__amyc-d_dmso__6,0.6571591067,0.7363072643
abx_mega__dox_dmso__2,0.5295888061,-0.1683826098
abx_mega__teix_dmso__6,-0.3995678764,-0.4906863668
abx_mega__naoh-6__2,0.1929933449,-0.665597063
abx_mega__inh_h2o__2,3.0435077214,0.6808674358
abx_mega__chl_h2o__3,-4.1596207734,-1.3463976133
abx_mega__nal_naoh__6,1.0891004122,-0.7028065474
abx_mega__chl_dmso__2,2.5588375679,0.1868893238
abx_mega__rach_dmso__4,0.6904756022,-0.4524284595
abx_mega__teix_dmso__7,-0.25163464010000003,-0.3472078589
abx_mega__ceru_ethanol__1,0.3158105399,0.2094732332
abx_mega__dmso-7__1,0.5445394616,-0.1027430359
abx_mega__naoh-6__3,0.18988123310000002,-0.4558617807
abx_mega__phos_ethanol__2,-0.8645040275,0.0768131263
abx_mega__metro_dmso__3,5.9115993416,-0.4551724324
abx_mega__van_dmso__4,0.9293170733,-0.4340514285
abx_mega__h2o-10__1,-0.6261225193000001,-0.40963587840000004
abx_mega__h2o-10__2,-0.9794055491,-0.4910289981
abx_mega__dmso-6__3,1.8219302604,0.053284635600000005
abx_mega__mem_dmso__1,-0.47380572790000003,-0.5342529422
abx_mega__ethanol-8__2,-0.1300070635,-0.0887660307
abx_mega__chl_h2o__4,-3.8598995489,-1.2288365851
abx_mega__van_h2o__1,2.4697357650000002,0.5279058329
abx_mega__dcs_h2o__1,-0.7153422474000001,0.0057616047
abx_mega__rif_dmso__5,0.6777067631,-0.5252333234000001
abx_mega__dox_dmso__3,2.0342394252,0.40883872330000004
abx_mega__mem_dmso__2,0.9760081243000001,0.2728873797
abx_mega__lvx_dmso__2,1.3088406190000001,0.0192695165
abx_mega__tet_h2o__2,-2.7992201043,0.6126785761
abx_mega__phos_h2o__5,-0.3275522842,0.0005896647000000001
abx_mega__monac_dmso__1,2.8864537402,-1.0348871598
abx_mega__str_h2o__3,-1.6898346535000002,-0.8817449417000001
abx_mega__zeocin_h2o__2,4.0926941628,0.490322089
abx_mega__amyc-d_dmso__7,-0.08042393240000001,0.45833871200000004
abx_mega__fidax_dmso__1,1.2738330919,-0.6506378816
abx_mega__h2o-1a__1,0.1639968467,-0.024634172000000003
abx_mega__dox_dmso__4,1.3164708172,-0.5849949118000001
abx_mega__lzd_dmso__2,0.7416011733,0.061118013500000005
abx_mega__tet_h2o__3,0.2343876082,-0.39498248810000003
abx_mega__dmso-1__2,0.5471976877,0.3685252847
abx_mega__sxt_dmso__2,-0.0956867391,0.2876507922
abx_mega__tric_ethanol__2,0.48432449650000003,-0.6245015653
abx_mega__teix_dmso__8,2.0572949239,-0.7029200333000001
abx_mega__ramo_h2o__2,0.30409019860000003,0.6031865283
abx_mega__inh_h2o__3,-0.9767800753,-0.47579401990000003
abx_mega__cst_h2o__3,3.1347194634,0.3500630415
abx_mega__dmso-9__1,1.0281376895,0.3406018648
abx_mega__ethanol-8__3,0.0209868747,-0.7091147689
abx_mega__monac_dmso__2,2.5940841762,-1.1178506876
abx_mega__dmso-9__2,1.3989376097,0.2380219117
abx_mega__metro_dmso__4,4.2942702206,0.1181451262
abx_mega__ctx_h2o__4,0.0291461597,-0.4629004349
abx_mega__zeocin_h2o__3,4.6111722979,1.3580408112
abx_mega__bacit_h2o__5,2.1698160347,0.6922530707
abx_mega__reta_dmso__1,-0.4934371623,-0.3266917663
abx_mega__ery_h2o__4,-2.5271347695,-0.1511550106
abx_mega__ceru_ethanol__2,1.1919257741,0.8129626562000001
abx_mega__fidax_dmso__2,0.5477590708,-0.1906911494
abx_mega__novo_dmso__1,-1.4084520172000001,-2.2301966322
abx_mega__naoh-6__4,-0.4121592005,-0.7722288059
abx_mega__amyc-d_dmso__8,0.4257090893,-0.2203468597
abx_mega__chl_dmso__3,2.2406491298,0.1788994256
abx_mega__nal_naoh__7,-0.2187619335,0.2387654476
abx_mega__teix_dmso__9,-0.2532892056,-1.1010557348
abx_mega__ery_dmso__3,-0.3821943641,-0.4261393759
abx_mega__tmp_dmso__3,2.0594456437,-1.0318368221
abx_mega__sxt_dmso__3,-0.9166861266,-0.5532359479
abx_mega__polmyx_h2o__4,8.057172489,0.404555602
abx_mega__mem_dmso__3,1.5976692205,0.4237468212
abx_mega__nal_naoh__8,5.1239206128,-0.7567510865
abx_mega__pen_h2o__3,0.7716111628000001,0.3576502365
abx_mega__van_dmso__5,2.3201427364000002,-0.4250048783
abx_mega__zeocin_h2o__4,3.1532306391000002,0.3924830025
abx_mega__h2o-6__2,0.3831322927,-0.8622652758
abx_mega__tet_h2o__4,0.16554786500000002,-0.3609891175
abx_mega__nor_naoh__4,0.8934066725,0.16417920730000002
abx_mega__cip_naoh__4,0.644654952,-0.6372127190000001
abx_mega__tmp_dmso__4,2.4016362582,-1.0057795649
abx_mega__reta_dmso__2,-2.1934980063,-0.43230934790000003
abx_mega__mem_dmso__4,0.9530737618,-0.5705299293
abx_mega__dox_dmso__5,1.732421778,-0.4059018131
abx_mega__tmp_dmso__5,0.9298910813000001,0.6609530292
abx_mega__flavo_dmso__3,0.8224172011,-0.40672655500000005
abx_mega__tmp_dmso__6,1.0593889696,0.34474298470000003
abx_mega__ceru_ethanol__3,2.2481585248,0.38298714
abx_mega__teix_dmso__10,2.0285927337,-0.5637008008000001
abx_mega__novo_h2o__7,-2.8048806349,-2.4897059632
abx_mega__fidax_dmso__3,1.2614995327,-0.0147705432
abx_mega__h2o-1a__2,-0.6216412615,-0.0548190802
abx_mega__dcs_h2o__2,0.3924471212,0.42270025320000004
abx_mega__cst_h2o__4,5.0374978698,-0.3981427521
abx_mega__van_h2o__2,0.1303723497,0.5150477725
abx_mega__pen_h2o__4,-0.2630513532,0.7678958180000001
abx_mega__h2o-8b__2,0.0455717618,-1.3669333871
abx_mega__reta_dmso__3,-2.1074026269,-1.3232891195
abx_mega__dmso-7__2,0.7972678814,-0.2182435519
abx_mega__rfp_h2o__2,-0.18141310400000002,-0.2545073241
abx_mega__rif_dmso__6,1.0498824673,0.0661344407
abx_mega__sxt_dmso__4,-1.0044801662,-0.5914999773
abx_mega__cip_naoh__5,0.6599547493,-0.534238521
abx_mega__dmso-9__3,-0.2634496669,0.3334787057
abx_mega__mem_dmso__5,0.7594137646,-0.37048652060000004
abx_mega__tric_h2o__2,-0.8780140163,0.7452322827000001
abx_mega__phos_h2o__6,0.2900880974,-0.6235315464
abx_mega__h2o-7__2,-0.3917846164,-0.3905736849
abx_mega__h2o-10__3,-0.8673781913,-0.6681997967000001
abx_mega__h2o-8a__2,2.3561527578,0.08953896530000001
abx_mega__thio_dmso__3,-1.2356253634,-1.4243637467
abx_mega__lzd_dmso__3,-0.40553442040000004,-0.9304937844000001
abx_mega__monac_dmso__3,3.5462920117,-0.1133191753
abx_mega__polmyx_h2o__5,-0.663303403,0.7369801494
abx_mega__naoh-6__5,-0.0581592181,-0.0742623948
abx_mega__teix_dmso__11,0.15199914450000002,-0.48719245510000003
abx_mega__van_h2o__3,0.0242605818,0.5138265961
abx_mega__teix_dmso__12,0.6248011047,0.5023145096
abx_mega__dox_dmso__6,2.7870801855,-0.5903094869000001
abx_mega__teix_dmso__13,1.8514631364,-0.0013263066
abx_mega__h2o-7__3,-1.4702097115,-0.4837126023
abx_mega__str_h2o__4,-1.5983685245,-0.3451700867
abx_mega__tec_h2o__3,5.0668398183,1.638533029
abx_mega__phos_h2o__7,0.2710771102,-0.6116104265
abx_mega__chl_h2o__5,-2.2875368975,-0.7754579835000001
abx_mega__polmyx_h2o__6,4.782518535,0.5100317243
abx_mega__teix_dmso__14,0.2974035599,-0.2699143895
abx_mega__rif_dmso__7,0.5213673602000001,-0.5068989175
abx_mega__ramo_h2o__3,1.9328965106,1.1794430927
abx_mega__fidax_dmso__4,0.6936184372,0.3618199456
abx_mega__teix_dmso__15,0.9468755601000001,-0.0684531669
abx_mega__thio_dmso__4,-1.5092237485000002,-1.3790632737
abx_mega__rif_dmso__8,0.800715645,0.2719678787
abx_mega__reta_dmso__4,-1.9380875481,-0.8341964223
abx_mega__inh_h2o__4,2.7256408201999998,0.7941933379
abx_mega__novo_dmso__2,-1.9825479052000001,-2.5055536539
abx_mega__dcs_h2o__3,0.2921415834,-0.4979678971
abx_mega__h2o-8b__3,-0.2449935925,0.4217734748
abx_mega__valin_dmso__3,3.7578142144,0.5907152399
abx_mega__h2o-2__1,0.1751745857,-0.5840378819
abx_mega__cro_h2o__4,0.8507029795000001,-0.1589213599
abx_mega__dcs_h2o__4,-1.1905170369,-0.3824110423
abx_mega__str_h2o__5,-1.4257249267,-0.6273069622
abx_mega__h2o-8a__3,1.5658030608,-0.23476864690000002
abx_mega__dox_dmso__7,1.5978051092,-0.7665216138000001
abx_mega__doxo_dmso__2,-0.9118935329000001,-2.1522833983
abx_mega__teix_dmso__16,0.9131268552,0.16317328820000002
abx_mega__rfp_h2o__3,-0.0203097461,-0.6452614233
abx_mega__ethanol-10__3,-1.3852389256,-0.8239879292000001
abx_mega__naoh-2__2,3.1484042163,0.5642107705
abx_mega__van_h2o__4,3.4288492129,0.3946872763
abx_mega__sacet_h2o__2,0.2105173682,-0.1831950765
abx_mega__monac_dmso__4,2.9713381262,-0.5930226877
abx_mega__h2o-2__2,1.8428475755,0.8886088689
abx_mega__zeocin_h2o__5,-1.6007845348,-0.4745751231
abx_mega__nor_naoh__5,1.0985781214,0.3677108555
abx_mega__naoh-9__2,-0.0181587201,0.5250913355
abx_mega__dmso-7__3,1.1599399973,-0.27462456350000003
abx_mega__van_h2o__5,3.0787691166,0.28388032490000004
abx_mega__flavo_dmso__4,0.7580386398000001,-0.7084976012
abx_mega__novo_dmso__3,-1.9018548392999999,-2.6678211292
abx_mega__polmyx_h2o__7,0.4148245398,0.1221776532
abx_mega__teix_dmso__17,0.0855655845,-0.4389457459
abx_mega__doxo_dmso__3,-0.915848893,-2.2206092407
abx_mega__mem_dmso__6,0.9131584616,0.6835794451
abx_mega__h2o-1a__3,0.4576444148,0.0794532523
abx_mega__bacit_dmso__3,1.4517551238,0.6761978579
abx_mega__dox_dmso__8,1.8167703582999999,0.7703975416000001
abx_mega__teix_dmso__18,1.0203955558,-0.4445618163
abx_mega__h2o-6__3,-0.028725275300000002,0.1403266928
abx_mega__pen_h2o__5,1.6464171678000001,0.2163641105
abx_mega__lzd_dmso__4,0.1122310806,-0.6264503805
abx_mega__daro__1,-0.3096221685,0.4414981153
abx_mega__solv__1,-0.8004024144,-0.1069375409
abx_mega__daro__2,-0.2056343226,0.8014726433
abx_mega__daro__3,-0.0365871523,0.9115711240000001
abx_mega__solv__2,-1.3608054024,-0.5444282886
abx_mega__solv__3,-0.2119727637,0.9279165368000001
abx_mega__dmso-4__1,1.8577157896,0.2733135496
abx_mega__kirr_dmso__1,-1.8087830375,-0.7967946661
abx_mega__kirr_dmso__2,-2.0172253604,-0.6655152424
abx_mega__kirr_dmso__3,-1.8594128518000002,-0.7136728124
abx_mega__dmso-4__2,2.0138644699,0.7738539398000001
abx_mega__dmso-4__3,1.457178289,0.2682550221
ackA_pta__dnaA46_del_ackA__1,2.9853422700000003,0.11992983
ackA_pta__dnaA46_del_ackA__2,3.6184689526,0.8519077282
ackA_pta__dnaA46_del_ackA__3,3.1402494242,0.6874027599
ackA_pta__dnaA46_del_pta__1,3.9507130993,0.5618854723
ackA_pta__dnaA46_del_pta__2,1.6875992119,-0.5235152357
ackA_pta__dnaA46_del_pta__3,2.8111922156,0.611089838
ackA_pta__dnaA46__1,0.664440276,0.1533894805
ackA_pta__dnaA46__2,1.11433248,0.2209105523
ackA_pta__dnaA46__3,-0.1652755762,0.0110740829
ackA_pta__del_ackA__1,2.0502536417,0.9404910102
ackA_pta__del_ackA__2,3.201489484,0.7077711457
ackA_pta__del_ackA__3,1.8184150009,0.0847275069
ackA_pta__del_pta__1,0.32487142700000005,-0.4862063205
ackA_pta__del_pta__2,0.6868723886,-0.7675989024000001
ackA_pta__del_pta__3,1.5048018833999999,-0.135697528
ackA_pta__wt__1,0.7607858408,0.4787112818
ackA_pta__wt__2,-0.1796289881,-0.35191967150000003
ackA_pta__wt__3,-0.5811568526,-0.1267916103
anticancer__5fu__1,-0.1346064503,-1.0117699454
anticancer__5fu__2,0.19486833950000002,-1.1782433918
anticancer__cap__1,0.1472395561,-0.38822544680000004
anticancer__cap__2,-0.5132021999,-0.14010150030000001
anticancer__cap__3,-0.5252493134,-0.0681296306
anticancer__wt__1,-0.0085693837,-0.3183246502
anticancer__wt__2,0.0633828248,0.0491666616
anticancer__wt__3,-0.0548134412,0.2691579886
anticancer__5fu__3,0.0929998502,-1.5965161499
bio_pln__aero_pln__1,-0.0715149115,0.0487904454
bio_pln__aero_pln__2,0.0715149115,-0.0487904454
bio_pln__anaero_pln__1,-0.3175770328,-0.5416641573000001
bio_pln__anaero_pln__2,-0.9240635617,-0.5547206442
biocide__bzcl_12h__1,-1.4977295305,-0.32908382550000004
biocide__bzcl_12h__2,0.1631190918,-0.0692996687
biocide__bzcl_12h__3,-0.3290713213,-0.07572746600000001
biocide__etoh_12h__1,1.2194214197,-0.11804444880000001
biocide__etoh_12h__2,1.1402518109,-0.11139870980000001
biocide__etoh_12h__3,1.0449775807,-0.10769978770000001
biocide__gluald_12h__1,-0.0662428276,-0.1788217031
biocide__gluald_12h__2,-0.3171908073,-0.1705195155
biocide__gluald_12h__3,0.043580844800000004,-0.0090799366
biocide__h2o2_12h__1,0.2051267121,-0.2161782925
biocide__h2o2_12h__2,0.49034978640000004,-0.3023075291
biocide__h2o2_12h__3,0.48894937180000003,-0.23646341640000001
biocide__2ppoh_12h__1,1.0917742109,-0.1085136403
biocide__2ppoh_12h__2,0.761189599,-0.009859670800000001
biocide__2ppoh_12h__3,0.6616721714,-0.0900290145
biocide__paa_12h__1,0.20858099900000002,-0.5730957955
biocide__paa_12h__2,0.28853279330000003,-0.4195064154
biocide__paa_12h__3,-0.2324004215,-0.6606878872
biocide__phe_12h__1,0.4853437426,-0.3297128154
biocide__phe_12h__2,0.1665323161,-0.22028802020000002
biocide__phe_12h__3,0.33846966300000003,-0.2731129324
biocide__pvp-i_12h__1,-0.18572810780000001,-0.46002445420000004
biocide__pvp-i_12h__2,-1.1912804583,-0.21101046040000002
biocide__pvp-i_12h__3,0.1199548232,-0.6835633398000001
biocide__bleach_12h__1,0.23694095510000002,-0.1573979519
biocide__bleach_12h__2,0.1764729363,-0.3418794477
biocide__bleach_12h__3,-0.1868369536,-0.3713543636
biocide__chx_12h__1,0.7273235804,-0.4995302086
biocide__chx_12h__2,0.47273790800000004,-0.2568630328
biocide__chx_12h__3,0.059802399400000004,-0.3267290251
biocide__bzcl_30m__1,-1.055697812,0.1098246997
biocide__bzcl_30m__2,-0.3755302627,0.3172557119
biocide__bzcl_30m__3,-0.7607519365000001,0.2549344393
biocide__phe_30m__1,-0.8935201229,-0.4822711032
biocide__phe_30m__2,-0.5898648518,-0.0252742244
biocide__phe_30m__3,-1.032492947,-0.3727120588
biocide__pvp-i_30m__1,0.003933532,0.07047269540000001
biocide__pvp-i_30m__2,0.34131780840000003,-0.1125011222
biocide__pvp-i_30m__3,0.08689075460000001,-0.0179276041
biocide__ctrl_12h__1,-0.2524726479,-0.47921110250000004
biocide__ctrl_12h__2,0.3128904662,-0.5557038344
biocide__ctrl_12h__3,-0.0063064964,-0.12263846440000001
biocide__ctrl_30m__1,-0.4366573362,0.1427641994
biocide__ctrl_30m__2,0.3605168536,-0.17584000930000002
biocide__ctrl_30m__3,0.0761404826,0.0330758099
clpP__wt__1,-0.0413942703,0.1101250339
clpP__wt_DPTA__1,8.7325439108,-0.6747493535
clpP__wt__2,0.3973533039,-0.2828522276
clpP__wt_DPTA__2,9.4556135428,0.3449553494
clpP__wt__3,-0.35595903360000003,0.1727271937
clpP__wt_DPTA__3,7.0163393325,-1.295433003
clpP__delclpP__1,-0.061992402200000005,-0.584805801
clpP__delclpP_DPTA__1,12.4459064309,-1.6930440909
clpP__delclpP__2,0.7976798878,-0.37960403270000004
clpP__delclpP_DPTA__2,10.5651936548,-0.6398473128000001
clpP__delclpP__3,0.5109856158,-0.1961899668
clpP__delclpP_DPTA__3,8.1931952065,-1.8119855947999999
colombos2__delydcR__1,-1.7178464058,-0.0503680632
colombos2__delydcR__2,-1.1740157630999999,0.0966475219
colombos2__delydcR__3,-0.7835737827,0.2965556089
colombos2__delyjiR__1,0.3775740449,0.1824466942
colombos2__delyjiR__2,0.4962028194,0.4431453312
colombos2__delyjiR__3,-0.0848124814,0.3706598713
colombos2__wt__1,0.1630276433,-0.2529961056
colombos2__wt__2,0.0331089597,-0.0787223336
colombos2__wt__3,-0.1961366029,0.3317184392
crp_k100__ar1_ar2__1,-1.0271671329,-0.8186979830000001
crp_k100__ar1_ar2__2,-1.6957328283000002,-0.4387894509
crp_k100__ar1_ar2__3,-0.9055390514,-0.4009829035
crp_k100__wt__1,0.19054791840000002,-0.1690712442
crp_k100__wt__2,-0.3461955208,-0.10298020470000001
crp_k100__wt__3,0.1556476024,0.2720514489
crp_k100__K100Q__1,-1.4904821177,-0.9475085338
crp_k100__K100Q__2,-2.8413011054,-0.48533147540000005
crp_k100__K100R__1,1.1350344559,-0.4633315045
crp_k100__K100R__2,0.31906979950000003,-0.6033168372000001
crp_k100__K100R__3,1.2272805597,-1.0165674407
csrA__wt_t00__1,-0.32236023820000004,-0.4020185509
csrA__wt_t02_30__1,2.0543263759,-2.0968970424
csrA__wt_t05__1,3.8933855266,-3.2715968857
csrA__wt_t10__1,2.9259468003,-3.5586442292
csrA__wt_t15__1,1.8357643126,-3.4122089671999998
csrA__delcsrA_t00__1,0.31753266880000003,-0.8262434126
csrA__delcsrA_t02_30__1,2.7045706974,-2.182931554
csrA__delcsrA_t05__1,3.1370623131,-2.0693110515
csrA__delcsrA_t10__1,3.0492267541,-3.4092069219
csrA__delcsrA_t15__1,2.8343068643000002,-2.8011581864
csrA__wt_t00__2,0.32236023820000004,0.4020185509
csrA__wt_t02_30__2,2.7170222558,-0.2823523851
csrA__wt_t05__2,3.9287437262,-2.4712054841
csrA__wt_t10__2,3.1019654489,-3.3312726825
csrA__wt_t15__2,1.7634340431000002,-2.5014744385
csrA__delcsrA_t00__2,0.0579838358,-1.2366383182
csrA__delcsrA_t02_30__2,2.0769861297,-0.4793130219
csrA__delcsrA_t05__2,3.7552823158,-3.406120694
csrA__delcsrA_t10__2,2.8911212587,-2.339982976
csrA__delcsrA_t15__2,2.8062251406,-1.9755693339
cstr_pfr__str_0005m__1,0.18716468590000002,-0.2164247876
cstr_pfr__str_0010m__1,-0.3007279348,-0.3390423581
cstr_pfr__str_0025m__1,-0.7279959945000001,-0.1351887968
cstr_pfr__str_0045m__1,-0.4755706558,-0.07191150040000001
cstr_pfr__str_0075m__1,-0.34704711200000005,0.0419245875
cstr_pfr__str_0120m__1,-0.24765168380000002,0.0972502392
cstr_pfr__str_0210m__1,-0.1257430515,0.1505592975
cstr_pfr__str_0330m__1,-0.2716983682,0.1590326657
cstr_pfr__str_1500m__1,-0.2138482052,0.06981518290000001
