sample,BSU_misc_RNA_56
GM-0.2_2,12.9742
GM+5_2,12.6982
GM+10_2,12.9341
GM+15_2,12.8883
GM+25_2,13.4347
GM+45_2,12.6123
GM+60_2,12.6133
GM+90_2,13.4969
GM+150_2,11.5344
GM-0.1_3,13.222
GM-0.2_3,13.3494
GM+5_3,12.9235
GM+10_3,12.0915
GM+15_3,12.9849
GM+25_3,13.1174
GM+45_3,12.7951
GM+60_3,12.4909
GM+90_3,12.7872
GM+120_3,12.855
GM+150_3,12.7336
MG-0.1_1,12.3918
MG+5_1,12.5382
MG+10_1,13.0071
MG+15_1,12.1823
MG+25_1,12.9678
MG+45_1,12.609000000000002
MG+120_1,12.0966
MG+150_1,12.494000000000002
MG-0.1_2,11.5979
MG-0.2_2,12.0542
MG+5_2,12.1826
MG+10_2,12.3537
MG+15_2,12.7583
MG+25_2,12.1568
MG+45_2,11.7593
MG+60_2,12.5251
MG+90_2,11.9509
MG+120_2,12.6729
MG-0.1_3,12.7273
MG-0.2_3,12.4592
MG+5_3,11.9715
MG+10_3,11.8034
MG+15_3,12.3987
MG+25_3,12.3095
MG+45_3,12.7829
MG+60_3,12.166
MG+90_3,12.6443
MG+120_3,12.1081
MG+150_3,12.7545
