,A,DsdC
abx_mega__phos_h2o__1,0.09418852300000001,-0.1418764992
abx_mega__dmso-5__2,0.6521620512,-0.1019294781
abx_mega__polmyx_h2o__1,-1.2252830516,-1.158988585
abx_mega__h2o-8b__1,1.9200327688,0.17869479530000001
abx_mega__h2o-6__1,-4.563784222,-2.170919402
abx_mega__thio_dmso__1,-7.5857350545,-2.7798249727
abx_mega__phos_h2o__2,-0.22077762780000001,-0.9495568693
abx_mega__ctx_h2o__2,-3.4704698029,-1.6475548822000001
abx_mega__lzd_dmso__1,-8.2835353813,-2.5787589787
abx_mega__naoh-9__1,0.88407894,-0.13768913300000002
abx_mega__dox_dmso__1,-5.8108885901,-2.1540450912
abx_mega__phos_ethanol__1,-5.6903017212,-2.996620442
abx_mega__teix_dmso__1,-4.6830078643,-2.2618594852
abx_mega__dmso-10__1,-5.9163026946,-2.5302849122
abx_mega__van_dmso__1,-7.3765959538,-2.3324691521
abx_mega__ramo_h2o__1,-0.472854302,-0.7165202856
abx_mega__tec_h2o__2,-3.3925649902,-2.3175175342
abx_mega__h2o-7__1,-0.6463247405,-1.0677402109
abx_mega__cro_h2o__1,-1.2278901072,-0.690707171
abx_mega__tric_ethanol__1,-6.6037058403,-1.6198966880999999
abx_mega__nor_naoh__1,-2.2194505612,-1.3071433988
abx_mega__teix_dmso__2,0.3747988004,0.31837830770000003
abx_mega__nal_naoh__3,-5.63640728,-2.5485003523
abx_mega__novo_h2o__2,-10.3018877548,-3.5288539959
abx_mega__dmso-10__2,-4.1974874716,-2.9193322608
abx_mega__phos_h2o__3,-4.9838386182,-2.8899940773
abx_mega__dmso-6__2,-5.6774592891,-2.3366392044
abx_mega__rfp_ethanol__1,-7.635056173,-3.2677722251
abx_mega__dmso-5__3,0.0228719102,-0.11260244300000001
abx_mega__amyc-d_dmso__1,-6.5551514729,-2.3280624996
abx_mega__sxt_dmso__1,-3.1274638058,-1.3768691615
abx_mega__dmso-1__1,-1.230570868,-1.6102414305
abx_mega__pen_h2o__1,1.3465534574,0.610482865
abx_mega__dmso-10__3,-4.0334622382,-3.0880256369
abx_mega__nal_naoh__4,0.6130357043,-0.3498039627
abx_mega__cip_naoh__1,1.0340783018,0.0184980971
abx_mega__pen_h2o__2,-0.7545688768000001,0.2079733651
abx_mega__ery_dmso__2,-9.4794622652,-1.8042627111
abx_mega__dmso-2__2,-0.5742260084,-1.5118001641
abx_mega__van_dmso__2,-8.4359851146,-3.0750560507
abx_mega__h2o-1b__1,-1.4517200212,-1.7467696612
abx_mega__ery_h2o__1,-8.3135474928,-3.3957642311000003
abx_mega__bacit_h2o__1,-3.397707777,-2.4779759544
abx_mega__chl_h2o__2,-10.1558722393,-3.6337880896
abx_mega__str_h2o__2,-1.3610530077,-0.8065184982
abx_mega__rfp_ethanol__2,-3.6888025837000002,-0.8330312751000001
abx_mega__polmyx_h2o__2,0.7059332220000001,0.1634760301
abx_mega__tric_h2o__1,-0.8365373821000001,0.2628184617
abx_mega__cip_naoh__2,-2.5569751757,-1.1416491585
abx_mega__novo_h2o__3,-10.063275054,-3.3491187952
abx_mega__bacit_dmso__1,-4.3835862036,-0.4783006567
abx_mega__gen_h2o__1,-11.2741314843,-2.3993213214
abx_mega__bacit_dmso__2,-3.938859546,-0.4150882529
abx_mega__chl_dmso__1,-9.7508597734,-2.6831814572
abx_mega__bacit_h2o__2,-3.7003961496,-2.2071199933
abx_mega__lvx_dmso__1,-1.5828130045000002,-1.0862366947
abx_mega__bacit_h2o__3,-2.9044896229,-2.1122668327
abx_mega__nor_naoh__2,-3.2972715438,-1.5573981868
abx_mega__amyc-d_dmso__2,-4.283898361,-0.3051670302
abx_mega__polmyx_h2o__3,-0.9191019986000001,-0.1614611212
abx_mega__naoh-6__1,-5.7062357850000005,-2.6630594979
abx_mega__cst_h2o__2,-1.9573974744,0.2446859783
abx_mega__h2o-1b__2,-2.9484146709,-2.7693179034
abx_mega__rfp_h2o__1,-6.3231464198000005,-1.2811277727000001
abx_mega__tet_h2o__1,-6.5843900295,-1.9201656559
abx_mega__flavo_dmso__1,-2.4987097785,-0.8636632124
abx_mega__zeocin_h2o__1,-2.372978142,-2.2007623507
abx_mega__nor_naoh__3,-1.3090339933,-0.8090886779
abx_mega__rach_dmso__2,-4.4240624518,-2.7097703562
abx_mega__thio_dmso__2,-11.8884051755,-3.0990511877
abx_mega__amyc-d_dmso__3,-9.0170437829,-1.7387158063
abx_mega__rif_dmso__2,-3.3059085003,0.38328888910000003
abx_mega__amyc-d_dmso__4,-1.8936941332,-0.5470996447
abx_mega__teix_dmso__3,-2.6683359576,-1.9791236176
abx_mega__valin_dmso__1,-2.5492890034,0.1903503974
abx_mega__teix_dmso__4,-0.8738751297,-1.3053576937
abx_mega__ethanol-10__1,-1.7992687761,-0.5895523448000001
abx_mega__inh_h2o__1,-3.4608391626,-2.3512239926
abx_mega__rif_dmso__3,-4.1321563360999995,-1.1723241144
abx_mega__van_dmso__3,-4.396231214,-1.8906985620999999
abx_mega__doxo_dmso__1,-2.2698283366,-0.9922677915
abx_mega__tmp_dmso__1,-1.5725240066000001,0.249806519
abx_mega__ethanol-10__2,1.4064434916000002,0.10792995870000001
abx_mega__tmp_dmso__2,-0.9223610422,0.38902513310000003
abx_mega__amyc-d_dmso__5,-9.3128131451,-1.2749140044
abx_mega__novo_h2o__4,-10.546939246400001,-5.447729695
abx_mega__cro_h2o__2,-2.9142659276,-1.2758144276
abx_mega__cro_h2o__3,-3.8196628374,-1.7387592395
abx_mega__gen_h2o__2,-10.7180727293,-3.8561996152
abx_mega__phos_h2o__4,1.6503700051,0.5310931353
abx_mega__metro_dmso__2,-3.404544468,-0.8610249927
abx_mega__ery_h2o__2,-5.2865138218,-1.7460103676
abx_mega__sacet_h2o__1,-4.7190906018,-2.254618025
abx_mega__nal_naoh__5,-3.1769948271,-2.3889924416
abx_mega__bacit_h2o__4,-3.8081203559,-2.3031227649
abx_mega__cip_naoh__3,0.0903213872,-0.2627721269
abx_mega__ethanol-8__1,0.13900555480000001,0.1805501572
abx_mega__h2o-8a__1,-0.2688435372,0.013907217000000001
abx_mega__ery_h2o__3,-7.0164629088,-2.8058738165
abx_mega__flavo_dmso__2,-1.8803595221,-1.2513281680000001
abx_mega__rif_dmso__4,-4.5174519283,-0.16167525330000002
abx_mega__novo_h2o__5,-10.2153937424,-3.1076304457
abx_mega__teix_dmso__5,-6.1936639952,-2.5973351268
abx_mega__naoh-2__1,-0.2164231234,-2.1210570792
abx_mega__novo_h2o__6,-8.9957518072,-3.6301515243
abx_mega__ctx_h2o__3,-4.3016282948,-1.9895995318000002
abx_mega__rach_dmso__3,-4.8040655012,-1.7426992212
abx_mega__valin_dmso__2,-5.7879814251,-0.0095985869
abx_mega__amyc-d_dmso__6,-10.8329609408,-1.9691502469
abx_mega__dox_dmso__2,-3.3131447161,-1.2708492751
abx_mega__teix_dmso__6,-5.1963260437,-2.5184281854
abx_mega__naoh-6__2,-4.4423134164,-2.7905764001
abx_mega__inh_h2o__2,-2.0504232515,0.3314703645
abx_mega__chl_h2o__3,-8.3930342485,-2.4324127427
abx_mega__nal_naoh__6,-4.9843732222,-2.999690649
abx_mega__chl_dmso__2,-9.7905765063,-2.3570654736
abx_mega__rach_dmso__4,-1.6639518711,-1.8378816654999999
abx_mega__teix_dmso__7,-5.7741415841,-3.2727474708
abx_mega__ceru_ethanol__1,-1.7319307850999999,-1.1196044133
abx_mega__dmso-7__1,-1.6580508945,-1.2593789685
abx_mega__naoh-6__3,-5.5457600296,-2.4410900336
abx_mega__phos_ethanol__2,-7.77318511,-2.4265479652
abx_mega__metro_dmso__3,-2.9340693637,-1.5110062924
abx_mega__van_dmso__4,-3.7841036033,-1.8329462522000002
abx_mega__h2o-10__1,-0.8912050655,-0.9043357522000001
abx_mega__h2o-10__2,-3.6730064903,-1.3835135768
abx_mega__dmso-6__3,-3.8721287199,-1.6295404625
abx_mega__mem_dmso__1,-2.5448606951,-0.7213201932000001
abx_mega__ethanol-8__2,1.5666610592999999,0.9519519163000001
abx_mega__chl_h2o__4,-7.3109342312,-2.5755962569
abx_mega__van_h2o__1,-0.7219949981,-0.37329293080000003
abx_mega__dcs_h2o__1,-7.0199419107,-3.1388150418
abx_mega__rif_dmso__5,-3.4034915828,-0.46308894710000004
abx_mega__dox_dmso__3,-5.1814553701,-1.4938229641
abx_mega__mem_dmso__2,-4.3181153645,-1.2582312311
abx_mega__lvx_dmso__2,1.9456244768,0.1164003067
abx_mega__tet_h2o__2,-9.6965044352,-1.8958204868
abx_mega__phos_h2o__5,1.6824377552,0.1351820943
abx_mega__monac_dmso__1,-1.3001800296,-2.3066594887000003
abx_mega__str_h2o__3,1.1582004419,-0.5830467316
abx_mega__zeocin_h2o__2,-2.2217660785,0.12916651170000001
abx_mega__amyc-d_dmso__7,-9.5697888189,-1.9664156005
abx_mega__fidax_dmso__1,-4.5953696131,-2.3436624688
abx_mega__h2o-1a__1,0.5018641954,0.36178212930000003
abx_mega__dox_dmso__4,-3.3282230487,-0.8490368832
abx_mega__lzd_dmso__2,-9.7564724947,-3.0697287589
abx_mega__tet_h2o__3,-6.0898532641,-2.1798067164
abx_mega__dmso-1__2,0.1676040224,-0.2475737361
abx_mega__sxt_dmso__2,-5.3266449624,-1.7703305236
abx_mega__tric_ethanol__2,-3.8190557537,-1.5715028225
abx_mega__teix_dmso__8,-1.9153068274,-0.5793640945
abx_mega__ramo_h2o__2,-2.5470085807,-1.4605676871
abx_mega__inh_h2o__3,-3.1805397814,-2.5774826602000003
abx_mega__cst_h2o__3,-0.130053525,-0.3205193881
abx_mega__dmso-9__1,1.2039528711,-0.22409037380000002
abx_mega__ethanol-8__3,2.8899431067,0.7532232454000001
abx_mega__monac_dmso__2,-2.4713013646,-2.3280790129
abx_mega__dmso-9__2,1.6871581834,-0.1261930273
abx_mega__metro_dmso__4,-5.4143678146,-1.1982031277
abx_mega__ctx_h2o__4,-4.8972500263,-1.9318046984000001
abx_mega__zeocin_h2o__3,-4.4512904082,0.8171116058000001
abx_mega__bacit_h2o__5,-5.3089676113,-0.40494526210000004
abx_mega__reta_dmso__1,-10.0713798706,-2.6310185118
abx_mega__ery_h2o__4,-9.1482497725,-2.0472460828
abx_mega__ceru_ethanol__2,-8.5008552543,-1.7250955694
abx_mega__fidax_dmso__2,-4.1412794944,-2.8238450957000003
abx_mega__novo_dmso__1,-10.0432653571,-2.6150260976
abx_mega__naoh-6__4,-4.4254426787,-2.5822681585
abx_mega__amyc-d_dmso__8,-3.2462998816,-0.2778245892
abx_mega__chl_dmso__3,-9.7055900701,-2.3679174738
abx_mega__nal_naoh__7,0.2133376961,-0.37767022100000003
abx_mega__teix_dmso__9,-6.0777813883,-3.1589727693
abx_mega__ery_dmso__3,-8.6947374567,-3.2886304407
abx_mega__tmp_dmso__3,-0.8973819723,0.061891586500000005
abx_mega__sxt_dmso__3,-2.8730144227,-1.5387801927
abx_mega__polmyx_h2o__4,-1.00916801,-0.071117757
abx_mega__mem_dmso__3,0.6703509157,-0.1032351266
abx_mega__nal_naoh__8,0.2652958047,-0.48108569630000003
abx_mega__pen_h2o__3,0.7969075258,-0.6604047989
abx_mega__van_dmso__5,-3.8252069861,-2.5162452537
abx_mega__zeocin_h2o__4,-2.8602583462,-0.22859905200000002
abx_mega__h2o-6__2,-3.0871665824,-2.8041978524999998
abx_mega__tet_h2o__4,-8.0872795009,-2.3303036134
abx_mega__nor_naoh__4,0.6646309734,-0.7857956011
abx_mega__cip_naoh__4,-5.5821580391,-1.9201304235
abx_mega__tmp_dmso__4,-4.7075575779,-1.2814110692
abx_mega__reta_dmso__2,-9.1814256786,-3.2828901641
abx_mega__mem_dmso__4,-3.1018150791,-1.6867673023
abx_mega__dox_dmso__5,-7.40612315,-2.460643732
abx_mega__tmp_dmso__5,-0.43154294060000004,-0.7855252036
abx_mega__flavo_dmso__3,-0.6829074222,-0.3624425513
abx_mega__tmp_dmso__6,-2.4233542646,-0.6693401617
abx_mega__ceru_ethanol__3,-8.2172266079,-1.3129800471
abx_mega__teix_dmso__10,0.569138194,0.1538660358
abx_mega__novo_h2o__7,-10.1688160421,-3.4731540053
abx_mega__fidax_dmso__3,0.4975588039,-0.7066920545
abx_mega__h2o-1a__2,-0.5863712293000001,-0.4332018903
abx_mega__dcs_h2o__2,0.5866210976,-0.2142596518
abx_mega__cst_h2o__4,-0.3998876838,-0.19318035560000002
abx_mega__van_h2o__2,-1.9255764714999999,-1.6748202594000001
abx_mega__pen_h2o__4,0.1301206326,-0.4013657848
abx_mega__h2o-8b__2,2.2771279345,0.0222832201
abx_mega__reta_dmso__3,-7.4316738318,-3.1751071063
abx_mega__dmso-7__2,-2.8488683383,-1.9685057708
abx_mega__rfp_h2o__2,-6.3008074983,-1.5988026979
abx_mega__rif_dmso__6,-3.3173263388,0.4032614668
abx_mega__sxt_dmso__4,-2.6059430236,-1.6499158822000002
abx_mega__cip_naoh__5,-3.5453120577,-1.4875520573
abx_mega__dmso-9__3,-0.168203984,-0.7491410569
abx_mega__mem_dmso__5,-1.0557407158,-0.3948939403
abx_mega__tric_h2o__2,-1.1576551742,0.059698519500000005
abx_mega__phos_h2o__6,-3.4979521394,-2.8119312999
abx_mega__h2o-7__2,-0.8227935028000001,-0.4940495854
abx_mega__h2o-10__3,-3.3113048364,-1.4957197827
abx_mega__h2o-8a__2,0.6804575095000001,0.0146523211
abx_mega__thio_dmso__3,-5.8900365069,-2.1942827048
abx_mega__lzd_dmso__3,-8.1072073689,-2.8706433943
abx_mega__monac_dmso__3,-3.6427893068,-2.9578714876000003
abx_mega__polmyx_h2o__5,-3.9804469655,-1.6920143966999999
abx_mega__naoh-6__5,-7.3908456303,-2.7708053504
abx_mega__teix_dmso__11,-4.7702267844,-2.9501671938
abx_mega__van_h2o__3,-2.2383023331,-1.9035502531000001
abx_mega__teix_dmso__12,-0.9533431051000001,-0.3315766674
abx_mega__dox_dmso__6,-1.5291160498,-3.4920012441
abx_mega__teix_dmso__13,-2.5189573814,-1.816835846
abx_mega__h2o-7__3,-1.3034429399,-0.5372887034
abx_mega__str_h2o__4,-4.6870062889,-1.3404519954
abx_mega__tec_h2o__3,-6.482363211,-2.4340837516000002
abx_mega__phos_h2o__7,-5.2319251584,-2.5558126694
abx_mega__chl_h2o__5,-10.5657915206,-3.40160559
abx_mega__polmyx_h2o__6,-0.057492818,-1.8797369644000002
abx_mega__teix_dmso__14,-4.1177026599,-2.3794903729
abx_mega__rif_dmso__7,-1.7851139542,0.0202052793
abx_mega__ramo_h2o__3,-0.5806114853000001,-0.8205496495
abx_mega__fidax_dmso__4,-1.1357427465,-1.0306753825
abx_mega__teix_dmso__15,-5.6407997633,-3.1475269488
abx_mega__thio_dmso__4,-5.994896123,-2.3124408123
abx_mega__rif_dmso__8,-3.8255058173,-0.1925716234
abx_mega__reta_dmso__4,-9.4018822147,-3.0493366976
abx_mega__inh_h2o__4,-1.5899926711,0.4827548439
abx_mega__novo_dmso__2,-6.8126148244,-2.4266844911
abx_mega__dcs_h2o__3,1.2382496327,-0.09699270730000001
abx_mega__h2o-8b__3,-0.8413006838,-0.14571002100000002
abx_mega__valin_dmso__3,-1.1266994549,-0.5895110481
abx_mega__h2o-2__1,0.9443822408,-0.9648606176000001
abx_mega__cro_h2o__4,1.9191888227,0.4470462182
abx_mega__dcs_h2o__4,-8.8653502131,-3.1628544969
abx_mega__str_h2o__5,-0.5213487818,-1.014310994
abx_mega__h2o-8a__3,0.2168452401,-0.1035121215
abx_mega__dox_dmso__7,-1.4337596424,-0.31420846880000003
abx_mega__doxo_dmso__2,-2.5694873926,-1.1758183512
abx_mega__teix_dmso__16,-5.0026242614,-2.5824585822
abx_mega__rfp_h2o__3,-6.8646295779,-1.514718791
abx_mega__ethanol-10__3,-2.6059497203,-1.5000906779
abx_mega__naoh-2__2,0.35473016500000004,-0.6994317476
abx_mega__van_h2o__4,-0.632992689,-0.485682043
abx_mega__sacet_h2o__2,-5.9024142979,-1.8925180615000001
abx_mega__monac_dmso__4,-3.8200613251,-2.8457571253
abx_mega__h2o-2__2,0.689788029,-0.49877126580000003
abx_mega__zeocin_h2o__5,-0.5505832505,-1.708249214
abx_mega__nor_naoh__5,0.1003704238,-0.507564484
abx_mega__naoh-9__2,0.8692105804,0.0981874788
abx_mega__dmso-7__3,-2.862294443,-2.2250212147
abx_mega__van_h2o__5,-3.0075711714,-1.1453595082
abx_mega__flavo_dmso__4,-2.5527248321,-0.9787274406
abx_mega__novo_dmso__3,-10.0909046542,-2.8117234373
abx_mega__polmyx_h2o__7,-2.8881817964,-1.01755697
abx_mega__teix_dmso__17,-4.3126597316,-3.1067893483
abx_mega__doxo_dmso__3,0.2662668723,-0.6173466634
abx_mega__mem_dmso__6,1.3848217744,0.3070028226
abx_mega__h2o-1a__3,0.0845070339,0.071419761
abx_mega__bacit_dmso__3,-2.8247085808,-0.1472552999
abx_mega__dox_dmso__8,-5.2247923316,-2.7253348537
abx_mega__teix_dmso__18,1.0946727739,0.09867449860000001
abx_mega__h2o-6__3,-5.8983613275,-2.4066203735
abx_mega__pen_h2o__5,1.1026469223,0.7198398518
abx_mega__lzd_dmso__4,-5.5581664669,-2.0114247581
abx_mega__daro__1,-1.8887044656,-0.5355605809
abx_mega__solv__1,-6.3984723667,-2.3283353705
abx_mega__daro__2,-0.3889996973,-0.3555780069
abx_mega__daro__3,0.46024074400000003,-0.1820352717
abx_mega__solv__2,-7.3579409466,-3.1844450008
abx_mega__solv__3,-0.506040072,-0.12715316370000002
abx_mega__dmso-4__1,-2.7122029586,0.027557734900000002
abx_mega__kirr_dmso__1,-9.8453725686,-2.8032155904
abx_mega__kirr_dmso__2,-10.724392484700001,-2.7210904582
abx_mega__kirr_dmso__3,-9.5733029848,-2.0366500369
abx_mega__dmso-4__2,-2.5839314682,0.27817908890000004
abx_mega__dmso-4__3,-2.3373546295,-0.026097248200000003
ackA_pta__dnaA46_del_ackA__1,-0.8451061797,0.32417253760000003
ackA_pta__dnaA46_del_ackA__2,-1.1590135931,0.40320521070000004
ackA_pta__dnaA46_del_ackA__3,-1.8956424217,0.1733137713
ackA_pta__dnaA46_del_pta__1,-0.2594533036,1.3762264329
ackA_pta__dnaA46_del_pta__2,-0.8192684532000001,-0.2548607593
ackA_pta__dnaA46_del_pta__3,-0.5295150767,0.0394820121
ackA_pta__dnaA46__1,0.030214813200000003,0.2557142115
ackA_pta__dnaA46__2,-1.9385259995,-0.48613833980000004
ackA_pta__dnaA46__3,0.17868990680000002,0.5088799744
ackA_pta__del_ackA__1,-1.1574066368,0.5180321437000001
ackA_pta__del_ackA__2,-0.2836212048,1.3486968097
ackA_pta__del_ackA__3,-0.2780283277,0.4490393884
ackA_pta__del_pta__1,-0.49015875750000004,-0.1951016721
ackA_pta__del_pta__2,0.12901196980000001,0.6072756914
ackA_pta__del_pta__3,-0.15863881870000002,0.3389616861
ackA_pta__wt__1,0.3942224433,0.16461658510000002
ackA_pta__wt__2,-0.2139358469,-0.2261346403
ackA_pta__wt__3,-0.1802865964,0.061518055200000005
anticancer__5fu__1,0.3696683027,-1.2623718288
anticancer__5fu__2,0.3411244009,-1.2465903653
anticancer__cap__1,-0.0900096272,-0.4366274777
anticancer__cap__2,-0.5517600743000001,-0.8799261403
anticancer__cap__3,-1.2428403618,-1.7622731604
anticancer__wt__1,-0.0647725459,-0.10799349100000001
anticancer__wt__2,0.28785366760000003,0.18944467950000002
anticancer__wt__3,-0.22308112160000002,-0.08145118850000001
anticancer__5fu__3,0.0639428912,-1.7934434757000002
bio_pln__aero_pln__1,0.0835260962,0.1988317282
bio_pln__aero_pln__2,-0.0835260962,-0.1988317282
bio_pln__anaero_pln__1,-0.0845653345,0.3066627249
bio_pln__anaero_pln__2,-0.34082335750000003,-0.2210660955
biocide__bzcl_12h__1,-0.6203702012,0.4201878844
biocide__bzcl_12h__2,0.4238303429,0.37385169290000003
biocide__bzcl_12h__3,-0.2202385568,0.6571278085000001
biocide__etoh_12h__1,-0.7962838886,0.6703384814000001
biocide__etoh_12h__2,0.0733593736,0.7158554501000001
biocide__etoh_12h__3,0.15568556320000002,0.5129317901
biocide__gluald_12h__1,-0.5210888052,0.3110074859
biocide__gluald_12h__2,-0.2974621609,0.2530770339
biocide__gluald_12h__3,0.28996374810000003,0.4470666481
biocide__h2o2_12h__1,0.4430487897,0.2988109161
biocide__h2o2_12h__2,0.269980477,-0.2171068019
biocide__h2o2_12h__3,0.15675327900000002,0.9622492723
biocide__2ppoh_12h__1,-0.6305333860000001,0.792045591
biocide__2ppoh_12h__2,-0.6010969129,0.49120071660000003
biocide__2ppoh_12h__3,-0.1795444172,0.7857462307
biocide__paa_12h__1,0.1665598998,0.5537877936
biocide__paa_12h__2,-0.0413035068,0.5563862071
biocide__paa_12h__3,0.3876361551,0.4239850812
biocide__phe_12h__1,-1.052242899,0.7182120764000001
biocide__phe_12h__2,-0.3306353483,1.1770497806
biocide__phe_12h__3,0.102308801,0.8449741699000001
biocide__pvp-i_12h__1,0.43465964890000003,1.1214996167
biocide__pvp-i_12h__2,-0.525856807,-0.0156123323
biocide__pvp-i_12h__3,-0.3814928091,0.4151924581
biocide__bleach_12h__1,-0.158401429,0.9090078546
biocide__bleach_12h__2,-0.1715711323,0.5518698101
biocide__bleach_12h__3,0.7172617022000001,0.6195864405
biocide__chx_12h__1,0.3460414879,0.6484743546
biocide__chx_12h__2,0.0400640117,0.5711926688
biocide__chx_12h__3,-0.0668657631,0.9127287329
biocide__bzcl_30m__1,-0.963353517,0.1997972059
biocide__bzcl_30m__2,-0.4138226853,-0.2254093784
biocide__bzcl_30m__3,-0.9917376647,-0.0831927173
biocide__phe_30m__1,-0.6504021627000001,0.6969340007
biocide__phe_30m__2,-1.7796369178,-0.6047126150000001
biocide__phe_30m__3,-1.1798112944,-0.5320790544
biocide__pvp-i_30m__1,-0.2076507223,-0.2048432095
biocide__pvp-i_30m__2,0.5672233717,-0.0411933683
biocide__pvp-i_30m__3,0.2768807032,-0.34474052850000003
biocide__ctrl_12h__1,0.5515253497,0.8150829315
biocide__ctrl_12h__2,0.4401897228,0.0999591058
biocide__ctrl_12h__3,-0.17566484200000002,0.2771855087
biocide__ctrl_30m__1,-0.047151676100000005,0.1142850091
biocide__ctrl_30m__2,-0.3601538473,-0.1615734676
biocide__ctrl_30m__3,0.40730552340000004,0.047288458500000005
clpP__wt__1,0.2778267735,0.14681115420000002
clpP__wt_DPTA__1,1.0202584875,0.9906174571
clpP__wt__2,-0.3533995112,-0.029587780600000002
clpP__wt_DPTA__2,1.2719076607,0.9202073106
clpP__wt__3,0.0755727377,-0.1172233736
clpP__wt_DPTA__3,1.0850087764,0.0055886365
clpP__delclpP__1,-0.1362427075,0.1594958307
clpP__delclpP_DPTA__1,1.0972950926,0.7352397322
clpP__delclpP__2,-0.6058183605,-0.31977191190000004
clpP__delclpP_DPTA__2,1.6057459565999999,0.3287003402
clpP__delclpP__3,-0.0756472881,-0.0059493096
clpP__delclpP_DPTA__3,0.6809168619,0.7653718633000001
colombos2__delydcR__1,-0.7222289396,0.2488778101
colombos2__delydcR__2,-0.4530770374,0.4474823102
colombos2__delydcR__3,-0.9831107529,0.10378118600000001
colombos2__delyjiR__1,0.2238211671,-0.4817681131
colombos2__delyjiR__2,-0.1138312962,-0.1434982509
colombos2__delyjiR__3,0.8146102023,0.0303866053
colombos2__wt__1,0.6435776845,0.0809995662
colombos2__wt__2,0.43230257380000003,-0.11748034580000001
colombos2__wt__3,-1.0758802583,0.036480779500000005
crp_k100__ar1_ar2__1,0.1458566754,-1.2865116716
crp_k100__ar1_ar2__2,1.6800165397,0.3470901443
crp_k100__ar1_ar2__3,1.950080896,0.8578558483000001
crp_k100__wt__1,-0.9475240612,0.147869871
crp_k100__wt__2,0.7793925305,-0.2359891154
crp_k100__wt__3,0.1681315307,0.0881192444
crp_k100__K100Q__1,2.2608303647,0.0009257017
crp_k100__K100Q__2,1.3776216787,0.6845777136
crp_k100__K100R__1,-0.31655516440000003,0.7822572288
crp_k100__K100R__2,-2.0589272503,0.5215251199000001
crp_k100__K100R__3,0.5594550810000001,1.3657794211
csrA__wt_t00__1,-0.9910951397000001,-0.45879416910000004
csrA__wt_t02_30__1,-0.8125309743,-1.7219416116000001
csrA__wt_t05__1,0.21503208340000002,-2.699201701
csrA__wt_t10__1,-1.7832207912,-3.085597906
csrA__wt_t15__1,-3.3445397059,-3.190577288
csrA__delcsrA_t00__1,-0.17659902430000002,0.5387841905
csrA__delcsrA_t02_30__1,1.0709413005,-1.7362240914
csrA__delcsrA_t05__1,2.0903157073,-3.1886646803
csrA__delcsrA_t10__1,-0.4389222163,-2.5535337835
csrA__delcsrA_t15__1,-2.7558817563,-4.4553127641
csrA__wt_t00__2,0.9910951397000001,0.45879416910000004
csrA__wt_t02_30__2,0.6418916731000001,-0.9220191470000001
csrA__wt_t05__2,1.9090916727,-2.6173135812
csrA__wt_t10__2,-0.6290818341000001,-2.4420857075
csrA__wt_t15__2,-1.8460989697999999,-2.5100546531
csrA__delcsrA_t00__2,-1.9647681165000002,-0.26149367430000003
csrA__delcsrA_t02_30__2,-1.1398060367,-2.362181963
csrA__delcsrA_t05__2,0.0038014262,-3.0506216861
csrA__delcsrA_t10__2,-1.4024535688,-3.0064025053
csrA__delcsrA_t15__2,-3.9520584064,-2.9597227452
cstr_pfr__str_0005m__1,-0.0315016963,0.0658095374
cstr_pfr__str_0010m__1,-0.506948638,-0.0971600521
cstr_pfr__str_0025m__1,-0.6968438098,-0.1188040469
cstr_pfr__str_0045m__1,-0.4024384042,0.10999053930000001
cstr_pfr__str_0075m__1,-0.1600812898,-0.24484310780000001
