,A,Mga
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-7.3366700665,-0.46165459740000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,8.0682662336,-2.2578450068
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-6.7503959155,-0.6481170942000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,8.9781937671,-2.2876097433
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-6.9247792314000005,-0.39892900470000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,8.9521002133,-2.4898474597
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-2.2372533759,0.2066525844
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,2.8352941967,-0.4309030928
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-2.8938090601,0.1331827393
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,3.1188695333,-0.3387144525
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-4.3609726496,0.0440394748
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,4.8886034257,-1.2133422015
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.6933408590000001,-0.0422790259
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-2.9022073207,-0.0631227694
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,2.2088664617,0.1054017954
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.9541657846,0.38429638720000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-1.5630838398,0.5053356352
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-0.3312883076,0.36521316870000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-0.10026917040000001,0.1701545032
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,1.5638662647000001,0.3499137053
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,0.7544655718000001,0.3265647494
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-3.1021885429,0.7901565655
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-3.2729493394,0.7659657147000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-3.0835883976,0.7254149165
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,23.1941338174,-1.8809616243
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,23.4806436251,-2.004545878
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,23.5985589901,-2.0084269541
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,17.3617232136,-1.2706941272
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,15.3972205244,-1.1715861336
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,16.2914672939,-1.2748227742
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,21.3943860517,-1.3759029594
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,21.5304245344,-1.2838748699
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,20.6341679365,-1.1339694988
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,14.3601352972,-1.1366051009
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,15.2276931627,-1.1297383828
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,17.061232668,-1.1264734263
