,A,GadE,FliZ
minspan__bw_delcra_trp__1,0.19793654800000002,1.116284531,1.3416767905
minspan__bw_delmntr__1,-0.23840004920000002,-3.086779417,6.3040545975
minspan__bw_delnac_ade__1,-0.6152137574000001,-1.063073557,1.9550858975
minspan__bw_delnac_glc__1,-1.2629345293,0.165367853,4.1933784015
cra_crp__wt_ac__1,2.3282672424,1.087755858,2.0863480225
cra_crp__wt_ac__2,2.8460953289,0.96712667,2.2137390515
cra_crp__wt_fru__1,0.8714162836,-1.190433638,3.0051012785
cra_crp__wt_fru__2,0.0689836041,-0.830151167,2.9457264435
cra_crp__delcra_ac__1,-0.031496932400000004,0.157259067,0.0811476445
cra_crp__delcra_ac__2,0.1309691264,-0.111153627,0.1281678135
cra_crp__delcra_fru__1,3.6942643552,1.923704602,0.4770984125
cra_crp__delcra_fru__2,3.7380480185,1.84144454,0.9094384725
cra_crp__delcra_glc__1,1.3324433076,0.09740875700000001,0.6681787855
cra_crp__delcra_glc__2,1.5377391736,0.23374870900000003,0.4221365595
rpoB__wt_031__1,-1.3634842801,-1.3769379,-0.07170356950000001
rpoB__wt_044__1,3.6323789409,0.61015553,-0.1423367045
rpoB__wt_lb__1,1.4995039067,0.139649709,-0.1963407325
rpoB__wt_lb__2,1.4514835564,0.021145758,-0.4040910405
rpoB__rpoBE546V_031__1,-0.7925771857,-0.899888027,-0.20678857350000002
rpoB__rpoBE546V_044__1,-1.5261151981,-0.36045058700000004,0.1856578545
rpoB__rpoBE546V_lb__1,-1.7192885310000001,-5.780999819,-1.1840552505
rpoB__rpoBE546V_lb__2,-2.3517046905,-4.943870544,-0.7583225675
rpoB__rpoBE546V_glc__1,-2.8876845453,-3.292704481,-0.5579261015
rpoB__rpoBE672K_glc__1,-1.7600554841,-6.411497989,-0.9710645665000001
rpoB__rpoBE672K_glc__2,-2.6819724305,-6.747458293,-1.3668724365
rpoB__rpoBE672K_lb__1,-2.4986221348,-6.113753217,-1.9124584375
rpoB__rpoBE672K_lb__2,-3.8252932547,-7.303250722,-1.6813022565
crp__wt_fru__1,-1.3952601888,-1.6352017010000002,3.0828900655
crp__wt_glyc__1,-2.4363227867,-3.180556979,4.1592213895
crp__wt_glyc__2,-2.1554661385,-3.232954572,4.2036952715
crp__delar1_glyc__1,-1.0892243531,-0.848333027,-0.21203657550000002
crp__delar1_glyc__2,-0.3533852247,-0.225027944,-0.0167642825
crp__delar1ar2_glyc__1,-0.7597191103000001,-1.716183419,0.0396532525
crp__delar1ar2_glyc__2,-1.0302505129,-2.090425104,-0.3215081725
crp__delar1ar2_glyc__3,-0.4109033607,-1.338844867,0.007580906500000001
crp__delar2_glyc__1,1.9154468103000002,0.8813675620000001,4.7976695775
crp__delar2_glyc__2,1.429372692,0.9518579260000001,4.7755386925
crp__delar2_glyc__3,1.2800696703,0.6214097430000001,4.6683172545
crp__delcrp_fru__1,8.5614750193,3.006185808,0.3131223325
crp__delcrp_fru__2,8.907648705,2.3533441010000002,0.8349664615
crp__delcrp_fru__3,8.1987178973,2.907120538,0.6571297525
crp__delcrp_glc__1,7.5613733782,2.43560463,0.1476371255
crp__delcrp_glc__2,7.9983648719,2.500405166,0.027734276500000002
crp__delcrp_glc__3,7.6818428,2.616784865,-0.1393927705
crp__delcrp_glyc__1,5.414334357,1.211874303,-0.4216021445
crp__delcrp_glyc__2,5.8991363487,1.5312033930000002,0.3144922115
crp__delcrp_glyc__3,5.8159844701,1.7856474900000001,0.4606783615
glu__glu_ale3__1,-0.1054940879,-5.257433968,2.5352766335
glu__glu_ale4__1,-1.7986714359,-6.528879,3.9573553185
glu__glu_ale5__1,-1.6528039067,-6.879371837,5.1222717875
glu__glu_ale6__1,-0.8899326230000001,-5.841163557,2.4543408625
glu__glu_ale8__1,-0.4509896064,-5.052857556,4.7468457785
glu__glu_ale9__1,-1.3298225614999999,-6.379691342,2.0248335165
glu__glu_ale10__1,-1.1176339325,-5.388335546,4.2520938505
42c__wt_42c__1,0.08541638480000001,-1.222278073,-0.8665179695
42c__42c_ale1__1,-2.7444836321,-2.906293829,5.8174084575
42c__42c_ale2__1,-2.2795209945,-4.630205465,5.3387393125
42c__42c_ale3__1,-1.9118658709,-4.084261632,4.9630866115
42c__42c_ale4__1,-1.4616929233,-5.715857397,3.9972084685000002
42c__42c_ale5__1,-1.4434482222,-5.384678239,4.6761670575
42c__42c_ale6__1,-1.6477335638000001,-1.82320323,0.6404688255000001
42c__42c_ale8__1,-2.9783372762,-1.919298023,0.3683441955
42c__42c_ale9__1,-1.1417902253,-4.060996897,5.6739275225
42c__42c_ale10__1,-2.0233240325,-3.427425238,4.6544471845
ssw__wt_ac__1,8.2536877782,3.015335818,0.3666304515
ssw__wt_glc__1,0.2216632692,0.8090144010000001,3.7256334435
ssw__wt_glyc__1,-1.0631198999,0.5380008270000001,0.9330735595
ssw__wt_xyl__1,-1.3332747162,0.45222715100000005,-0.1599917485
ssw__glc_ale1__1,-2.80762655,-4.528079491,-0.5656171795
ssw__glc_ale2__1,-3.4490740492,-3.815801143,-0.8554596885
ssw__glc_ale3__1,-2.9581292897,-3.976703897,-2.1896761165
ssw__glyc_ale1__1,-5.0619849568,-2.111606147,-0.5797748995
ssw__glyc_ale2__1,-3.0507310051,-4.465020881,-0.5692611895
ssw__xyl_ale1__1,-0.824435329,-4.110239561,4.6835979645
ssw__xyl_ale2__1,-1.5517199983999999,-4.636541051,5.5511705805
ssw__xyl_ale3__1,-2.9304496125,-1.5552833380000002,1.1594914845
ssw__glc_ac_ac2__1,-2.1578968215,-2.735339251,-0.2741816015
ssw__glc_ac_glc1__1,-3.6694681307,-2.796971465,1.3787361165
ssw__glc_glyc_glc__1,-2.2075499999,-2.469806103,-0.3218014195
ssw__glc_glyc_glyc__1,-2.2763621265,-4.646210984,0.8967422385
ssw__glc_xyl_glc__1,-2.0289043933,-4.319264761,-0.5950591705
ssw__glc_xyl_xyl__1,-0.7251665547,-5.6891505680000005,-1.0817489105
ica__wt_glc__1,-0.9452779736,-2.877150595,6.1669126775
ica__wt_glc__2,-1.0948559795,-3.011152242,6.2651916915
ica__wt_glc__3,-0.9723820711000001,-3.496445988,5.6536483915
ica__wt_glc__4,-0.6649813357000001,-1.278631672,6.0562814365
ica__arg_sbt__1,-1.3564464664,-2.661873929,5.9665554385
ica__arg_sbt__2,-1.7946890431,-2.585748992,6.0066817355
ica__cytd_rib__1,-0.3355332417,-2.072315782,7.1670466815000005
ica__cytd_rib__2,-0.344173388,-1.8149837510000002,7.0568887815
ica__gth__1,1.4482215082,-3.960061428,1.5501604155000002
ica__gth__2,0.9657684686,-4.855702134,1.1826361005
ica__leu_glcr__1,-2.4980396016,-3.840328547,6.6074693865
ica__leu_glcr__2,-2.6077684826,-3.687593912,6.5862655585
ica__met_glc__1,-0.050114069000000004,-1.745470077,5.6087098955
ica__met_glc__2,0.0702986127,-2.17402493,5.6014180065
ica__no3_anaero__1,6.067923607,3.515169868,3.0703254155
ica__no3_anaero__2,6.312561927,3.8107809880000003,2.8770384125
ica__phe_acgam__1,0.4207412921,-2.145600519,5.5731782925
ica__phe_acgam__2,-0.0671501141,-2.638503863,5.5986298525
ica__thm_gal__1,3.8114782236,2.247250883,6.2784109005
ica__thm_gal__2,4.1557642009,1.798117261,6.2026037275
ica__tyr_glcn__1,-1.2625027817,-3.298545962,6.6878752295
ica__tyr_glcn__2,-0.775934286,-3.366678442,6.6221927925
ica__ura_pyr__1,-1.0697364428,-0.7966235620000001,6.0697346695
ica__ura_pyr__2,-1.3884306432,-0.310725486,5.8590448595
ica__wt_glc__5,-1.6606737114999999,-2.471692186,5.9613301615
ica__wt_glc__6,-1.9029931053,-2.396141847,5.9373745735
ica__bw_delpurR_cytd__1,-1.1488018888,-5.66148696,5.8886808855
ica__bw_delpurR_cytd__2,-1.4930658268,-3.696454996,5.4677361905
ica__ade_glc__1,-1.5724458044,-3.405714454,5.5311636645
ica__ade_glc__2,-0.18915834550000002,-5.759446487,5.9166740625
ytf__wt_glc__1,0.1029695926,1.216884528,0.7988317645
ytf__wt_glc__2,0.1365434012,2.165284963,1.1603687675
ytf__delyafC__1,0.5328965946,2.149776604,0.7678407195
ytf__delyafC__2,0.7279614848,2.303223431,0.7913504125
ytf__delyeiE__1,0.2786664547,0.8131973290000001,0.5775477475
ytf__delyeiE__2,-1.6925589639,0.09576593200000001,0.0422208065
ytf__delyiaJ__1,0.46022838050000003,2.649802123,0.47606283850000003
ytf__delyiaJ__2,0.8453883813,3.357202578,0.9899565295
ytf__delyieP__1,-0.5890002719,1.249974354,0.23222274750000002
ytf__delyieP__2,-0.2519320076,1.335685581,0.6627407065
ytf__wt_ph5__1,1.0574154531,2.085572119,-0.2041692475
ytf__wt_ph5__2,0.8735549426,2.20975053,0.5288535345
ytf__wt_ph8__1,-0.8696482844000001,-0.213524,0.3008049315
ytf__wt_ph8__2,-0.6202592332,-0.22554178,0.3060866135
ytf__delybaO__1,0.5437022241,2.084181678,0.6732942185
ytf__delybaO__2,0.4988295822,1.864181989,1.0762725795
ytf__delybaQ__1,-0.0283459694,-0.066449221,-0.2133145655
ytf__delybaQ__2,-0.3549755109,0.203250485,0.6280631875
ytf__delybiH__1,0.0521606503,1.9819830299999999,0.3570985225
ytf__delybiH__2,0.7740845270000001,2.601515391,0.7845605785
ytf__delydcI_ph5__1,-0.5991065118000001,0.862253291,0.43794695250000004
ytf__delydcI_ph5__2,-0.5744733742,1.202464264,0.6827042565
ytf__delydcI_ph8__1,-0.4690926463,-0.49804591000000004,-0.08064576350000001
ytf__delydcI_ph8__2,-1.3163887822,-1.236279358,-0.28944254750000004
ytf__delyddM__1,-1.6885592263,0.5893063580000001,0.7817710325
ytf__delyddM__2,-1.2401277693,0.29246079,0.25511239550000003
ytf__delyheO__1,0.0468988272,2.007467044,0.5790166855000001
ytf__delyheO__2,-0.3445341454,1.853988707,0.5211449105
fps__bw_glc__1,-1.0767131419,-1.603050755,-0.0958973545
fps__bw_glc__2,-0.8028956368,0.045894797,-0.1903235925
fps__fps_thrA_ale1__1,-1.2059360987,0.326365832,2.2640574355
fps__fps_thrA_ale1__2,-1.2062437028,0.321891927,2.3120933845
fps__fps_thrA_ale2__1,-1.385383691,-0.177577111,2.2611567085
fps__fps_thrA_ale2__2,-1.6496080491,-0.24079397900000002,1.8655424905
fps__fps_serB_ale1__1,-2.1301923674,0.27168031200000003,3.8519919155
fps__fps_serB_ale1__2,-2.1460793321000002,-0.921792114,3.8830305645000003
fps__fps_serB_ale4__1,-1.7788074244,0.9087658810000001,0.7855278475
fps__fps_serB_ale4__2,-1.8594430370000001,1.8781585930000002,0.7598067245
fps__fps_ptsI_ale1__1,-2.7930608802,-1.907698622,0.5763950335
fps__fps_ptsI_ale1__2,-2.3733560659,-1.918050421,0.6848065915
fps__fps_ptsI_ale3__1,-2.5868095639,-1.93801837,1.3938343935
fps__fps_ptsI_ale3__2,-2.3262563133,-2.205582253,1.0886149975
pal__lyx_ale2_f6__1,-1.4370848658,-0.930115342,1.6855815875
pal__lyx_ale2__1,-1.5020426602999999,-6.07626181,2.1058150695
pal__lyx_ale2__2,-1.8546234885000001,-5.038893706,2.2599248285
pal__lyx_ale4__1,-1.8051086307,-6.353278126,2.4294127195
pal__lyx_ale4__2,-0.8900136039000001,-6.01590514,2.2573404335
pal__5drib_ale10_f18__1,-3.1690865968,-4.446450017,1.0812759225
pal__5drib_ale10_f18__2,-3.5445298815,-4.014916979,0.5012196925
pal__5drib_ale10__1,-4.2409562517,-4.813027105,1.7409516535
pal__arab_ale14_f9__1,-0.1789651432,-0.398059912,0.6156035355
pal__arab_ale14_f9__2,0.47573263330000004,-1.770351877,0.6611020605
pal__arab_ale14__1,-1.6778519458,-1.270042454,0.6534282695
pal__arab_ale14__2,-2.3666811578,-1.926978051,0.8501143885
pal__arab_ale16__1,-2.8748149075000002,-2.86699472,-0.11077237350000001
pal__arab_ale16__2,-1.899607838,-2.852463859,0.0186982105
pal__tartr_ale26_f10__1,-0.8235341518,-3.207297789,0.2596342695
pal__tartr_ale26_f10__2,-1.1395725369,-2.918637045,0.1052120765
pal__tartr_ale26__1,-1.672638965,-4.8969176270000006,-0.1787837645
pal__tartr_ale26__2,-1.5841304415000002,-5.193740836,0.3887927275
pal__tartr_ale28_f10__1,6.0140558639,3.280612898,1.2474067245
pal__tartr_ale28_f10__2,4.8944814532,2.853630458,1.1124499045
pal__tartr_ale28__1,-0.7945373221,-0.7390497020000001,1.2805806125
pal__tartr_ale28__2,-1.3467647235,-0.7614478370000001,1.5867704665
efeU__delmenFentC_citr__1,0.9844027065000001,1.199288909,-0.1030315455
efeU__delmenFentC_citr__2,0.5585526803,1.300260974,-0.1084960385
efeU__delmenFentC__1,2.9585207994,2.8166762480000003,0.8222710335000001
efeU__delmenFentC__2,2.6787947343000003,2.60993695,1.0797173555
efeU__menFentC_ale39__1,-1.1424253158,-2.8923047740000003,-1.0798524585
efeU__menFentC_ale39__2,-1.4093533801,-3.06895523,-0.9257474685
efeU__menFentC_ale29__1,-0.512153172,-3.574668152,-1.6650749815
efeU__menFentC_ale29__2,-0.1914522387,-4.247926919,-1.2324915165
efeU__menFentC_ale30__1,-1.7408314211,-4.555108483,-0.1571433805
efeU__menFentC_ale30__2,-2.1880180483,-4.630131511,-0.8643585145
efeU__menFentCubiC_ale36__1,-2.1199989076,-1.119049755,-0.2532979065
efeU__menFentCubiC_ale36__2,-1.8370649981,-1.183402706,-0.1707348445
efeU__menFentCubiC_ale37__1,-1.4968841069,0.45895641600000003,0.0183436885
efeU__menFentCubiC_ale37__2,-1.3894943685,0.527414921,0.2127772695
efeU__menFentCubiC_ale38__1,-3.0382816852,-1.40199199,0.1232133225
efeU__menFentCubiC_ale38__2,-2.7317327514,-1.74610098,-0.6002400345000001
misc2__salc_glc__1,0.7565357595000001,2.140601641,0.1597609095
misc2__salc_glc__2,0.8467935874,0.38944566900000005,-1.1666232135
misc2__dbcn_glc__1,-1.3512942298000001,-5.717684026,4.0670201895
misc2__dbcn_glc__2,-0.9775201731000001,-5.521591707,3.5944672015
misc2__tyr_glc__1,-1.1311237071,-2.436942348,5.9305867175
misc2__tyr_glc__2,-1.4420125574,-2.090315367,5.8534148245
misc2__arg_cytd__1,-1.8924707393,-4.684264912,4.9802919745
misc2__arg_cytd__2,-2.0250773905,-4.54760434,4.8174383925
misc2__delyheO_pyr__1,-1.628462785,-0.8865848110000001,0.8853773765
misc2__delyheO_pyr__2,-1.7621397474,-1.055203849,0.9107658145
nquinone__delubiC__1,-1.596339001,-3.270409608,5.3733907815
nquinone__delubiC__2,-1.5026242823,-3.000283702,5.2681515545
nquinone__ubiC_ale1__1,-0.3101667691,-0.634234686,3.7068586535
nquinone__ubiC_ale1__2,-0.5069240205000001,0.08388345800000001,3.9684186735
nquinone__ubiC_ale2__1,0.9766431394,1.487948666,2.4915319645
nquinone__ubiC_ale2__2,0.7444132448,1.053781892,2.3297723825
nquinone__ubiC_ale3__1,-0.2572107808,-4.841918846,5.6864006545
nquinone__ubiC_ale3__2,-0.6590142146,-5.137987584,5.6596834175
nquinone__ubiC_ale4__1,0.5727000176,1.210190211,2.4304437795
nquinone__ubiC_ale4__2,0.5740782561000001,1.337413417,2.6035764765
nquinone__delpdhR__1,-2.3268721771,-3.762067366,6.0094581295
nquinone__delpdhR__2,-2.9137682307,-3.527458672,6.0213124045
quinone__glu_ale4__1,-3.6790238867,-4.735159279,4.9776101125
quinone__glu_ale4__2,-3.4516439865,-3.734057357,5.1303451875
quinone__delmenF__1,0.2873525386,1.051479189,0.7981503315
quinone__delmenF__2,0.6412848301,0.8915771560000001,0.6525886435
quinone__menF_ale5__1,-0.9918827978,-0.468788527,0.0024772015000000002
quinone__menF_ale5__2,-1.3976050533,-0.818202489,-0.1374151255
quinone__menF_ale6__1,-1.2681069864,-0.152446867,0.1657836405
quinone__menF_ale6__2,-1.1075473462,-0.016105276,-0.5085911295000001
quinone__menF_ale7__1,-1.1290272289,0.536768784,-9.69935e-05
quinone__menF_ale7__2,-0.8267453005000001,0.46301385500000003,-0.2042854385
quinone__menF_ale8__1,-2.5655522582,-1.8036386160000002,0.0157380515
quinone__menF_ale8__2,-2.6126621564,-1.802285528,0.0737369925
quinone__delmenFubiC__1,0.6856624209000001,0.56736796,-0.21155914950000002
quinone__delmenFubiC__2,1.1311604952,0.611233726,-0.2706060605
quinone__menFubiC_ale1__1,-1.5635493553000002,-0.875137954,-0.2849497875
quinone__menFubiC_ale1__2,-1.4670476595,-0.99413839,-0.7200971695
quinone__menFubiC_ale2__1,-0.4815497534,0.7931285260000001,-0.2949784385
quinone__menFubiC_ale2__2,-0.11083692020000001,0.73898841,-0.36267348850000003
quinone__menFubiC_ale3__1,-0.8617568587000001,-4.5340457270000005,0.0520914525
quinone__menFubiC_ale3__2,-1.1100113106,-4.423879352,0.2332895265
quinone__menFubiC_ale4__1,-1.9176862942000001,-2.540259558,-0.4898175905
quinone__menFubiC_ale4__2,-1.6304903062,-2.326809356,-0.5071995155
oxyR__wt_glc__1,-1.3647039214,-2.338032672,5.8051035815
oxyR__wt_glc__2,-1.3860473188,-2.31158873,5.8930156015
oxyR__wt_h2o2__1,-0.2112129694,-0.48676648800000005,5.6023589685
oxyR__wt_h2o2__2,0.0790388954,0.053145435000000005,5.8376507845
oxyR__glu_ale4__1,-2.8188073935,-3.148134721,2.8654247605
oxyR__glu_ale4__2,-3.1202735418,-3.13063182,2.9555479245000003
oxyR__glu_ale4_h2o2__1,-2.0311864091,-1.9596086590000001,3.7120464285
oxyR__glu_ale4_h2o2__2,-1.9762625388,-1.810165976,2.4316276545
oxyR__oxyR_ale17__1,-2.2842373029,-1.886799504,1.2398735845
oxyR__oxyR_ale17__2,-2.0676065297,-1.9081275510000002,0.5693558245
oxyR__oxyR_ale17_h2o2__1,-2.2766256615,-2.731523456,2.5864111605
oxyR__oxyR_ale17_h2o2__2,-3.6236270023,-3.075587645,2.8782200625
oxyR__oxyR_ale18__1,-2.5099724211,-4.404718717,5.2596216705
oxyR__oxyR_ale18__2,-3.1668799597,-3.743639175,5.3451758525
oxyR__oxyR_ale18_h2o2__1,-1.3614806051000001,-0.19461825500000002,4.6763854025
oxyR__oxyR_ale18_h2o2__2,-1.4549340029,-0.47445086700000005,5.0541770725
oxyR__oxyR_ale19__1,-3.076826102,-3.566591813,4.0332640825
oxyR__oxyR_ale19__2,-2.2932484329,-2.786071194,4.3023297965000005
oxyR__oxyR_ale19_h2o2__1,-2.828277793,-4.072281147,4.4130149835
oxyR__oxyR_ale19_h2o2__2,-3.0700488765,-3.9952623220000003,4.5354116015
oxyR__oxyR_ale20__1,-3.0052312268,-1.077194658,-1.2540702934999999
oxyR__oxyR_ale20__2,-2.7845647912000002,-1.078098769,-0.7454482845
oxyR__oxyR_ale20_h2o2__1,-2.608816785,-1.745273578,0.1829346795
oxyR__oxyR_ale20_h2o2__2,-2.5598773603,-1.638854462,0.2329690005
svns_pgi__BmePgi24_15__1,-0.8664582049,-0.18850717800000003,-0.5871232415000001
svns_pgi__BmePgi24_15__2,-0.254910533,0.022539356,-0.0653631805
svns_pgi__BmePgi24_26__1,-2.7394139921000003,-2.771806877,-0.6624823975
svns_pgi__BmePgi24_26__2,-2.4279741924,-3.29986021,-0.7667975075
svns_pgi__BmePgi24_41__1,-0.5275522055,-3.731281105,-0.3332094235
svns_pgi__BmePgi24_41__2,-2.1040580829,-4.739052074,-0.6209623565
svns_pgi__BmePgi24_52__1,-2.7215391712,-2.775993806,-0.4386386775
svns_pgi__BmePgi24_52__2,-2.40640255,-3.315645069,-0.6530033135000001
svns_pgi__PaePgi2_34__1,-1.4080247896,-2.429100959,0.0703095155
svns_pgi__PaePgi2_34__2,-1.5391516608,-2.390326571,0.3146083525
svns_pgi__PaePgi2_63__1,-0.8081605023,-4.033027577,-0.038765429500000004
svns_pgi__PaePgi2_63__2,-0.8197910852,-3.7183265050000003,-0.2813720575
svns_pgi__PaePgi24_54__1,-2.8558325966,-3.06738841,-0.8383349115000001
svns_pgi__PaePgi24_54__2,-3.3012985591,-2.789971452,-0.7806028635000001
svns_pgi__PaePgi24_90__1,-3.139087684,-4.186747224,-0.7693220475
svns_pgi__PaePgi24_90__2,-2.8287736475000003,-3.868468695,-0.9444544535
abx_media__m9_ctrl__1,1.6362572328,1.773331184,1.6730019895
abx_media__m9_ctrl__2,2.0740338479,0.26198276,1.9789611125
abx_media__rpmi_ctrl__1,-4.1441176626,-2.69923772,3.5909987465
abx_media__rpmi_ctrl__2,-4.4086908389,-4.12486454,3.9555804135
abx_media__camhb_ctrl__1,-1.4937111267,-3.349852946,0.8662427815
abx_media__camhb_ctrl__2,-2.3810492943,-3.841590315,0.5823234405000001
abx_media__m9_mero__1,0.5537215112,0.22906809800000003,0.49559358350000005
abx_media__m9_mero__2,0.8169915953,0.653092204,1.6176026265
abx_media__rpmi_mero__1,-4.3615441679,-4.234787772,2.5668858625
abx_media__rpmi_mero__2,-4.5251215422,-4.275124243,3.0254435115
abx_media__camhb_mero__1,-2.4285715691,-4.361151157,0.40664802250000004
abx_media__camhb_mero__2,-1.9891611063,-4.503306587,0.4778859365
abx_media__m9_trisulf__1,0.35695854180000003,0.328452438,3.7247260155
abx_media__m9_trisulf__2,0.278108002,-0.45139383800000005,3.6273147725
abx_media__rpmi_trisulf__1,-2.6637921135,-2.559966845,0.3629194045
abx_media__rpmi_trisulf__2,-2.5510528506,-2.518771373,0.2181000925
abx_media__camhb_trisulf__1,-3.2042370721,-3.785578814,0.3716502165
abx_media__camhb_trisulf__2,-3.2036574392,-4.003228359,0.5761301355
abx_media__m9_cef__1,1.5375136093,-0.59869078,3.3452555925
abx_media__m9_cef__2,0.5095072967000001,-0.23929002700000002,3.3119404005
abx_media__rpmi_cef__1,-1.0021322852,-3.483551704,1.7594230925
abx_media__rpmi_cef__2,-0.7388704685,-2.7109426819999998,1.5363968845
abx_media__camhb_cef__1,-1.9117472879,-5.221432608,1.7202100015
abx_media__camhb_cef__2,-1.966111324,-5.014568989,1.5825741345000002
abx_media__m9_cipro__1,1.4467449211,-1.639491792,3.5821966685
abx_media__m9_cipro__2,1.5532205837,0.125443788,3.6548868425
