,A,ABUW_1645
AB5075_Zinc__Zinc__1.0,-12.1212626397,0.5587447779
AB5075_Zinc__Zinc__2.0,-18.6311659582,1.6661711329000002
AB5075_biofilm+abx__planktonic__1.0,-10.891644297300001,0.7260823387
AB5075_biofilm+abx__planktonic__2.0,5.4310095405,-0.3316266585
AB5075_biofilm+abx__biofilm__1.0,-40.1562293951,-0.2191557533
AB5075_biofilm+abx__planktonic__3.0,5.4606347568,-0.3944556803
AB5075_biofilm+abx__biofilm__2.0,-28.8101452931,0.3870969481
AB5075_biofilm+abx__biofilm__3.0,-29.7630706049,0.9425215843
AB5075_biofilm+abx__cip_biofilm__1.0,-40.035751273,-0.3456942253
AB5075_biofilm+abx__cip_biofilm__2.0,-34.9284484799,-0.7513853821
AB5075_biofilm+abx__tet_biofilm__1.0,-32.4736361964,0.4751069895
AB5075_biofilm+abx__cip_biofilm__3.0,-43.938182365,-0.4844134671
AB5075_biofilm+abx__tet_biofilm__2.0,-33.6624251538,0.7404254943
AB5075_biofilm+abx__tet_biofilm__3.0,-38.7818853568,0.1908472548
AB5075_gigAB__kan_gigB__1.0,6.141887803,-1.4928734687
AB5075_gigAB__kan_gigB__2.0,6.1434886263,-1.5619292297
AB5075_gigAB__kan_gigB__3.0,6.2876056099,-0.6961083060000001
AB5075_gigAB__gigB__1.0,6.9581054961,-2.6108128954
AB5075_gigAB__gigB__2.0,6.2617039822,-2.7793908819
AB5075_gigAB__gigB__3.0,9.0967736908,-2.5055812592
AB5075_gigAB__kan_gigA__1.0,5.6350042255,0.3003972458
AB5075_gigAB__kan_gigA__2.0,6.203249346,-1.7515405255
AB5075_gigAB__kan_gigA__3.0,6.206129993,-2.2280692437
AB5075_gigAB__gigA__1.0,2.7861658602,-2.5422953352
AB5075_gigAB__gigA__2.0,-0.9652036135000001,-2.3300011155
AB5075_gigAB__gigA__3.0,0.8946767174,-2.5608213014
AB5075_gigAB__kan_WT__1.0,5.9555522948,1.323893714
AB5075_gigAB__kan_WT__2.0,5.5141060389,0.34756559270000004
AB5075_gigAB__kan_WT__3.0,4.6893327985,1.1057618809
AB5075_gigAB__WT__1.0,-0.5179279158,0.7528778542
AB5075_gigAB__WT__2.0,2.4487037147,-1.1921342265
AB5075_gigAB__WT__3.0,-1.9307757989,0.43925637230000003
AB5075_med__CA-MHB__1.0,7.4751157029,-0.6757049632000001
AB5075_med__CA-MHB__2.0,7.9079575972,-0.5068150686
AB5075_med__CA-MHB_pH6__1.0,-2.3838673916,0.2086600197
AB5075_med__CA-MHB_pH6__2.0,11.1942412493,-0.6833706377000001
AB5075_med__RPMI+_pH7__1.0,7.5945828569,-0.9366144156
AB5075_med__RPMI+_pH7__2.0,9.605089649,0.8063927789
AB5075_med__RPMI+_pH6__1.0,12.810457313,0.6982142005
AB5075_med__RPMI+_pH6__2.0,2.1511702416,0.6608851799000001
AB5075_med__RPMI+_-HCO3__1.0,3.6562905444,-1.2086502677
AB5075_med__RPMI+_-HCO3__2.0,2.6443073057,0.1249985277
AB5075_med__LB__1.0,0.4841050643,-0.267198681
AB5075_med__LB__2.0,-0.4841050643,0.267198681
AB5075_med__M9+AA__1.0,2.7765243933,-0.4837216897
AB5075_med__M9+AA__2.0,6.7568795466000005,-0.48933688150000004
AB5075_med__M9-AA__1.0,9.2967094552,-0.7185998723
AB5075_med__M9-AA__2.0,9.303640057900001,-0.4025422127
AYE_adeB__WT__1.0,0.4769678571,0.5571737363
AYE_adeB__WT__2.0,-0.403167394,-0.6757726620000001
AYE_adeB__WT__3.0,-0.0738004631,0.11859892570000001
AYE_adeB__adeB__1.0,4.5653197541,-0.4486429008
AYE_adeB__adeB__2.0,4.144146801,0.44070548860000003
AYE_adeB__adeB__3.0,5.5194775671,1.1343332625
COL__0ug/ml__1.0,-11.9771680279,0.2312037895
COL__0ug/ml__2.0,11.9771680279,-0.2312037895
COL__0.25ug/ml__1.0,3.7843005266,-0.5310938315
COL__0.25ug/ml__2.0,1.113192006,-1.2203866085
COL__1ug/ml__1.0,2.4475407525,-0.5268504255
COL__1ug/ml__2.0,17.1745237765,-0.8273152665
H2O2__0ug/ml__1.0,5.5024183689,-0.0428174315
H2O2__0ug/ml__2.0,-5.5024183689,0.0428174315
H2O2__1.25ug/ml__1.0,-2.4184900535000002,-0.0631641775
H2O2__1.25ug/ml__2.0,-4.6241580817,-0.1080412432
H2O2__2.5ug/ml__1.0,3.0674838106,0.0733505106
H2O2__2.5ug/ml__2.0,-1.0865156819,0.3584878629
H2O2__5ug/ml__1.0,6.8364207449,1.3586192046
H2O2__5ug/ml__2.0,7.2923806529,0.8596536769
MRP__0ug/ml__1.0,5.1614107051,0.09318895170000001
MRP__0ug/ml__2.0,-5.1614107051,-0.09318895170000001
MRP__25ug/ml__1.0,9.3806253692,0.0165093057
MRP__25ug/ml__2.0,-4.9972286116,-0.21983032400000002
MRP__100ug/ml__1.0,-2.4951170159,0.2758183011
MRP__100ug/ml__2.0,-4.8826225907000005,-0.1614534954
MRP__200ug/ml__1.0,-4.5070675044,-0.3425194518
MRP__200ug/ml__2.0,1.9148709899,-0.5789826725
growth__2h__1.0,5.3496304139,0.4652744843
growth__2h__2.0,-5.3496304139,-0.4652744843
growth__4h__1.0,30.1819008754,1.6243571559
growth__4h__2.0,10.5408135701,1.3719881596999999
growth__6h__1.0,38.8908575308,1.0150892456
growth__6h__2.0,31.3543078381,0.9712185469000001
growth__8h__1.0,28.9654729068,2.0491031901
growth__8h__2.0,25.1089772254,1.9050100593
growth__10h__1.0,16.8363358202,0.6551012278
growth__10h__2.0,13.8618997328,2.1295474451
mutants__WT__1.0,1.6842852291,-0.470256198
mutants__WT__2.0,-1.6842852291,0.470256198
mutants__R7__1.0,0.43619522320000004,-2.562235187
mutants__R7__2.0,-0.8271136119,0.091696287
mutants__gacA__1.0,-34.0224972621,0.693985735
mutants__gacA__2.0,-33.6818140484,0.6048072710000001
vacJ_LL-37__WT__1.0,-1.6901966363,-0.0476649992
vacJ_LL-37__WT__2.0,1.6901966363,0.0476649992
vacJ_LL-37__WT+LL-37__1.0,-8.1594404123,-0.9065852332000001
vacJ_LL-37__WT+LL-37__2.0,-12.9342914133,-0.8073403326
vacJ_LL-37__vacJ__1.0,-0.7329133443,-1.24777588
vacJ_LL-37__vacJ__2.0,-8.0141910532,-1.0075563548
vacJ_LL-37__vacJ+LL-37__1.0,-5.3171256067,-2.0570844582
vacJ_LL-37__vacJ+LL-37__2.0,-3.5302788392,-1.4327238081
