,A,Mlc,DhaR
nac_ntrc__wt_cytd__2,-2.520442549,5.8331133614,4.7856517192
nac_ntrc__wt_gln__1,-3.0684037412,5.7297772684,5.3180155548
nac_ntrc__wt_gln__2,-2.7646605788,5.9496968439,5.1170137859
nac_ntrc__bw_delnac_csn__1,-5.9619428166,5.7515079269000005,4.6890360085000005
nac_ntrc__bw_delnac_csn__2,-5.5896400017,5.7603341893,4.5745725822
nac_ntrc__bw_delnac_cytd__1,-0.950828329,5.8158725133,4.662420249
nac_ntrc__bw_delnac_cytd__2,-1.1434812796,5.8652111151,4.7209803423
nac_ntrc__bw_delnac_gln__1,-1.5199581293,5.6945828671,4.3993791518
nac_ntrc__bw_delnac_gln__2,-1.7961547938,5.655939135,4.6532252963000005
nac_ntrc__bw_delnac_nh4__1,1.2515799795,5.8988504748,4.6473823191
nac_ntrc__bw_delnac_nh4__2,0.9282032504000001,5.9936790835,4.5536042055
misc__wt_no_te__1,-0.35944954230000004,5.9905944623,5.1753032900000004
misc__wt_no_te__2,0.0174609412,5.9969215332,4.9599574068
misc__bw_delcbl__1,-0.0038485216000000004,5.9541078133,4.8494167753
misc__bw_delcbl__2,0.07114313230000001,6.1065973813,4.8802988521
misc__bw_delfabr__1,-0.6181473607,6.0241381723,4.6453451443
misc__bw_delfabr__2,-0.2783154785,6.1976319223,4.6146657072
misc__bw_delfadr__1,0.023620041,6.0681309085,4.9510789823
misc__bw_delfadr__2,-0.10561231530000001,6.1220187808,4.8292036352
misc__nitr_031__1,-0.4265806595,5.7224900507,4.9220804977
omics__wt_glu__1,-0.8333921557,6.5598075231,4.4378050503
omics__wt_glu__2,-1.3722952113,6.5528719676,4.7397055157
omics__wt_gly__1,-1.5847098087,6.0879163058,4.6133508366000004
omics__wt_gly__2,-1.2576632773,6.0773424867,4.2276029101
omics__wt_thr__1,0.047846244600000004,7.0012067597,4.8281873357
omics__wt_thr__2,1.3915085354,7.0527090285,4.593263316
omics__bw_ac__1,-4.4190079743,7.1771129077,4.4918571199
omics__bw_ac__2,-4.0855529902,7.1352633068,4.4411121674
omics__bw_fum__1,-5.6488124871,6.4401022526,4.6127993817
omics__bw_fum__2,-7.5583057877,6.5207458545,4.3102792589
omics__bw_glc__1,-1.0005788846,6.3280166025,4.8991550885
omics__bw_glc__2,-1.1211461604,6.3098066155,4.8946754829
omics__bw_pyr__1,-5.612484992,6.753229387,4.6722682418
omics__bw_pyr__2,-5.5317412709,6.8922548283000005,4.6658221564
ompr__wt_nacl__1,-3.5189026232,5.2667838902,5.5627817729
ompr__wt_nacl__2,-3.5277384142,5.3536842713,5.4935915758
ompr__bw_delompr_nacl__1,-2.7471690981,5.3400925411,5.7812678447
ompr__bw_delompr_nacl__2,-3.9318945893,5.1562660059,6.0095241707
minspan__wt_ade__1,-0.1083234939,5.5315668843,4.5415082424
minspan__wt_glc__1,0.8969328244,5.6648945898,4.0032079964
minspan__wt_glc__2,0.4694258068,5.6581565465,4.2386529965
minspan__wt_glc__3,1.4676628562,5.5338460345,4.3014039284
minspan__wt_glc__4,1.2985970628,5.6335121097,4.2534520235
minspan__wt_glc_anaero__1,1.5789849101,5.8857161697,4.2844918859
minspan__wt_glc_anaero__2,3.3491147827,6.2928503541,4.3504630384
minspan__wt_trp__1,5.5739872047,7.2972714513,3.9885738641
minspan__bw_delcra_glc__1,0.8813941531,6.7026528791,4.3849990611
minspan__bw_delcra_glc__2,0.8044015255,6.7769297216,4.530337044
minspan__bw_delcra_trp__1,1.0399361721,6.9458078786,4.6809708353
minspan__bw_delmntr__1,4.8279138532,6.6160690815,4.1529439775
minspan__bw_delnac_ade__1,-1.1915981711,5.4705875439,4.3297285918
minspan__bw_delnac_glc__1,-2.7376165923,5.6045431061,4.5784000275
cra_crp__wt_ac__1,-7.8843822184,6.4429252967,4.1186866421
cra_crp__wt_ac__2,-7.3541634789,6.3605061729,4.0505452208
cra_crp__wt_fru__1,-2.1124650768,6.4781708731,4.5040571404000005
cra_crp__wt_fru__2,-2.5273957424,6.3074131064,4.7160598271000005
cra_crp__delcra_ac__1,-6.267024698,6.018414006,4.2964684355
cra_crp__delcra_ac__2,-6.6919660398000005,6.1285057409,4.5768207957
cra_crp__delcra_fru__1,-2.0121025737,5.4155729789,4.8273554423
cra_crp__delcra_fru__2,-1.9298838916,5.3888489261,4.8989612184
cra_crp__delcra_glc__1,-2.0079754597,5.7906544813,4.7445237136
cra_crp__delcra_glc__2,-1.8930608382,5.8245898619,4.7332439081
rpoB__wt_031__1,-4.5920088057,6.8533349995,4.6853640562
rpoB__wt_044__1,-1.1763164826,5.9753096517,4.6594829374
rpoB__wt_lb__1,-4.7634835868,6.4626342152,4.872076626
rpoB__wt_lb__2,-5.5214254868,6.5324230843,4.508132117
rpoB__rpoBE546V_031__1,-3.4587763416,6.3165754496,4.7731934127
rpoB__rpoBE546V_044__1,-1.9284862773,6.0002342085,4.4443265575
rpoB__rpoBE546V_lb__1,-4.5391659675,6.2625208653,5.1147744196
rpoB__rpoBE546V_lb__2,-4.0220650837,6.1838891185,5.1100760429
rpoB__rpoBE546V_glc__1,-0.3826509482,6.2383250192,4.5271539646
rpoB__rpoBE672K_glc__1,-0.339893375,5.6934282867,4.2908126927
rpoB__rpoBE672K_glc__2,-0.0287448303,5.9328535022,4.3035679681
rpoB__rpoBE672K_lb__1,-5.8807692448,5.7686894274,3.6930158912
rpoB__rpoBE672K_lb__2,-5.6237086974,5.5543026334,3.7379395704
crp__wt_fru__1,-2.4881626967,6.1464808752,4.1183390756
crp__wt_glyc__1,-2.9647056022,6.1056763585,4.0194751097
crp__wt_glyc__2,-3.8503341151,6.259430682,4.0810484184
crp__delar1_glyc__1,-1.9760946172,5.9704802114,4.4406887563
crp__delar1_glyc__2,-2.2465958321,6.3003780048,4.3853259192
crp__delar1ar2_glyc__1,-0.5098035762,5.6168901796,4.7123817265
crp__delar1ar2_glyc__2,-0.6745113313000001,5.5335177766,4.8742280452
crp__delar1ar2_glyc__3,-0.6273523504,5.61781109,4.7946822312
crp__delar2_glyc__1,-0.4020927986,7.1128030534,4.6490064532
crp__delar2_glyc__2,0.2646190436,7.025559735,4.8312101918
crp__delar2_glyc__3,0.1626706453,7.0651770032,4.6171606322
crp__delcrp_fru__1,-3.6139670586,5.6655732705,4.8619031082
crp__delcrp_fru__2,-2.9829631208,5.642185711,4.4387809615
crp__delcrp_fru__3,-3.3753966843,5.6857271082,4.8604362869
crp__delcrp_glc__1,-4.4935937614,5.509118053,4.7348796679
crp__delcrp_glc__2,-4.5364804067,5.5975252644,4.7802942527
crp__delcrp_glc__3,-4.0590801027,5.5113716452,4.9767664949
crp__delcrp_glyc__1,-3.2430671458,5.157863695,4.7722307518000004
crp__delcrp_glyc__2,-3.7353691643999998,5.3013262324,4.9060689573000005
crp__delcrp_glyc__3,-3.4730072479,5.6028194547,4.4914569344
glu__glu_ale3__1,3.1998165257,5.3671696842,4.9363060206
glu__glu_ale4__1,1.3474672832999999,5.9042710211,4.2967073417
glu__glu_ale5__1,-1.0829561194,5.9675782522,4.2624260629
glu__glu_ale6__1,1.6064733662,5.1122718244,3.8381664978
glu__glu_ale8__1,3.8671892556,5.7615352767,5.0281665777
glu__glu_ale9__1,4.2455217248,5.9058853211999995,4.9424799465
glu__glu_ale10__1,1.3615208283,4.8452294241,4.6354955794
42c__wt_42c__1,-0.7663783024,6.6703549746,4.573552937
42c__42c_ale1__1,5.1705881435,7.6536399135,4.1071215555
42c__42c_ale2__1,-0.24208597,5.8426792393,4.4511751755
42c__42c_ale3__1,0.38001675090000003,5.3768045801,4.2798672915000004
42c__42c_ale4__1,0.9612145857000001,5.4382144063,4.7693073207
42c__42c_ale5__1,-0.25587355910000004,5.2843126969,4.2219591039
42c__42c_ale6__1,1.3969954804,6.6040250052000005,3.7370297265
42c__42c_ale8__1,1.6572709087000002,6.0440794493,4.4494457678
42c__42c_ale9__1,-1.0235272318,5.6416142934,4.4312438958
42c__42c_ale10__1,1.8956704052000002,6.1931346581,4.6382550596000005
ssw__wt_ac__1,-8.5668009043,6.1532243475,4.6001784372
ssw__wt_glc__1,0.8408016475000001,5.2845430609,4.3543617614
ssw__wt_glyc__1,-1.1808349984,6.4601228771,3.7675681201
ssw__wt_xyl__1,-1.866805769,6.4784060596,4.3197364919
ssw__glc_ale1__1,1.9982515561,7.1060171009,4.9287414088
ssw__glc_ale2__1,0.8989240765000001,6.4977492741,5.2365110397
ssw__glc_ale3__1,2.5200586782,7.3045612383,4.4368179415
ssw__glyc_ale1__1,0.6078629595,6.8444949247,4.2624942545
ssw__glyc_ale2__1,0.2901344622,6.5466172411,4.6395914741
ssw__xyl_ale1__1,-1.4410131594,6.4806441726,4.7647678287
ssw__xyl_ale2__1,-4.9090041948,6.7123179905,4.7134915982
ssw__xyl_ale3__1,-1.7108867338,6.1877594901,4.5344607651
ssw__glc_ac_ac2__1,-7.4809027952000005,6.6732831983,4.6004159193
ssw__glc_ac_glc1__1,0.7151432169,6.6422427108,4.8532688627
ssw__glc_ac_glc2__1,4.5963191672,7.0578128996,4.4979255123
ssw__glc_glyc_glc__1,0.45011419810000003,6.5445033586,4.8933099623
ssw__glc_glyc_glyc__1,-2.5527333194,6.6072521668,3.8753851725
ssw__glc_xyl_glc__1,0.1261947136,6.8939246488,4.0455524269
ssw__glc_xyl_xyl__1,-1.3672336921000001,6.3318850673,4.3711507723
pgi__glu4_delpgi__1,-3.5299692143,6.8207861563000005,4.7511147714
pgi__pgi_ale1__1,-0.5959120051,6.7688765417,4.9726142425
pgi__pgi_ale2__1,-1.4239149378,7.0073619712,5.8061481564
pgi__pgi_ale3__1,-1.1647978574,6.668501034,4.9965823316
pgi__pgi_ale5__1,-1.0296374084,6.8157927305,5.0388267252
pgi__pgi_ale6__1,-0.0998536824,6.4290810141,4.9897623956
pgi__pgi_ale7__1,-3.5418453012,6.874920591,5.1550755697
pgi__pgi_ale8__1,-0.3994684505,6.5382941153,4.8816783275999995
ica__wt_glc__1,0.5427331581,6.4860459283,4.2348255557
ica__wt_glc__2,0.7511466998,6.2705778091,4.1636398776
ica__wt_glc__3,-0.2642545712,6.0221115136,4.532172907
ica__wt_glc__4,-0.3437834543,6.1920000887,4.7843482022
ica__arg_sbt__1,-3.5869873117999997,6.1734605736,4.214847343
ica__arg_sbt__2,-2.567371698,6.4074064421,4.1643191952
ica__cytd_rib__1,-1.062190905,6.8866017184,4.6499887437
ica__cytd_rib__2,-1.682453031,6.8789989375000005,4.7303623076
ica__gth__1,-4.6888400115,5.8256103552,4.6175212789
ica__gth__2,-3.944585364,5.9345950208,4.5684617121999995
ica__leu_glcr__1,-2.0056414602,5.2353049189,4.6141783292
ica__leu_glcr__2,-2.7236927098,5.2426038802,4.2582095541000005
ica__met_glc__1,-0.1444961494,6.00838055,3.8646256807
ica__met_glc__2,-0.2896612163,6.2875637204,3.8019463901
ica__no3_anaero__1,-1.8050823557,5.8982918965,4.6437728295
ica__no3_anaero__2,-2.143878765,6.3451319543,4.6693116195
ica__phe_acgam__1,0.5966195028,6.2879151108,4.1305464437
ica__phe_acgam__2,0.5192508948,6.2370404528,4.1063909451
ica__thm_gal__1,-6.955035638,6.3372805515,4.4045137144
ica__thm_gal__2,-7.0349938449,6.3918372389,4.2786340847
ica__tyr_glcn__1,-3.2149844537,5.1202050996,4.2972800192000005
ica__tyr_glcn__2,-2.9359040284,5.1859192279,4.3161201882
ica__ura_pyr__1,-3.4689422874,5.9348963947,4.4970037602
ica__ura_pyr__2,-6.8716580736,5.9620197664,4.2537041783
ica__wt_glc__5,0.6648006362000001,6.3459513277,4.8083836504
ica__wt_glc__6,-0.2017485129,6.3139267713,4.8101196813
ica__bw_delpurR_cytd__1,0.0370524038,6.3850299139,4.5513590132
ica__bw_delpurR_cytd__2,0.33683893740000004,6.1681009429,4.411852133
ica__ade_glc__1,-1.1116539895,6.6936981041,4.828236416
ica__ade_glc__2,-0.7361060728000001,6.6713811324,4.7830255699
ytf__wt_glc__1,0.7954090055,6.5615151937,4.8616874301
ytf__wt_glc__2,1.2135553341,6.9232796887,4.9563791333000005
ytf__delyafC__1,3.4706766619,7.4543529083,4.7311196255
ytf__delyafC__2,2.8246297652,7.352535017,4.6241323547
ytf__delyeiE__1,1.0415506474,6.4072246982,4.9352024333
ytf__delyeiE__2,0.35644431530000004,6.1604093557,4.9481999375
ytf__delyiaJ__1,1.8815930373,7.0844426801000004,4.9102576983
ytf__delyiaJ__2,2.26908273,6.94146678,4.9194779481
ytf__delyieP__1,3.5000641031,7.4044491175000005,4.8540058766000005
ytf__delyieP__2,2.7015343357,7.0237142728,4.9756008967
ytf__wt_ph5__1,-0.39321088800000004,6.2002610448,4.6274244764
ytf__wt_ph5__2,-0.3887191071,6.3678077281,4.9596074614
ytf__wt_ph8__1,-0.41574393590000003,6.2265442823,4.9905897524
ytf__wt_ph8__2,-0.1238774559,6.3543954114,4.4017978062
ytf__delybaO__1,3.4992050928,7.5952306444,4.5564725733
ytf__delybaO__2,3.8863208603,7.6106587878,4.8291563817
ytf__delybaQ__1,0.0706590751,6.181942724,4.5496450577
ytf__delybaQ__2,-1.0327247818,6.4173308991999995,4.5751038717
ytf__delybiH__1,3.0486747122,6.7942492286,4.7152326788
ytf__delybiH__2,3.3424675432,7.4728602579,4.7975784146
ytf__delydcI_ph5__1,-0.31815073720000003,6.1616478608,4.6506215814
ytf__delydcI_ph5__2,-0.03332412,6.1900721672,4.5547560474
ytf__delydcI_ph8__1,0.28902709530000004,6.0093288995,4.7585614742
ytf__delydcI_ph8__2,0.2679917456,6.2456515014,4.6157150983
ytf__delyddM__1,-1.0671977404,6.2507366593,4.8818881457
ytf__delyddM__2,-1.2781147057,6.3181897246,4.8707901947
ytf__delyheO__1,3.3468688648000002,7.6190916221,4.4305397709
ytf__delyheO__2,4.6387827622,7.6538088977,4.4332564102
fps__bw_glc__1,-2.3689268562,6.5282458213,4.5573099876
fps__bw_glc__2,-2.2587559685,6.3158470612,4.4587372914
fps__fps_thrA_ale1__1,0.2224116257,6.3280249383000005,4.5195805049
fps__fps_thrA_ale1__2,-0.0643144523,6.1516990720999996,4.9064771734
fps__fps_thrA_ale2__1,0.4972420924,6.3292639376,4.5379232939000005
fps__fps_thrA_ale2__2,-0.0882221659,6.1863030093999996,4.4918661408
fps__fps_serB_ale1__1,-0.3271485642,6.2053819125,4.4009969614
fps__fps_serB_ale1__2,-0.3142331269,6.1988106239,4.4540060292
fps__fps_serB_ale4__1,-3.5650144731999998,6.0157812358,4.4906400559
fps__fps_serB_ale4__2,-4.750080811,6.0175506867,4.7547114924
fps__fps_ptsI_ale1__1,11.8735244781,7.8310783011,4.3060687791
fps__fps_ptsI_ale1__2,11.8179787431,8.0463196781,4.256084427
fps__fps_ptsI_ale3__1,10.2381219868,7.845334343,4.4271899926
fps__fps_ptsI_ale3__2,11.0285412184,7.7215690463,4.3393353003
pal__lyx_ale2_f6__1,-8.9203279195,6.7741198625,4.6940334868
pal__lyx_ale2__1,-6.0238258418,6.1570727997,4.2128537292
pal__lyx_ale2__2,-5.1053334615,6.0144741517,4.1190711231
pal__lyx_ale4__1,-6.0238258418,6.1570727997,4.2128537292
pal__lyx_ale4__2,-5.1053334615,6.0144741517,4.1190711231
pal__5drib_ale10_f18__1,-11.1433009029,6.8532113566,4.1631254767
pal__5drib_ale10_f18__2,-10.2651588983,6.9445819938,4.3946060706
pal__5drib_ale10__1,-9.105634624,7.1720169756,4.4740892145
pal__arab_ale14_f9__1,-3.3056181158,5.9175137706,4.2378660323
pal__arab_ale14_f9__2,-3.5710402881,6.0658610343,4.5685323887
pal__arab_ale14__1,-4.4801853218,5.7363298157,4.1241125154
pal__arab_ale14__2,-4.0532411748,5.5248601379,3.8846718336
pal__arab_ale16__1,-6.1810632662,6.6310397157,4.8071753429
pal__arab_ale16__2,-8.0415634927,6.6952557834,4.9829494609000005
pal__tartr_ale26_f10__1,-10.4102481232,6.5822655827,3.7392316054
pal__tartr_ale26_f10__2,-10.7092997226,6.3747938598000005,4.3103084627
pal__tartr_ale26__1,-9.5897794992,6.6552198811,3.8785509403000002
pal__tartr_ale26__2,-9.3780966484,6.6144341558,4.0991336288
pal__tartr_ale28_f10__1,-8.9552870494,6.612815161,4.4290022264
pal__tartr_ale28_f10__2,-10.2570489513,6.3915479198,4.6698438911
pal__tartr_ale28__1,-6.7805073214,6.3582169332,4.1627491723
pal__tartr_ale28__2,-8.6828003882,6.2528334639,4.3837972562
efeU__delmenFentC_citr__1,0.0715121707,6.405295898,4.5956453625
efeU__delmenFentC_citr__2,1.4215458488000001,6.4154345605,4.2448705217
efeU__delmenFentC__1,-1.808846457,6.2367440946,4.610233769
efeU__delmenFentC__2,-1.3069631097,6.2885637209,4.7333222912
efeU__menFentC_ale39__1,3.8231584147,7.1999725969,4.4716006099
efeU__menFentC_ale39__2,4.9678187042,7.1066913767,4.4775988187
efeU__menFentC_ale29__1,4.3979672624,6.4430274075,4.2482390272
efeU__menFentC_ale29__2,3.6885661681,6.2335845797000005,4.2324526893
efeU__menFentC_ale30__1,0.14000700530000001,6.1042812003,4.6931676952
efeU__menFentC_ale30__2,1.0061564997,5.9635301693,4.5610475068
efeU__menFentCubiC_ale36__1,-0.10357522,6.0594128724,4.7853892643
efeU__menFentCubiC_ale36__2,-0.3393570546,6.2148940317,4.7925191748
efeU__menFentCubiC_ale37__1,0.7945740658,6.0983609349,4.663675413
efeU__menFentCubiC_ale37__2,0.35319394400000004,6.3325465284,4.4896869127
efeU__menFentCubiC_ale38__1,-1.9933840136,6.2709799539,4.5880719489
efeU__menFentCubiC_ale38__2,-2.9894412613,6.2941310097,4.6363227011
