,A,AcrR,OmpR,FliZ,QseB,ihfB,HdfR,Crp,rcsB,hns,LrhA,Fur,YjjQ
omics__bw_fum__1,-0.3270292588,0.2158671905,0.2187370475,3.5078887705,0.0014891165000000001,0.018456405000000002,-0.33795479100000003,0.44664785300000004,-0.022121233,0.52905826,1.3136931455,-0.005709301,-0.14992314
omics__bw_fum__2,-1.1439987717,0.5339749285000001,0.2390676445,3.2427790975,-0.026637821500000002,-0.006356255000000001,-0.256109109,0.49525865300000005,-0.05618730500000001,0.50611535,1.2222033795,0.06492178400000001,0.46237315700000003
omics__bw_glc__1,-0.3762817586,0.3021725015,0.0418111275,0.8449404515000001,0.32445198750000004,0.164126605,0.31624786600000004,0.319951353,0.30711650700000004,0.34010188,0.6033714425000001,-0.011917744000000001,0.843594162
omics__bw_glc__2,-0.6058391550000001,0.4307248725,0.1326083935,0.8526082915000001,0.6677774775,0.15512309500000002,0.256417756,0.360933593,0.23777131,0.30898115,0.5549567445,0.042641122000000004,0.547820973
omics__bw_pyr__1,0.6931632897000001,0.5802619985,0.1298215835,0.5572991685,0.5996560915,0.644921705,-0.123557304,0.8061810030000001,0.307997034,0.40122765,1.4348801785,-0.189724267,1.037421681
omics__bw_pyr__2,0.9541497390000001,0.9396899565,0.2672209385,1.0259083735,0.0908357425,0.659472645,-0.08843906600000001,0.764467493,0.275971519,0.42220741,1.0588848595,-0.117464833,-0.753500006
ompr__wt_nacl__1,-3.2882616424,-0.8924450085000001,0.9505348375,1.3184003295,-0.3206397205,0.277552005,0.9232442200000001,-0.686581477,-0.07090629100000001,0.24013622,-1.1022109225,-0.400303825,-0.30983066800000003
ompr__wt_nacl__2,-4.4463836058,-0.9928371425,1.1507879035,0.9939089385000001,-0.4047491535,0.08413458500000001,0.922235923,-0.620927,-0.057111211,0.09760655,-1.1399381125,-0.504065686,0.366048661
ompr__bw_delompr_nacl__1,-5.2051349068,-0.3150223515,-7.3287963615,2.0060834595,-1.1853141035,0.009492215,0.42458734800000003,-1.046248202,-0.5003220070000001,-0.16485909,-1.7844670325,-0.632963179,0.27714862700000004
ompr__bw_delompr_nacl__2,-4.608361795,-0.8193031765000001,-7.3287963615,1.7740441545,-1.0935333935,-0.13246892500000002,0.37377760800000004,-1.071490687,-0.475191856,-0.15346479,-2.1522061815,-0.543296344,-0.753500006
minspan__wt_ade__1,1.9713107542000001,0.5012583645,-0.20745900050000002,1.2541238005,-0.1742118715,0.323090545,-0.045384455000000004,-0.09169608400000001,0.636194186,0.31169691,0.7162044365,0.19507696400000002,-0.153829046
minspan__wt_glc__2,1.8559096399000001,-0.1474368875,-0.1422187115,4.3815072635,-0.7351177375,-0.0050519250000000005,-0.27111786200000004,-0.171476714,0.23831896300000002,-0.4047781,0.49683531950000004,-0.5062775780000001,0.033806226
minspan__wt_glc__3,1.8117320036,-0.0306360595,-0.10897056150000001,4.5542461755,-0.9115909635,0.045105535,-0.10432542700000001,-0.216511799,0.302596696,-0.42564953,0.7515992225,-0.44786492600000005,0.7314166710000001
minspan__wt_glc__4,2.2858129239,0.035263682500000004,-0.0633119335,4.5180164875,-0.7879561935,-0.07972467500000001,-0.014736756,-0.237794143,0.24112209999999998,-0.47148023,0.8903489845,-0.415952254,0.23987364700000002
minspan__wt_glc_anaero__1,0.9352143432000001,-0.7996802705,-0.1858501405,5.3340936845,-0.46155742650000003,-0.17243101500000002,-0.118857877,0.097308024,0.354595319,-0.011164199999999999,1.5968896665,-0.8732856050000001,1.151563345
minspan__wt_glc_anaero__2,1.0486155412,-1.3482005545,0.0237857585,5.0238996225,-1.1109027445,-0.170063665,0.043057266000000004,0.0007891440000000001,0.24381532600000003,-0.36310159000000003,1.5127041695,-1.157357443,0.615873164
minspan__wt_trp__1,1.4423748397,0.24933119150000002,0.5776341745,4.8530707655,-1.2497350575,0.631325145,0.33898687800000005,0.37930993300000004,0.130308322,-0.71765075,1.3165886735,-0.868235834,1.305591084
minspan__bw_delcra_glc__2,0.5162524035,-0.0469804905,0.6001697145,1.1910176015,-0.0328096265,0.5065485750000001,0.18623081200000002,0.207746483,-0.06311263,-0.34685613,0.1894123355,-0.918542673,-0.064241087
minspan__bw_delcra_trp__1,-0.8237296,-0.058015657500000005,0.2036643975,1.3416767905,-0.6836472405,0.906130685,0.20183018400000002,0.245706203,0.133435196,-0.35391567,0.6605860755,-1.00502228,1.541117344
minspan__bw_delmntr__1,1.6046364348000002,-0.1359965985,0.5676465765,6.3040545975,-1.6093584155,0.004072415,0.174654616,0.395080543,-0.088462066,-0.9349272999999999,1.0689483335,-0.6837856210000001,0.21194177800000003
minspan__bw_delnac_ade__1,0.0262317003,-0.37295602650000004,-0.7209944715000001,1.9550858975,-0.3867514555,0.073518865,0.20104987600000002,0.005806082000000001,0.801007542,-0.64709315,0.6633838155,-0.107717401,-0.138219263
minspan__bw_delnac_glc__1,1.001346801,0.38290944650000003,-0.25736778450000003,4.1933784015,-0.0298873485,0.12347822500000001,-0.20977958100000002,0.19238992300000002,0.39407921900000004,0.01202467,0.9233215645,-0.467616242,0.902572907
cra_crp__wt_ac__1,1.0863711551,-0.0328257425,0.3674172275,2.0863480225,-0.0116134025,-0.30622956500000004,-0.742559701,0.7848307330000001,0.47578300700000004,0.04067145,0.6015939125,-0.418468514,0.197504533
cra_crp__wt_ac__2,0.8336878533000001,-0.2421096245,0.3384722415,2.2137390515,0.2252757245,-0.352816565,-0.9262923190000001,0.774460393,0.531641946,-0.07536717,0.5640069925,-0.483728046,0.457470937
cra_crp__wt_fru__1,1.0368625843000001,-0.1517448405,0.3834883685,3.0051012785,0.39794611750000003,-0.26311180500000003,-0.6682155110000001,0.31349375300000004,0.5970210960000001,0.03859801,-0.1123649325,-0.592770205,0.750961819
cra_crp__wt_fru__2,0.7025173048000001,0.3576357495,0.2054923085,2.9457264435,0.46981018150000003,-0.088390225,-0.67264531,0.373244063,0.760850719,0.16989901000000002,0.0759054505,-0.568478295,0.353266491
cra_crp__delcra_ac__1,-0.8807284224,-0.28165289450000003,0.2869327275,0.0811476445,0.4494193225,0.08919740500000001,0.11561041600000001,0.205353913,-0.288056262,-0.5463671,1.0241111255,-0.24041298600000002,-0.255560142
cra_crp__delcra_ac__2,-0.7247794038,-0.2577535735,0.3210419345,0.1281678135,0.3185842795,0.021087685000000002,0.09357799500000001,0.159225273,-0.333104891,-0.60164381,0.9567989635,-0.248563267,-0.018594117
cra_crp__delcra_fru__1,-1.0473642383,-0.5650478855000001,0.051735604500000004,0.4770984125,0.7626294285,0.279636635,-0.23520989800000003,0.12650519300000002,0.030276397000000004,0.08214941,-0.6261674245000001,-0.480410486,0.23807412400000003
cra_crp__delcra_fru__2,-1.1080408711,-0.5359404715,-0.0001282705,0.9094384725,0.8010503025,0.32569436500000004,-0.27206712,0.163147493,-0.011744985000000001,0.0512861,-0.6063349505,-0.45491749600000003,0.894378051
cra_crp__delcra_glc__1,-0.5576092612,-0.6320801795000001,-0.012929336500000001,0.6681787855,0.6459496165,-0.027273645000000003,-0.168079895,0.046791002000000005,-0.005461662,-0.21585034,-0.4810433115,-0.504451831,0.100008329
cra_crp__delcra_glc__2,-0.570564802,-0.1786114915,0.0606533915,0.4221365595,0.6323207125,-0.13678458500000001,-0.21057234700000002,-0.014761104,0.03107586,-0.17183222,-0.4414097475,-0.5782221740000001,0.2655896
rpoB__wt_031__1,0.0132118688,-0.6635416905,0.8796580805,-0.07170356950000001,-0.09365448550000001,-0.018986005,-0.5273909440000001,0.271760703,0.00850632,-0.03265871,0.9796183775,-0.06396236200000001,-0.465655647
rpoB__wt_044__1,-0.333324483,-1.0256767535,0.1529809235,-0.1423367045,0.0599173605,-0.16863898500000002,-0.489225554,0.20485867300000002,0.121081062,-0.28323202000000003,-0.4360745105,-0.48135177,-0.298153427
rpoB__wt_lb__1,-1.5894333881,0.0896745235,1.7296796185,-0.1963407325,0.18485914950000001,0.377391115,-0.15921885200000002,0.24727295300000002,0.143933889,0.31083477,0.1183183455,-0.40970317,-0.753500006
rpoB__wt_lb__2,-1.0133678156,-0.2216865535,1.8043669795000001,-0.4040910405,0.0677473075,0.29310171500000004,-0.48498445700000004,0.204154523,0.010913744000000001,0.30948265,0.2149136805,-0.439755649,-0.333731167
rpoB__rpoBE546V_031__1,-0.0416854205,-0.2721030715,1.0493520285,-0.20678857350000002,0.5415185365,0.34542376500000005,-0.125953625,0.45717146300000006,0.22785987400000002,0.18085242,0.4961953525,-0.028183715,0.5852523230000001
rpoB__rpoBE546V_044__1,0.8004162454,-0.0202300195,0.8949292855000001,0.1856578545,-0.038738193500000004,0.433644805,-0.39908334700000003,0.376256283,0.285143348,0.08944964,0.3170394365,-0.123194439,0.6947658130000001
rpoB__rpoBE546V_lb__1,-1.3862254534,0.3043160095,1.4959443845,-1.1840552505,0.2023558125,0.154811065,-0.616440406,0.11748048200000001,-0.056968457,0.18659112,0.2074454875,-0.354521452,-0.004293098
rpoB__rpoBE546V_lb__2,-1.4034049405,0.1644076325,1.4852367445,-0.7583225675,0.23381149750000002,0.184431905,-0.7339689730000001,0.125422963,-0.12766796,0.17551241,0.1922024725,-0.336211197,-0.337894417
rpoB__rpoBE546V_glc__1,0.6639425424000001,-0.3243895765,-0.2559158055,-0.5579261015,0.2606450185,-0.25137586500000003,-0.012830224000000001,-0.004082425000000001,-0.035501603,-0.37339942,0.2577469175,-0.32011369,-0.753500006
rpoB__rpoBE672K_glc__1,-0.593964461,-0.4151126195,-0.1398647825,-0.9710645665000001,-0.2502435765,-0.868628418,-0.845946756,-0.66628918,-0.273362307,-0.30097453,-0.3728992365,-0.38510412600000005,-0.055610453000000004
rpoB__rpoBE672K_glc__2,-1.5076420682,-0.5287492405,-0.1516897425,-1.3668724365,-0.5064052225,-0.841749195,-0.687872351,-0.570898456,-0.338086579,-0.31629168,-0.3610426745,-0.29302495700000003,-0.001949563
rpoB__rpoBE672K_lb__1,-1.0942498444,-0.2543070865,0.3326916445,-1.9124584375,-0.6320646935,-0.730282673,-0.776727322,-0.228845183,-0.638854961,-0.45813851,0.0223481575,-0.5939588210000001,0.507828108
rpoB__rpoBE672K_lb__2,-0.3835140911,0.0584043745,0.3498458125,-1.6813022565,-0.4268369005,-0.70811133,-1.037479961,-0.18410035800000002,-0.733260739,-0.42975629,-0.1045006765,-0.634140758,-0.367950157
crp__wt_fru__1,0.644544242,0.0014141605,0.1579742805,3.0828900655,-0.1671749155,-0.120886425,-0.443483473,-0.134837475,-0.097269569,-0.03152985,0.5920289195,-0.260037938,0.125539398
crp__wt_glyc__1,1.1205248684,0.1968009335,0.1433048495,4.1592213895,-0.2618875335,-0.235195225,-0.770731799,-0.06971342200000001,-0.14039817100000002,-0.040884830000000004,0.6562773255000001,-0.322197604,-0.33515411500000003
crp__wt_glyc__2,0.8418693406000001,0.059462060500000004,0.3126312545,4.2036952715,-0.0666011505,-0.226979175,-0.651933875,0.000271048,-0.22646961100000002,-0.03488165,0.7884340815,-0.287365826,-0.16189999400000002
crp__delar1_glyc__1,-2.7644923785,-0.5885498525,1.0442103235,-0.21203657550000002,0.8891471485,0.817711665,-0.11425753100000001,0.768482663,0.236997052,0.34118742,0.41242719250000004,-0.469120586,0.7198705200000001
crp__delar1_glyc__2,-3.0032166421,-0.5366254055,1.2135667065,-0.0167642825,0.6493527355000001,0.8890342950000001,0.14120069700000001,0.980974663,0.22326224400000003,0.31353834,0.9250440955,-0.348731532,0.18945508
crp__delar1ar2_glyc__1,-1.3448734888,-0.2759772225,0.32616224850000003,0.0396532525,0.7544312805000001,0.427391075,-0.23825694300000003,0.29165508300000004,0.25556795800000004,0.31966295,-0.8619621925000001,-0.127367114,0.031613477
crp__delar1ar2_glyc__2,-1.2549204957,-0.5185956495,0.2664844015,-0.3215081725,0.7616485935,0.49290713500000005,-0.36393051800000004,0.25672264300000003,0.21727863600000002,0.27001649,-0.7414844335,-0.207661863,-0.211062508
crp__delar1ar2_glyc__3,-1.7060008341000001,-0.3392949745,0.2742602575,0.007580906500000001,0.8248009335,0.45579148500000005,-0.35181100200000004,0.37124749300000004,0.228705561,0.29785214,-0.5330538165,-0.21472747900000003,-0.216102386
crp__delar2_glyc__1,2.2302262398,-0.0621078035,1.9403082005,4.7976695775,0.18319583050000002,1.075854265,0.106723944,1.429825303,-0.235567623,0.69388617,-0.13973420250000002,-0.40980044600000004,0.673516768
crp__delar2_glyc__2,3.4201609857,-0.0450175455,1.8111272405,4.7755386925,0.6405751255000001,0.8624663450000001,-0.228141473,1.300445483,-0.06949463,0.6681157600000001,-0.2177205435,-0.317628098,0.17062685100000002
crp__delar2_glyc__3,3.3001341791,0.0079408165,1.8476113404999999,4.6683172545,0.6603586245,0.782298315,-0.08350162100000001,1.236903523,-0.03537821,0.75800825,-0.0075115805,-0.21726345500000002,-0.44904140600000003
crp__delcrp_fru__1,-2.6659324335,-0.6919441515,0.7401427215,0.3131223325,0.5897743515,0.7741806250000001,0.08561462900000001,-9.852476477,0.006549569000000001,-0.15127237,-1.0996969815,-0.356106085,0.5000492590000001
crp__delcrp_fru__2,-3.4701569872,-0.7826353615,0.8927814425,0.8349664615,0.4983833955,0.780515025,-0.13766297200000002,-9.107951936,-0.002231182,-0.32019692,-1.1956019635,-0.412112491,-0.381160198
crp__delcrp_fru__3,-2.4709910709000003,-0.33732334350000004,0.7223680045,0.6571297525,0.7223274085,0.668204965,0.10349789000000001,-9.852476477,0.072468399,-0.17097684,-0.9428023525,-0.368307158,-0.19177179500000002
crp__delcrp_glc__1,-3.8032936,-0.9869863685,0.8523272275,0.1476371255,0.1081358905,0.9036337950000001,-0.014965078000000001,-9.025871704,-0.041410263,-0.32083217,-0.6906416925000001,-0.310786963,-0.217831131
