,A,GlnR
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,-6.4905743127,-1.8619856204
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-1.2815107141,-0.6874227669
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,0.9778044519,0.10373877670000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.2786915044,0.20778473500000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,2.3113336971000003,0.6609084537000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,1.0689803925,0.6211295894000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,-3.9215811566000003,-1.0621444347
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,2.0600616126,1.0341635733
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,1.3981556742,0.7799601414
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,-5.4885611212,-1.704704634
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-1.6074233834,-0.8954090281
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,-1.1537067038,-0.18238254080000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,-3.977697685,-1.0406463117
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,-5.5495198697,-2.2075882806
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,-4.9134781288,-1.9709281086
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,-4.7025135835,-1.8769293022
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-4.3765817687,-1.4470462763
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,-5.1441247803,-1.6549568824
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,-4.7777272419,-1.0911028271
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,-5.2144363921,-1.7945233411000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,-3.3368185175000002,-1.0623982425
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,-5.724931359,-2.2502515359
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,-5.0939216378,-1.966372076
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,-5.1329938367,-2.0989160846
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,-4.2255291360000005,-1.4830055446000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,-4.0359602593,-1.5275301800999999
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,-4.5337619459,-2.1699478068
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,-3.8766147079,-1.5494183666999999
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,-3.0812048024,-2.3847140172
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,-4.1826893789,-1.7656318171
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-3.4064882581,-0.6707908574
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-3.0912761908,-0.2560469007
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-3.4488391445,-0.8561471269
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,0.4430076214,-0.0983840057
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,-0.3384476286,0.042173568700000004
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,-0.1045599927,0.056210437
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-3.758544103,-1.1484407917000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-3.4619754927,-0.7672163744
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,-3.7549563766,-0.7587270143
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-5.0338012315,-0.7333122009
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,1.0777380963,-0.045651578500000005
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.1941117979,0.019130522100000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.2555858763,0.0253032919
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,-0.6280404222,0.0012177646
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,0.39293659480000004,0.0282540507
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,-1.9084538122999999,-0.199759758
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,-0.3966161134,-0.0820201894
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,-0.1002587882,-0.0523783799
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,-1.245645955,0.0289963871
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,0.20436171760000002,-0.061118424500000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,-0.6057000972000001,-0.061307353200000005
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,-0.8914396670000001,-0.045583377
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,-0.3579363232,-0.469543064
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,0.2737805043,-0.23901643930000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-2.6441699012,-0.9346744093
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-4.7671008446,-1.1662260556
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,0.43867292300000005,-0.046775795
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,-0.18050539810000002,-0.17674472030000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,-0.0549658332,-0.12914943950000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,-7.6141708478,-2.8996969706
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,-7.8101743281000005,-2.9860448601
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,-7.3106092997,-2.9727163457
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-1.6125822711,0.2260598097
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,-6.3009362080999995,-1.1656161229
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-1.9700271353,-0.7846854501
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,-5.8280886799000005,-0.8790544622
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-1.3242536154,0.5253928616
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,-5.9689773751,-1.3115533519
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,0.36862695430000003,1.0200248591
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,-9.3044321064,-2.5067563346
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-0.1204128037,0.0748328714
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,-8.7893581162,-2.3850562201
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-0.4514158424,-0.7421877757
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,-9.7546177648,-2.8628914615000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.0123018659,0.1229964359
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,0.6377336404,0.3260579356
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.6500355063000001,-0.4490543715
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,0.7411367053,-0.5298663594
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,0.8429782019000001,-0.2212957291
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,0.7601610909000001,0.019336564100000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-3.3292057785,-0.8592866627
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,0.7886526417,0.0271934404
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-4.815644926,-1.5021473401
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,0.5324031521,0.1362170539
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,0.6910595468,0.1581710972
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-0.1306319933,-0.15848697350000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,-5.696937923,-2.3801244795
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,-5.7788603005,-2.4558186775
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,-5.6868577202,-2.2855491611
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,-5.9044863182,-1.6650025279
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,-5.800813687,-1.7202707727000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,-4.6538279188,-1.4804463008
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,-5.9336420645,-2.1761075519
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,-6.0208005588,-1.9561529160000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,-5.9480577198999995,-1.991176763
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,-9.4406113381,-2.5449896373
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,-10.1288295982,-2.2956382944
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,-7.9839050525,-2.0482852174
