,A,TyrR,GntR
nac_ntrc__bw_delnac_csn__2,2.7739849388,8.0468056973,7.2630884941
nac_ntrc__bw_delnac_cytd__1,1.571283911,7.7281092599,6.8563510799
nac_ntrc__bw_delnac_cytd__2,1.1706025192,7.6209476705,6.8269421744
nac_ntrc__bw_delnac_gln__1,0.0024672471,7.7910540361,6.9502133585
nac_ntrc__bw_delnac_gln__2,1.6618141732,7.8044142924,7.0073648754
nac_ntrc__bw_delnac_nh4__1,1.5043980885,7.450600944,6.9596610877
nac_ntrc__bw_delnac_nh4__2,1.5958919763,7.3744606936,6.6855663819
misc__wt_no_te__1,0.4924340864,7.7358955996,6.8951702504
misc__wt_no_te__2,0.7626669892,7.6112976192,6.8962886781
misc__bw_delcbl__1,0.7316263344,7.21798561,6.5115483472
misc__bw_delcbl__2,0.8585677020000001,7.3871736668,6.6502284157
misc__bw_delfabr__1,-0.0478904239,7.2293364777,6.6451062756
misc__bw_delfabr__2,0.6810176366,7.2236731911,6.5450001563
misc__bw_delfadr__1,0.0749660369,7.3675702603,6.8909649047
misc__bw_delfadr__2,-0.37124154400000003,7.3227861050000005,6.7649944837
misc__nitr_031__1,1.4569454726,7.7483321512,7.0024293375
omics__wt_glu__1,-0.43274436250000003,6.5448447765,8.0558358906
omics__wt_glu__2,-0.40544317100000005,6.7185133755,8.0986862227
omics__wt_gly__1,-0.1316301269,6.7762641648,7.6583818556
omics__wt_gly__2,-0.6659057827,6.6731033175,7.5706884143
omics__wt_thr__1,3.6387339333,7.3203805794,8.3756000685
omics__wt_thr__2,2.7712421432000003,7.3168507999,8.4459061135
omics__bw_ac__1,3.6111646758,7.1986188923,7.627021026
omics__bw_ac__2,2.8139689498,7.150536171,7.6754506589
omics__bw_fum__1,2.0833887693,7.0321525406,7.2335477884
omics__bw_fum__2,1.6111248040000001,6.9111700408,7.2578797871
omics__bw_glc__1,-0.12808796990000001,7.1626133235000005,7.1614872085
omics__bw_glc__2,-0.5224896691,7.1338746346,7.2497508494
omics__bw_pyr__1,1.9035474680000002,7.1146363912,7.6620015783
omics__bw_pyr__2,1.8209549312000002,7.1849926577,7.6782993396
ompr__wt_nacl__1,0.7046223942000001,7.8735006398,7.2906308869
ompr__wt_nacl__2,0.5353469224,7.7381740876,7.2711664863
ompr__bw_delompr_nacl__1,-0.6597688845,7.4872834314,7.0848418286
ompr__bw_delompr_nacl__2,-0.40378081520000003,7.5459764743,7.0991127573
minspan__wt_ade__1,-0.5392731036,7.207822132,6.7949834726
minspan__wt_glc__1,-0.36216606900000003,6.9155641724,6.5721860177
minspan__wt_glc__2,-1.0397427237,7.0212260024,6.6818907367
minspan__wt_glc__3,-1.6373677338000001,6.9989407736,6.6144777559
minspan__wt_glc__4,-0.06589765780000001,7.1054543806,6.8906636684
minspan__wt_glc_anaero__1,-0.6910650505,7.4483122272,7.0982664572
minspan__wt_glc_anaero__2,-0.034526254900000004,7.5762083008,7.4106975388
minspan__wt_trp__1,2.7112706353,7.5933482746,7.0834215717
minspan__bw_delcra_glc__1,1.6519673061,7.7149927933,6.9189714385
minspan__bw_delcra_glc__2,1.4102793613,7.7823370191,6.9660015448
minspan__bw_delcra_trp__1,2.7386924476,7.8131262921,6.9288074074
minspan__bw_delmntr__1,2.7428359141,7.7658355132,7.0396385778
minspan__bw_delnac_ade__1,-0.1209238502,7.1774886018,6.7305525711000005
minspan__bw_delnac_glc__1,-1.2078145535,7.0268032217,6.4887750314
cra_crp__wt_ac__1,3.8465218846,6.6338553118,8.039855398
cra_crp__wt_ac__2,3.0285101877,6.5532671516,7.8678559559
cra_crp__wt_fru__1,2.6753663518,6.5148952051,7.8469230026000005
cra_crp__wt_fru__2,1.9989891927,6.685523829,8.2850825783
cra_crp__delcra_ac__1,3.7267224224,7.585882646,7.179744167
cra_crp__delcra_ac__2,3.2218537202,7.5984973043,7.1380289306
cra_crp__delcra_fru__1,-0.0261266736,7.6097630426,6.9190019514
cra_crp__delcra_fru__2,-0.5507829876,7.5394033187,6.8088947127
cra_crp__delcra_glc__1,-0.2163733948,7.3600093233,6.8674453783
cra_crp__delcra_glc__2,-0.0637281009,7.4214276986,6.7352206657
rpoB__wt_031__1,3.0748603132,7.268995736,7.2997590069000005
rpoB__wt_044__1,0.650556181,7.3290069972,6.9932681323
rpoB__wt_lb__1,8.1004323334,7.3314807182,6.9310807758
rpoB__wt_lb__2,9.0294977964,7.3711052834,7.1955958865
rpoB__rpoBE546V_031__1,3.4748756605,7.4909699731,6.981678549
rpoB__rpoBE546V_044__1,2.9707333493,7.5364249772,7.3595359469
rpoB__rpoBE546V_lb__1,7.9467951475,7.5575573361,7.1143348445
rpoB__rpoBE546V_lb__2,8.4716602806,7.6560140154,7.2375954273
rpoB__rpoBE546V_glc__1,1.3631697358000001,7.1250688067,7.1063873095
rpoB__rpoBE672K_glc__1,-0.5314771579,7.1713691386,6.5526654676
rpoB__rpoBE672K_glc__2,-0.2537970027,6.9863185615,6.6299994796
rpoB__rpoBE672K_lb__1,8.6835165456,7.1818676208,7.0684881142
rpoB__rpoBE672K_lb__2,8.2085554276,7.148266725,7.0324819643
crp__wt_fru__1,0.7802322781000001,6.8806818806,7.1403052683
crp__wt_glyc__1,2.2097814638,6.876442475,6.8397035422
crp__wt_glyc__2,2.2805415304,6.8028276963,6.8868233665
crp__delar1_glyc__1,2.060754986,8.0609901187,7.7613018755
crp__delar1_glyc__2,3.0632753997,8.1505139538,7.7063910714
crp__delar1ar2_glyc__1,0.7699892367000001,7.4502935623,7.2439531856
crp__delar1ar2_glyc__2,1.8945689171,7.5315164397,7.1361443178
crp__delar1ar2_glyc__3,1.8017353815,7.5669305863,7.1010681169
crp__delar2_glyc__1,4.94143936,7.7482299577,7.3409746977
crp__delar2_glyc__2,5.11566558,7.6404604553,7.2613142239
crp__delar2_glyc__3,4.884178553,7.6301737508,7.4413978175
crp__delcrp_fru__1,-0.7918917934,7.8745916921,7.3543267784
crp__delcrp_fru__2,0.3574750357,7.8147253742,7.1921182349
crp__delcrp_fru__3,0.6153151992,7.9275965573,7.2759134541
crp__delcrp_glc__1,0.3853379736,7.8285668973,7.1223078846
crp__delcrp_glc__2,0.8504065886000001,7.8081241616,7.1573772983
crp__delcrp_glc__3,0.4388614879,7.9138528909,7.1990769341
crp__delcrp_glyc__1,1.017214132,7.7383583118,6.9486181596000005
crp__delcrp_glyc__2,0.13231511910000002,7.7681141038,6.9986807787
crp__delcrp_glyc__3,1.048743888,7.8217336725,7.1910949622
glu__glu_ale3__1,1.8942197722,8.0009345197,7.5625227811
glu__glu_ale4__1,0.8945071792,7.1307750972,6.9829255698
glu__glu_ale5__1,1.2716358202,6.8428594031,6.5239010367
glu__glu_ale6__1,0.33963765300000004,6.8918115463,6.5797082188000005
glu__glu_ale8__1,2.40783571,8.2211290392,7.6189161543
glu__glu_ale9__1,1.6310916368,7.7199308278,7.6737397993
glu__glu_ale10__1,1.8601875789000002,7.8891547409000005,7.5351227045
42c__wt_42c__1,1.6348345518,7.5267801848,6.8962735189
42c__42c_ale1__1,4.9687728738,7.6688869606,7.3538791858
42c__42c_ale2__1,1.5441700487,6.9386070685,6.4649283045
42c__42c_ale3__1,1.5041307480000001,7.255393482,6.8575412223
42c__42c_ale4__1,1.3282358393,7.5445742267,7.5294176772
42c__42c_ale5__1,0.32721733470000003,6.9552146840999995,6.8467087383
42c__42c_ale6__1,2.945361491,7.9078331397,7.9200474275
42c__42c_ale8__1,2.2645321389,7.8030218224,7.8899576471
42c__42c_ale9__1,-0.34439113400000004,7.1298038381,6.8837972851
42c__42c_ale10__1,2.9605834905,7.8484739863,7.4395033663
ssw__wt_ac__1,2.5658128332,7.2391763194,7.0976506083
ssw__wt_glc__1,0.11368040700000001,7.0868665988,6.7834504236
ssw__wt_glyc__1,5.1606725174,7.7515287651,8.2058116002
ssw__wt_xyl__1,3.0306518303,7.6477794255,7.6297497396
ssw__glc_ale1__1,2.4480686908,8.1132961827,7.5483595328
ssw__glc_ale2__1,3.7427624831,7.9557683707999995,7.163417166
ssw__glc_ale3__1,2.6795543798,8.1045019339,7.5791043562
ssw__glyc_ale1__1,4.4490286094,7.6596698335,7.7232945444
ssw__glyc_ale2__1,5.6331633501,7.3447738703,7.3692473629
ssw__xyl_ale1__1,2.2733734219,6.8066663056,7.0969758119
ssw__xyl_ale2__1,3.9870785286,7.070827336,7.453553156
ssw__xyl_ale3__1,0.8031371515,6.9362752786,7.0887194066
ssw__glc_ac_ac2__1,2.4398381783,6.6188258523,6.7174046149
ssw__glc_ac_glc1__1,0.4678807843,7.0348970369,7.3903480435
ssw__glc_ac_glc2__1,3.2101487962,7.4710077235,6.9707344506
ssw__glc_glyc_glc__1,3.1270210604,7.386398605,7.4088783283
ssw__glc_glyc_glyc__1,2.5613203053999998,6.9604604735,6.7983732414
ssw__glc_xyl_glc__1,0.6688708784,6.7462771342,6.7310664233
ssw__glc_xyl_xyl__1,0.8737603651,6.7095885683,6.8494890472000005
pgi__glu4_delpgi__1,2.9275837228,7.8542044695,6.9078971086
pgi__pgi_ale1__1,1.290373317,7.3030952357,7.1231513164
pgi__pgi_ale2__1,3.5385489681999998,7.8631218796,7.4002699321
pgi__pgi_ale3__1,1.6542760974,7.1384483161,7.224509584
pgi__pgi_ale5__1,1.5705572775999999,7.5493373393,7.043937133
pgi__pgi_ale6__1,0.7134160469,7.3147864587,7.1462463433
pgi__pgi_ale7__1,-0.2826754435,7.3813635997,6.9195668255000005
pgi__pgi_ale8__1,1.4545148086,7.3708308024,7.0850234195
ica__wt_glc__1,1.7680183883,6.9961250168,6.5414551931
ica__wt_glc__2,1.716094874,7.0624127017,6.5737086998
ica__wt_glc__3,0.6125613396,7.2734127376,6.8594874614
ica__wt_glc__4,0.06395445300000001,7.3275025277,6.8558085344
ica__arg_sbt__1,5.4085009433,7.2572908184,6.5626751304
ica__arg_sbt__2,5.6226663551,7.2247640144,6.9153602423
ica__cytd_rib__1,8.1909098918,7.4802933378,7.1693117629
ica__cytd_rib__2,7.7256848017,7.577963142,7.1616188825
ica__gth__1,1.5019232852000002,7.907621816,7.5332165186
ica__gth__2,1.0141191081,7.9095154355,7.6054822142
ica__leu_glcr__1,4.0586065015,7.246468941,6.7889670487
ica__leu_glcr__2,3.6750313328,7.1749534893,6.7610647734
ica__met_glc__1,2.2258807018,7.213640758,6.6215647623
ica__met_glc__2,2.5016885664,7.1113018594,6.5106744564
ica__no3_anaero__1,-0.47125941060000004,7.8180968277,7.0386891566
ica__no3_anaero__2,-0.5648628175,7.7967669273,7.0417221516
ica__phe_acgam__1,2.7671847779,7.1345329574,6.7035211044
ica__phe_acgam__2,2.6045709197,7.0674960162,6.6748585207
ica__thm_gal__1,4.4391731046,7.1839304088,6.7763256228
ica__thm_gal__2,4.6942833265,7.2839918888,6.8747471596
ica__tyr_glcn__1,26.3420187375,6.7898815618,6.6440773119
ica__tyr_glcn__2,26.9075026618,6.9365412975,6.5700523823
ica__ura_pyr__1,0.9965135174,7.1421394697,7.0272987591
ica__ura_pyr__2,2.1035619426,7.2104527822,7.0023708727
ica__wt_glc__5,1.7456370898,7.2885757315,7.0050919905
ica__wt_glc__6,0.7283803507000001,7.303178524,6.9019964715
ica__bw_delpurR_cytd__1,2.0783299302,7.0296815408,6.7331357845
ica__bw_delpurR_cytd__2,1.7802239635000001,7.0382563537,6.8460254562
ica__ade_glc__1,0.6060949317000001,7.1636360497,6.9603024753
ica__ade_glc__2,-0.16485168890000002,7.2373344091,7.0878481975
ytf__wt_glc__1,0.6447767244,7.4128942623,7.1926295739
ytf__wt_glc__2,1.0338129827,7.697422288,7.4415554442000005
ytf__delyafC__1,3.0626994504,7.9280597351,7.4278520341
ytf__delyafC__2,3.7116542384,7.9784846318,7.3353849835
ytf__delyeiE__1,0.7190072688,7.7564173119,7.0346003904
ytf__delyeiE__2,0.8527003154,7.4931254051,7.0333419664
ytf__delyiaJ__1,2.2181911644,7.9587301996,7.2393010157
ytf__delyiaJ__2,2.0001305837,7.9738682389,7.3692431421
ytf__delyieP__1,2.4101729101,8.1125465768,7.6471464309
ytf__delyieP__2,2.2283607321,7.9447367323,7.6326170727000004
ytf__wt_ph5__1,0.2059334647,7.4820588651,7.0311683821
ytf__wt_ph5__2,0.1616370302,7.4736782506,7.0388665033
ytf__wt_ph8__1,-1.0500122006,7.4061420639,6.9555861239
ytf__wt_ph8__2,1.2235455092,7.3323973101,7.122248698
ytf__delybaO__1,3.9695521877,7.8400965404,7.3806384985
ytf__delybaO__2,2.7549431998,7.8951096959000004,7.3876094409
ytf__delybaQ__1,0.2491514078,7.4825406088,7.2211407894
ytf__delybaQ__2,-0.3434019501,7.4914364085,7.0929237631
ytf__delybiH__1,2.1579384793,7.9522603264,7.4115782237
ytf__delybiH__2,3.2306154356,8.0489828968,7.6400150189
ytf__delydcI_ph5__1,0.3416438261,7.3633472954,6.8129375563
ytf__delydcI_ph5__2,-0.5493261771,7.3789838112,7.091940503
ytf__delydcI_ph8__1,0.18775123100000002,7.4045879017,7.0391594179
ytf__delydcI_ph8__2,-0.053925473,7.3292859517,6.9536044655
ytf__delyddM__1,-0.0056505587,7.8271096909,7.1992015268
ytf__delyddM__2,-0.1977052783,7.6981975324,7.2747605465
ytf__delyheO__1,3.7460501863999998,7.8981039958,7.1843250663
ytf__delyheO__2,3.4580441410000002,8.0380255842,7.3640277552
fps__bw_glc__1,0.0900040091,7.3511110682,7.2454446552
fps__bw_glc__2,-0.33923128900000005,7.2290534445,7.1253245119
fps__fps_thrA_ale1__1,-0.3869423421,7.4636346275,7.2027014789
fps__fps_thrA_ale1__2,0.552415529,7.4349057082,7.1421820713
fps__fps_thrA_ale2__1,-0.1324462956,7.388667756,7.1100341382
fps__fps_thrA_ale2__2,0.0523283076,7.4279326991,7.0369409147
fps__fps_serB_ale1__1,-0.626978205,7.5224078201,7.1373456873
fps__fps_serB_ale1__2,-1.3749953682,7.5392928606,7.0079258143
fps__fps_serB_ale4__1,-2.1284521896,7.7085002916,7.3346010133
fps__fps_serB_ale4__2,-2.6720427941000002,7.5896195479,7.4407868112
fps__fps_ptsI_ale1__1,3.4038088645,7.2564440881,6.9398109635
fps__fps_ptsI_ale1__2,3.5856056887000003,7.2600175505,6.7982606179000005
fps__fps_ptsI_ale3__1,1.7071735356,7.0965491492,6.9573255706
fps__fps_ptsI_ale3__2,2.4365355737,7.1586360987,6.9466465762
pal__lyx_ale2_f6__1,2.4552159347,7.1967525987,7.2430677856
pal__lyx_ale2__1,2.5351683336,6.6171583175,6.5168675215
pal__lyx_ale2__2,2.693328791,6.4443454105,6.5260082758
pal__lyx_ale4__1,2.5351683336,6.6171583175,6.5168675215
pal__lyx_ale4__2,2.693328791,6.4443454105,6.5260082758
pal__5drib_ale10_f18__1,4.0222107105,6.8410586229,7.0740383744
pal__5drib_ale10_f18__2,3.8259763651,6.6418744801,7.2798369772000004
pal__5drib_ale10__1,5.693276225,7.1102839051,7.4257023175
pal__arab_ale14_f9__1,1.49974848,7.1336095168,7.2471782913
pal__arab_ale14_f9__2,1.7589831710000001,7.1310414796,7.2567509507
pal__arab_ale14__1,1.2373414131,7.0003118146,6.8398715263
pal__arab_ale14__2,1.3988675537,6.8890022108,6.7830451058
pal__arab_ale16__1,4.41425039,6.9581423611,7.3677354075
pal__arab_ale16__2,4.1118358968,7.1525274619,7.5375547474
pal__tartr_ale26_f10__1,3.6198566824,6.7354491019000005,7.0813250267
pal__tartr_ale26_f10__2,3.6915970526,6.9407623329,7.230576984
pal__tartr_ale26__1,2.1716422289,6.7911660496,6.8879525555
pal__tartr_ale26__2,2.5126692363,6.8415018861,6.9656058791
pal__tartr_ale28_f10__1,4.2088889958,7.3708514136,7.1779067208
pal__tartr_ale28_f10__2,3.5574122295,7.3501497337,7.148312497
pal__tartr_ale28__1,2.1567158377,6.9453936260999996,6.7922941771000005
pal__tartr_ale28__2,1.7098792197,6.7860680896000005,7.0073955305
efeU__delmenFentC_citr__1,0.2508390306,7.3111852348,6.7489049638
efeU__delmenFentC_citr__2,1.264091442,7.4444737779,7.0657164697
efeU__delmenFentC__1,0.1878275629,7.7906400136,7.0077457625
efeU__delmenFentC__2,0.4616594815,7.828735311,7.0009347916
efeU__menFentC_ale39__1,4.2537898177999995,8.2771203244,7.1936451718
efeU__menFentC_ale39__2,4.6430641165,8.1989065258,7.0487173269
efeU__menFentC_ale29__1,4.0437929998,7.8980046314,7.0845542776
efeU__menFentC_ale29__2,3.9110455562,7.9844266504,7.2164265909
efeU__menFentC_ale30__1,2.1790116763,7.2872537272,6.9164058636
efeU__menFentC_ale30__2,1.4476113728,7.2079194736,6.9709101257
efeU__menFentCubiC_ale36__1,-0.28585679880000003,7.5245547536,7.0132471048
efeU__menFentCubiC_ale36__2,0.9386780764,7.4778701502,6.8901003744
efeU__menFentCubiC_ale37__1,-0.0537593035,7.5521188364,6.8727063742
efeU__menFentCubiC_ale37__2,0.1931758678,7.522704517,6.9643213014
efeU__menFentCubiC_ale38__1,0.7029994848000001,7.2162668098000005,6.9818279685
efeU__menFentCubiC_ale38__2,1.1065829972,7.165574733,6.9896057861
