,A,SigW
Pyr_2,-1.0538096929,14.6793
Pyr_3,-1.6649837339,14.4628
Gly_1,-5.312263752,14.0765
Gly_2,-4.0112389796,14.9971
Gly_3,-8.0948471836,13.0675
Glucon_1,-7.6886544336,13.4571
Glucon_2,-8.2875768275,13.6341
Glucon_3,-9.8102998341,12.8719
aero_1,4.4733645024,15.5383
aero_2,12.6068731051,15.2365
aero_3,10.2283135182,15.6721
nit_1,1.0018930892,14.9789
nit_2,-0.10510151570000001,15.3803
nit_3,1.0794322576,14.8664
ferm_1,5.4776059085,15.2653
ferm_2,3.3662470846,15.2304
ferm_3,5.5202172825,15.4875
T-5.40H_1,1.5956777064,15.3325
T-4.40H_1,3.6051411233,15.4469
T-3.40H_1,5.9546185649000005,15.7099
T-2.40H_1,8.0654720223,15.9047
T-1.40H_1,13.5096183168,16.3479
T-1.10H_1,15.0372186247,15.8658
T-0.40H_1,21.7234964708,16.4507
T0.0H_1,21.4304270072,16.4462
T0.30H_1,27.1566467966,16.4523
T1.0H_1,23.0582937122,16.4306
T1.30H_1,18.566218807,16.4515
T2.0H_1,14.2898994663,16.4111
T2.30H_1,15.1042312312,16.4213
T3.0H_1,13.4884154212,16.4487
T3.30H_1,12.2323910547,16.4259
T4.0H_1,10.889097166300001,16.2654
T5.0H_1,6.0919875607,15.7535
HPh_1,-5.0055118377,14.6691
HPh_2,-3.9011170509,14.4404
HPh_3,-4.1048443374,14.7579
LPh_1,-7.6024894087,14.3169
LPh_2,-6.2827087315,14.9171
LPh_3,-7.0054775191,14.3085
LPhT_1,-19.0592886197,12.6217
LPhT_2,-17.013256732,12.3728
LPhT_3,-16.3766377569,12.6881
SMMPr_1,6.1434186721,15.1122
SMMPr_2,8.1193285116,15.3906
SMMPr_3,8.2867745841,15.4298
HiTm_1,-13.5347155601,13.6651
HiTm_2,-13.5346421231,13.6438
HiTm_3,-12.148390914,13.7232
LoTm_1,-4.0625719045,14.3189
LoTm_2,-4.4818945769,13.9344
LoTm_3,-4.4689534786,14.0599
HiOs_1,-2.2851273968,14.478
HiOs_2,-3.6774362331,14.2047
HiOs_3,-1.7832146189,14.4752
BMM_1,-9.674606941,14.1221
BMM_2,-9.6908144791,14.0656
BMM_3,-8.9777642077,14.0514
Heat_1,-19.3871961554,13.5167
Heat_2,-19.8772031156,12.9773
Heat_3,-19.5718694175,12.8472
Cold_1,4.8265583179,15.0889
Cold_2,6.5824329029,14.895199999999999
Cold_3,5.1720273124,14.2528
Etha_1,6.2026067943,13.906600000000001
Etha_2,2.7237802006000003,13.6961
Etha_3,5.8283203003,14.1176
SMM_1,-0.2991751445,14.5791
SMM_2,0.3204980818,14.529
SMM_3,-1.1191642302,14.5147
Salt_1,29.2701941879,15.9093
Salt_2,28.793870722,15.7803
Salt_3,30.4612170879,15.9365
Mt0_1,-3.7248306453,14.3709
Mt0_3,-5.5577025538000004,14.5028
M0t45_1,-8.7984327102,13.4776
M0t45_2,1.5143910582,14.7705
M0t45_3,-6.9039402042999996,14.161200000000001
M0t90_1,-15.6122484236,12.0843
M0t90_2,-14.2923109498,13.1447
M0t90_3,-13.8383683922,12.4572
M40t45_1,-7.8686637553,13.3832
M40t45_2,-4.2399908399,13.6898
M40t45_3,-8.0952820852,14.3575
M40t90_1,-13.2317937689,12.3657
M40t90_2,-13.9689963738,13.1642
M40t90_3,-14.4009873219,12.8761
dia0_1,-3.0493147846,14.2522
dia0_2,-4.2442214249,14.2542
dia0_3,-5.0544551241,14.4565
dia5_1,5.2267636526,14.7849
dia5_2,-6.9752981608999995,13.7548
dia5_3,-9.6712274492,13.8658
dia15_1,-15.5952899979,13.8273
dia15_2,-16.0334499527,13.9306
dia15_3,-10.5450468343,13.896
Diami_1,-4.4819164454,14.880700000000001
Diami_2,-2.0878464176,15.5925
Diami_3,-7.0789657225,14.9864
Paraq_1,-9.4875814919,14.7935
Paraq_2,-8.3199680645,15.1976
Paraq_3,-9.9991291355,13.6365
H2O2_1,-7.2378515031,14.5052
H2O2_2,-5.5872658887,14.8986
H2O2_3,-7.601325695,14.3066
Oxctl_1,-7.4444307853,14.4408
Oxctl_2,-7.1183460902,14.646
Oxctl_3,-5.9439864952,14.924
GM-0.1_1,-3.3697070776,14.2394
GM-0.2_1,-4.2259269063,14.0676
GM+5_1,1.0106604789,14.2869
GM+15_1,-5.1506419189,14.2248
GM+25_1,-4.1880357786,14.8374
GM+45_1,-2.4692684104,14.6927
GM+60_1,-3.2598852725,14.4373
GM+90_1,-1.5967151325,14.6388
GM+120_1,-1.7984098195,13.9495
GM+150_1,2.2330814606000002,14.7972
GM-0.1_2,-3.5779489035000003,14.4952
GM-0.2_2,-5.0507582897,14.529
GM+5_2,-0.1735336002,14.6437
GM+10_2,-4.416026461,14.3472
GM+15_2,-8.9134256858,13.9085
GM+25_2,-7.4364997058,14.4128
GM+45_2,-3.3376612474,13.7753
GM+60_2,-4.6219008656,13.6118
GM+90_2,-2.6305889756000003,14.8147
GM+150_2,-1.2859415619,14.2111
GM-0.1_3,-2.1365499735,14.7868
GM-0.2_3,-1.8399142698,14.5826
GM+5_3,1.8679787711,14.9743
GM+10_3,-3.3727548889,13.7771
GM+15_3,-5.880709221,14.1954
GM+25_3,-8.2662816576,13.8632
GM+45_3,-5.4280556553,13.8789
GM+60_3,-5.625128274,13.6519
GM+90_3,-4.176521958,14.4165
GM+120_3,-2.9746546044,14.568200000000001
GM+150_3,1.0282714979,14.9446
MG-0.1_1,-5.6152617754000005,14.0741
MG+5_1,-2.9048741951,14.3004
MG+10_1,-2.5061789167,14.6694
MG+15_1,-1.6971510079,14.0463
MG+25_1,-0.2793155983,14.5792
MG+45_1,-0.42191667600000005,14.5424
MG+120_1,0.9902405927000001,14.2517
MG+150_1,-0.7542710725,14.7319
MG-0.1_2,-5.7591723802,13.3101
MG-0.2_2,-5.6658731381,13.9022
MG+5_2,-3.1965853257,14.0225
MG+10_2,-3.3129607046,14.2852
MG+15_2,-1.979996189,15.122
MG+25_2,-1.8108447952,14.1491
MG+45_2,-2.3174026215,13.866
MG+60_2,-1.5056644544,14.4077
MG+90_2,-1.283660469,14.147
MG+120_2,3.9074804001,15.0117
MG-0.1_3,-6.4499425996,14.464
MG-0.2_3,-7.5246802526,13.9407
MG+5_3,-5.1565650663,14.007
MG+10_3,-5.8811677882,13.3646
MG+15_3,-3.4742059932,14.5863
MG+25_3,-3.0108515927,14.7047
MG+45_3,-2.6470305966,15.1194
MG+60_3,-2.8319467934,14.5977
MG+90_3,-1.9946247986,14.8696
MG+120_3,-0.5328440004,14.3501
MG+150_3,-3.2034832066,14.739
