,A,YvrHb,WalR,DegU,SigA
T-0.40H_1,5.7611204159,10.6536,12.157,13.8993,13.1869
T0.0H_1,7.6352625926,10.7006,11.8317,13.7988,13.1322
T0.30H_1,1.0450086349,9.4378,11.9402,13.7198,12.4796
T1.0H_1,3.3563797689,9.5835,11.3812,13.1582,12.338
T1.30H_1,7.7247340704,9.2011,11.106,12.8293,12.2101
T2.0H_1,13.6874391413,9.3879,10.8932,12.8278,12.1585
T2.30H_1,17.2096260538,10.1387,11.7486,13.6045,12.7417
T3.0H_1,18.5340138783,9.6296,11.316,13.2043,12.3403
T3.30H_1,19.2770731891,9.687100000000001,11.6975,13.4487,12.2105
T4.0H_1,18.7870463302,9.5223,11.7305,13.5031,11.7531
T5.0H_1,15.0383193411,8.9727,10.828,12.8505,11.4151
HPh_1,9.7477830948,11.1866,12.2467,13.6823,13.9961
HPh_2,9.2464745263,10.6242,11.8459,13.4501,13.8834
HPh_3,8.6320617983,10.7409,11.714,13.4852,13.9816
LPh_1,8.5333546265,11.2119,12.0601,13.5526,14.0627
LPh_2,10.9650281169,11.6492,12.7724,14.1256,14.6632
LPh_3,9.1983673848,11.0517,12.1402,13.595,14.1228
LPhT_1,-11.4925141049,9.794,12.4314,12.8649,13.2688
LPhT_2,-11.1823215405,9.9297,12.398,12.9545,13.1712
LPhT_3,-11.3057953536,10.2483,12.689,13.2416,13.3603
SMMPr_1,9.3186669116,10.8369,11.6167,13.5762,14.0475
SMMPr_2,9.7561100038,10.6595,12.0468,13.5921,14.0387
SMMPr_3,11.0466667445,10.798,11.9176,13.6314,14.0168
HiTm_1,1.50013046,10.0233,11.0858,13.751,14.1183
HiTm_2,1.4401853959,10.877,11.7564,13.9674,13.3113
HiTm_3,-0.9212375062,11.0115,11.6206,14.1628,13.5911
LoTm_1,-6.491592415,10.9253,12.2747,13.6602,12.3657
LoTm_2,-6.2313354808,10.4095,11.8629,13.1146,12.2284
LoTm_3,-6.3429960076,10.6908,11.8627,13.0032,12.255700000000001
HiOs_1,-17.9706213769,10.7891,11.9677,14.6441,13.2213
HiOs_2,-18.4012665901,10.5725,11.6904,14.3674,13.1559
HiOs_3,-17.5289120666,10.5825,11.9222,14.553,13.2773
BMM_1,7.3107866556,11.6463,12.1936,13.4346,13.4498
BMM_2,7.5651077316,11.3682,12.0542,13.2698,13.3205
BMM_3,5.2693319507,11.4286,12.2058,13.333,13.5462
Heat_1,4.3613874639,11.5821,13.0039,13.8862,13.2334
Heat_2,6.0531770065,11.6174,12.8071,13.5899,12.9985
Heat_3,4.9912124449,11.3194,12.5069,13.3526,12.9208
Cold_1,-2.5279654068,11.195,13.1095,13.507,14.8203
Cold_2,-1.8477176504,10.2449,12.4587,12.8804,14.1853
Cold_3,-3.3333759414,10.1037,11.9304,12.2992,13.7563
Etha_1,2.3672308523,11.4938,11.1928,12.427,12.8573
Etha_2,2.9594084693,11.0457,10.8736,12.0494,12.7243
Etha_3,3.483565519,11.6009,11.38,12.46,12.9687
SMM_1,7.7633758498,11.0723,12.0476,13.4575,13.5052
SMM_2,6.3532449721,10.9285,11.9329,13.3512,13.4164
SMM_3,5.2287843571,11.1494,12.0071,13.4648,13.5245
Salt_1,-2.6498931145,10.2136,12.221,13.0726,13.4812
Salt_2,-3.2757845951,10.0238,12.1718,12.9989,13.3286
Salt_3,0.0439511849,10.3556,12.281,13.0784,13.5898
Mt0_1,9.3806224186,11.41,12.745,13.3461,14.1658
Mt0_3,12.3796031361,11.7807,13.078,13.8897,14.0834
M0t45_1,4.2448187244,11.5592,12.1233,13.6336,14.1543
M0t45_2,12.3011720112,11.1667,12.4745,13.532,14.1846
M0t45_3,6.9355071411,11.7147,12.773,13.8801,14.2651
M0t90_1,-7.4085233485,10.1293,10.734,12.9595,12.6548
M0t90_2,-7.8374163203,10.7147,12.1165,14.017,13.7437
M0t90_3,-8.8292151136,11.0067,11.4915,13.7985,13.3157
M40t45_1,5.6773972514,11.2095,12.1408,13.4897,13.6425
M40t45_2,0.1290768398,11.1846,12.4591,14.2104,14.0392
M40t45_3,7.3754045795,11.8635,12.915,14.0932,14.097
M40t90_1,-6.4076652918,10.2389,11.3033,13.4318,13.0377
M40t90_2,-8.2272365045,10.7927,12.2778,14.2764,13.1057
M40t90_3,-10.8663591439,11.2013,12.4169,14.5336,13.594
dia0_1,12.0055654649,11.2339,12.5653,13.163,13.697
dia0_2,11.3163472726,11.3875,12.766,13.4453,13.836
dia0_3,12.8041446575,11.5299,12.7896,13.6152,14.2766
dia5_1,10.8008459254,12.221,12.766,12.9905,12.4511
dia5_2,7.3450641506,12.2497,12.6747,13.0674,12.4552
dia5_3,9.6436496093,12.2788,12.6355,12.9791,12.6806
dia15_1,0.1960400789,13.2976,13.5763,13.1446,13.6394
dia15_2,-3.5958328648,12.4783,13.3121,13.4042,14.4124
dia15_3,-4.2911796482,11.5141,12.0127,13.0229,13.2235
Diami_1,5.0833777902,11.8378,12.4626,12.314,12.3456
Diami_2,9.160679477,12.3705,12.7898,12.9456,12.9074
Diami_3,6.7068168857,12.0908,12.6575,12.6269,12.8769
Paraq_1,12.8996101866,10.9867,12.9711,13.530100000000001,14.2324
Paraq_2,15.1081910338,11.8405,13.4125,14.0247,14.4646
Paraq_3,11.4564045333,10.3315,11.8575,12.2192,13.0518
H2O2_1,8.2728350092,11.8902,13.2555,13.4007,13.9536
H2O2_2,9.5793863463,12.109,13.622,13.841,14.1817
H2O2_3,6.8788084721,12.1232,13.4378,13.4905,13.918800000000001
Oxctl_1,10.9745754757,10.8636,12.6767,13.0062,13.8599
Oxctl_2,10.9307190927,10.9035,12.3297,12.9568,13.7135
Oxctl_3,13.7541046779,11.4449,13.2382,13.8163,14.478
GM-0.1_1,2.9539011129,10.9748,11.6561,13.3509,13.419
GM-0.2_1,2.7866606326000003,10.8019,11.6697,13.1297,13.3759
GM+5_1,1.2341307391,10.8437,11.520199999999999,13.0339,13.3714
GM+15_1,0.2787995301,11.3765,11.8511,13.5486,13.531600000000001
GM+25_1,0.7808176823,11.6257,12.2706,13.9342,13.8283
GM+45_1,2.1146226315,11.5238,12.0271,13.5681,13.8168
GM+60_1,3.7841878126,11.4094,12.0413,13.5755,13.9334
GM+90_1,6.4525968265,11.4291,12.1631,13.7293,13.8087
GM+120_1,5.6360755631,10.5773,10.8869,12.7809,12.8213
GM+150_1,8.2914742382,10.8937,11.462,13.326,13.4015
GM-0.1_2,2.2941059668,11.2768,12.385,13.7669,13.752
GM-0.2_2,1.8682115273000002,11.2832,12.2911,13.5203,13.8708
GM+5_2,1.4220457019000001,11.226,12.1532,13.4452,13.4779
GM+10_2,-0.2588914207,11.2437,11.9424,13.2362,13.5433
GM+15_2,-1.637912802,11.2429,11.7007,13.1435,13.2997
GM+25_2,-0.9595435405,11.2931,11.9604,13.4261,13.492
GM+45_2,0.4006116232,10.54,11.1144,12.6349,13.0365
GM+60_2,3.5463045839,10.6463,10.987400000000001,12.5678,12.8823
GM+90_2,4.5225058766,11.3954,12.0408,13.7196,13.7723
GM+150_2,7.0977230727,10.3609,11.0833,13.1696,12.7105
GM-0.1_3,3.3344393739,11.3355,12.2555,13.7002,13.4343
GM-0.2_3,3.2935557295,11.2554,12.1271,13.4779,13.5552
GM+5_3,1.4760204207,11.3256,12.2553,13.7219,13.5866
GM+10_3,-1.630803478,10.3191,11.0626,12.5494,12.6924
GM+15_3,-2.5225781912,11.2783,11.7876,13.3249,13.3161
GM+25_3,-3.1514328779,10.8975,11.3415,12.9986,13.1581
GM+45_3,-3.5764181667,10.8211,11.3384,12.603,12.8715
GM+60_3,0.37211031,10.6206,11.1011,12.4772,12.9321
GM+90_3,4.2008487999,11.1061,11.7066,12.908,13.4402
GM+120_3,5.6198988557,10.9207,11.7151,13.2143,13.4896
GM+150_3,8.5537339237,11.0763,11.7492,12.8635,13.4983
MG-0.1_1,-3.4481944655,11.2462,11.8644,13.3722,13.6023
MG+5_1,-3.6455244372999998,11.062,11.8047,13.4545,13.617
MG+10_1,-2.3097446735,11.7206,12.4563,13.9194,13.9654
MG+15_1,-3.6362979226,10.7359,11.4706,13.0435,13.1208
MG+25_1,-0.1680522768,11.1228,12.0366,13.5023,13.7609
MG+45_1,-0.0982744232,10.955400000000001,11.7428,13.3179,13.5406
MG+120_1,8.7779688649,10.5336,11.3041,13.4322,13.0947
MG+150_1,8.3780816378,10.9747,11.6215,13.4953,13.2405
MG-0.1_2,-5.4662588171,10.3973,11.0419,12.7415,12.8072
MG-0.2_2,-5.8841724195000005,10.7979,11.8164,13.313,13.3433
MG+5_2,-4.8925208306,10.8544,11.798,13.4216,13.3291
MG+10_2,-4.5146559752,11.09,12.0684,13.5551,13.6988
MG+15_2,-4.9386159644,11.661200000000001,12.7375,14.1449,14.3943
MG+25_2,-1.5702193461,10.8016,11.7431,13.3916,13.3344
MG+45_2,0.0860343746,10.4165,11.499,12.9816,12.8247
MG+60_2,3.5655646354,11.0831,11.8762,13.3774,13.5254
MG+90_2,6.8323194858,10.7734,11.459,13.0448,13.0474
MG+120_2,11.2753409723,11.1299,11.9847,14.3026,13.4313
MG-0.1_3,-7.615967026,11.4399,12.493500000000001,14.0327,13.9857
MG-0.2_3,-8.2132843322,11.0056,11.7107,13.4607,13.6561
MG+5_3,-8.1650845052,10.7142,11.6135,13.4231,13.3195
MG+10_3,-6.9697396354,10.4543,11.2209,12.8615,13.2006
MG+15_3,-7.0879898693,11.2486,12.2393,13.8731,13.788
MG+25_3,-3.8577604372,11.047,12.2739,13.8834,13.6718
MG+45_3,-0.5889826806,11.5799,12.7541,14.1349,13.7991
MG+60_3,0.2816765574,11.0444,12.0941,13.7068,13.3483
MG+90_3,6.7613884236,11.3077,12.1847,13.7889,13.5993
MG+120_3,11.2378910954,10.9885,11.6888,13.5768,13.1479
MG+150_3,7.8942585641,10.8866,11.5203,14.0253,13.0847
