,PA1112b
Paeru_0039,1.695158388
Paeru_0040,2.015685519
Paeru_0041,1.504399261
Paeru_0042,1.819100186
Paeru_0043,1.977408242
Paeru_0044,0.543867788
Paeru_0045,0.6494432490000001
Paeru_0046,0.38294441900000004
Paeru_0047,0.767985821
Paeru_0048,1.066949333
Paeru_0049,1.058688053
Paeru_0050,0.565832619
Paeru_0051,0.586021549
Paeru_0052,1.366356417
Paeru_0053,0.836408939
Paeru_0056,2.031525499
Paeru_0057,1.986366867
Paeru_0058,1.156015339
Paeru_0059,1.266319952
Paeru_0060,1.079064392
Paeru_0061,2.028548229
Paeru_0062,1.722021886
Paeru_0063,1.02497246
Paeru_0064,0.9451357810000001
Paeru_0065,1.115668393
Paeru_0066,1.301816279
Paeru_0068,1.057257467
Paeru_0069,1.234656045
Paeru_0070,0.911879435
Paeru_0071,0.7007910430000001
Paeru_0072,0.751335241
Paeru_0073,0.00156174
Paeru_0074,0.41695472100000003
Paeru_0075,0.649396423
Paeru_0077,0.536924112
Paeru_0106,1.763484149
Paeru_0107,1.6382165290000001
Paeru_0111,0.65643281
Paeru_0112,0.34153437600000003
Paeru_0131,-0.111437012
Paeru_0132,7.219999999999999e-05
Paeru_0133,0.055160887000000006
Paeru_0134,-0.135213945
Paeru_0135,-0.25330639
Paeru_0136,-0.33909282
Paeru_0137,0.074711991
Paeru_0138,0.11703379500000001
Paeru_0161,1.074931758
Paeru_0162,0.988027151
Paeru_0166,0.286554657
Paeru_0167,0.747791348
Paeru_0220,-0.520940147
Paeru_0221,-0.46241435000000003
Paeru_0258,0.361194273
Paeru_0259,1.056144284
Paeru_0260,-1.052976925
Paeru_0261,1.340587107
Paeru_0262,-2.3489403810000002
Paeru_0263,-3.100611485
Paeru_0264,-3.879865704
Paeru_0265,-0.698668081
Paeru_0266,-3.960524695
Paeru_0267,-3.369242272
Paeru_0268,-0.543253355
Paeru_0269,-3.014961996
Paeru_0270,-2.31987131
Paeru_0271,-1.194676622
Paeru_0282,-0.531009305
Paeru_0283,-2.235375814
Paeru_0284,-0.03672362
Paeru_0285,-0.824408663
Paeru_0286,0.21428418100000002
Paeru_0287,-0.097953314
SRX6923929,-0.380533159
SRX6923930,-0.669684719
SRX6923932,-0.593929734
SRX6923933,-0.37427209100000003
SRX6923934,0.13683547000000001
SRX6923935,0.23743662100000001
SRX7940213,0.16173672900000002
SRX7940214,0.03676515
SRX7940215,-0.19850187900000002
SRX7940216,-0.503352729
SRX7940217,0.40952442600000005
SRX3169722,-0.379829348
SRX3169723,-0.273579968
SRX3169725,0.370950779
SRX3169726,-0.076486857
SRX3169728,-0.294463923
SRX6853212,0.076906821
SRX6853213,-0.076906821
SRX6853214,0.279127124
SRX6853215,0.174031143
ERX541575,0.039715442000000004
ERX541576,-0.421848243
ERX541577,-1.400265721
ERX541578,-1.303699501
ERX541585,-0.079616956
ERX541586,0.115898912
ERX541587,-0.30606362
ERX541588,0.30606362
ERX541593,1.119965976
ERX541594,0.239269432
ERX541595,0.478498142
ERX541596,-0.566075059
SRX3324112,0.438481455
SRX3324113,-0.438481455
SRX3324116,0.215467123
SRX3324117,0.405380601
SRX7058493,-1.093861813
SRX7058498,-0.09527592300000001
SRX7058499,-0.027043694
SRX7058500,-0.11535732600000001
SRX7058501,-0.029274762000000003
SRX7058502,-0.28331975200000004
SRX7058503,-0.498432201
SRX7058504,0.31055192800000003
SRX7058505,-0.31068766000000003
SRX7058506,-0.49920511100000003
SRX7058508,-0.150507673
SRX7058510,0.431414658
SRX7058511,0.351895228
SRX7058512,-0.302677943
SRX7058513,-0.439336618
SRX7058514,-0.19317265
SRX7058515,0.007053848000000001
SRX6874325,0.24958791900000002
SRX6874326,0.204872558
SRX6874327,0.23765475400000002
SRX6874328,-0.40750328100000005
SRX6874329,-0.28461195
SRX6874330,0.065664952
SRX6874331,-0.19884351
SRX6874332,-0.301952836
SRX6874333,-0.43052753400000005
SRX6874334,-1.340542211
SRX2255950,-0.225944627
SRX2255951,-0.075354661
SRX2255954,-0.065480596
SRX2255955,0.065480596
