,A,ArgP
ecoli_00046,-0.9092184061,-0.41034142500000004
ecoli_00047,-1.806562348,-0.218915881
ecoli_00048,-1.4988625959,-0.17491008500000002
ecoli_00049,-0.5459132247,0.073330792
ecoli_00050,-0.4086002714,0.845899531
ecoli_00051,-0.35366580610000004,0.7600059
ecoli_00052,-0.9385245772,0.17204407400000002
ecoli_00053,-1.2916282894,0.20760409600000002
ecoli_00054,-3.3615338604,0.778028163
ecoli_00055,-2.7989126467,0.6849759820000001
ecoli_00056,-2.9956113073,-0.15334946200000002
ecoli_00057,-2.8377904475999998,-0.138820659
ecoli_00058,-5.094525752,-0.517510213
ecoli_00059,-5.6631226728,-0.43262368500000004
ecoli_00060,-1.5497209440000002,0.15762873800000002
ecoli_00061,-1.5755254502,0.218833201
ecoli_00062,-4.0610663944,-0.187824294
ecoli_00063,-3.7108448459,-0.11288007700000001
ecoli_00064,-5.6237638326,-1.388156447
ecoli_00065,-5.2288810828,-1.287953444
ecoli_00066,-6.610694121,-2.055668937
ecoli_00067,-6.6237952812,-2.236433184
ecoli_00068,-2.104597934,-0.6467748560000001
ecoli_00070,-2.6266697692000003,-0.52467012
ecoli_00071,-2.4669128421,-0.37527585500000005
ecoli_00072,-2.1807941758,-0.306292324
ecoli_00073,-1.5209306008999999,0.031952216
ecoli_00074,-2.122984403,0.42262236200000003
ecoli_00075,4.5043711680000005,-0.357025655
ecoli_00077,1.8209094709,0.08895709800000001
ecoli_00078,5.8332974475,0.07012369
ecoli_00079,-1.8781223668,-0.148024867
ecoli_00080,-0.8438894808,-0.242089308
ecoli_00081,-2.9869173769,-0.310030044
ecoli_00082,-3.20482909,0.09904462400000001
ecoli_00083,-3.5985001091,0.25188064400000004
ecoli_00084,-2.3344145407,0.641287033
ecoli_00085,-2.3032465376999998,0.43054033100000005
ecoli_00086,-6.9191408518,-0.540402562
ecoli_00087,-8.0664630187,-0.609945394
ecoli_00088,-3.3589679098,-0.016069226000000002
ecoli_00089,-3.5880248327,-0.01647726
ecoli_00090,-1.2876607479,-0.265807299
ecoli_00091,-1.6041985937,-0.19090795900000002
ecoli_00092,-2.7377364999,-0.49433151100000006
ecoli_00093,-0.5652499415000001,0.155951439
ecoli_00094,-11.0830958914,-0.9853938130000001
ecoli_00095,-11.4872224154,-1.042972074
ecoli_00096,-1.8914285003,0.185399901
ecoli_00097,-1.4319365830000002,0.12131011900000001
ecoli_00098,-12.7346452481,-0.721171011
ecoli_00099,-11.8613457668,-0.673929683
ecoli_00100,-0.0220911546,-0.032831944
ecoli_00101,-0.19301295640000002,-0.239233789
ecoli_00102,-0.261417108,-0.21580085100000002
ecoli_00103,-10.8328434572,-1.309754364
ecoli_00104,-10.9547594847,-1.299281144
ecoli_00105,-2.6037139084,-0.351354123
ecoli_00106,-3.5138610691,-0.607111653
ecoli_00107,-2.9293430875,-0.350874356
ecoli_00108,-2.2389735707,0.025961994000000002
ecoli_00109,-2.0857789615,0.031719926
ecoli_00110,-2.0412175025,0.18533744900000002
ecoli_00111,-1.4647367689,0.24536526500000003
ecoli_00112,-1.4743603127,0.234268458
ecoli_00113,-5.0238940274,-0.18252685400000002
ecoli_00114,-3.8475713314,0.025015914
ecoli_00115,-4.5387434263,0.22118182900000002
ecoli_00116,-4.2953495646,0.200235311
ecoli_00117,-5.1272054903,0.151254635
ecoli_00118,-4.9086303139,0.239751666
ecoli_00119,-3.361802697,0.18019490800000001
ecoli_00120,-3.1056165511,0.21211142400000002
ecoli_00121,-2.9064788221,0.269122914
ecoli_00122,-3.3222169903,0.18575933700000002
ecoli_00123,-4.3888060969,0.21237097400000002
ecoli_00124,-3.7817623648,0.289166816
ecoli_00125,-4.6044219652,1.130447335
ecoli_00126,-1.5715856031,0.186642733
ecoli_00127,2.7904139768,0.037836481000000005
ecoli_00128,1.6729502656,-0.389162206
ecoli_00129,-3.5235597239,0.90095844
ecoli_00130,-1.8373210817999999,0.8255104830000001
ecoli_00131,-4.3828876823,0.8903266150000001
ecoli_00132,-1.3133241636,0.121753014
ecoli_00133,4.9291065983,0.160907606
ecoli_00134,1.4787237904000001,0.302398108
ecoli_00135,0.6714156276000001,0.298135452
ecoli_00136,1.4036298884,0.551117492
ecoli_00137,0.8139475239,-0.21131038600000002
ecoli_00138,0.5939781495,0.5133354720000001
ecoli_00139,1.5439880663,0.536009052
ecoli_00140,1.7439015331,0.149991528
ecoli_00141,-0.0144900319,0.281068145
ecoli_00142,-4.6231187826,-0.728998845
ecoli_00143,0.1412176377,0.208247541
ecoli_00144,-7.2636764579,-1.026419776
ecoli_00145,-4.693502516,0.001829672
ecoli_00146,-1.8209930856,-0.19202469600000002
ecoli_00147,3.0268883216,0.24968630600000002
ecoli_00148,3.6299348193,0.413334595
ecoli_00149,-1.2344703086,-0.03708534
ecoli_00150,3.5462903291,0.471584312
ecoli_00151,-3.7115845774,0.18673282200000002
ecoli_00152,-2.2983201137,-0.128349924
ecoli_00153,-2.1086262663,-0.5781296300000001
ecoli_00154,3.4536696716,-0.47005642900000005
ecoli_00155,-2.058734187,-0.14753111300000002
ecoli_00157,-1.4274165238,-0.234183206
ecoli_00158,-1.6838225972,-0.50514285
ecoli_00159,0.2789380005,-0.825968193
ecoli_00160,-0.39754209290000003,-0.84210587
ecoli_00169,0.9141075121000001,-0.908207337
ecoli_00170,1.061357545,-1.053032512
ecoli_00171,-0.0466539547,-0.43043129
ecoli_00172,-0.6916709815000001,-0.745171558
ecoli_00173,-2.7794970753,-1.155513238
ecoli_00174,-1.8873583471000002,-1.05788297
ecoli_00175,-6.2508272853,-1.508234763
ecoli_00176,-6.2501277595,-1.6972952399999999
ecoli_00177,-8.0543214781,-0.056839793000000007
ecoli_00178,-7.5844865746,-0.06515746
ecoli_00179,-3.6353961694,-0.441227535
ecoli_00180,-3.9385171971,-0.44559679300000005
ecoli_00181,5.4632089161,-1.12475794
ecoli_00182,5.2953344549,-1.202494586
ecoli_00183,-1.2131748912,-0.161743668
ecoli_00184,-0.967704137,-0.277714618
ecoli_00185,0.8171676365,-0.7532176020000001
ecoli_00186,1.7089284025,-0.741509058
ecoli_00187,-1.9663155402,-0.624174714
ecoli_00188,-2.0500561661,-0.49503505000000003
ecoli_00189,-0.4442561007,-0.99269659
ecoli_00190,-0.8802873642,-0.908794796
ecoli_00191,-2.395356164,-0.745561585
ecoli_00192,-4.7303508181,-0.8869184360000001
ecoli_00193,0.0253770183,-0.535548828
ecoli_00194,-0.6225366586000001,-0.6483532080000001
ecoli_00195,1.1017646123,-1.031389893
ecoli_00196,-0.5779968033,-1.023346533
ecoli_00197,-1.0532011868,-0.9956958790000001
ecoli_00198,0.856194597,-1.080202037
ecoli_00199,-0.7002149328,-0.922675346
ecoli_00200,-0.9772680538,-0.6336225940000001
ecoli_00201,5.7429180678,-0.515328706
ecoli_00202,4.7476579042000004,-0.633891823
ecoli_00203,0.036327626700000004,-0.198222809
ecoli_00204,-0.3647203524,-0.526107265
ecoli_00205,5.8481709713,-0.551852471
ecoli_00206,3.9789905421,-0.6410294590000001
ecoli_00207,-0.8410239916000001,-0.534979585
ecoli_00208,-1.5993065713,-0.506755803
ecoli_00209,0.2945790893,-0.459746794
ecoli_00210,0.1615837356,-0.555970713
ecoli_00211,-1.0043389156,-0.8492660510000001
ecoli_00212,-1.6094940629,-0.635618462
ecoli_00213,6.5810660193,-0.555283901
ecoli_00214,3.0451305359,-0.47378037
ecoli_00215,-1.085495595,-0.5053934840000001
ecoli_00216,-0.3708906044,-0.654835084
ecoli_00217,-1.0819013602,-0.8495062440000001
ecoli_00218,-1.3658809451,-0.697475672
ecoli_00219,0.5521738497,-0.5994618820000001
ecoli_00220,0.7905255760000001,-0.569897603
ecoli_00221,-1.013332106,-0.559091774
ecoli_00222,-0.930079281,-0.794871258
ecoli_00223,-1.7954197042,-0.127241935
ecoli_00224,-1.6456069154000001,-0.17545775
ecoli_00225,6.101838576,-0.6483289010000001
ecoli_00226,2.853939043,-0.7447986999999999
ecoli_00227,0.39022282420000004,-0.7101673940000001
ecoli_00228,0.2089294199,-0.742354602
ecoli_00229,-3.9511225575,-0.31663647300000003
ecoli_00230,-4.4220607911,-0.257154832
ecoli_00231,-3.6908231939,-0.486028137
ecoli_00232,-3.4519836952,-0.46647265600000004
ecoli_00233,-0.2612444305,-0.5498303370000001
ecoli_00234,0.4617883934,-0.550626389
ecoli_00235,-0.5702862543,-0.719979714
ecoli_00236,-0.115558858,-0.58582899
ecoli_00237,-3.5695546369,-1.153947419
ecoli_00238,-3.2758800006,-1.028918498
ecoli_00239,-2.6735832541,-1.3097106649999999
ecoli_00240,-3.1451424155,-1.130640302
ecoli_00241,-5.1177504832,-0.708564419
ecoli_00242,-3.5421825551,-0.816283881
ecoli_00243,-3.0522276992,-0.718047886
ecoli_00244,-2.1024626615,-1.137038203
ecoli_00245,-2.6010718846,-1.159419076
ecoli_00246,-5.6109436446,-1.240499663
ecoli_00247,-6.1419423668,-1.4132023980000001
ecoli_00248,-5.0462090614,-0.961863428
ecoli_00249,-2.5046851717000003,-0.8572992030000001
ecoli_00250,-2.4638992342,-0.828402425
ecoli_00251,2.0413931358,-0.777104668
ecoli_00252,1.3267051951,-0.7831233780000001
ecoli_00253,0.4650597595,-0.912007479
ecoli_00254,-1.5267084818,-0.801617679
ecoli_00255,-2.0848482871,-0.546919196
ecoli_00256,-2.6094451568,-0.952739616
ecoli_00257,0.39694423360000003,-0.644200388
ecoli_00258,-0.1811994642,-0.5579881240000001
ecoli_00259,-3.0600366373,-1.08371312
ecoli_00260,-3.2878492984,-1.036621937
ecoli_00261,2.8722673303,-0.9510069430000001
ecoli_00262,2.5401338234,-0.9407192620000001
ecoli_00263,-0.5844571619,-0.8663281570000001
ecoli_00264,-1.3547173054,-0.6926183720000001
ecoli_00265,-4.1834835445,-0.6396698200000001
ecoli_00266,-4.0857070228,-0.601110232
ecoli_00267,-0.6831599017000001,-0.620738392
ecoli_00268,-1.0840170142,-0.658355483
ecoli_00269,-2.0942686402,-0.5440418060000001
ecoli_00270,-1.4200132331,-0.39776091700000005
ecoli_00271,1.5011307558,-0.321973777
ecoli_00272,0.5195056498,-0.19847456300000002
ecoli_00273,0.6548239474,-0.05120517300000001
ecoli_00274,0.4878976036,-0.23286531100000002
ecoli_00275,-0.2780304599,-0.356555216
ecoli_00276,-0.4485616706,-0.327016272
ecoli_00277,-1.3475290147,-0.254696078
ecoli_00278,-1.5702594927,-0.269496666
ecoli_00279,-3.7609302738,-0.29890634800000004
ecoli_00280,-3.932349012,-0.009825127000000001
ecoli_00281,-1.5701528089,-0.983311649
ecoli_00282,-0.9323281021000001,-0.9859646240000001
ecoli_00283,-2.2885727179,-0.340795736
ecoli_00284,-2.7104139459,-0.334757623
ecoli_00285,-1.2748314666,-0.6875248140000001
ecoli_00286,-1.2203911337,-0.822199922
ecoli_00287,-3.6822097069,-0.7301143640000001
ecoli_00288,-3.6777463209,-0.8629759330000001
ecoli_00289,0.7009856257,-0.5849240680000001
ecoli_00290,-0.21334190900000002,-0.607181105
ecoli_00291,-1.3710517594,-0.30342419800000003
ecoli_00292,-1.4684716543,-0.571065522
ecoli_00293,-2.4699369232,-0.37648253400000004
ecoli_00294,-1.9530092754,-0.394225207
ecoli_00295,-1.0558109841,-0.9423451650000001
ecoli_00296,-1.3561430217,-0.6956530230000001
ecoli_00297,-2.2641484485,-0.488643278
ecoli_00298,-2.5797499031,-0.376506475
ecoli_00299,-0.2465743015,-0.997480887
ecoli_00300,-0.2090962801,-0.987960358
ecoli_00301,-1.5129134302,-0.6142548720000001
ecoli_00302,-1.0512447123,-0.399008737
ecoli_00303,-0.4522125382,-0.597100237
ecoli_00304,-0.4686188989,-0.764650481
ecoli_00305,-0.9197803873,-0.432809561
ecoli_00306,-1.2164838352,-0.641073945
ecoli_00307,-1.4468285566999999,-0.5578438170000001
ecoli_00308,-1.6996321353,-0.48157736100000004
ecoli_00309,-0.0506287829,-0.56670922
ecoli_00310,0.4568648839,-0.645158408
ecoli_00311,0.8529216511000001,-0.505403304
ecoli_00312,-0.6136907706,-0.34183785
ecoli_00313,-0.11858983470000001,-0.33165060300000004
ecoli_00314,-0.07142115610000001,-0.31560106800000004
ecoli_00315,3.1389558385,-0.649965702
ecoli_00316,3.4647806204,-0.740857151
ecoli_00317,0.7313762460000001,-0.810576791
ecoli_00318,1.3950530629,-0.760533965
ecoli_00319,0.3184713591,-0.340609359
ecoli_00320,0.0903657056,-0.432275136
ecoli_00321,0.9566863199000001,-0.289642286
ecoli_00322,0.8264979267,-0.331578191
ecoli_00323,0.505248249,-0.7599189110000001
ecoli_00324,0.3113739143,-0.8443504380000001
ecoli_00325,-0.0840736213,-0.8683440010000001
ecoli_00326,-1.4101117749,-0.739255357
ecoli_00327,-2.1314468108,-0.082073199
ecoli_00328,-1.6593914478,-0.186783943
ecoli_00329,-1.2868786434000001,-0.091116889
ecoli_00330,-1.577993612,-0.022384398
ecoli_00331,-0.8689686827,-0.223248091
ecoli_00332,0.0071790918000000006,-0.367784588
ecoli_00333,-2.0823532551,-0.26389553800000004
ecoli_00334,-2.1288446914,-0.32199901000000003
ecoli_00335,0.747898402,-0.958931198
ecoli_00336,0.7357736888,-0.847546674
ecoli_00337,0.25718862130000003,-0.527114858
ecoli_00338,-0.3395503233,-0.5119862510000001
ecoli_00339,1.7211022143,-1.039048012
ecoli_00340,0.6221825362,-0.7322598090000001
ecoli_00341,0.8716728396000001,-0.970004944
ecoli_00342,1.0207685873,-0.9036824050000001
ecoli_00343,3.6339842415,-0.736807506
ecoli_00344,3.9391632509,-0.9099109320000001
ecoli_00345,-0.2055077867,-0.426969604
ecoli_00346,0.034841892400000005,-0.45704871500000005
ecoli_00347,0.11787020050000001,-0.765392103
ecoli_00348,0.2008799956,-0.7486688300000001
ecoli_00349,1.4686491162,-0.77383247
ecoli_00350,1.3497563758,-0.75146346
ecoli_00351,-3.2176842517,-0.261310696
ecoli_00352,0.4294815249,-0.472323182
ecoli_00353,0.6178301471000001,-0.607502188
ecoli_00354,0.8340273374,-0.7279011950000001
ecoli_00355,-0.6979959269,-0.649416999
ecoli_00356,-0.4556634379,-0.622349985
ecoli_00357,0.5891526735,-0.43591215
ecoli_00358,0.7199384206,-0.48925640600000003
ecoli_00359,0.7710747701,-0.32657859300000003
ecoli_00360,1.067690021,-0.407099341
ecoli_00361,2.1857354589,-0.323064617
ecoli_00362,2.2311609844999998,-0.42847047800000004
ecoli_00363,-3.5620438502000003,-0.855813669
ecoli_00364,-2.8331779607,-0.6866325470000001
ecoli_00365,-10.3487405708,-1.9137435470000002
ecoli_00366,-9.3347088462,-1.67581385
ecoli_00367,-10.2088193749,-2.342265659
ecoli_00368,-10.894433683799999,-2.566541667
ecoli_00369,-3.9566181251,-0.9380678920000001
ecoli_00370,-3.3378633556,-0.760532932
ecoli_00371,-10.0740982492,-2.274536369
ecoli_00372,-9.9592876999,-2.096646558
ecoli_00373,-11.3732645358,-3.009960454
ecoli_00374,-10.8507912015,-2.899052715
ecoli_00375,-2.3604419302,-0.49667140600000004
ecoli_00376,-3.1177275822,-0.37693874
ecoli_00377,-10.3347466896,-1.887154881
ecoli_00378,-10.5094965336,-1.929972421
ecoli_00379,-9.7044863055,-1.643141143
ecoli_00380,-9.3773946857,-1.724583908
ecoli_00381,-2.8192656795,-1.033982583
ecoli_00382,-3.2539392872,-1.059149649
ecoli_00383,-9.469889609300001,-2.502824217
ecoli_00384,-8.9767945163,-2.385793532
ecoli_00385,-8.6626541468,-2.066273715
ecoli_00386,-9.1027223183,-2.142417735
ecoli_00387,-2.2883947442,-0.9204112390000001
ecoli_00388,-1.7824767217000002,-1.139615146
ecoli_00389,-9.8257895861,-2.111277723
ecoli_00390,-9.8906398063,-2.260925329
ecoli_00391,-10.9471298079,-2.3629428
ecoli_00392,-10.7993899234,-2.170452779
ecoli_00393,-0.8433956339,-0.8426612640000001
ecoli_00394,-1.3437289323,-0.825921961
ecoli_00395,2.4572388751,-0.7033500930000001
ecoli_00396,1.8621539813,-0.838724146
ecoli_00397,-4.056145699,-0.23925042100000002
ecoli_00398,-5.6294056825,-0.089060754
ecoli_00399,-2.7137410273,-0.17028363300000002
ecoli_00400,-2.1100581222,-0.38444335100000004
ecoli_00401,2.5372941091,-0.769928398
ecoli_00402,3.4549913638,-0.649625541
ecoli_00403,3.962009083,-0.9515137920000001
ecoli_00404,4.2575474862,-0.773144312
ecoli_00405,0.0051597803,-0.431967056
ecoli_00406,-0.4122205083,-0.34442174200000003
ecoli_00407,4.1655177665,-0.703648736
ecoli_00408,4.8842242996,-0.567358822
ecoli_00409,5.7828236082,-0.670942993
ecoli_00410,6.0737993022,-0.6711592080000001
ecoli_00411,0.6999646851,-0.7331679280000001
ecoli_00412,1.2498666029,-0.722506932
ecoli_00413,3.3014360227,-1.055707664
ecoli_00414,2.8907281726000003,-0.9514454840000001
ecoli_00415,3.1102494172,-0.49748897200000003
ecoli_00416,3.1462977975,-0.6489372520000001
ecoli_00417,-0.6048745217,-0.81472429
ecoli_00418,-0.1573248503,-1.068226271
ecoli_00419,2.1460091348,-0.98326359
ecoli_00420,2.3938909844,-0.936871442
ecoli_00421,4.5628499747,-0.7459655900000001
ecoli_00422,4.2203601806,-0.6277274190000001
ecoli_00423,-2.586928609,-0.660629119
ecoli_00424,-2.091132639,-0.44702692600000005
ecoli_00425,1.1687388233,-0.783212574
ecoli_00426,1.8117472528,-0.8494020600000001
ecoli_00427,1.2567355958,-0.9742855020000001
ecoli_00428,0.9642273664000001,-0.8494119830000001
ecoli_00429,1.1410330079,-0.7356665910000001
ecoli_00430,1.376010513,-0.7963803410000001
ecoli_00431,2.2499787859,-0.26076615200000003
ecoli_00432,1.7474716739,-0.48709791900000005
ecoli_00433,2.6814573357,-0.484526383
ecoli_00434,2.0693120208,-0.591004811
ecoli_00435,-1.2458882458,-0.529075685
ecoli_00436,-1.0750070661,-0.401104585
ecoli_00437,2.6689516683,-0.9770302260000001
ecoli_00438,2.8790219968,-0.837681671
ecoli_00439,4.641670578,-0.997510785
ecoli_00440,4.0754811671,-0.884982888
ecoli_00441,0.1601907739,-0.47532293800000003
ecoli_00442,0.1680343231,-0.342235493
ecoli_00443,3.8261488642,-0.8190724210000001
ecoli_00444,3.6818453112,-0.7610457700000001
ecoli_00445,3.4245738778,-0.670777323
ecoli_00446,3.2660574828,-0.68359877
ecoli_00447,-2.5029651967,-0.8654684890000001
ecoli_00448,-2.3588120901,-0.7397603570000001
ecoli_00449,-2.492293237,-0.817658985
ecoli_00450,-2.7196383908,-0.618411606
ecoli_00451,-2.1252398417,-0.8431738040000001
ecoli_00452,-2.408390049,-0.837447048
ecoli_00453,-3.0913870431,-0.6882288400000001
ecoli_00454,-2.9228101222,-0.740448167
ecoli_00455,-0.6846428528,-0.5597864180000001
ecoli_00456,-0.6324655811000001,-0.48994888000000003
ecoli_00457,-1.5225885225,-0.556278544
ecoli_00458,-1.8126436468,-0.389528629
ecoli_00459,-1.60607812,-0.549827759
ecoli_00460,-2.1129735328,-0.523722982
ecoli_00461,-3.8803759976,-0.463038426
ecoli_00462,-3.857262594,-0.165837132
ecoli_00463,-6.9617007404999995,-1.479100697
ecoli_00464,-7.2669694248,-1.476906403
ecoli_00465,-10.1790851104,-2.27811292
ecoli_00466,-9.8445028987,-2.262505685
ecoli_00467,-7.280618505,-0.638755014
ecoli_00468,-7.3449858279,-0.836834892
ecoli_00469,-10.0607103647,-2.28240568
ecoli_00470,-10.1399969401,-2.178437026
ecoli_00471,-4.0141151452,-0.194342295
ecoli_00472,-4.2461973816,-0.33714004200000003
ecoli_00473,-6.2437852572,-1.270464732
ecoli_00474,-6.1479165231,-1.164847111
ecoli_00475,-8.1105985135,-0.5392697940000001
ecoli_00476,-7.7120082228,-0.52310461
ecoli_00477,-8.2946568713,-0.325560864
ecoli_00478,-8.1302025258,-0.4300887
ecoli_00479,-4.4973224951,-0.564316936
ecoli_00480,-4.4266072252,-0.529817741
ecoli_00481,7.4608097062,-0.54694276
ecoli_00482,6.8300353982,-0.8616585910000001
ecoli_00483,-1.5088381489,-0.36097594
ecoli_00484,-1.7516895115,-0.46732082500000005
ecoli_00485,-0.8592974211000001,-2.202772629
ecoli_00486,-0.7172635893,-2.133563525
ecoli_00487,-3.8999142117,-0.255800214
ecoli_00488,-3.9077484329,-0.021144958000000002
ecoli_00489,-7.0272622853,-1.5181767050000001
ecoli_00490,-7.4490867471,-1.532641066
ecoli_00491,-9.2661320322,-0.632530467
ecoli_00492,-8.9971663038,-0.8405519090000001
ecoli_00493,-8.4522120686,-0.764821203
ecoli_00494,-8.299094186,-0.700480946
ecoli_00495,-4.2540240991000005,-0.657140987
ecoli_00496,-4.6991487053,-0.5088595220000001
ecoli_00497,-9.6459056068,-2.051480695
ecoli_00498,-9.7932194705,-2.044133868
ecoli_00499,5.6051346593,-0.46969103100000004
ecoli_00500,5.3935568833,-0.539435348
ecoli_00501,-8.7162702265,-0.669152909
ecoli_00502,-9.0143822883,-0.7346761220000001
ecoli_00503,-5.1949555464,-0.342825619
ecoli_00504,-5.6320753416,-0.41910435100000004
ecoli_00505,-7.59850357,-1.450181905
ecoli_00506,-7.9558754081,-1.569844301
ecoli_00507,-0.7987304038,-0.656173882
ecoli_00508,-0.84597334,-0.701543027
ecoli_00509,-1.7169599698,-0.49572585
ecoli_00510,-1.927585804,-0.516777141
ecoli_00511,-1.0169861095,-1.58914301
ecoli_00512,-1.7852970308,-1.557177534
ecoli_00513,-10.2359098234,-2.2701269
ecoli_00514,-10.0154749844,-2.27956261
ecoli_00515,-9.3561489826,-0.644174809
ecoli_00516,-8.8596639507,-0.623697075
ecoli_00517,-3.1841332413,-0.186208529
ecoli_00518,-2.7569273412,-0.11530385600000001
ecoli_00519,-1.8873655882,0.357932106
ecoli_00520,-3.1993668684,0.29915561700000004
ecoli_00521,-3.0514886306,0.39156774800000005
ecoli_00522,-2.8868210116,0.11591422300000001
ecoli_00523,-3.0482152278,-0.057170427
ecoli_00524,-1.1155260864,-0.624886214
ecoli_00525,-1.5185614768,-0.50092551
ecoli_00526,-1.1763931196,-0.522978786
ecoli_00527,-0.9942920065,-0.81894911
ecoli_00528,-2.2797689414,-0.808333152
ecoli_00529,-4.111470917,-1.112939864
ecoli_00530,-5.544045917,-0.8125315550000001
ecoli_00531,-7.2184968868,-1.349437041
ecoli_00532,-4.3146975409,-0.070224494
ecoli_00533,-3.9762183516,-0.24481081200000002
ecoli_00534,-4.2685750288,-0.186030302
ecoli_00535,-3.9103821526,-0.30970857100000004
ecoli_00536,-4.9891556141,-0.348204689
ecoli_00537,-4.5910219055,-0.034291434
ecoli_00538,-3.5907358735,-0.578552668
ecoli_00539,-4.0628655067,-0.421613823
ecoli_00540,-0.4264721999,-0.576142598
ecoli_00541,-0.3635301235,-0.5978205790000001
ecoli_00542,1.2063187016,-0.662504371
ecoli_00543,2.3503426595,-0.859784078
ecoli_00544,-1.0892441878,-0.28786496300000003
ecoli_00545,-0.6030207445,-0.619425799
ecoli_00546,-5.4520463218,-0.35147245
ecoli_00547,-5.2064638795,-0.437123081
ecoli_00548,-5.3463968356,-0.502082648
ecoli_00549,-5.3931051972,-0.44273021500000004
ecoli_00550,-4.6839324495,-0.244028502
ecoli_00551,-5.223787413,-0.20462555400000002
ecoli_00552,-5.3594600009,-0.8839440970000001
ecoli_00553,-5.3130893405,-1.185669041
ecoli_00554,-4.6321248476,-0.884156699
ecoli_00555,-4.9628521422,-0.675993516
ecoli_00556,-4.920399242,-0.7544018060000001
ecoli_00557,-5.4876566689,-0.722423879
ecoli_00558,-4.76676926,-0.7579721180000001
ecoli_00559,-5.0831087539,-0.379290817
ecoli_00560,-2.3484499448,-0.109331755
ecoli_00561,-2.0793792201,-0.017401327
ecoli_00562,-5.1676420664,-0.9151354450000001
ecoli_00563,-5.6565235977,-1.356925515
ecoli_00564,-8.2416610409,-0.6803638310000001
ecoli_00565,-8.2719069173,-0.75829302
ecoli_00566,-3.5713668597,-0.22486708200000002
ecoli_00567,-3.0594255536,-0.261853172
ecoli_00568,-2.040378383,-0.5620692260000001
ecoli_00569,-2.1597511987,-0.518769165
ecoli_00570,-2.0915444633,-0.6502509120000001
ecoli_00571,-2.1594410349,-0.6202610630000001
ecoli_00572,-2.4844424916,-0.8331658420000001
ecoli_00573,-2.9008945898,-0.35489439300000003
ecoli_00574,-5.0569127211,-0.654376246
ecoli_00575,-5.2108390222,-0.5757952110000001
ecoli_00576,-5.6624305718,-0.37395699400000004
ecoli_00577,-5.7265019801,-0.070770599
ecoli_00578,-5.8504316395,0.026364051000000003
ecoli_00579,-7.2362815817,-0.075795391
ecoli_00580,-6.0094407673,-0.417080632
ecoli_00581,-5.8311963301,-0.392854105
ecoli_00582,-8.6354079761,-0.21385076700000002
ecoli_00583,-8.5032249118,-0.548214302
ecoli_00584,-3.3169348922,-0.028598513000000002
ecoli_00585,-2.7552736303,-0.133201445
ecoli_00586,-2.1632956635,-0.659036681
ecoli_00587,-2.644768112,-0.48899112800000005
ecoli_00588,-2.2899480542,-0.682836348
ecoli_00589,-1.8286103854,-0.726644367
ecoli_00590,-4.370051427,-1.093952207
ecoli_00591,-4.5958484386,-1.160095266
ecoli_00592,-4.4956565169000005,-0.272942591
ecoli_00593,-4.320701948,-0.266307903
ecoli_00594,-5.7366529398,-0.33676252900000003
ecoli_00595,-4.9921038234,-0.434881134
ecoli_00596,-5.5080728124,-0.391090207
ecoli_00597,-4.7262965396,-0.6812763970000001
