,A,TtdR
SRX5694290,0.1909671432,-0.5665658692000001
SRX5694291,3.0960161338,-2.126709444
SRX5694292,-0.2923001537,0.26863228170000003
SRX5694293,0.3096983712,0.15923989600000002
SRX5694294,2.7421727428000002,0.5094457416
SRX5694295,3.6499654541,-6.4700505344
SRX5694296,1.6864109311000002,0.3945049142
SRX5694297,2.3452586464,-1.3912879999999999
SRX5694298,1.0638930865,0.5363733673000001
SRX5694299,0.10960810750000001,-0.191891252
SRX5694300,-0.20205718790000002,-0.8735190608000001
SRX5694301,-0.060106460300000004,0.4430961312
SRX5694302,-0.41113996900000005,-0.660758959
SRX5694303,-0.6143174313,-0.7737461758
SRX5694304,0.047714310600000004,-0.5541190687
SRX5694305,4.9372223853,-1.945317262
SRX5694306,2.5277064348,0.2705113064
SRX5694307,1.6141730369,-1.9364854820000001
SRX5694308,-0.5515412806000001,-1.2555422161
SRX5694309,0.24271928480000002,-3.1835185075
SRX5694310,0.6972152503,-6.0044533291
SRX5694311,1.2384977161,-2.944343898
SRX5694312,-0.8762800797,-0.27837551720000003
SRX5694313,2.2024939953000002,-2.5333074223
SRX5694315,0.7039599434,0.1569709739
SRX5694317,1.1796245505,-0.2032089632
SRX5694319,1.470207996,-0.8368382050000001
SRX5694320,2.2828962438,-2.3553150399
SRX5694321,4.9984363099,-0.45124289300000003
SRX5694322,1.6888651513,-1.4134269675
SRX5694323,5.3565143566,-0.8655701673
SRX5694324,0.5982648730000001,-4.3260067855
SRX5694325,0.266454607,-2.2787694234
SRX5694326,-0.0550564117,-0.0524657337
SRX5694327,1.2986070174,-4.0519892139
SRX5694328,0.8997461931,-0.28946286860000003
SRX5694329,5.5350730407,-0.8788519779
SRX5694330,2.7015769389,-0.4631778092
SRX5694331,-0.3455672489,0.213348014
SRX5694332,4.1943066945,-0.4512322823
SRX5694334,0.08605755350000001,-2.5455035368
SRX5694335,4.1932002337,-0.9912045712
SRX5694336,0.33455480120000003,-2.0229095302
SRX5694337,0.1011627512,-0.9118437716000001
SRX5694338,-0.1856960829,0.23183092630000002
SRX5694339,1.3056204684,-0.6466697259
SRX5694340,-0.6010995897,0.2124818215
SRX5694341,0.1012994039,-3.3259821477
SRX5694342,4.9210963494,-1.4273172948
SRX5694343,6.0841439069,0.9795181597
SRX5694344,2.0029334932,-0.5892216491
SRX5694345,0.2456385013,-0.2448816439
SRX5694346,6.2043580121,-0.25812056310000003
SRX5694347,1.6399204061,0.2146291117
SRX5694348,-0.9849593429000001,0.2711759375
SRX5694349,0.45772549570000004,0.015171946300000001
SRX5694350,1.5296110465,-0.4981689815
SRX5694351,3.9817343518,-1.3639276637
SRX5694352,-0.3866676033,-1.0126816444
SRX5694353,-0.1953622479,-0.0155214305
SRX5694354,-0.203387999,-0.6661289956
SRX5694356,-0.09621855650000001,-0.4189362347
SRX5694357,3.1732241062,-1.8071170704
SRX5694358,6.4864931484,-2.3326819834
SRX5694359,-1.1759711688,0.347491995
SRX5694360,0.0726577198,0.2815919382
SRX5694361,5.308035839,-2.0937089511
SRX5694362,0.45923506210000004,-0.37903565240000003
SRX5694363,-0.1927794499,-1.8309081146000001
SRX5694364,0.7019202213,-1.5938734914000001
SRX5694365,1.4971155669,-3.6497486243
SRX5694366,0.033558256200000004,-0.8729551356
SRX5694367,0.3730858562,-3.2250627265
SRX5694368,-0.1064430876,-1.0964683803
SRX5694369,-1.1732392087,0.2368542372
SRX5694370,0.4564125141,0.1494611676
SRX5694371,0.653133957,-2.2929995061
SRX5694372,0.1375482516,0.43625900360000003
SRX5694373,3.3745015348000003,-0.5059920963
SRX5694374,1.8817108845,-3.9113596452
SRX5694375,-0.6678843848,0.3791935328
SRX5694376,0.6378400675,-0.40787200770000004
SRX5694377,2.2988673831,-2.5697588418
SRX5694378,0.1781092289,-0.37314096760000004
SRX5694379,0.10552855400000001,-0.3601257559
SRX5694380,6.3953507639,-0.1103921431
SRX5694381,1.8370718018,-3.6585403413
SRX5694382,3.8479166628,0.2954362051
SRX5694383,-0.5473086799,0.242490481
SRX5694384,0.4442144898,0.0682383928
SRX5694385,-1.1555570967,-3.646779821
SRX5694386,1.6821207303999999,-4.2127557383
SRX5694387,0.1514180963,-0.5158970232
SRX5694388,2.800477875,-3.2827913375
SRX5694389,0.7353862962000001,0.5809532654
SRX5694390,-0.1454912183,0.21464400500000003
SRX5694391,-0.48708343660000003,-0.382245488
SRX5694392,0.3396242465,1.4182910982
SRX5694393,-0.4770693801,0.1069150801
SRX5694394,0.6185792345000001,0.2916029748
SRX5694395,-1.2898256628,-1.4436599723999999
SRX5694396,2.1446358986,-1.2359059792
SRX5694397,1.0931588687,-0.8994912435
SRX5694398,0.9612113977000001,0.4194165546
SRX5694399,0.7895529079,0.8046848169
SRX5694400,-0.632914489,0.3703310553
SRX5694401,-1.4482375109,0.3814654437
SRX5694402,2.0947142362,-4.2251531301
SRX5694403,-0.18735241290000001,-1.4813861767
SRX5694404,-0.49673534420000004,0.2032611476
SRX5694405,2.8097454304,0.5239996718000001
SRX5694406,0.7503505761,-0.5532358192
SRX5694407,-1.3239820059,-0.2159842223
SRX5694408,-0.22395824700000003,0.0659377804
SRX5694409,1.5295007371,-2.2151197423
SRX5694410,2.246403688,0.1145696117
SRX5694411,0.1778051809,-1.3042108484
SRX5694412,0.7048259707,-0.4708493771
SRX5694413,7.8147009337,0.4471724869
SRX5694414,0.4311977094,-3.3572488064
SRX5694415,-1.2993736958,0.5332042238
SRX5694416,0.592805899,0.1892153898
SRX5694417,1.8081419847,0.4765285193
SRX5694418,0.3250337363,-4.3294557911
SRX5694419,0.1297798578,-1.6944395877
SRX5694420,-0.7246312575,-0.25380575450000004
SRX5694421,-1.1992027905,-0.8008512896000001
SRX5694422,-2.315110224,0.2311955929
SRX5694423,-0.056302704200000005,-1.4290085864
SRX5694424,0.40223917670000003,-1.2913183165
SRX5694425,-0.8854465274000001,-0.0522776511
SRX5694426,0.2480841362,-1.5006660937
SRX5694427,-0.059387431500000004,0.5370092645
SRX5694428,-0.1267751883,0.5899781274
SRX5694429,0.4473769012,-2.2463452847
SRX5694430,0.48339587110000004,0.4656523603
SRX5694431,3.7113750282,-1.3209517612
SRX5694432,0.6377075621,-0.29320311990000003
SRX5694433,8.8876591591,0.6790922732
SRX5694434,7.4061781116,-0.8506924958000001
SRX5694435,-0.6061091812,-3.3810563452
SRX5694436,2.0659255118,-2.7037175905
SRX5694437,0.1664482229,-3.4394741428
SRX5694438,0.11304743090000001,0.49085710670000005
SRX5694439,1.817372095,-2.7794778106
SRX5694440,-1.040778124,0.1091690028
SRX5694441,4.4283241609,-0.4663046792
SRX5694442,1.6252522777,-3.3984420683
SRX5694443,-0.4476746773,0.3171727361
SRX5694444,0.3081830297,0.08477328220000001
SRX5694445,3.1562894967,-2.5415706121
SRX5694446,-0.41006213750000003,-0.1546201022
SRX5694447,-1.1112062386,0.17768633420000002
SRX5694448,4.5403972446,0.0262486888
SRX5694449,-0.34371885480000003,0.3183136689
SRX5694450,0.6319915269,-0.6361172713000001
SRX5694451,-0.8982836233,0.6041503292
SRX5694452,1.7600217705999999,-1.4871870417
SRX5694453,4.805613363,-0.2722153292
SRX5694454,-0.4149153883,-0.045011578600000005
SRX5694455,0.7690537135000001,-1.7307964577
SRX5694456,-0.5790535315,-0.560467018
SRX5694457,1.8767142969,-0.42517317990000003
SRX5694459,-1.2019917663,-0.24210369680000002
SRX5694460,0.1200925248,-2.0643669484
SRX5694461,-0.2718048312,0.2110972854
SRX5694462,-0.1017129269,-2.543231605
SRX5694463,-0.8433328746000001,-0.28749605440000003
SRX5694464,-0.0982649964,0.5797147945000001
SRX5694465,-0.7648404953,0.0146590399
SRX5694466,2.8312250228,-1.9120699033
SRX5694467,0.3616362771,-0.9230475295
SRX5694468,3.8069723080999998,-2.7356815548
SRX5694469,0.7273755546,0.0451785556
SRX5694470,-0.08767524510000001,-0.0927603084
SRX5694471,-0.12112967470000001,-0.1181148942
SRX5694472,0.2950116284,-1.5424334504
SRX5694474,-0.028640683700000003,-0.5052199472
SRX5694475,-0.5335017566,0.3730113326
SRX5694476,-0.351629321,0.6101785858000001
SRX5694477,0.058339303700000004,-1.2977119257
SRX5694478,-0.5095275971000001,1.1647664722
SRX5694479,3.4427172778,-1.1092144392
SRX5694480,4.8705337915,0.8534868605
SRX5694481,0.2265614673,0.406271629
SRX5694482,0.46474563210000003,-0.099979807
SRX5694483,-0.4211282913,0.4970637023
SRX5694484,-0.9944775925,0.2318106668
SRX5694485,-0.3558158524,-0.1372373129
SRX5694486,0.45706617060000004,-0.10273184560000001
SRX5694487,0.087578587,0.3784844095
SRX5694488,0.5055877677,0.019082352900000002
SRX5694489,0.4256502673,0.051378073
SRX5694491,0.1187465835,-0.8000292052
SRX5694492,0.538624467,-1.8715804134
SRX5694493,0.9224340189,-4.9674504609
SRX5694494,0.9724157686,-1.2632193219
SRX5694495,0.1504094538,-0.4705238778
SRX5694496,-0.07165156,-0.35223567710000003
SRX5694497,0.4390878359,-0.8477534721000001
SRX5694498,-1.2702358274,-0.4453779799
SRX5694499,7.7954459362,0.18877229780000002
SRX5694500,-0.5126062775,-0.38275884590000003
SRX5694501,0.106008082,0.45409952750000004
SRX5694502,-0.375267901,-1.3923445118
SRX5694503,0.4913658728,-4.1793667150000005
SRX5694504,0.0692653559,-0.2785779612
SRX5694505,1.0583685981,-3.4692130051
SRX5694506,0.172503819,-1.4102779878
SRX5694507,0.377101381,-0.6258835771
SRX5694508,2.0087967736,0.311533989
SRX5694509,-0.1191760443,-1.1806810702
SRX5694510,-0.5034413277,0.3820838674
SRX5694511,-0.036703035200000005,-0.1970101522
SRX5694512,0.47752374270000003,-0.7845153687
SRX5694513,6.1575659537,0.4423849844
SRX5694514,0.4194809796,-2.2076750293
SRX5694515,-0.5713217267,-4.4357677056
SRX5694516,1.9452357321,-2.2237481273
SRX5694517,-0.6145890625,-0.0891177439
SRX5694518,-0.4591384969,0.45941750330000003
SRX5694519,0.0250261832,-1.0527879976
SRX5694520,2.3103735438,0.40366663420000004
SRX5694521,-0.032325528400000005,0.0308563568
SRX5694522,-0.8701379791,0.2954325641
SRX5694523,0.033230699,0.30055033410000004
SRX5694524,0.7729986697,-0.217546928
SRX5694525,-0.4566609445,0.07738113070000001
SRX5694526,-0.0431561737,-0.8736310144
SRX5694527,-0.301016451,-0.9127263899
SRX5694528,4.3168718522,-1.3528975709
SRX5694529,0.29916324,0.09977760890000001
SRX5694530,2.6236446085000003,0.32464663520000003
SRX5694532,-0.5911943477,-1.5383343501
SRX5694533,0.1447557479,-4.5835339862
SRX5694534,0.8923901179,-2.7971947822
SRX5694535,4.7301869785,0.238416078
SRX5694536,1.1819417621000001,-0.2031943826
SRX5694537,-0.8890651703,-1.0873670444
SRX5694538,-0.5365194023000001,-0.0740456092
SRX5694539,-0.239999116,0.9443849557
SRX5694540,-0.2052993126,-2.1028636756
SRX5694541,1.1803351272,0.6005015358
SRX5694543,2.3010426577,-2.3764610535
SRX5694544,-0.17258350390000002,-0.19120882900000002
SRX5694545,-0.5498104473000001,0.4972378859
SRX5694546,-3.1385871818,-1.4424274237999999
SRX5694547,-0.5671012472,-0.0943112573
SRX5694548,-0.5051306539,-0.09645508130000001
SRX5694550,6.6056590275,-0.1509978408
SRX5694551,3.023064272,-0.2600155936
SRX5694552,1.044723534,0.2713106604
SRX5694553,-0.11954610310000001,0.0050453495
SRX5694554,0.3939009705,-0.8417324791
SRX5694555,0.15733256110000002,-1.5204108457
SRX6072760,1.2065051788,-5.776751604
SRX6072761,0.4854632955,-4.4474015491
SRX6072762,1.2710717852,-5.4370967738000004
SRX6072763,1.1619541939,-4.3641263694
SRX6072764,0.7785917191,-4.7344418198
SRX6072765,1.3990910291,-4.7375429354000005
SRX6376491,6.2005504138,0.3956838686
SRX6376492,2.8394891206,-2.8317967883
SRX6376493,2.6883741211,-2.8931987332
SRX6376494,4.2222414677,-1.6400628351000002
SRX6376495,6.5879977754,0.7227538318000001
SRX6376496,5.8265306608,0.2867092048
SRX2723951,0.4080261196,0.6977349083000001
SRX2723952,-0.0088381425,0.5605618528
SRX2723953,-0.2403361334,0.6622376881
SRX2723954,-0.27933262940000003,0.8499494988
SRX2723955,1.203136989,0.21620620540000002
SRX2723956,0.2110981234,0.5660108742000001
SRX2723957,0.0037688815,-0.1702793208
SRX2723958,0.3631935202,-0.2858655049
SRX2723959,0.2545166041,0.1415323514
SRX2723960,-0.2806192456,0.6711815990000001
SRX2723961,0.37757293470000003,0.8511550181
SRX2723962,-0.39948333540000003,0.3040962284
SRX2723963,0.3512110787,0.0364876333
SRX2723964,0.7424475871,0.3684787802
SRX2723965,0.2069935169,0.4501514945
SRX2723966,-0.5821583656,-0.1274804891
SRX2723967,0.3083894412,0.1668010123
SRX2723968,0.2737689243,-0.0393205232
SRX6977206,0.3994441891,-0.553982171
SRX6977207,-0.46929666280000004,-0.40719987550000003
SRX6977208,1.1320216314,-0.1588969054
SRX6977209,0.8376702118,0.2139041684
SRX6977210,1.4539457966,0.1853988586
SRX6977211,-0.3476501151,-0.9185401454000001
SRX6977212,0.8222007558000001,0.6340035079
SRX6977213,-0.4745506407,0.2845366374
SRX6977214,0.36093731,-0.8019427844
SRX1153733,0.33106474950000003,0.238537673
SRX1153734,-0.33106474950000003,-0.238537673
SRX1153735,1.0766315775,0.4086154971
SRX1153736,-1.1192536194,-0.3817673346
SRX5204053,-0.2636385491,-1.097987801
SRX5204054,-0.35991417870000003,-1.465291309
SRX5204055,-0.9500303712,-1.7774031034000002
SRX5204056,-1.5512770326,-1.9913849009
SRX5204057,-1.7886842311,-2.4227052468
SRX5204058,-1.2702397359,-1.9315883217
SRX5204059,0.5380675534,0.1448600714
SRX5204060,-0.0666361262,-0.7215740954000001
SRX5204061,1.2245549851,-1.1015965311
SRX5204062,-0.3628007908,-1.5575914607999999
SRX5204063,-0.4645295307,-2.0559086271
SRX5204064,-0.7338297819,0.18230507840000001
SRX5204065,-2.2645764133,-2.2470180512
SRX5204066,-1.691088289,-2.2821037213
SRX5204067,-1.7743496004,-1.8616771616
SRX5204068,0.4288597796,0.6650967708000001
SRX5204069,0.3365563006,1.4401103444
SRX5204070,-0.5082367561,-0.1809805041
SRX5204071,-1.2835808338999999,1.3048626051
SRX5204072,-0.3218075864,0.5820044337
SRX5204073,-0.0608694274,0.4143926254
SRX5204074,0.4121757072,-0.5243849433000001
SRX5204075,-0.15645618660000002,0.9755901158
SRX5204076,-1.69488806,-0.4694124256
SRX5204077,-0.050307408000000005,0.5977077098
SRX5204078,0.4463715999,-0.1223038733
SRX5204079,-0.0417885889,0.063599203
SRX5204080,-0.7791459603,-1.0526883386
SRX5204081,0.1493771965,-1.4893520285
SRX5204082,-0.9651741057000001,-1.2615673207
SRX5204083,-1.1329029182,-1.7838243528
SRX5204084,-0.4618660147,-1.0076250783
SRX5204085,-1.8967683314000001,-1.8747499586
SRX5204086,0.7042999535000001,-1.3422235516
SRX5204087,-0.3314468758,-1.6288738756
SRX5204088,-1.4484880801,-0.8836520648
SRX5204089,-1.1518825957,-1.9148296345
SRX5204090,-1.3045323444,-0.2951860611
SRX5204091,-0.8857115691,-1.1886928763
SRX5204092,-0.9616843731,-1.1301520285
SRX5204093,-0.4600866435,-1.7013772391000002
SRX5204094,-0.6196451168,-0.7204380435000001
SRX5204095,0.3857799505,0.5427255304
SRX5204096,-0.26419425280000003,-0.4560024297
SRX5204097,-0.1215856978,-0.0867231007
SRX683459,-0.24580711230000002,0.0313096665
SRX683460,1.0997293398,0.2754648616
SRX683461,-0.41045867140000003,-0.4308171081
SRX683462,1.6628775584,-0.1074441542
SRX683463,0.6562657837,0.3995074416
SRX683464,0.5379902123,0.42636611960000004
SRX683465,0.9184571368000001,0.2156755048
SRX683466,0.6110621302,1.4642501682
SRX683467,0.1688062413,1.058951674
SRX683468,2.4358709031,-0.1006211552
SRX683469,0.8889806292,0.6725532980000001
SRX683470,2.4322412926,0.1913154829
SRX322077,0.9123861977000001,0.6297171452
SRX322078,0.9565665764000001,0.7368790683
SRX322079,-0.0460331342,0.19268077620000001
SRX322080,-1.4079322076,0.5089983714
SRX322081,-1.2545434039,-1.1460229367
SRX322082,0.38203221270000004,0.3132844607
SRX322083,0.9403518128,-0.45398619020000003
SRX322084,0.09862714700000001,0.4132944887
SRX322085,-1.0389789598,0.0406917015
SRX2708592,-0.47557344500000004,-3.640731526
SRX2708593,0.5438818387000001,-2.7339264791
SRX2708594,1.2328774091999999,-1.0902250156
SRX2708595,-0.5200216338,-0.3251145653
SRX2708596,-0.2688900497,0.0942817657
SRX2708597,0.7889116835000001,0.2308327996
SRX2708598,0.3398592157,-0.2791992466
SRX2708600,1.3728038182,-0.2586453114
SRX2708601,0.19496432290000001,-0.1618398804
SRX2708602,-0.1548443121,-0.23441296800000003
SRX2708603,0.0032591776,-0.123111015
SRX3073814,0.16156291990000002,0.25767803240000003
SRX3073815,1.8281297665,-0.6172082720000001
SRX3073816,4.5629542077,-0.4042854302
SRX3073817,3.8721758626,-0.13454356850000002
SRX3073818,2.3165480445,0.6502329625000001
SRX3073819,-0.49859324520000003,-0.3496835753
SRX3073820,2.2221198997,-0.41119800300000003
SRX3073821,4.1347435116,-0.3125920901
SRX3073822,3.7424732399,0.0142288377
SRX3073823,3.0092445528,0.7089874109000001
SRX3073824,-0.16156291990000002,-0.25767803240000003
SRX3073825,1.8533822162,-0.3054978323
SRX3073826,4.3717396706,0.1016287077
SRX3073827,3.8133531867,0.0035061745
SRX3073828,3.3743793536,-0.1762249729
SRX3073829,0.3314748873,-0.2506532957
SRX3073830,1.9360807314000001,-0.6172082720000001
SRX3073831,4.4662927232000005,-0.6172082720000001
SRX3073832,2.3583116949000003,-0.38631908140000004
SRX3073833,3.5530872901,1.3981262897
SRX2391456,-0.5437119154,0.1966864891
SRX2391457,-0.28114578020000003,-0.0427498918
SRX2391458,-0.0830113277,-0.0023544985
SRX2391459,0.2161397611,0.0011444872
SRX2391460,0.2282765368,-0.059296769000000006
SRX2391461,0.23391653950000002,0.09336345060000001
SRX2391462,0.08847709470000001,0.0316324921
SRX2391463,1.3003037398,0.19061932180000002
SRX2391464,1.4816852774,0.0074982912
SRX2391465,-0.3631895289,-0.0719220733
SRX2391466,-0.3269602936,-0.0991633444
SRX2391467,0.1336867987,0.034349000500000004
SRX2391468,-0.3148738385,0.1759524951
SRX2391469,-0.32799238740000003,0.1254912659
SRX2391470,-0.09954174660000001,-0.5396526754000001
SRX2391471,-0.26367812020000003,-0.315932296
SRX2391472,-0.2586558772,-0.1451451998
SRX2391473,-0.5412011148,-0.3795708933
SRX2391474,-0.3127032782,-0.2429442225
SRX2391475,0.1669980913,-0.4400995506
SRX2391476,1.0055721096,0.1397490428
SRX2391477,-0.059420470700000005,-0.1788910203
SRX2391478,-0.0270274009,1.039418301
SRX2391479,1.7713039196,0.07018144200000001
SRX2391480,-0.0436108827,-0.8728168774
SRX2391481,-0.09376389310000001,-0.634203881
SRX2391482,-0.8042088180000001,-0.4386993187
SRX2391483,-0.2093841712,-0.0338946762
SRX2391484,0.3043035619,0.2774481083
SRX2391485,-0.4453045726,-0.0786237121
SRX2391486,-0.0777099717,-0.3663257613
SRX2391487,0.8302956522,0.2937000598
SRX2391488,0.1700041964,-0.28989462850000003
SRX2391489,0.22293731090000002,-0.0004963755
SRX2391490,0.14876425100000001,0.0520966848
SRX2391491,-0.1240721741,0.052964691300000005
SRX2391492,-0.13474795720000002,-0.2519232719
SRX2391493,-0.0527524692,-0.0329402272
SRX2391494,0.23438922920000002,-0.2573465458
SRX2391495,-0.1336867987,-0.034349000500000004
SRX2391496,-0.0981909484,-0.1331175622
SRX2391497,-0.061454844200000004,-0.1153421201
SRX2391498,0.8614685910000001,-0.3717820166
SRX2391499,-0.2246951123,-0.4931916322
SRX2391500,-0.5737853588,-0.2513618445
SRX2391501,-0.1933307322,-0.5218095227
SRX2391502,0.0627971549,-0.24697752790000002
SRX2391503,0.3899818041,0.7768053838000001
SRX2391505,-0.3198149201,-0.19074673450000001
SRX2391506,-0.17577509,0.0065612682
SRX2391507,0.33268773090000003,-0.0931833895
SRX2391508,0.0211578755,0.0227809465
SRX2391510,-0.1140473241,-0.6070597696000001
SRX2391512,-0.2103278721,-0.5118901666
SRX2391513,-0.1876587673,-0.3243364058
SRX2391514,-0.3717447287,-0.6002927437000001
SRX5632598,-1.1610856805,2.5933174349
SRX5632599,0.3781184348,0.9274118083
SRX5632600,-1.6134699305,2.1626597399
SRX5632601,-0.9440075519000001,1.9135118513
SRX5632602,-0.381008155,2.6314993179
SRX5632603,-0.9331038112000001,1.8238624485
SRX5632604,0.024273830200000002,2.930889559
SRX5632605,-1.9229820463,2.7390442236
SRX5632606,-0.2922143057,0.9984509163
SRX5632607,-0.3507724353,1.0299734512
SRX5632608,-0.5533245983,-0.1543315646
SRX5632609,-0.0101859723,0.6302810421
SRX5632610,-1.2481942968,0.6287394281
SRX5632611,0.5635105706,-0.4759494775
SRX5632612,-0.0428918129,0.0933456538
SRX5632613,-0.7665800057000001,-0.487718766
SRX5632614,-0.09805156670000001,-0.35532393770000004
SRX5632615,0.3388628645,-0.2570332895
ERX2874132,-1.154672869,0.2936949786
ERX2874133,-1.1932937354,0.5110602738
ERX2874134,0.1941589428,0.3343199544
ERX2874135,-0.45465298190000003,0.2798192608
ERX2874136,-0.2141448749,0.4517815383
ERX2874137,-1.3027881358,0.2607444138
ERX2874138,-0.6470197979,-0.636303279
ERX2874139,-1.1197947716,-0.10228201170000001
ERX2874140,0.5378780904,0.5787243795
ERX2874141,-0.5378780904,-0.5787243795
ERX2874142,-0.8234912802000001,-0.20367016200000002
ERX2874143,-0.7926952754000001,-0.3547371675
ERX2874144,-1.3520566899,0.0614080074
ERX2874145,-1.4977642585,-0.173245943
ERX2874146,-0.12460515100000001,-0.24949741890000002
ERX2874147,-1.2684418429,-0.1209110329
SRX1300292,-1.3334108876,-0.3308516184
SRX1300293,1.3334108876,0.3308516184
SRX1300299,-2.3509947172,-0.25478118510000003
SRX1300300,-1.5467252278,-1.1044136415
SRX1300304,0.036451023400000004,0.0963658423
SRX1300305,-3.4380261357,-0.4752880601
SRX1300306,-1.3786696596999999,-0.31734654370000004
SRX1300310,1.8590060574,0.0491883444
SRX1300311,0.3737312002,0.5692749393000001
SRX7291195,0.052616889,-0.2122385323
SRX7291196,0.2379232887,-0.0937500255
SRX7291197,0.2612668577,0.043090990700000005
SRX7291198,-0.060375376300000005,0.2169169055
SRX7291199,-0.1344716171,-0.2228118228
SRX7291200,0.1948469934,0.0058949172000000005
SRX7291201,0.2968762395,0.0716599664
SRX7291202,0.5967887696,-0.0502169408
SRX7291203,0.5094653834,0.057522310400000005
SRX7291204,-0.0764176798,-0.09877413310000001
SRX7291205,-0.1603428456,-0.0047555674
SRX7291206,0.1680255133,0.2053714935
SRX2436955,-0.6559483247,-1.9462234561
SRX2436956,0.10291698390000001,0.2427396934
SRX2436957,-0.12071161520000001,0.1918034247
SRX2436958,0.6868239052,0.8978459026000001
SRX2436959,-0.8989126718,-0.2532514564
SRX2436960,3.3172272049,0.9896279674
SRX2436961,4.3607906836,2.1612590368
SRX2436962,8.4705864371,1.9801242657
SRX2436963,-0.0328254953,0.2252459309
SRX2436964,6.1535443846,2.1126256458
SRX2436965,-0.1545227485,-0.277402586
SRX2436966,0.5749093693,0.731138779
SRX2436967,5.0851359951,2.6703757474
SRX2436969,-0.3980656091,0.8714405963
SRX2436970,0.717424171,0.6758753787
SRX2436971,4.3127864556,2.2786617123
SRX2437029,8.3636219839,1.7733272073
SRX2437030,-0.49248673,-1.6652436735
SRX2437031,0.1696453471,-0.0328633689
SRX2437032,0.38317256650000003,-0.38838777950000003
SRX2437033,0.6708048538,-0.144964681
SRX2437034,-0.0970946857,-0.3810670933
SRX2437035,-0.3257574076,-1.3382270719
SRX2437036,-0.6926681313,-1.6793753195
SRX2437037,7.4004834426,2.2659093299
SRX2437038,1.2404507976,0.8747646864
SRX2437039,-0.3457853972,-0.28735467530000003
SRX2437040,-0.49216880230000004,-1.4616250995
SRX2437041,-0.5375684061,-2.128975859
SRX2437042,0.3370832959,0.0610890543
SRX2437043,6.800255466,1.9265607759
SRX2437044,0.11488311,-0.050953620500000005
SRX4705203,1.7174466318000001,-0.9726894352000001
SRX4705204,0.534775505,-0.976321392
SRX4705205,0.8882333842000001,-1.0607474984
SRX4705206,0.6556112102,-0.9433445098000001
SRX4705207,0.2244782482,-3.0106705324
SRX4705208,0.9403901135,-2.0105256283
SRX4705209,-0.3903402361,-2.4596777798
SRX4705210,0.12150811510000001,-1.8955121038
SRX4705211,0.3799301338,-1.3818220860000001
SRX4705212,0.340279047,-1.5965200416
SRX4705213,0.2377948647,0.06675641460000001
SRX4705214,-0.6063809849,0.5317500819000001
SRX4705215,0.3414689453,-0.21411690600000002
SRX4705216,-0.26502038440000003,0.0870146594
SRX4705217,0.1587119117,-0.0591115506
SRX4705218,0.1334256476,-0.4122926992
SRX4705219,0.400106038,-1.255014886
