,A,AlgU
co_culture__b_thai_c_viol_35__3.0,12.3216100174,1.008525957
co_culture__b_thai_c_viol_30__3.0,13.3970847199,1.1028291878
co_culture__b_thai_c_viol_30__4.0,15.3124654791,1.069920269
co_culture__b_thai_c_viol_40__3.0,14.233291613,0.9447233585
co_culture__c_viol_40__4.0,-5.9046427529,-0.1410644633
co_culture__b_thai_35__3.0,17.2491385795,1.6042062270000002
co_culture__b_thai_30__3.0,17.4857147439,1.6253648398
co_culture__b_thai_45__3.0,18.5246712179,1.7669120578
co_culture__mono_25__3.0,-1.5981308261,0.1124356274
co_culture__mono_45__3.0,-2.4830519633,-0.1207501983
co_culture__mono_40__3.0,1.1938069905,0.37102788340000004
co_culture__c_viol_25__3.0,-1.5269958233,0.3845315936
co_culture__c_viol_35__3.0,-3.4359131476,0.2416678996
co_culture__mono_25__4.0,-1.7334066486,0.1860501394
co_culture__mono_35__4.0,-3.1245419362,0.0606296104
co_culture__mono_45__4.0,3.8624809584,0.5260401114000001
co_culture__mono_40__4.0,-0.2277382298,0.1421928039
co_culture__b_thai_30__4.0,15.9700904027,1.2407743027
co_culture__b_thai_40__3.0,14.1409048436,1.1251313537
co_culture__b_thai_35__4.0,15.399865755,1.1663949666
co_culture__c_viol_25__4.0,-4.0917344596,0.27137726160000003
co_culture__c_viol_35__4.0,-5.335145319,0.2379031422
co_culture__c_viol_12.5__3.0,-6.0786026801,-0.3144876956
co_culture__c_viol_12.5__4.0,-5.5257681643000005,-0.2142306472
co_culture__b_thai_12.5__3.0,16.3504045972,1.0027133532
co_culture__mono_12.5__4.0,0.3725343676,0.0202635674
co_culture__c_viol_30__3.0,-1.9132486663,0.2174635514
co_culture__b_thai_c_viol_35__4.0,24.9519464747,2.0625254833
immunity_2__WT_sid2__1.0,0.1076099088,0.054896468000000004
immunity_2__WT_pad4__1.0,-1.7507442309,-0.23601156250000002
immunity_2__WT_PS__1.0,-2.9538557098,-0.4291103768
immunity_2__WT_sid2__2.0,-0.8880813074,-0.07098334960000001
immunity_2__WT_pad4__2.0,-2.2661408994,-0.1696779598
immunity_2__WT_PS__2.0,-5.3179765131,-0.45726303960000003
immunity_2__WT_sid2__3.0,0.7804713986,0.0160868817
immunity_2__WT_pad4__3.0,-2.5326583967,-0.2083016155
immunity_2__WT_PS__3.0,-9.5732892281,-0.8043301168
immunity_in_vitro__WT_MM__1.0,-2.3261163024,-0.1931746217
immunity_in_vitro__WT_MM__2.0,3.2570676701,0.1517769468
immunity_in_vitro__WT_MM__3.0,-2.0369619898,-0.0240489857
immunity_in_vitro__WT_MM__4.0,1.1060106221,0.0654466605
immunity_isolated__WT_DE__1.0,1.2169617578,-0.0430171083
immunity_isolated__WT_DEPS__1.0,-0.1774720199,-0.3163964206
immunity_isolated__WT_WT__1.0,1.5231785021,0.34117294930000003
immunity_isolated__WT_npr1__1.0,-0.016440814800000002,0.4094682899
immunity_isolated__WT_DE__2.0,3.2041323065,0.5520013225
immunity_isolated__WT_DEPS__2.0,1.8672620839,0.28005795240000003
immunity_isolated__AvrRpt2_WT__1.0,7.1163019965,0.1289124121
immunity_isolated__AvrRpt2_npr1__1.0,2.9280767742,0.4929497869
immunity_isolated__AvrRpt2_DE__1.0,4.0415754366,0.2172321962
immunity_isolated__AvrRpt2_DEPS__1.0,5.195903993,0.4176589077
immunity_isolated__WT_WT__2.0,4.9297010784,0.27785790390000004
immunity_isolated__WT_pad4__1.0,5.0942427657,0.5210184961000001
immunity_isolated__WT_PS__1.0,4.8492770691,0.40569821500000003
immunity_isolated__AvrRpt2_WT__2.0,6.6956656302,-0.16287238980000002
immunity_isolated__AvrRpt2_sid2__1.0,5.7222025546,0.27514165150000003
immunity_isolated__AvrRpt2_pad4__1.0,4.0281664465,-0.0466943582
immunity_isolated__AvrRpt2_PS__1.0,4.5503838305,0.2863531541
immunity_isolated__WT_WT__3.0,-1.1580565427,0.0819340876
immunity_isolated__WT_sid2__1.0,-0.5821643107000001,0.2113019787
immunity_isolated__WT_pad4__2.0,-0.7223028497,0.11738325690000001
immunity_isolated__WT_PS__2.0,-3.1222929631,-0.21807765540000001
immunity_isolated__AvrRpt2_WT__3.0,5.6639329588,0.012182861000000001
immunity_isolated__AvrRpt2_sid2__2.0,4.3438228615,0.3121594955
immunity_isolated__AvrRpt2_pad4__2.0,3.9285364471,0.3312291613
immunity_isolated__AvrRpt2_PS__2.0,1.8882067464,0.14873764420000002
immunity_isolated__WT_WT__4.0,0.3550315443,-0.1399580738
immunity_isolated__WT_npr1__2.0,-0.6103825285000001,-0.016691246
immunity_isolated__AvrRpt2_WT__4.0,4.4567904539,-0.3171067131
immunity_isolated__AvrRpt2_npr1__2.0,-0.4090044947,-0.1179479596
immunity_isolated__AvrRpt2_DE__2.0,2.3277450671,-0.24578380930000002
immunity_isolated__WT_WT_mock__1.0,0.9689722585,0.29632237380000004
immunity_isolated__WT_WT__5.0,-0.0558164845,-0.0860577298
immunity_isolated__WT_SP__1.0,-0.4487484257,-0.0143845429
immunity_isolated__AvrRpt2_b2b3__1.0,6.066182519,-0.3000888056
immunity_isolated__WT_WT__6.0,-0.1471335816,-0.0518174708
immunity_isolated__WT_SP__2.0,0.4194415998,0.0470429428
immunity_isolated__AvrRpt2_WT__5.0,5.2618773743,-0.10713879200000001
immunity_isolated__AvrRpt2_b2b3__2.0,7.2485058414,-0.0386144526
immunity_isolated__WT_WT__7.0,1.8211985613000001,-0.4283130851
immunity_isolated__WT_sid2__2.0,1.1781189817,0.110163937
immunity_isolated__WT_pad4__3.0,1.8101559096000002,0.0416216559
immunity_isolated__WT_PS__3.0,0.6161453243,-0.0499546145
immunity_isolated__AvrRpt2_WT__6.0,6.5339747135,0.053994167700000005
immunity_isolated__AvrRpt2_sid2__3.0,7.0261578869,0.2427519182
immunity_isolated__AvrRpt2_pad4__3.0,4.8800935352,0.17408441430000002
immunity_isolated__AvrRpt2_WT__7.0,7.8150290567,0.0124259819
immunity_isolated__AvrRpt2_npr1__3.0,3.8404253084,0.4355603485
immunity_isolated__AvrRpt2_DE__3.0,6.862104558,0.38825151550000003
immunity_isolated__AvrRpt2_DEPS__2.0,2.5411905247,0.3221587299
immunity_isolated__AvrRpt2_RR__1.0,3.5693651802,0.4079445949
immunity_isolated__AvrRpt2_WT__8.0,8.7935256706,-0.0320377062
immunity_isolated__AvrRpt2_RR__2.0,0.0967603714,0.40235441710000003
immunity_isolated__WT_WT_mock__2.0,-2.0164757708,-0.0823881117
immunity_isolated__WT_WT_SA__1.0,0.11426696780000001,0.1191459363
immunity_isolated__WT_WT_chitin__1.0,5.0138097842,0.3910678649
immunity_isolated__WT_WT_SA__2.0,2.0178772285,0.12941158900000002
immunity_isolated__WT_WT_mock__3.0,-0.5169139286000001,-0.144577474
immunity_isolated__WT_WT_chitin__2.0,1.7037195655000001,-0.0774701826
immunity_isolated__WT_WT_SA__3.0,2.4381231933,0.1042526487
immunity_isolated__WT_WT__8.0,-4.0803306855,-0.3250715618
immunity_isolated__AvrRpt2_WT__9.0,2.7186193759,-0.34110656100000003
immunity_isolated__AvrRpt2_WT__10.0,4.0841793459,-0.16016451380000002
immunity_isolated__WT_WT__9.0,-0.9609532689,-0.2068725962
immunity_isolated__AvrRpt2_WT__11.0,3.1084618059,-0.148484748
immunity_isolated__WT_WT__10.0,0.8949763906,0.0521395814
immunity_isolated__WT_pad4__4.0,0.8340290264,0.004545220500000001
immunity_isolated__WT_PS__4.0,0.8898007042,-0.0046223415
immunity_isolated__AvrRpt2_WT__12.0,6.7983020296,0.0310699761
immunity_isolated__AvrRpt2_pad4__4.0,3.9782037655,0.051637559400000005
immunity_isolated__AvrRpt2_PS__3.0,2.8180293184,-0.0200824086
immunity_isolated__WT_WT__11.0,-0.7865885929,0.3177237102
immunity_isolated__WT_stp__1.0,0.0642382089,0.2532226115
immunity_isolated__AvrRpt2_WT__13.0,7.7426168582,0.1712913602
immunity_isolated__AvrRpt2_stp__1.0,7.9500060166,0.1152865679
immunity_isolated__WT_WT__12.0,-2.3352069206,0.167262285
immunity_isolated__WT_stp__2.0,-3.7857415743000002,0.0323880274
immunity_isolated__AvrRpt2_WT__14.0,7.7805054931,0.2334080004
immunity_isolated__AvrRpt2_stp__2.0,9.8407692384,0.1730838106
immunity_no_isolation__WT_WT_mock__1.0,-0.6600547538,-0.019736465800000002
immunity_no_isolation__WT_WT_flg22__1.0,7.6023755925,0.9796193209
immunity_no_isolation__WT_WT_flg22__2.0,8.8701280637,1.2849220905
immunity_no_isolation__WT_WT_flg22__3.0,6.8719717221,0.7422594920000001
immunity_no_isolation__WT_WT_mock__2.0,1.1012477409,0.050266573700000004
immunity_no_isolation__WT_WT_mock__3.0,-0.44119298700000004,-0.030530107900000002
immunity_time__mock_1hpi__1.0,-1.5823518346,0.0796827937
immunity_time__mock_1hpi__2.0,0.6402288849000001,-0.0861594696
immunity_time__mock_1hpi__3.0,0.9421229497,0.0064766759
immunity_time__flg22_1hpi__1.0,-2.6827884542,-0.031279243000000005
immunity_time__flg22_1hpi__2.0,-0.9292915448,-0.1306558357
immunity_time__flg22_1hpi__3.0,-2.2402442363,-0.0975091807
immunity_time__mock_3hpi__1.0,-5.2236657256,-0.4219398722
immunity_time__mock_3hpi__2.0,-2.0674864957,-0.28802473440000004
immunity_time__mock_3hpi__3.0,-11.8503276966,-0.802635077
immunity_time__flg22_3hpi__1.0,-5.8377062033,-0.0754676606
immunity_time__flg22_3hpi__2.0,-3.0879823622,0.2139886493
immunity_time__flg22_3hpi__3.0,-5.5126705375,-0.0109392317
immunity_time__mock_5hpi__1.0,-11.5998165887,-1.1804996813
immunity_time__mock_5hpi__2.0,-8.6977189902,-0.574465801
immunity_time__mock_5hpi__3.0,-10.2104003738,-0.8973893258000001
immunity_time__flg22_5hpi__1.0,-3.816388362,-0.0169161754
immunity_time__flg22_5hpi__2.0,-6.646878345,0.1262782707
immunity_time__flg22_5hpi__3.0,-5.4012125636,0.0809541756
