,A,YieP
rpoB__wt_lb__1,-1.3174900521000001,-0.007430487
rpoB__wt_lb__2,-0.9418803308,-0.18994290800000002
rpoB__rpoBE546V_031__1,-2.1107746508,-0.445300205
rpoB__rpoBE546V_044__1,-1.5874239816,-0.004478816
rpoB__rpoBE546V_lb__1,-0.5063720081,-0.300087302
rpoB__rpoBE546V_lb__2,-1.1099464616,-0.352257731
rpoB__rpoBE546V_glc__1,0.9497727392,-0.265589145
rpoB__rpoBE672K_glc__1,1.7693111862,-0.49029373400000004
rpoB__rpoBE672K_glc__2,1.7177685397,-0.6564413130000001
rpoB__rpoBE672K_lb__1,-2.6545211056999998,-0.46181919200000004
rpoB__rpoBE672K_lb__2,-2.3299822385,-0.39705994600000005
crp__wt_fru__1,-0.6092887247000001,-0.628856199
crp__wt_glyc__1,-0.9855462264,-0.8785895180000001
crp__wt_glyc__2,-0.6753002753,-0.8720722320000001
crp__delar1_glyc__1,-1.2660387457,0.042888192000000006
crp__delar1_glyc__2,-1.3363041131,0.21602136600000002
crp__delar1ar2_glyc__1,-1.4922030333,-1.469229146
crp__delar1ar2_glyc__2,-1.4587236356,-1.536600229
crp__delar1ar2_glyc__3,-1.4779188814,-1.610699861
crp__delar2_glyc__1,-3.3591997343,-0.330356873
crp__delar2_glyc__2,-3.1737513757,-0.55679405
crp__delar2_glyc__3,-2.9107621343,-0.48179923900000005
crp__delcrp_fru__1,-2.0405153052,-0.416146779
crp__delcrp_fru__2,-2.2975080076,-0.441942153
crp__delcrp_fru__3,-2.2109935859,-0.25660040900000003
crp__delcrp_glc__1,-1.401617566,-0.544630114
crp__delcrp_glc__2,-0.7594783432000001,-0.38204218100000004
crp__delcrp_glc__3,-1.6607327298999999,-0.28597326700000003
crp__delcrp_glyc__1,-1.5108927905,-0.452614546
crp__delcrp_glyc__2,-1.9722840718999999,-0.514448906
crp__delcrp_glyc__3,-1.3348267597,-0.278100815
glu__glu_ale3__1,-0.3550645502,2.144937063
glu__glu_ale4__1,0.9970616965,0.21494774800000002
glu__glu_ale5__1,1.1875819461,0.006651511000000001
glu__glu_ale6__1,1.4815662835,-0.649330301
glu__glu_ale8__1,-0.2822806297,2.163474052
glu__glu_ale9__1,-0.7266354563,1.779946034
glu__glu_ale10__1,-0.8249984819,2.094707907
42c__wt_42c__1,0.0883585207,0.047299976
42c__42c_ale1__1,-1.913796483,1.358334411
42c__42c_ale2__1,-1.122439299,0.162887432
42c__42c_ale3__1,-0.0357579595,-0.295616205
42c__42c_ale4__1,-1.8338914340999999,1.047490006
42c__42c_ale5__1,-0.1802293554,-0.347590722
42c__42c_ale6__1,-1.1862533504,2.076190398
42c__42c_ale8__1,-0.3596107336,2.228751027
42c__42c_ale9__1,1.1737890409,-0.154681074
42c__42c_ale10__1,-0.7382144358,2.216527516
ssw__wt_ac__1,-1.4075421295,-0.664032085
ssw__wt_glc__1,-0.0350379081,-0.09489726300000001
ssw__wt_glyc__1,-2.5258383783,1.076481905
ssw__wt_xyl__1,-4.292412689,0.914488308
ssw__glc_ale1__1,-3.5596924336,0.227086685
ssw__glc_ale2__1,-6.7374426223,1.492190814
ssw__glc_ale3__1,-2.5862440433,1.440958444
ssw__glyc_ale1__1,-4.7904673185,0.5849497730000001
ssw__glyc_ale2__1,-1.7611233076000001,1.3018396
ssw__xyl_ale1__1,-3.6738590534,-0.082211985
ssw__xyl_ale2__1,-2.8427793888,-0.039977097
ssw__xyl_ale3__1,-1.1000694638,-0.22867023
ssw__glc_ac_ac2__1,-2.4366408927,1.411207483
ssw__glc_ac_glc1__1,-1.9736216500000001,0.06123468
ssw__glc_glyc_glc__1,-1.4864850436000001,1.177369711
ssw__glc_glyc_glyc__1,-3.6950333449,-0.356993783
ssw__glc_xyl_glc__1,-1.5666620936,0.526859651
ssw__glc_xyl_xyl__1,-1.9573644931,-0.9785110870000001
ica__wt_glc__1,1.7668026440000002,-0.32524930700000004
ica__wt_glc__2,1.4046828123,-0.359070588
ica__wt_glc__3,0.5718466899,-0.23606918100000002
ica__wt_glc__4,0.3239276823,-0.07082408200000001
ica__arg_sbt__1,-0.3466269997,-0.20804043600000002
ica__arg_sbt__2,0.1399682824,-0.323167496
ica__cytd_rib__1,-1.5015257711,-0.035188986000000005
ica__cytd_rib__2,-1.7246385014999999,0.004848277000000001
ica__gth__1,-1.961481974,-0.5435753870000001
ica__gth__2,-1.9136965411,-0.577444293
ica__leu_glcr__1,0.66709366,0.006463402
ica__leu_glcr__2,0.7445049106,0.056873653
ica__met_glc__1,1.8704090168,-0.43256714700000004
ica__met_glc__2,1.7475522784000002,-0.42703351700000003
ica__no3_anaero__1,-2.8904228784,0.53794803
ica__no3_anaero__2,-2.7374461276,0.506698573
ica__phe_acgam__1,1.0464382822,-0.37689863100000004
ica__phe_acgam__2,0.9274279971,-0.42434908600000004
ica__thm_gal__1,-0.34199718430000003,-0.8066088170000001
ica__thm_gal__2,-0.2193191841,-0.6930563660000001
ica__tyr_glcn__1,0.4807755454,-0.13530815200000001
ica__tyr_glcn__2,-0.06361127800000001,-0.208747964
ica__ura_pyr__1,-2.8864539219000003,-0.34221895
ica__ura_pyr__2,-3.5403938544,-0.623169131
ica__wt_glc__5,0.4991979355,-0.10188765
ica__wt_glc__6,0.5494581980000001,-0.095067336
ica__bw_delpurR_cytd__1,0.15897051510000001,-0.422223039
ica__bw_delpurR_cytd__2,1.1040533113,0.100761738
ica__ade_glc__1,0.9370147401000001,0.011578362
ica__ade_glc__2,0.23360260970000002,-0.409675235
ytf__wt_glc__1,0.6044798278,0.6887087820000001
ytf__wt_glc__2,-0.10628009470000001,0.7974627750000001
ytf__delyafC__1,-1.6698286776,0.755805809
ytf__delyafC__2,-1.6315224795,0.8939956630000001
ytf__delyeiE__1,-1.1512149999,-0.19459505200000002
ytf__delyeiE__2,-0.9291256736,-0.212285301
ytf__delyiaJ__1,-1.755789249,1.052120795
ytf__delyiaJ__2,-2.5938482917,0.839266363
ytf__delyieP__1,-14.0145164079,-6.549693526
ytf__delyieP__2,-13.4889863181,-6.069631235
ytf__wt_ph5__1,0.0614458675,0.264974666
ytf__wt_ph5__2,-0.4446059605,0.332252908
ytf__wt_ph8__1,0.9771986177,-0.209938956
ytf__wt_ph8__2,0.8256822969000001,-0.023607156
ytf__delybaO__1,-1.4471529701999999,0.988527722
ytf__delybaO__2,-0.5781875618,1.177988464
ytf__delybaQ__1,0.5838079948,-0.17468054700000002
ytf__delybaQ__2,0.73850448,-0.10488167100000001
ytf__delybiH__1,0.047008560500000005,1.060158945
ytf__delybiH__2,-0.1860092952,1.248424809
ytf__delydcI_ph5__1,0.1550656968,0.183256361
ytf__delydcI_ph5__2,0.43480853020000004,0.14067400500000002
ytf__delydcI_ph8__1,-0.0945427498,-0.13918750100000002
ytf__delydcI_ph8__2,1.1947322498,-0.159848878
ytf__delyddM__1,-0.5135700152,0.277438909
ytf__delyddM__2,0.1783665847,0.25587321500000004
ytf__delyheO__1,-2.1713967385,0.687570906
ytf__delyheO__2,-1.5197264759,1.112739806
fps__bw_glc__1,0.6051080198000001,-0.192344915
fps__bw_glc__2,0.3723452526,-0.21977252900000002
fps__fps_thrA_ale1__1,0.2936722121,-0.083374843
fps__fps_thrA_ale1__2,0.3598309203,-0.135712584
fps__fps_thrA_ale2__1,0.1715011455,-0.13304369900000002
fps__fps_thrA_ale2__2,0.3081150843,-0.261613394
fps__fps_serB_ale1__1,-0.069343928,-0.24749289700000002
fps__fps_serB_ale1__2,-0.16524707560000002,-0.043366435
fps__fps_serB_ale4__1,-0.8067668581,-0.176232561
fps__fps_serB_ale4__2,-0.7728322671000001,-0.167306791
fps__fps_ptsI_ale1__1,-1.1272737182,-0.6778830450000001
fps__fps_ptsI_ale1__2,-0.97473769,-0.446017048
fps__fps_ptsI_ale3__1,-0.29116063070000003,-0.784635476
fps__fps_ptsI_ale3__2,-0.7638818021,-0.850601354
pal__lyx_ale2_f6__1,-2.3193899651,-0.681558913
pal__lyx_ale2__1,-2.4387048705,-0.8833829150000001
pal__lyx_ale2__2,-2.0720507594,-1.070967044
pal__lyx_ale4__1,-1.2601397209,-1.508602671
pal__lyx_ale4__2,-1.7932171351,-1.6277474490000001
pal__5drib_ale10_f18__1,-2.9228569216,-1.1532487
pal__5drib_ale10_f18__2,-2.492866883,-1.219802376
pal__5drib_ale10__1,-2.2923828407,-0.7857986760000001
pal__arab_ale14_f9__1,-3.9734174582,-0.58277376
pal__arab_ale14_f9__2,-3.5351767093,-0.499896608
pal__arab_ale14__1,-2.3980517503,0.142624414
pal__arab_ale14__2,-2.1611716496,0.21103226700000002
pal__arab_ale16__1,-4.7282518217,-0.588668803
pal__arab_ale16__2,-4.8123390166,-0.690032375
pal__tartr_ale26_f10__1,-1.0259578175,-0.711732597
pal__tartr_ale26_f10__2,-0.9434190281,-0.63353156
pal__tartr_ale26__1,-0.6241994057,-0.805715929
pal__tartr_ale26__2,-0.32760237880000004,-0.56242675
pal__tartr_ale28_f10__1,-2.4350010841,-0.653187732
pal__tartr_ale28_f10__2,-1.929299517,-0.6780820780000001
pal__tartr_ale28__1,-0.4841501536,-0.645128877
pal__tartr_ale28__2,-0.1214855576,-0.5043186820000001
efeU__delmenFentC_citr__1,-0.7344769839,0.30124024800000004
efeU__delmenFentC_citr__2,-0.16395542770000002,0.763159353
efeU__delmenFentC__1,-1.7015921453,-0.07203559600000001
efeU__delmenFentC__2,-1.9647944093,-0.13791732
efeU__menFentC_ale39__1,-1.1089417893,1.147273399
efeU__menFentC_ale39__2,-1.332826595,1.216685358
efeU__menFentC_ale29__1,0.5866959484000001,2.125694817
efeU__menFentC_ale29__2,0.6160356741,2.231945581
efeU__menFentC_ale30__1,-0.6217841150000001,-0.42742925600000004
efeU__menFentC_ale30__2,0.3082940708,-0.32395317700000004
efeU__menFentCubiC_ale36__1,-0.924711048,-0.572755974
efeU__menFentCubiC_ale36__2,-1.6432783351,-0.42764511200000005
efeU__menFentCubiC_ale37__1,-1.1602929284,-0.069676243
efeU__menFentCubiC_ale37__2,-1.2861298730000001,-0.003443629
efeU__menFentCubiC_ale38__1,-2.5778567047000003,0.33866237600000004
efeU__menFentCubiC_ale38__2,-2.8913089578,0.34476899
misc2__salc_glc__1,0.023705712900000002,0.514579317
misc2__salc_glc__2,-0.225238604,0.480581452
misc2__dbcn_glc__1,-0.4772584105,-0.43076742300000004
misc2__dbcn_glc__2,-0.43308530580000004,-0.510333039
misc2__tyr_glc__1,-0.7839744265,-0.003664342
misc2__tyr_glc__2,-0.3017682253,0.073496832
misc2__arg_cytd__1,0.4649477205,0.024263051
misc2__arg_cytd__2,0.29125029010000003,-0.08440887700000001
misc2__delyheO_pyr__1,-5.1001635095,-0.227926218
misc2__delyheO_pyr__2,-5.5017041309,-0.325084462
nquinone__delubiC__1,-0.9565992419,0.002426983
nquinone__delubiC__2,-1.3923146408,0.14764555000000001
nquinone__ubiC_ale1__1,-1.2034306514,-0.295660674
nquinone__ubiC_ale1__2,-0.9441359077,-0.230167685
nquinone__ubiC_ale2__1,-1.0316589012,-0.132614913
nquinone__ubiC_ale2__2,-1.3788988458,-0.376822042
nquinone__ubiC_ale3__1,-1.2225937901,-0.703911444
nquinone__ubiC_ale3__2,-0.4829771597,-0.7672328420000001
nquinone__ubiC_ale4__1,-1.4142170569,-0.433728151
nquinone__ubiC_ale4__2,-1.0297918733,-0.198151201
nquinone__delpdhR__1,-0.1425259859,-0.463662206
nquinone__delpdhR__2,-0.49780244640000004,-0.60972591
quinone__glu_ale4__1,-0.4337121546,-0.090144763
quinone__glu_ale4__2,-0.7465256969,0.5171413690000001
quinone__delmenF__1,0.2706510596,-0.122400618
quinone__delmenF__2,0.0791643893,-0.11445376
quinone__menF_ale5__1,-0.6680970293,1.42133989
quinone__menF_ale5__2,-0.21996181990000002,1.383497283
quinone__menF_ale6__1,-0.5006589296,1.5138251870000001
quinone__menF_ale6__2,0.057649945800000005,1.593054164
quinone__menF_ale7__1,-0.2915266305,1.531123188
quinone__menF_ale7__2,-0.4880251229,1.425788751
quinone__menF_ale8__1,-1.6312025959,1.998432353
quinone__menF_ale8__2,-1.9817452348,1.169957664
quinone__delmenFubiC__1,-0.9481899086000001,-0.166073264
quinone__delmenFubiC__2,-0.6023247921,0.041441575
quinone__menFubiC_ale1__1,-2.3449749502,1.4607366
quinone__menFubiC_ale1__2,-1.8133027336,1.556681936
quinone__menFubiC_ale2__1,-1.6377034837000002,1.319305248
quinone__menFubiC_ale2__2,-1.5907217082,1.221654469
quinone__menFubiC_ale3__1,-2.4172284295,-0.9637417570000001
quinone__menFubiC_ale3__2,-2.4937729447,-0.8264413450000001
quinone__menFubiC_ale4__1,-0.9687573143,1.498984794
quinone__menFubiC_ale4__2,-1.173745044,1.442734879
oxyR__wt_glc__1,0.1597838778,-0.40373846
oxyR__wt_glc__2,-0.3842058269,-0.440842746
oxyR__wt_h2o2__1,-0.0887952117,-0.303906002
oxyR__wt_h2o2__2,-0.5099674705,-0.053320367
oxyR__glu_ale4__1,-0.8265209175,0.037004848
oxyR__glu_ale4__2,-1.0144794099,0.15175983
oxyR__glu_ale4_h2o2__1,-0.6763834545,0.39837075800000005
oxyR__glu_ale4_h2o2__2,-1.7249016098,0.359906327
oxyR__oxyR_ale17__1,-1.4335562003,-0.004032959
oxyR__oxyR_ale17__2,-2.4060974913,-0.008989976
oxyR__oxyR_ale17_h2o2__1,-1.0548341155,-0.11545206300000001
oxyR__oxyR_ale17_h2o2__2,-0.5601649685,-0.225828834
oxyR__oxyR_ale18__1,0.0293481181,-0.5469863180000001
oxyR__oxyR_ale18__2,-0.0824754526,-0.728083534
oxyR__oxyR_ale18_h2o2__1,-1.4809956943,0.018632743
oxyR__oxyR_ale18_h2o2__2,-1.4546948849,-0.045540242
oxyR__oxyR_ale19__1,-0.1785027684,-0.7879587760000001
oxyR__oxyR_ale19__2,-0.204385127,-0.603960869
oxyR__oxyR_ale19_h2o2__1,0.0048699779,-0.743670994
oxyR__oxyR_ale19_h2o2__2,0.4820713125,-0.76230737
oxyR__oxyR_ale20__1,-2.6323656997000002,-0.21393187
oxyR__oxyR_ale20__2,-2.6775354802,-0.15667471300000002
oxyR__oxyR_ale20_h2o2__1,-1.022893517,-0.112566888
oxyR__oxyR_ale20_h2o2__2,-1.0796883024,-0.16536503900000002
svns_pgi__BmePgi24_15__1,-0.3766714548,-0.262449425
svns_pgi__BmePgi24_15__2,-0.5978051165,-0.29352519200000005
svns_pgi__BmePgi24_26__1,-0.2175283765,-0.34053151200000004
svns_pgi__BmePgi24_26__2,-0.038960472600000004,-0.222395795
svns_pgi__BmePgi24_41__1,-1.7278403514,-0.292968385
svns_pgi__BmePgi24_41__2,-0.5353566154,-0.537586036
svns_pgi__BmePgi24_52__1,-0.5828555836,-0.32820271100000004
svns_pgi__BmePgi24_52__2,-0.2945256791,-0.45627235800000004
svns_pgi__PaePgi2_34__1,-1.6987034929,-1.1007146620000001
svns_pgi__PaePgi2_34__2,-1.6999035583,-1.126206137
svns_pgi__PaePgi2_63__1,-0.9800410064,-0.989294007
svns_pgi__PaePgi2_63__2,-1.2406875002,-0.9946511840000001
svns_pgi__PaePgi24_54__1,0.3424505337,-0.6571139570000001
svns_pgi__PaePgi24_54__2,0.3884574705,-0.8472124550000001
svns_pgi__PaePgi24_90__1,-0.23427434930000002,-0.7950434190000001
svns_pgi__PaePgi24_90__2,-0.1579897389,-0.719904737
abx_media__m9_ctrl__1,0.47998788410000004,0.6399046420000001
abx_media__m9_ctrl__2,0.6450711813000001,0.98951686
abx_media__rpmi_ctrl__1,-1.591640353,0.9309414020000001
abx_media__rpmi_ctrl__2,-1.2682617085,1.172590633
abx_media__camhb_ctrl__1,-2.4092826764,-0.6762067110000001
abx_media__camhb_ctrl__2,-2.316142754,-1.334223355
abx_media__m9_mero__1,0.0259399913,1.020773893
abx_media__m9_mero__2,0.885562268,0.440226416
abx_media__rpmi_mero__1,-1.2073234214,0.660371785
abx_media__rpmi_mero__2,-1.5377873126,0.792903287
abx_media__camhb_mero__1,-1.9996147305,-1.172045539
abx_media__camhb_mero__2,-1.8830204080000001,-1.171938844
abx_media__m9_trisulf__1,1.9650931441,0.5183189450000001
abx_media__m9_trisulf__2,0.9487227504,0.5838823940000001
abx_media__rpmi_trisulf__1,0.38940111320000004,-0.042480073
abx_media__rpmi_trisulf__2,0.6104526695,0.027915457
abx_media__camhb_trisulf__1,-0.0208589664,0.016641048000000002
abx_media__camhb_trisulf__2,0.2796559055,-0.053960489
abx_media__m9_cef__1,1.3183371229,0.345778003
abx_media__m9_cef__2,1.2463751465,0.5179272580000001
abx_media__rpmi_cef__1,-1.5944089434,0.8107159190000001
abx_media__rpmi_cef__2,-1.5020402743,0.9107268060000001
abx_media__camhb_cef__1,-1.3506026919,-0.43863147
abx_media__camhb_cef__2,-1.3310965779,-0.39906265500000004
abx_media__m9_cipro__1,1.3205949852,0.817969214
abx_media__m9_cipro__2,1.1037012277,0.9258359740000001
abx_media__rpmi_cipro__1,-1.4954998796,-0.12070886700000001
abx_media__rpmi_cipro__2,0.6018148629,0.039849319
abx_media__camhb_cipro__1,-0.6408232293,-0.79384689
abx_media__camhb_cipro__2,-0.4203779406,-0.631963124
hot_tale__42c_ale3_30c__1,1.2580180751,-0.25660624400000004
hot_tale__42c_ale3_30c__2,1.6134083744,-0.130169019
hot_tale__42c_ale3_37c__1,1.284349338,0.135134827
hot_tale__42c_ale3_37c__2,1.4737568343,0.005191404
hot_tale__42c_ale3_44c__1,-2.4769015505,-0.40419232400000005
hot_tale__42c_ale3_44c__2,-2.9120234377000003,-0.50581096
hot_tale__hot_ale3_mid_30c__1,1.5475787763,0.216239384
hot_tale__hot_ale3_mid_30c__2,1.1079749221,-0.309887171
hot_tale__hot_ale3_mid_37c__1,2.3265137845,-0.049791483000000004
hot_tale__hot_ale3_mid_37c__2,0.9582239320000001,-0.38466929800000005
hot_tale__hot_ale3_mid_44c__1,-1.9460935967,-0.02778191
hot_tale__hot_ale3_mid_44c__2,-1.4921078634,0.0006287980000000001
hot_tale__hot_ale3_30c__1,1.1414421792,-0.270416323
hot_tale__hot_ale3_30c__2,0.803287,-0.29179048900000004
hot_tale__hot_ale3_37c__1,0.3960178701,-0.505863834
hot_tale__hot_ale3_37c__2,1.2426236705,-0.545730332
hot_tale__hot_ale3_44c__1,-0.8061426561,0.19926695
hot_tale__hot_ale3_44c__2,-0.9712814186000001,-0.342959665
hot_tale__hot_ale4_30c__1,1.8495591689,-0.18346804800000002
hot_tale__hot_ale4_30c__2,1.8232136253000002,-0.09699967300000001
hot_tale__hot_ale4_37c__1,1.2417773656,-0.37846746000000003
hot_tale__hot_ale4_37c__2,0.8149547594000001,-0.368271379
hot_tale__hot_ale4_44c__1,-1.1532386044,-0.09176018200000001
hot_tale__hot_ale4_44c__2,-1.254492823,-0.020067057000000003
hot_tale__hot_ale8_30c__1,2.7167137252,0.180199265
hot_tale__hot_ale8_30c__2,3.055476032,0.140936583
hot_tale__hot_ale8_37c__1,1.7879252044,-0.027707206
hot_tale__hot_ale8_37c__2,1.8453157336000001,-0.17027066300000002
hot_tale__hot_ale8_44c__1,-0.1224542061,0.064910629
hot_tale__hot_ale8_44c__2,-0.0772426739,0.156572142
hot_tale__hot_ale9_mid_30c__1,0.8739020951,-0.036792908
hot_tale__hot_ale9_mid_30c__2,1.6252899793000002,-0.029355235
hot_tale__hot_ale9_30c__1,1.2066774934,-0.511222213
hot_tale__hot_ale9_30c__2,0.9087953003,-0.483854946
hot_tale__hot_ale9_mid_37c__1,0.3322882874,-0.407194369
hot_tale__hot_ale9_mid_37c__2,0.2842111289,-0.292015051
hot_tale__hot_ale9_37c__1,0.7745768217,-0.416916811
hot_tale__hot_ale9_37c__2,0.9091464246000001,-0.41602206900000005
hot_tale__hot_ale9_mid_44c__1,-1.6788786892,0.024842246000000002
hot_tale__hot_ale9_mid_44c__2,-2.6792316823,-0.328797021
hot_tale__hot_ale9_44c__1,-1.7517190451,-0.33710038000000003
hot_tale__hot_ale9_44c__2,-1.7993673608,-0.367830419
hot_tale__hot_ale10_30c__1,0.6561598906,-0.369718033
hot_tale__hot_ale10_30c__2,1.1796422574,-0.06782378700000001
hot_tale__hot_ale10_37c__1,0.6827774264,-0.298636186
hot_tale__hot_ale10_37c__2,0.597056307,-0.338733336
hot_tale__hot_ale10_44c__1,-0.5981893758,0.015495402
hot_tale__hot_ale10_44c__2,-1.0081012137,0.109327031
hot_tale__hot_ale16_30c__1,1.6722977291999999,-0.290319537
hot_tale__hot_ale16_30c__2,1.4199790051,-0.189868226
hot_tale__hot_ale16_37c__1,0.6554997983,-0.525578901
hot_tale__hot_ale16_37c__2,0.8414105030000001,-0.475002215
hot_tale__hot_ale16_44c__1,-1.8551273978,-0.005705893
hot_tale__hot_ale16_44c__2,-1.651380708,-0.09014877900000001
pdhr_ale__pdhR-13_51__1,-0.2371434093,0.36098782100000004
pdhr_ale__pdhR-13_51__2,-0.14219588730000002,0.284763195
pdhr_ale__pdhR-14_46__1,-0.3656626054,0.460140733
pdhr_ale__pdhR-14_46__2,-0.5672925143,0.32287038100000004
pdhr_ale__pdhR-15_51__1,-0.7462811859,0.42104361700000004
pdhr_ale__pdhR-15_51__2,-0.806022777,0.38999298
pdhr_ale__pdhR-16_49__1,-1.6917044745,0.120612278
pdhr_ale__pdhR-16_49__2,-1.1572196144,-0.128716472
tcs__del_atoC_LiAcet__1,-0.2155393489,1.147273531
tcs__del_atoC_LiAcet__2,-0.1121590283,1.156326465
tcs__del_atoC_LiCl__1,0.058215442900000004,1.411478406
tcs__del_atoC_LiCl__2,0.2249674113,1.4518315099999999
tcs__del_atoC_m9__1,-0.42441196480000004,1.353014967
tcs__del_atoC_m9__2,-0.5852785598,1.32466539
tcs__del_baeR_etoh__1,-2.9421349313,1.829294462
tcs__del_baeR_etoh__2,-2.9064024472,1.910811179
tcs__del_baeR_lb__1,-0.5337735398,1.632828708
tcs__del_baeR_lb__2,-0.8623737215,1.680856929
tcs__del_btsR_01xlb__1,-3.4807468314,-0.34455645900000004
tcs__del_btsR_01xlb__2,-3.4765745991,-0.235723917
tcs__del_btsR_lb__1,-3.8201526172999998,1.136103651
tcs__del_btsR_lb__2,-3.9062084152,1.229406454
