,A,AdeR
AB5075_med__RPMI+_pH6__2.0,-1.5593042181999999,-0.5790283095000001
AB5075_med__RPMI+_-HCO3__1.0,-0.9818090605,-0.6593618800000001
AB5075_med__RPMI+_-HCO3__2.0,-0.8254620937,-0.3472551827
AB5075_med__LB__1.0,0.1496879261,-0.1707325832
AB5075_med__LB__2.0,-0.1496879261,0.1707325832
AB5075_med__M9+AA__1.0,-0.8283577846,-0.1541410994
AB5075_med__M9+AA__2.0,-1.4416659156,-0.4353381
AB5075_med__M9-AA__1.0,-1.1426084227,-0.3103529478
AB5075_med__M9-AA__2.0,-1.5044154706000001,-0.29554297220000003
AYE_adeB__WT__1.0,0.9071040835,-0.44590278440000003
AYE_adeB__WT__2.0,-0.4707187517,0.1919253678
AYE_adeB__WT__3.0,-0.4363853318,0.2539774166
AYE_adeB__adeB__1.0,-38.7542589771,-0.05423579
AYE_adeB__adeB__2.0,-41.7329018042,0.1725281418
AYE_adeB__adeB__3.0,-41.0759836678,0.2592424926
COL__0ug/ml__1.0,0.6109821305,0.342938989
COL__0ug/ml__2.0,-0.6109821305,-0.342938989
COL__0.25ug/ml__1.0,-0.5012505645,-0.070823181
COL__0.25ug/ml__2.0,2.6282801134,-0.640331984
COL__1ug/ml__1.0,-0.9793974505,-0.36612445
COL__1ug/ml__2.0,-1.8626738344,-0.8027861040000001
H2O2__0ug/ml__1.0,0.3674172998,-0.1509460255
H2O2__0ug/ml__2.0,-0.3674172998,0.1509460255
H2O2__1.25ug/ml__1.0,-0.2901215848,0.8016389506
H2O2__1.25ug/ml__2.0,0.2616237718,0.8945970316
H2O2__2.5ug/ml__1.0,0.1732877844,-0.2525865553
H2O2__2.5ug/ml__2.0,0.1670288713,-0.5403216382
H2O2__5ug/ml__1.0,-1.3668331038,-0.2696743566
H2O2__5ug/ml__2.0,-1.1551404036,-1.0859749277
MRP__0ug/ml__1.0,-0.4442331074,-0.2946081853
MRP__0ug/ml__2.0,0.4442331074,0.2946081853
MRP__25ug/ml__1.0,0.6338696302,-0.4201471344
MRP__25ug/ml__2.0,0.8069753263,-0.2954680644
MRP__100ug/ml__1.0,1.3010215871,-0.5026077523
MRP__100ug/ml__2.0,1.230939638,-0.1389906323
MRP__200ug/ml__1.0,1.2721833648,-0.37907651870000003
MRP__200ug/ml__2.0,0.8150356551,0.0761234513
growth__2h__1.0,0.9905392501,-0.0143137939
growth__2h__2.0,-0.9905392501,0.0143137939
growth__4h__1.0,1.0151557755,-0.4052877318
growth__4h__2.0,0.38259150820000004,0.4142176574
growth__6h__1.0,0.5021078138,-1.4255361625
growth__6h__2.0,1.0568570253,-0.5641416553
growth__8h__1.0,-1.3075008083,-0.5224185475
growth__8h__2.0,-0.3434420463,-0.26893014200000004
growth__10h__1.0,-0.2139221054,0.0429802434
growth__10h__2.0,0.5576305147,-0.480214941
mutants__WT__1.0,-0.3068828353,-0.2486902135
mutants__WT__2.0,0.3068828353,0.2486902135
mutants__R7__1.0,-0.8321702198,-0.0862974995
mutants__R7__2.0,-0.1022448675,-0.1091762015
mutants__gacA__1.0,1.0258448244,1.1856001405
mutants__gacA__2.0,0.8948519201,1.0126127205
vacJ_LL-37__WT__1.0,-0.1684800724,0.0121253715
vacJ_LL-37__WT__2.0,0.1684800724,-0.0121253715
vacJ_LL-37__WT+LL-37__1.0,-1.0954564492,0.0678934747
vacJ_LL-37__WT+LL-37__2.0,-0.2899856547,-0.035177141
vacJ_LL-37__vacJ__1.0,-0.49581082660000003,0.2290173841
vacJ_LL-37__vacJ__2.0,-0.7989085647,0.029443607700000003
vacJ_LL-37__vacJ+LL-37__1.0,-1.1705469487,-0.2210586767
vacJ_LL-37__vacJ+LL-37__2.0,-1.5180024908,0.2762424144
