,A,Fnr,DpiA,ArcA,NarL,Crp
SRX1125295,0.0258664805,0.2208704434,-0.0313632625,-0.0305290823,0.004012204,0.2905320638
SRX1125296,-0.2965894855,0.7920547098,-0.1417405688,-0.30555163100000005,0.1317350897,0.1859933018
SRX1125297,-0.7642581352000001,0.8818752216,-0.614002288,0.0006214416,0.0470774695,0.3699621097
SRX1125298,0.1007657978,0.9825066807,-1.430269645,0.6068628834,-0.5255995358000001,0.5483756585
SRX1125299,-0.5265414957,0.9444446514,-0.8858575594,0.5516321501,-0.9168248342,0.50143841
SRX5694250,9.2573286277,0.0403637158,1.0340576563,0.49107579710000004,1.9154446272,-0.4516798918
SRX5694251,-6.6420398996,0.5459244040000001,-0.5755126177000001,-0.9538123343,-0.7280519322,-1.8893970692000002
SRX5694252,-0.1298050541,-0.6791990309,-0.6707227246,0.3631602573,1.1947183288,-0.1701238306
SRX5694253,1.6184802804,0.0078028844000000005,0.3517756627,-0.17749356630000002,0.1780909309,0.1340371706
SRX5694254,6.8186139013,-1.3129271236,1.8643201438,-0.2571254471,1.2955909793,-0.8477189713000001
SRX5694255,-3.6459836672,0.20689053170000002,-0.1251487273,-0.5795873771,-1.6319055235,0.1307715067
SRX5694256,-4.5167141669,-0.045048951000000004,-0.8027652405,-0.6394832572,0.4734941154,-0.2340068764
SRX5694257,-1.4109045155,0.4656249649,1.2608786951,-0.5994008193,-0.1664938681,-0.33700626310000004
SRX5694258,3.955361555,-0.3784852643,1.3810713851,-0.8093510237,0.5350788069,-0.2857852433
SRX5694259,-8.5083767288,0.3019332691,0.36287828520000004,-1.223874242,-1.1516025581,-2.9247054987
SRX5694260,0.0146128071,0.0320312785,0.3649960305,-0.20132201460000002,0.2589008747,0.0899715865
SRX5694261,-7.5089766764,-2.6112045671,-1.1667654461,-0.38609345780000004,0.6985329095,-1.6070723407
SRX5694262,-7.3006370788,0.2482154852,0.42628024280000004,1.2331627263,1.5091314717,-0.5390842036
SRX5694263,-2.1213304752,0.0230880885,-0.030687796000000003,-0.4496263185,0.0599282165,-0.0980165268
SRX5694264,-3.4323720704,0.3075812793,-1.3418279846,-0.5000365137,-0.3923176547,0.2016373309
SRX5694265,2.4586650311,-0.7038356709,-0.0725946915,-0.9224545732,-0.4271510985,-0.2490351859
SRX5694267,2.4918837095,-0.2244639849,-0.1845042428,-0.31040230480000003,0.2821523801,0.0411821817
SRX5694268,-1.56964748,0.32801548280000004,-0.5938699565000001,-0.1547312355,0.07094828710000001,0.0231238538
SRX5694269,0.7005445520000001,-0.0363903054,-0.23768959080000002,-0.7734435138,0.19399510790000002,0.0476350313
SRX5694271,-1.4146422589,0.1539794799,-0.1595738554,-0.2452190206,0.0642121101,0.24713669740000002
SRX5694273,-6.1142980043,-0.315089026,-0.0174553548,-0.6604458461,-0.07041621590000001,-1.5465123927
SRX5694274,1.195322718,-0.19593564700000002,-0.334351718,-0.36638296740000004,0.2387249998,0.2066153554
SRX5694275,-1.5552425495,0.1826918599,-0.5318111215,-0.6634625427,0.4765491027,-0.5157335737000001
SRX5694276,-7.1101991211,0.6125076868,-0.1342709597,-0.7503258015000001,-0.9480551533,-1.8223907651
SRX5694277,-0.44682791180000003,0.518483773,0.1879233164,-0.1047583445,0.3874315129,0.36042412560000003
SRX5694278,-3.816420094,0.6077452839,0.4224113593,-1.0523870943,-0.30677911280000003,-1.3002511837
SRX5694279,-0.6422985436,0.7489705412000001,0.22581609400000002,-0.3908090648,0.45546757130000004,0.3379205155
SRX5694280,-4.8652981669,-1.2905505804000001,0.1715088435,-0.6588512144,0.8811496315,-0.6834405493
SRX5694281,3.0365007314,0.4743514224,0.7091054978,-0.796986874,0.5259159415,0.1656640608
SRX5694282,-5.9026455312,0.8302627999000001,0.36395131080000004,0.6215221205,-1.1704676525,-0.9934080376000001
SRX5694283,-6.7117447723,-0.8002749045,-0.8738212557,-0.7357496835,-0.1456506972,-0.3443110079
SRX5694284,-6.6106901827,-1.6551107114999999,-0.7450201356,-0.8809856715000001,-0.0240085228,-0.9407234058
SRX5694285,2.0752620783,0.21844817860000001,-0.2917734011,-0.332200824,0.5443759374,-0.0040549861000000005
SRX5694286,0.8972834333,0.0879280571,-0.548380949,-0.7032624132,0.9783104235000001,-0.1478341465
SRX5694287,-1.8179130974,0.8900785727,0.48691165210000004,0.5471721956,0.7166860521,-0.1558928562
SRX5694288,-0.5253686559,-0.0313845657,-0.7661490102,-0.6750352942000001,-0.0818044565,0.2764607147
SRX5694289,1.3273175386,-0.4150383489,0.47608157430000003,-0.7443126348,0.2538442496,-0.14661147630000002
SRX5694290,-2.9629560756,0.2272209504,-0.9509470159000001,-0.46151863260000003,-0.32002223220000003,0.2201400917
SRX5694291,-3.2165777255,0.16806743940000002,0.8578689327000001,-0.6557503914,-1.4231800896,0.1874058842
SRX5694292,3.3558231414,0.40832126950000003,0.7829737831,-0.6482476939,0.371962511,0.0513472187
SRX5694293,0.23125946520000001,0.0877333852,-0.24470091470000002,-0.4793409832,0.040928029000000005,0.3866879371
SRX5694294,1.4559779247,-0.1654402185,0.7723186742,-0.5675396422,0.3072546497,-0.0602559214
SRX5694295,-7.8052044876,-0.12067474560000001,1.4579609614,-0.034679769900000004,0.3371132867,-1.4743546362
SRX5694296,2.3277427988,0.1613415464,0.9469628617,-0.3525345714,0.3899857407,-0.13444608700000002
SRX5694297,-8.243617134499999,0.257224454,0.34960043290000004,-0.0338108436,-1.9056921008,-1.621907484
SRX5694298,2.1565523184,0.047755995,-0.4174482586,-0.4064062229,1.3605355026,-0.0376343135
SRX5694299,3.8884944222,-0.1308553567,0.2751960033,-0.40150323260000004,-0.1621879518,-0.0810478849
SRX5694300,-4.2660274512,-0.3609283863,-0.9861081693,-0.4034077274,-0.4011629601,0.1296583874
SRX5694301,3.8540706988,0.20815252,0.4800650873,-0.7157018740000001,0.6602530221,0.2017965224
SRX5694302,-1.1517902261,0.0028938907,-0.9740750287000001,-0.7166546285000001,-0.3741219792,0.1490464558
SRX5694303,0.0168548805,0.11078089020000001,-0.3745890464,-0.5501377366,-0.3082369024,0.2623448043
SRX5694304,-5.0185307069,-0.2836689398,-0.6754966039,-0.3916451892,-0.3006640419,-0.22631582460000002
SRX5694305,-1.9344405447000002,0.0804674744,0.052777491,-0.7050130261,-1.1971011775,-1.9945889461
SRX5694306,5.3896527126,-0.2221077391,1.1921365815,0.5643015045,1.5801977473000002,-0.303318389
SRX5694307,-5.4795298358,0.6605546913,0.5455896572,0.7962936861000001,-0.884127384,-0.9213934478
SRX5694308,-0.0123505158,0.030807355300000002,-0.7810631722,-0.2826643938,-0.452432223,-0.5542551321
SRX5694309,-8.6888548089,0.1635488437,-0.3012456197,-0.9324801713,-1.3563246039,-2.4371824129
SRX5694310,-6.3371706525,-0.4774994905,-1.5545497396,-0.7154435960000001,-0.6817547788,-0.6975730314
SRX5694311,-8.3924941659,0.0987552064,0.06702080440000001,-1.0549187552000001,-1.3195528967999999,-2.788252041
SRX5694312,-8.608700368000001,0.2741965069,0.5133286643,1.2063663425,1.3047365667,-0.46271994780000003
SRX5694313,-7.7895978964,0.12295077100000001,0.7500828542,0.24705451250000002,0.0825550003,-1.0117169578
SRX5694315,-1.4492962198,-0.3737381984,-1.2289075947,-0.8248140526000001,-0.2047876144,-0.1729404675
SRX5694317,-2.3238464227,1.3424886167,0.5271246177,0.0642004802,0.6570030657,0.2138522692
SRX5694319,-2.2196696806,0.09932130680000001,-0.3073221955,-0.6773202813,-0.0042746708,0.22403181360000002
SRX5694320,-3.2436970817,0.0559133562,0.6567204033,-0.7345571464,-1.6268601596,-0.09237995040000001
SRX5694321,-2.5428809869,-0.2242105774,-0.3941370892,-0.6457091890000001,-0.2149626757,-0.38942819040000004
SRX5694322,-6.2612967144,0.41129122560000003,0.2042719255,0.9416705114,-0.0023401669,-1.1362642293
SRX5694323,-2.8185581541999998,-0.2049744387,0.1435899642,-0.5853874625000001,-0.1358000564,-0.41342659340000004
SRX5694324,-6.7888650559,0.1866328231,0.2322137329,-0.9406118542,-1.2077453185,-1.6036324816
SRX5694325,-5.3272221135,-0.8589924069,-0.8037658601000001,-0.28599873,-0.4745572525,-0.5104274184
SRX5694326,0.2250063518,-0.18501779240000002,0.23758330560000002,-0.6848857907,0.7236428398,-0.1584196907
SRX5694327,-8.4852962286,-0.3986390476,-1.1800592471,-0.619184327,-0.4942506949,-0.6589226995
SRX5694328,-0.6327945642,-0.11461450370000001,-0.1431848243,-0.7077585323000001,-0.1796711266,0.1764471632
SRX5694329,-6.0220610151,0.1534325597,0.9937281630000001,-0.3164502813,-0.23408638040000002,-0.5799739837
SRX5694330,-2.511312241,0.4256416268,0.10496658140000001,0.6378008244000001,1.4636209179000002,-0.6950204566
SRX5694331,-0.2856235505,0.1918842788,-0.3630450786,-0.2497476536,-0.0738028359,0.245553549
SRX5694332,-3.6825252795,0.2575678173,0.1835766878,-0.3739455369,-0.2211989576,-0.24882076420000002
SRX5694334,-1.1453415938,0.7809611414000001,-0.41343130570000003,-0.4412101766,-0.32526084780000003,-1.0972302127
SRX5694335,1.0460528711000001,-1.0905972262999999,1.2770736532,-0.5310190811000001,0.9832435012,-2.0210704043
SRX5694336,-7.9471003955,0.0295461953,-0.7134182651000001,-0.45421179570000003,-1.741102497,-1.6584843203
SRX5694337,-6.4848769226,-0.9098451584,-1.5158409444,-0.305938729,0.3338762417,-0.2397944182
SRX5694338,-0.4367536842,0.11093211330000001,-0.24037978570000001,-0.6137315737,0.356397116,0.1989831632
SRX5694339,-1.7153661386999999,-0.2660034833,-0.42864743990000004,-0.7445127357,-0.2272100971,0.10670366340000001
SRX5694340,2.0233312806,0.1360391327,1.1002145154,-0.440766099,1.7463769081,-0.1227589166
SRX5694341,-8.5817642564,0.3253789217,0.2632105611,-0.1313631139,-0.3890854292,-1.4531793695
SRX5694342,-4.7604832702,0.33467356740000004,0.3552925357,0.2026076278,-1.6884538489,-1.642695013
SRX5694343,3.7277769367999998,-0.7654036895,1.496291101,-0.7345121231,0.6145146939,-0.659556922
SRX5694344,-4.5741850847,0.0720316185,-0.17292770270000002,-0.33577681130000003,-0.335661769,-0.5482364304
SRX5694345,-0.3474658467,-0.1127364899,-0.0968674667,-0.3764485198,-0.1154299023,-0.1455592358
SRX5694346,-1.8819422459,-0.1452747475,0.5028403164,-0.9055701749,0.0956653423,-0.6506498564000001
SRX5694347,1.265192371,-0.2103049645,0.3040014942,-0.7128745584,0.23881420290000002,-0.0665078507
SRX5694348,-1.358641499,0.6194313426,-0.3438943072,-0.3365434024,0.6441814068,0.0163008612
SRX5694349,-0.23058735600000002,-0.0340580552,-1.1519171055,-0.9118016409,0.44933268930000003,0.3281616036
SRX5694350,3.6990705252,-1.5589165824,1.1271175667,-0.2723243866,1.197837956,-1.3897674496999999
SRX5694351,-1.5309543834000001,0.2389667466,0.8816760931000001,0.7195692725,-0.7705163065,-0.94657928
SRX5694352,2.5938686395,-0.1301723133,0.5102358403,-0.7211493992,0.42316666420000004,-0.11358356480000001
SRX5694353,0.7157657855,0.0567992999,-0.262759161,-1.1035471096,0.37644281350000003,0.2090437913
SRX5694354,-2.4919477893,0.4463184544,-0.1346140592,-0.8090334449000001,0.3676884166,0.156288703
SRX5694356,0.9974260191000001,-0.011770757000000001,-0.5339675881,-1.0282208658,0.3141558765,0.1914919696
SRX5694357,-6.8014173237,0.4703427457,-0.0401032569,0.1033229876,-0.7713514634,-1.6521756011000002
SRX5694358,-6.044541893,0.7891519738,0.4331938132,-0.989631354,-1.9558634060000002,-0.2527058608
SRX5694359,-1.6978002280000002,0.0823465979,0.0992619054,-0.6898793059,1.2346799578,-0.30657057660000003
SRX5694360,-2.3988075658,-0.21446519260000002,-0.7913407783,-0.9385224537,0.5304175659,-0.2669976047
SRX5694361,-9.4228729125,0.5545946817,-0.6446835093000001,1.0977147786,-0.48062680010000003,-1.0307723459
SRX5694362,2.1585403936,-0.1556899832,0.5329389948000001,0.36099427310000004,1.4968619098,-0.0309958632
SRX5694363,-0.1771495811,0.40866825960000003,0.7861265817,-0.600790616,-0.2002604006,-0.3804310446
SRX5694364,-10.9391492838,-0.0307498051,0.5607225792,-0.5144488377,-1.8801459853,-2.3462003852
SRX5694365,-6.8217952163,1.8984960352,0.3478906342,1.4841765936,1.5862913974000001,-0.6041545277
SRX5694366,-1.9936945703000002,0.11935505780000001,-1.0187362212,-0.7392321765000001,-0.2314427329,-0.054980210200000004
SRX5694367,-6.1169594512,-0.7716038602,-0.5960610802,-0.2944956992,-0.6522742559,-0.7076949831
SRX5694368,-1.4263839915,-0.1062377801,-0.8272312326,-0.8669199153,-0.49739226270000003,0.1102525246
SRX5694369,4.2946777672,-0.0429042057,0.40343763530000004,-0.5948867843,0.6304378737,-0.0590977866
SRX5694370,-6.779445411,-0.1697118587,-0.936280506,-0.5244472115000001,-0.1934353014,-0.22081801820000002
SRX5694371,-7.2001217769,-0.046749594000000005,-0.4666399176,-0.786795397,-1.5593456345,-2.3057897995
SRX5694372,-0.9744081514,0.060263538500000005,-0.1439671789,-0.5681068862,1.3837328354,-0.3165443482
SRX5694373,4.3856207238,-1.4686879149,1.3351656572000001,-0.6737367768,1.0818833664,-1.5399098517
SRX5694374,-5.3680108896,0.2258676651,0.125761907,-0.9874018292000001,-1.3957788496,-0.3411830033
SRX5694375,2.8187849469,-0.0180107938,0.36224899800000004,-0.704628555,0.2339403894,-0.0340696975
SRX5694376,-2.0888553496,0.12440957970000001,0.4892065809,0.6390051229,1.5570266128,-0.31705369640000003
SRX5694377,-5.3390131657,0.7205527484,0.3102373182,-1.119492052,-2.0014040988,-0.5697764494
SRX5694378,-1.8938545266000002,-0.064859922,-1.0540433323,-0.5892935844,0.6053981366,-0.31765341210000003
SRX5694379,2.3531706447,-0.0946227506,0.7012497913,-0.7488069058,1.604092458,-0.25011430100000004
SRX5694380,-2.5087200205,-0.1504039911,0.9423324804000001,-0.9849220242000001,0.6228761494,-0.8373204843000001
SRX5694381,-9.257695041,1.0932260792,0.3361712376,0.0536946161,-0.8243217897,-1.2728116676
SRX5694382,0.1081800398,-0.3495048284,-0.12446471840000001,-0.4765596486,-0.6210031891000001,-0.025511662
SRX5694383,4.1374057092,-0.19216870800000002,-0.2005804535,-0.9315031237,0.46369876390000003,0.1480773849
SRX5694384,-0.3877219763,0.2508705046,-0.13560141450000002,-0.306814501,0.0115520281,0.1439389809
SRX5694385,-6.8817680416,1.0236963855,0.1672912229,-0.14971446900000002,-1.044426633,0.0779751018
SRX5694386,-7.4059292809,0.8645055481,0.28999496750000003,-1.7867935451,-0.46185970600000004,-2.8414442095
SRX5694387,-2.4932508904,0.1051428429,-0.5324270209,-0.5907873538,-0.3703789377,0.0426535923
SRX5694388,-6.6746269239,0.2708431966,-0.052964522300000004,-0.8765617776,-1.1513063757,-1.6022828696
SRX5694389,9.0932518812,0.2606390819,1.1072391305,-0.5076306448,1.4684025725,-0.0800003088
SRX5694390,3.2717872057,0.3504676022,0.4250800904,-0.9455588033000001,0.3922415131,0.0001683552
SRX5694391,-0.26384122520000003,1.4535275098,1.0711225627,-0.0546648603,0.6149460887,0.1315329539
SRX5694392,6.9213951411,0.0944210472,1.170303439,-0.7995883998000001,1.2176890491,-0.1486598298
SRX5694393,-1.66932609,0.2067024995,-0.1611743159,-0.2305797444,0.0786879999,0.232671539
SRX5694394,0.5025434949,0.5219782296000001,-0.0755449352,-0.2681092712,0.4392596675,0.2168248136
SRX5694395,-0.7661672642,0.5121052174,1.0270207512,-0.6702235864,-0.2137913818,-0.3791651303
SRX5694396,-3.6509921807,0.28659288180000003,0.1633941418,0.8816852332,-0.9419717976,-0.8353134788000001
SRX5694397,-5.0724587611,0.2130377387,-0.8108262886000001,-0.8235027764,0.1814334535,-0.0202364792
SRX5694398,-3.5052522824,0.1522575818,-0.5986247644,-0.4419145841,0.48796528650000004,-0.0607073754
SRX5694399,3.3839610952,-0.35454569550000004,1.0549221349,-0.7824784504000001,0.3898016124,-0.2527744328
SRX5694400,-2.1771044559,-0.3062884087,-0.4093012453,-0.8957583694000001,0.9646124930000001,-0.1981004934
SRX5694401,2.8880781044,-0.0252304237,0.4279357204,-0.46520850020000004,0.3186268997,-0.021523506600000002
SRX5694402,-6.4717873455,0.7271274121,-0.0062042177,-1.9027115429,-0.6661033798,-2.6700349591
SRX5694403,-7.7671504435,-0.903332961,-0.8892149074000001,-0.5633653791000001,-0.5742892551000001,-0.9103162108
SRX5694404,-0.1331574898,0.6936041281,-0.5902084293000001,-0.4577927678,0.2068721395,0.0943710534
SRX5694405,3.7529803126,-0.7666040526,1.0024366007,-0.5244412812,0.8425442237,-0.1829334597
SRX5694406,-2.5810735139,0.2468405504,0.3508802978,-0.4069620828,0.10017048020000001,-0.3972091841
SRX5694407,-4.5184455439,-0.4892115863,0.0812452132,-0.6797229178,0.6332738483,-0.2638287498
SRX5694408,1.3736811056,-0.129152751,-0.43944668400000003,-0.7931955938,-0.0869541332,0.0417388443
SRX5694409,-9.2967485745,0.2983443387,1.3013338275,-0.7313918552,-0.46924192730000003,-2.2693012292
SRX5694410,2.0749876828,0.12871355610000002,-0.033024692,0.5205305132,1.6275674107,-0.1972134109
SRX5694411,-7.5482439171,1.4088048351,0.2204286548,1.2752649621,0.0717431857,-0.8663395759
SRX5694412,-2.493626189,0.08708125080000001,-1.1088065729,-0.8681426453000001,0.1418999508,0.1259657223
SRX5694413,-1.4090688385,-0.42460153910000004,0.9533065553000001,0.0039227364,1.3045613756,-0.6476176532
SRX5694414,-8.3220160839,0.9037219768,0.18744094690000002,0.1272974469,-1.2192577822,-1.42088019
SRX5694415,3.9805473104,0.35278275610000004,0.6926307547,-1.0048620916,0.5364471703,0.007690172800000001
SRX5694416,-0.0446950671,-0.1301828894,-0.0908117353,-0.0255081624,-0.0076170702,0.0575483496
SRX5694417,-0.049147562000000006,0.1499766492,0.0368634497,-0.37877042,-0.27625373140000004,0.2665585241
SRX5694418,-8.1722589737,0.8640746426,-0.2252621783,-0.8464666129,-1.0222917741,-1.9463157999
SRX5694419,-6.9592828663,-0.014793680600000001,-1.297471022,-0.3984785491,-1.5087092232,-1.5689931018
SRX5694420,3.1750945054,-0.0468660871,0.4371250365,-0.302497715,-0.5589211898,-0.0638843971
SRX5694421,-4.9184916265,0.1322961821,0.6776232679,-0.6099977714,0.068627529,-0.6176702001000001
SRX5694422,2.4642783348,0.619159111,0.1004110552,-0.068855287,0.23941269040000002,-0.058214080700000004
SRX5694423,-3.7910786605,-0.0780351353,-0.34168664060000004,-0.5813589195000001,-0.3793496945,-0.3208467193
SRX5694424,-5.7972144715,-0.5733023752,-1.033105448,-0.4586027053,0.09514280300000001,-0.3043319677
SRX5694425,0.1324778136,0.3346755523,-0.6766457437000001,-0.8332605673,0.3216977505,0.2263080572
SRX5694426,-2.0995323302,0.6157335293,0.04713862,-0.7600289733000001,-0.3478318655,-0.6604587882
SRX5694427,2.1769465569,-0.029816820400000003,0.22035530900000003,-0.3639876078,0.1757205838,0.1652363888
SRX5694428,2.4652031168,-0.1057688244,0.509665339,-0.6349855048,0.36504344,0.073808526
SRX5694429,-6.8772166898,1.4863412037,0.2982996651,1.262363916,-0.3366484642,-1.4421129371
SRX5694430,3.0506698049,-0.0200467158,0.2375895661,-0.5589086929,0.1457238569,0.0124821121
SRX5694431,-2.5925023211,0.6682181821000001,0.6595219511,-0.11194467350000001,-0.173456255,-0.0624036472
SRX5694432,-3.249421438,0.1093383753,-0.484343652,-0.576840738,0.9764181073,-0.3304413054
SRX5694433,-1.586497097,-0.42024945410000003,2.312370259,0.38963961950000003,1.219990166,-0.8187488844
SRX5694434,-2.1917691905,-1.0686406259,0.4869825941,-0.3241111343,-0.4873407738,-0.6212632720000001
SRX5694435,-8.9068013558,0.2624442987,-0.24596372630000002,-0.25701469,-0.14538301080000002,-2.0377494386
SRX5694436,-9.273503719,0.1838410419,1.2936849168,-1.3601739322,-0.4901782139,-2.3919325405
SRX5694437,-8.922855383,1.4458719120999999,0.37816047080000004,-0.0437337862,-0.08747928320000001,-0.2507206522
SRX5694438,3.9340899053,0.061060066100000004,0.125677209,-0.8291054388,0.5088590205,0.07346573220000001
SRX5694439,-4.8312977608,0.8339819837,1.9993639645,-0.51258285,-0.8191870707000001,0.3143882568
SRX5694440,-1.1356687984,0.2749615761,0.38453619310000003,-0.37249924100000004,0.3838430101,0.1617989176
SRX5694441,-3.6448356868,0.1675077619,1.2301447913,-0.230511501,0.1386459591,-0.4081937196
SRX5694442,-6.7233851949,0.2359552994,0.23285211830000002,-0.8200548711000001,-1.2035076039,-1.7002395932
SRX5694443,1.65386852,-0.1143720156,-0.0244723055,-0.4406184697,-0.32990943310000004,0.1538530863
SRX5694444,3.5377166216,0.19924687600000002,0.3165074008,-1.0535215027,0.350365087,0.1414549701
SRX5694445,-6.6837243385,-0.1930182149,0.10928033100000001,-0.6204594402,-0.8914052882,-1.7943494913
SRX5694446,1.5291039821,0.021624803,0.0346461328,-1.0780453714,0.3805848848,0.2193526747
SRX5694447,5.1425511425,0.1404174962,0.0727245899,-0.2826101176,0.8127445483,-0.3849941899
SRX5694448,-0.4214364628,0.7190717129,-0.17185686900000002,0.3674181562,1.162897535,-0.732440443
SRX5694449,0.9044776247,-0.106792127,-0.33299377410000003,-0.5328863570000001,0.12293057980000001,0.1017285234
SRX5694450,2.1241363897,-0.5226446066,0.2776175507,-0.4055443481,1.0434381186,-0.2163555027
SRX5694451,0.1867691149,-0.9448240483,-0.25851548020000004,-0.6397645289,-0.3811294766,-0.1832599433
SRX5694452,-4.160621499,0.3519942873,0.5385165878,0.7842886771,-0.7681838617000001,-0.9702752261
SRX5694453,0.48097529,-0.3420308308,0.5518935935,0.0852071991,1.4810631343,-0.7029806271
SRX5694454,-0.6739112006,0.2237971175,-0.3169926395,-0.18555417640000002,0.12666160140000002,0.2689052974
SRX5694455,-7.2284196581,-0.09366302650000001,-0.4803375064,-0.3648115819,-1.2428560724,-1.7485042558
SRX5694456,-0.44353764240000004,0.1884711132,-0.49123852040000004,-0.5856403514,-0.2609186745,0.2638014382
SRX5694457,-0.9320080365000001,0.1897163396,-0.0313314499,-0.6155918729000001,-0.0755452092,0.1813226141
SRX5694459,-0.0774875743,0.46955750020000003,0.1030203714,-0.8278137878,0.2225884108,-0.0659537084
SRX5694460,-8.9370670767,0.079054857,1.1378334149,-0.346563681,0.16663621180000002,-2.6935232182
SRX5694461,-1.3235379835,0.1562169847,-0.4191166079,-0.6241635859,1.1260659392,-0.24608755940000002
SRX5694462,-5.4356293793,0.5560831223,0.1707977732,-0.7549218009,0.0273460971,-1.4072956342
SRX5694463,5.5237072417,0.16093619850000002,0.7233701341000001,-0.5317721226000001,-0.1009953331,0.13500124700000002
SRX5694464,1.9595220978999999,0.21465859110000002,-0.8540751741,-0.42569096170000004,0.8172587432,-0.16266356510000002
SRX5694465,4.1657082467,-0.4506960218,0.1030310648,-0.7787333394,0.32986084450000003,-0.08100398930000001
SRX5694466,-8.0014054145,1.4078249743,-2.9142451175,0.2849311861,0.4043260756,-0.0203257193
SRX5694467,-2.0792989651,-0.024926434900000002,-0.1743540092,-0.6791321378,-0.2090247448,-0.0864598209
SRX5694468,-3.0823027921,0.28331731590000003,0.8002262334,-0.5489293682,-1.6490916468,0.09512308080000001
SRX5694469,4.0923968395,0.1656484172,0.42415713110000003,-0.4651611836,0.5836041919,0.056592892000000006
SRX5694470,0.6397392772,0.0397621094,0.5052196059,-0.0026546786,0.07538422110000001,-0.0203162279
SRX5694471,-3.2387475704,0.0295181061,-0.3251123906,-0.4027529064,-0.2137039597,0.08127249760000001
SRX5694472,-4.3897026605,0.6765520599,-0.10464406550000001,-0.2620807039,-0.2134462412,-0.42764759150000003
SRX5694474,-0.6658033830000001,-0.1313395527,-0.6905332794,-0.1322773285,-0.2306398724,-0.3318785326
SRX5694475,0.9933632724,-1.1849000443,0.1025518104,-0.24219310500000002,-0.5936463758,-0.1072682971
SRX5694476,0.6559691928,0.1917764428,-0.5014040284,-0.8656861585000001,0.11993875400000001,0.2832759084
SRX5694477,-6.1846776745,-0.1254083886,0.8098661182,-0.0965249888,0.237909008,-2.220698214
SRX5694478,6.0032813772,0.0413045956,1.2628568533,-0.6125686037,1.8895943154000001,-0.324421403
SRX5694479,0.9850775217000001,-1.2130654544000001,1.5530811937,-0.6780251964,1.2509991628,-2.078741852
SRX5694480,4.1517232752,-1.1475451275,1.688986184,-0.3036139091,1.1704671685,-0.8986833081000001
SRX5694481,2.4450043145,0.23990241980000002,-0.10425775350000001,-0.32311821100000004,1.3514043206,-0.39061972300000003
SRX5694482,-1.0137820713,-0.042177127,-0.4499896338,-0.6472823522000001,0.0185558471,0.5302146851
SRX5694483,3.8901097885,-0.341587067,0.5308936684000001,-0.6886665677,0.32390818520000003,-0.0648156579
SRX5694484,0.20764970570000002,0.1067217318,-0.5245082915,-0.8571132198,0.4918307497,-0.2015433442
SRX5694485,-0.7157682501,1.3284647298,0.6976110667000001,0.1284023329,0.5095991614000001,0.0561230447
SRX5694486,0.31739063570000003,0.13667702310000002,-0.1368937638,-0.4840414957,0.1723091054,0.1840419059
SRX5694487,2.450001636,0.0400555976,0.3011256357,-0.5855811282,0.5866863516,-0.0687134662
SRX5694488,-3.0349405195,0.1579017148,-0.7923851349000001,-0.6483210227,0.2516220524,-0.0029101905
SRX5694489,-6.6829896562,-0.2295144067,-1.062256787,-0.7268829535,-0.45374010200000003,-0.2414092729
SRX5694491,-6.7690513384,-0.40999634500000004,-0.5628183504000001,-0.6520774905000001,-0.0785225256,-1.3992598427
SRX5694492,-6.8685295512,0.41635551470000004,0.1895917699,-0.5106188083000001,-1.0671567044999999,-1.4757436121
