,A,Cbl,CysB
cra_crp__delcra_glc__1,1.30610522,6.3568353442,7.7554215085
cra_crp__delcra_glc__2,1.6459711792,6.3195470195,7.801663508
rpoB__wt_031__1,2.5572617538999998,8.4849900653,7.2349391101
rpoB__wt_044__1,2.6621637301,8.5130616536,7.4132979799
rpoB__wt_lb__1,-3.5044532969,3.072496557,6.9615440905
rpoB__wt_lb__2,-3.2781937614,3.317396692,7.0864537182
rpoB__rpoBE546V_031__1,2.9007297522,9.2554419758,7.1880046586
rpoB__rpoBE546V_044__1,3.9407903632,9.3364823319,7.2704535902
rpoB__rpoBE546V_lb__1,-3.769506827,3.8839732183,7.5618774362
rpoB__rpoBE546V_lb__2,-3.0138383304,3.9898735698000003,7.4678018485
rpoB__rpoBE546V_glc__1,1.492013464,6.243373222,7.6098867884
rpoB__rpoBE672K_glc__1,0.5564418418,5.5668632728,7.3400560691
rpoB__rpoBE672K_glc__2,-0.3610119177,5.4509404848,7.3695279372
rpoB__rpoBE672K_lb__1,-2.6293105865,4.8028418485,6.8012818975
rpoB__rpoBE672K_lb__2,-1.4016326717,4.7944104009,6.7315657311
crp__wt_fru__1,1.1195334356,6.3625165882,7.3368166447
crp__wt_glyc__1,2.1826838208,6.7799005014,7.5227438765
crp__wt_glyc__2,2.2170261780000002,6.8803150083,7.5867413702
crp__delar1_glyc__1,1.6343173050000002,5.5741690047,7.6936012694
crp__delar1_glyc__2,2.6164659176000002,4.0236549945,7.4943926641
crp__delar1ar2_glyc__1,0.1566104738,6.0434405937,7.7576963857
crp__delar1ar2_glyc__2,0.2924120519,5.9031343651,7.7204771124
crp__delar1ar2_glyc__3,-0.8028464441000001,6.076232997,7.6960154786
crp__delar2_glyc__1,2.6275165849,3.1676407294,7.1277812625
crp__delar2_glyc__2,2.5987299275,4.3670903446,7.3960519623
crp__delar2_glyc__3,1.3737242416,4.3972542807,7.4719353342
crp__delcrp_fru__1,2.5499252983,5.7517319335,7.0872837648
crp__delcrp_fru__2,2.1584931715,5.7300090706999995,7.1589314297
crp__delcrp_fru__3,3.0640124823,5.5411591492,7.3439141597
crp__delcrp_glc__1,0.9637890146,5.3962339703,6.8538709442
crp__delcrp_glc__2,0.020191764600000002,5.5544599606,7.0008116932
crp__delcrp_glc__3,-0.1062505541,5.8930364099,7.0106021859
crp__delcrp_glyc__1,-1.1456680243,5.5724335204,7.510638316
crp__delcrp_glyc__2,-0.6391751535,5.1543166361,7.4403549079
crp__delcrp_glyc__3,-0.4257637714,5.2320039585,7.3475099669
glu__glu_ale3__1,3.8875089267,5.2039403753,7.0140136232
glu__glu_ale4__1,2.2928715191,6.5327912854,8.2239920783
glu__glu_ale5__1,1.3684106494,6.5898251711,7.6846044255
glu__glu_ale6__1,1.4497955865,6.360363561,8.3700375128
glu__glu_ale8__1,5.0032629787,4.1626364137,6.8108669706
glu__glu_ale9__1,3.3694846737,6.9928381647,8.2705533606
glu__glu_ale10__1,3.0896481568,5.2694221469,7.2887834479
42c__wt_42c__1,0.5137910521,6.5251216058,7.7866616723
42c__42c_ale1__1,3.941391336,2.4700119477,6.9548741585
42c__42c_ale2__1,-1.0522304344,5.829740048,7.3442311041
42c__42c_ale3__1,-1.3669218875,5.8489907245,7.6936159973
42c__42c_ale4__1,1.7974474608,5.2365047312,7.7635599747
42c__42c_ale5__1,-2.2630149045,5.8953598675,7.5435212734
42c__42c_ale6__1,3.9404946381,2.8946388658,6.8026794688
42c__42c_ale8__1,2.3655921747,3.3750853203,7.2390574742
42c__42c_ale9__1,-1.9252057515,6.1200580607,7.748500925
42c__42c_ale10__1,3.8208895301,3.2528105216,7.0232789229
ssw__wt_ac__1,3.4657766174,6.559323812,6.6195256969
ssw__wt_glc__1,-1.0664825154,5.0783508403,8.0466434402
ssw__wt_glyc__1,1.5714250828,4.0522440744,7.5510165554
ssw__wt_xyl__1,0.383449688,5.4130033157,7.7680924223000005
ssw__glc_ale1__1,0.3846311026,4.1428950993,6.8084263991
ssw__glc_ale2__1,4.0793746022,4.736253056,6.8604505307
ssw__glc_ale3__1,2.476929522,4.002327949,6.9422641981
ssw__glyc_ale1__1,2.6822530126,5.3054606768,7.5205768694
ssw__glyc_ale2__1,5.0289621288,6.4671392281,7.6350893671
ssw__xyl_ale1__1,2.0320244006,6.1122612687,7.4143146225
ssw__xyl_ale2__1,1.4793537199,5.9725655857,7.2660344301
ssw__xyl_ale3__1,1.5403682542000001,5.9003244353,7.0673349781
ssw__glc_ac_ac2__1,2.7300919574,6.0642809029,6.8797064987
ssw__glc_ac_glc1__1,1.7091825949000001,5.1823958252,7.3485583265
ssw__glc_ac_glc2__1,4.2589325839,4.103091385,6.6049932143
ssw__glc_glyc_glc__1,2.6522348186,6.0629215076,6.9074493337
ssw__glc_glyc_glyc__1,3.5530104432,5.7789658521,7.2876717688
ssw__glc_xyl_glc__1,-0.2200809815,5.1934438473,7.1192458446
ssw__glc_xyl_xyl__1,-0.1546625012,6.1275539258,7.3781219702
pgi__glu4_delpgi__1,1.8155113528,5.4595752853,7.6983920458
pgi__pgi_ale1__1,-0.2317662758,6.3345355241,7.975887837
pgi__pgi_ale2__1,-0.07408139500000001,5.8631841564,7.8175523246
pgi__pgi_ale3__1,0.22864109970000002,6.5106764855,7.7598349003
pgi__pgi_ale5__1,-0.0617158832,5.6309779607,7.7796282907
pgi__pgi_ale6__1,-0.3052060178,5.9932184569,7.728688846
pgi__pgi_ale7__1,-0.618089753,6.1941493937,7.8490869806
pgi__pgi_ale8__1,-0.2239501955,5.8586961989,8.0272220472
ica__wt_glc__1,1.4942686201,6.8355007977,7.6477511167
ica__wt_glc__2,1.2008918826000001,6.9664497296,7.8613498358000005
ica__wt_glc__3,1.08722448,6.4636871872,7.7728424193
ica__wt_glc__4,-0.547953213,6.3579641658,7.5241258048
ica__arg_sbt__1,3.0117694508,5.851792957,7.4387313513
ica__arg_sbt__2,1.7071338909,6.2164223786,7.6247267013
ica__cytd_rib__1,2.7510622034,3.190985167,5.9669218477
ica__cytd_rib__2,3.6933404072,3.5709000888,6.1171554752
ica__gth__1,41.8085983994,11.3513281943,8.2618189766
ica__gth__2,42.3402238282,11.2220382802,8.2000684771
ica__leu_glcr__1,1.2173502802,5.566921911,7.7393403996
ica__leu_glcr__2,0.5192798935,5.4752808172,7.6973668442
ica__met_glc__1,-0.30112859950000004,4.9594806389,7.397943483
ica__met_glc__2,-0.0598934178,5.0358919323,7.2554619056
ica__no3_anaero__1,1.4138511825,3.9876228692,7.257325299
ica__no3_anaero__2,1.6615541575,3.9522349654,7.097640901
ica__phe_acgam__1,0.5738535369000001,6.3546494503,7.7525326181
ica__phe_acgam__2,-0.025716993400000002,6.0676544662,7.6270413567
ica__thm_gal__1,1.9092993977,5.4731979143,7.184087559
ica__thm_gal__2,1.9255427324,5.3390090322,7.1917842558
ica__tyr_glcn__1,1.314536103,6.7159424986000005,7.6831181647
ica__tyr_glcn__2,1.6544982242000001,6.7314226987,7.7487489927
ica__ura_pyr__1,0.4878056939,6.2946586833,7.7909548918
ica__ura_pyr__2,1.1841768167,5.5557818793,7.51238164
ica__wt_glc__5,-0.4052225607,5.8345477353,7.4786163434
ica__wt_glc__6,-0.3132821852,5.5621506018,7.5452514166
ica__bw_delpurR_cytd__1,-0.5264221006,6.2470997792,7.5393587670999995
ica__bw_delpurR_cytd__2,-0.9591776657000001,6.096389586,7.648473596
ica__ade_glc__1,0.7075429021,6.9726596597,7.4300235383
ica__ade_glc__2,-0.4876616756,6.9152983565,7.3860277152
ytf__wt_glc__1,1.8925507546,6.8347400422,7.9611935839
ytf__wt_glc__2,1.4571581009,7.0014456017,8.0905934173
ytf__delyafC__1,2.0558449674,6.5487881813,7.1908110696
ytf__delyafC__2,2.1498503874,6.6601579257,7.2029717068
ytf__delyeiE__1,6.2190101237,9.3134159863,9.2206624997
ytf__delyeiE__2,7.1738667158,9.523119793,9.3693165216
ytf__delyiaJ__1,1.6137186516000002,4.986614839,7.4453428224
ytf__delyiaJ__2,1.8268387966000001,5.4360809813,7.5959195292
ytf__delyieP__1,2.3613356765,4.9074564919,7.4779651889
ytf__delyieP__2,2.3071662422,4.9999799953,7.4401357673
ytf__wt_ph5__1,3.6964519862,7.5546294124,7.8788658572
ytf__wt_ph5__2,3.0681913359,7.639692702,7.7969514073
ytf__wt_ph8__1,-0.4996798323,6.4805131,7.7705710713
ytf__wt_ph8__2,-1.4462506606,6.419868755,7.7976766682
ytf__delybaO__1,2.3169212413,5.9742160221,7.3478921818
ytf__delybaO__2,1.7041888792000002,4.9385125827,7.0628359187
ytf__delybaQ__1,0.2018647744,6.636997178,7.6897285984
ytf__delybaQ__2,-0.0567237977,6.8484248992,7.7719008509
ytf__delybiH__1,2.5502912847,6.7541414433,7.8617709445
ytf__delybiH__2,2.3679194442,5.071224488,7.3209601225
ytf__delydcI_ph5__1,4.6863885406,7.7844769146,7.9025672002
ytf__delydcI_ph5__2,5.0669863325,7.8996501044,7.8999420983
ytf__delydcI_ph8__1,-0.8051016944,6.5997827488,8.0212330022
ytf__delydcI_ph8__2,-0.6212919742,6.5652800745,7.8367023762
ytf__delyddM__1,-0.061140066400000005,6.042465402,7.543228398
ytf__delyddM__2,0.14933532300000002,5.6786663202,7.2928110629
ytf__delyheO__1,2.9295626652999998,6.5514286344,7.5348129262
ytf__delyheO__2,1.8309563081,4.8474806136,6.6554974425
fps__bw_glc__1,0.1197116582,6.9532293646,7.617769168
fps__bw_glc__2,0.36695482630000004,6.8047075624,7.4332484587
fps__fps_thrA_ale1__1,0.9485711478000001,6.8248299538,7.5018707312
fps__fps_thrA_ale1__2,0.5211624578,6.9947963809,7.7439065024
fps__fps_thrA_ale2__1,0.6957853660000001,6.3138386367,7.8813783809
fps__fps_thrA_ale2__2,0.0909499158,6.2091630839,7.7659115519
fps__fps_serB_ale1__1,-0.1272194406,6.1593715658,7.4765327473
fps__fps_serB_ale1__2,0.3335411688,6.4573103217,7.610012251
fps__fps_serB_ale4__1,2.316591832,6.5548601694,7.3059293534
fps__fps_serB_ale4__2,3.5955665115,6.5718223414,7.6808347977
fps__fps_ptsI_ale1__1,-0.22328486290000002,6.2577559743,7.1064504912
fps__fps_ptsI_ale1__2,0.4672841418,6.3715551846,7.2177137051999996
fps__fps_ptsI_ale3__1,1.3497929836,6.5192645486,7.3508644551
fps__fps_ptsI_ale3__2,1.130575674,6.4297576582,7.3728951846
pal__lyx_ale2_f6__1,2.6419849126,5.7198811702,7.2870811827
pal__lyx_ale2__1,0.8025763072000001,6.7441849017,7.458315423
pal__lyx_ale2__2,1.0917434495,6.4924854366,7.2295639946
pal__lyx_ale4__1,0.8025763072000001,6.7441849017,7.458315423
pal__lyx_ale4__2,1.0917434495,6.4924854366,7.2295639946
pal__5drib_ale10_f18__1,2.0573553926,5.8890144587,6.7207241023
pal__5drib_ale10_f18__2,1.1159560762,5.9514047545,6.7910321067
pal__5drib_ale10__1,2.8358742914,6.3966144338,7.327243044
pal__arab_ale14_f9__1,2.3924194977,6.8924826117,7.277690611
pal__arab_ale14_f9__2,1.9431618856,7.1719547488,7.3652247888
pal__arab_ale14__1,0.0549980137,5.6994945324,7.3466333107
pal__arab_ale14__2,1.0396053009,6.0635692945,7.0696892435
pal__arab_ale16__1,1.7904353491,6.7408141338,7.5027793835
pal__arab_ale16__2,0.6616658183,6.7201228968,7.2248295309
pal__tartr_ale26_f10__1,4.4983085584,5.4275213308,6.8328740173
pal__tartr_ale26_f10__2,4.5228401978,5.1034769681,6.597937569
pal__tartr_ale26__1,2.7176342064,5.4306260429,6.6288016853
pal__tartr_ale26__2,2.0973830479,5.559711046,6.6598615384
pal__tartr_ale28_f10__1,3.7493998802,5.9917087329,6.9073914224
pal__tartr_ale28_f10__2,4.0329520558,6.6166627047,6.9437283462
pal__tartr_ale28__1,3.3767746955,5.4928191453,7.0790658581
pal__tartr_ale28__2,2.23197041,5.8235750593,7.1274039371
efeU__delmenFentC_citr__1,1.7770296907,6.6237607827,7.4304775103
efeU__delmenFentC_citr__2,1.3219299623,6.7036250592,7.502932324
efeU__delmenFentC__1,0.9165794067,6.4537685007,7.5773362849
efeU__delmenFentC__2,1.183396878,6.4776607241,7.7348126733
efeU__menFentC_ale39__1,6.1082748062,5.3501912135,6.3991635097
efeU__menFentC_ale39__2,5.8392607599,4.6618656595,6.5168899226
efeU__menFentC_ale29__1,5.4421500388,4.99904483,6.5938877613999995
efeU__menFentC_ale29__2,4.8874168449,5.0702775526,6.7032348934
efeU__menFentC_ale30__1,1.5059807275,6.2887209459,7.676236476
efeU__menFentC_ale30__2,0.5168674535000001,6.1333494389,7.5803045603
efeU__menFentCubiC_ale36__1,-1.027433921,5.9236142377,7.5280821227
efeU__menFentCubiC_ale36__2,1.3737669682,5.8412132236000005,7.6267600713
efeU__menFentCubiC_ale37__1,0.7778484790000001,6.0930812631,7.5508463048
efeU__menFentCubiC_ale37__2,0.5406887686,5.9032370721,7.5342370875
efeU__menFentCubiC_ale38__1,2.7546920103,6.5081586258,7.8842700273
efeU__menFentCubiC_ale38__2,2.5793249915,6.4143082979,7.5709240053
